ID;Sex;AgeAtDecember31;TypeOfFigure;Periods;LifeExpectancy_1;LifeExpectancyInPerceivedGoodHealth_2;LEWithoutModerateSevereLimitations_3;LEWithoutSevereLimitations_4;LEWithoutLightModerateSevereLim_5;LEWithoutChronicMorbidity_6;LEWithoutChrMorbExclHypertension_7;LEWithoutPsychologicalComplaints_8;LifeExpectancyWithoutGALILimitations_9;LifeExpWithoutSevereGALILimitations_10
3694;Female;25 years;Standard errors;2020;;0.5;0.4;0.3;0.5;0.5;0.5;0.4;0.5;0.3
3695;Female;25 years;Standard errors;2021;;0.5;0.4;0.3;0.5;0.5;0.5;0.4;0.5;0.3
3696;Female;25 years;Standard errors;2022;;0.4;0.3;0.3;0.4;0.4;0.5;0.3;0.5;0.3
3697;Female;25 years;Standard errors;2023;;0.4;0.4;0.3;0.4;0.4;0.5;0.3;0.5;0.3
3698;Female;30 years;Percentage/average;1981;50.97;35.6;;;;30.5;;;;
3699;Female;30 years;Percentage/average;1982;51.08;36.4;;;;30.9;;;;
3700;Female;30 years;Percentage/average;1983;51.23;36.0;35.5;;;29.3;;;;
3701;Female;30 years;Percentage/average;1984;51.23;34.5;34.7;;;26.8;;;;
3702;Female;30 years;Percentage/average;1985;51.19;36.4;36.9;;;26.7;;;;
3703;Female;30 years;Percentage/average;1986;51.18;35.6;36.5;;;27.1;;;;
3704;Female;30 years;Percentage/average;1987;51.59;36.5;36.5;;;27.5;;;;
3705;Female;30 years;Percentage/average;1988;51.64;36.8;36.2;;;27.7;;;;
3706;Female;30 years;Percentage/average;1989;51.41;35.5;37.2;;;26.4;;;;
3707;Female;30 years;Percentage/average;1990;51.6;35.3;37.5;;;25.4;;;;
3708;Female;30 years;Percentage/average;1991;51.56;35.5;36.2;;;25.0;;;;
3709;Female;30 years;Percentage/average;1992;51.69;36.5;38.1;;;26.5;;;;
3710;Female;30 years;Percentage/average;1993;51.38;35.0;37.2;;;24.8;;;;
3711;Female;30 years;Percentage/average;1994;51.64;35.3;37.6;;;24.5;;;;
3712;Female;30 years;Percentage/average;1995;51.68;35.5;36.1;;;25.0;;;;
3713;Female;30 years;Percentage/average;1996;51.69;35.2;38.0;;;21.8;;;;
3714;Female;30 years;Percentage/average;1997;51.83;34.9;39.0;;;23.2;;;;
3715;Female;30 years;Percentage/average;1998;51.9;35.1;39.7;;;22.3;;;;
3716;Female;30 years;Percentage/average;1999;51.75;34.0;37.9;;;21.4;;;;
3717;Female;30 years;Percentage/average;2000;51.87;34.7;39.0;;;21.9;;;;
3718;Female;30 years;Percentage/average;2001;51.96;35.0;39.7;43.6;26.7;20.5;23.1;43.1;;
3719;Female;30 years;Percentage/average;2002;51.93;35.4;40.1;44.3;25.8;19.7;22.7;43.9;;
3720;Female;30 years;Percentage/average;2003;52.14;35.1;39.9;43.7;25.6;19.6;22.2;45.3;;
3721;Female;30 years;Percentage/average;2004;52.57;35.2;39.1;43.5;25.2;19.9;22.5;44.8;;
3722;Female;30 years;Percentage/average;2005;52.81;35.0;39.1;43.3;24.5;19.1;22.0;45.2;;
3723;Female;30 years;Percentage/average;2006;53.01;36.4;40.6;44.5;25.1;18.8;22.6;45.7;;
3724;Female;30 years;Percentage/average;2007;53.4;37.2;41.1;45.3;26.2;19.3;22.4;46.7;;
3725;Female;30 years;Percentage/average;2008;53.38;36.7;40.6;44.5;26.1;20.0;23.0;46.7;;
3726;Female;30 years;Percentage/average;2009;53.73;36.5;41.0;45.3;26.0;19.0;22.3;46.2;;
3727;Female;30 years;Percentage/average;2010;53.76;36.6;41.1;45.6;25.0;19.0;21.7;46.4;;
3728;Female;30 years;Percentage/average;2011;53.86;36.3;42.1;45.9;25.2;18.5;21.4;46.7;;
3729;Female;30 years;Percentage/average;2012;53.85;36.4;41.4;45.8;25.3;18.4;21.5;46.5;;
3730;Female;30 years;Percentage/average;2013;54.08;37.1;42.5;47.0;26.1;19.7;23.0;47.0;;
3731;Female;30 years;Percentage/average;2014;54.34;37.4;41.0;44.7;28.6;18.7;21.5;47.0;33.2;49.0
3732;Female;30 years;Percentage/average;2015;54.11;36.8;40.9;44.2;28.7;18.6;21.3;46.9;32.2;48.3
3733;Female;30 years;Percentage/average;2016;54.16;36.9;42.2;45.4;29.6;18.4;21.4;46.0;32.5;49.3
3734;Female;30 years;Percentage/average;2017;54.32;37.6;42.3;46.1;29.7;19.0;22.1;46.9;31.7;49.0
3735;Female;30 years;Percentage/average;2018;54.33;36.8;42.5;46.3;29.1;18.5;21.3;46.6;31.1;49.1
3736;Female;30 years;Percentage/average;2019;54.61;36.9;42.4;45.9;29.1;18.9;21.3;47.2;31.3;49.6
3737;Female;30 years;Percentage/average;2020;54.11;38.9;43.6;47.0;29.1;19.1;21.2;46.4;31.6;50.3
3738;Female;30 years;Percentage/average;2021;53.99;38.6;44.1;47.5;27.8;19.1;21.6;45.3;32.1;50.5
3739;Female;30 years;Percentage/average;2022;54.12;36.6;42.4;45.9;28.1;18.8;21.4;46.5;31.6;49.3
3740;Female;30 years;Percentage/average;2023;54.35;36.7;42.9;46.6;27.9;18.7;21.2;46.6;30.4;49.0
3741;Female;30 years;Standard errors;1981;;0.5;;;;0.5;;;;
3742;Female;30 years;Standard errors;1982;;0.5;;;;0.5;;;;
3743;Female;30 years;Standard errors;1983;;0.7;0.4;;;0.7;;;;
3744;Female;30 years;Standard errors;1984;;0.5;0.5;;;0.5;;;;
3745;Female;30 years;Standard errors;1985;;0.6;0.4;;;0.6;;;;
3746;Female;30 years;Standard errors;1986;;0.8;0.4;;;0.8;;;;
3747;Female;30 years;Standard errors;1987;;0.6;0.5;;;0.6;;;;
3748;Female;30 years;Standard errors;1988;;0.6;0.5;;;0.6;;;;
3749;Female;30 years;Standard errors;1989;;0.6;0.5;;;0.6;;;;
3750;Female;30 years;Standard errors;1990;;0.6;0.5;;;0.6;;;;
3751;Female;30 years;Standard errors;1991;;0.6;0.5;;;0.6;;;;
3752;Female;30 years;Standard errors;1992;;0.5;0.5;;;0.6;;;;
3753;Female;30 years;Standard errors;1993;;0.6;0.5;;;0.6;;;;
3754;Female;30 years;Standard errors;1994;;0.6;0.4;;;0.6;;;;
3755;Female;30 years;Standard errors;1995;;0.5;0.4;;;0.5;;;;
3756;Female;30 years;Standard errors;1996;;0.6;0.5;;;0.5;;;;
3757;Female;30 years;Standard errors;1997;;0.6;0.5;;;0.6;;;;
3758;Female;30 years;Standard errors;1998;;0.6;0.5;;;0.6;;;;
3759;Female;30 years;Standard errors;1999;;0.6;0.5;;;0.6;;;;
3760;Female;30 years;Standard errors;2000;;0.6;0.5;;;0.6;;;;
3761;Female;30 years;Standard errors;2001;;0.6;0.5;0.4;0.5;0.6;0.6;0.5;;
3762;Female;30 years;Standard errors;2002;;0.6;0.5;0.4;0.5;0.6;0.5;0.5;;
3763;Female;30 years;Standard errors;2003;;0.6;0.5;0.4;0.5;0.5;0.5;0.4;;
3764;Female;30 years;Standard errors;2004;;0.5;0.4;0.4;0.4;0.5;0.5;0.4;;
3765;Female;30 years;Standard errors;2005;;0.5;0.4;0.4;0.5;0.5;0.5;0.4;;
3766;Female;30 years;Standard errors;2006;;0.5;0.5;0.4;0.5;0.5;0.5;0.4;;
3767;Female;30 years;Standard errors;2007;;0.5;0.5;0.4;0.5;0.5;0.5;0.4;;
3768;Female;30 years;Standard errors;2008;;0.5;0.5;0.4;0.5;0.5;0.5;0.4;;
3769;Female;30 years;Standard errors;2009;;0.5;0.5;0.4;0.5;0.5;0.5;0.4;;
3770;Female;30 years;Standard errors;2010;;0.3;0.4;0.4;0.4;0.5;0.5;0.4;;
3771;Female;30 years;Standard errors;2011;;0.4;0.5;0.4;0.5;0.5;0.5;0.4;;
3772;Female;30 years;Standard errors;2012;;0.4;0.4;0.4;0.5;0.5;0.5;0.4;;
3773;Female;30 years;Standard errors;2013;;0.4;0.4;0.4;0.5;0.5;0.5;0.4;;
3774;Female;30 years;Standard errors;2014;;0.4;0.4;0.4;0.4;0.4;0.5;0.3;0.5;0.3
3775;Female;30 years;Standard errors;2015;;0.5;0.5;0.4;0.5;0.4;0.5;0.3;0.5;0.3
3776;Female;30 years;Standard errors;2016;;0.5;0.4;0.4;0.4;0.4;0.5;0.4;0.5;0.3
3777;Female;30 years;Standard errors;2017;;0.4;0.4;0.3;0.4;0.4;0.4;0.3;0.5;0.3
3778;Female;30 years;Standard errors;2018;;0.4;0.4;0.3;0.4;0.4;0.4;0.3;0.5;0.3
3779;Female;30 years;Standard errors;2019;;0.4;0.4;0.3;0.4;0.4;0.4;0.3;0.5;0.3
3780;Female;30 years;Standard errors;2020;;0.5;0.4;0.3;0.5;0.4;0.5;0.4;0.5;0.3
3781;Female;30 years;Standard errors;2021;;0.5;0.4;0.3;0.5;0.5;0.5;0.4;0.5;0.3
3782;Female;30 years;Standard errors;2022;;0.4;0.3;0.3;0.4;0.4;0.4;0.3;0.4;0.3
3783;Female;30 years;Standard errors;2023;;0.4;0.4;0.3;0.4;0.4;0.4;0.3;0.4;0.3
3784;Female;35 years;Percentage/average;1981;46.1;31.3;;;;26.6;;;;
3785;Female;35 years;Percentage/average;1982;46.22;32.1;;;;27.4;;;;
3786;Female;35 years;Percentage/average;1983;46.36;31.7;30.9;;;25.7;;;;
3787;Female;35 years;Percentage/average;1984;46.37;30.3;30.1;;;23.3;;;;
3788;Female;35 years;Percentage/average;1985;46.33;32.2;32.2;;;23.5;;;;
3789;Female;35 years;Percentage/average;1986;46.32;31.4;31.8;;;23.5;;;;
3790;Female;35 years;Percentage/average;1987;46.73;32.1;31.9;;;24.1;;;;
3791;Female;35 years;Percentage/average;1988;46.77;32.5;31.6;;;24.3;;;;
3792;Female;35 years;Percentage/average;1989;46.54;31.1;32.6;;;22.9;;;;
3793;Female;35 years;Percentage/average;1990;46.73;31.2;32.8;;;22.4;;;;
3794;Female;35 years;Percentage/average;1991;46.7;31.2;31.5;;;21.7;;;;
3795;Female;35 years;Percentage/average;1992;46.81;32.3;33.4;;;23.0;;;;
3796;Female;35 years;Percentage/average;1993;46.52;30.7;32.6;;;21.5;;;;
3797;Female;35 years;Percentage/average;1994;46.76;31.1;32.8;;;21.3;;;;
3798;Female;35 years;Percentage/average;1995;46.8;31.1;31.4;;;21.7;;;;
3799;Female;35 years;Percentage/average;1996;46.81;31.1;33.4;;;18.6;;;;
3800;Female;35 years;Percentage/average;1997;46.95;30.6;34.2;;;20.0;;;;
3801;Female;35 years;Percentage/average;1998;47.01;30.9;35.2;;;19.4;;;;
3802;Female;35 years;Percentage/average;1999;46.86;29.9;33.3;;;18.4;;;;
3803;Female;35 years;Percentage/average;2000;46.97;30.4;34.4;;;18.8;;;;
3804;Female;35 years;Percentage/average;2001;47.07;30.8;35.0;38.8;22.7;17.7;20.2;38.9;;
3805;Female;35 years;Percentage/average;2002;47.05;31.2;35.5;39.6;21.9;16.7;19.5;39.6;;
3806;Female;35 years;Percentage/average;2003;47.24;31.0;35.2;39.0;21.8;16.8;19.2;41.0;;
3807;Female;35 years;Percentage/average;2004;47.67;30.9;34.3;38.7;21.2;16.7;19.2;40.4;;
3808;Female;35 years;Percentage/average;2005;47.92;30.9;34.4;38.5;20.6;16.1;19.0;40.9;;
3809;Female;35 years;Percentage/average;2006;48.11;32.2;35.9;39.6;21.2;16.0;19.6;41.5;;
3810;Female;35 years;Percentage/average;2007;48.5;33.0;36.4;40.5;22.2;16.3;19.3;42.2;;
3811;Female;35 years;Percentage/average;2008;48.46;32.6;36.0;39.8;22.3;16.7;19.6;42.2;;
3812;Female;35 years;Percentage/average;2009;48.81;32.3;36.3;40.4;21.9;15.7;18.9;41.7;;
3813;Female;35 years;Percentage/average;2010;48.86;32.4;36.4;40.8;21.1;16.2;18.7;41.8;;
3814;Female;35 years;Percentage/average;2011;48.95;32.2;37.4;41.0;21.3;15.5;18.3;42.2;;
3815;Female;35 years;Percentage/average;2012;48.94;32.0;36.9;41.1;21.3;15.6;18.6;42.0;;
3816;Female;35 years;Percentage/average;2013;49.17;32.9;37.9;42.2;22.4;16.7;20.0;42.5;;
3817;Female;35 years;Percentage/average;2014;49.42;33.1;36.4;39.9;24.4;15.5;18.2;42.7;29.0;44.2
3818;Female;35 years;Percentage/average;2015;49.18;32.9;36.3;39.5;24.8;15.7;18.3;42.5;28.5;43.7
3819;Female;35 years;Percentage/average;2016;49.25;32.8;37.5;40.6;25.4;15.7;18.6;42.0;28.8;44.6
3820;Female;35 years;Percentage/average;2017;49.4;33.4;37.7;41.4;25.9;16.1;19.1;42.7;27.7;44.3
3821;Female;35 years;Percentage/average;2018;49.41;32.8;37.9;41.5;25.3;15.4;18.3;42.3;27.5;44.5
3822;Female;35 years;Percentage/average;2019;49.69;33.0;37.8;41.1;25.5;16.5;18.8;42.9;27.7;44.9
3823;Female;35 years;Percentage/average;2020;49.19;35.0;38.8;42.2;25.1;16.1;18.1;42.6;28.0;45.5
3824;Female;35 years;Percentage/average;2021;49.09;34.8;39.5;42.7;24.3;16.5;18.9;41.5;28.6;45.7
3825;Female;35 years;Percentage/average;2022;49.21;32.6;37.7;41.1;24.4;16.1;18.5;42.2;27.8;44.6
3826;Female;35 years;Percentage/average;2023;49.43;32.8;38.5;42.0;24.3;15.8;18.2;42.5;26.8;44.4
3827;Female;35 years;Standard errors;1981;;0.5;;;;0.5;;;;
3828;Female;35 years;Standard errors;1982;;0.5;;;;0.5;;;;
3829;Female;35 years;Standard errors;1983;;0.7;0.4;;;0.7;;;;
3830;Female;35 years;Standard errors;1984;;0.5;0.5;;;0.5;;;;
3831;Female;35 years;Standard errors;1985;;0.5;0.4;;;0.6;;;;
3832;Female;35 years;Standard errors;1986;;0.7;0.4;;;0.8;;;;
3833;Female;35 years;Standard errors;1987;;0.6;0.5;;;0.6;;;;
3834;Female;35 years;Standard errors;1988;;0.6;0.4;;;0.6;;;;
3835;Female;35 years;Standard errors;1989;;0.6;0.5;;;0.6;;;;
3836;Female;35 years;Standard errors;1990;;0.6;0.5;;;0.6;;;;
3837;Female;35 years;Standard errors;1991;;0.6;0.5;;;0.6;;;;
3838;Female;35 years;Standard errors;1992;;0.5;0.4;;;0.5;;;;
3839;Female;35 years;Standard errors;1993;;0.5;0.5;;;0.5;;;;
3840;Female;35 years;Standard errors;1994;;0.6;0.4;;;0.6;;;;
3841;Female;35 years;Standard errors;1995;;0.5;0.4;;;0.5;;;;
3842;Female;35 years;Standard errors;1996;;0.6;0.4;;;0.5;;;;
3843;Female;35 years;Standard errors;1997;;0.6;0.5;;;0.5;;;;
3844;Female;35 years;Standard errors;1998;;0.6;0.5;;;0.6;;;;
3845;Female;35 years;Standard errors;1999;;0.6;0.5;;;0.6;;;;
3846;Female;35 years;Standard errors;2000;;0.6;0.5;;;0.6;;;;
3847;Female;35 years;Standard errors;2001;;0.6;0.4;0.4;0.5;0.6;0.5;0.5;;
3848;Female;35 years;Standard errors;2002;;0.6;0.5;0.4;0.5;0.5;0.5;0.5;;
3849;Female;35 years;Standard errors;2003;;0.6;0.5;0.4;0.5;0.5;0.5;0.4;;
3850;Female;35 years;Standard errors;2004;;0.5;0.4;0.4;0.4;0.5;0.5;0.4;;
3851;Female;35 years;Standard errors;2005;;0.5;0.4;0.4;0.4;0.5;0.5;0.4;;
3852;Female;35 years;Standard errors;2006;;0.5;0.5;0.4;0.4;0.4;0.5;0.4;;
3853;Female;35 years;Standard errors;2007;;0.5;0.5;0.4;0.5;0.5;0.5;0.4;;
3854;Female;35 years;Standard errors;2008;;0.4;0.4;0.4;0.4;0.5;0.5;0.4;;
3855;Female;35 years;Standard errors;2009;;0.5;0.4;0.4;0.5;0.4;0.5;0.4;;
3856;Female;35 years;Standard errors;2010;;0.3;0.4;0.4;0.4;0.4;0.4;0.4;;
3857;Female;35 years;Standard errors;2011;;0.4;0.4;0.4;0.4;0.4;0.5;0.4;;
3858;Female;35 years;Standard errors;2012;;0.4;0.4;0.4;0.4;0.4;0.5;0.4;;
3859;Female;35 years;Standard errors;2013;;0.3;0.4;0.4;0.4;0.4;0.5;0.4;;
3860;Female;35 years;Standard errors;2014;;0.4;0.4;0.4;0.4;0.4;0.4;0.3;0.4;0.3
3861;Female;35 years;Standard errors;2015;;0.4;0.5;0.4;0.5;0.4;0.4;0.3;0.4;0.3
3862;Female;35 years;Standard errors;2016;;0.4;0.4;0.3;0.4;0.4;0.4;0.3;0.4;0.3
3863;Female;35 years;Standard errors;2017;;0.4;0.4;0.3;0.4;0.4;0.4;0.3;0.4;0.3
3864;Female;35 years;Standard errors;2018;;0.4;0.4;0.3;0.4;0.4;0.4;0.3;0.4;0.3
3865;Female;35 years;Standard errors;2019;;0.4;0.4;0.3;0.4;0.4;0.4;0.3;0.4;0.3
3866;Female;35 years;Standard errors;2020;;0.4;0.4;0.3;0.4;0.4;0.4;0.3;0.5;0.3
3867;Female;35 years;Standard errors;2021;;0.4;0.4;0.3;0.4;0.4;0.5;0.4;0.5;0.3
3868;Female;35 years;Standard errors;2022;;0.4;0.3;0.3;0.4;0.4;0.4;0.3;0.4;0.3
3869;Female;35 years;Standard errors;2023;;0.4;0.3;0.3;0.4;0.4;0.4;0.3;0.4;0.3
3870;Female;40 years;Percentage/average;1981;41.27;27.2;;;;22.7;;;;
3871;Female;40 years;Percentage/average;1982;41.39;27.9;;;;23.5;;;;
3872;Female;40 years;Percentage/average;1983;41.52;27.5;26.3;;;22.0;;;;
3873;Female;40 years;Percentage/average;1984;41.53;26.2;25.5;;;19.7;;;;
3874;Female;40 years;Percentage/average;1985;41.5;28.0;27.5;;;19.9;;;;
3875;Female;40 years;Percentage/average;1986;41.5;27.4;27.1;;;20.0;;;;
3876;Female;40 years;Percentage/average;1987;41.89;28.1;27.3;;;20.6;;;;
3877;Female;40 years;Percentage/average;1988;41.94;28.3;27.0;;;20.6;;;;
3878;Female;40 years;Percentage/average;1989;41.72;26.8;28.0;;;19.4;;;;
3879;Female;40 years;Percentage/average;1990;41.9;27.2;28.3;;;18.9;;;;
3880;Female;40 years;Percentage/average;1991;41.87;27.2;27.0;;;18.3;;;;
3881;Female;40 years;Percentage/average;1992;41.99;28.3;28.8;;;19.8;;;;
3882;Female;40 years;Percentage/average;1993;41.7;26.7;28.0;;;18.1;;;;
3883;Female;40 years;Percentage/average;1994;41.95;26.9;28.2;;;17.9;;;;
3884;Female;40 years;Percentage/average;1995;41.98;27.0;26.8;;;18.3;;;;
3885;Female;40 years;Percentage/average;1996;41.98;27.0;28.8;;;15.5;;;;
3886;Female;40 years;Percentage/average;1997;42.12;26.6;29.7;;;16.9;;;;
3887;Female;40 years;Percentage/average;1998;42.17;26.8;30.6;;;16.6;;;;
3888;Female;40 years;Percentage/average;1999;42.03;25.9;28.7;;;15.6;;;;
3889;Female;40 years;Percentage/average;2000;42.14;26.4;29.8;;;15.7;;;;
3890;Female;40 years;Percentage/average;2001;42.23;26.8;30.4;34.0;19.0;15.1;17.5;34.6;;
3891;Female;40 years;Percentage/average;2002;42.2;27.2;31.0;34.9;18.1;14.1;16.8;35.5;;
3892;Female;40 years;Percentage/average;2003;42.39;27.0;30.6;34.3;18.1;14.0;16.4;36.6;;
3893;Female;40 years;Percentage/average;2004;42.81;26.9;29.8;33.9;17.6;13.9;16.4;36.3;;
3894;Female;40 years;Percentage/average;2005;43.07;26.7;29.9;33.8;17.1;13.3;16.1;36.7;;
3895;Female;40 years;Percentage/average;2006;43.25;28.2;31.4;34.9;17.6;13.1;16.6;37.1;;
3896;Female;40 years;Percentage/average;2007;43.62;28.9;31.9;35.7;18.4;13.8;16.7;37.8;;
3897;Female;40 years;Percentage/average;2008;43.59;28.7;31.3;35.0;18.6;14.1;16.9;37.8;;
3898;Female;40 years;Percentage/average;2009;43.94;28.1;31.7;35.7;18.4;12.8;15.9;37.7;;
3899;Female;40 years;Percentage/average;2010;43.98;28.1;31.8;36.1;17.5;13.6;16.1;37.5;;
3900;Female;40 years;Percentage/average;2011;44.08;28.2;32.8;36.3;17.8;13.0;15.7;37.7;;
3901;Female;40 years;Percentage/average;2012;44.05;27.9;32.2;36.3;17.7;12.6;15.6;37.9;;
3902;Female;40 years;Percentage/average;2013;44.28;28.9;33.3;37.3;18.6;13.9;17.0;38.2;;
3903;Female;40 years;Percentage/average;2014;44.53;29.0;31.8;35.2;20.6;12.4;15.1;38.4;25.1;39.5
3904;Female;40 years;Percentage/average;2015;44.3;28.7;31.8;34.9;21.0;12.9;15.5;38.3;24.6;39.0
3905;Female;40 years;Percentage/average;2016;44.37;29.1;33.1;35.9;21.8;12.9;15.7;37.8;25.2;40.0
3906;Female;40 years;Percentage/average;2017;44.51;29.5;33.1;36.5;22.0;13.2;16.2;38.3;24.1;39.6
3907;Female;40 years;Percentage/average;2018;44.51;29.1;33.4;36.9;21.7;12.9;15.7;38.1;24.2;39.9
3908;Female;40 years;Percentage/average;2019;44.79;29.3;33.4;36.5;21.9;14.0;16.2;38.7;24.1;40.3
3909;Female;40 years;Percentage/average;2020;44.31;30.9;34.2;37.3;21.5;13.2;15.2;38.3;24.5;40.7
3910;Female;40 years;Percentage/average;2021;44.2;30.7;34.8;38.0;20.8;13.8;16.2;37.3;24.6;40.9
3911;Female;40 years;Percentage/average;2022;44.32;28.7;33.1;36.2;20.8;13.4;15.8;38.1;24.1;39.9
3912;Female;40 years;Percentage/average;2023;44.54;28.9;33.9;37.2;20.9;13.2;15.5;38.3;23.1;39.7
3913;Female;40 years;Standard errors;1981;;0.5;;;;0.5;;;;
3914;Female;40 years;Standard errors;1982;;0.5;;;;0.5;;;;
3915;Female;40 years;Standard errors;1983;;0.7;0.4;;;0.7;;;;
3916;Female;40 years;Standard errors;1984;;0.5;0.5;;;0.5;;;;
3917;Female;40 years;Standard errors;1985;;0.5;0.4;;;0.6;;;;
3918;Female;40 years;Standard errors;1986;;0.7;0.4;;;0.7;;;;
3919;Female;40 years;Standard errors;1987;;0.6;0.5;;;0.6;;;;
3920;Female;40 years;Standard errors;1988;;0.6;0.4;;;0.6;;;;
3921;Female;40 years;Standard errors;1989;;0.5;0.5;;;0.5;;;;
3922;Female;40 years;Standard errors;1990;;0.6;0.5;;;0.6;;;;
3923;Female;40 years;Standard errors;1991;;0.6;0.5;;;0.6;;;;
3924;Female;40 years;Standard errors;1992;;0.5;0.4;;;0.5;;;;
3925;Female;40 years;Standard errors;1993;;0.5;0.5;;;0.5;;;;
3926;Female;40 years;Standard errors;1994;;0.6;0.4;;;0.6;;;;
3927;Female;40 years;Standard errors;1995;;0.5;0.4;;;0.5;;;;
3928;Female;40 years;Standard errors;1996;;0.6;0.4;;;0.5;;;;
3929;Female;40 years;Standard errors;1997;;0.6;0.4;;;0.5;;;;
3930;Female;40 years;Standard errors;1998;;0.6;0.5;;;0.6;;;;
3931;Female;40 years;Standard errors;1999;;0.6;0.5;;;0.6;;;;
3932;Female;40 years;Standard errors;2000;;0.6;0.5;;;0.5;;;;
3933;Female;40 years;Standard errors;2001;;0.6;0.4;0.4;0.5;0.5;0.5;0.5;;
3934;Female;40 years;Standard errors;2002;;0.6;0.5;0.4;0.5;0.5;0.5;0.4;;
3935;Female;40 years;Standard errors;2003;;0.5;0.5;0.4;0.5;0.5;0.5;0.4;;
3936;Female;40 years;Standard errors;2004;;0.5;0.4;0.4;0.4;0.4;0.4;0.4;;
3937;Female;40 years;Standard errors;2005;;0.5;0.4;0.4;0.4;0.4;0.4;0.4;;
3938;Female;40 years;Standard errors;2006;;0.4;0.4;0.4;0.4;0.4;0.5;0.4;;
3939;Female;40 years;Standard errors;2007;;0.5;0.5;0.4;0.5;0.4;0.5;0.4;;
3940;Female;40 years;Standard errors;2008;;0.4;0.4;0.4;0.4;0.4;0.5;0.4;;
3941;Female;40 years;Standard errors;2009;;0.4;0.4;0.4;0.4;0.4;0.5;0.4;;
3942;Female;40 years;Standard errors;2010;;0.3;0.4;0.4;0.4;0.4;0.4;0.4;;
3943;Female;40 years;Standard errors;2011;;0.3;0.4;0.4;0.4;0.4;0.4;0.4;;
3944;Female;40 years;Standard errors;2012;;0.3;0.4;0.4;0.4;0.4;0.4;0.4;;
3945;Female;40 years;Standard errors;2013;;0.3;0.4;0.4;0.4;0.4;0.4;0.4;;
3946;Female;40 years;Standard errors;2014;;0.4;0.4;0.4;0.4;0.4;0.4;0.3;0.4;0.3
3947;Female;40 years;Standard errors;2015;;0.4;0.4;0.4;0.5;0.4;0.4;0.3;0.4;0.3
3948;Female;40 years;Standard errors;2016;;0.4;0.4;0.3;0.4;0.4;0.4;0.3;0.4;0.3
3949;Female;40 years;Standard errors;2017;;0.4;0.4;0.3;0.4;0.4;0.4;0.3;0.4;0.3
3950;Female;40 years;Standard errors;2018;;0.4;0.4;0.3;0.4;0.4;0.4;0.3;0.4;0.3
3951;Female;40 years;Standard errors;2019;;0.4;0.4;0.3;0.4;0.4;0.4;0.3;0.4;0.3
3952;Female;40 years;Standard errors;2020;;0.4;0.4;0.3;0.4;0.4;0.4;0.3;0.4;0.3
3953;Female;40 years;Standard errors;2021;;0.4;0.4;0.3;0.4;0.4;0.4;0.3;0.5;0.3
3954;Female;40 years;Standard errors;2022;;0.4;0.3;0.3;0.4;0.4;0.4;0.3;0.4;0.3
3955;Female;40 years;Standard errors;2023;;0.4;0.3;0.3;0.4;0.4;0.4;0.3;0.4;0.3
3956;Female;45 years;Percentage/average;1981;36.52;23.3;;;;19.2;;;;
3957;Female;45 years;Percentage/average;1982;36.65;24.2;;;;19.7;;;;
3958;Female;45 years;Percentage/average;1983;36.78;23.9;22.0;;;18.7;;;;
3959;Female;45 years;Percentage/average;1984;36.77;22.4;21.2;;;16.4;;;;
3960;Female;45 years;Percentage/average;1985;36.73;24.1;23.3;;;16.8;;;;
3961;Female;45 years;Percentage/average;1986;36.75;23.6;22.9;;;16.6;;;;
3962;Female;45 years;Percentage/average;1987;37.14;24.5;23.2;;;17.5;;;;
3963;Female;45 years;Percentage/average;1988;37.19;24.3;22.6;;;17.3;;;;
3964;Female;45 years;Percentage/average;1989;36.95;23.0;23.6;;;16.1;;;;
3965;Female;45 years;Percentage/average;1990;37.14;23.5;24.1;;;15.9;;;;
3966;Female;45 years;Percentage/average;1991;37.13;23.3;22.6;;;15.3;;;;
3967;Female;45 years;Percentage/average;1992;37.24;24.4;24.5;;;16.7;;;;
3968;Female;45 years;Percentage/average;1993;36.95;22.9;23.8;;;15.0;;;;
3969;Female;45 years;Percentage/average;1994;37.2;23.2;23.8;;;14.8;;;;
3970;Female;45 years;Percentage/average;1995;37.24;23.1;22.6;;;15.1;;;;
3971;Female;45 years;Percentage/average;1996;37.25;23.1;24.5;;;12.7;;;;
3972;Female;45 years;Percentage/average;1997;37.37;22.8;25.3;;;14.0;;;;
3973;Female;45 years;Percentage/average;1998;37.42;23.0;26.1;;;13.7;;;;
3974;Female;45 years;Percentage/average;1999;37.3;22.2;24.5;;;13.0;;;;
3975;Female;45 years;Percentage/average;2000;37.39;22.6;25.6;;;13.1;;;;
3976;Female;45 years;Percentage/average;2001;37.47;22.9;25.8;29.4;15.4;12.7;15.0;30.5;;
3977;Female;45 years;Percentage/average;2002;37.44;23.4;26.5;30.3;14.8;11.8;14.4;31.3;;
3978;Female;45 years;Percentage/average;2003;37.63;23.1;26.3;29.8;14.8;11.5;13.8;32.4;;
3979;Female;45 years;Percentage/average;2004;38.04;23.0;25.4;29.3;14.3;11.3;13.6;32.0;;
3980;Female;45 years;Percentage/average;2005;38.3;22.9;25.5;29.3;13.7;10.4;13.0;32.5;;
3981;Female;45 years;Percentage/average;2006;38.44;24.3;26.8;30.2;14.2;10.5;13.9;32.7;;
3982;Female;45 years;Percentage/average;2007;38.81;24.8;27.3;31.0;15.1;11.2;13.9;33.5;;
