ID;EarningGroups;SectorBranchesSIC2008;CarribeanNetherlands;Periods;JobsOfEmployees_1;AverageAnnualWage_2
361;Total all earninggroups;G Wholesale and retail trade;Caribbean Netherlands;2012;940.0;16840.0
362;Total all earninggroups;G Wholesale and retail trade;Caribbean Netherlands;2013;1030.0;16670.0
363;Total all earninggroups;G Wholesale and retail trade;Caribbean Netherlands;2014;1190.0;16910.0
364;Total all earninggroups;G Wholesale and retail trade;Caribbean Netherlands;2015;1290.0;16700.0
365;Total all earninggroups;G Wholesale and retail trade;Caribbean Netherlands;2016;1340.0;16930.0
366;Total all earninggroups;G Wholesale and retail trade;Caribbean Netherlands;2017;1530.0;17370.0
367;Total all earninggroups;G Wholesale and retail trade;Caribbean Netherlands;2018;1540.0;17900.0
368;Total all earninggroups;G Wholesale and retail trade;Caribbean Netherlands;2019;1570.0;18580.0
369;Total all earninggroups;G Wholesale and retail trade;Caribbean Netherlands;2020;1580.0;18930.0
370;Total all earninggroups;G Wholesale and retail trade;Caribbean Netherlands;2021;1670.0;19070.0
371;Total all earninggroups;G Wholesale and retail trade;Caribbean Netherlands;2022;1590.0;20770.0
372;Total all earninggroups;G Wholesale and retail trade;Bonaire;2011;870.0;17270.0
373;Total all earninggroups;G Wholesale and retail trade;Bonaire;2012;870.0;17120.0
374;Total all earninggroups;G Wholesale and retail trade;Bonaire;2013;980.0;16840.0
375;Total all earninggroups;G Wholesale and retail trade;Bonaire;2014;1090.0;16890.0
376;Total all earninggroups;G Wholesale and retail trade;Bonaire;2015;1190.0;16650.0
377;Total all earninggroups;G Wholesale and retail trade;Bonaire;2016;1230.0;16670.0
378;Total all earninggroups;G Wholesale and retail trade;Bonaire;2017;1370.0;17170.0
379;Total all earninggroups;G Wholesale and retail trade;Bonaire;2018;1370.0;17730.0
380;Total all earninggroups;G Wholesale and retail trade;Bonaire;2019;1370.0;18330.0
381;Total all earninggroups;G Wholesale and retail trade;Bonaire;2020;1390.0;18670.0
382;Total all earninggroups;G Wholesale and retail trade;Bonaire;2021;1460.0;18810.0
383;Total all earninggroups;G Wholesale and retail trade;Bonaire;2022;1400.0;20440.0
384;Total all earninggroups;G Wholesale and retail trade;St. Eustatius;2011;40.0;12520.0
385;Total all earninggroups;G Wholesale and retail trade;St. Eustatius;2012;50.0;12950.0
386;Total all earninggroups;G Wholesale and retail trade;St. Eustatius;2013;30.0;13550.0
387;Total all earninggroups;G Wholesale and retail trade;St. Eustatius;2014;70.0;17450.0
388;Total all earninggroups;G Wholesale and retail trade;St. Eustatius;2015;60.0;17680.0
389;Total all earninggroups;G Wholesale and retail trade;St. Eustatius;2016;50.0;21540.0
390;Total all earninggroups;G Wholesale and retail trade;St. Eustatius;2017;80.0;21360.0
391;Total all earninggroups;G Wholesale and retail trade;St. Eustatius;2018;100.0;20810.0
392;Total all earninggroups;G Wholesale and retail trade;St. Eustatius;2019;100.0;22820.0
393;Total all earninggroups;G Wholesale and retail trade;St. Eustatius;2020;110.0;23020.0
394;Total all earninggroups;G Wholesale and retail trade;St. Eustatius;2021;140.0;21160.0
395;Total all earninggroups;G Wholesale and retail trade;St. Eustatius;2022;120.0;24340.0
396;Total all earninggroups;G Wholesale and retail trade;Saba;2011;10.0;10140.0
397;Total all earninggroups;G Wholesale and retail trade;Saba;2012;20.0;13120.0
398;Total all earninggroups;G Wholesale and retail trade;Saba;2013;20.0;13040.0
399;Total all earninggroups;G Wholesale and retail trade;Saba;2014;30.0;16360.0
400;Total all earninggroups;G Wholesale and retail trade;Saba;2015;50.0;16670.0
401;Total all earninggroups;G Wholesale and retail trade;Saba;2016;50.0;18260.0
402;Total all earninggroups;G Wholesale and retail trade;Saba;2017;90.0;17060.0
403;Total all earninggroups;G Wholesale and retail trade;Saba;2018;70.0;17360.0
404;Total all earninggroups;G Wholesale and retail trade;Saba;2019;90.0;17450.0
405;Total all earninggroups;G Wholesale and retail trade;Saba;2020;70.0;17710.0
406;Total all earninggroups;G Wholesale and retail trade;Saba;2021;60.0;20510.0
407;Total all earninggroups;G Wholesale and retail trade;Saba;2022;70.0;21250.0
408;Total all earninggroups;G Wholesale and retail trade;Unclassifiable;2011;;
409;Total all earninggroups;G Wholesale and retail trade;Unclassifiable;2012;;
410;Total all earninggroups;G Wholesale and retail trade;Unclassifiable;2013;;
411;Total all earninggroups;G Wholesale and retail trade;Unclassifiable;2014;;
412;Total all earninggroups;G Wholesale and retail trade;Unclassifiable;2015;;
413;Total all earninggroups;G Wholesale and retail trade;Unclassifiable;2016;;
414;Total all earninggroups;G Wholesale and retail trade;Unclassifiable;2017;;
415;Total all earninggroups;G Wholesale and retail trade;Unclassifiable;2018;;
416;Total all earninggroups;G Wholesale and retail trade;Unclassifiable;2019;;
417;Total all earninggroups;G Wholesale and retail trade;Unclassifiable;2020;;
418;Total all earninggroups;G Wholesale and retail trade;Unclassifiable;2021;;
419;Total all earninggroups;G Wholesale and retail trade;Unclassifiable;2022;;
420;Total all earninggroups;H+J Transport, ICT;Caribbean Netherlands;2011;660.0;30150.0
421;Total all earninggroups;H+J Transport, ICT;Caribbean Netherlands;2012;620.0;33050.0
422;Total all earninggroups;H+J Transport, ICT;Caribbean Netherlands;2013;630.0;32490.0
423;Total all earninggroups;H+J Transport, ICT;Caribbean Netherlands;2014;650.0;35090.0
424;Total all earninggroups;H+J Transport, ICT;Caribbean Netherlands;2015;680.0;33800.0
425;Total all earninggroups;H+J Transport, ICT;Caribbean Netherlands;2016;720.0;33620.0
426;Total all earninggroups;H+J Transport, ICT;Caribbean Netherlands;2017;770.0;31660.0
427;Total all earninggroups;H+J Transport, ICT;Caribbean Netherlands;2018;940.0;32190.0
428;Total all earninggroups;H+J Transport, ICT;Caribbean Netherlands;2019;900.0;34570.0
429;Total all earninggroups;H+J Transport, ICT;Caribbean Netherlands;2020;870.0;35570.0
430;Total all earninggroups;H+J Transport, ICT;Caribbean Netherlands;2021;760.0;33270.0
431;Total all earninggroups;H+J Transport, ICT;Caribbean Netherlands;2022;760.0;33900.0
432;Total all earninggroups;H+J Transport, ICT;Bonaire;2011;460.0;20190.0
433;Total all earninggroups;H+J Transport, ICT;Bonaire;2012;430.0;22140.0
434;Total all earninggroups;H+J Transport, ICT;Bonaire;2013;430.0;21450.0
435;Total all earninggroups;H+J Transport, ICT;Bonaire;2014;420.0;23410.0
436;Total all earninggroups;H+J Transport, ICT;Bonaire;2015;460.0;22410.0
437;Total all earninggroups;H+J Transport, ICT;Bonaire;2016;510.0;22790.0
438;Total all earninggroups;H+J Transport, ICT;Bonaire;2017;560.0;21600.0
439;Total all earninggroups;H+J Transport, ICT;Bonaire;2018;700.0;26280.0
440;Total all earninggroups;H+J Transport, ICT;Bonaire;2019;690.0;28250.0
441;Total all earninggroups;H+J Transport, ICT;Bonaire;2020;680.0;28950.0
442;Total all earninggroups;H+J Transport, ICT;Bonaire;2021;560.0;25310.0
443;Total all earninggroups;H+J Transport, ICT;Bonaire;2022;560.0;26440.0
444;Total all earninggroups;H+J Transport, ICT;St. Eustatius;2011;180.0;54680.0
445;Total all earninggroups;H+J Transport, ICT;St. Eustatius;2012;180.0;58920.0
446;Total all earninggroups;H+J Transport, ICT;St. Eustatius;2013;190.0;58010.0
447;Total all earninggroups;H+J Transport, ICT;St. Eustatius;2014;200.0;60040.0
448;Total all earninggroups;H+J Transport, ICT;St. Eustatius;2015;200.0;59860.0
449;Total all earninggroups;H+J Transport, ICT;St. Eustatius;2016;200.0;62080.0
450;Total all earninggroups;H+J Transport, ICT;St. Eustatius;2017;180.0;62450.0
451;Total all earninggroups;H+J Transport, ICT;St. Eustatius;2018;200.0;54210.0
452;Total all earninggroups;H+J Transport, ICT;St. Eustatius;2019;190.0;59050.0
453;Total all earninggroups;H+J Transport, ICT;St. Eustatius;2020;160.0;63730.0
454;Total all earninggroups;H+J Transport, ICT;St. Eustatius;2021;170.0;60890.0
455;Total all earninggroups;H+J Transport, ICT;St. Eustatius;2022;170.0;58510.0
456;Total all earninggroups;H+J Transport, ICT;Saba;2011;20.0;34040.0
457;Total all earninggroups;H+J Transport, ICT;Saba;2012;20.0;39520.0
458;Total all earninggroups;H+J Transport, ICT;Saba;2013;10.0;11750.0
459;Total all earninggroups;H+J Transport, ICT;Saba;2014;20.0;31250.0
460;Total all earninggroups;H+J Transport, ICT;Saba;2015;20.0;31700.0
461;Total all earninggroups;H+J Transport, ICT;Saba;2016;20.0;29830.0
462;Total all earninggroups;H+J Transport, ICT;Saba;2017;30.0;27610.0
463;Total all earninggroups;H+J Transport, ICT;Saba;2018;40.0;24240.0
464;Total all earninggroups;H+J Transport, ICT;Saba;2019;30.0;28180.0
465;Total all earninggroups;H+J Transport, ICT;Saba;2020;20.0;30700.0
466;Total all earninggroups;H+J Transport, ICT;Saba;2021;30.0;26590.0
467;Total all earninggroups;H+J Transport, ICT;Saba;2022;30.0;29730.0
468;Total all earninggroups;H+J Transport, ICT;Unclassifiable;2011;;
469;Total all earninggroups;H+J Transport, ICT;Unclassifiable;2012;;
470;Total all earninggroups;H+J Transport, ICT;Unclassifiable;2013;;
471;Total all earninggroups;H+J Transport, ICT;Unclassifiable;2014;;
472;Total all earninggroups;H+J Transport, ICT;Unclassifiable;2015;;
473;Total all earninggroups;H+J Transport, ICT;Unclassifiable;2016;;
474;Total all earninggroups;H+J Transport, ICT;Unclassifiable;2017;;
475;Total all earninggroups;H+J Transport, ICT;Unclassifiable;2018;;
476;Total all earninggroups;H+J Transport, ICT;Unclassifiable;2019;;
477;Total all earninggroups;H+J Transport, ICT;Unclassifiable;2020;;
478;Total all earninggroups;H+J Transport, ICT;Unclassifiable;2021;;
479;Total all earninggroups;H+J Transport, ICT;Unclassifiable;2022;;
480;Total all earninggroups;I Accommodation and food serving;Caribbean Netherlands;2011;950.0;16730.0
481;Total all earninggroups;I Accommodation and food serving;Caribbean Netherlands;2012;970.0;16720.0
482;Total all earninggroups;I Accommodation and food serving;Caribbean Netherlands;2013;990.0;17040.0
483;Total all earninggroups;I Accommodation and food serving;Caribbean Netherlands;2014;1030.0;17710.0
484;Total all earninggroups;I Accommodation and food serving;Caribbean Netherlands;2015;1180.0;18610.0
485;Total all earninggroups;I Accommodation and food serving;Caribbean Netherlands;2016;1220.0;17150.0
486;Total all earninggroups;I Accommodation and food serving;Caribbean Netherlands;2017;1520.0;17210.0
487;Total all earninggroups;I Accommodation and food serving;Caribbean Netherlands;2018;1640.0;16450.0
488;Total all earninggroups;I Accommodation and food serving;Caribbean Netherlands;2019;1780.0;16950.0
489;Total all earninggroups;I Accommodation and food serving;Caribbean Netherlands;2020;1660.0;16710.0
490;Total all earninggroups;I Accommodation and food serving;Caribbean Netherlands;2021;1600.0;17510.0
491;Total all earninggroups;I Accommodation and food serving;Caribbean Netherlands;2022;1820.0;19020.0
492;Total all earninggroups;I Accommodation and food serving;Bonaire;2011;860.0;17320.0
493;Total all earninggroups;I Accommodation and food serving;Bonaire;2012;880.0;16610.0
494;Total all earninggroups;I Accommodation and food serving;Bonaire;2013;880.0;16670.0
495;Total all earninggroups;I Accommodation and food serving;Bonaire;2014;900.0;17200.0
496;Total all earninggroups;I Accommodation and food serving;Bonaire;2015;1020.0;18010.0
497;Total all earninggroups;I Accommodation and food serving;Bonaire;2016;1070.0;16480.0
498;Total all earninggroups;I Accommodation and food serving;Bonaire;2017;1410.0;17270.0
499;Total all earninggroups;I Accommodation and food serving;Bonaire;2018;1500.0;16810.0
500;Total all earninggroups;I Accommodation and food serving;Bonaire;2019;1650.0;17150.0
501;Total all earninggroups;I Accommodation and food serving;Bonaire;2020;1520.0;16840.0
502;Total all earninggroups;I Accommodation and food serving;Bonaire;2021;1470.0;17740.0
503;Total all earninggroups;I Accommodation and food serving;Bonaire;2022;1700.0;19160.0
504;Total all earninggroups;I Accommodation and food serving;St. Eustatius;2011;60.0;11490.0
505;Total all earninggroups;I Accommodation and food serving;St. Eustatius;2012;60.0;20140.0
506;Total all earninggroups;I Accommodation and food serving;St. Eustatius;2013;80.0;22350.0
507;Total all earninggroups;I Accommodation and food serving;St. Eustatius;2014;100.0;23590.0
508;Total all earninggroups;I Accommodation and food serving;St. Eustatius;2015;130.0;24420.0
509;Total all earninggroups;I Accommodation and food serving;St. Eustatius;2016;110.0;24090.0
510;Total all earninggroups;I Accommodation and food serving;St. Eustatius;2017;60.0;17190.0
511;Total all earninggroups;I Accommodation and food serving;St. Eustatius;2018;70.0;11850.0
512;Total all earninggroups;I Accommodation and food serving;St. Eustatius;2019;70.0;14700.0
513;Total all earninggroups;I Accommodation and food serving;St. Eustatius;2020;60.0;14960.0
514;Total all earninggroups;I Accommodation and food serving;St. Eustatius;2021;70.0;15000.0
515;Total all earninggroups;I Accommodation and food serving;St. Eustatius;2022;70.0;16870.0
516;Total all earninggroups;I Accommodation and food serving;Saba;2011;30.0;10370.0
517;Total all earninggroups;I Accommodation and food serving;Saba;2012;20.0;11400.0
518;Total all earninggroups;I Accommodation and food serving;Saba;2013;20.0;12810.0
519;Total all earninggroups;I Accommodation and food serving;Saba;2014;30.0;13570.0
520;Total all earninggroups;I Accommodation and food serving;Saba;2015;40.0;15310.0
521;Total all earninggroups;I Accommodation and food serving;Saba;2016;40.0;15820.0
522;Total all earninggroups;I Accommodation and food serving;Saba;2017;60.0;15740.0
523;Total all earninggroups;I Accommodation and food serving;Saba;2018;70.0;13170.0
524;Total all earninggroups;I Accommodation and food serving;Saba;2019;70.0;14190.0
525;Total all earninggroups;I Accommodation and food serving;Saba;2020;70.0;15410.0
526;Total all earninggroups;I Accommodation and food serving;Saba;2021;60.0;14740.0
527;Total all earninggroups;I Accommodation and food serving;Saba;2022;50.0;17250.0
528;Total all earninggroups;I Accommodation and food serving;Unclassifiable;2011;;
529;Total all earninggroups;I Accommodation and food serving;Unclassifiable;2012;;
530;Total all earninggroups;I Accommodation and food serving;Unclassifiable;2013;;
531;Total all earninggroups;I Accommodation and food serving;Unclassifiable;2014;;
532;Total all earninggroups;I Accommodation and food serving;Unclassifiable;2015;;
533;Total all earninggroups;I Accommodation and food serving;Unclassifiable;2016;;
534;Total all earninggroups;I Accommodation and food serving;Unclassifiable;2017;;
535;Total all earninggroups;I Accommodation and food serving;Unclassifiable;2018;;
536;Total all earninggroups;I Accommodation and food serving;Unclassifiable;2019;;
537;Total all earninggroups;I Accommodation and food serving;Unclassifiable;2020;;
538;Total all earninggroups;I Accommodation and food serving;Unclassifiable;2021;;
539;Total all earninggroups;I Accommodation and food serving;Unclassifiable;2022;;
540;Total all earninggroups;K Financial institutions;Caribbean Netherlands;2011;490.0;26660.0
541;Total all earninggroups;K Financial institutions;Caribbean Netherlands;2012;450.0;30470.0
542;Total all earninggroups;K Financial institutions;Caribbean Netherlands;2013;440.0;30440.0
543;Total all earninggroups;K Financial institutions;Caribbean Netherlands;2014;510.0;29250.0
544;Total all earninggroups;K Financial institutions;Caribbean Netherlands;2015;580.0;28530.0
545;Total all earninggroups;K Financial institutions;Caribbean Netherlands;2016;600.0;27030.0
546;Total all earninggroups;K Financial institutions;Caribbean Netherlands;2017;260.0;41910.0
547;Total all earninggroups;K Financial institutions;Caribbean Netherlands;2018;290.0;37610.0
548;Total all earninggroups;K Financial institutions;Caribbean Netherlands;2019;280.0;39270.0
