ID;NACERev1;Period;Sales_1;Prices_2;Volume_3;Sales_4;Prices_5;Volume_6
4420;5248.2 Optical articles;1995 January;;;;;;
4421;5248.2 Optical articles;1995 February;;;;;;
4422;5248.2 Optical articles;1995 March;;;;;;
4423;5248.2 Optical articles;1995 1st quarter;95.0;99.0;96.0;-2.0;1.0;-2.9
4424;5248.2 Optical articles;1995 April;;;;;;
4425;5248.2 Optical articles;1995 May;;;;;;
4426;5248.2 Optical articles;1995 June;;;;;;
4427;5248.2 Optical articles;1995 2nd quarter;102.0;100.0;102.0;-1.9;1.7;-3.5
4428;5248.2 Optical articles;1995 July;;;;;;
4429;5248.2 Optical articles;1995 August;;;;;;
4430;5248.2 Optical articles;1995 September;;;;;;
4431;5248.2 Optical articles;1995 3rd quarter;103.0;100.0;103.0;0.4;1.6;-1.2
4432;5248.2 Optical articles;1995 October;;;;;;
4433;5248.2 Optical articles;1995 November;;;;;;
4434;5248.2 Optical articles;1995 December;;;;;;
4435;5248.2 Optical articles;1995 4th quarter;101.0;101.0;99.0;-3.2;2.4;-5.5
4436;5248.2 Optical articles;1995;100.0;100.0;100.0;-1.2;1.7;-2.9
4437;5248.2 Optical articles;1996 January;;;;;;
4438;5248.2 Optical articles;1996 February;;;;;;
4439;5248.2 Optical articles;1996 March;;;;;;
4440;5248.2 Optical articles;1996 1st quarter;98.0;100.0;98.0;4.3;0.0;4.3
4441;5248.2 Optical articles;1996 April;;;;;;
4442;5248.2 Optical articles;1996 May;;;;;;
4443;5248.2 Optical articles;1996 June;;;;;;
4444;5248.2 Optical articles;1996 2nd quarter;105.0;100.0;105.0;3.8;0.1;3.8
4445;5248.2 Optical articles;1996 July;;;;;;
4446;5248.2 Optical articles;1996 August;;;;;;
4447;5248.2 Optical articles;1996 September;;;;;;
4448;5248.2 Optical articles;1996 3rd quarter;102.0;100.0;102.0;-0.3;-0.7;0.5
4449;5248.2 Optical articles;1996 October;;;;;;
4450;5248.2 Optical articles;1996 November;;;;;;
4451;5248.2 Optical articles;1996 December;;;;;;
4452;5248.2 Optical articles;1996 4th quarter;101.0;100.0;101.0;1.8;-0.7;2.5
4453;5248.2 Optical articles;1996;102.0;100.0;102.0;1.8;-0.1;1.9
4454;5248.2 Optical articles;1997 January;;;;;;
4455;5248.2 Optical articles;1997 February;;;;;;
4456;5248.2 Optical articles;1997 March;;;;;;
4457;5248.2 Optical articles;1997 1st quarter;101.0;101.0;101.0;3.4;0.7;2.6
4458;5248.2 Optical articles;1997 April;;;;;;
4459;5248.2 Optical articles;1997 May;;;;;;
4460;5248.2 Optical articles;1997 June;;;;;;
4461;5248.2 Optical articles;1997 2nd quarter;111.0;100.0;111.0;6.6;0.1;6.4
4462;5248.2 Optical articles;1997 July;;;;;;
4463;5248.2 Optical articles;1997 August;;;;;;
4464;5248.2 Optical articles;1997 September;;;;;;
4465;5248.2 Optical articles;1997 3rd quarter;108.0;100.0;108.0;6.4;0.2;6.2
4466;5248.2 Optical articles;1997 October;;;;;;
4467;5248.2 Optical articles;1997 November;;;;;;
4468;5248.2 Optical articles;1997 December;;;;;;
4469;5248.2 Optical articles;1997 4th quarter;109.0;100.0;109.0;8.4;0.2;8.2
4470;5248.2 Optical articles;1997;108.0;100.0;107.0;6.2;0.3;5.8
4471;5248.2 Optical articles;1998 January;;;;;;
4472;5248.2 Optical articles;1998 February;;;;;;
4473;5248.2 Optical articles;1998 March;;;;;;
4474;5248.2 Optical articles;1998 1st quarter;109.0;101.0;108.0;7.2;0.4;6.8
4475;5248.2 Optical articles;1998 April;;;;;;
4476;5248.2 Optical articles;1998 May;;;;;;
4477;5248.2 Optical articles;1998 June;;;;;;
4478;5248.2 Optical articles;1998 2nd quarter;120.0;101.0;119.0;7.5;1.0;6.4
4479;5248.2 Optical articles;1998 July;;;;;;
4480;5248.2 Optical articles;1998 August;;;;;;
4481;5248.2 Optical articles;1998 September;;;;;;
4482;5248.2 Optical articles;1998 3rd quarter;114.0;101.0;113.0;5.5;1.0;4.5
4483;5248.2 Optical articles;1998 October;;;;;;
4484;5248.2 Optical articles;1998 November;;;;;;
4485;5248.2 Optical articles;1998 December;;;;;;
4486;5248.2 Optical articles;1998 4th quarter;117.0;102.0;115.0;6.5;1.3;5.1
4487;5248.2 Optical articles;1998;115.0;101.0;114.0;6.7;0.9;5.7
4488;5248.2 Optical articles;1999 January;;;;;;
4489;5248.2 Optical articles;1999 February;;;;;;
4490;5248.2 Optical articles;1999 March;;;;;;
4491;5248.2 Optical articles;1999 1st quarter;121.0;102.0;118.0;10.4;1.0;9.3
4492;5248.2 Optical articles;1999 April;;;;;;
4493;5248.2 Optical articles;1999 May;;;;;;
4494;5248.2 Optical articles;1999 June;;;;;;
4495;5248.2 Optical articles;1999 2nd quarter;128.0;102.0;126.0;7.1;1.0;6.1
4496;5248.2 Optical articles;1999 July;;;;;;
4497;5248.2 Optical articles;1999 August;;;;;;
4498;5248.2 Optical articles;1999 September;;;;;;
4499;5248.2 Optical articles;1999 3rd quarter;132.0;102.0;129.0;15.6;1.0;14.4
4500;5248.2 Optical articles;1999 October;;;;;;
4501;5248.2 Optical articles;1999 November;;;;;;
4502;5248.2 Optical articles;1999 December;;;;;;
4503;5248.2 Optical articles;1999 4th quarter;130.0;103.0;127.0;11.9;1.0;10.7
4504;5248.2 Optical articles;1999;128.0;102.0;125.0;11.2;1.0;10.1
4505;5248.2 Optical articles;2000 January;125.0;103.0;122.0;0.3;1.0;-0.7
4506;5248.2 Optical articles;2000 February;126.0;103.0;122.0;13.5;1.0;12.3
4507;5248.2 Optical articles;2000 March;141.0;103.0;137.0;12.4;1.1;11.2
4508;5248.2 Optical articles;2000 1st quarter;131.0;103.0;127.0;8.5;1.0;7.4
4509;5248.2 Optical articles;2000 April;130.0;103.0;126.0;5.0;1.1;3.8
4510;5248.2 Optical articles;2000 May;137.0;104.0;132.0;12.5;2.0;10.4
4511;5248.2 Optical articles;2000 June;145.0;104.0;139.0;4.0;2.0;2.0
4512;5248.2 Optical articles;2000 2nd quarter;137.0;104.0;132.0;7.0;1.7;5.3
4513;5248.2 Optical articles;2000 July;139.0;104.0;134.0;-1.3;2.0;-3.2
4514;5248.2 Optical articles;2000 August;134.0;104.0;129.0;9.9;2.0;7.8
4515;5248.2 Optical articles;2000 September;139.0;104.0;134.0;5.9;2.0;3.8
4516;5248.2 Optical articles;2000 3rd quarter;138.0;104.0;132.0;4.6;2.0;2.5
4517;5248.2 Optical articles;2000 October;129.0;104.0;124.0;0.4;2.0;-1.6
4518;5248.2 Optical articles;2000 November;137.0;104.0;132.0;8.3;1.1;7.1
4519;5248.2 Optical articles;2000 December;147.0;105.0;140.0;8.0;2.0;5.9
4520;5248.2 Optical articles;2000 4th quarter;138.0;104.0;132.0;5.6;1.7;3.8
4521;5248.2 Optical articles;2000;136.0;104.0;131.0;6.4;1.6;4.7
4522;5248.3 Jewellery, clocks, and watches;1994 January;;;;;;
4523;5248.3 Jewellery, clocks, and watches;1994 February;;;;;;
4524;5248.3 Jewellery, clocks, and watches;1994 March;;;;;;
4525;5248.3 Jewellery, clocks, and watches;1994 1st quarter;;;;;;
4526;5248.3 Jewellery, clocks, and watches;1994 April;;;;;;
4527;5248.3 Jewellery, clocks, and watches;1994 May;;;;;;
4528;5248.3 Jewellery, clocks, and watches;1994 June;;;;;;
4529;5248.3 Jewellery, clocks, and watches;1994 2nd quarter;;;;;;
4530;5248.3 Jewellery, clocks, and watches;1994 July;;;;;;
4531;5248.3 Jewellery, clocks, and watches;1994 August;;;;;;
4532;5248.3 Jewellery, clocks, and watches;1994 September;;;;;;
4533;5248.3 Jewellery, clocks, and watches;1994 3rd quarter;;;;;;
4534;5248.3 Jewellery, clocks, and watches;1994 October;;;;;;
4535;5248.3 Jewellery, clocks, and watches;1994 November;;;;;;
4536;5248.3 Jewellery, clocks, and watches;1994 December;;;;;;
4537;5248.3 Jewellery, clocks, and watches;1994 4th quarter;;;;;;
4538;5248.3 Jewellery, clocks, and watches;1994;102.0;100.0;102.0;;;
4539;5248.3 Jewellery, clocks, and watches;1995 January;;;;;;
4540;5248.3 Jewellery, clocks, and watches;1995 February;;;;;;
4541;5248.3 Jewellery, clocks, and watches;1995 March;;;;;;
4542;5248.3 Jewellery, clocks, and watches;1995 1st quarter;82.0;100.0;82.0;-3.1;0.6;-3.7
4543;5248.3 Jewellery, clocks, and watches;1995 April;;;;;;
4544;5248.3 Jewellery, clocks, and watches;1995 May;;;;;;
4545;5248.3 Jewellery, clocks, and watches;1995 June;;;;;;
4546;5248.3 Jewellery, clocks, and watches;1995 2nd quarter;101.0;100.0;101.0;-3.6;0.1;-3.7
4547;5248.3 Jewellery, clocks, and watches;1995 July;;;;;;
4548;5248.3 Jewellery, clocks, and watches;1995 August;;;;;;
4549;5248.3 Jewellery, clocks, and watches;1995 September;;;;;;
4550;5248.3 Jewellery, clocks, and watches;1995 3rd quarter;101.0;100.0;101.0;-2.8;-0.5;-2.4
4551;5248.3 Jewellery, clocks, and watches;1995 October;;;;;;
4552;5248.3 Jewellery, clocks, and watches;1995 November;;;;;;
4553;5248.3 Jewellery, clocks, and watches;1995 December;;;;;;
4554;5248.3 Jewellery, clocks, and watches;1995 4th quarter;116.0;100.0;116.0;-2.6;-0.5;-2.0
4555;5248.3 Jewellery, clocks, and watches;1995;100.0;100.0;100.0;-1.7;-0.1;-1.6
4556;5248.3 Jewellery, clocks, and watches;1996 January;;;;;;
4557;5248.3 Jewellery, clocks, and watches;1996 February;;;;;;
4558;5248.3 Jewellery, clocks, and watches;1996 March;;;;;;
4559;5248.3 Jewellery, clocks, and watches;1996 1st quarter;83.0;99.0;84.0;0.9;-1.7;2.7
4560;5248.3 Jewellery, clocks, and watches;1996 April;;;;;;
4561;5248.3 Jewellery, clocks, and watches;1996 May;;;;;;
4562;5248.3 Jewellery, clocks, and watches;1996 June;;;;;;
4563;5248.3 Jewellery, clocks, and watches;1996 2nd quarter;107.0;99.0;108.0;5.3;-1.2;6.5
4564;5248.3 Jewellery, clocks, and watches;1996 July;;;;;;
4565;5248.3 Jewellery, clocks, and watches;1996 August;;;;;;
4566;5248.3 Jewellery, clocks, and watches;1996 September;;;;;;
4567;5248.3 Jewellery, clocks, and watches;1996 3rd quarter;105.0;99.0;107.0;4.6;-2.2;6.9
4568;5248.3 Jewellery, clocks, and watches;1996 October;;;;;;
4569;5248.3 Jewellery, clocks, and watches;1996 November;;;;;;
4570;5248.3 Jewellery, clocks, and watches;1996 December;;;;;;
4571;5248.3 Jewellery, clocks, and watches;1996 4th quarter;123.0;98.0;125.0;6.6;-2.3;9.0
4572;5248.3 Jewellery, clocks, and watches;1996;104.0;99.0;106.0;4.6;-1.4;6.1
4573;5248.3 Jewellery, clocks, and watches;1997 January;;;;;;
4574;5248.3 Jewellery, clocks, and watches;1997 February;;;;;;
4575;5248.3 Jewellery, clocks, and watches;1997 March;;;;;;
4576;5248.3 Jewellery, clocks, and watches;1997 1st quarter;94.0;99.0;94.0;12.9;0.4;12.5
4577;5248.3 Jewellery, clocks, and watches;1997 April;;;;;;
4578;5248.3 Jewellery, clocks, and watches;1997 May;;;;;;
4579;5248.3 Jewellery, clocks, and watches;1997 June;;;;;;
4580;5248.3 Jewellery, clocks, and watches;1997 2nd quarter;122.0;100.0;122.0;14.1;0.7;13.3
4581;5248.3 Jewellery, clocks, and watches;1997 July;;;;;;
4582;5248.3 Jewellery, clocks, and watches;1997 August;;;;;;
4583;5248.3 Jewellery, clocks, and watches;1997 September;;;;;;
4584;5248.3 Jewellery, clocks, and watches;1997 3rd quarter;125.0;99.0;125.0;18.7;0.8;17.7
4585;5248.3 Jewellery, clocks, and watches;1997 October;;;;;;
4586;5248.3 Jewellery, clocks, and watches;1997 November;;;;;;
4587;5248.3 Jewellery, clocks, and watches;1997 December;;;;;;
4588;5248.3 Jewellery, clocks, and watches;1997 4th quarter;141.0;101.0;140.0;14.7;2.4;12.1
4589;5248.3 Jewellery, clocks, and watches;1997;120.0;100.0;121.0;15.1;1.1;13.9
4590;5248.3 Jewellery, clocks, and watches;1998 January;;;;;;
4591;5248.3 Jewellery, clocks, and watches;1998 February;;;;;;
4592;5248.3 Jewellery, clocks, and watches;1998 March;;;;;;
4593;5248.3 Jewellery, clocks, and watches;1998 1st quarter;103.0;99.0;104.0;10.3;0.3;10.0
4594;5248.3 Jewellery, clocks, and watches;1998 April;;;;;;
4595;5248.3 Jewellery, clocks, and watches;1998 May;;;;;;
4596;5248.3 Jewellery, clocks, and watches;1998 June;;;;;;
4597;5248.3 Jewellery, clocks, and watches;1998 2nd quarter;125.0;100.0;125.0;3.2;0.4;2.8
4598;5248.3 Jewellery, clocks, and watches;1998 July;;;;;;
4599;5248.3 Jewellery, clocks, and watches;1998 August;;;;;;
4600;5248.3 Jewellery, clocks, and watches;1998 September;;;;;;
4601;5248.3 Jewellery, clocks, and watches;1998 3rd quarter;128.0;100.0;128.0;2.5;0.7;1.8
4602;5248.3 Jewellery, clocks, and watches;1998 October;;;;;;
4603;5248.3 Jewellery, clocks, and watches;1998 November;;;;;;
4604;5248.3 Jewellery, clocks, and watches;1998 December;;;;;;
4605;5248.3 Jewellery, clocks, and watches;1998 4th quarter;149.0;100.0;149.0;5.9;-0.5;6.5
4606;5248.3 Jewellery, clocks, and watches;1998;126.0;100.0;127.0;5.2;0.2;5.0
4607;5248.3 Jewellery, clocks, and watches;1999 January;;;;;;
4608;5248.3 Jewellery, clocks, and watches;1999 February;;;;;;
4609;5248.3 Jewellery, clocks, and watches;1999 March;;;;;;
4610;5248.3 Jewellery, clocks, and watches;1999 1st quarter;112.0;100.0;112.0;8.1;0.7;7.4
4611;5248.3 Jewellery, clocks, and watches;1999 April;;;;;;
4612;5248.3 Jewellery, clocks, and watches;1999 May;;;;;;
4613;5248.3 Jewellery, clocks, and watches;1999 June;;;;;;
4614;5248.3 Jewellery, clocks, and watches;1999 2nd quarter;130.0;100.0;130.0;3.8;0.1;3.7
4615;5248.3 Jewellery, clocks, and watches;1999 July;;;;;;
4616;5248.3 Jewellery, clocks, and watches;1999 August;;;;;;
4617;5248.3 Jewellery, clocks, and watches;1999 September;;;;;;
4618;5248.3 Jewellery, clocks, and watches;1999 3rd quarter;137.0;100.0;137.0;7.1;0.1;7.0
4619;5248.3 Jewellery, clocks, and watches;1999 October;;;;;;
4620;5248.3 Jewellery, clocks, and watches;1999 November;;;;;;
4621;5248.3 Jewellery, clocks, and watches;1999 December;;;;;;
4622;5248.3 Jewellery, clocks, and watches;1999 4th quarter;162.0;101.0;161.0;8.7;1.0;7.6
4623;5248.3 Jewellery, clocks, and watches;1999;135.0;100.0;135.0;7.0;0.5;6.5
4624;5248.3 Jewellery, clocks, and watches;2000 January;120.0;101.0;119.0;4.1;1.0;3.1
4625;5248.3 Jewellery, clocks, and watches;2000 February;116.0;101.0;115.0;11.7;1.0;10.6
4626;5248.3 Jewellery, clocks, and watches;2000 March;121.0;101.0;119.0;3.8;1.0;2.8
4627;5248.3 Jewellery, clocks, and watches;2000 1st quarter;119.0;101.0;118.0;6.4;1.0;5.3
4628;5248.3 Jewellery, clocks, and watches;2000 April;122.0;101.0;121.0;7.2;1.0;6.1
4629;5248.3 Jewellery, clocks, and watches;2000 May;153.0;101.0;151.0;15.7;1.1;14.5
4630;5248.3 Jewellery, clocks, and watches;2000 June;138.0;102.0;135.0;-4.0;2.0;-5.9
4631;5248.3 Jewellery, clocks, and watches;2000 2nd quarter;138.0;101.0;136.0;6.0;1.4;4.5
4632;5248.3 Jewellery, clocks, and watches;2000 July;139.0;101.0;137.0;-1.7;1.1;-2.8
4633;5248.3 Jewellery, clocks, and watches;2000 August;141.0;101.0;140.0;5.2;1.1;4.1
4634;5248.3 Jewellery, clocks, and watches;2000 September;147.0;101.0;145.0;8.8;1.1;7.6
4635;5248.3 Jewellery, clocks, and watches;2000 3rd quarter;142.0;101.0;141.0;4.0;1.1;2.9
4636;5248.3 Jewellery, clocks, and watches;2000 October;139.0;102.0;136.0;16.2;1.1;14.9
4637;5248.3 Jewellery, clocks, and watches;2000 November;143.0;102.0;140.0;8.0;1.0;6.9
4638;5248.3 Jewellery, clocks, and watches;2000 December;251.0;102.0;245.0;6.8;1.1;5.7
4639;5248.3 Jewellery, clocks, and watches;2000 4th quarter;178.0;102.0;174.0;9.4;1.1;8.3
4640;5248.3 Jewellery, clocks, and watches;2000;144.0;101.0;142.0;6.6;1.1;5.4
4641;5248.5 Bicycles;1994 January;;;;;;
4642;5248.5 Bicycles;1994 February;;;;;;
4643;5248.5 Bicycles;1994 March;;;;;;
4644;5248.5 Bicycles;1994 1st quarter;;;;;;
4645;5248.5 Bicycles;1994 April;;;;;;
4646;5248.5 Bicycles;1994 May;;;;;;
4647;5248.5 Bicycles;1994 June;;;;;;
4648;5248.5 Bicycles;1994 2nd quarter;;;;;;
4649;5248.5 Bicycles;1994 July;;;;;;
4650;5248.5 Bicycles;1994 August;;;;;;
4651;5248.5 Bicycles;1994 September;;;;;;
4652;5248.5 Bicycles;1994 3rd quarter;;;;;;
4653;5248.5 Bicycles;1994 October;;;;;;
4654;5248.5 Bicycles;1994 November;;;;;;
4655;5248.5 Bicycles;1994 December;;;;;;
4656;5248.5 Bicycles;1994 4th quarter;;;;;;
4657;5248.5 Bicycles;1994;101.0;98.0;103.0;;;
4658;5248.5 Bicycles;1995 January;;;;;;
4659;5248.5 Bicycles;1995 February;;;;;;
4660;5248.5 Bicycles;1995 March;;;;;;
4661;5248.5 Bicycles;1995 1st quarter;;;;;;
4662;5248.5 Bicycles;1995 April;;;;;;
4663;5248.5 Bicycles;1995 May;;;;;;
4664;5248.5 Bicycles;1995 June;;;;;;
4665;5248.5 Bicycles;1995 2nd quarter;;;;;;
4666;5248.5 Bicycles;1995 July;;;;;;
4667;5248.5 Bicycles;1995 August;;;;;;
4668;5248.5 Bicycles;1995 September;;;;;;
4669;5248.5 Bicycles;1995 3rd quarter;;;;;;
4670;5248.5 Bicycles;1995 October;;;;;;
4671;5248.5 Bicycles;1995 November;;;;;;
4672;5248.5 Bicycles;1995 December;;;;;;
4673;5248.5 Bicycles;1995 4th quarter;;;;;;
4674;5248.5 Bicycles;1995;100.0;100.0;100.0;-0.5;2.1;-2.6
4675;5248.5 Bicycles;1996 January;;;;;;
4676;5248.5 Bicycles;1996 February;;;;;;
4677;5248.5 Bicycles;1996 March;;;;;;
4678;5248.5 Bicycles;1996 1st quarter;;;;;;
4679;5248.5 Bicycles;1996 April;;;;;;
4680;5248.5 Bicycles;1996 May;;;;;;
4681;5248.5 Bicycles;1996 June;;;;;;
4682;5248.5 Bicycles;1996 2nd quarter;;;;;;
4683;5248.5 Bicycles;1996 July;;;;;;
4684;5248.5 Bicycles;1996 August;;;;;;
4685;5248.5 Bicycles;1996 September;;;;;;
4686;5248.5 Bicycles;1996 3rd quarter;;;;;;
4687;5248.5 Bicycles;1996 October;;;;;;
4688;5248.5 Bicycles;1996 November;;;;;;
4689;5248.5 Bicycles;1996 December;;;;;;
4690;5248.5 Bicycles;1996 4th quarter;;;;;;
4691;5248.5 Bicycles;1996;99.0;109.0;91.0;-1.3;8.6;-9.4
4692;5248.5 Bicycles;1997 January;;;;;;
4693;5248.5 Bicycles;1997 February;;;;;;
4694;5248.5 Bicycles;1997 March;;;;;;
4695;5248.5 Bicycles;1997 1st quarter;;;;;;
4696;5248.5 Bicycles;1997 April;;;;;;
4697;5248.5 Bicycles;1997 May;;;;;;
4698;5248.5 Bicycles;1997 June;;;;;;
4699;5248.5 Bicycles;1997 2nd quarter;;;;;;
4700;5248.5 Bicycles;1997 July;;;;;;
4701;5248.5 Bicycles;1997 August;;;;;;
4702;5248.5 Bicycles;1997 September;;;;;;
4703;5248.5 Bicycles;1997 3rd quarter;;;;;;
4704;5248.5 Bicycles;1997 October;;;;;;
4705;5248.5 Bicycles;1997 November;;;;;;
4706;5248.5 Bicycles;1997 December;;;;;;
4707;5248.5 Bicycles;1997 4th quarter;;;;;;
4708;5248.5 Bicycles;1997;109.0;103.0;105.0;9.9;-5.0;15.6
4709;5248.5 Bicycles;1998 January;;;;;;
4710;5248.5 Bicycles;1998 February;;;;;;
4711;5248.5 Bicycles;1998 March;;;;;;
4712;5248.5 Bicycles;1998 1st quarter;86.0;104.0;83.0;3.3;0.7;2.7
4713;5248.5 Bicycles;1998 April;;;;;;
4714;5248.5 Bicycles;1998 May;;;;;;
4715;5248.5 Bicycles;1998 June;;;;;;
4716;5248.5 Bicycles;1998 2nd quarter;148.0;104.0;142.0;9.0;1.1;7.7
4717;5248.5 Bicycles;1998 July;;;;;;
4718;5248.5 Bicycles;1998 August;;;;;;
4719;5248.5 Bicycles;1998 September;;;;;;
4720;5248.5 Bicycles;1998 3rd quarter;131.0;105.0;125.0;-3.6;1.0;-4.6
4721;5248.5 Bicycles;1998 October;;;;;;
4722;5248.5 Bicycles;1998 November;;;;;;
4723;5248.5 Bicycles;1998 December;;;;;;
4724;5248.5 Bicycles;1998 4th quarter;82.0;105.0;78.0;3.7;1.3;2.4
4725;5248.5 Bicycles;1998;112.0;104.0;107.0;3.0;1.0;1.9
4726;5248.5 Bicycles;1999 January;;;;;;
4727;5248.5 Bicycles;1999 February;;;;;;
4728;5248.5 Bicycles;1999 March;;;;;;
4729;5248.5 Bicycles;1999 1st quarter;93.0;105.0;88.0;8.0;1.3;6.6
4730;5248.5 Bicycles;1999 April;;;;;;
4731;5248.5 Bicycles;1999 May;;;;;;
4732;5248.5 Bicycles;1999 June;;;;;;
4733;5248.5 Bicycles;1999 2nd quarter;153.0;105.0;145.0;3.0;1.0;2.0
4734;5248.5 Bicycles;1999 July;;;;;;
4735;5248.5 Bicycles;1999 August;;;;;;
4736;5248.5 Bicycles;1999 September;;;;;;
4737;5248.5 Bicycles;1999 3rd quarter;138.0;106.0;130.0;5.2;1.5;3.7
4738;5248.5 Bicycles;1999 October;;;;;;
4739;5248.5 Bicycles;1999 November;;;;;;
4740;5248.5 Bicycles;1999 December;;;;;;
4741;5248.5 Bicycles;1999 4th quarter;87.0;107.0;81.0;5.8;2.6;3.1
4742;5248.5 Bicycles;1999;118.0;106.0;111.0;5.1;1.6;3.5
4743;5248.5 Bicycles;2000 January;78.0;109.0;71.0;-1.5;3.8;-5.1
4744;5248.5 Bicycles;2000 February;88.0;109.0;81.0;13.5;3.3;9.9
4745;5248.5 Bicycles;2000 March;118.0;109.0;108.0;-3.3;3.6;-6.7
4746;5248.5 Bicycles;2000 1st quarter;95.0;109.0;87.0;1.9;3.6;-1.6
4747;5248.5 Bicycles;2000 April;147.0;109.0;136.0;5.6;3.1;2.4
4748;5248.5 Bicycles;2000 May;175.0;109.0;161.0;11.5;2.9;8.3
4749;5248.5 Bicycles;2000 June;161.0;109.0;147.0;-0.9;3.6;-4.3
4750;5248.5 Bicycles;2000 2nd quarter;161.0;109.0;148.0;5.3;3.2;2.0
4751;5248.5 Bicycles;2000 July;149.0;109.0;136.0;-11.0;3.5;-14.1
4752;5248.5 Bicycles;2000 August;155.0;109.0;142.0;17.4;3.3;13.7
4753;5248.5 Bicycles;2000 September;118.0;110.0;107.0;4.2;3.1;1.1
4754;5248.5 Bicycles;2000 3rd quarter;141.0;110.0;128.0;2.3;3.3;-1.0
4755;5248.5 Bicycles;2000 October;90.0;112.0;81.0;4.1;4.1;-0.1
4756;5248.5 Bicycles;2000 November;90.0;113.0;80.0;12.1;5.1;6.6
4757;5248.5 Bicycles;2000 December;95.0;113.0;83.0;1.5;5.1;-3.5
4758;5248.5 Bicycles;2000 4th quarter;91.0;113.0;81.0;5.6;4.8;0.8
4759;5248.5 Bicycles;2000;122.0;110.0;111.0;3.8;3.7;0.1
4760;5248.6 + 5248.7 Sports and camping art.;1994 January;;;;;;
4761;5248.6 + 5248.7 Sports and camping art.;1994 February;;;;;;
4762;5248.6 + 5248.7 Sports and camping art.;1994 March;;;;;;
4763;5248.6 + 5248.7 Sports and camping art.;1994 1st quarter;;;;;;
4764;5248.6 + 5248.7 Sports and camping art.;1994 April;;;;;;
4765;5248.6 + 5248.7 Sports and camping art.;1994 May;;;;;;
4766;5248.6 + 5248.7 Sports and camping art.;1994 June;;;;;;
4767;5248.6 + 5248.7 Sports and camping art.;1994 2nd quarter;;;;;;
4768;5248.6 + 5248.7 Sports and camping art.;1994 July;;;;;;
4769;5248.6 + 5248.7 Sports and camping art.;1994 August;;;;;;
4770;5248.6 + 5248.7 Sports and camping art.;1994 September;;;;;;
4771;5248.6 + 5248.7 Sports and camping art.;1994 3rd quarter;;;;;;
4772;5248.6 + 5248.7 Sports and camping art.;1994 October;;;;;;
4773;5248.6 + 5248.7 Sports and camping art.;1994 November;;;;;;
4774;5248.6 + 5248.7 Sports and camping art.;1994 December;;;;;;
4775;5248.6 + 5248.7 Sports and camping art.;1994 4th quarter;;;;;;
4776;5248.6 + 5248.7 Sports and camping art.;1994;;;;;;
4777;5248.6 + 5248.7 Sports and camping art.;1995 January;;;;;;
4778;5248.6 + 5248.7 Sports and camping art.;1995 February;;;;;;
4779;5248.6 + 5248.7 Sports and camping art.;1995 March;;;;;;
4780;5248.6 + 5248.7 Sports and camping art.;1995 1st quarter;;;;;;
4781;5248.6 + 5248.7 Sports and camping art.;1995 April;;;;;;
4782;5248.6 + 5248.7 Sports and camping art.;1995 May;;;;;;
4783;5248.6 + 5248.7 Sports and camping art.;1995 June;;;;;;
4784;5248.6 + 5248.7 Sports and camping art.;1995 2nd quarter;;;;;;
4785;5248.6 + 5248.7 Sports and camping art.;1995 July;;;;;;
4786;5248.6 + 5248.7 Sports and camping art.;1995 August;;;;;;
4787;5248.6 + 5248.7 Sports and camping art.;1995 September;;;;;;
4788;5248.6 + 5248.7 Sports and camping art.;1995 3rd quarter;;;;;;
4789;5248.6 + 5248.7 Sports and camping art.;1995 October;;;;;;
4790;5248.6 + 5248.7 Sports and camping art.;1995 November;;;;;;
4791;5248.6 + 5248.7 Sports and camping art.;1995 December;;;;;;
4792;5248.6 + 5248.7 Sports and camping art.;1995 4th quarter;;;;;;
4793;5248.6 + 5248.7 Sports and camping art.;1995;;;;;;
4794;5248.6 + 5248.7 Sports and camping art.;1996 January;;;;;;
4795;5248.6 + 5248.7 Sports and camping art.;1996 February;;;;;;
4796;5248.6 + 5248.7 Sports and camping art.;1996 March;;;;;;
4797;5248.6 + 5248.7 Sports and camping art.;1996 1st quarter;;;;;;
4798;5248.6 + 5248.7 Sports and camping art.;1996 April;;;;;;
4799;5248.6 + 5248.7 Sports and camping art.;1996 May;;;;;;
4800;5248.6 + 5248.7 Sports and camping art.;1996 June;;;;;;
4801;5248.6 + 5248.7 Sports and camping art.;1996 2nd quarter;;;;;;
4802;5248.6 + 5248.7 Sports and camping art.;1996 July;;;;;;
4803;5248.6 + 5248.7 Sports and camping art.;1996 August;;;;;;
4804;5248.6 + 5248.7 Sports and camping art.;1996 September;;;;;;
4805;5248.6 + 5248.7 Sports and camping art.;1996 3rd quarter;;;;;;
4806;5248.6 + 5248.7 Sports and camping art.;1996 October;;;;;;
4807;5248.6 + 5248.7 Sports and camping art.;1996 November;;;;;;
4808;5248.6 + 5248.7 Sports and camping art.;1996 December;;;;;;
4809;5248.6 + 5248.7 Sports and camping art.;1996 4th quarter;;;;;;
4810;5248.6 + 5248.7 Sports and camping art.;1996;;;;;;
4811;5248.6 + 5248.7 Sports and camping art.;1997 January;;;;;;
4812;5248.6 + 5248.7 Sports and camping art.;1997 February;;;;;;
4813;5248.6 + 5248.7 Sports and camping art.;1997 March;;;;;;
4814;5248.6 + 5248.7 Sports and camping art.;1997 1st quarter;;;;;;
4815;5248.6 + 5248.7 Sports and camping art.;1997 April;;;;;;
4816;5248.6 + 5248.7 Sports and camping art.;1997 May;;;;;;
