ID;CountryOfUltimateControllingInstance;CharacteristicsOfCompanies;EducationLevelOfEducation;CharacteristicsOfJobsAndEmployees;Periods;EmployeeJobs_1;LabourVolume_2
8149;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Sex: Female;2011;;
8150;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Sex: Female;2012;;
8151;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Sex: Female;2013;41.0;23.0
8152;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Sex: Female;2014;41.0;23.0
8153;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Sex: Female;2015;39.0;21.0
8154;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Sex: Female;2016;39.0;21.0
8155;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Age: 15 to 34 years;2010;;
8156;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Age: 15 to 34 years;2011;;
8157;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Age: 15 to 34 years;2012;;
8158;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Age: 15 to 34 years;2013;25.0;15.0
8159;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Age: 15 to 34 years;2014;25.0;14.0
8160;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Age: 15 to 34 years;2015;24.0;13.0
8161;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Age: 15 to 34 years;2016;24.0;14.0
8162;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Age: 35 to 54 years;2010;;
8163;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Age: 35 to 54 years;2011;;
8164;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Age: 35 to 54 years;2012;;
8165;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Age: 35 to 54 years;2013;25.0;16.0
8166;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Age: 35 to 54 years;2014;24.0;16.0
8167;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Age: 35 to 54 years;2015;23.0;15.0
8168;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Age: 35 to 54 years;2016;23.0;15.0
8169;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Age: 55 years or older;2010;;
8170;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Age: 55 years or older;2011;;
8171;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Age: 55 years or older;2012;;
8172;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Age: 55 years or older;2013;16.0;9.0
8173;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Age: 55 years or older;2014;15.0;9.0
8174;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Age: 55 years or older;2015;15.0;9.0
8175;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Age: 55 years or older;2016;15.0;9.0
8176;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Wage: low (among lowest 30 percent);2010;;
8177;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Wage: low (among lowest 30 percent);2011;;
8178;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Wage: low (among lowest 30 percent);2012;;
8179;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Wage: low (among lowest 30 percent);2013;12.0;6.0
8180;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Wage: low (among lowest 30 percent);2014;11.0;5.0
8181;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Wage: low (among lowest 30 percent);2015;10.0;5.0
8182;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Wage: low (among lowest 30 percent);2016;10.0;4.0
8183;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Wage: middle;2010;;
8184;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Wage: middle;2011;;
8185;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Wage: middle;2012;;
8186;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Wage: middle;2013;41.0;25.0
8187;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Wage: middle;2014;41.0;24.0
8188;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Wage: middle;2015;40.0;23.0
8189;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Wage: middle;2016;40.0;24.0
8190;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Wage: high (among highest 20 percent);2010;;
8191;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Wage: high (among highest 20 percent);2011;;
8192;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Wage: high (among highest 20 percent);2012;;
8193;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Wage: high (among highest 20 percent);2013;;
8194;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Wage: high (among highest 20 percent);2014;;
8195;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Wage: high (among highest 20 percent);2015;;
8196;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Wage: high (among highest 20 percent);2016;6.0;4.0
8197;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Dutch;2010;;
8198;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Dutch;2011;;
8199;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Dutch;2012;;
8200;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Dutch;2013;62.0;37.0
8201;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Dutch;2014;60.0;36.0
8202;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Dutch;2015;58.0;34.0
8203;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Dutch;2016;59.0;35.0
8204;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Belgian;2010;;
8205;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Belgian;2011;;
8206;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Belgian;2012;;
8207;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Belgian;2013;;
8208;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Belgian;2014;;
8209;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Belgian;2015;;
8210;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Belgian;2016;;
8211;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: British;2010;;
8212;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: British;2011;;
8213;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: British;2012;;
8214;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: British;2013;;
8215;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: British;2014;;
8216;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: British;2015;;
8217;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: British;2016;;
8218;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: German;2010;;
8219;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: German;2011;;
8220;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: German;2012;;
8221;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: German;2013;;
8222;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: German;2014;;
8223;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: German;2015;;
8224;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: German;2016;;
8225;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Polish;2010;;
8226;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Polish;2011;;
8227;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Polish;2012;;
8228;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Polish;2013;;
8229;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Polish;2014;;
8230;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Polish;2015;;
8231;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Polish;2016;;
8232;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Indian;2010;;
8233;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Indian;2011;;
8234;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Indian;2012;;
8235;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Indian;2013;;
8236;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Indian;2014;;
8237;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Indian;2015;;
8238;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: Indian;2016;;
8239;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: other;2010;;
8240;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: other;2011;;
8241;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: other;2012;;
8242;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: other;2013;;
8243;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: other;2014;;
8244;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: other;2015;;
8245;Total domestic and foreign;R-U Culture, recreation, other services;100 Lower education;Nationality: other;2016;;
8246;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Total ;2010;;
8247;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Total ;2011;;
8248;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Total ;2012;;
8249;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Total ;2013;146.0;89.0
8250;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Total ;2014;146.0;88.0
8251;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Total ;2015;144.0;86.0
8252;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Total ;2016;145.0;87.0
8253;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Type of contract: specified time;2010;;
8254;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Type of contract: specified time;2011;;
8255;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Type of contract: specified time;2012;;
8256;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Type of contract: specified time;2013;50.0;28.0
8257;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Type of contract: specified time;2014;52.0;29.0
8258;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Type of contract: specified time;2015;54.0;30.0
8259;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Type of contract: specified time;2016;55.0;30.0
8260;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Type of contract: unspecified time;2010;;
8261;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Type of contract: unspecified time;2011;;
8262;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Type of contract: unspecified time;2012;;
8263;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Type of contract: unspecified time;2013;94.0;59.0
8264;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Type of contract: unspecified time;2014;91.0;57.0
8265;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Type of contract: unspecified time;2015;88.0;54.0
8266;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Type of contract: unspecified time;2016;87.0;54.0
8267;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Type of contract: other;2010;;
8268;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Type of contract: other;2011;;
8269;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Type of contract: other;2012;;
8270;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Type of contract: other;2013;2.0;2.0
8271;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Type of contract: other;2014;2.0;2.0
8272;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Type of contract: other;2015;2.0;2.0
8273;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Type of contract: other;2016;2.0;2.0
8274;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Sex: Male;2010;;
8275;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Sex: Male;2011;;
8276;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Sex: Male;2012;;
8277;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Sex: Male;2013;55.0;38.0
8278;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Sex: Male;2014;54.0;37.0
8279;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Sex: Male;2015;54.0;36.0
8280;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Sex: Male;2016;54.0;37.0
8281;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Sex: Female;2010;;
8282;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Sex: Female;2011;;
8283;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Sex: Female;2012;;
8284;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Sex: Female;2013;92.0;51.0
8285;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Sex: Female;2014;92.0;51.0
8286;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Sex: Female;2015;91.0;50.0
8287;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Sex: Female;2016;91.0;50.0
8288;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Age: 15 to 34 years;2010;;
8289;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Age: 15 to 34 years;2011;;
8290;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Age: 15 to 34 years;2012;;
8291;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Age: 15 to 34 years;2013;66.0;38.0
8292;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Age: 15 to 34 years;2014;66.0;37.0
8293;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Age: 15 to 34 years;2015;66.0;37.0
8294;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Age: 15 to 34 years;2016;67.0;38.0
8295;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Age: 35 to 54 years;2010;;
8296;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Age: 35 to 54 years;2011;;
8297;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Age: 35 to 54 years;2012;;
8298;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Age: 35 to 54 years;2013;59.0;38.0
8299;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Age: 35 to 54 years;2014;57.0;36.0
8300;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Age: 35 to 54 years;2015;55.0;35.0
8301;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Age: 35 to 54 years;2016;54.0;35.0
8302;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Age: 55 years or older;2010;;
8303;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Age: 55 years or older;2011;;
8304;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Age: 55 years or older;2012;;
8305;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Age: 55 years or older;2013;19.0;12.0
8306;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Age: 55 years or older;2014;21.0;12.0
8307;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Age: 55 years or older;2015;21.0;12.0
8308;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Age: 55 years or older;2016;22.0;13.0
8309;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Wage: low (among lowest 30 percent);2010;;
8310;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Wage: low (among lowest 30 percent);2011;;
8311;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Wage: low (among lowest 30 percent);2012;;
8312;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Wage: low (among lowest 30 percent);2013;22.0;11.0
8313;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Wage: low (among lowest 30 percent);2014;21.0;10.0
8314;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Wage: low (among lowest 30 percent);2015;19.0;9.0
8315;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Wage: low (among lowest 30 percent);2016;17.0;8.0
8316;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Wage: middle;2010;;
8317;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Wage: middle;2011;;
8318;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Wage: middle;2012;;
8319;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Wage: middle;2013;104.0;63.0
8320;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Wage: middle;2014;105.0;62.0
8321;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Wage: middle;2015;105.0;61.0
8322;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Wage: middle;2016;107.0;63.0
8323;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Wage: high (among highest 20 percent);2010;;
8324;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Wage: high (among highest 20 percent);2011;;
8325;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Wage: high (among highest 20 percent);2012;;
8326;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Wage: high (among highest 20 percent);2013;19.0;14.0
8327;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Wage: high (among highest 20 percent);2014;18.0;13.0
8328;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Wage: high (among highest 20 percent);2015;18.0;13.0
8329;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Wage: high (among highest 20 percent);2016;18.0;13.0
8330;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Dutch;2010;;
8331;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Dutch;2011;;
8332;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Dutch;2012;;
8333;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Dutch;2013;142.0;86.0
8334;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Dutch;2014;142.0;85.0
8335;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Dutch;2015;140.0;83.0
8336;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Dutch;2016;141.0;84.0
8337;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Belgian;2010;;
8338;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Belgian;2011;;
8339;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Belgian;2012;;
8340;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Belgian;2013;;
8341;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Belgian;2014;;
8342;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Belgian;2015;;
8343;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Belgian;2016;;
8344;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: British;2010;;
8345;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: British;2011;;
8346;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: British;2012;;
8347;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: British;2013;;
8348;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: British;2014;;
8349;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: British;2015;;
8350;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: British;2016;;
8351;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: German;2010;;
8352;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: German;2011;;
8353;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: German;2012;;
8354;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: German;2013;;
8355;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: German;2014;;
8356;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: German;2015;;
8357;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: German;2016;;
8358;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Polish;2010;;
8359;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Polish;2011;;
8360;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Polish;2012;;
8361;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Polish;2013;;
8362;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Polish;2014;;
8363;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Polish;2015;;
8364;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Polish;2016;;
8365;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Indian;2010;;
8366;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Indian;2011;;
8367;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Indian;2012;;
8368;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Indian;2013;;
8369;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Indian;2014;;
8370;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Indian;2015;;
8371;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: Indian;2016;;
8372;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: other;2010;;
8373;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: other;2011;;
8374;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: other;2012;;
8375;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: other;2013;;
8376;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: other;2014;;
8377;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: other;2015;;
8378;Total domestic and foreign;R-U Culture, recreation, other services;200 Intermediate education;Nationality: other;2016;;
8379;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Total ;2010;;
8380;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Total ;2011;;
8381;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Total ;2012;;
8382;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Total ;2013;94.0;58.0
8383;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Total ;2014;95.0;57.0
8384;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Total ;2015;96.0;57.0
8385;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Total ;2016;96.0;58.0
8386;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Type of contract: specified time;2010;;
8387;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Type of contract: specified time;2011;;
8388;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Type of contract: specified time;2012;;
8389;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Type of contract: specified time;2013;33.0;19.0
8390;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Type of contract: specified time;2014;33.0;18.0
8391;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Type of contract: specified time;2015;34.0;19.0
8392;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Type of contract: specified time;2016;34.0;19.0
8393;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Type of contract: unspecified time;2010;;
8394;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Type of contract: unspecified time;2011;;
8395;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Type of contract: unspecified time;2012;;
8396;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Type of contract: unspecified time;2013;60.0;37.0
8397;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Type of contract: unspecified time;2014;60.0;38.0
8398;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Type of contract: unspecified time;2015;61.0;38.0
8399;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Type of contract: unspecified time;2016;61.0;38.0
8400;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Type of contract: other;2010;;
8401;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Type of contract: other;2011;;
8402;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Type of contract: other;2012;;
8403;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Type of contract: other;2013;;
8404;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Type of contract: other;2014;2.0;1.0
8405;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Type of contract: other;2015;;
8406;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Type of contract: other;2016;2.0;1.0
8407;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Sex: Male;2010;;
8408;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Sex: Male;2011;;
8409;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Sex: Male;2012;;
8410;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Sex: Male;2013;40.0;27.0
8411;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Sex: Male;2014;39.0;27.0
8412;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Sex: Male;2015;40.0;27.0
8413;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Sex: Male;2016;39.0;27.0
8414;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Sex: Female;2010;;
8415;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Sex: Female;2011;;
8416;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Sex: Female;2012;;
8417;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Sex: Female;2013;54.0;30.0
