ID;Functions;Providers;Periods;HealthAndSocialCareExpenditure_1
6560;HCR12: Long-term soc. care cash benefits;HP4: Providers of ancillary services;2008;0
6561;HCR12: Long-term soc. care cash benefits;HP4: Providers of ancillary services;2009;0
6562;HCR12: Long-term soc. care cash benefits;HP4: Providers of ancillary services;2010;0
6563;HCR12: Long-term soc. care cash benefits;HP4: Providers of ancillary services;2011;0
6564;HCR12: Long-term soc. care cash benefits;HP4: Providers of ancillary services;2012;0
6565;HCR12: Long-term soc. care cash benefits;HP4: Providers of ancillary services;2013;0
6566;HCR12: Long-term soc. care cash benefits;HP4: Providers of ancillary services;2014;0
6567;HCR12: Long-term soc. care cash benefits;HP4: Providers of ancillary services;2015;0
6568;HCR12: Long-term soc. care cash benefits;HP4: Providers of ancillary services;2016;0
6569;HCR12: Long-term soc. care cash benefits;HP4: Providers of ancillary services;2017;0
6570;HCR12: Long-term soc. care cash benefits;HP4: Providers of ancillary services;2018;0
6571;HCR12: Long-term soc. care cash benefits;HP4: Providers of ancillary services;2019;0
6572;HCR12: Long-term soc. care cash benefits;HP4: Providers of ancillary services;2020;0
6573;HCR12: Long-term soc. care cash benefits;HP4: Providers of ancillary services;2021;0
6574;HCR12: Long-term soc. care cash benefits;HP4: Providers of ancillary services;2022;0
6575;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;1998;0
6576;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;1999;0
6577;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2000;0
6578;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2001;0
6579;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2002;0
6580;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2003;0
6581;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2004;0
6582;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2005;0
6583;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2006;0
6584;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2007;0
6585;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2008;0
6586;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2009;0
6587;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2010;0
6588;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2011;0
6589;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2012;0
6590;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2013;0
6591;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2014;0
6592;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2015;0
6593;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2016;0
6594;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2017;0
6595;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2018;0
6596;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2019;0
6597;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2020;0
6598;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2021;0
6599;HCR12: Long-term soc. care cash benefits;HP41: Patient transportation, emergency;2022;0
6600;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;1998;0
6601;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;1999;0
6602;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2000;0
6603;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2001;0
6604;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2002;0
6605;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2003;0
6606;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2004;0
6607;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2005;0
6608;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2006;0
6609;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2007;0
6610;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2008;0
6611;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2009;0
6612;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2010;0
6613;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2011;0
6614;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2012;0
6615;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2013;0
6616;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2014;0
6617;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2015;0
6618;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2016;0
6619;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2017;0
6620;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2018;0
6621;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2019;0
6622;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2020;0
6623;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2021;0
6624;HCR12: Long-term soc. care cash benefits;HP42-49: Laboratories, other anc. serv.;2022;0
6625;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;1998;0
6626;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;1999;0
6627;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2000;0
6628;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2001;0
6629;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2002;0
6630;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2003;0
6631;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2004;0
6632;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2005;0
6633;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2006;0
6634;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2007;0
6635;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2008;0
6636;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2009;0
6637;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2010;0
6638;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2011;0
6639;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2012;0
6640;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2013;0
6641;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2014;0
6642;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2015;0
6643;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2016;0
6644;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2017;0
6645;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2018;0
6646;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2019;0
6647;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2020;0
6648;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2021;0
6649;HCR12: Long-term soc. care cash benefits;HP5: Retailers of medical goods;2022;0
6650;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;1998;0
6651;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;1999;0
6652;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2000;0
6653;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2001;0
6654;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2002;0
6655;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2003;0
6656;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2004;0
6657;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2005;0
6658;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2006;0
6659;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2007;0
6660;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2008;0
6661;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2009;0
6662;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2010;0
6663;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2011;0
6664;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2012;0
6665;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2013;0
6666;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2014;0
6667;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2015;0
6668;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2016;0
6669;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2017;0
6670;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2018;0
6671;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2019;0
6672;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2020;0
6673;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2021;0
6674;HCR12: Long-term soc. care cash benefits;HP51: Pharmacies;2022;0
6675;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;1998;0
6676;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;1999;0
6677;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2000;0
6678;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2001;0
6679;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2002;0
6680;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2003;0
6681;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2004;0
6682;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2005;0
6683;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2006;0
6684;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2007;0
6685;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2008;0
6686;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2009;0
6687;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2010;0
6688;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2011;0
6689;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2012;0
6690;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2013;0
6691;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2014;0
6692;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2015;0
6693;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2016;0
6694;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2017;0
6695;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2018;0
6696;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2019;0
6697;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2020;0
6698;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2021;0
6699;HCR12: Long-term soc. care cash benefits;HP52-59 : Suppl. med. appliances, other;2022;0
6700;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;1998;0
6701;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;1999;0
6702;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2000;0
6703;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2001;0
6704;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2002;0
6705;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2003;0
6706;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2004;0
6707;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2005;0
6708;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2006;0
6709;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2007;0
6710;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2008;0
6711;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2009;0
6712;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2010;0
6713;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2011;0
6714;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2012;0
6715;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2013;0
6716;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2014;0
6717;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2015;0
6718;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2016;0
6719;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2017;0
6720;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2018;0
6721;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2019;0
6722;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2020;0
6723;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2021;0
6724;HCR12: Long-term soc. care cash benefits;HP6: Providers of preventive care;2022;0
6725;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;1998;0
6726;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;1999;0
6727;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2000;0
6728;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2001;0
6729;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2002;0
6730;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2003;0
6731;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2004;0
6732;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2005;0
6733;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2006;0
6734;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2007;0
6735;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2008;0
6736;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2009;0
6737;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2010;0
6738;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2011;0
6739;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2012;0
6740;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2013;0
6741;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2014;0
6742;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2015;0
6743;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2016;0
6744;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2017;0
6745;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2018;0
6746;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2019;0
6747;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2020;0
6748;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2021;0
6749;HCR12: Long-term soc. care cash benefits;HP7: Healthcare adm. and financ.;2022;0
6750;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;1998;0
6751;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;1999;0
6752;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2000;0
6753;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2001;0
6754;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2002;0
6755;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2003;0
6756;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2004;0
6757;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2005;0
6758;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2006;0
6759;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2007;0
6760;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2008;0
6761;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2009;0
6762;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2010;0
6763;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2011;0
6764;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2012;0
6765;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2013;0
6766;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2014;0
6767;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2015;0
6768;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2016;0
6769;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2017;0
6770;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2018;0
6771;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2019;0
6772;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2020;0
6773;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2021;0
6774;HCR12: Long-term soc. care cash benefits;HP71: Government health administration;2022;0
6775;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;1998;0
6776;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;1999;0
6777;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2000;0
6778;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2001;0
6779;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2002;0
6780;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2003;0
6781;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2004;0
6782;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2005;0
6783;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2006;0
6784;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2007;0
6785;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2008;0
6786;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2009;0
6787;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2010;0
6788;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2011;0
6789;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2012;0
6790;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2013;0
6791;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2014;0
6792;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2015;0
6793;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2016;0
6794;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2017;0
6795;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2018;0
6796;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2019;0
6797;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2020;0
6798;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2021;0
6799;HCR12: Long-term soc. care cash benefits;HP72: Social health insurance agencies;2022;0
6800;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;1998;0
6801;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;1999;0
6802;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2000;0
6803;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2001;0
6804;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2002;0
6805;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2003;0
6806;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2004;0
6807;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2005;0
6808;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2006;0
6809;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2007;0
6810;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2008;0
6811;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2009;0
6812;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2010;0
6813;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2011;0
6814;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2012;0
6815;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2013;0
6816;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2014;0
6817;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2015;0
6818;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2016;0
6819;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2017;0
6820;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2018;0
6821;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2019;0
6822;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2020;0
6823;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2021;0
6824;HCR12: Long-term soc. care cash benefits;HP73: Providers of health insurance;2022;0
6825;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;1998;0
6826;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;1999;0
6827;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2000;0
6828;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2001;0
6829;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2002;0
6830;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2003;0
6831;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2004;0
6832;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2005;0
6833;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2006;0
6834;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2007;0
6835;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2008;0
6836;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2009;0
6837;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2010;0
6838;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2011;0
6839;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2012;0
6840;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2013;0
6841;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2014;0
6842;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2015;0
6843;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2016;0
6844;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2017;0
6845;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2018;0
6846;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2019;0
6847;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2020;0
6848;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2021;0
6849;HCR12: Long-term soc. care cash benefits;HP79: Other administration agencies;2022;0
6850;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;1998;66
6851;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;1999;73
6852;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2000;100
6853;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2001;169
6854;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2002;282
6855;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2003;407
6856;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2004;501
6857;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2005;610
6858;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2006;787
6859;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2007;974
6860;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2008;1210
6861;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2009;1435
6862;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2010;1640
6863;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2011;1751
6864;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2012;1908
6865;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2013;1915
6866;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2014;1985
6867;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2015;1885
6868;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2016;1760
6869;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2017;1837
6870;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2018;1931
6871;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2019;2068
6872;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2020;2239
6873;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2021;2337
6874;HCR12: Long-term soc. care cash benefits;HP8: Rest of economy;2022;2394
6875;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;1998;66
6876;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;1999;73
6877;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2000;100
6878;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2001;169
6879;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2002;282
6880;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2003;407
6881;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2004;501
6882;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2005;610
6883;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2006;787
6884;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2007;974
6885;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2008;1210
6886;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2009;1435
6887;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2010;1640
6888;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2011;1751
6889;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2012;1908
6890;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2013;1915
6891;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2014;1985
6892;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2015;1864
6893;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2016;1749
6894;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2017;1826
6895;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2018;1920
6896;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2019;2057
6897;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2020;2229
6898;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2021;2328
