ID;Population;GiftCharacteristics;DonorCharacteristics;RecipientCharacteristics;Periods;NumberOfGifts_1;TotalGrossValueOfGifts_2;MeanGrossValueOfGifts_3;MedianGrossValueOfGifts_4;TotalAmountOfTaxDue_5;MeanAmountOfTaxDue_6;MedianAmountOfTaxDue_7;TotalNetValueOfGifts_8;MeanNetValueOfGifts_9;MedianNetValueOfGifts_10
9520;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 3rd 20%-group;2007;0.8;26.3;34.6;26.1;1.8;2.3;1.1;24.6;32.3;25.0
9521;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 3rd 20%-group;2008;0.7;24.4;32.8;26.1;1.5;2.0;1.1;22.9;30.8;25.0
9522;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 3rd 20%-group;2009;0.9;32.4;37.8;28.6;1.9;2.2;1.2;30.5;35.6;27.3
9523;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 3rd 20%-group;2010;0.3;16.6;49.4;27.2;1.4;4.2;2.2;15.2;45.2;25.0
9524;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 3rd 20%-group;2011;0.4;31.9;81.9;29.5;3.6;9.3;2.4;28.2;72.6;26.2
9525;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 3rd 20%-group;2012;0.3;18.8;59.0;32.8;1.5;4.8;2.6;17.2;54.2;30.0
9526;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 3rd 20%-group;2013;0.2;20.4;98.3;55.0;2.3;11.0;2.8;18.1;87.4;52.3
9527;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 3rd 20%-group;2014;0.2;18.5;87.2;83.7;1.3;6.3;2.7;17.1;80.8;77.2
9528;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 3rd 20%-group;2015;0.2;18.9;84.2;55.0;1.9;8.6;4.7;16.9;75.6;52.6
9529;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 3rd 20%-group;2016;0.2;13.7;64.4;32.7;1.1;5.2;2.5;12.6;59.2;30.0
9530;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 3rd 20%-group;2017;0.3;22.0;84.4;58.2;1.7;6.5;4.7;20.3;77.9;54.2
9531;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 3rd 20%-group;2018;0.2;16.3;69.0;54.6;1.7;7.1;5.0;14.6;62.0;49.8
9532;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 3rd 20%-group;2019;0.3;66.0;240.7;60.4;3.5;12.8;5.0;62.4;227.9;54.3
9533;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 3rd 20%-group;2020;0.3;31.9;119.1;59.0;2.4;9.0;4.9;29.5;110.1;51.2
9534;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 3rd 20%-group;2021;0.3;39.7;119.3;110.4;3.3;10.0;10.0;36.4;109.3;100.0
9535;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 3rd 20%-group;2022;0.3;34.4;109.3;101.3;3.5;11.0;8.3;30.9;98.2;90.0
9536;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 4th 20%-group;2007;1.1;45.8;42.2;27.5;3.4;3.2;1.2;42.3;39.0;26.0
9537;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 4th 20%-group;2008;1.1;46.7;42.0;27.1;3.5;3.1;1.1;43.3;38.9;26.0
9538;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 4th 20%-group;2009;1.2;50.4;41.8;31.5;3.5;2.9;1.4;46.9;38.9;30.0
9539;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 4th 20%-group;2010;0.6;37.0;57.2;32.8;3.4;5.3;2.8;33.6;51.8;30.0
9540;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 4th 20%-group;2011;0.6;43.8;71.0;35.1;5.1;8.3;2.9;38.7;62.7;32.3
9541;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 4th 20%-group;2012;0.5;34.1;64.5;38.3;4.3;8.2;3.3;29.7;56.3;35.0
9542;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 4th 20%-group;2013;0.4;30.1;76.8;55.0;2.5;6.4;4.3;27.6;70.5;50.0
9543;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 4th 20%-group;2014;0.4;39.3;94.0;87.7;2.5;5.9;3.6;36.8;88.1;80.0
9544;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 4th 20%-group;2015;0.4;33.8;79.3;56.4;3.0;7.1;5.0;30.8;72.2;51.3
9545;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 4th 20%-group;2016;0.4;29.1;76.0;55.0;3.1;8.0;5.0;26.0;68.0;50.0
9546;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 4th 20%-group;2017;0.4;40.4;103.6;63.3;3.0;7.6;5.3;37.4;96.0;57.0
9547;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 4th 20%-group;2018;0.5;43.7;95.6;66.1;3.7;8.1;5.6;40.0;87.5;60.0
9548;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 4th 20%-group;2019;0.5;43.6;92.3;61.0;4.6;9.6;5.5;39.0;82.6;55.4
9549;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 4th 20%-group;2020;0.6;61.0;109.6;83.4;6.1;10.9;8.3;55.0;98.7;75.0
9550;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 4th 20%-group;2021;0.6;194.9;342.0;106.5;11.9;20.9;9.8;183.0;321.0;97.1
9551;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 4th 20%-group;2022;0.5;51.4;103.7;107.3;6.3;12.6;10.3;45.2;91.1;93.8
9552;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 5th 20%-group;2007;2.3;123.1;53.6;29.8;10.9;4.7;1.3;112.2;48.9;27.5
9553;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 5th 20%-group;2008;2.1;121.1;58.7;32.8;11.7;5.7;1.5;109.4;53.1;30.0
9554;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 5th 20%-group;2009;2.6;145.5;56.7;47.8;12.7;5.0;2.8;132.7;51.7;45.0
9555;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 5th 20%-group;2010;1.4;112.6;80.3;55.4;12.6;9.0;5.3;100.1;71.4;50.2
9556;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 5th 20%-group;2011;1.4;124.9;91.1;55.3;15.3;11.2;5.0;109.6;80.0;50.1
9557;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 5th 20%-group;2012;1.3;134.3;100.8;66.1;13.7;10.3;5.6;120.5;90.5;55.7
9558;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 5th 20%-group;2013;1.0;112.0;109.3;100.0;9.3;9.1;6.2;102.7;100.2;94.2
9559;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 5th 20%-group;2014;1.0;121.1;122.1;110.5;12.4;12.5;8.6;108.7;109.6;100.0
9560;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 5th 20%-group;2015;1.1;142.8;127.7;110.5;11.5;10.3;9.8;131.3;117.4;100.0
9561;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 5th 20%-group;2016;1.1;137.4;123.9;108.3;12.4;11.2;10.4;125.0;112.7;100.0
9562;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 5th 20%-group;2017;1.3;446.2;341.9;110.5;28.3;21.7;10.5;417.9;320.2;100.0
9563;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 5th 20%-group;2018;1.4;182.4;134.2;110.5;17.6;12.9;10.5;164.9;121.2;100.0
9564;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 5th 20%-group;2019;1.6;260.9;165.1;110.5;35.5;22.4;10.5;225.5;142.6;100.0
9565;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 5th 20%-group;2020;1.8;396.8;216.5;111.0;37.5;20.5;10.5;359.2;196.0;100.0
9566;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 5th 20%-group;2021;1.9;664.5;345.2;127.0;51.9;27.0;11.5;612.6;318.2;113.8
9567;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: 5th 20%-group;2022;1.8;301.3;170.5;127.1;38.0;21.5;12.0;263.3;149.0;115.0
9568;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: income unknown;2007;0.0;;;;;;;;;
9569;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: income unknown;2008;0.0;;;;;;;;;
9570;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: income unknown;2009;0.0;;;;;;;;;
9571;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: income unknown;2010;0.0;;;;;;;;;
9572;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: income unknown;2011;0.0;;;;;;;;;
9573;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: income unknown;2012;0.0;;;;;;;;;
9574;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: income unknown;2013;0.0;;;;;;;;;
9575;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: income unknown;2014;0.0;;;;;;;;;
9576;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: income unknown;2015;0.0;;;;;;;;;
9577;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: income unknown;2016;0.0;;;;;;;;;
9578;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: income unknown;2017;0.0;;;;;;;;;
9579;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: income unknown;2018;0.0;;;;;;;;;
9580;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: income unknown;2019;0.0;;;;;;;;;
9581;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: income unknown;2020;0.0;;;;;;;;;
9582;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: income unknown;2021;0.0;;;;;;;;;
9583;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: income unknown;2022;0.0;;;;;;;;;
9584;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: unknown;2007;0.4;24.8;64.8;27.2;2.9;7.5;1.2;21.9;57.3;26.0
9585;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: unknown;2008;0.4;20.3;54.3;28.1;1.9;5.2;1.2;18.4;49.1;26.9
9586;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: unknown;2009;0.4;19.3;48.4;36.4;1.5;3.9;1.9;17.7;44.5;34.8
9587;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: unknown;2010;0.2;10.5;58.4;34.9;1.3;7.5;3.4;9.2;51.0;31.9
9588;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: unknown;2011;0.2;13.0;82.6;34.9;1.9;11.9;3.8;11.1;70.7;31.9
9589;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: unknown;2012;0.1;12.3;83.8;34.6;1.4;9.5;5.0;10.9;74.3;31.6
9590;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: unknown;2013;0.1;12.9;104.0;56.7;1.8;14.6;5.7;11.1;89.5;50.0
9591;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: unknown;2014;0.1;10.5;85.6;89.0;1.0;8.3;7.5;9.5;77.3;83.3
9592;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: unknown;2015;0.1;12.4;98.1;83.9;1.7;13.3;7.8;10.7;84.9;77.2
9593;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: unknown;2016;0.1;20.6;184.0;60.8;3.4;30.3;7.7;17.2;153.7;56.4
9594;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: unknown;2017;0.1;26.2;209.4;93.2;2.2;17.3;8.9;24.0;192.1;84.4
9595;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: unknown;2018;0.1;11.4;90.7;86.5;1.3;10.7;7.7;10.1;80.1;71.6
9596;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: unknown;2019;0.1;;;;;;;;;
9597;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: unknown;2020;0.1;15.0;123.6;115.2;2.9;24.1;11.1;12.0;99.5;100.0
9598;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: unknown;2021;0.1;17.1;129.2;110.4;2.1;15.9;11.0;15.0;113.3;100.0
9599;All gifts;Gift donor paid the tax due;Age: 45 to 64 years;Wealth: unknown;2022;0.1;12.7;98.4;108.1;1.7;13.1;11.3;11.0;85.2;85.0
9600;All gifts;Gift donor paid the tax due;Age: 65 years or older;All recipients;2007;19.1;840.9;43.9;26.3;82.1;4.3;1.1;758.8;39.7;25.0
9601;All gifts;Gift donor paid the tax due;Age: 65 years or older;All recipients;2008;17.8;758.3;42.7;26.6;69.9;3.9;1.1;688.4;38.8;25.0
9602;All gifts;Gift donor paid the tax due;Age: 65 years or older;All recipients;2009;19.4;838.3;43.2;28.5;68.6;3.5;1.2;769.6;39.7;27.2
9603;All gifts;Gift donor paid the tax due;Age: 65 years or older;All recipients;2010;10.8;655.8;60.6;34.3;76.0;7.0;3.4;579.8;53.6;30.0
9604;All gifts;Gift donor paid the tax due;Age: 65 years or older;All recipients;2011;10.0;610.9;61.3;38.3;70.4;7.1;3.9;540.4;54.2;34.8
9605;All gifts;Gift donor paid the tax due;Age: 65 years or older;All recipients;2012;10.4;825.3;79.5;41.1;85.8;8.3;4.1;739.4;71.2;36.5
9606;All gifts;Gift donor paid the tax due;Age: 65 years or older;All recipients;2013;10.2;740.9;72.4;49.8;73.2;7.1;3.9;667.7;65.3;45.1
9607;All gifts;Gift donor paid the tax due;Age: 65 years or older;All recipients;2014;7.8;689.0;88.7;59.0;68.8;8.9;4.3;620.2;79.9;51.6
9608;All gifts;Gift donor paid the tax due;Age: 65 years or older;All recipients;2015;9.0;688.6;76.5;55.0;76.4;8.5;5.0;612.2;68.0;50.0
9609;All gifts;Gift donor paid the tax due;Age: 65 years or older;All recipients;2016;9.5;808.3;85.4;55.0;94.7;10.0;5.0;713.7;75.4;50.0
9610;All gifts;Gift donor paid the tax due;Age: 65 years or older;All recipients;2017;9.8;821.4;84.1;55.3;93.6;9.6;5.6;727.8;74.5;50.0
9611;All gifts;Gift donor paid the tax due;Age: 65 years or older;All recipients;2018;9.8;848.3;86.1;60.5;87.6;8.9;6.1;760.7;77.2;55.0
9612;All gifts;Gift donor paid the tax due;Age: 65 years or older;All recipients;2019;10.2;1011.8;99.3;77.2;100.9;9.9;7.7;911.0;89.4;68.8
9613;All gifts;Gift donor paid the tax due;Age: 65 years or older;All recipients;2020;11.3;1216.8;107.8;78.3;142.3;12.6;7.9;1074.5;95.2;70.0
9614;All gifts;Gift donor paid the tax due;Age: 65 years or older;All recipients;2021;12.4;1278.9;103.5;88.2;141.4;11.4;9.2;1137.5;92.1;80.0
9615;All gifts;Gift donor paid the tax due;Age: 65 years or older;All recipients;2022;11.5;1075.9;93.5;82.7;119.6;10.4;8.6;956.3;83.1;75.0
9616;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: man;2007;8.4;354.2;42.3;26.1;34.1;4.1;1.1;320.1;38.2;25.0
9617;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: man;2008;7.7;322.2;41.7;26.1;29.9;3.9;1.1;292.3;37.8;25.0
9618;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: man;2009;8.4;354.0;42.1;28.3;27.3;3.3;1.2;326.7;38.9;27.0
9619;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: man;2010;4.7;280.9;60.0;32.8;32.1;6.8;3.3;248.8;53.1;30.0
9620;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: man;2011;4.4;268.7;61.5;36.9;31.1;7.1;3.8;237.5;54.4;33.3
9621;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: man;2012;4.6;362.1;78.8;43.9;37.7;8.2;4.4;324.4;70.6;39.9
9622;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: man;2013;4.5;343.7;76.0;50.1;33.1;7.3;3.9;310.6;68.7;45.6
9623;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: man;2014;3.4;321.8;94.1;60.5;31.6;9.2;4.2;290.2;84.9;53.2
9624;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: man;2015;4.0;310.7;77.7;55.0;32.3;8.1;5.0;278.4;69.6;50.0
9625;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: man;2016;4.2;376.9;90.2;55.0;45.0;10.8;5.0;331.9;79.5;50.0
9626;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: man;2017;4.3;369.0;86.4;55.0;41.7;9.8;5.6;327.3;76.7;50.0
9627;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: man;2018;4.3;375.3;87.2;60.5;36.2;8.4;5.7;339.1;78.8;53.0
9628;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: man;2019;4.4;444.7;100.6;79.0;45.9;10.4;7.7;398.9;90.2;70.1
9629;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: man;2020;4.9;553.3;112.0;77.6;61.7;12.5;7.8;491.6;99.5;70.0
9630;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: man;2021;5.5;560.1;102.4;83.5;59.5;10.9;8.4;500.6;91.5;75.0
9631;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: man;2022;5.1;484.0;94.9;82.7;53.7;10.5;8.3;430.3;84.4;74.9
9632;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: woman;2007;8.4;365.3;43.7;26.3;34.6;4.1;1.1;330.7;39.6;25.0
9633;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: woman;2008;7.8;334.1;42.6;26.2;29.7;3.8;1.1;304.4;38.8;25.0
9634;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: woman;2009;8.7;377.7;43.6;28.6;32.1;3.7;1.2;345.6;39.9;27.3
9635;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: woman;2010;5.0;300.3;60.0;33.1;34.9;7.0;3.4;265.4;53.1;30.0
9636;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: woman;2011;4.7;280.8;59.6;38.3;31.9;6.8;3.8;248.9;52.8;33.6
9637;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: woman;2012;4.8;401.3;82.8;38.3;40.5;8.4;3.9;360.8;74.4;35.0
9638;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: woman;2013;4.8;327.8;68.4;49.8;31.7;6.6;3.9;296.0;61.8;45.1
9639;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: woman;2014;3.5;296.2;84.4;58.7;29.4;8.4;4.0;266.8;76.0;53.0
9640;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: woman;2015;4.2;311.2;74.4;55.0;35.7;8.5;5.0;275.6;65.9;50.0
9641;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: woman;2016;4.4;365.3;82.3;55.0;41.5;9.4;5.0;323.7;72.9;50.0
9642;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: woman;2017;4.6;385.2;83.0;57.2;43.7;9.4;5.6;341.5;73.6;50.0
9643;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: woman;2018;4.7;400.3;84.5;60.9;42.9;9.0;6.1;357.5;75.4;55.2
9644;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: woman;2019;4.9;490.2;99.4;74.1;45.9;9.3;7.7;444.3;90.1;65.0
9645;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: woman;2020;5.4;580.2;106.7;78.1;70.3;12.9;7.8;509.8;93.7;70.0
9646;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: woman;2021;5.9;611.0;103.1;93.2;68.2;11.5;9.3;542.8;91.6;82.3
9647;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: woman;2022;5.5;506.7;91.3;82.7;55.1;9.9;8.3;451.6;81.4;75.0
9648;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: unknown;2007;2.4;121.5;50.6;26.5;13.4;5.6;1.2;108.1;45.0;25.3
9649;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: unknown;2008;2.2;101.9;46.4;27.1;10.3;4.7;1.2;91.6;41.7;25.7
9650;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: unknown;2009;2.3;106.6;45.6;28.6;9.3;4.0;1.4;97.3;41.6;27.3
9651;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: unknown;2010;1.1;74.6;66.1;42.0;9.1;8.0;4.4;65.5;58.1;35.2
9652;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: unknown;2011;0.9;61.4;69.2;43.9;7.4;8.3;4.4;54.0;60.9;40.0
9653;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: unknown;2012;0.9;62.0;65.3;49.1;7.7;8.1;5.0;54.3;57.2;40.6
9654;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: unknown;2013;0.9;69.4;75.4;49.1;8.3;9.0;4.4;61.1;66.3;42.0
9655;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: unknown;2014;0.8;71.0;85.0;55.0;7.8;9.4;5.0;63.2;75.7;50.0
9656;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: unknown;2015;0.8;66.7;81.8;56.1;8.5;10.4;6.4;58.2;71.4;50.0
9657;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: unknown;2016;0.9;66.2;77.7;55.0;8.1;9.6;5.2;58.0;68.1;50.0
9658;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: unknown;2017;0.9;67.2;78.6;59.4;8.1;9.5;6.1;59.1;69.1;50.0
9659;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: unknown;2018;0.8;72.7;90.4;65.4;8.5;10.6;7.2;64.1;79.8;58.1
9660;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: unknown;2019;0.8;76.9;92.2;81.6;9.0;10.8;9.2;67.8;81.3;75.0
9661;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: unknown;2020;0.9;83.3;91.8;82.7;10.2;11.3;8.7;73.1;80.5;75.0
9662;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: unknown;2021;1.0;107.7;112.9;88.6;13.6;14.3;9.5;94.1;98.7;80.0
9663;All gifts;Gift donor paid the tax due;Age: 65 years or older;Sex: unknown;2022;0.9;85.2;98.6;88.5;10.8;12.5;10.0;74.4;86.1;80.0
9664;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 0 to 24 years;2007;0.8;20.9;27.1;21.7;2.8;3.6;1.6;18.1;23.5;19.9
9665;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 0 to 24 years;2008;0.7;22.0;30.9;21.7;2.9;4.0;1.7;19.1;26.9;20.0
9666;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 0 to 24 years;2009;0.9;28.2;31.5;21.7;3.4;3.8;1.7;24.7;27.7;20.0
9667;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 0 to 24 years;2010;0.5;16.8;35.5;12.9;3.1;6.6;1.8;13.6;28.9;10.4
9668;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 0 to 24 years;2011;0.4;19.4;44.6;17.8;3.9;9.0;2.2;15.5;35.6;15.0
9669;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 0 to 24 years;2012;0.4;13.4;33.8;23.9;2.2;5.6;3.4;11.2;28.3;20.0
9670;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 0 to 24 years;2013;0.4;14.5;35.9;11.7;2.2;5.5;1.7;12.3;30.4;10.0
9671;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 0 to 24 years;2014;0.4;14.7;38.5;15.0;2.2;5.8;2.1;12.5;32.7;12.7
9672;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 0 to 24 years;2015;0.5;38.3;75.0;23.9;4.9;9.6;3.2;33.4;65.4;20.0
9673;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 0 to 24 years;2016;0.5;22.0;46.8;17.8;3.4;7.3;2.7;18.6;39.5;15.0
9674;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 0 to 24 years;2017;0.5;21.9;46.2;18.1;3.3;7.0;2.8;18.6;39.2;15.0
9675;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 0 to 24 years;2018;0.5;36.6;78.7;30.0;4.7;10.0;4.9;31.9;68.6;25.0
9676;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 0 to 24 years;2019;0.6;32.6;58.5;27.9;5.3;9.6;4.2;27.3;48.9;24.0
9677;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 0 to 24 years;2020;0.7;64.2;89.4;24.6;12.5;17.3;4.3;51.7;72.1;20.0
9678;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 0 to 24 years;2021;0.7;43.5;58.1;27.3;6.4;8.6;4.0;37.1;49.5;23.0
9679;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 0 to 24 years;2022;0.8;44.3;58.0;30.0;7.1;9.3;5.0;37.2;48.7;25.0
9680;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 25 to 44 years;2007;7.1;308.3;43.3;26.4;26.9;3.8;1.1;281.4;39.5;25.0
9681;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 25 to 44 years;2008;6.7;281.6;42.3;26.6;24.1;3.6;1.1;257.5;38.7;25.0
9682;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 25 to 44 years;2009;7.6;342.1;45.3;28.8;26.5;3.5;1.4;315.6;41.8;27.5
9683;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 25 to 44 years;2010;4.0;273.5;67.6;38.9;31.1;7.7;3.7;242.4;59.9;35.0
9684;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 25 to 44 years;2011;4.0;262.0;64.9;38.3;29.0;7.2;3.6;233.0;57.7;35.0
9685;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 25 to 44 years;2012;4.0;380.6;96.1;43.9;38.7;9.8;4.4;341.9;86.3;40.0
9686;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 25 to 44 years;2013;3.5;299.6;86.4;55.0;27.5;7.9;3.9;272.1;78.5;50.0
9687;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 25 to 44 years;2014;2.9;293.4;100.8;82.8;25.3;8.7;3.9;268.1;92.1;77.5
9688;All gifts;Gift donor paid the tax due;Age: 65 years or older;Age: 25 to 44 years;2015;3.2;263.0;81.7;55.0;27.8;8.6;5.0;235.2;73.1;50.0
