ID;ModesOfTravel;Population;Margins;RegionCharacteristics;Periods;TransportPerformance_1
5051;Walking;Population 6 years or older;Upper bound 95% confidence interval;Groningen (PV);2023;0.3
5052;Walking;Population 6 years or older;Upper bound 95% confidence interval;Fryslân (PV);2018;0.2
5053;Walking;Population 6 years or older;Upper bound 95% confidence interval;Fryslân (PV);2019;0.2
5054;Walking;Population 6 years or older;Upper bound 95% confidence interval;Fryslân (PV);2020;0.3
5055;Walking;Population 6 years or older;Upper bound 95% confidence interval;Fryslân (PV);2021;0.3
5056;Walking;Population 6 years or older;Upper bound 95% confidence interval;Fryslân (PV);2022;0.3
5057;Walking;Population 6 years or older;Upper bound 95% confidence interval;Fryslân (PV);2023;0.3
5058;Walking;Population 6 years or older;Upper bound 95% confidence interval;Drenthe (PV);2018;0.1
5059;Walking;Population 6 years or older;Upper bound 95% confidence interval;Drenthe (PV);2019;0.2
5060;Walking;Population 6 years or older;Upper bound 95% confidence interval;Drenthe (PV);2020;0.2
5061;Walking;Population 6 years or older;Upper bound 95% confidence interval;Drenthe (PV);2021;0.2
5062;Walking;Population 6 years or older;Upper bound 95% confidence interval;Drenthe (PV);2022;0.2
5063;Walking;Population 6 years or older;Upper bound 95% confidence interval;Drenthe (PV);2023;0.2
5064;Walking;Population 6 years or older;Upper bound 95% confidence interval;Overijssel (PV);2018;0.3
5065;Walking;Population 6 years or older;Upper bound 95% confidence interval;Overijssel (PV);2019;0.3
5066;Walking;Population 6 years or older;Upper bound 95% confidence interval;Overijssel (PV);2020;0.4
5067;Walking;Population 6 years or older;Upper bound 95% confidence interval;Overijssel (PV);2021;0.5
5068;Walking;Population 6 years or older;Upper bound 95% confidence interval;Overijssel (PV);2022;0.5
5069;Walking;Population 6 years or older;Upper bound 95% confidence interval;Overijssel (PV);2023;0.4
5070;Walking;Population 6 years or older;Upper bound 95% confidence interval;Flevoland (PV);2018;0.1
5071;Walking;Population 6 years or older;Upper bound 95% confidence interval;Flevoland (PV);2019;0.1
5072;Walking;Population 6 years or older;Upper bound 95% confidence interval;Flevoland (PV);2020;0.2
5073;Walking;Population 6 years or older;Upper bound 95% confidence interval;Flevoland (PV);2021;0.2
5074;Walking;Population 6 years or older;Upper bound 95% confidence interval;Flevoland (PV);2022;0.2
5075;Walking;Population 6 years or older;Upper bound 95% confidence interval;Flevoland (PV);2023;0.2
5076;Walking;Population 6 years or older;Upper bound 95% confidence interval;Gelderland (PV);2018;0.6
5077;Walking;Population 6 years or older;Upper bound 95% confidence interval;Gelderland (PV);2019;0.6
5078;Walking;Population 6 years or older;Upper bound 95% confidence interval;Gelderland (PV);2020;0.8
5079;Walking;Population 6 years or older;Upper bound 95% confidence interval;Gelderland (PV);2021;1.0
5080;Walking;Population 6 years or older;Upper bound 95% confidence interval;Gelderland (PV);2022;0.9
5081;Walking;Population 6 years or older;Upper bound 95% confidence interval;Gelderland (PV);2023;0.9
5082;Walking;Population 6 years or older;Upper bound 95% confidence interval;Utrecht (PV);2018;0.4
5083;Walking;Population 6 years or older;Upper bound 95% confidence interval;Utrecht (PV);2019;0.4
5084;Walking;Population 6 years or older;Upper bound 95% confidence interval;Utrecht (PV);2020;0.5
5085;Walking;Population 6 years or older;Upper bound 95% confidence interval;Utrecht (PV);2021;0.7
5086;Walking;Population 6 years or older;Upper bound 95% confidence interval;Utrecht (PV);2022;0.6
5087;Walking;Population 6 years or older;Upper bound 95% confidence interval;Utrecht (PV);2023;0.5
5088;Walking;Population 6 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2018;1.0
5089;Walking;Population 6 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2019;1.0
5090;Walking;Population 6 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2020;1.2
5091;Walking;Population 6 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2021;1.5
5092;Walking;Population 6 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2022;1.4
5093;Walking;Population 6 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2023;1.2
5094;Walking;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2018;1.3
5095;Walking;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2019;1.3
5096;Walking;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2020;1.5
5097;Walking;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2021;1.8
5098;Walking;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2022;1.6
5099;Walking;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2023;1.6
5100;Walking;Population 6 years or older;Upper bound 95% confidence interval;Zeeland (PV);2018;0.1
5101;Walking;Population 6 years or older;Upper bound 95% confidence interval;Zeeland (PV);2019;0.1
5102;Walking;Population 6 years or older;Upper bound 95% confidence interval;Zeeland (PV);2020;0.2
5103;Walking;Population 6 years or older;Upper bound 95% confidence interval;Zeeland (PV);2021;0.2
5104;Walking;Population 6 years or older;Upper bound 95% confidence interval;Zeeland (PV);2022;0.2
5105;Walking;Population 6 years or older;Upper bound 95% confidence interval;Zeeland (PV);2023;0.2
5106;Walking;Population 6 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2018;0.8
5107;Walking;Population 6 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2019;0.8
5108;Walking;Population 6 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2020;1.1
5109;Walking;Population 6 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2021;1.3
5110;Walking;Population 6 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2022;1.1
5111;Walking;Population 6 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2023;1.0
5112;Walking;Population 6 years or older;Upper bound 95% confidence interval;Limburg (PV);2018;0.4
5113;Walking;Population 6 years or older;Upper bound 95% confidence interval;Limburg (PV);2019;0.4
5114;Walking;Population 6 years or older;Upper bound 95% confidence interval;Limburg (PV);2020;0.5
5115;Walking;Population 6 years or older;Upper bound 95% confidence interval;Limburg (PV);2021;0.6
5116;Walking;Population 6 years or older;Upper bound 95% confidence interval;Limburg (PV);2022;0.6
5117;Walking;Population 6 years or older;Upper bound 95% confidence interval;Limburg (PV);2023;0.5
5118;Walking;Population 6 years or older;Upper bound 95% confidence interval;Extremely urbanised;2018;1.6
5119;Walking;Population 6 years or older;Upper bound 95% confidence interval;Extremely urbanised;2019;1.6
5120;Walking;Population 6 years or older;Upper bound 95% confidence interval;Extremely urbanised;2020;1.9
5121;Walking;Population 6 years or older;Upper bound 95% confidence interval;Extremely urbanised;2021;2.4
5122;Walking;Population 6 years or older;Upper bound 95% confidence interval;Extremely urbanised;2022;2.1
5123;Walking;Population 6 years or older;Upper bound 95% confidence interval;Extremely urbanised;2023;2.1
5124;Walking;Population 6 years or older;Upper bound 95% confidence interval;Strongly urbanised;2018;1.7
5125;Walking;Population 6 years or older;Upper bound 95% confidence interval;Strongly urbanised;2019;1.7
5126;Walking;Population 6 years or older;Upper bound 95% confidence interval;Strongly urbanised;2020;2.2
5127;Walking;Population 6 years or older;Upper bound 95% confidence interval;Strongly urbanised;2021;2.5
5128;Walking;Population 6 years or older;Upper bound 95% confidence interval;Strongly urbanised;2022;2.2
5129;Walking;Population 6 years or older;Upper bound 95% confidence interval;Strongly urbanised;2023;2.2
5130;Walking;Population 6 years or older;Upper bound 95% confidence interval;Moderately urbanised;2018;0.9
5131;Walking;Population 6 years or older;Upper bound 95% confidence interval;Moderately urbanised;2019;0.8
5132;Walking;Population 6 years or older;Upper bound 95% confidence interval;Moderately urbanised;2020;1.0
5133;Walking;Population 6 years or older;Upper bound 95% confidence interval;Moderately urbanised;2021;1.2
5134;Walking;Population 6 years or older;Upper bound 95% confidence interval;Moderately urbanised;2022;1.2
5135;Walking;Population 6 years or older;Upper bound 95% confidence interval;Moderately urbanised;2023;1.1
5136;Walking;Population 6 years or older;Upper bound 95% confidence interval;Hardly urbanised;2018;1.0
5137;Walking;Population 6 years or older;Upper bound 95% confidence interval;Hardly urbanised;2019;1.0
5138;Walking;Population 6 years or older;Upper bound 95% confidence interval;Hardly urbanised;2020;1.4
5139;Walking;Population 6 years or older;Upper bound 95% confidence interval;Hardly urbanised;2021;1.8
5140;Walking;Population 6 years or older;Upper bound 95% confidence interval;Hardly urbanised;2022;1.5
5141;Walking;Population 6 years or older;Upper bound 95% confidence interval;Hardly urbanised;2023;1.4
5142;Walking;Population 6 years or older;Upper bound 95% confidence interval;Not urbanised;2018;0.4
5143;Walking;Population 6 years or older;Upper bound 95% confidence interval;Not urbanised;2019;0.4
5144;Walking;Population 6 years or older;Upper bound 95% confidence interval;Not urbanised;2020;0.5
5145;Walking;Population 6 years or older;Upper bound 95% confidence interval;Not urbanised;2021;0.6
5146;Walking;Population 6 years or older;Upper bound 95% confidence interval;Not urbanised;2022;0.5
5147;Walking;Population 6 years or older;Upper bound 95% confidence interval;Not urbanised;2023;0.5
5148;Walking;Population: 12 years or older;Value;The Netherlands;2018;4.8
5149;Walking;Population: 12 years or older;Value;The Netherlands;2019;4.8
5150;Walking;Population: 12 years or older;Value;The Netherlands;2020;6.2
5151;Walking;Population: 12 years or older;Value;The Netherlands;2021;7.7
5152;Walking;Population: 12 years or older;Value;The Netherlands;2022;6.8
5153;Walking;Population: 12 years or older;Value;The Netherlands;2023;6.6
5154;Walking;Population: 12 years or older;Value;Noord-Nederland (LD);2018;0.4
5155;Walking;Population: 12 years or older;Value;Noord-Nederland (LD);2019;0.5
5156;Walking;Population: 12 years or older;Value;Noord-Nederland (LD);2020;0.6
5157;Walking;Population: 12 years or older;Value;Noord-Nederland (LD);2021;0.7
5158;Walking;Population: 12 years or older;Value;Noord-Nederland (LD);2022;0.6
5159;Walking;Population: 12 years or older;Value;Noord-Nederland (LD);2023;0.6
5160;Walking;Population: 12 years or older;Value;Oost-Nederland (LD);2018;0.9
5161;Walking;Population: 12 years or older;Value;Oost-Nederland (LD);2019;0.9
5162;Walking;Population: 12 years or older;Value;Oost-Nederland (LD);2020;1.2
5163;Walking;Population: 12 years or older;Value;Oost-Nederland (LD);2021;1.5
5164;Walking;Population: 12 years or older;Value;Oost-Nederland (LD);2022;1.4
5165;Walking;Population: 12 years or older;Value;Oost-Nederland (LD);2023;1.3
5166;Walking;Population: 12 years or older;Value;West-Nederland (LD);2018;2.4
5167;Walking;Population: 12 years or older;Value;West-Nederland (LD);2019;2.4
5168;Walking;Population: 12 years or older;Value;West-Nederland (LD);2020;3.0
5169;Walking;Population: 12 years or older;Value;West-Nederland (LD);2021;3.7
5170;Walking;Population: 12 years or older;Value;West-Nederland (LD);2022;3.4
5171;Walking;Population: 12 years or older;Value;West-Nederland (LD);2023;3.2
5172;Walking;Population: 12 years or older;Value;Zuid-Nederland (LD);2018;1.1
5173;Walking;Population: 12 years or older;Value;Zuid-Nederland (LD);2019;1.0
5174;Walking;Population: 12 years or older;Value;Zuid-Nederland (LD);2020;1.4
5175;Walking;Population: 12 years or older;Value;Zuid-Nederland (LD);2021;1.7
5176;Walking;Population: 12 years or older;Value;Zuid-Nederland (LD);2022;1.5
5177;Walking;Population: 12 years or older;Value;Zuid-Nederland (LD);2023;1.4
5178;Walking;Population: 12 years or older;Value;Groningen (PV);2018;0.1
5179;Walking;Population: 12 years or older;Value;Groningen (PV);2019;0.2
5180;Walking;Population: 12 years or older;Value;Groningen (PV);2020;0.2
5181;Walking;Population: 12 years or older;Value;Groningen (PV);2021;0.2
5182;Walking;Population: 12 years or older;Value;Groningen (PV);2022;0.2
5183;Walking;Population: 12 years or older;Value;Groningen (PV);2023;0.2
5184;Walking;Population: 12 years or older;Value;Fryslân (PV);2018;0.2
5185;Walking;Population: 12 years or older;Value;Fryslân (PV);2019;0.2
5186;Walking;Population: 12 years or older;Value;Fryslân (PV);2020;0.2
5187;Walking;Population: 12 years or older;Value;Fryslân (PV);2021;0.2
5188;Walking;Population: 12 years or older;Value;Fryslân (PV);2022;0.2
5189;Walking;Population: 12 years or older;Value;Fryslân (PV);2023;0.2
5190;Walking;Population: 12 years or older;Value;Drenthe (PV);2018;0.1
5191;Walking;Population: 12 years or older;Value;Drenthe (PV);2019;0.1
5192;Walking;Population: 12 years or older;Value;Drenthe (PV);2020;0.2
5193;Walking;Population: 12 years or older;Value;Drenthe (PV);2021;0.2
5194;Walking;Population: 12 years or older;Value;Drenthe (PV);2022;0.2
5195;Walking;Population: 12 years or older;Value;Drenthe (PV);2023;0.2
5196;Walking;Population: 12 years or older;Value;Overijssel (PV);2018;0.3
5197;Walking;Population: 12 years or older;Value;Overijssel (PV);2019;0.3
5198;Walking;Population: 12 years or older;Value;Overijssel (PV);2020;0.4
5199;Walking;Population: 12 years or older;Value;Overijssel (PV);2021;0.5
5200;Walking;Population: 12 years or older;Value;Overijssel (PV);2022;0.5
5201;Walking;Population: 12 years or older;Value;Overijssel (PV);2023;0.4
5202;Walking;Population: 12 years or older;Value;Flevoland (PV);2018;0.1
5203;Walking;Population: 12 years or older;Value;Flevoland (PV);2019;0.1
5204;Walking;Population: 12 years or older;Value;Flevoland (PV);2020;0.1
5205;Walking;Population: 12 years or older;Value;Flevoland (PV);2021;0.2
5206;Walking;Population: 12 years or older;Value;Flevoland (PV);2022;0.1
5207;Walking;Population: 12 years or older;Value;Flevoland (PV);2023;0.1
5208;Walking;Population: 12 years or older;Value;Gelderland (PV);2018;0.5
5209;Walking;Population: 12 years or older;Value;Gelderland (PV);2019;0.5
5210;Walking;Population: 12 years or older;Value;Gelderland (PV);2020;0.7
5211;Walking;Population: 12 years or older;Value;Gelderland (PV);2021;0.9
5212;Walking;Population: 12 years or older;Value;Gelderland (PV);2022;0.8
5213;Walking;Population: 12 years or older;Value;Gelderland (PV);2023;0.8
5214;Walking;Population: 12 years or older;Value;Utrecht (PV);2018;0.4
5215;Walking;Population: 12 years or older;Value;Utrecht (PV);2019;0.3
5216;Walking;Population: 12 years or older;Value;Utrecht (PV);2020;0.5
5217;Walking;Population: 12 years or older;Value;Utrecht (PV);2021;0.6
5218;Walking;Population: 12 years or older;Value;Utrecht (PV);2022;0.5
5219;Walking;Population: 12 years or older;Value;Utrecht (PV);2023;0.5
5220;Walking;Population: 12 years or older;Value;Noord-Holland (PV);2018;0.8
5221;Walking;Population: 12 years or older;Value;Noord-Holland (PV);2019;0.9
5222;Walking;Population: 12 years or older;Value;Noord-Holland (PV);2020;1.1
5223;Walking;Population: 12 years or older;Value;Noord-Holland (PV);2021;1.3
5224;Walking;Population: 12 years or older;Value;Noord-Holland (PV);2022;1.2
5225;Walking;Population: 12 years or older;Value;Noord-Holland (PV);2023;1.1
5226;Walking;Population: 12 years or older;Value;Zuid-Holland (PV);2018;1.1
5227;Walking;Population: 12 years or older;Value;Zuid-Holland (PV);2019;1.1
5228;Walking;Population: 12 years or older;Value;Zuid-Holland (PV);2020;1.3
5229;Walking;Population: 12 years or older;Value;Zuid-Holland (PV);2021;1.6
5230;Walking;Population: 12 years or older;Value;Zuid-Holland (PV);2022;1.4
5231;Walking;Population: 12 years or older;Value;Zuid-Holland (PV);2023;1.5
5232;Walking;Population: 12 years or older;Value;Zeeland (PV);2018;0.1
5233;Walking;Population: 12 years or older;Value;Zeeland (PV);2019;0.1
5234;Walking;Population: 12 years or older;Value;Zeeland (PV);2020;0.1
5235;Walking;Population: 12 years or older;Value;Zeeland (PV);2021;0.2
5236;Walking;Population: 12 years or older;Value;Zeeland (PV);2022;0.2
5237;Walking;Population: 12 years or older;Value;Zeeland (PV);2023;0.1
5238;Walking;Population: 12 years or older;Value;Noord-Brabant (PV);2018;0.7
5239;Walking;Population: 12 years or older;Value;Noord-Brabant (PV);2019;0.7
5240;Walking;Population: 12 years or older;Value;Noord-Brabant (PV);2020;1.0
5241;Walking;Population: 12 years or older;Value;Noord-Brabant (PV);2021;1.2
5242;Walking;Population: 12 years or older;Value;Noord-Brabant (PV);2022;1.0
5243;Walking;Population: 12 years or older;Value;Noord-Brabant (PV);2023;0.9
5244;Walking;Population: 12 years or older;Value;Limburg (PV);2018;0.4
5245;Walking;Population: 12 years or older;Value;Limburg (PV);2019;0.4
5246;Walking;Population: 12 years or older;Value;Limburg (PV);2020;0.4
5247;Walking;Population: 12 years or older;Value;Limburg (PV);2021;0.6
5248;Walking;Population: 12 years or older;Value;Limburg (PV);2022;0.5
5249;Walking;Population: 12 years or older;Value;Limburg (PV);2023;0.5
5250;Walking;Population: 12 years or older;Value;Extremely urbanised;2018;1.4
5251;Walking;Population: 12 years or older;Value;Extremely urbanised;2019;1.4
5252;Walking;Population: 12 years or older;Value;Extremely urbanised;2020;1.7
5253;Walking;Population: 12 years or older;Value;Extremely urbanised;2021;2.2
5254;Walking;Population: 12 years or older;Value;Extremely urbanised;2022;2.0
5255;Walking;Population: 12 years or older;Value;Extremely urbanised;2023;1.9
5256;Walking;Population: 12 years or older;Value;Strongly urbanised;2018;1.5
5257;Walking;Population: 12 years or older;Value;Strongly urbanised;2019;1.5
5258;Walking;Population: 12 years or older;Value;Strongly urbanised;2020;1.9
5259;Walking;Population: 12 years or older;Value;Strongly urbanised;2021;2.3
5260;Walking;Population: 12 years or older;Value;Strongly urbanised;2022;2.0
5261;Walking;Population: 12 years or older;Value;Strongly urbanised;2023;2.0
5262;Walking;Population: 12 years or older;Value;Moderately urbanised;2018;0.7
5263;Walking;Population: 12 years or older;Value;Moderately urbanised;2019;0.7
5264;Walking;Population: 12 years or older;Value;Moderately urbanised;2020;0.9
5265;Walking;Population: 12 years or older;Value;Moderately urbanised;2021;1.1
5266;Walking;Population: 12 years or older;Value;Moderately urbanised;2022;1.1
5267;Walking;Population: 12 years or older;Value;Moderately urbanised;2023;1.0
5268;Walking;Population: 12 years or older;Value;Hardly urbanised;2018;0.9
5269;Walking;Population: 12 years or older;Value;Hardly urbanised;2019;0.9
5270;Walking;Population: 12 years or older;Value;Hardly urbanised;2020;1.2
5271;Walking;Population: 12 years or older;Value;Hardly urbanised;2021;1.6
5272;Walking;Population: 12 years or older;Value;Hardly urbanised;2022;1.4
5273;Walking;Population: 12 years or older;Value;Hardly urbanised;2023;1.3
5274;Walking;Population: 12 years or older;Value;Not urbanised;2018;0.3
5275;Walking;Population: 12 years or older;Value;Not urbanised;2019;0.3
5276;Walking;Population: 12 years or older;Value;Not urbanised;2020;0.5
5277;Walking;Population: 12 years or older;Value;Not urbanised;2021;0.5
5278;Walking;Population: 12 years or older;Value;Not urbanised;2022;0.4
5279;Walking;Population: 12 years or older;Value;Not urbanised;2023;0.4
5280;Walking;Population: 12 years or older;Lower bound 95% confidence interval;The Netherlands;2018;4.7
5281;Walking;Population: 12 years or older;Lower bound 95% confidence interval;The Netherlands;2019;4.7
5282;Walking;Population: 12 years or older;Lower bound 95% confidence interval;The Netherlands;2020;6.1
5283;Walking;Population: 12 years or older;Lower bound 95% confidence interval;The Netherlands;2021;7.6
5284;Walking;Population: 12 years or older;Lower bound 95% confidence interval;The Netherlands;2022;6.7
5285;Walking;Population: 12 years or older;Lower bound 95% confidence interval;The Netherlands;2023;6.4
5286;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Nederland (LD);2018;0.4
5287;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Nederland (LD);2019;0.4
5288;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Nederland (LD);2020;0.5
5289;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Nederland (LD);2021;0.6
5290;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Nederland (LD);2022;0.6
5291;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Nederland (LD);2023;0.6
5292;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Oost-Nederland (LD);2018;0.9
5293;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Oost-Nederland (LD);2019;0.9
5294;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Oost-Nederland (LD);2020;1.2
5295;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Oost-Nederland (LD);2021;1.5
5296;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Oost-Nederland (LD);2022;1.3
5297;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Oost-Nederland (LD);2023;1.2
5298;Walking;Population: 12 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2018;2.3
5299;Walking;Population: 12 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2019;2.3
5300;Walking;Population: 12 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2020;2.9
5301;Walking;Population: 12 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2021;3.7
5302;Walking;Population: 12 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2022;3.3
5303;Walking;Population: 12 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2023;3.1
5304;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2018;1.0
5305;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2019;1.0
5306;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2020;1.3
5307;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2021;1.7
5308;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2022;1.4
5309;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2023;1.3
5310;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Groningen (PV);2018;0.1
5311;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Groningen (PV);2019;0.1
5312;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Groningen (PV);2020;0.2
5313;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Groningen (PV);2021;0.2
5314;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Groningen (PV);2022;0.2
5315;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Groningen (PV);2023;0.2
5316;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Fryslân (PV);2018;0.1
5317;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Fryslân (PV);2019;0.1
5318;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Fryslân (PV);2020;0.2
5319;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Fryslân (PV);2021;0.2
5320;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Fryslân (PV);2022;0.2
5321;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Fryslân (PV);2023;0.2
5322;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Drenthe (PV);2018;0.1
5323;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Drenthe (PV);2019;0.1
5324;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Drenthe (PV);2020;0.1
5325;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Drenthe (PV);2021;0.2
5326;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Drenthe (PV);2022;0.2
5327;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Drenthe (PV);2023;0.1
5328;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Overijssel (PV);2018;0.3
5329;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Overijssel (PV);2019;0.2
5330;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Overijssel (PV);2020;0.3
5331;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Overijssel (PV);2021;0.4
5332;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Overijssel (PV);2022;0.4
5333;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Overijssel (PV);2023;0.4
5334;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Flevoland (PV);2018;0.1
5335;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Flevoland (PV);2019;0.1
5336;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Flevoland (PV);2020;0.1
5337;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Flevoland (PV);2021;0.1
5338;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Flevoland (PV);2022;0.1
5339;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Flevoland (PV);2023;0.1
5340;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Gelderland (PV);2018;0.5
5341;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Gelderland (PV);2019;0.5
5342;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Gelderland (PV);2020;0.7
5343;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Gelderland (PV);2021;0.9
5344;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Gelderland (PV);2022;0.7
5345;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Gelderland (PV);2023;0.7
5346;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Utrecht (PV);2018;0.3
5347;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Utrecht (PV);2019;0.3
5348;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Utrecht (PV);2020;0.5
5349;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Utrecht (PV);2021;0.6
5350;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Utrecht (PV);2022;0.5
5351;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Utrecht (PV);2023;0.5
5352;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2018;0.8
5353;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2019;0.8
5354;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2020;1.0
5355;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2021;1.3
5356;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2022;1.2
5357;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2023;1.1
5358;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2018;1.1
5359;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2019;1.0
5360;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2020;1.2
5361;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2021;1.6
5362;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2022;1.4
5363;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2023;1.4
5364;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Zeeland (PV);2018;0.1
5365;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Zeeland (PV);2019;0.1
5366;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Zeeland (PV);2020;0.1
5367;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Zeeland (PV);2021;0.1
5368;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Zeeland (PV);2022;0.1
5369;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Zeeland (PV);2023;0.1
5370;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2018;0.6
5371;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2019;0.6
5372;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2020;0.9
5373;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2021;1.1
5374;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2022;0.9
5375;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2023;0.9
