ID;Sex;PersonalCharacteristics;RegisteredEmploymentUWV;Periods;LabourForceAndNotInTheLabourForce_1;EmployedLabourForce_2;WantToWorkMoreHoursAvailable_3;DoesnTWantMoreHoursOrNotAvailable_4;NotEmployedLabourForce_5;UnemployedLabourForce_6;PartTime_7;LessThan20HoursAWeek_8;LessThan12HoursAWeek_9;k_12To19HoursAWeek_10;k_20To34HoursAWeek_11;FullTime_12;Unknown_13;NotInTheLabourForce_14;AvailableToWorkButNotSeeking_15;BecauseOfDiscouragement_16;BecauseOfOtherReason_17;SeekingWorkButNotAvailable_18;NotSeekingWorkNotAvailable_19;WantToWork_20;DoesnTWantToOrCanTWork_21;BecauseOfFamilyHouseholdCare_22;BecauseOfEducation_23;BecauseOfRetirementOldAge_24;BecauseOfIllnessDisability_25;BecauseOfOtherReason_26
8821;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2013 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8822;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2013 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8823;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2013 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8824;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2013;;;;;;;;;;;;;;;;;;;;;;;;;;
8825;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2014 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8826;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2014 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8827;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2014 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8828;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2014 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8829;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2014;;;;;;;;;;;;;;;;;;;;;;;;;;
8830;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2015 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8831;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2015 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8832;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2015 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8833;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2015 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8834;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2015;;;;;;;;;;;;;;;;;;;;;;;;;;
8835;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2016 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8836;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2016 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8837;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2016 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8838;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2016 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8839;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2016;;;;;;;;;;;;;;;;;;;;;;;;;;
8840;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2017 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8841;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2017 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8842;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2017 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8843;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2017 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8844;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2017;;;;;;;;;;;;;;;;;;;;;;;;;;
8845;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2018 1st quarter;33.0;18.0;3.0;14.0;15.0;10.0;6.0;1.0;0.0;1.0;5.0;4.0;0.0;5.0;1.0;0.0;1.0;2.0;2.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0
8846;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2018 2nd quarter;26.0;16.0;3.0;13.0;10.0;5.0;3.0;0.0;0.0;0.0;3.0;1.0;0.0;5.0;0.0;0.0;0.0;3.0;2.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0
8847;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2018 3rd quarter;26.0;13.0;3.0;10.0;13.0;6.0;3.0;0.0;0.0;0.0;3.0;3.0;0.0;7.0;0.0;0.0;0.0;3.0;4.0;0.0;4.0;1.0;1.0;0.0;2.0;0.0
8848;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2018 4th quarter;26.0;14.0;2.0;12.0;12.0;7.0;5.0;0.0;0.0;0.0;5.0;2.0;0.0;5.0;0.0;0.0;0.0;2.0;2.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0
8849;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2018;27.0;15.0;3.0;12.0;12.0;7.0;4.0;0.0;0.0;0.0;4.0;2.0;0.0;6.0;0.0;0.0;0.0;2.0;3.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0
8850;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2019 1st quarter;28.0;16.0;3.0;13.0;11.0;8.0;7.0;1.0;0.0;1.0;6.0;1.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
8851;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2019 2nd quarter;28.0;16.0;3.0;13.0;12.0;8.0;5.0;0.0;0.0;0.0;4.0;3.0;0.0;4.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
8852;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2019 3rd quarter;29.0;16.0;3.0;14.0;12.0;6.0;3.0;0.0;0.0;0.0;3.0;3.0;0.0;6.0;0.0;0.0;0.0;3.0;3.0;1.0;2.0;1.0;1.0;0.0;1.0;0.0
8853;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2019 4th quarter;26.0;15.0;2.0;14.0;11.0;7.0;4.0;0.0;0.0;0.0;4.0;3.0;0.0;4.0;0.0;0.0;0.0;1.0;3.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0
8854;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2019;28.0;16.0;3.0;13.0;12.0;7.0;5.0;0.0;0.0;0.0;4.0;2.0;0.0;4.0;0.0;0.0;0.0;2.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
8855;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2020 1st quarter;25.0;14.0;3.0;12.0;10.0;6.0;5.0;0.0;0.0;0.0;5.0;1.0;0.0;5.0;1.0;0.0;0.0;2.0;2.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0
8856;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2020 2nd quarter;30.0;14.0;3.0;12.0;16.0;11.0;8.0;0.0;0.0;0.0;8.0;3.0;0.0;6.0;1.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8857;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2020 3rd quarter;34.0;18.0;4.0;14.0;15.0;10.0;5.0;0.0;0.0;0.0;5.0;5.0;0.0;5.0;1.0;0.0;1.0;1.0;3.0;1.0;2.0;1.0;0.0;0.0;1.0;1.0
8858;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2020 4th quarter;25.0;14.0;4.0;10.0;11.0;6.0;5.0;0.0;0.0;0.0;5.0;2.0;0.0;4.0;1.0;0.0;0.0;1.0;3.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0
8859;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2020;29.0;15.0;3.0;12.0;13.0;8.0;5.0;0.0;0.0;0.0;5.0;2.0;0.0;5.0;1.0;0.0;1.0;2.0;2.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0
8860;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2021 1st quarter;30.0;15.0;5.0;10.0;15.0;10.0;6.0;0.0;0.0;0.0;6.0;4.0;1.0;4.0;1.0;0.0;1.0;3.0;0.0;;;0.0;0.0;0.0;0.0;0.0
8861;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2021 2nd quarter;30.0;16.0;3.0;13.0;15.0;10.0;7.0;1.0;0.0;1.0;6.0;3.0;0.0;5.0;0.0;0.0;0.0;3.0;2.0;;;0.0;1.0;0.0;1.0;0.0
8862;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2021 3rd quarter;26.0;11.0;0.0;11.0;15.0;10.0;8.0;1.0;0.0;1.0;7.0;1.0;1.0;5.0;0.0;0.0;0.0;5.0;0.0;;;0.0;0.0;0.0;0.0;0.0
8863;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2021 4th quarter;18.0;10.0;2.0;8.0;8.0;4.0;3.0;0.0;0.0;0.0;3.0;1.0;0.0;4.0;0.0;0.0;0.0;3.0;1.0;;;0.0;0.0;0.0;1.0;0.0
8864;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2021;26.0;13.0;3.0;10.0;13.0;8.0;6.0;0.0;0.0;0.0;6.0;2.0;0.0;5.0;0.0;0.0;0.0;3.0;1.0;;;0.0;0.0;0.0;0.0;0.0
8865;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2022 1st quarter;16.0;8.0;2.0;7.0;7.0;5.0;4.0;0.0;0.0;0.0;3.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;;;0.0;0.0;0.0;1.0;0.0
8866;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2022 2nd quarter;15.0;8.0;1.0;7.0;7.0;4.0;3.0;0.0;0.0;0.0;3.0;1.0;0.0;3.0;0.0;0.0;0.0;1.0;2.0;;;0.0;0.0;0.0;1.0;0.0
8867;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2022 3rd quarter;15.0;6.0;1.0;5.0;9.0;5.0;3.0;1.0;0.0;1.0;2.0;2.0;0.0;4.0;0.0;0.0;0.0;1.0;3.0;;;1.0;1.0;0.0;2.0;0.0
8868;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2022 4th quarter;15.0;7.0;0.0;7.0;7.0;3.0;2.0;0.0;0.0;0.0;2.0;1.0;0.0;4.0;1.0;0.0;1.0;1.0;2.0;;;0.0;1.0;0.0;1.0;1.0
8869;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2022;15.0;8.0;1.0;6.0;8.0;4.0;3.0;0.0;0.0;0.0;3.0;1.0;0.0;3.0;0.0;0.0;0.0;1.0;2.0;;;0.0;0.0;0.0;1.0;0.0
8870;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2023 1st quarter;15.0;9.0;0.0;8.0;6.0;5.0;3.0;0.0;0.0;0.0;3.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;;;0.0;0.0;0.0;0.0;0.0
8871;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2023 2nd quarter;16.0;10.0;1.0;9.0;6.0;3.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;;;0.0;0.0;0.0;0.0;0.0
8872;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2023 3rd quarter;17.0;5.0;0.0;5.0;12.0;6.0;2.0;0.0;0.0;0.0;2.0;3.0;0.0;6.0;0.0;0.0;0.0;3.0;3.0;;;0.0;1.0;0.0;1.0;1.0
8873;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2023 4th quarter;19.0;7.0;0.0;7.0;12.0;9.0;7.0;0.0;0.0;0.0;7.0;2.0;0.0;3.0;0.0;0.0;0.0;1.0;1.0;;;0.0;0.0;0.0;0.0;0.0
8874;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2023;17.0;8.0;0.0;7.0;9.0;6.0;3.0;0.0;0.0;0.0;3.0;2.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;;;0.0;0.0;0.0;0.0;0.0
8875;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2024 1st quarter;16.0;7.0;1.0;6.0;9.0;6.0;3.0;0.0;0.0;0.0;3.0;3.0;0.0;2.0;0.0;0.0;0.0;2.0;1.0;;;0.0;0.0;0.0;0.0;0.0
8876;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2024 2nd quarter;19.0;9.0;1.0;8.0;10.0;5.0;3.0;0.0;0.0;0.0;3.0;2.0;0.0;5.0;2.0;0.0;2.0;2.0;1.0;;;0.0;0.0;0.0;0.0;0.0
8877;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2024 3rd quarter;19.0;8.0;1.0;7.0;11.0;7.0;3.0;0.0;0.0;0.0;3.0;4.0;0.0;4.0;0.0;0.0;0.0;2.0;2.0;;;1.0;0.0;0.0;1.0;0.0
8878;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2024 4th quarter;18.0;7.0;1.0;6.0;11.0;6.0;5.0;0.0;0.0;0.0;5.0;1.0;0.0;5.0;1.0;0.0;1.0;2.0;2.0;;;1.0;0.0;0.0;1.0;0.0
8879;Female;Age: 25 to 34 years;Registered at UWV, with WW benefit ;2024;18.0;8.0;1.0;7.0;10.0;6.0;4.0;0.0;0.0;0.0;3.0;2.0;0.0;4.0;1.0;0.0;1.0;2.0;1.0;;;0.0;0.0;0.0;1.0;0.0
8880;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2013 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8881;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2013 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8882;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2013 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8883;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2013 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8884;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2013;;;;;;;;;;;;;;;;;;;;;;;;;;
8885;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2014 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8886;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2014 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8887;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2014 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8888;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2014 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8889;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2014;;;;;;;;;;;;;;;;;;;;;;;;;;
8890;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2015 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8891;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2015 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8892;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2015 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8893;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2015 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8894;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2015;;;;;;;;;;;;;;;;;;;;;;;;;;
8895;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2016 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8896;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2016 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8897;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2016 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8898;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2016 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8899;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2016;;;;;;;;;;;;;;;;;;;;;;;;;;
8900;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2017 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8901;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2017 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8902;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2017 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8903;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2017 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8904;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2017;;;;;;;;;;;;;;;;;;;;;;;;;;
8905;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2018 1st quarter;104.0;38.0;5.0;34.0;66.0;11.0;8.0;1.0;0.0;1.0;7.0;2.0;0.0;55.0;4.0;1.0;3.0;6.0;45.0;12.0;33.0;8.0;5.0;0.0;16.0;3.0
8906;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2018 2nd quarter;97.0;35.0;8.0;28.0;62.0;12.0;9.0;2.0;0.0;2.0;6.0;3.0;0.0;51.0;3.0;1.0;2.0;8.0;39.0;7.0;32.0;7.0;4.0;0.0;19.0;3.0
8907;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2018 3rd quarter;99.0;42.0;7.0;35.0;57.0;10.0;9.0;0.0;0.0;0.0;8.0;1.0;0.0;47.0;5.0;2.0;4.0;6.0;36.0;8.0;27.0;7.0;6.0;0.0;13.0;2.0
8908;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2018 4th quarter;96.0;38.0;5.0;34.0;58.0;10.0;6.0;1.0;0.0;0.0;6.0;3.0;0.0;48.0;2.0;0.0;2.0;6.0;40.0;6.0;34.0;8.0;5.0;0.0;19.0;3.0
8909;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2018;99.0;39.0;6.0;33.0;61.0;10.0;8.0;1.0;0.0;1.0;7.0;2.0;0.0;50.0;4.0;1.0;3.0;7.0;40.0;8.0;32.0;7.0;5.0;0.0;17.0;3.0
8910;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2019 1st quarter;95.0;38.0;6.0;32.0;57.0;11.0;8.0;3.0;0.0;2.0;6.0;3.0;0.0;46.0;4.0;1.0;2.0;6.0;37.0;6.0;31.0;7.0;6.0;0.0;15.0;3.0
8911;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2019 2nd quarter;96.0;40.0;4.0;36.0;56.0;10.0;9.0;0.0;0.0;0.0;9.0;2.0;0.0;46.0;4.0;1.0;3.0;8.0;35.0;7.0;28.0;6.0;5.0;0.0;13.0;3.0
8912;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2019 3rd quarter;99.0;44.0;6.0;38.0;55.0;12.0;10.0;1.0;1.0;0.0;10.0;1.0;0.0;43.0;2.0;0.0;2.0;7.0;34.0;5.0;29.0;6.0;5.0;0.0;15.0;3.0
8913;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2019 4th quarter;94.0;38.0;8.0;29.0;57.0;11.0;8.0;2.0;1.0;1.0;7.0;2.0;1.0;46.0;2.0;0.0;2.0;12.0;32.0;9.0;23.0;6.0;4.0;0.0;10.0;4.0
8914;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2019;96.0;40.0;6.0;34.0;56.0;11.0;9.0;1.0;0.0;1.0;8.0;2.0;0.0;45.0;3.0;1.0;2.0;8.0;34.0;7.0;28.0;6.0;5.0;0.0;14.0;3.0
8915;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2020 1st quarter;85.0;33.0;5.0;28.0;52.0;12.0;8.0;1.0;1.0;1.0;7.0;3.0;1.0;40.0;3.0;0.0;3.0;4.0;33.0;6.0;27.0;6.0;4.0;0.0;13.0;3.0
8916;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2020 2nd quarter;101.0;40.0;7.0;33.0;61.0;9.0;6.0;1.0;1.0;0.0;5.0;4.0;0.0;52.0;5.0;2.0;3.0;6.0;42.0;6.0;35.0;5.0;7.0;0.0;18.0;5.0
8917;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2020 3rd quarter;93.0;32.0;5.0;27.0;62.0;14.0;9.0;3.0;0.0;3.0;7.0;4.0;0.0;48.0;7.0;2.0;5.0;7.0;34.0;4.0;30.0;7.0;6.0;0.0;14.0;3.0
8918;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2020 4th quarter;85.0;30.0;7.0;24.0;55.0;14.0;10.0;2.0;0.0;2.0;9.0;4.0;0.0;41.0;4.0;2.0;1.0;4.0;33.0;6.0;27.0;6.0;4.0;0.0;14.0;2.0
8919;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2020;91.0;34.0;6.0;28.0;57.0;12.0;8.0;2.0;0.0;1.0;7.0;4.0;0.0;45.0;5.0;2.0;3.0;5.0;35.0;6.0;30.0;6.0;6.0;0.0;15.0;3.0
8920;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2021 1st quarter;98.0;38.0;3.0;36.0;60.0;10.0;6.0;2.0;0.0;2.0;4.0;3.0;2.0;50.0;2.0;0.0;2.0;7.0;41.0;;;5.0;3.0;0.0;25.0;7.0
8921;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2021 2nd quarter;94.0;33.0;4.0;29.0;61.0;8.0;7.0;1.0;0.0;1.0;6.0;0.0;1.0;53.0;4.0;0.0;4.0;3.0;46.0;;;7.0;8.0;0.0;26.0;4.0
8922;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2021 3rd quarter;98.0;37.0;5.0;33.0;61.0;11.0;6.0;2.0;0.0;1.0;4.0;5.0;0.0;50.0;2.0;0.0;1.0;9.0;39.0;;;7.0;6.0;0.0;24.0;2.0
8923;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2021 4th quarter;102.0;47.0;8.0;39.0;55.0;7.0;5.0;0.0;0.0;0.0;5.0;2.0;0.0;49.0;2.0;0.0;2.0;7.0;39.0;;;11.0;4.0;0.0;20.0;4.0
8924;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2021;98.0;39.0;5.0;34.0;59.0;9.0;6.0;1.0;0.0;1.0;5.0;2.0;1.0;50.0;3.0;0.0;2.0;7.0;41.0;;;8.0;5.0;0.0;24.0;5.0
8925;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2022 1st quarter;94.0;37.0;3.0;33.0;57.0;7.0;6.0;1.0;1.0;1.0;5.0;1.0;0.0;50.0;2.0;0.0;2.0;4.0;44.0;;;10.0;5.0;0.0;24.0;5.0
8926;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2022 2nd quarter;95.0;33.0;4.0;29.0;62.0;6.0;4.0;1.0;0.0;1.0;3.0;1.0;0.0;56.0;2.0;1.0;2.0;4.0;50.0;;;12.0;6.0;0.0;28.0;5.0
8927;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2022 3rd quarter;94.0;31.0;4.0;27.0;63.0;6.0;4.0;1.0;0.0;1.0;3.0;1.0;0.0;57.0;3.0;0.0;3.0;5.0;49.0;;;13.0;6.0;0.0;27.0;2.0
8928;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2022 4th quarter;93.0;31.0;3.0;28.0;62.0;6.0;6.0;1.0;1.0;0.0;5.0;1.0;0.0;56.0;2.0;0.0;1.0;7.0;46.0;;;12.0;6.0;0.0;25.0;3.0
8929;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2022;94.0;33.0;4.0;29.0;61.0;6.0;5.0;1.0;0.0;1.0;4.0;1.0;0.0;55.0;2.0;0.0;2.0;5.0;47.0;;;12.0;6.0;0.0;26.0;4.0
8930;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2023 1st quarter;92.0;33.0;2.0;31.0;59.0;8.0;8.0;2.0;0.0;1.0;6.0;0.0;0.0;51.0;2.0;0.0;2.0;5.0;43.0;;;11.0;6.0;0.0;24.0;3.0
8931;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2023 2nd quarter;94.0;31.0;2.0;29.0;63.0;10.0;6.0;3.0;0.0;3.0;3.0;2.0;1.0;53.0;3.0;0.0;3.0;3.0;47.0;;;12.0;7.0;0.0;25.0;3.0
8932;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2023 3rd quarter;88.0;31.0;4.0;27.0;57.0;7.0;4.0;1.0;0.0;0.0;4.0;2.0;0.0;50.0;2.0;0.0;2.0;3.0;45.0;;;9.0;9.0;0.0;24.0;4.0
8933;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2023 4th quarter;85.0;28.0;3.0;25.0;57.0;6.0;4.0;1.0;1.0;0.0;4.0;1.0;1.0;51.0;1.0;0.0;1.0;4.0;47.0;;;11.0;7.0;0.0;27.0;3.0
8934;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2023;90.0;31.0;3.0;28.0;59.0;8.0;6.0;2.0;0.0;1.0;4.0;1.0;1.0;51.0;2.0;0.0;2.0;4.0;46.0;;;11.0;7.0;0.0;25.0;3.0
8935;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2024 1st quarter;86.0;27.0;2.0;25.0;59.0;9.0;6.0;1.0;0.0;1.0;6.0;2.0;1.0;50.0;2.0;0.0;2.0;3.0;45.0;;;9.0;8.0;0.0;25.0;3.0
8936;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2024 2nd quarter;84.0;29.0;3.0;26.0;55.0;7.0;5.0;1.0;0.0;1.0;4.0;2.0;0.0;47.0;1.0;0.0;1.0;3.0;43.0;;;11.0;8.0;0.0;22.0;2.0
8937;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2024 3rd quarter;82.0;30.0;4.0;26.0;53.0;6.0;5.0;0.0;0.0;0.0;4.0;2.0;0.0;47.0;3.0;0.0;3.0;3.0;40.0;;;9.0;6.0;0.0;23.0;2.0
8938;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2024 4th quarter;79.0;29.0;3.0;26.0;50.0;7.0;6.0;1.0;0.0;0.0;5.0;1.0;0.0;43.0;3.0;0.0;3.0;2.0;38.0;;;9.0;6.0;0.0;21.0;2.0
8939;Female;Age: 25 to 34 years;Registered at UWV, no WW benefit;2024;83.0;29.0;3.0;26.0;54.0;7.0;5.0;1.0;0.0;1.0;5.0;2.0;0.0;47.0;2.0;0.0;2.0;3.0;41.0;;;10.0;7.0;0.0;23.0;2.0
8940;Female;Age: 25 to 34 years;Not registered at an employment office;2013 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8941;Female;Age: 25 to 34 years;Not registered at an employment office;2013 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8942;Female;Age: 25 to 34 years;Not registered at an employment office;2013 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
8943;Female;Age: 25 to 34 years;Not registered at an employment office;2013 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
