ID;Sex;CharacteristicsHouseholdsPersons;ComponentsOfWealth;Periods;NumberOfDeceasedPersons_1;TotalInheritedWealth_2;MeanInheritedWealth_3;MedianInheritedWealth_4
7378;Total male and female;Home ownership: Owner-occupied home;1.2.1 Principal residence;2009;37.3;6841.6;183.7;150.0
7379;Total male and female;Home ownership: Owner-occupied home;1.2.1 Principal residence;2010;40.7;8358.9;205.4;164.5
7380;Total male and female;Home ownership: Owner-occupied home;1.2.1 Principal residence;2011;38.9;7475.9;192.2;154.5
7381;Total male and female;Home ownership: Owner-occupied home;1.2.1 Principal residence;2012;41.0;7370.5;179.7;145.5
7382;Total male and female;Home ownership: Owner-occupied home;1.2.1 Principal residence;2013;41.8;7117.1;170.2;137.0
7383;Total male and female;Home ownership: Owner-occupied home;1.2.1 Principal residence;2014;42.4;7052.4;166.2;133.5
7384;Total male and female;Home ownership: Owner-occupied home;1.2.1 Principal residence;2015;44.8;7419.6;165.6;133.2
7385;Total male and female;Home ownership: Owner-occupied home;1.2.1 Principal residence;2016;46.2;7838.9;169.5;137.1
7386;Total male and female;Home ownership: Owner-occupied home;1.2.1 Principal residence;2017;47.2;8299.4;175.9;141.7
7387;Total male and female;Home ownership: Owner-occupied home;1.2.1 Principal residence;2018;48.3;8995.5;186.3;150.0
7388;Total male and female;Home ownership: Owner-occupied home;1.2.1 Principal residence;2019;49.0;9693.1;197.6;161.0
7389;Total male and female;Home ownership: Owner-occupied home;1.2.1 Principal residence;2020;53.9;11547.3;214.1;173.0
7390;Total male and female;Home ownership: Owner-occupied home;1.2.1 Principal residence;2021;56.2;12959.2;230.5;187.0
7391;Total male and female;Home ownership: Owner-occupied home;1.2.1 Principal residence;2022;56.9;14852.0;261.2;214.4
7392;Total male and female;Home ownership: Owner-occupied home;1.2.2 Other real estate;2007;4.6;743.1;162.4;66.0
7393;Total male and female;Home ownership: Owner-occupied home;1.2.2 Other real estate;2008;4.7;744.0;157.7;67.5
7394;Total male and female;Home ownership: Owner-occupied home;1.2.2 Other real estate;2009;5.2;774.4;149.2;67.3
7395;Total male and female;Home ownership: Owner-occupied home;1.2.2 Other real estate;2010;4.7;726.4;154.1;62.5
7396;Total male and female;Home ownership: Owner-occupied home;1.2.2 Other real estate;2011;4.3;620.6;144.4;59.3
7397;Total male and female;Home ownership: Owner-occupied home;1.2.2 Other real estate;2012;4.4;669.0;151.1;60.0
7398;Total male and female;Home ownership: Owner-occupied home;1.2.2 Other real estate;2013;4.5;658.0;146.7;59.5
7399;Total male and female;Home ownership: Owner-occupied home;1.2.2 Other real estate;2014;4.5;684.0;151.7;55.5
7400;Total male and female;Home ownership: Owner-occupied home;1.2.2 Other real estate;2015;4.7;656.8;139.3;50.3
7401;Total male and female;Home ownership: Owner-occupied home;1.2.2 Other real estate;2016;5.0;720.6;143.8;51.1
7402;Total male and female;Home ownership: Owner-occupied home;1.2.2 Other real estate;2017;4.9;718.1;146.1;47.1
7403;Total male and female;Home ownership: Owner-occupied home;1.2.2 Other real estate;2018;4.9;709.5;144.0;50.0
7404;Total male and female;Home ownership: Owner-occupied home;1.2.2 Other real estate;2019;5.2;842.7;163.3;53.2
7405;Total male and female;Home ownership: Owner-occupied home;1.2.2 Other real estate;2020;5.9;1037.4;175.9;65.3
7406;Total male and female;Home ownership: Owner-occupied home;1.2.2 Other real estate;2021;5.7;993.6;175.4;61.9
7407;Total male and female;Home ownership: Owner-occupied home;1.2.2 Other real estate;2022;5.1;848.7;167.5;49.0
7408;Total male and female;Home ownership: Owner-occupied home;1.3 Enterprise capital;2007;2.7;875.2;323.2;45.6
7409;Total male and female;Home ownership: Owner-occupied home;1.3 Enterprise capital;2008;2.8;1054.9;370.7;49.3
7410;Total male and female;Home ownership: Owner-occupied home;1.3 Enterprise capital;2009;3.1;1067.0;341.1;55.1
7411;Total male and female;Home ownership: Owner-occupied home;1.3 Enterprise capital;2010;3.5;1283.0;365.6;50.0
7412;Total male and female;Home ownership: Owner-occupied home;1.3 Enterprise capital;2011;2.6;1477.9;565.4;39.9
7413;Total male and female;Home ownership: Owner-occupied home;1.3 Enterprise capital;2012;2.5;1157.4;457.8;27.5
7414;Total male and female;Home ownership: Owner-occupied home;1.3 Enterprise capital;2013;2.6;903.6;351.6;30.7
7415;Total male and female;Home ownership: Owner-occupied home;1.3 Enterprise capital;2014;2.6;1037.2;395.6;29.3
7416;Total male and female;Home ownership: Owner-occupied home;1.3 Enterprise capital;2015;2.8;1055.7;380.6;27.2
7417;Total male and female;Home ownership: Owner-occupied home;1.3 Enterprise capital;2016;3.0;1586.4;522.0;31.5
7418;Total male and female;Home ownership: Owner-occupied home;1.3 Enterprise capital;2017;3.2;1435.1;451.4;25.4
7419;Total male and female;Home ownership: Owner-occupied home;1.3 Enterprise capital;2018;3.3;1719.3;518.5;32.3
7420;Total male and female;Home ownership: Owner-occupied home;1.3 Enterprise capital;2019;3.3;2067.2;630.0;69.0
7421;Total male and female;Home ownership: Owner-occupied home;1.3 Enterprise capital;2020;3.7;3591.7;969.2;80.2
7422;Total male and female;Home ownership: Owner-occupied home;1.3 Enterprise capital;2021;3.9;2568.8;660.5;113.2
7423;Total male and female;Home ownership: Owner-occupied home;1.3 Enterprise capital;2022;3.9;3966.8;1027.9;99.5
7424;Total male and female;Home ownership: Owner-occupied home;1.5 Other assets;2007;27.2;1028.9;37.9;5.1
7425;Total male and female;Home ownership: Owner-occupied home;1.5 Other assets;2008;28.3;1025.9;36.2;5.0
7426;Total male and female;Home ownership: Owner-occupied home;1.5 Other assets;2009;30.8;1049.5;34.0;5.0
7427;Total male and female;Home ownership: Owner-occupied home;1.5 Other assets;2010;25.9;944.7;36.5;4.6
7428;Total male and female;Home ownership: Owner-occupied home;1.5 Other assets;2011;23.2;827.5;35.6;4.5
7429;Total male and female;Home ownership: Owner-occupied home;1.5 Other assets;2012;22.9;796.0;34.8;4.6
7430;Total male and female;Home ownership: Owner-occupied home;1.5 Other assets;2013;22.2;680.3;30.7;4.5
7431;Total male and female;Home ownership: Owner-occupied home;1.5 Other assets;2014;21.4;682.4;31.9;4.8
7432;Total male and female;Home ownership: Owner-occupied home;1.5 Other assets;2015;21.9;710.6;32.4;5.0
7433;Total male and female;Home ownership: Owner-occupied home;1.5 Other assets;2016;21.5;737.4;34.3;5.0
7434;Total male and female;Home ownership: Owner-occupied home;1.5 Other assets;2017;22.5;944.1;42.0;5.0
7435;Total male and female;Home ownership: Owner-occupied home;1.5 Other assets;2018;23.6;849.9;35.9;5.0
7436;Total male and female;Home ownership: Owner-occupied home;1.5 Other assets;2019;25.6;984.5;38.4;5.0
7437;Total male and female;Home ownership: Owner-occupied home;1.5 Other assets;2020;31.6;1199.3;38.0;5.0
7438;Total male and female;Home ownership: Owner-occupied home;1.5 Other assets;2021;35.4;1370.1;38.7;5.0
7439;Total male and female;Home ownership: Owner-occupied home;1.5 Other assets;2022;37.7;1317.6;35.0;5.1
7440;Total male and female;Home ownership: Owner-occupied home;2 Liabilities;2007;31.4;2358.9;75.2;38.6
7441;Total male and female;Home ownership: Owner-occupied home;2 Liabilities;2008;29.3;2151.7;73.3;41.3
7442;Total male and female;Home ownership: Owner-occupied home;2 Liabilities;2009;30.9;2379.7;77.0;43.4
7443;Total male and female;Home ownership: Owner-occupied home;2 Liabilities;2010;33.2;2927.2;88.1;42.8
7444;Total male and female;Home ownership: Owner-occupied home;2 Liabilities;2011;31.3;2419.7;77.4;38.7
7445;Total male and female;Home ownership: Owner-occupied home;2 Liabilities;2012;33.1;2580.2;78.0;40.5
7446;Total male and female;Home ownership: Owner-occupied home;2 Liabilities;2013;34.0;2590.0;76.1;40.0
7447;Total male and female;Home ownership: Owner-occupied home;2 Liabilities;2014;33.9;2763.4;81.6;43.1
7448;Total male and female;Home ownership: Owner-occupied home;2 Liabilities;2015;35.1;2844.4;81.0;45.0
7449;Total male and female;Home ownership: Owner-occupied home;2 Liabilities;2016;36.0;3148.6;87.5;45.4
7450;Total male and female;Home ownership: Owner-occupied home;2 Liabilities;2017;36.4;3228.5;88.7;47.9
7451;Total male and female;Home ownership: Owner-occupied home;2 Liabilities;2018;37.5;3306.2;88.3;49.4
7452;Total male and female;Home ownership: Owner-occupied home;2 Liabilities;2019;37.4;3445.9;92.1;51.2
7453;Total male and female;Home ownership: Owner-occupied home;2 Liabilities;2020;41.5;4219.8;101.6;52.2
7454;Total male and female;Home ownership: Owner-occupied home;2 Liabilities;2021;43.8;4283.0;97.9;53.7
7455;Total male and female;Home ownership: Owner-occupied home;2 Liabilities;2022;44.3;4847.3;109.5;56.7
7456;Total male and female;Home ownership: Owner-occupied home;2.1 Principal residence loans;2007;20.8;1347.0;64.8;44.9
7457;Total male and female;Home ownership: Owner-occupied home;2.1 Principal residence loans;2008;22.0;1490.7;67.9;46.3
7458;Total male and female;Home ownership: Owner-occupied home;2.1 Principal residence loans;2009;22.9;1619.5;70.8;49.9
7459;Total male and female;Home ownership: Owner-occupied home;2.1 Principal residence loans;2010;24.3;1954.9;80.4;53.2
7460;Total male and female;Home ownership: Owner-occupied home;2.1 Principal residence loans;2011;22.3;1666.8;74.9;50.0
7461;Total male and female;Home ownership: Owner-occupied home;2.1 Principal residence loans;2012;24.0;1854.4;77.2;52.2
7462;Total male and female;Home ownership: Owner-occupied home;2.1 Principal residence loans;2013;24.2;1845.7;76.2;52.5
7463;Total male and female;Home ownership: Owner-occupied home;2.1 Principal residence loans;2014;24.8;1932.8;78.1;53.9
7464;Total male and female;Home ownership: Owner-occupied home;2.1 Principal residence loans;2015;25.9;2020.3;78.0;55.0
7465;Total male and female;Home ownership: Owner-occupied home;2.1 Principal residence loans;2016;26.8;2115.3;78.8;55.5
7466;Total male and female;Home ownership: Owner-occupied home;2.1 Principal residence loans;2017;27.6;2185.5;79.3;56.7
7467;Total male and female;Home ownership: Owner-occupied home;2.1 Principal residence loans;2018;28.4;2241.7;79.0;57.6
7468;Total male and female;Home ownership: Owner-occupied home;2.1 Principal residence loans;2019;28.9;2313.9;80.1;59.0
7469;Total male and female;Home ownership: Owner-occupied home;2.1 Principal residence loans;2020;32.0;2583.4;80.8;59.4
7470;Total male and female;Home ownership: Owner-occupied home;2.1 Principal residence loans;2021;33.9;2743.2;80.9;60.5
7471;Total male and female;Home ownership: Owner-occupied home;2.1 Principal residence loans;2022;34.4;2970.1;86.4;63.1
7472;Total male and female;Home ownership: Owner-occupied home;2.3 Other loans;2007;20.2;1011.9;50.1;4.1
7473;Total male and female;Home ownership: Owner-occupied home;2.3 Other loans;2008;15.0;660.9;44.0;2.4
7474;Total male and female;Home ownership: Owner-occupied home;2.3 Other loans;2009;16.2;760.3;47.0;2.4
7475;Total male and female;Home ownership: Owner-occupied home;2.3 Other loans;2010;17.0;972.3;57.1;3.6
7476;Total male and female;Home ownership: Owner-occupied home;2.3 Other loans;2011;18.2;753.0;41.5;2.4
7477;Total male and female;Home ownership: Owner-occupied home;2.3 Other loans;2012;19.3;725.8;37.6;2.5
7478;Total male and female;Home ownership: Owner-occupied home;2.3 Other loans;2013;20.5;744.3;36.3;2.3
7479;Total male and female;Home ownership: Owner-occupied home;2.3 Other loans;2014;19.2;830.6;43.3;2.8
7480;Total male and female;Home ownership: Owner-occupied home;2.3 Other loans;2015;19.6;824.1;42.1;2.7
7481;Total male and female;Home ownership: Owner-occupied home;2.3 Other loans;2016;19.8;1033.2;52.2;2.5
7482;Total male and female;Home ownership: Owner-occupied home;2.3 Other loans;2017;19.1;1043.0;54.5;3.0
7483;Total male and female;Home ownership: Owner-occupied home;2.3 Other loans;2018;19.8;1064.5;53.8;2.7
7484;Total male and female;Home ownership: Owner-occupied home;2.3 Other loans;2019;18.5;1132.0;61.0;3.6
7485;Total male and female;Home ownership: Owner-occupied home;2.3 Other loans;2020;20.6;1636.4;79.5;3.9
7486;Total male and female;Home ownership: Owner-occupied home;2.3 Other loans;2021;21.2;1539.7;72.6;3.8
7487;Total male and female;Home ownership: Owner-occupied home;2.3 Other loans;2022;21.6;1877.3;87.1;3.7
7488;Total male and female;Home ownership: Rent;Wealth;2007;63.3;2197.2;34.7;6.6
7489;Total male and female;Home ownership: Rent;Wealth;2008;65.1;2473.4;38.0;7.2
7490;Total male and female;Home ownership: Rent;Wealth;2009;61.8;2048.0;33.2;6.8
7491;Total male and female;Home ownership: Rent;Wealth;2010;61.4;2229.7;36.3;9.9
7492;Total male and female;Home ownership: Rent;Wealth;2011;62.1;2308.8;37.2;9.5
7493;Total male and female;Home ownership: Rent;Wealth;2012;63.8;2427.2;38.0;8.8
7494;Total male and female;Home ownership: Rent;Wealth;2013;63.8;2364.7;37.1;7.0
7495;Total male and female;Home ownership: Rent;Wealth;2014;58.9;2034.7;34.5;6.2
7496;Total male and female;Home ownership: Rent;Wealth;2015;62.7;2289.2;36.5;7.8
7497;Total male and female;Home ownership: Rent;Wealth;2016;63.3;2599.0;41.1;7.7
7498;Total male and female;Home ownership: Rent;Wealth;2017;63.9;2259.3;35.3;7.8
7499;Total male and female;Home ownership: Rent;Wealth;2018;64.2;2181.1;34.0;8.0
7500;Total male and female;Home ownership: Rent;Wealth;2019;62.6;2249.9;35.9;7.9
7501;Total male and female;Home ownership: Rent;Wealth;2020;67.7;2486.5;36.7;8.2
7502;Total male and female;Home ownership: Rent;Wealth;2021;70.0;2711.1;38.7;8.7
7503;Total male and female;Home ownership: Rent;Wealth;2022;68.8;2699.4;39.2;10.0
7504;Total male and female;Home ownership: Rent;1 Assets;2007;63.3;2478.3;39.1;6.8
7505;Total male and female;Home ownership: Rent;1 Assets;2008;65.1;2680.7;41.2;7.3
7506;Total male and female;Home ownership: Rent;1 Assets;2009;61.8;2253.2;36.5;6.9
7507;Total male and female;Home ownership: Rent;1 Assets;2010;61.4;2360.2;38.5;10.0
7508;Total male and female;Home ownership: Rent;1 Assets;2011;62.1;2463.7;39.7;9.7
7509;Total male and female;Home ownership: Rent;1 Assets;2012;63.8;2597.5;40.7;9.0
7510;Total male and female;Home ownership: Rent;1 Assets;2013;63.8;2563.7;40.2;7.2
7511;Total male and female;Home ownership: Rent;1 Assets;2014;58.9;2260.6;38.4;6.4
7512;Total male and female;Home ownership: Rent;1 Assets;2015;62.7;2502.1;39.9;8.0
7513;Total male and female;Home ownership: Rent;1 Assets;2016;63.3;2818.8;44.6;8.0
7514;Total male and female;Home ownership: Rent;1 Assets;2017;63.9;2471.9;38.7;8.1
7515;Total male and female;Home ownership: Rent;1 Assets;2018;64.2;2369.4;36.9;8.2
7516;Total male and female;Home ownership: Rent;1 Assets;2019;62.6;2460.9;39.3;8.2
7517;Total male and female;Home ownership: Rent;1 Assets;2020;67.7;2794.5;41.3;8.5
7518;Total male and female;Home ownership: Rent;1 Assets;2021;70.0;2968.7;42.4;8.9
7519;Total male and female;Home ownership: Rent;1 Assets;2022;68.8;2963.3;43.0;10.2
7520;Total male and female;Home ownership: Rent;1.1 Financial assets;2007;54.2;1677.7;31.0;8.6
7521;Total male and female;Home ownership: Rent;1.1 Financial assets;2008;56.7;1787.3;31.5;8.7
7522;Total male and female;Home ownership: Rent;1.1 Financial assets;2009;53.6;1607.6;30.0;8.5
7523;Total male and female;Home ownership: Rent;1.1 Financial assets;2010;56.0;1853.5;33.1;11.5
7524;Total male and female;Home ownership: Rent;1.1 Financial assets;2011;58.0;1911.3;33.0;10.7
7525;Total male and female;Home ownership: Rent;1.1 Financial assets;2012;60.9;2043.5;33.6;9.5
7526;Total male and female;Home ownership: Rent;1.1 Financial assets;2013;60.6;1975.8;32.6;7.7
7527;Total male and female;Home ownership: Rent;1.1 Financial assets;2014;56.1;1696.3;30.3;6.9
7528;Total male and female;Home ownership: Rent;1.1 Financial assets;2015;60.6;1919.9;31.7;8.1
7529;Total male and female;Home ownership: Rent;1.1 Financial assets;2016;61.0;2181.1;35.8;8.2
7530;Total male and female;Home ownership: Rent;1.1 Financial assets;2017;61.9;1868.9;30.2;8.3
7531;Total male and female;Home ownership: Rent;1.1 Financial assets;2018;62.2;1857.5;29.9;8.3
7532;Total male and female;Home ownership: Rent;1.1 Financial assets;2019;60.7;1770.8;29.2;8.3
7533;Total male and female;Home ownership: Rent;1.1 Financial assets;2020;65.8;1977.4;30.0;8.5
7534;Total male and female;Home ownership: Rent;1.1 Financial assets;2021;68.3;2018.1;29.5;8.8
7535;Total male and female;Home ownership: Rent;1.1 Financial assets;2022;67.3;2144.2;31.9;10.0
7536;Total male and female;Home ownership: Rent;1.1.1 Bank and savings credits;2007;54.0;1271.4;23.5;8.1
7537;Total male and female;Home ownership: Rent;1.1.1 Bank and savings credits;2008;56.6;1409.2;24.9;8.3
7538;Total male and female;Home ownership: Rent;1.1.1 Bank and savings credits;2009;53.5;1329.5;24.9;8.3
7539;Total male and female;Home ownership: Rent;1.1.1 Bank and savings credits;2010;55.9;1525.2;27.3;11.0
7540;Total male and female;Home ownership: Rent;1.1.1 Bank and savings credits;2011;57.9;1565.5;27.0;10.2
7541;Total male and female;Home ownership: Rent;1.1.1 Bank and savings credits;2012;60.8;1668.6;27.4;9.1
7542;Total male and female;Home ownership: Rent;1.1.1 Bank and savings credits;2013;60.5;1600.6;26.4;7.4
7543;Total male and female;Home ownership: Rent;1.1.1 Bank and savings credits;2014;56.0;1373.4;24.5;6.6
7544;Total male and female;Home ownership: Rent;1.1.1 Bank and savings credits;2015;60.6;1539.8;25.4;7.9
7545;Total male and female;Home ownership: Rent;1.1.1 Bank and savings credits;2016;61.0;1509.2;24.8;7.9
7546;Total male and female;Home ownership: Rent;1.1.1 Bank and savings credits;2017;61.9;1510.6;24.4;8.0
7547;Total male and female;Home ownership: Rent;1.1.1 Bank and savings credits;2018;62.2;1532.3;24.6;8.1
7548;Total male and female;Home ownership: Rent;1.1.1 Bank and savings credits;2019;60.7;1465.1;24.1;8.0
7549;Total male and female;Home ownership: Rent;1.1.1 Bank and savings credits;2020;65.8;1625.6;24.7;8.3
7550;Total male and female;Home ownership: Rent;1.1.1 Bank and savings credits;2021;68.3;1688.1;24.7;8.6
7551;Total male and female;Home ownership: Rent;1.1.1 Bank and savings credits;2022;67.3;1808.2;26.9;9.8
7552;Total male and female;Home ownership: Rent;1.1.2. Securities;2007;5.3;406.2;76.7;15.5
7553;Total male and female;Home ownership: Rent;1.1.2. Securities;2008;5.2;378.1;73.3;15.5
7554;Total male and female;Home ownership: Rent;1.1.2. Securities;2009;4.3;278.1;64.2;13.2
7555;Total male and female;Home ownership: Rent;1.1.2. Securities;2010;4.8;328.3;68.8;17.0
7556;Total male and female;Home ownership: Rent;1.1.2. Securities;2011;4.4;345.9;78.1;17.4
7557;Total male and female;Home ownership: Rent;1.1.2. Securities;2012;4.4;374.9;85.0;17.2
7558;Total male and female;Home ownership: Rent;1.1.2. Securities;2013;4.0;375.2;93.7;17.9
7559;Total male and female;Home ownership: Rent;1.1.2. Securities;2014;3.3;322.9;98.5;18.6
7560;Total male and female;Home ownership: Rent;1.1.2. Securities;2015;3.3;380.1;115.4;21.1
7561;Total male and female;Home ownership: Rent;1.1.2. Securities;2016;3.1;671.9;217.7;21.5
7562;Total male and female;Home ownership: Rent;1.1.2. Securities;2017;3.0;358.4;118.7;21.5
7563;Total male and female;Home ownership: Rent;1.1.2. Securities;2018;2.9;325.2;112.7;23.8
7564;Total male and female;Home ownership: Rent;1.1.2. Securities;2019;2.6;305.7;116.7;25.0
7565;Total male and female;Home ownership: Rent;1.1.2. Securities;2020;2.9;351.8;122.4;23.3
7566;Total male and female;Home ownership: Rent;1.1.2. Securities;2021;2.9;330.0;115.5;22.1
7567;Total male and female;Home ownership: Rent;1.1.2. Securities;2022;2.8;336.0;119.0;25.0
7568;Total male and female;Home ownership: Rent;1.2. Real estate;2007;2.2;381.7;174.2;117.5
7569;Total male and female;Home ownership: Rent;1.2. Real estate;2008;2.6;447.2;173.7;116.9
7570;Total male and female;Home ownership: Rent;1.2. Real estate;2009;1.1;171.0;156.2;85.0
7571;Total male and female;Home ownership: Rent;1.2. Real estate;2010;1.1;218.2;189.9;102.5
7572;Total male and female;Home ownership: Rent;1.2. Real estate;2011;1.4;242.0;176.5;116.5
7573;Total male and female;Home ownership: Rent;1.2. Real estate;2012;1.3;235.1;174.5;114.0
7574;Total male and female;Home ownership: Rent;1.2. Real estate;2013;1.5;265.8;178.5;115.3
7575;Total male and female;Home ownership: Rent;1.2. Real estate;2014;1.4;230.7;163.5;113.0
7576;Total male and female;Home ownership: Rent;1.2. Real estate;2015;1.5;228.3;155.6;95.5
7577;Total male and female;Home ownership: Rent;1.2. Real estate;2016;1.3;231.7;172.6;107.8
7578;Total male and female;Home ownership: Rent;1.2. Real estate;2017;1.4;233.2;167.6;112.1
7579;Total male and female;Home ownership: Rent;1.2. Real estate;2018;1.3;212.3;161.8;107.8
7580;Total male and female;Home ownership: Rent;1.2. Real estate;2019;1.4;229.6;166.9;114.0
7581;Total male and female;Home ownership: Rent;1.2. Real estate;2020;1.5;290.4;192.8;142.7
7582;Total male and female;Home ownership: Rent;1.2. Real estate;2021;1.6;324.2;198.0;147.0
7583;Total male and female;Home ownership: Rent;1.2. Real estate;2022;1.6;356.0;215.9;158.0
7584;Total male and female;Home ownership: Rent;1.2.1 Principal residence;2007;1.4;260.1;181.6;140.0
7585;Total male and female;Home ownership: Rent;1.2.1 Principal residence;2008;1.9;312.7;167.7;131.0
7586;Total male and female;Home ownership: Rent;1.2.1 Principal residence;2009;0.4;77.4;184.6;140.0
7587;Total male and female;Home ownership: Rent;1.2.1 Principal residence;2010;0.6;125.0;217.3;158.0
7588;Total male and female;Home ownership: Rent;1.2.1 Principal residence;2011;0.8;167.0;207.7;168.9
7589;Total male and female;Home ownership: Rent;1.2.1 Principal residence;2012;0.8;160.7;210.1;156.0
7590;Total male and female;Home ownership: Rent;1.2.1 Principal residence;2013;0.8;170.1;201.0;166.0
7591;Total male and female;Home ownership: Rent;1.2.1 Principal residence;2014;0.8;157.7;197.8;160.0
7592;Total male and female;Home ownership: Rent;1.2.1 Principal residence;2015;0.7;132.7;184.9;148.3
7593;Total male and female;Home ownership: Rent;1.2.1 Principal residence;2016;0.7;150.6;211.0;162.3
7594;Total male and female;Home ownership: Rent;1.2.1 Principal residence;2017;0.7;142.8;195.1;164.5
7595;Total male and female;Home ownership: Rent;1.2.1 Principal residence;2018;0.7;133.0;198.7;174.0
7596;Total male and female;Home ownership: Rent;1.2.1 Principal residence;2019;0.7;156.2;210.8;187.0
7597;Total male and female;Home ownership: Rent;1.2.1 Principal residence;2020;0.8;176.1;229.5;210.0
7598;Total male and female;Home ownership: Rent;1.2.1 Principal residence;2021;0.9;226.5;250.0;215.3
7599;Total male and female;Home ownership: Rent;1.2.1 Principal residence;2022;1.0;258.5;257.0;225.0
7600;Total male and female;Home ownership: Rent;1.2.2 Other real estate;2007;0.9;121.6;131.5;48.0
7601;Total male and female;Home ownership: Rent;1.2.2 Other real estate;2008;0.9;134.5;146.2;43.7
7602;Total male and female;Home ownership: Rent;1.2.2 Other real estate;2009;0.7;93.7;128.5;45.0
7603;Total male and female;Home ownership: Rent;1.2.2 Other real estate;2010;0.7;93.2;143.4;36.2
7604;Total male and female;Home ownership: Rent;1.2.2 Other real estate;2011;0.7;75.0;108.8;45.0
7605;Total male and female;Home ownership: Rent;1.2.2 Other real estate;2012;0.7;74.4;109.8;46.9
7606;Total male and female;Home ownership: Rent;1.2.2 Other real estate;2013;0.8;95.8;125.8;45.0
7607;Total male and female;Home ownership: Rent;1.2.2 Other real estate;2014;0.7;73.0;101.4;41.5
7608;Total male and female;Home ownership: Rent;1.2.2 Other real estate;2015;0.9;95.6;111.5;40.0
7609;Total male and female;Home ownership: Rent;1.2.2 Other real estate;2016;0.7;81.1;111.9;42.6
7610;Total male and female;Home ownership: Rent;1.2.2 Other real estate;2017;0.8;90.4;119.8;46.0
7611;Total male and female;Home ownership: Rent;1.2.2 Other real estate;2018;0.7;79.4;108.9;40.0
7612;Total male and female;Home ownership: Rent;1.2.2 Other real estate;2019;0.7;73.4;101.9;43.3
7613;Total male and female;Home ownership: Rent;1.2.2 Other real estate;2020;0.8;114.3;137.9;55.8
7614;Total male and female;Home ownership: Rent;1.2.2 Other real estate;2021;0.8;97.7;119.2;39.0
7615;Total male and female;Home ownership: Rent;1.2.2 Other real estate;2022;0.7;97.5;130.7;37.2
7616;Total male and female;Home ownership: Rent;1.3 Enterprise capital;2007;1.0;151.5;144.7;15.8
7617;Total male and female;Home ownership: Rent;1.3 Enterprise capital;2008;1.0;187.3;196.7;16.0
7618;Total male and female;Home ownership: Rent;1.3 Enterprise capital;2009;0.8;190.3;250.1;6.3
7619;Total male and female;Home ownership: Rent;1.3 Enterprise capital;2010;0.9;133.0;148.5;3.6
7620;Total male and female;Home ownership: Rent;1.3 Enterprise capital;2011;0.8;146.6;181.9;12.7
7621;Total male and female;Home ownership: Rent;1.3 Enterprise capital;2012;0.7;158.6;214.6;9.2
7622;Total male and female;Home ownership: Rent;1.3 Enterprise capital;2013;0.8;170.8;225.7;10.1
7623;Total male and female;Home ownership: Rent;1.3 Enterprise capital;2014;0.8;112.6;149.2;7.9
7624;Total male and female;Home ownership: Rent;1.3 Enterprise capital;2015;0.7;153.1;209.5;9.1
7625;Total male and female;Home ownership: Rent;1.3 Enterprise capital;2016;0.9;239.6;281.9;8.2
7626;Total male and female;Home ownership: Rent;1.3 Enterprise capital;2017;0.9;207.8;233.2;10.9
7627;Total male and female;Home ownership: Rent;1.3 Enterprise capital;2018;0.9;159.6;179.1;6.1
7628;Total male and female;Home ownership: Rent;1.3 Enterprise capital;2019;0.9;292.9;314.6;13.6
7629;Total male and female;Home ownership: Rent;1.3 Enterprise capital;2020;1.0;331.6;327.4;12.2
7630;Total male and female;Home ownership: Rent;1.3 Enterprise capital;2021;1.0;306.0;296.2;15.4
7631;Total male and female;Home ownership: Rent;1.3 Enterprise capital;2022;1.1;261.9;235.5;12.4
7632;Total male and female;Home ownership: Rent;1.5 Other assets;2007;11.8;267.4;22.7;2.5
7633;Total male and female;Home ownership: Rent;1.5 Other assets;2008;11.9;259.0;21.8;2.5
7634;Total male and female;Home ownership: Rent;1.5 Other assets;2009;10.0;284.2;28.3;2.7
7635;Total male and female;Home ownership: Rent;1.5 Other assets;2010;6.7;155.5;23.1;3.0
7636;Total male and female;Home ownership: Rent;1.5 Other assets;2011;6.8;163.8;24.1;3.0
7637;Total male and female;Home ownership: Rent;1.5 Other assets;2012;6.8;160.3;23.4;2.9
7638;Total male and female;Home ownership: Rent;1.5 Other assets;2013;6.9;151.3;22.0;3.0
7639;Total male and female;Home ownership: Rent;1.5 Other assets;2014;6.1;221.0;36.4;3.0
7640;Total male and female;Home ownership: Rent;1.5 Other assets;2015;6.5;200.8;30.8;3.0
7641;Total male and female;Home ownership: Rent;1.5 Other assets;2016;5.8;166.4;28.7;3.5
7642;Total male and female;Home ownership: Rent;1.5 Other assets;2017;6.3;162.0;25.7;3.0
7643;Total male and female;Home ownership: Rent;1.5 Other assets;2018;6.5;139.9;21.7;3.0
7644;Total male and female;Home ownership: Rent;1.5 Other assets;2019;6.6;167.6;25.4;3.0
7645;Total male and female;Home ownership: Rent;1.5 Other assets;2020;7.9;195.2;24.8;2.6
7646;Total male and female;Home ownership: Rent;1.5 Other assets;2021;8.6;320.4;37.2;2.9
7647;Total male and female;Home ownership: Rent;1.5 Other assets;2022;9.4;201.2;21.4;3.0
7648;Total male and female;Home ownership: Rent;2 Liabilities;2007;9.8;281.1;28.8;2.0
7649;Total male and female;Home ownership: Rent;2 Liabilities;2008;6.9;207.3;30.0;1.4
7650;Total male and female;Home ownership: Rent;2 Liabilities;2009;5.8;205.2;35.4;1.3
7651;Total male and female;Home ownership: Rent;2 Liabilities;2010;5.4;130.5;24.0;2.1
