ID;EmployeeResidentNonResident;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;CountriesOfOrigin;Periods;JobsForeignBornEmployees_1
9394;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2012;0.3
9395;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2013 1st quarter;0.4
9396;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2013 2nd quarter;0.4
9397;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2013 3rd quarter;0.4
9398;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2013 4th quarter;0.4
9399;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2013;0.4
9400;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2014 1st quarter;0.4
9401;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2014 2nd quarter;0.4
9402;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2014 3rd quarter;0.4
9403;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2014 4th quarter;0.4
9404;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2014;0.4
9405;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2015 1st quarter;0.4
9406;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2015 2nd quarter;0.5
9407;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2015 3rd quarter;0.4
9408;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2015 4th quarter;0.4
9409;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2015;0.4
9410;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2016 1st quarter;0.4
9411;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2016 2nd quarter;0.5
9412;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2016 3rd quarter;0.4
9413;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2016 4th quarter;0.5
9414;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2016;0.5
9415;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2017 1st quarter;0.5
9416;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2017 2nd quarter;0.6
9417;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2017 3rd quarter;0.6
9418;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2017 4th quarter;0.6
9419;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2017;0.6
9420;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2018 1st quarter;0.7
9421;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2018 2nd quarter;0.7
9422;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2018 3rd quarter;0.7
9423;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2018 4th quarter;0.7
9424;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2018;0.7
9425;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2019 1st quarter;0.7
9426;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2019 2nd quarter;0.8
9427;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2019 3rd quarter;0.8
9428;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2019 4th quarter;0.9
9429;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2019;0.8
9430;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2020 1st quarter;1.0
9431;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2020 2nd quarter;1.0
9432;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2020 3rd quarter;1.0
9433;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2020 4th quarter;1.0
9434;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2020;1.0
9435;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2021 1st quarter;0.9
9436;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2021 2nd quarter;0.9
9437;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2021 3rd quarter;0.9
9438;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2021 4th quarter;1.0
9439;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2021;0.9
9440;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2022 1st quarter;1.1
9441;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2022 2nd quarter;1.2
9442;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2022 3rd quarter;1.3
9443;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2022 4th quarter;1.4
9444;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2022;1.3
9445;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2023 1st quarter;1.6
9446;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2023 2nd quarter;1.7
9447;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2023 3rd quarter;1.7
9448;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2023 4th quarter;1.8
9449;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Portugal;2023;1.7
9450;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2010 1st quarter;0.4
9451;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2010 2nd quarter;0.4
9452;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2010 3rd quarter;0.4
9453;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2010 4th quarter;0.4
9454;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2010;0.4
9455;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2011 1st quarter;0.4
9456;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2011 2nd quarter;0.4
9457;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2011 3rd quarter;0.4
9458;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2011 4th quarter;0.4
9459;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2011;0.4
9460;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2012 1st quarter;0.4
9461;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2012 2nd quarter;0.5
9462;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2012 3rd quarter;0.5
9463;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2012 4th quarter;0.5
9464;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2012;0.5
9465;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2013 1st quarter;0.5
9466;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2013 2nd quarter;0.5
9467;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2013 3rd quarter;0.5
9468;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2013 4th quarter;0.5
9469;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2013;0.5
9470;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2014 1st quarter;0.6
9471;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2014 2nd quarter;0.6
9472;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2014 3rd quarter;0.6
9473;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2014 4th quarter;0.6
9474;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2014;0.6
9475;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2015 1st quarter;0.6
9476;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2015 2nd quarter;0.7
9477;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2015 3rd quarter;0.7
9478;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2015 4th quarter;0.7
9479;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2015;0.7
9480;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2016 1st quarter;0.7
9481;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2016 2nd quarter;0.7
9482;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2016 3rd quarter;0.8
9483;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2016 4th quarter;0.8
9484;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2016;0.8
9485;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2017 1st quarter;0.8
9486;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2017 2nd quarter;0.8
9487;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2017 3rd quarter;0.8
9488;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2017 4th quarter;0.9
9489;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2017;0.8
9490;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2018 1st quarter;0.9
9491;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2018 2nd quarter;1.0
9492;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2018 3rd quarter;1.0
9493;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2018 4th quarter;1.1
9494;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2018;1.0
9495;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2019 1st quarter;1.2
9496;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2019 2nd quarter;1.2
9497;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2019 3rd quarter;1.3
9498;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2019 4th quarter;1.3
9499;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2019;1.2
9500;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2020 1st quarter;1.3
9501;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2020 2nd quarter;1.4
9502;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2020 3rd quarter;1.4
9503;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2020 4th quarter;1.4
9504;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2020;1.4
9505;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2021 1st quarter;1.4
9506;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2021 2nd quarter;1.5
9507;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2021 3rd quarter;1.5
9508;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2021 4th quarter;1.5
9509;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2021;1.5
9510;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2022 1st quarter;1.6
9511;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2022 2nd quarter;1.7
9512;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2022 3rd quarter;1.8
9513;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2022 4th quarter;1.9
9514;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2022;1.8
9515;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2023 1st quarter;2.2
9516;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2023 2nd quarter;2.3
9517;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2023 3rd quarter;2.4
9518;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2023 4th quarter;2.5
9519;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Romania;2023;2.3
9520;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2010 1st quarter;0.5
9521;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2010 2nd quarter;0.5
9522;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2010 3rd quarter;0.5
9523;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2010 4th quarter;0.5
9524;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2010;0.5
9525;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2011 1st quarter;0.5
9526;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2011 2nd quarter;0.5
9527;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2011 3rd quarter;0.5
9528;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2011 4th quarter;0.5
9529;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2011;0.5
9530;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2012 1st quarter;0.5
9531;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2012 2nd quarter;0.5
9532;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2012 3rd quarter;0.6
9533;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2012 4th quarter;0.6
9534;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2012;0.6
9535;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2013 1st quarter;0.6
9536;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2013 2nd quarter;0.6
9537;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2013 3rd quarter;0.7
9538;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2013 4th quarter;0.7
9539;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2013;0.7
9540;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2014 1st quarter;0.7
9541;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2014 2nd quarter;0.7
9542;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2014 3rd quarter;0.7
9543;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2014 4th quarter;0.8
9544;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2014;0.7
9545;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2015 1st quarter;0.9
9546;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2015 2nd quarter;0.9
9547;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2015 3rd quarter;0.8
9548;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2015 4th quarter;0.9
9549;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2015;0.9
9550;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2016 1st quarter;0.9
9551;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2016 2nd quarter;0.9
9552;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2016 3rd quarter;0.9
9553;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2016 4th quarter;0.9
9554;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2016;0.9
9555;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2017 1st quarter;1.0
9556;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2017 2nd quarter;1.0
9557;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2017 3rd quarter;1.1
9558;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2017 4th quarter;1.1
9559;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2017;1.1
9560;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2018 1st quarter;1.1
9561;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2018 2nd quarter;1.1
9562;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2018 3rd quarter;1.2
9563;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2018 4th quarter;1.2
9564;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2018;1.2
9565;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2019 1st quarter;1.3
9566;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2019 2nd quarter;1.3
9567;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2019 3rd quarter;1.4
9568;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2019 4th quarter;1.4
9569;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2019;1.3
9570;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2020 1st quarter;1.5
9571;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2020 2nd quarter;1.5
9572;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2020 3rd quarter;1.5
9573;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2020 4th quarter;1.5
9574;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2020;1.5
9575;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2021 1st quarter;1.5
9576;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2021 2nd quarter;1.5
9577;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2021 3rd quarter;1.6
9578;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2021 4th quarter;1.6
9579;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2021;1.5
9580;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2022 1st quarter;1.7
9581;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2022 2nd quarter;1.8
9582;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2022 3rd quarter;1.8
9583;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2022 4th quarter;1.9
9584;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2022;1.8
9585;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2023 1st quarter;2.1
9586;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2023 2nd quarter;2.2
9587;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2023 3rd quarter;2.2
9588;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2023 4th quarter;2.3
9589;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Spain;2023;2.2
9590;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2010 1st quarter;2.0
9591;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2010 2nd quarter;2.0
9592;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2010 3rd quarter;2.0
9593;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2010 4th quarter;1.9
9594;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2010;2.0
9595;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2011 1st quarter;2.0
9596;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2011 2nd quarter;2.0
9597;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2011 3rd quarter;2.1
9598;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2011 4th quarter;2.0
9599;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2011;2.0
9600;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2012 1st quarter;2.1
9601;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2012 2nd quarter;2.0
9602;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2012 3rd quarter;2.1
9603;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2012 4th quarter;2.1
9604;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2012;2.1
9605;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2013 1st quarter;2.1
9606;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2013 2nd quarter;2.1
9607;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2013 3rd quarter;2.1
9608;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2013 4th quarter;2.1
9609;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2013;2.1
9610;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2014 1st quarter;2.1
9611;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2014 2nd quarter;2.2
9612;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2014 3rd quarter;2.2
9613;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2014 4th quarter;2.2
9614;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2014;2.2
9615;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2015 1st quarter;2.2
9616;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2015 2nd quarter;2.2
9617;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2015 3rd quarter;2.2
9618;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2015 4th quarter;2.2
9619;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2015;2.2
9620;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2016 1st quarter;2.2
9621;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2016 2nd quarter;2.2
9622;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2016 3rd quarter;2.2
9623;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2016 4th quarter;2.2
9624;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2016;2.2
9625;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2017 1st quarter;2.4
9626;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2017 2nd quarter;2.4
9627;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2017 3rd quarter;2.4
9628;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2017 4th quarter;2.4
9629;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2017;2.4
