ID;Sex;Age;MaritalStatus;CountryOfOrigin;CountryOfBirth;ParentsCountryOfBirth;Periods;Population_1
8691;Total males and females;Total;Total;Tunisia;Person born in the Netherlands;Two parents born in the Netherlands;2022;
8692;Total males and females;Total;Total;Tunisia;Person born in the Netherlands;Two parents born in the Netherlands;2023;
8693;Total males and females;Total;Total;Tunisia;Person born in the Netherlands;Two parents born in the Netherlands;2024;
8694;Total males and females;Total;Total;Tunisia;Person born in the Netherlands;One parent born in NL, one born abroad;2022;3377.0
8695;Total males and females;Total;Total;Tunisia;Person born in the Netherlands;One parent born in NL, one born abroad;2023;3446.0
8696;Total males and females;Total;Total;Tunisia;Person born in the Netherlands;One parent born in NL, one born abroad;2024;3505.0
8697;Total males and females;Total;Total;Tunisia;Person born in the Netherlands;Two parents born abroad;2022;2476.0
8698;Total males and females;Total;Total;Tunisia;Person born in the Netherlands;Two parents born abroad;2023;2537.0
8699;Total males and females;Total;Total;Tunisia;Person born in the Netherlands;Two parents born abroad;2024;2592.0
8700;Total males and females;Total;Total;Tunisia;Person born abroad;Total;2022;5546.0
8701;Total males and females;Total;Total;Tunisia;Person born abroad;Total;2023;5876.0
8702;Total males and females;Total;Total;Tunisia;Person born abroad;Total;2024;6143.0
8703;Total males and females;Total;Total;Tunisia;Person born abroad;Two parents born in the Netherlands;2022;152.0
8704;Total males and females;Total;Total;Tunisia;Person born abroad;Two parents born in the Netherlands;2023;150.0
8705;Total males and females;Total;Total;Tunisia;Person born abroad;Two parents born in the Netherlands;2024;144.0
8706;Total males and females;Total;Total;Tunisia;Person born abroad;One parent born in NL, one born abroad;2022;178.0
8707;Total males and females;Total;Total;Tunisia;Person born abroad;One parent born in NL, one born abroad;2023;182.0
8708;Total males and females;Total;Total;Tunisia;Person born abroad;One parent born in NL, one born abroad;2024;191.0
8709;Total males and females;Total;Total;Tunisia;Person born abroad;Two parents born abroad;2022;5216.0
8710;Total males and females;Total;Total;Tunisia;Person born abroad;Two parents born abroad;2023;5544.0
8711;Total males and females;Total;Total;Tunisia;Person born abroad;Two parents born abroad;2024;5808.0
8712;Total males and females;Total;Total;Turkmenistan;Total;Total;2022;219.0
8713;Total males and females;Total;Total;Turkmenistan;Total;Total;2023;620.0
8714;Total males and females;Total;Total;Turkmenistan;Total;Total;2024;555.0
8715;Total males and females;Total;Total;Turkmenistan;Total;Two parents born in the Netherlands;2022;0.0
8716;Total males and females;Total;Total;Turkmenistan;Total;Two parents born in the Netherlands;2023;0.0
8717;Total males and females;Total;Total;Turkmenistan;Total;Two parents born in the Netherlands;2024;2.0
8718;Total males and females;Total;Total;Turkmenistan;Total;One parent born in NL, one born abroad;2022;27.0
8719;Total males and females;Total;Total;Turkmenistan;Total;One parent born in NL, one born abroad;2023;27.0
8720;Total males and females;Total;Total;Turkmenistan;Total;One parent born in NL, one born abroad;2024;28.0
8721;Total males and females;Total;Total;Turkmenistan;Total;Two parents born abroad;2022;192.0
8722;Total males and females;Total;Total;Turkmenistan;Total;Two parents born abroad;2023;593.0
8723;Total males and females;Total;Total;Turkmenistan;Total;Two parents born abroad;2024;525.0
8724;Total males and females;Total;Total;Turkmenistan;Person born in the Netherlands;Total;2022;41.0
8725;Total males and females;Total;Total;Turkmenistan;Person born in the Netherlands;Total;2023;49.0
8726;Total males and females;Total;Total;Turkmenistan;Person born in the Netherlands;Total;2024;52.0
8727;Total males and females;Total;Total;Turkmenistan;Person born in the Netherlands;Two parents born in the Netherlands;2022;
8728;Total males and females;Total;Total;Turkmenistan;Person born in the Netherlands;Two parents born in the Netherlands;2023;
8729;Total males and females;Total;Total;Turkmenistan;Person born in the Netherlands;Two parents born in the Netherlands;2024;
8730;Total males and females;Total;Total;Turkmenistan;Person born in the Netherlands;One parent born in NL, one born abroad;2022;25.0
8731;Total males and females;Total;Total;Turkmenistan;Person born in the Netherlands;One parent born in NL, one born abroad;2023;25.0
8732;Total males and females;Total;Total;Turkmenistan;Person born in the Netherlands;One parent born in NL, one born abroad;2024;26.0
8733;Total males and females;Total;Total;Turkmenistan;Person born in the Netherlands;Two parents born abroad;2022;16.0
8734;Total males and females;Total;Total;Turkmenistan;Person born in the Netherlands;Two parents born abroad;2023;24.0
8735;Total males and females;Total;Total;Turkmenistan;Person born in the Netherlands;Two parents born abroad;2024;26.0
8736;Total males and females;Total;Total;Turkmenistan;Person born abroad;Total;2022;178.0
8737;Total males and females;Total;Total;Turkmenistan;Person born abroad;Total;2023;571.0
8738;Total males and females;Total;Total;Turkmenistan;Person born abroad;Total;2024;503.0
8739;Total males and females;Total;Total;Turkmenistan;Person born abroad;Two parents born in the Netherlands;2022;0.0
8740;Total males and females;Total;Total;Turkmenistan;Person born abroad;Two parents born in the Netherlands;2023;0.0
8741;Total males and females;Total;Total;Turkmenistan;Person born abroad;Two parents born in the Netherlands;2024;2.0
8742;Total males and females;Total;Total;Turkmenistan;Person born abroad;One parent born in NL, one born abroad;2022;2.0
8743;Total males and females;Total;Total;Turkmenistan;Person born abroad;One parent born in NL, one born abroad;2023;2.0
8744;Total males and females;Total;Total;Turkmenistan;Person born abroad;One parent born in NL, one born abroad;2024;2.0
8745;Total males and females;Total;Total;Turkmenistan;Person born abroad;Two parents born abroad;2022;176.0
8746;Total males and females;Total;Total;Turkmenistan;Person born abroad;Two parents born abroad;2023;569.0
8747;Total males and females;Total;Total;Turkmenistan;Person born abroad;Two parents born abroad;2024;499.0
8748;Total males and females;Total;Total;Turks and Caicos islands;Total;Total;2022;2.0
8749;Total males and females;Total;Total;Turks and Caicos islands;Total;Total;2023;2.0
8750;Total males and females;Total;Total;Turks and Caicos islands;Total;Total;2024;2.0
8751;Total males and females;Total;Total;Turks and Caicos islands;Total;Two parents born in the Netherlands;2022;0.0
8752;Total males and females;Total;Total;Turks and Caicos islands;Total;Two parents born in the Netherlands;2023;0.0
8753;Total males and females;Total;Total;Turks and Caicos islands;Total;Two parents born in the Netherlands;2024;0.0
8754;Total males and females;Total;Total;Turks and Caicos islands;Total;One parent born in NL, one born abroad;2022;0.0
8755;Total males and females;Total;Total;Turks and Caicos islands;Total;One parent born in NL, one born abroad;2023;0.0
8756;Total males and females;Total;Total;Turks and Caicos islands;Total;One parent born in NL, one born abroad;2024;0.0
8757;Total males and females;Total;Total;Turks and Caicos islands;Total;Two parents born abroad;2022;2.0
8758;Total males and females;Total;Total;Turks and Caicos islands;Total;Two parents born abroad;2023;2.0
8759;Total males and females;Total;Total;Turks and Caicos islands;Total;Two parents born abroad;2024;2.0
8760;Total males and females;Total;Total;Turks and Caicos islands;Person born in the Netherlands;Total;2022;0.0
8761;Total males and females;Total;Total;Turks and Caicos islands;Person born in the Netherlands;Total;2023;0.0
8762;Total males and females;Total;Total;Turks and Caicos islands;Person born in the Netherlands;Total;2024;0.0
8763;Total males and females;Total;Total;Turks and Caicos islands;Person born in the Netherlands;Two parents born in the Netherlands;2022;
8764;Total males and females;Total;Total;Turks and Caicos islands;Person born in the Netherlands;Two parents born in the Netherlands;2023;
8765;Total males and females;Total;Total;Turks and Caicos islands;Person born in the Netherlands;Two parents born in the Netherlands;2024;
8766;Total males and females;Total;Total;Turks and Caicos islands;Person born in the Netherlands;One parent born in NL, one born abroad;2022;0.0
8767;Total males and females;Total;Total;Turks and Caicos islands;Person born in the Netherlands;One parent born in NL, one born abroad;2023;0.0
8768;Total males and females;Total;Total;Turks and Caicos islands;Person born in the Netherlands;One parent born in NL, one born abroad;2024;0.0
8769;Total males and females;Total;Total;Turks and Caicos islands;Person born in the Netherlands;Two parents born abroad;2022;0.0
8770;Total males and females;Total;Total;Turks and Caicos islands;Person born in the Netherlands;Two parents born abroad;2023;0.0
8771;Total males and females;Total;Total;Turks and Caicos islands;Person born in the Netherlands;Two parents born abroad;2024;0.0
8772;Total males and females;Total;Total;Turks and Caicos islands;Person born abroad;Total;2022;2.0
8773;Total males and females;Total;Total;Turks and Caicos islands;Person born abroad;Total;2023;2.0
8774;Total males and females;Total;Total;Turks and Caicos islands;Person born abroad;Total;2024;2.0
8775;Total males and females;Total;Total;Turks and Caicos islands;Person born abroad;Two parents born in the Netherlands;2022;0.0
8776;Total males and females;Total;Total;Turks and Caicos islands;Person born abroad;Two parents born in the Netherlands;2023;0.0
8777;Total males and females;Total;Total;Turks and Caicos islands;Person born abroad;Two parents born in the Netherlands;2024;0.0
8778;Total males and females;Total;Total;Turks and Caicos islands;Person born abroad;One parent born in NL, one born abroad;2022;0.0
8779;Total males and females;Total;Total;Turks and Caicos islands;Person born abroad;One parent born in NL, one born abroad;2023;0.0
8780;Total males and females;Total;Total;Turks and Caicos islands;Person born abroad;One parent born in NL, one born abroad;2024;0.0
8781;Total males and females;Total;Total;Turks and Caicos islands;Person born abroad;Two parents born abroad;2022;2.0
8782;Total males and females;Total;Total;Turks and Caicos islands;Person born abroad;Two parents born abroad;2023;2.0
8783;Total males and females;Total;Total;Turks and Caicos islands;Person born abroad;Two parents born abroad;2024;2.0
8784;Total males and females;Total;Total;Tuvalu;Total;Total;2022;0.0
8785;Total males and females;Total;Total;Tuvalu;Total;Total;2023;0.0
8786;Total males and females;Total;Total;Tuvalu;Total;Total;2024;0.0
8787;Total males and females;Total;Total;Tuvalu;Total;Two parents born in the Netherlands;2022;0.0
8788;Total males and females;Total;Total;Tuvalu;Total;Two parents born in the Netherlands;2023;0.0
8789;Total males and females;Total;Total;Tuvalu;Total;Two parents born in the Netherlands;2024;0.0
8790;Total males and females;Total;Total;Tuvalu;Total;One parent born in NL, one born abroad;2022;0.0
8791;Total males and females;Total;Total;Tuvalu;Total;One parent born in NL, one born abroad;2023;0.0
8792;Total males and females;Total;Total;Tuvalu;Total;One parent born in NL, one born abroad;2024;0.0
8793;Total males and females;Total;Total;Tuvalu;Total;Two parents born abroad;2022;0.0
8794;Total males and females;Total;Total;Tuvalu;Total;Two parents born abroad;2023;0.0
8795;Total males and females;Total;Total;Tuvalu;Total;Two parents born abroad;2024;0.0
8796;Total males and females;Total;Total;Tuvalu;Person born in the Netherlands;Total;2022;0.0
8797;Total males and females;Total;Total;Tuvalu;Person born in the Netherlands;Total;2023;0.0
8798;Total males and females;Total;Total;Tuvalu;Person born in the Netherlands;Total;2024;0.0
8799;Total males and females;Total;Total;Tuvalu;Person born in the Netherlands;Two parents born in the Netherlands;2022;
8800;Total males and females;Total;Total;Tuvalu;Person born in the Netherlands;Two parents born in the Netherlands;2023;
8801;Total males and females;Total;Total;Tuvalu;Person born in the Netherlands;Two parents born in the Netherlands;2024;
8802;Total males and females;Total;Total;Tuvalu;Person born in the Netherlands;One parent born in NL, one born abroad;2022;0.0
8803;Total males and females;Total;Total;Tuvalu;Person born in the Netherlands;One parent born in NL, one born abroad;2023;0.0
8804;Total males and females;Total;Total;Tuvalu;Person born in the Netherlands;One parent born in NL, one born abroad;2024;0.0
8805;Total males and females;Total;Total;Tuvalu;Person born in the Netherlands;Two parents born abroad;2022;0.0
8806;Total males and females;Total;Total;Tuvalu;Person born in the Netherlands;Two parents born abroad;2023;0.0
8807;Total males and females;Total;Total;Tuvalu;Person born in the Netherlands;Two parents born abroad;2024;0.0
8808;Total males and females;Total;Total;Tuvalu;Person born abroad;Total;2022;0.0
8809;Total males and females;Total;Total;Tuvalu;Person born abroad;Total;2023;0.0
8810;Total males and females;Total;Total;Tuvalu;Person born abroad;Total;2024;0.0
8811;Total males and females;Total;Total;Tuvalu;Person born abroad;Two parents born in the Netherlands;2022;0.0
8812;Total males and females;Total;Total;Tuvalu;Person born abroad;Two parents born in the Netherlands;2023;0.0
8813;Total males and females;Total;Total;Tuvalu;Person born abroad;Two parents born in the Netherlands;2024;0.0
8814;Total males and females;Total;Total;Tuvalu;Person born abroad;One parent born in NL, one born abroad;2022;0.0
8815;Total males and females;Total;Total;Tuvalu;Person born abroad;One parent born in NL, one born abroad;2023;0.0
8816;Total males and females;Total;Total;Tuvalu;Person born abroad;One parent born in NL, one born abroad;2024;0.0
8817;Total males and females;Total;Total;Tuvalu;Person born abroad;Two parents born abroad;2022;0.0
8818;Total males and females;Total;Total;Tuvalu;Person born abroad;Two parents born abroad;2023;0.0
8819;Total males and females;Total;Total;Tuvalu;Person born abroad;Two parents born abroad;2024;0.0
8820;Total males and females;Total;Total;Uganda;Total;Total;2022;4005.0
8821;Total males and females;Total;Total;Uganda;Total;Total;2023;4268.0
8822;Total males and females;Total;Total;Uganda;Total;Total;2024;4670.0
8823;Total males and females;Total;Total;Uganda;Total;Two parents born in the Netherlands;2022;147.0
8824;Total males and females;Total;Total;Uganda;Total;Two parents born in the Netherlands;2023;149.0
8825;Total males and females;Total;Total;Uganda;Total;Two parents born in the Netherlands;2024;148.0
8826;Total males and females;Total;Total;Uganda;Total;One parent born in NL, one born abroad;2022;787.0
8827;Total males and females;Total;Total;Uganda;Total;One parent born in NL, one born abroad;2023;849.0
8828;Total males and females;Total;Total;Uganda;Total;One parent born in NL, one born abroad;2024;901.0
8829;Total males and females;Total;Total;Uganda;Total;Two parents born abroad;2022;3071.0
8830;Total males and females;Total;Total;Uganda;Total;Two parents born abroad;2023;3270.0
8831;Total males and females;Total;Total;Uganda;Total;Two parents born abroad;2024;3621.0
8832;Total males and females;Total;Total;Uganda;Person born in the Netherlands;Total;2022;1171.0
8833;Total males and females;Total;Total;Uganda;Person born in the Netherlands;Total;2023;1275.0
8834;Total males and females;Total;Total;Uganda;Person born in the Netherlands;Total;2024;1390.0
8835;Total males and females;Total;Total;Uganda;Person born in the Netherlands;Two parents born in the Netherlands;2022;
8836;Total males and females;Total;Total;Uganda;Person born in the Netherlands;Two parents born in the Netherlands;2023;
8837;Total males and females;Total;Total;Uganda;Person born in the Netherlands;Two parents born in the Netherlands;2024;
8838;Total males and females;Total;Total;Uganda;Person born in the Netherlands;One parent born in NL, one born abroad;2022;635.0
8839;Total males and females;Total;Total;Uganda;Person born in the Netherlands;One parent born in NL, one born abroad;2023;689.0
8840;Total males and females;Total;Total;Uganda;Person born in the Netherlands;One parent born in NL, one born abroad;2024;733.0
8841;Total males and females;Total;Total;Uganda;Person born in the Netherlands;Two parents born abroad;2022;536.0
8842;Total males and females;Total;Total;Uganda;Person born in the Netherlands;Two parents born abroad;2023;586.0
8843;Total males and females;Total;Total;Uganda;Person born in the Netherlands;Two parents born abroad;2024;657.0
8844;Total males and females;Total;Total;Uganda;Person born abroad;Total;2022;2834.0
8845;Total males and females;Total;Total;Uganda;Person born abroad;Total;2023;2993.0
8846;Total males and females;Total;Total;Uganda;Person born abroad;Total;2024;3280.0
8847;Total males and females;Total;Total;Uganda;Person born abroad;Two parents born in the Netherlands;2022;147.0
8848;Total males and females;Total;Total;Uganda;Person born abroad;Two parents born in the Netherlands;2023;149.0
8849;Total males and females;Total;Total;Uganda;Person born abroad;Two parents born in the Netherlands;2024;148.0
8850;Total males and females;Total;Total;Uganda;Person born abroad;One parent born in NL, one born abroad;2022;152.0
8851;Total males and females;Total;Total;Uganda;Person born abroad;One parent born in NL, one born abroad;2023;160.0
8852;Total males and females;Total;Total;Uganda;Person born abroad;One parent born in NL, one born abroad;2024;168.0
8853;Total males and females;Total;Total;Uganda;Person born abroad;Two parents born abroad;2022;2535.0
8854;Total males and females;Total;Total;Uganda;Person born abroad;Two parents born abroad;2023;2684.0
8855;Total males and females;Total;Total;Uganda;Person born abroad;Two parents born abroad;2024;2964.0
8856;Total males and females;Total;Total;Ukraine;Total;Total;2022;20818.0
8857;Total males and females;Total;Total;Ukraine;Total;Total;2023;104086.0
8858;Total males and females;Total;Total;Ukraine;Total;Total;2024;121803.0
8859;Total males and females;Total;Total;Ukraine;Total;Two parents born in the Netherlands;2022;16.0
8860;Total males and females;Total;Total;Ukraine;Total;Two parents born in the Netherlands;2023;17.0
8861;Total males and females;Total;Total;Ukraine;Total;Two parents born in the Netherlands;2024;19.0
8862;Total males and females;Total;Total;Ukraine;Total;One parent born in NL, one born abroad;2022;3792.0
8863;Total males and females;Total;Total;Ukraine;Total;One parent born in NL, one born abroad;2023;3991.0
8864;Total males and females;Total;Total;Ukraine;Total;One parent born in NL, one born abroad;2024;4099.0
8865;Total males and females;Total;Total;Ukraine;Total;Two parents born abroad;2022;17010.0
8866;Total males and females;Total;Total;Ukraine;Total;Two parents born abroad;2023;100078.0
8867;Total males and females;Total;Total;Ukraine;Total;Two parents born abroad;2024;117685.0
8868;Total males and females;Total;Total;Ukraine;Person born in the Netherlands;Total;2022;5776.0
8869;Total males and females;Total;Total;Ukraine;Person born in the Netherlands;Total;2023;6380.0
8870;Total males and females;Total;Total;Ukraine;Person born in the Netherlands;Total;2024;7130.0
8871;Total males and females;Total;Total;Ukraine;Person born in the Netherlands;Two parents born in the Netherlands;2022;
8872;Total males and females;Total;Total;Ukraine;Person born in the Netherlands;Two parents born in the Netherlands;2023;
8873;Total males and females;Total;Total;Ukraine;Person born in the Netherlands;Two parents born in the Netherlands;2024;
8874;Total males and females;Total;Total;Ukraine;Person born in the Netherlands;One parent born in NL, one born abroad;2022;3580.0
8875;Total males and females;Total;Total;Ukraine;Person born in the Netherlands;One parent born in NL, one born abroad;2023;3689.0
8876;Total males and females;Total;Total;Ukraine;Person born in the Netherlands;One parent born in NL, one born abroad;2024;3810.0
8877;Total males and females;Total;Total;Ukraine;Person born in the Netherlands;Two parents born abroad;2022;2196.0
8878;Total males and females;Total;Total;Ukraine;Person born in the Netherlands;Two parents born abroad;2023;2691.0
8879;Total males and females;Total;Total;Ukraine;Person born in the Netherlands;Two parents born abroad;2024;3320.0
8880;Total males and females;Total;Total;Ukraine;Person born abroad;Total;2022;15042.0
8881;Total males and females;Total;Total;Ukraine;Person born abroad;Total;2023;97706.0
8882;Total males and females;Total;Total;Ukraine;Person born abroad;Total;2024;114673.0
8883;Total males and females;Total;Total;Ukraine;Person born abroad;Two parents born in the Netherlands;2022;16.0
8884;Total males and females;Total;Total;Ukraine;Person born abroad;Two parents born in the Netherlands;2023;17.0
8885;Total males and females;Total;Total;Ukraine;Person born abroad;Two parents born in the Netherlands;2024;19.0
8886;Total males and females;Total;Total;Ukraine;Person born abroad;One parent born in NL, one born abroad;2022;212.0
8887;Total males and females;Total;Total;Ukraine;Person born abroad;One parent born in NL, one born abroad;2023;302.0
8888;Total males and females;Total;Total;Ukraine;Person born abroad;One parent born in NL, one born abroad;2024;289.0
8889;Total males and females;Total;Total;Ukraine;Person born abroad;Two parents born abroad;2022;14814.0
8890;Total males and females;Total;Total;Ukraine;Person born abroad;Two parents born abroad;2023;97387.0
8891;Total males and females;Total;Total;Ukraine;Person born abroad;Two parents born abroad;2024;114365.0
8892;Total males and females;Total;Total;Uruguay;Total;Total;2022;1523.0
8893;Total males and females;Total;Total;Uruguay;Total;Total;2023;1630.0
8894;Total males and females;Total;Total;Uruguay;Total;Total;2024;1667.0
8895;Total males and females;Total;Total;Uruguay;Total;Two parents born in the Netherlands;2022;53.0
8896;Total males and females;Total;Total;Uruguay;Total;Two parents born in the Netherlands;2023;53.0
8897;Total males and females;Total;Total;Uruguay;Total;Two parents born in the Netherlands;2024;52.0
8898;Total males and females;Total;Total;Uruguay;Total;One parent born in NL, one born abroad;2022;520.0
8899;Total males and females;Total;Total;Uruguay;Total;One parent born in NL, one born abroad;2023;525.0
8900;Total males and females;Total;Total;Uruguay;Total;One parent born in NL, one born abroad;2024;532.0
8901;Total males and females;Total;Total;Uruguay;Total;Two parents born abroad;2022;950.0
8902;Total males and females;Total;Total;Uruguay;Total;Two parents born abroad;2023;1052.0
8903;Total males and females;Total;Total;Uruguay;Total;Two parents born abroad;2024;1083.0
8904;Total males and females;Total;Total;Uruguay;Person born in the Netherlands;Total;2022;607.0
8905;Total males and females;Total;Total;Uruguay;Person born in the Netherlands;Total;2023;616.0
8906;Total males and females;Total;Total;Uruguay;Person born in the Netherlands;Total;2024;627.0
8907;Total males and females;Total;Total;Uruguay;Person born in the Netherlands;Two parents born in the Netherlands;2022;
8908;Total males and females;Total;Total;Uruguay;Person born in the Netherlands;Two parents born in the Netherlands;2023;
8909;Total males and females;Total;Total;Uruguay;Person born in the Netherlands;Two parents born in the Netherlands;2024;
8910;Total males and females;Total;Total;Uruguay;Person born in the Netherlands;One parent born in NL, one born abroad;2022;473.0
8911;Total males and females;Total;Total;Uruguay;Person born in the Netherlands;One parent born in NL, one born abroad;2023;478.0
8912;Total males and females;Total;Total;Uruguay;Person born in the Netherlands;One parent born in NL, one born abroad;2024;484.0
8913;Total males and females;Total;Total;Uruguay;Person born in the Netherlands;Two parents born abroad;2022;134.0
8914;Total males and females;Total;Total;Uruguay;Person born in the Netherlands;Two parents born abroad;2023;138.0
8915;Total males and females;Total;Total;Uruguay;Person born in the Netherlands;Two parents born abroad;2024;143.0
8916;Total males and females;Total;Total;Uruguay;Person born abroad;Total;2022;916.0
8917;Total males and females;Total;Total;Uruguay;Person born abroad;Total;2023;1014.0
8918;Total males and females;Total;Total;Uruguay;Person born abroad;Total;2024;1040.0
8919;Total males and females;Total;Total;Uruguay;Person born abroad;Two parents born in the Netherlands;2022;53.0
8920;Total males and females;Total;Total;Uruguay;Person born abroad;Two parents born in the Netherlands;2023;53.0
8921;Total males and females;Total;Total;Uruguay;Person born abroad;Two parents born in the Netherlands;2024;52.0
8922;Total males and females;Total;Total;Uruguay;Person born abroad;One parent born in NL, one born abroad;2022;47.0
8923;Total males and females;Total;Total;Uruguay;Person born abroad;One parent born in NL, one born abroad;2023;47.0
8924;Total males and females;Total;Total;Uruguay;Person born abroad;One parent born in NL, one born abroad;2024;48.0
8925;Total males and females;Total;Total;Uruguay;Person born abroad;Two parents born abroad;2022;816.0
8926;Total males and females;Total;Total;Uruguay;Person born abroad;Two parents born abroad;2023;914.0
8927;Total males and females;Total;Total;Uruguay;Person born abroad;Two parents born abroad;2024;940.0
8928;Total males and females;Total;Total;Uzbekistan;Total;Total;2022;1922.0
8929;Total males and females;Total;Total;Uzbekistan;Total;Total;2023;2253.0
8930;Total males and females;Total;Total;Uzbekistan;Total;Total;2024;2385.0
8931;Total males and females;Total;Total;Uzbekistan;Total;Two parents born in the Netherlands;2022;3.0
8932;Total males and females;Total;Total;Uzbekistan;Total;Two parents born in the Netherlands;2023;3.0
8933;Total males and females;Total;Total;Uzbekistan;Total;Two parents born in the Netherlands;2024;3.0
8934;Total males and females;Total;Total;Uzbekistan;Total;One parent born in NL, one born abroad;2022;241.0
8935;Total males and females;Total;Total;Uzbekistan;Total;One parent born in NL, one born abroad;2023;254.0
8936;Total males and females;Total;Total;Uzbekistan;Total;One parent born in NL, one born abroad;2024;269.0
8937;Total males and females;Total;Total;Uzbekistan;Total;Two parents born abroad;2022;1678.0
8938;Total males and females;Total;Total;Uzbekistan;Total;Two parents born abroad;2023;1996.0
8939;Total males and females;Total;Total;Uzbekistan;Total;Two parents born abroad;2024;2113.0
8940;Total males and females;Total;Total;Uzbekistan;Person born in the Netherlands;Total;2022;506.0
8941;Total males and females;Total;Total;Uzbekistan;Person born in the Netherlands;Total;2023;535.0
8942;Total males and females;Total;Total;Uzbekistan;Person born in the Netherlands;Total;2024;569.0
8943;Total males and females;Total;Total;Uzbekistan;Person born in the Netherlands;Two parents born in the Netherlands;2022;
8944;Total males and females;Total;Total;Uzbekistan;Person born in the Netherlands;Two parents born in the Netherlands;2023;
8945;Total males and females;Total;Total;Uzbekistan;Person born in the Netherlands;Two parents born in the Netherlands;2024;
8946;Total males and females;Total;Total;Uzbekistan;Person born in the Netherlands;One parent born in NL, one born abroad;2022;225.0
8947;Total males and females;Total;Total;Uzbekistan;Person born in the Netherlands;One parent born in NL, one born abroad;2023;237.0
8948;Total males and females;Total;Total;Uzbekistan;Person born in the Netherlands;One parent born in NL, one born abroad;2024;253.0
8949;Total males and females;Total;Total;Uzbekistan;Person born in the Netherlands;Two parents born abroad;2022;281.0
8950;Total males and females;Total;Total;Uzbekistan;Person born in the Netherlands;Two parents born abroad;2023;298.0
8951;Total males and females;Total;Total;Uzbekistan;Person born in the Netherlands;Two parents born abroad;2024;316.0
8952;Total males and females;Total;Total;Uzbekistan;Person born abroad;Total;2022;1416.0
8953;Total males and females;Total;Total;Uzbekistan;Person born abroad;Total;2023;1718.0
8954;Total males and females;Total;Total;Uzbekistan;Person born abroad;Total;2024;1816.0
8955;Total males and females;Total;Total;Uzbekistan;Person born abroad;Two parents born in the Netherlands;2022;3.0
8956;Total males and females;Total;Total;Uzbekistan;Person born abroad;Two parents born in the Netherlands;2023;3.0
8957;Total males and females;Total;Total;Uzbekistan;Person born abroad;Two parents born in the Netherlands;2024;3.0
8958;Total males and females;Total;Total;Uzbekistan;Person born abroad;One parent born in NL, one born abroad;2022;16.0
8959;Total males and females;Total;Total;Uzbekistan;Person born abroad;One parent born in NL, one born abroad;2023;17.0
8960;Total males and females;Total;Total;Uzbekistan;Person born abroad;One parent born in NL, one born abroad;2024;16.0
8961;Total males and females;Total;Total;Uzbekistan;Person born abroad;Two parents born abroad;2022;1397.0
8962;Total males and females;Total;Total;Uzbekistan;Person born abroad;Two parents born abroad;2023;1698.0
8963;Total males and females;Total;Total;Uzbekistan;Person born abroad;Two parents born abroad;2024;1797.0
8964;Total males and females;Total;Total;United Kingdom;Total;Total;2022;102291.0
8965;Total males and females;Total;Total;United Kingdom;Total;Total;2023;102728.0
8966;Total males and females;Total;Total;United Kingdom;Total;Total;2024;103530.0
8967;Total males and females;Total;Total;United Kingdom;Total;Two parents born in the Netherlands;2022;4447.0
8968;Total males and females;Total;Total;United Kingdom;Total;Two parents born in the Netherlands;2023;4491.0
8969;Total males and females;Total;Total;United Kingdom;Total;Two parents born in the Netherlands;2024;4500.0
8970;Total males and females;Total;Total;United Kingdom;Total;One parent born in NL, one born abroad;2022;43636.0
8971;Total males and females;Total;Total;United Kingdom;Total;One parent born in NL, one born abroad;2023;44012.0
8972;Total males and females;Total;Total;United Kingdom;Total;One parent born in NL, one born abroad;2024;44447.0
8973;Total males and females;Total;Total;United Kingdom;Total;Two parents born abroad;2022;54208.0
8974;Total males and females;Total;Total;United Kingdom;Total;Two parents born abroad;2023;54225.0
8975;Total males and females;Total;Total;United Kingdom;Total;Two parents born abroad;2024;54583.0
8976;Total males and females;Total;Total;United Kingdom;Person born in the Netherlands;Total;2022;41415.0
8977;Total males and females;Total;Total;United Kingdom;Person born in the Netherlands;Total;2023;41798.0
8978;Total males and females;Total;Total;United Kingdom;Person born in the Netherlands;Total;2024;42231.0
8979;Total males and females;Total;Total;United Kingdom;Person born in the Netherlands;Two parents born in the Netherlands;2022;
8980;Total males and females;Total;Total;United Kingdom;Person born in the Netherlands;Two parents born in the Netherlands;2023;
8981;Total males and females;Total;Total;United Kingdom;Person born in the Netherlands;Two parents born in the Netherlands;2024;
8982;Total males and females;Total;Total;United Kingdom;Person born in the Netherlands;One parent born in NL, one born abroad;2022;36635.0
8983;Total males and females;Total;Total;United Kingdom;Person born in the Netherlands;One parent born in NL, one born abroad;2023;36938.0
8984;Total males and females;Total;Total;United Kingdom;Person born in the Netherlands;One parent born in NL, one born abroad;2024;37284.0
8985;Total males and females;Total;Total;United Kingdom;Person born in the Netherlands;Two parents born abroad;2022;4780.0
8986;Total males and females;Total;Total;United Kingdom;Person born in the Netherlands;Two parents born abroad;2023;4860.0
8987;Total males and females;Total;Total;United Kingdom;Person born in the Netherlands;Two parents born abroad;2024;4947.0
8988;Total males and females;Total;Total;United Kingdom;Person born abroad;Total;2022;60876.0
8989;Total males and females;Total;Total;United Kingdom;Person born abroad;Total;2023;60930.0
8990;Total males and females;Total;Total;United Kingdom;Person born abroad;Total;2024;61299.0
8991;Total males and females;Total;Total;United Kingdom;Person born abroad;Two parents born in the Netherlands;2022;4447.0
8992;Total males and females;Total;Total;United Kingdom;Person born abroad;Two parents born in the Netherlands;2023;4491.0
