ID;Transactions;InstitutionalSectors;Periods;GovernmentRevenue_1
7959;D21 Taxes on products;Local government;2008;137
7960;D21 Taxes on products;Local government;2009 1st quarter;17
7961;D21 Taxes on products;Local government;2009 2nd quarter;35
7962;D21 Taxes on products;Local government;2009 3rd quarter;46
7963;D21 Taxes on products;Local government;2009 4th quarter;23
7964;D21 Taxes on products;Local government;2009;121
7965;D21 Taxes on products;Local government;2010 1st quarter;18
7966;D21 Taxes on products;Local government;2010 2nd quarter;38
7967;D21 Taxes on products;Local government;2010 3rd quarter;50
7968;D21 Taxes on products;Local government;2010 4th quarter;25
7969;D21 Taxes on products;Local government;2010;131
7970;D21 Taxes on products;Local government;2011 1st quarter;21
7971;D21 Taxes on products;Local government;2011 2nd quarter;43
7972;D21 Taxes on products;Local government;2011 3rd quarter;56
7973;D21 Taxes on products;Local government;2011 4th quarter;28
7974;D21 Taxes on products;Local government;2011;148
7975;D21 Taxes on products;Local government;2012 1st quarter;22
7976;D21 Taxes on products;Local government;2012 2nd quarter;46
7977;D21 Taxes on products;Local government;2012 3rd quarter;61
7978;D21 Taxes on products;Local government;2012 4th quarter;30
7979;D21 Taxes on products;Local government;2012;159
7980;D21 Taxes on products;Local government;2013 1st quarter;23
7981;D21 Taxes on products;Local government;2013 2nd quarter;48
7982;D21 Taxes on products;Local government;2013 3rd quarter;62
7983;D21 Taxes on products;Local government;2013 4th quarter;31
7984;D21 Taxes on products;Local government;2013;164
7985;D21 Taxes on products;Local government;2014 1st quarter;25
7986;D21 Taxes on products;Local government;2014 2nd quarter;52
7987;D21 Taxes on products;Local government;2014 3rd quarter;69
7988;D21 Taxes on products;Local government;2014 4th quarter;34
7989;D21 Taxes on products;Local government;2014;180
7990;D21 Taxes on products;Local government;2015 1st quarter;29
7991;D21 Taxes on products;Local government;2015 2nd quarter;60
7992;D21 Taxes on products;Local government;2015 3rd quarter;78
7993;D21 Taxes on products;Local government;2015 4th quarter;39
7994;D21 Taxes on products;Local government;2015;206
7995;D21 Taxes on products;Local government;2016 1st quarter;29
7996;D21 Taxes on products;Local government;2016 2nd quarter;61
7997;D21 Taxes on products;Local government;2016 3rd quarter;80
7998;D21 Taxes on products;Local government;2016 4th quarter;40
7999;D21 Taxes on products;Local government;2016;210
8000;D21 Taxes on products;Local government;2017 1st quarter;35
8001;D21 Taxes on products;Local government;2017 2nd quarter;73
8002;D21 Taxes on products;Local government;2017 3rd quarter;96
8003;D21 Taxes on products;Local government;2017 4th quarter;48
8004;D21 Taxes on products;Local government;2017;252
8005;D21 Taxes on products;Local government;2018 1st quarter;40
8006;D21 Taxes on products;Local government;2018 2nd quarter;84
8007;D21 Taxes on products;Local government;2018 3rd quarter;109
8008;D21 Taxes on products;Local government;2018 4th quarter;55
8009;D21 Taxes on products;Local government;2018;288
8010;D21 Taxes on products;Local government;2019 1st quarter;48
8011;D21 Taxes on products;Local government;2019 2nd quarter;99
8012;D21 Taxes on products;Local government;2019 3rd quarter;130
8013;D21 Taxes on products;Local government;2019 4th quarter;65
8014;D21 Taxes on products;Local government;2019;342
8015;D21 Taxes on products;Local government;2020 1st quarter;31
8016;D21 Taxes on products;Local government;2020 2nd quarter;113
8017;D21 Taxes on products;Local government;2020 3rd quarter;28
8018;D21 Taxes on products;Local government;2020 4th quarter;39
8019;D21 Taxes on products;Local government;2020;211
8020;D21 Taxes on products;Local government;2021 1st quarter;19
8021;D21 Taxes on products;Local government;2021 2nd quarter;60
8022;D21 Taxes on products;Local government;2021 3rd quarter;111
8023;D21 Taxes on products;Local government;2021 4th quarter;50
8024;D21 Taxes on products;Local government;2021;240
8025;D21 Taxes on products;Local government;2022 1st quarter;52
8026;D21 Taxes on products;Local government;2022 2nd quarter;125
8027;D21 Taxes on products;Local government;2022 3rd quarter;136
8028;D21 Taxes on products;Local government;2022 4th quarter;83
8029;D21 Taxes on products;Local government;2022;396
8030;D21 Taxes on products;Local government;2023 1st quarter;67
8031;D21 Taxes on products;Local government;2023 2nd quarter;135
8032;D21 Taxes on products;Local government;2023 3rd quarter;167
8033;D21 Taxes on products;Local government;2023 4th quarter;86
8034;D21 Taxes on products;Local government;2023;455
8035;D21 Taxes on products;Local government;2024 1st quarter;96
8036;D21 Taxes on products;Local government;2024 2nd quarter;157
8037;D21 Taxes on products;Local government;2024 3rd quarter;174
8038;D21 Taxes on products;Local government;2024 4th quarter;145
8039;D21 Taxes on products;Local government;2024;572
8040;D21 Taxes on products;Municipalities;1995;53
8041;D21 Taxes on products;Municipalities;1996;57
8042;D21 Taxes on products;Municipalities;1997;59
8043;D21 Taxes on products;Municipalities;1998;68
8044;D21 Taxes on products;Municipalities;1999 1st quarter;7
8045;D21 Taxes on products;Municipalities;1999 2nd quarter;22
8046;D21 Taxes on products;Municipalities;1999 3rd quarter;26
8047;D21 Taxes on products;Municipalities;1999 4th quarter;19
8048;D21 Taxes on products;Municipalities;1999;74
8049;D21 Taxes on products;Municipalities;2000 1st quarter;8
8050;D21 Taxes on products;Municipalities;2000 2nd quarter;25
8051;D21 Taxes on products;Municipalities;2000 3rd quarter;29
8052;D21 Taxes on products;Municipalities;2000 4th quarter;21
8053;D21 Taxes on products;Municipalities;2000;83
8054;D21 Taxes on products;Municipalities;2001 1st quarter;10
8055;D21 Taxes on products;Municipalities;2001 2nd quarter;29
8056;D21 Taxes on products;Municipalities;2001 3rd quarter;32
8057;D21 Taxes on products;Municipalities;2001 4th quarter;24
8058;D21 Taxes on products;Municipalities;2001;95
8059;D21 Taxes on products;Municipalities;2002 1st quarter;10
8060;D21 Taxes on products;Municipalities;2002 2nd quarter;30
8061;D21 Taxes on products;Municipalities;2002 3rd quarter;36
8062;D21 Taxes on products;Municipalities;2002 4th quarter;25
8063;D21 Taxes on products;Municipalities;2002;101
8064;D21 Taxes on products;Municipalities;2003 1st quarter;10
8065;D21 Taxes on products;Municipalities;2003 2nd quarter;29
8066;D21 Taxes on products;Municipalities;2003 3rd quarter;33
8067;D21 Taxes on products;Municipalities;2003 4th quarter;24
8068;D21 Taxes on products;Municipalities;2003;96
8069;D21 Taxes on products;Municipalities;2004 1st quarter;11
8070;D21 Taxes on products;Municipalities;2004 2nd quarter;32
8071;D21 Taxes on products;Municipalities;2004 3rd quarter;36
8072;D21 Taxes on products;Municipalities;2004 4th quarter;26
8073;D21 Taxes on products;Municipalities;2004;105
8074;D21 Taxes on products;Municipalities;2005 1st quarter;11
8075;D21 Taxes on products;Municipalities;2005 2nd quarter;32
8076;D21 Taxes on products;Municipalities;2005 3rd quarter;38
8077;D21 Taxes on products;Municipalities;2005 4th quarter;27
8078;D21 Taxes on products;Municipalities;2005;108
8079;D21 Taxes on products;Municipalities;2006 1st quarter;16
8080;D21 Taxes on products;Municipalities;2006 2nd quarter;33
8081;D21 Taxes on products;Municipalities;2006 3rd quarter;43
8082;D21 Taxes on products;Municipalities;2006 4th quarter;22
8083;D21 Taxes on products;Municipalities;2006;114
8084;D21 Taxes on products;Municipalities;2007 1st quarter;18
8085;D21 Taxes on products;Municipalities;2007 2nd quarter;36
8086;D21 Taxes on products;Municipalities;2007 3rd quarter;47
8087;D21 Taxes on products;Municipalities;2007 4th quarter;24
8088;D21 Taxes on products;Municipalities;2007;125
8089;D21 Taxes on products;Municipalities;2008 1st quarter;19
8090;D21 Taxes on products;Municipalities;2008 2nd quarter;40
8091;D21 Taxes on products;Municipalities;2008 3rd quarter;52
8092;D21 Taxes on products;Municipalities;2008 4th quarter;26
8093;D21 Taxes on products;Municipalities;2008;137
8094;D21 Taxes on products;Municipalities;2009 1st quarter;17
8095;D21 Taxes on products;Municipalities;2009 2nd quarter;35
8096;D21 Taxes on products;Municipalities;2009 3rd quarter;46
8097;D21 Taxes on products;Municipalities;2009 4th quarter;23
8098;D21 Taxes on products;Municipalities;2009;121
8099;D21 Taxes on products;Municipalities;2010 1st quarter;18
8100;D21 Taxes on products;Municipalities;2010 2nd quarter;38
8101;D21 Taxes on products;Municipalities;2010 3rd quarter;50
8102;D21 Taxes on products;Municipalities;2010 4th quarter;25
8103;D21 Taxes on products;Municipalities;2010;131
8104;D21 Taxes on products;Municipalities;2011 1st quarter;21
8105;D21 Taxes on products;Municipalities;2011 2nd quarter;43
8106;D21 Taxes on products;Municipalities;2011 3rd quarter;56
8107;D21 Taxes on products;Municipalities;2011 4th quarter;28
8108;D21 Taxes on products;Municipalities;2011;148
8109;D21 Taxes on products;Municipalities;2012 1st quarter;22
8110;D21 Taxes on products;Municipalities;2012 2nd quarter;46
8111;D21 Taxes on products;Municipalities;2012 3rd quarter;61
8112;D21 Taxes on products;Municipalities;2012 4th quarter;30
8113;D21 Taxes on products;Municipalities;2012;159
8114;D21 Taxes on products;Municipalities;2013 1st quarter;23
8115;D21 Taxes on products;Municipalities;2013 2nd quarter;48
8116;D21 Taxes on products;Municipalities;2013 3rd quarter;62
8117;D21 Taxes on products;Municipalities;2013 4th quarter;31
8118;D21 Taxes on products;Municipalities;2013;164
8119;D21 Taxes on products;Municipalities;2014 1st quarter;25
8120;D21 Taxes on products;Municipalities;2014 2nd quarter;52
8121;D21 Taxes on products;Municipalities;2014 3rd quarter;69
8122;D21 Taxes on products;Municipalities;2014 4th quarter;34
8123;D21 Taxes on products;Municipalities;2014;180
8124;D21 Taxes on products;Municipalities;2015 1st quarter;29
8125;D21 Taxes on products;Municipalities;2015 2nd quarter;60
8126;D21 Taxes on products;Municipalities;2015 3rd quarter;78
8127;D21 Taxes on products;Municipalities;2015 4th quarter;39
8128;D21 Taxes on products;Municipalities;2015;206
8129;D21 Taxes on products;Municipalities;2016 1st quarter;29
8130;D21 Taxes on products;Municipalities;2016 2nd quarter;61
8131;D21 Taxes on products;Municipalities;2016 3rd quarter;80
8132;D21 Taxes on products;Municipalities;2016 4th quarter;40
8133;D21 Taxes on products;Municipalities;2016;210
8134;D21 Taxes on products;Municipalities;2017 1st quarter;35
8135;D21 Taxes on products;Municipalities;2017 2nd quarter;73
8136;D21 Taxes on products;Municipalities;2017 3rd quarter;96
8137;D21 Taxes on products;Municipalities;2017 4th quarter;48
8138;D21 Taxes on products;Municipalities;2017;252
8139;D21 Taxes on products;Municipalities;2018 1st quarter;40
8140;D21 Taxes on products;Municipalities;2018 2nd quarter;84
8141;D21 Taxes on products;Municipalities;2018 3rd quarter;109
8142;D21 Taxes on products;Municipalities;2018 4th quarter;55
8143;D21 Taxes on products;Municipalities;2018;288
8144;D21 Taxes on products;Municipalities;2019 1st quarter;48
8145;D21 Taxes on products;Municipalities;2019 2nd quarter;99
8146;D21 Taxes on products;Municipalities;2019 3rd quarter;130
8147;D21 Taxes on products;Municipalities;2019 4th quarter;65
8148;D21 Taxes on products;Municipalities;2019;342
8149;D21 Taxes on products;Municipalities;2020 1st quarter;31
8150;D21 Taxes on products;Municipalities;2020 2nd quarter;113
8151;D21 Taxes on products;Municipalities;2020 3rd quarter;28
8152;D21 Taxes on products;Municipalities;2020 4th quarter;39
8153;D21 Taxes on products;Municipalities;2020;211
8154;D21 Taxes on products;Municipalities;2021 1st quarter;19
8155;D21 Taxes on products;Municipalities;2021 2nd quarter;60
8156;D21 Taxes on products;Municipalities;2021 3rd quarter;111
8157;D21 Taxes on products;Municipalities;2021 4th quarter;50
8158;D21 Taxes on products;Municipalities;2021;240
8159;D21 Taxes on products;Municipalities;2022 1st quarter;52
8160;D21 Taxes on products;Municipalities;2022 2nd quarter;125
8161;D21 Taxes on products;Municipalities;2022 3rd quarter;136
8162;D21 Taxes on products;Municipalities;2022 4th quarter;83
8163;D21 Taxes on products;Municipalities;2022;396
8164;D21 Taxes on products;Municipalities;2023 1st quarter;67
8165;D21 Taxes on products;Municipalities;2023 2nd quarter;135
8166;D21 Taxes on products;Municipalities;2023 3rd quarter;167
8167;D21 Taxes on products;Municipalities;2023 4th quarter;86
8168;D21 Taxes on products;Municipalities;2023;455
8169;D21 Taxes on products;Municipalities;2024 1st quarter;96
8170;D21 Taxes on products;Municipalities;2024 2nd quarter;157
8171;D21 Taxes on products;Municipalities;2024 3rd quarter;174
8172;D21 Taxes on products;Municipalities;2024 4th quarter;145
8173;D21 Taxes on products;Municipalities;2024;572
8174;D21 Taxes on products;Local intergovernmental organisations;1995;0
8175;D21 Taxes on products;Local intergovernmental organisations;1996;0
8176;D21 Taxes on products;Local intergovernmental organisations;1997;0
8177;D21 Taxes on products;Local intergovernmental organisations;1998;0
8178;D21 Taxes on products;Local intergovernmental organisations;1999 1st quarter;0
8179;D21 Taxes on products;Local intergovernmental organisations;1999 2nd quarter;0
8180;D21 Taxes on products;Local intergovernmental organisations;1999 3rd quarter;0
8181;D21 Taxes on products;Local intergovernmental organisations;1999 4th quarter;0
8182;D21 Taxes on products;Local intergovernmental organisations;1999;0
8183;D21 Taxes on products;Local intergovernmental organisations;2000 1st quarter;0
8184;D21 Taxes on products;Local intergovernmental organisations;2000 2nd quarter;0
8185;D21 Taxes on products;Local intergovernmental organisations;2000 3rd quarter;0
8186;D21 Taxes on products;Local intergovernmental organisations;2000 4th quarter;0
8187;D21 Taxes on products;Local intergovernmental organisations;2000;0
8188;D21 Taxes on products;Local intergovernmental organisations;2001 1st quarter;0
8189;D21 Taxes on products;Local intergovernmental organisations;2001 2nd quarter;0
8190;D21 Taxes on products;Local intergovernmental organisations;2001 3rd quarter;0
8191;D21 Taxes on products;Local intergovernmental organisations;2001 4th quarter;0
8192;D21 Taxes on products;Local intergovernmental organisations;2001;0
8193;D21 Taxes on products;Local intergovernmental organisations;2002 1st quarter;0
8194;D21 Taxes on products;Local intergovernmental organisations;2002 2nd quarter;0
8195;D21 Taxes on products;Local intergovernmental organisations;2002 3rd quarter;0
8196;D21 Taxes on products;Local intergovernmental organisations;2002 4th quarter;0
8197;D21 Taxes on products;Local intergovernmental organisations;2002;0
8198;D21 Taxes on products;Local intergovernmental organisations;2003 1st quarter;0
8199;D21 Taxes on products;Local intergovernmental organisations;2003 2nd quarter;0
8200;D21 Taxes on products;Local intergovernmental organisations;2003 3rd quarter;0
8201;D21 Taxes on products;Local intergovernmental organisations;2003 4th quarter;0
8202;D21 Taxes on products;Local intergovernmental organisations;2003;0
8203;D21 Taxes on products;Local intergovernmental organisations;2004 1st quarter;0
8204;D21 Taxes on products;Local intergovernmental organisations;2004 2nd quarter;0
8205;D21 Taxes on products;Local intergovernmental organisations;2004 3rd quarter;0
8206;D21 Taxes on products;Local intergovernmental organisations;2004 4th quarter;0
8207;D21 Taxes on products;Local intergovernmental organisations;2004;0
8208;D21 Taxes on products;Local intergovernmental organisations;2005 1st quarter;0
8209;D21 Taxes on products;Local intergovernmental organisations;2005 2nd quarter;0
8210;D21 Taxes on products;Local intergovernmental organisations;2005 3rd quarter;0
8211;D21 Taxes on products;Local intergovernmental organisations;2005 4th quarter;0
8212;D21 Taxes on products;Local intergovernmental organisations;2005;0
8213;D21 Taxes on products;Local intergovernmental organisations;2006 1st quarter;0
8214;D21 Taxes on products;Local intergovernmental organisations;2006 2nd quarter;0
8215;D21 Taxes on products;Local intergovernmental organisations;2006 3rd quarter;0
8216;D21 Taxes on products;Local intergovernmental organisations;2006 4th quarter;0
8217;D21 Taxes on products;Local intergovernmental organisations;2006;0
8218;D21 Taxes on products;Local intergovernmental organisations;2007 1st quarter;0
8219;D21 Taxes on products;Local intergovernmental organisations;2007 2nd quarter;0
8220;D21 Taxes on products;Local intergovernmental organisations;2007 3rd quarter;0
8221;D21 Taxes on products;Local intergovernmental organisations;2007 4th quarter;0
8222;D21 Taxes on products;Local intergovernmental organisations;2007;0
8223;D21 Taxes on products;Local intergovernmental organisations;2008 1st quarter;0
8224;D21 Taxes on products;Local intergovernmental organisations;2008 2nd quarter;0
8225;D21 Taxes on products;Local intergovernmental organisations;2008 3rd quarter;0
8226;D21 Taxes on products;Local intergovernmental organisations;2008 4th quarter;0
8227;D21 Taxes on products;Local intergovernmental organisations;2008;0
8228;D21 Taxes on products;Local intergovernmental organisations;2009 1st quarter;0
8229;D21 Taxes on products;Local intergovernmental organisations;2009 2nd quarter;0
8230;D21 Taxes on products;Local intergovernmental organisations;2009 3rd quarter;0
8231;D21 Taxes on products;Local intergovernmental organisations;2009 4th quarter;0
8232;D21 Taxes on products;Local intergovernmental organisations;2009;0
8233;D21 Taxes on products;Local intergovernmental organisations;2010 1st quarter;0
8234;D21 Taxes on products;Local intergovernmental organisations;2010 2nd quarter;0
8235;D21 Taxes on products;Local intergovernmental organisations;2010 3rd quarter;0
8236;D21 Taxes on products;Local intergovernmental organisations;2010 4th quarter;0
8237;D21 Taxes on products;Local intergovernmental organisations;2010;0
8238;D21 Taxes on products;Local intergovernmental organisations;2011 1st quarter;0
8239;D21 Taxes on products;Local intergovernmental organisations;2011 2nd quarter;0
8240;D21 Taxes on products;Local intergovernmental organisations;2011 3rd quarter;0
8241;D21 Taxes on products;Local intergovernmental organisations;2011 4th quarter;0
8242;D21 Taxes on products;Local intergovernmental organisations;2011;0
8243;D21 Taxes on products;Local intergovernmental organisations;2012 1st quarter;0
8244;D21 Taxes on products;Local intergovernmental organisations;2012 2nd quarter;0
8245;D21 Taxes on products;Local intergovernmental organisations;2012 3rd quarter;0
8246;D21 Taxes on products;Local intergovernmental organisations;2012 4th quarter;0
8247;D21 Taxes on products;Local intergovernmental organisations;2012;0
8248;D21 Taxes on products;Local intergovernmental organisations;2013 1st quarter;0
8249;D21 Taxes on products;Local intergovernmental organisations;2013 2nd quarter;0
8250;D21 Taxes on products;Local intergovernmental organisations;2013 3rd quarter;0
8251;D21 Taxes on products;Local intergovernmental organisations;2013 4th quarter;0
8252;D21 Taxes on products;Local intergovernmental organisations;2013;0
8253;D21 Taxes on products;Local intergovernmental organisations;2014 1st quarter;0
8254;D21 Taxes on products;Local intergovernmental organisations;2014 2nd quarter;0
8255;D21 Taxes on products;Local intergovernmental organisations;2014 3rd quarter;0
8256;D21 Taxes on products;Local intergovernmental organisations;2014 4th quarter;0
8257;D21 Taxes on products;Local intergovernmental organisations;2014;0
8258;D21 Taxes on products;Local intergovernmental organisations;2015 1st quarter;0
8259;D21 Taxes on products;Local intergovernmental organisations;2015 2nd quarter;0
8260;D21 Taxes on products;Local intergovernmental organisations;2015 3rd quarter;0
8261;D21 Taxes on products;Local intergovernmental organisations;2015 4th quarter;0
8262;D21 Taxes on products;Local intergovernmental organisations;2015;0
8263;D21 Taxes on products;Local intergovernmental organisations;2016 1st quarter;0
8264;D21 Taxes on products;Local intergovernmental organisations;2016 2nd quarter;0
8265;D21 Taxes on products;Local intergovernmental organisations;2016 3rd quarter;0
8266;D21 Taxes on products;Local intergovernmental organisations;2016 4th quarter;0
8267;D21 Taxes on products;Local intergovernmental organisations;2016;0
8268;D21 Taxes on products;Local intergovernmental organisations;2017 1st quarter;0
8269;D21 Taxes on products;Local intergovernmental organisations;2017 2nd quarter;0
8270;D21 Taxes on products;Local intergovernmental organisations;2017 3rd quarter;0
8271;D21 Taxes on products;Local intergovernmental organisations;2017 4th quarter;0
8272;D21 Taxes on products;Local intergovernmental organisations;2017;0
8273;D21 Taxes on products;Local intergovernmental organisations;2018 1st quarter;0
8274;D21 Taxes on products;Local intergovernmental organisations;2018 2nd quarter;0
8275;D21 Taxes on products;Local intergovernmental organisations;2018 3rd quarter;0
8276;D21 Taxes on products;Local intergovernmental organisations;2018 4th quarter;0
8277;D21 Taxes on products;Local intergovernmental organisations;2018;0
8278;D21 Taxes on products;Local intergovernmental organisations;2019 1st quarter;0
8279;D21 Taxes on products;Local intergovernmental organisations;2019 2nd quarter;0
8280;D21 Taxes on products;Local intergovernmental organisations;2019 3rd quarter;0
8281;D21 Taxes on products;Local intergovernmental organisations;2019 4th quarter;0
8282;D21 Taxes on products;Local intergovernmental organisations;2019;0
8283;D21 Taxes on products;Local intergovernmental organisations;2020 1st quarter;0
8284;D21 Taxes on products;Local intergovernmental organisations;2020 2nd quarter;0
8285;D21 Taxes on products;Local intergovernmental organisations;2020 3rd quarter;0
8286;D21 Taxes on products;Local intergovernmental organisations;2020 4th quarter;0
8287;D21 Taxes on products;Local intergovernmental organisations;2020;0
8288;D21 Taxes on products;Local intergovernmental organisations;2021 1st quarter;0
8289;D21 Taxes on products;Local intergovernmental organisations;2021 2nd quarter;0
8290;D21 Taxes on products;Local intergovernmental organisations;2021 3rd quarter;0
8291;D21 Taxes on products;Local intergovernmental organisations;2021 4th quarter;0
8292;D21 Taxes on products;Local intergovernmental organisations;2021;0
8293;D21 Taxes on products;Local intergovernmental organisations;2022 1st quarter;0
8294;D21 Taxes on products;Local intergovernmental organisations;2022 2nd quarter;0
8295;D21 Taxes on products;Local intergovernmental organisations;2022 3rd quarter;0
8296;D21 Taxes on products;Local intergovernmental organisations;2022 4th quarter;0
8297;D21 Taxes on products;Local intergovernmental organisations;2022;0
8298;D21 Taxes on products;Local intergovernmental organisations;2023 1st quarter;0
8299;D21 Taxes on products;Local intergovernmental organisations;2023 2nd quarter;0
8300;D21 Taxes on products;Local intergovernmental organisations;2023 3rd quarter;0
8301;D21 Taxes on products;Local intergovernmental organisations;2023 4th quarter;0
8302;D21 Taxes on products;Local intergovernmental organisations;2023;0
8303;D21 Taxes on products;Local intergovernmental organisations;2024 1st quarter;0
8304;D21 Taxes on products;Local intergovernmental organisations;2024 2nd quarter;0
8305;D21 Taxes on products;Local intergovernmental organisations;2024 3rd quarter;0
8306;D21 Taxes on products;Local intergovernmental organisations;2024 4th quarter;0
8307;D21 Taxes on products;Local intergovernmental organisations;2024;0
8308;D21 Taxes on products;Provinces;1995;0
8309;D21 Taxes on products;Provinces;1996;0
8310;D21 Taxes on products;Provinces;1997;0
8311;D21 Taxes on products;Provinces;1998;0
8312;D21 Taxes on products;Provinces;1999 1st quarter;0
8313;D21 Taxes on products;Provinces;1999 2nd quarter;0
8314;D21 Taxes on products;Provinces;1999 3rd quarter;0
8315;D21 Taxes on products;Provinces;1999 4th quarter;0
8316;D21 Taxes on products;Provinces;1999;0
8317;D21 Taxes on products;Provinces;2000 1st quarter;0
8318;D21 Taxes on products;Provinces;2000 2nd quarter;0
8319;D21 Taxes on products;Provinces;2000 3rd quarter;0
8320;D21 Taxes on products;Provinces;2000 4th quarter;0
8321;D21 Taxes on products;Provinces;2000;0
8322;D21 Taxes on products;Provinces;2001 1st quarter;0
8323;D21 Taxes on products;Provinces;2001 2nd quarter;0
8324;D21 Taxes on products;Provinces;2001 3rd quarter;0
8325;D21 Taxes on products;Provinces;2001 4th quarter;0
8326;D21 Taxes on products;Provinces;2001;0
8327;D21 Taxes on products;Provinces;2002 1st quarter;0
8328;D21 Taxes on products;Provinces;2002 2nd quarter;0
8329;D21 Taxes on products;Provinces;2002 3rd quarter;0
8330;D21 Taxes on products;Provinces;2002 4th quarter;0
8331;D21 Taxes on products;Provinces;2002;0
8332;D21 Taxes on products;Provinces;2003 1st quarter;0
8333;D21 Taxes on products;Provinces;2003 2nd quarter;0
8334;D21 Taxes on products;Provinces;2003 3rd quarter;0
8335;D21 Taxes on products;Provinces;2003 4th quarter;0
8336;D21 Taxes on products;Provinces;2003;0
8337;D21 Taxes on products;Provinces;2004 1st quarter;0
8338;D21 Taxes on products;Provinces;2004 2nd quarter;0
8339;D21 Taxes on products;Provinces;2004 3rd quarter;0
8340;D21 Taxes on products;Provinces;2004 4th quarter;0
8341;D21 Taxes on products;Provinces;2004;0
8342;D21 Taxes on products;Provinces;2005 1st quarter;0
8343;D21 Taxes on products;Provinces;2005 2nd quarter;0
8344;D21 Taxes on products;Provinces;2005 3rd quarter;0
8345;D21 Taxes on products;Provinces;2005 4th quarter;0
8346;D21 Taxes on products;Provinces;2005;0
8347;D21 Taxes on products;Provinces;2006 1st quarter;0
8348;D21 Taxes on products;Provinces;2006 2nd quarter;0
8349;D21 Taxes on products;Provinces;2006 3rd quarter;0
8350;D21 Taxes on products;Provinces;2006 4th quarter;0
8351;D21 Taxes on products;Provinces;2006;0
8352;D21 Taxes on products;Provinces;2007 1st quarter;0
8353;D21 Taxes on products;Provinces;2007 2nd quarter;0
8354;D21 Taxes on products;Provinces;2007 3rd quarter;0
8355;D21 Taxes on products;Provinces;2007 4th quarter;0
8356;D21 Taxes on products;Provinces;2007;0
8357;D21 Taxes on products;Provinces;2008 1st quarter;0
8358;D21 Taxes on products;Provinces;2008 2nd quarter;0
8359;D21 Taxes on products;Provinces;2008 3rd quarter;0
8360;D21 Taxes on products;Provinces;2008 4th quarter;0
8361;D21 Taxes on products;Provinces;2008;0
8362;D21 Taxes on products;Provinces;2009 1st quarter;0
8363;D21 Taxes on products;Provinces;2009 2nd quarter;0
8364;D21 Taxes on products;Provinces;2009 3rd quarter;0
8365;D21 Taxes on products;Provinces;2009 4th quarter;0
8366;D21 Taxes on products;Provinces;2009;0
8367;D21 Taxes on products;Provinces;2010 1st quarter;0
8368;D21 Taxes on products;Provinces;2010 2nd quarter;0
8369;D21 Taxes on products;Provinces;2010 3rd quarter;0
8370;D21 Taxes on products;Provinces;2010 4th quarter;0
8371;D21 Taxes on products;Provinces;2010;0
8372;D21 Taxes on products;Provinces;2011 1st quarter;0
8373;D21 Taxes on products;Provinces;2011 2nd quarter;0
8374;D21 Taxes on products;Provinces;2011 3rd quarter;0
8375;D21 Taxes on products;Provinces;2011 4th quarter;0
8376;D21 Taxes on products;Provinces;2011;0
8377;D21 Taxes on products;Provinces;2012 1st quarter;0
8378;D21 Taxes on products;Provinces;2012 2nd quarter;0
8379;D21 Taxes on products;Provinces;2012 3rd quarter;0
8380;D21 Taxes on products;Provinces;2012 4th quarter;0
8381;D21 Taxes on products;Provinces;2012;0
8382;D21 Taxes on products;Provinces;2013 1st quarter;0
8383;D21 Taxes on products;Provinces;2013 2nd quarter;0
8384;D21 Taxes on products;Provinces;2013 3rd quarter;0
8385;D21 Taxes on products;Provinces;2013 4th quarter;0
8386;D21 Taxes on products;Provinces;2013;0
8387;D21 Taxes on products;Provinces;2014 1st quarter;0
8388;D21 Taxes on products;Provinces;2014 2nd quarter;0
8389;D21 Taxes on products;Provinces;2014 3rd quarter;0
8390;D21 Taxes on products;Provinces;2014 4th quarter;0
8391;D21 Taxes on products;Provinces;2014;0
8392;D21 Taxes on products;Provinces;2015 1st quarter;0
8393;D21 Taxes on products;Provinces;2015 2nd quarter;0
8394;D21 Taxes on products;Provinces;2015 3rd quarter;0
8395;D21 Taxes on products;Provinces;2015 4th quarter;0
8396;D21 Taxes on products;Provinces;2015;0
8397;D21 Taxes on products;Provinces;2016 1st quarter;0
8398;D21 Taxes on products;Provinces;2016 2nd quarter;0
8399;D21 Taxes on products;Provinces;2016 3rd quarter;0
8400;D21 Taxes on products;Provinces;2016 4th quarter;0
8401;D21 Taxes on products;Provinces;2016;0
8402;D21 Taxes on products;Provinces;2017 1st quarter;0
8403;D21 Taxes on products;Provinces;2017 2nd quarter;0
8404;D21 Taxes on products;Provinces;2017 3rd quarter;0
8405;D21 Taxes on products;Provinces;2017 4th quarter;0
8406;D21 Taxes on products;Provinces;2017;0
8407;D21 Taxes on products;Provinces;2018 1st quarter;0
8408;D21 Taxes on products;Provinces;2018 2nd quarter;0
8409;D21 Taxes on products;Provinces;2018 3rd quarter;0
8410;D21 Taxes on products;Provinces;2018 4th quarter;0
8411;D21 Taxes on products;Provinces;2018;0
8412;D21 Taxes on products;Provinces;2019 1st quarter;0
8413;D21 Taxes on products;Provinces;2019 2nd quarter;0
8414;D21 Taxes on products;Provinces;2019 3rd quarter;0
8415;D21 Taxes on products;Provinces;2019 4th quarter;0
8416;D21 Taxes on products;Provinces;2019;0
8417;D21 Taxes on products;Provinces;2020 1st quarter;0
8418;D21 Taxes on products;Provinces;2020 2nd quarter;0
8419;D21 Taxes on products;Provinces;2020 3rd quarter;0
8420;D21 Taxes on products;Provinces;2020 4th quarter;0
