ID;Transactions;InstitutionalSectors;Periods;GovernmentExpenditure_1
9282;D632 Social transfers in kind via mark..;Other central government;2005 3rd quarter;162
9283;D632 Social transfers in kind via mark..;Other central government;2005 4th quarter;157
9284;D632 Social transfers in kind via mark..;Other central government;2005;640
9285;D632 Social transfers in kind via mark..;Other central government;2006 1st quarter;153
9286;D632 Social transfers in kind via mark..;Other central government;2006 2nd quarter;152
9287;D632 Social transfers in kind via mark..;Other central government;2006 3rd quarter;154
9288;D632 Social transfers in kind via mark..;Other central government;2006 4th quarter;151
9289;D632 Social transfers in kind via mark..;Other central government;2006;610
9290;D632 Social transfers in kind via mark..;Other central government;2007 1st quarter;155
9291;D632 Social transfers in kind via mark..;Other central government;2007 2nd quarter;155
9292;D632 Social transfers in kind via mark..;Other central government;2007 3rd quarter;156
9293;D632 Social transfers in kind via mark..;Other central government;2007 4th quarter;156
9294;D632 Social transfers in kind via mark..;Other central government;2007;622
9295;D632 Social transfers in kind via mark..;Other central government;2008 1st quarter;160
9296;D632 Social transfers in kind via mark..;Other central government;2008 2nd quarter;159
9297;D632 Social transfers in kind via mark..;Other central government;2008 3rd quarter;161
9298;D632 Social transfers in kind via mark..;Other central government;2008 4th quarter;157
9299;D632 Social transfers in kind via mark..;Other central government;2008;637
9300;D632 Social transfers in kind via mark..;Other central government;2009 1st quarter;169
9301;D632 Social transfers in kind via mark..;Other central government;2009 2nd quarter;170
9302;D632 Social transfers in kind via mark..;Other central government;2009 3rd quarter;170
9303;D632 Social transfers in kind via mark..;Other central government;2009 4th quarter;171
9304;D632 Social transfers in kind via mark..;Other central government;2009;680
9305;D632 Social transfers in kind via mark..;Other central government;2010 1st quarter;175
9306;D632 Social transfers in kind via mark..;Other central government;2010 2nd quarter;177
9307;D632 Social transfers in kind via mark..;Other central government;2010 3rd quarter;177
9308;D632 Social transfers in kind via mark..;Other central government;2010 4th quarter;176
9309;D632 Social transfers in kind via mark..;Other central government;2010;705
9310;D632 Social transfers in kind via mark..;Other central government;2011 1st quarter;180
9311;D632 Social transfers in kind via mark..;Other central government;2011 2nd quarter;179
9312;D632 Social transfers in kind via mark..;Other central government;2011 3rd quarter;169
9313;D632 Social transfers in kind via mark..;Other central government;2011 4th quarter;164
9314;D632 Social transfers in kind via mark..;Other central government;2011;692
9315;D632 Social transfers in kind via mark..;Other central government;2012 1st quarter;181
9316;D632 Social transfers in kind via mark..;Other central government;2012 2nd quarter;183
9317;D632 Social transfers in kind via mark..;Other central government;2012 3rd quarter;172
9318;D632 Social transfers in kind via mark..;Other central government;2012 4th quarter;164
9319;D632 Social transfers in kind via mark..;Other central government;2012;700
9320;D632 Social transfers in kind via mark..;Other central government;2013 1st quarter;185
9321;D632 Social transfers in kind via mark..;Other central government;2013 2nd quarter;186
9322;D632 Social transfers in kind via mark..;Other central government;2013 3rd quarter;179
9323;D632 Social transfers in kind via mark..;Other central government;2013 4th quarter;170
9324;D632 Social transfers in kind via mark..;Other central government;2013;720
9325;D632 Social transfers in kind via mark..;Other central government;2014 1st quarter;195
9326;D632 Social transfers in kind via mark..;Other central government;2014 2nd quarter;196
9327;D632 Social transfers in kind via mark..;Other central government;2014 3rd quarter;188
9328;D632 Social transfers in kind via mark..;Other central government;2014 4th quarter;179
9329;D632 Social transfers in kind via mark..;Other central government;2014;758
9330;D632 Social transfers in kind via mark..;Other central government;2015 1st quarter;205
9331;D632 Social transfers in kind via mark..;Other central government;2015 2nd quarter;205
9332;D632 Social transfers in kind via mark..;Other central government;2015 3rd quarter;205
9333;D632 Social transfers in kind via mark..;Other central government;2015 4th quarter;203
9334;D632 Social transfers in kind via mark..;Other central government;2015;818
9335;D632 Social transfers in kind via mark..;Other central government;2016 1st quarter;195
9336;D632 Social transfers in kind via mark..;Other central government;2016 2nd quarter;199
9337;D632 Social transfers in kind via mark..;Other central government;2016 3rd quarter;196
9338;D632 Social transfers in kind via mark..;Other central government;2016 4th quarter;196
9339;D632 Social transfers in kind via mark..;Other central government;2016;786
9340;D632 Social transfers in kind via mark..;Other central government;2017 1st quarter;195
9341;D632 Social transfers in kind via mark..;Other central government;2017 2nd quarter;201
9342;D632 Social transfers in kind via mark..;Other central government;2017 3rd quarter;200
9343;D632 Social transfers in kind via mark..;Other central government;2017 4th quarter;197
9344;D632 Social transfers in kind via mark..;Other central government;2017;793
9345;D632 Social transfers in kind via mark..;Other central government;2018 1st quarter;173
9346;D632 Social transfers in kind via mark..;Other central government;2018 2nd quarter;191
9347;D632 Social transfers in kind via mark..;Other central government;2018 3rd quarter;189
9348;D632 Social transfers in kind via mark..;Other central government;2018 4th quarter;190
9349;D632 Social transfers in kind via mark..;Other central government;2018;743
9350;D632 Social transfers in kind via mark..;Other central government;2019 1st quarter;187
9351;D632 Social transfers in kind via mark..;Other central government;2019 2nd quarter;208
9352;D632 Social transfers in kind via mark..;Other central government;2019 3rd quarter;205
9353;D632 Social transfers in kind via mark..;Other central government;2019 4th quarter;205
9354;D632 Social transfers in kind via mark..;Other central government;2019;805
9355;D632 Social transfers in kind via mark..;Other central government;2020 1st quarter;189
9356;D632 Social transfers in kind via mark..;Other central government;2020 2nd quarter;210
9357;D632 Social transfers in kind via mark..;Other central government;2020 3rd quarter;206
9358;D632 Social transfers in kind via mark..;Other central government;2020 4th quarter;206
9359;D632 Social transfers in kind via mark..;Other central government;2020;811
9360;D632 Social transfers in kind via mark..;Other central government;2021 1st quarter;207
9361;D632 Social transfers in kind via mark..;Other central government;2021 2nd quarter;205
9362;D632 Social transfers in kind via mark..;Other central government;2021 3rd quarter;224
9363;D632 Social transfers in kind via mark..;Other central government;2021 4th quarter;240
9364;D632 Social transfers in kind via mark..;Other central government;2021;876
9365;D632 Social transfers in kind via mark..;Other central government;2022 1st quarter;242
9366;D632 Social transfers in kind via mark..;Other central government;2022 2nd quarter;246
9367;D632 Social transfers in kind via mark..;Other central government;2022 3rd quarter;257
9368;D632 Social transfers in kind via mark..;Other central government;2022 4th quarter;264
9369;D632 Social transfers in kind via mark..;Other central government;2022;1009
9370;D632 Social transfers in kind via mark..;Other central government;2023 1st quarter;291
9371;D632 Social transfers in kind via mark..;Other central government;2023 2nd quarter;292
9372;D632 Social transfers in kind via mark..;Other central government;2023 3rd quarter;302
9373;D632 Social transfers in kind via mark..;Other central government;2023 4th quarter;319
9374;D632 Social transfers in kind via mark..;Other central government;2023;1204
9375;D632 Social transfers in kind via mark..;Other central government;2024 1st quarter;281
9376;D632 Social transfers in kind via mark..;Other central government;2024 2nd quarter;399
9377;D632 Social transfers in kind via mark..;Other central government;2024 3rd quarter;351
9378;D632 Social transfers in kind via mark..;Other central government;2024 4th quarter;328
9379;D632 Social transfers in kind via mark..;Other central government;2024;1359
9380;D632 Social transfers in kind via mark..;Local government;1995;2938
9381;D632 Social transfers in kind via mark..;Local government;1996;2926
9382;D632 Social transfers in kind via mark..;Local government;1997;1827
9383;D632 Social transfers in kind via mark..;Local government;1998;2110
9384;D632 Social transfers in kind via mark..;Local government;1999 1st quarter;607
9385;D632 Social transfers in kind via mark..;Local government;1999 2nd quarter;575
9386;D632 Social transfers in kind via mark..;Local government;1999 3rd quarter;557
9387;D632 Social transfers in kind via mark..;Local government;1999 4th quarter;569
9388;D632 Social transfers in kind via mark..;Local government;1999;2308
9389;D632 Social transfers in kind via mark..;Local government;2000 1st quarter;736
9390;D632 Social transfers in kind via mark..;Local government;2000 2nd quarter;700
9391;D632 Social transfers in kind via mark..;Local government;2000 3rd quarter;630
9392;D632 Social transfers in kind via mark..;Local government;2000 4th quarter;643
9393;D632 Social transfers in kind via mark..;Local government;2000;2709
9394;D632 Social transfers in kind via mark..;Local government;2001 1st quarter;806
9395;D632 Social transfers in kind via mark..;Local government;2001 2nd quarter;711
9396;D632 Social transfers in kind via mark..;Local government;2001 3rd quarter;691
9397;D632 Social transfers in kind via mark..;Local government;2001 4th quarter;706
9398;D632 Social transfers in kind via mark..;Local government;2001;2914
9399;D632 Social transfers in kind via mark..;Local government;2002 1st quarter;825
9400;D632 Social transfers in kind via mark..;Local government;2002 2nd quarter;762
9401;D632 Social transfers in kind via mark..;Local government;2002 3rd quarter;753
9402;D632 Social transfers in kind via mark..;Local government;2002 4th quarter;769
9403;D632 Social transfers in kind via mark..;Local government;2002;3109
9404;D632 Social transfers in kind via mark..;Local government;2003 1st quarter;846
9405;D632 Social transfers in kind via mark..;Local government;2003 2nd quarter;748
9406;D632 Social transfers in kind via mark..;Local government;2003 3rd quarter;756
9407;D632 Social transfers in kind via mark..;Local government;2003 4th quarter;756
9408;D632 Social transfers in kind via mark..;Local government;2003;3106
9409;D632 Social transfers in kind via mark..;Local government;2004 1st quarter;841
9410;D632 Social transfers in kind via mark..;Local government;2004 2nd quarter;744
9411;D632 Social transfers in kind via mark..;Local government;2004 3rd quarter;758
9412;D632 Social transfers in kind via mark..;Local government;2004 4th quarter;756
9413;D632 Social transfers in kind via mark..;Local government;2004;3099
9414;D632 Social transfers in kind via mark..;Local government;2005 1st quarter;799
9415;D632 Social transfers in kind via mark..;Local government;2005 2nd quarter;712
9416;D632 Social transfers in kind via mark..;Local government;2005 3rd quarter;733
9417;D632 Social transfers in kind via mark..;Local government;2005 4th quarter;721
9418;D632 Social transfers in kind via mark..;Local government;2005;2965
9419;D632 Social transfers in kind via mark..;Local government;2006 1st quarter;741
9420;D632 Social transfers in kind via mark..;Local government;2006 2nd quarter;682
9421;D632 Social transfers in kind via mark..;Local government;2006 3rd quarter;722
9422;D632 Social transfers in kind via mark..;Local government;2006 4th quarter;705
9423;D632 Social transfers in kind via mark..;Local government;2006;2850
9424;D632 Social transfers in kind via mark..;Local government;2007 1st quarter;1047
9425;D632 Social transfers in kind via mark..;Local government;2007 2nd quarter;1000
9426;D632 Social transfers in kind via mark..;Local government;2007 3rd quarter;1021
9427;D632 Social transfers in kind via mark..;Local government;2007 4th quarter;953
9428;D632 Social transfers in kind via mark..;Local government;2007;4021
9429;D632 Social transfers in kind via mark..;Local government;2008 1st quarter;1076
9430;D632 Social transfers in kind via mark..;Local government;2008 2nd quarter;1026
9431;D632 Social transfers in kind via mark..;Local government;2008 3rd quarter;1045
9432;D632 Social transfers in kind via mark..;Local government;2008 4th quarter;1019
9433;D632 Social transfers in kind via mark..;Local government;2008;4166
9434;D632 Social transfers in kind via mark..;Local government;2009 1st quarter;1167
9435;D632 Social transfers in kind via mark..;Local government;2009 2nd quarter;1120
9436;D632 Social transfers in kind via mark..;Local government;2009 3rd quarter;1146
9437;D632 Social transfers in kind via mark..;Local government;2009 4th quarter;1124
9438;D632 Social transfers in kind via mark..;Local government;2009;4557
9439;D632 Social transfers in kind via mark..;Local government;2010 1st quarter;1243
9440;D632 Social transfers in kind via mark..;Local government;2010 2nd quarter;1200
9441;D632 Social transfers in kind via mark..;Local government;2010 3rd quarter;1229
9442;D632 Social transfers in kind via mark..;Local government;2010 4th quarter;1211
9443;D632 Social transfers in kind via mark..;Local government;2010;4883
9444;D632 Social transfers in kind via mark..;Local government;2011 1st quarter;1202
9445;D632 Social transfers in kind via mark..;Local government;2011 2nd quarter;1175
9446;D632 Social transfers in kind via mark..;Local government;2011 3rd quarter;1198
9447;D632 Social transfers in kind via mark..;Local government;2011 4th quarter;1165
9448;D632 Social transfers in kind via mark..;Local government;2011;4740
9449;D632 Social transfers in kind via mark..;Local government;2012 1st quarter;1190
9450;D632 Social transfers in kind via mark..;Local government;2012 2nd quarter;1153
9451;D632 Social transfers in kind via mark..;Local government;2012 3rd quarter;1185
9452;D632 Social transfers in kind via mark..;Local government;2012 4th quarter;1152
9453;D632 Social transfers in kind via mark..;Local government;2012;4680
9454;D632 Social transfers in kind via mark..;Local government;2013 1st quarter;1156
9455;D632 Social transfers in kind via mark..;Local government;2013 2nd quarter;1113
9456;D632 Social transfers in kind via mark..;Local government;2013 3rd quarter;1162
9457;D632 Social transfers in kind via mark..;Local government;2013 4th quarter;1104
9458;D632 Social transfers in kind via mark..;Local government;2013;4535
9459;D632 Social transfers in kind via mark..;Local government;2014 1st quarter;1069
9460;D632 Social transfers in kind via mark..;Local government;2014 2nd quarter;1015
9461;D632 Social transfers in kind via mark..;Local government;2014 3rd quarter;1049
9462;D632 Social transfers in kind via mark..;Local government;2014 4th quarter;1029
9463;D632 Social transfers in kind via mark..;Local government;2014;4162
9464;D632 Social transfers in kind via mark..;Local government;2015 1st quarter;2326
9465;D632 Social transfers in kind via mark..;Local government;2015 2nd quarter;2328
9466;D632 Social transfers in kind via mark..;Local government;2015 3rd quarter;2327
9467;D632 Social transfers in kind via mark..;Local government;2015 4th quarter;2323
9468;D632 Social transfers in kind via mark..;Local government;2015;9304
9469;D632 Social transfers in kind via mark..;Local government;2016 1st quarter;2344
9470;D632 Social transfers in kind via mark..;Local government;2016 2nd quarter;2389
9471;D632 Social transfers in kind via mark..;Local government;2016 3rd quarter;2370
9472;D632 Social transfers in kind via mark..;Local government;2016 4th quarter;2394
9473;D632 Social transfers in kind via mark..;Local government;2016;9497
9474;D632 Social transfers in kind via mark..;Local government;2017 1st quarter;2420
9475;D632 Social transfers in kind via mark..;Local government;2017 2nd quarter;2473
9476;D632 Social transfers in kind via mark..;Local government;2017 3rd quarter;2478
9477;D632 Social transfers in kind via mark..;Local government;2017 4th quarter;2515
9478;D632 Social transfers in kind via mark..;Local government;2017;9886
9479;D632 Social transfers in kind via mark..;Local government;2018 1st quarter;2603
9480;D632 Social transfers in kind via mark..;Local government;2018 2nd quarter;2647
9481;D632 Social transfers in kind via mark..;Local government;2018 3rd quarter;2658
9482;D632 Social transfers in kind via mark..;Local government;2018 4th quarter;2710
9483;D632 Social transfers in kind via mark..;Local government;2018;10618
9484;D632 Social transfers in kind via mark..;Local government;2019 1st quarter;2816
9485;D632 Social transfers in kind via mark..;Local government;2019 2nd quarter;2866
9486;D632 Social transfers in kind via mark..;Local government;2019 3rd quarter;2901
9487;D632 Social transfers in kind via mark..;Local government;2019 4th quarter;2955
9488;D632 Social transfers in kind via mark..;Local government;2019;11538
9489;D632 Social transfers in kind via mark..;Local government;2020 1st quarter;2982
9490;D632 Social transfers in kind via mark..;Local government;2020 2nd quarter;2803
9491;D632 Social transfers in kind via mark..;Local government;2020 3rd quarter;3071
9492;D632 Social transfers in kind via mark..;Local government;2020 4th quarter;3033
9493;D632 Social transfers in kind via mark..;Local government;2020;11889
9494;D632 Social transfers in kind via mark..;Local government;2021 1st quarter;2868
9495;D632 Social transfers in kind via mark..;Local government;2021 2nd quarter;2985
9496;D632 Social transfers in kind via mark..;Local government;2021 3rd quarter;2948
9497;D632 Social transfers in kind via mark..;Local government;2021 4th quarter;3009
9498;D632 Social transfers in kind via mark..;Local government;2021;11810
9499;D632 Social transfers in kind via mark..;Local government;2022 1st quarter;3022
9500;D632 Social transfers in kind via mark..;Local government;2022 2nd quarter;3063
9501;D632 Social transfers in kind via mark..;Local government;2022 3rd quarter;3102
9502;D632 Social transfers in kind via mark..;Local government;2022 4th quarter;3196
9503;D632 Social transfers in kind via mark..;Local government;2022;12383
9504;D632 Social transfers in kind via mark..;Local government;2023 1st quarter;3245
9505;D632 Social transfers in kind via mark..;Local government;2023 2nd quarter;3293
9506;D632 Social transfers in kind via mark..;Local government;2023 3rd quarter;3462
9507;D632 Social transfers in kind via mark..;Local government;2023 4th quarter;3540
9508;D632 Social transfers in kind via mark..;Local government;2023;13540
9509;D632 Social transfers in kind via mark..;Local government;2024 1st quarter;3537
9510;D632 Social transfers in kind via mark..;Local government;2024 2nd quarter;3590
9511;D632 Social transfers in kind via mark..;Local government;2024 3rd quarter;3774
9512;D632 Social transfers in kind via mark..;Local government;2024 4th quarter;3856
9513;D632 Social transfers in kind via mark..;Local government;2024;14757
9514;D632 Social transfers in kind via mark..;Municipalities;1995;1707
9515;D632 Social transfers in kind via mark..;Municipalities;1996;1647
9516;D632 Social transfers in kind via mark..;Municipalities;1997;1699
9517;D632 Social transfers in kind via mark..;Municipalities;1998;1941
9518;D632 Social transfers in kind via mark..;Municipalities;1999 1st quarter;560
9519;D632 Social transfers in kind via mark..;Municipalities;1999 2nd quarter;528
9520;D632 Social transfers in kind via mark..;Municipalities;1999 3rd quarter;510
9521;D632 Social transfers in kind via mark..;Municipalities;1999 4th quarter;523
9522;D632 Social transfers in kind via mark..;Municipalities;1999;2121
9523;D632 Social transfers in kind via mark..;Municipalities;2000 1st quarter;684
9524;D632 Social transfers in kind via mark..;Municipalities;2000 2nd quarter;648
9525;D632 Social transfers in kind via mark..;Municipalities;2000 3rd quarter;578
9526;D632 Social transfers in kind via mark..;Municipalities;2000 4th quarter;592
9527;D632 Social transfers in kind via mark..;Municipalities;2000;2502
9528;D632 Social transfers in kind via mark..;Municipalities;2001 1st quarter;750
9529;D632 Social transfers in kind via mark..;Municipalities;2001 2nd quarter;655
9530;D632 Social transfers in kind via mark..;Municipalities;2001 3rd quarter;635
9531;D632 Social transfers in kind via mark..;Municipalities;2001 4th quarter;651
9532;D632 Social transfers in kind via mark..;Municipalities;2001;2691
9533;D632 Social transfers in kind via mark..;Municipalities;2002 1st quarter;778
9534;D632 Social transfers in kind via mark..;Municipalities;2002 2nd quarter;715
9535;D632 Social transfers in kind via mark..;Municipalities;2002 3rd quarter;706
9536;D632 Social transfers in kind via mark..;Municipalities;2002 4th quarter;720
9537;D632 Social transfers in kind via mark..;Municipalities;2002;2919
9538;D632 Social transfers in kind via mark..;Municipalities;2003 1st quarter;805
9539;D632 Social transfers in kind via mark..;Municipalities;2003 2nd quarter;709
9540;D632 Social transfers in kind via mark..;Municipalities;2003 3rd quarter;717
9541;D632 Social transfers in kind via mark..;Municipalities;2003 4th quarter;713
9542;D632 Social transfers in kind via mark..;Municipalities;2003;2944
9543;D632 Social transfers in kind via mark..;Municipalities;2004 1st quarter;794
9544;D632 Social transfers in kind via mark..;Municipalities;2004 2nd quarter;696
9545;D632 Social transfers in kind via mark..;Municipalities;2004 3rd quarter;711
9546;D632 Social transfers in kind via mark..;Municipalities;2004 4th quarter;705
9547;D632 Social transfers in kind via mark..;Municipalities;2004;2906
9548;D632 Social transfers in kind via mark..;Municipalities;2005 1st quarter;679
9549;D632 Social transfers in kind via mark..;Municipalities;2005 2nd quarter;595
9550;D632 Social transfers in kind via mark..;Municipalities;2005 3rd quarter;615
9551;D632 Social transfers in kind via mark..;Municipalities;2005 4th quarter;596
9552;D632 Social transfers in kind via mark..;Municipalities;2005;2485
9553;D632 Social transfers in kind via mark..;Municipalities;2006 1st quarter;586
9554;D632 Social transfers in kind via mark..;Municipalities;2006 2nd quarter;530
9555;D632 Social transfers in kind via mark..;Municipalities;2006 3rd quarter;568
9556;D632 Social transfers in kind via mark..;Municipalities;2006 4th quarter;548
9557;D632 Social transfers in kind via mark..;Municipalities;2006;2232
9558;D632 Social transfers in kind via mark..;Municipalities;2007 1st quarter;828
9559;D632 Social transfers in kind via mark..;Municipalities;2007 2nd quarter;785
9560;D632 Social transfers in kind via mark..;Municipalities;2007 3rd quarter;805
9561;D632 Social transfers in kind via mark..;Municipalities;2007 4th quarter;732
9562;D632 Social transfers in kind via mark..;Municipalities;2007;3150
9563;D632 Social transfers in kind via mark..;Municipalities;2008 1st quarter;837
9564;D632 Social transfers in kind via mark..;Municipalities;2008 2nd quarter;791
9565;D632 Social transfers in kind via mark..;Municipalities;2008 3rd quarter;810
9566;D632 Social transfers in kind via mark..;Municipalities;2008 4th quarter;783
9567;D632 Social transfers in kind via mark..;Municipalities;2008;3221
9568;D632 Social transfers in kind via mark..;Municipalities;2009 1st quarter;894
9569;D632 Social transfers in kind via mark..;Municipalities;2009 2nd quarter;850
9570;D632 Social transfers in kind via mark..;Municipalities;2009 3rd quarter;876
9571;D632 Social transfers in kind via mark..;Municipalities;2009 4th quarter;853
9572;D632 Social transfers in kind via mark..;Municipalities;2009;3473
9573;D632 Social transfers in kind via mark..;Municipalities;2010 1st quarter;927
9574;D632 Social transfers in kind via mark..;Municipalities;2010 2nd quarter;889
9575;D632 Social transfers in kind via mark..;Municipalities;2010 3rd quarter;917
9576;D632 Social transfers in kind via mark..;Municipalities;2010 4th quarter;893
9577;D632 Social transfers in kind via mark..;Municipalities;2010;3626
9578;D632 Social transfers in kind via mark..;Municipalities;2011 1st quarter;894
9579;D632 Social transfers in kind via mark..;Municipalities;2011 2nd quarter;869
9580;D632 Social transfers in kind via mark..;Municipalities;2011 3rd quarter;893
9581;D632 Social transfers in kind via mark..;Municipalities;2011 4th quarter;858
9582;D632 Social transfers in kind via mark..;Municipalities;2011;3514
9583;D632 Social transfers in kind via mark..;Municipalities;2012 1st quarter;866
9584;D632 Social transfers in kind via mark..;Municipalities;2012 2nd quarter;833
9585;D632 Social transfers in kind via mark..;Municipalities;2012 3rd quarter;863
9586;D632 Social transfers in kind via mark..;Municipalities;2012 4th quarter;827
9587;D632 Social transfers in kind via mark..;Municipalities;2012;3389
9588;D632 Social transfers in kind via mark..;Municipalities;2013 1st quarter;821
9589;D632 Social transfers in kind via mark..;Municipalities;2013 2nd quarter;780
9590;D632 Social transfers in kind via mark..;Municipalities;2013 3rd quarter;826
9591;D632 Social transfers in kind via mark..;Municipalities;2013 4th quarter;771
9592;D632 Social transfers in kind via mark..;Municipalities;2013;3198
9593;D632 Social transfers in kind via mark..;Municipalities;2014 1st quarter;841
9594;D632 Social transfers in kind via mark..;Municipalities;2014 2nd quarter;791
9595;D632 Social transfers in kind via mark..;Municipalities;2014 3rd quarter;824
9596;D632 Social transfers in kind via mark..;Municipalities;2014 4th quarter;799
9597;D632 Social transfers in kind via mark..;Municipalities;2014;3255
9598;D632 Social transfers in kind via mark..;Municipalities;2015 1st quarter;2164
9599;D632 Social transfers in kind via mark..;Municipalities;2015 2nd quarter;2166
9600;D632 Social transfers in kind via mark..;Municipalities;2015 3rd quarter;2165
9601;D632 Social transfers in kind via mark..;Municipalities;2015 4th quarter;2163
9602;D632 Social transfers in kind via mark..;Municipalities;2015;8658
9603;D632 Social transfers in kind via mark..;Municipalities;2016 1st quarter;2172
9604;D632 Social transfers in kind via mark..;Municipalities;2016 2nd quarter;2213
9605;D632 Social transfers in kind via mark..;Municipalities;2016 3rd quarter;2196
9606;D632 Social transfers in kind via mark..;Municipalities;2016 4th quarter;2220
9607;D632 Social transfers in kind via mark..;Municipalities;2016;8801
9608;D632 Social transfers in kind via mark..;Municipalities;2017 1st quarter;2243
9609;D632 Social transfers in kind via mark..;Municipalities;2017 2nd quarter;2292
9610;D632 Social transfers in kind via mark..;Municipalities;2017 3rd quarter;2296
9611;D632 Social transfers in kind via mark..;Municipalities;2017 4th quarter;2333
9612;D632 Social transfers in kind via mark..;Municipalities;2017;9164
9613;D632 Social transfers in kind via mark..;Municipalities;2018 1st quarter;2403
9614;D632 Social transfers in kind via mark..;Municipalities;2018 2nd quarter;2444
9615;D632 Social transfers in kind via mark..;Municipalities;2018 3rd quarter;2453
9616;D632 Social transfers in kind via mark..;Municipalities;2018 4th quarter;2503
9617;D632 Social transfers in kind via mark..;Municipalities;2018;9803
9618;D632 Social transfers in kind via mark..;Municipalities;2019 1st quarter;2592
9619;D632 Social transfers in kind via mark..;Municipalities;2019 2nd quarter;2635
9620;D632 Social transfers in kind via mark..;Municipalities;2019 3rd quarter;2681
9621;D632 Social transfers in kind via mark..;Municipalities;2019 4th quarter;2728
9622;D632 Social transfers in kind via mark..;Municipalities;2019;10636
9623;D632 Social transfers in kind via mark..;Municipalities;2020 1st quarter;2747
9624;D632 Social transfers in kind via mark..;Municipalities;2020 2nd quarter;2577
9625;D632 Social transfers in kind via mark..;Municipalities;2020 3rd quarter;2841
9626;D632 Social transfers in kind via mark..;Municipalities;2020 4th quarter;2803
9627;D632 Social transfers in kind via mark..;Municipalities;2020;10968
9628;D632 Social transfers in kind via mark..;Municipalities;2021 1st quarter;2630
9629;D632 Social transfers in kind via mark..;Municipalities;2021 2nd quarter;2756
9630;D632 Social transfers in kind via mark..;Municipalities;2021 3rd quarter;2716
9631;D632 Social transfers in kind via mark..;Municipalities;2021 4th quarter;2773
9632;D632 Social transfers in kind via mark..;Municipalities;2021;10875
9633;D632 Social transfers in kind via mark..;Municipalities;2022 1st quarter;2766
9634;D632 Social transfers in kind via mark..;Municipalities;2022 2nd quarter;2799
9635;D632 Social transfers in kind via mark..;Municipalities;2022 3rd quarter;2850
9636;D632 Social transfers in kind via mark..;Municipalities;2022 4th quarter;2935
9637;D632 Social transfers in kind via mark..;Municipalities;2022;11350
9638;D632 Social transfers in kind via mark..;Municipalities;2023 1st quarter;2966
9639;D632 Social transfers in kind via mark..;Municipalities;2023 2nd quarter;3019
9640;D632 Social transfers in kind via mark..;Municipalities;2023 3rd quarter;3177
9641;D632 Social transfers in kind via mark..;Municipalities;2023 4th quarter;3207
9642;D632 Social transfers in kind via mark..;Municipalities;2023;12369
9643;D632 Social transfers in kind via mark..;Municipalities;2024 1st quarter;3254
9644;D632 Social transfers in kind via mark..;Municipalities;2024 2nd quarter;3312
9645;D632 Social transfers in kind via mark..;Municipalities;2024 3rd quarter;3485
9646;D632 Social transfers in kind via mark..;Municipalities;2024 4th quarter;3519
9647;D632 Social transfers in kind via mark..;Municipalities;2024;13570
9648;D632 Social transfers in kind via mark..;Local intergovernmental organisations;1995;0
9649;D632 Social transfers in kind via mark..;Local intergovernmental organisations;1996;0
9650;D632 Social transfers in kind via mark..;Local intergovernmental organisations;1997;0
9651;D632 Social transfers in kind via mark..;Local intergovernmental organisations;1998;0
9652;D632 Social transfers in kind via mark..;Local intergovernmental organisations;1999 1st quarter;0
9653;D632 Social transfers in kind via mark..;Local intergovernmental organisations;1999 2nd quarter;0
9654;D632 Social transfers in kind via mark..;Local intergovernmental organisations;1999 3rd quarter;0
9655;D632 Social transfers in kind via mark..;Local intergovernmental organisations;1999 4th quarter;0
9656;D632 Social transfers in kind via mark..;Local intergovernmental organisations;1999;0
9657;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2000 1st quarter;0
9658;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2000 2nd quarter;0
9659;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2000 3rd quarter;0
9660;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2000 4th quarter;0
9661;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2000;0
9662;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2001 1st quarter;2
9663;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2001 2nd quarter;2
9664;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2001 3rd quarter;2
9665;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2001 4th quarter;2
9666;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2001;8
9667;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2002 1st quarter;2
9668;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2002 2nd quarter;2
9669;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2002 3rd quarter;2
9670;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2002 4th quarter;5
9671;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2002;11
9672;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2003 1st quarter;6
9673;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2003 2nd quarter;4
9674;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2003 3rd quarter;4
9675;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2003 4th quarter;7
9676;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2003;21
9677;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2004 1st quarter;6
9678;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2004 2nd quarter;6
9679;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2004 3rd quarter;6
