ID;Population;Sex;PersonalCharacteristics;Margins;Periods;TrafficParticipation_1;UseOfPublicTransport_2
4387;Population: 12 years or older;Female;"No driver's license; 17 years or older";Upper bound 95% confidence interval;2019;68.5;15.9
4388;Population: 12 years or older;Female;"No driver's license; 17 years or older";Upper bound 95% confidence interval;2020;57.2;9.0
4389;Population: 12 years or older;Female;"No driver's license; 17 years or older";Upper bound 95% confidence interval;2021;64.8;10.2
4390;Population: 12 years or older;Female;"No driver's license; 17 years or older";Upper bound 95% confidence interval;2022;67.8;14.1
4391;Population: 12 years or older;Female;"No driver's license; 17 years or older";Upper bound 95% confidence interval;2023;69.0;14.9
4392;Population: 12 years or older;Female;"No driver's license; under 17";Value;2018;86.2;9.7
4393;Population: 12 years or older;Female;"No driver's license; under 17";Value;2019;86.6;10.2
4394;Population: 12 years or older;Female;"No driver's license; under 17";Value;2020;75.2;5.1
4395;Population: 12 years or older;Female;"No driver's license; under 17";Value;2021;79.8;6.6
4396;Population: 12 years or older;Female;"No driver's license; under 17";Value;2022;82.4;8.1
4397;Population: 12 years or older;Female;"No driver's license; under 17";Value;2023;83.6;8.4
4398;Population: 12 years or older;Female;"No driver's license; under 17";Lower bound 95% confidence interval;2018;84.2;8.4
4399;Population: 12 years or older;Female;"No driver's license; under 17";Lower bound 95% confidence interval;2019;84.2;8.7
4400;Population: 12 years or older;Female;"No driver's license; under 17";Lower bound 95% confidence interval;2020;72.9;4.1
4401;Population: 12 years or older;Female;"No driver's license; under 17";Lower bound 95% confidence interval;2021;77.6;5.5
4402;Population: 12 years or older;Female;"No driver's license; under 17";Lower bound 95% confidence interval;2022;79.7;6.9
4403;Population: 12 years or older;Female;"No driver's license; under 17";Lower bound 95% confidence interval;2023;81.3;7.2
4404;Population: 12 years or older;Female;"No driver's license; under 17";Upper bound 95% confidence interval;2018;88.1;11.2
4405;Population: 12 years or older;Female;"No driver's license; under 17";Upper bound 95% confidence interval;2019;88.7;11.8
4406;Population: 12 years or older;Female;"No driver's license; under 17";Upper bound 95% confidence interval;2020;77.3;6.2
4407;Population: 12 years or older;Female;"No driver's license; under 17";Upper bound 95% confidence interval;2021;81.7;7.9
4408;Population: 12 years or older;Female;"No driver's license; under 17";Upper bound 95% confidence interval;2022;84.7;9.6
4409;Population: 12 years or older;Female;"No driver's license; under 17";Upper bound 95% confidence interval;2023;85.7;9.8
4410;Population: 12 years or older;Sex unknown;Total persons;Value;2018;;
4411;Population: 12 years or older;Sex unknown;Total persons;Value;2019;;
4412;Population: 12 years or older;Sex unknown;Total persons;Value;2020;;
4413;Population: 12 years or older;Sex unknown;Total persons;Value;2021;;
4414;Population: 12 years or older;Sex unknown;Total persons;Value;2022;;
4415;Population: 12 years or older;Sex unknown;Total persons;Value;2023;;
4416;Population: 12 years or older;Sex unknown;Total persons;Lower bound 95% confidence interval;2018;;
4417;Population: 12 years or older;Sex unknown;Total persons;Lower bound 95% confidence interval;2019;;
4418;Population: 12 years or older;Sex unknown;Total persons;Lower bound 95% confidence interval;2020;;
4419;Population: 12 years or older;Sex unknown;Total persons;Lower bound 95% confidence interval;2021;;
4420;Population: 12 years or older;Sex unknown;Total persons;Lower bound 95% confidence interval;2022;;
4421;Population: 12 years or older;Sex unknown;Total persons;Lower bound 95% confidence interval;2023;;
4422;Population: 12 years or older;Sex unknown;Total persons;Upper bound 95% confidence interval;2018;;
4423;Population: 12 years or older;Sex unknown;Total persons;Upper bound 95% confidence interval;2019;;
4424;Population: 12 years or older;Sex unknown;Total persons;Upper bound 95% confidence interval;2020;;
4425;Population: 12 years or older;Sex unknown;Total persons;Upper bound 95% confidence interval;2021;;
4426;Population: 12 years or older;Sex unknown;Total persons;Upper bound 95% confidence interval;2022;;
4427;Population: 12 years or older;Sex unknown;Total persons;Upper bound 95% confidence interval;2023;;
4428;Population: 12 years or older;Sex unknown;Age: 6 to 11 years;Value;2018;;
4429;Population: 12 years or older;Sex unknown;Age: 6 to 11 years;Value;2019;;
4430;Population: 12 years or older;Sex unknown;Age: 6 to 11 years;Value;2020;;
4431;Population: 12 years or older;Sex unknown;Age: 6 to 11 years;Value;2021;;
4432;Population: 12 years or older;Sex unknown;Age: 6 to 11 years;Value;2022;;
4433;Population: 12 years or older;Sex unknown;Age: 6 to 11 years;Value;2023;;
4434;Population: 12 years or older;Sex unknown;Age: 6 to 11 years;Lower bound 95% confidence interval;2018;;
4435;Population: 12 years or older;Sex unknown;Age: 6 to 11 years;Lower bound 95% confidence interval;2019;;
4436;Population: 12 years or older;Sex unknown;Age: 6 to 11 years;Lower bound 95% confidence interval;2020;;
4437;Population: 12 years or older;Sex unknown;Age: 6 to 11 years;Lower bound 95% confidence interval;2021;;
4438;Population: 12 years or older;Sex unknown;Age: 6 to 11 years;Lower bound 95% confidence interval;2022;;
4439;Population: 12 years or older;Sex unknown;Age: 6 to 11 years;Lower bound 95% confidence interval;2023;;
4440;Population: 12 years or older;Sex unknown;Age: 6 to 11 years;Upper bound 95% confidence interval;2018;;
4441;Population: 12 years or older;Sex unknown;Age: 6 to 11 years;Upper bound 95% confidence interval;2019;;
4442;Population: 12 years or older;Sex unknown;Age: 6 to 11 years;Upper bound 95% confidence interval;2020;;
4443;Population: 12 years or older;Sex unknown;Age: 6 to 11 years;Upper bound 95% confidence interval;2021;;
4444;Population: 12 years or older;Sex unknown;Age: 6 to 11 years;Upper bound 95% confidence interval;2022;;
4445;Population: 12 years or older;Sex unknown;Age: 6 to 11 years;Upper bound 95% confidence interval;2023;;
4446;Population: 12 years or older;Sex unknown;Age: 12 to 17 years;Value;2018;;
4447;Population: 12 years or older;Sex unknown;Age: 12 to 17 years;Value;2019;;
4448;Population: 12 years or older;Sex unknown;Age: 12 to 17 years;Value;2020;;
4449;Population: 12 years or older;Sex unknown;Age: 12 to 17 years;Value;2021;;
4450;Population: 12 years or older;Sex unknown;Age: 12 to 17 years;Value;2022;;
4451;Population: 12 years or older;Sex unknown;Age: 12 to 17 years;Value;2023;;
4452;Population: 12 years or older;Sex unknown;Age: 12 to 17 years;Lower bound 95% confidence interval;2018;;
4453;Population: 12 years or older;Sex unknown;Age: 12 to 17 years;Lower bound 95% confidence interval;2019;;
4454;Population: 12 years or older;Sex unknown;Age: 12 to 17 years;Lower bound 95% confidence interval;2020;;
4455;Population: 12 years or older;Sex unknown;Age: 12 to 17 years;Lower bound 95% confidence interval;2021;;
4456;Population: 12 years or older;Sex unknown;Age: 12 to 17 years;Lower bound 95% confidence interval;2022;;
4457;Population: 12 years or older;Sex unknown;Age: 12 to 17 years;Lower bound 95% confidence interval;2023;;
4458;Population: 12 years or older;Sex unknown;Age: 12 to 17 years;Upper bound 95% confidence interval;2018;;
4459;Population: 12 years or older;Sex unknown;Age: 12 to 17 years;Upper bound 95% confidence interval;2019;;
4460;Population: 12 years or older;Sex unknown;Age: 12 to 17 years;Upper bound 95% confidence interval;2020;;
4461;Population: 12 years or older;Sex unknown;Age: 12 to 17 years;Upper bound 95% confidence interval;2021;;
4462;Population: 12 years or older;Sex unknown;Age: 12 to 17 years;Upper bound 95% confidence interval;2022;;
4463;Population: 12 years or older;Sex unknown;Age: 12 to 17 years;Upper bound 95% confidence interval;2023;;
4464;Population: 12 years or older;Sex unknown;Age: 18 to 24 years;Value;2018;;
4465;Population: 12 years or older;Sex unknown;Age: 18 to 24 years;Value;2019;;
4466;Population: 12 years or older;Sex unknown;Age: 18 to 24 years;Value;2020;;
4467;Population: 12 years or older;Sex unknown;Age: 18 to 24 years;Value;2021;;
4468;Population: 12 years or older;Sex unknown;Age: 18 to 24 years;Value;2022;;
4469;Population: 12 years or older;Sex unknown;Age: 18 to 24 years;Value;2023;;
4470;Population: 12 years or older;Sex unknown;Age: 18 to 24 years;Lower bound 95% confidence interval;2018;;
4471;Population: 12 years or older;Sex unknown;Age: 18 to 24 years;Lower bound 95% confidence interval;2019;;
4472;Population: 12 years or older;Sex unknown;Age: 18 to 24 years;Lower bound 95% confidence interval;2020;;
4473;Population: 12 years or older;Sex unknown;Age: 18 to 24 years;Lower bound 95% confidence interval;2021;;
4474;Population: 12 years or older;Sex unknown;Age: 18 to 24 years;Lower bound 95% confidence interval;2022;;
4475;Population: 12 years or older;Sex unknown;Age: 18 to 24 years;Lower bound 95% confidence interval;2023;;
4476;Population: 12 years or older;Sex unknown;Age: 18 to 24 years;Upper bound 95% confidence interval;2018;;
4477;Population: 12 years or older;Sex unknown;Age: 18 to 24 years;Upper bound 95% confidence interval;2019;;
4478;Population: 12 years or older;Sex unknown;Age: 18 to 24 years;Upper bound 95% confidence interval;2020;;
4479;Population: 12 years or older;Sex unknown;Age: 18 to 24 years;Upper bound 95% confidence interval;2021;;
4480;Population: 12 years or older;Sex unknown;Age: 18 to 24 years;Upper bound 95% confidence interval;2022;;
4481;Population: 12 years or older;Sex unknown;Age: 18 to 24 years;Upper bound 95% confidence interval;2023;;
4482;Population: 12 years or older;Sex unknown;Age: 25 to 34 years;Value;2018;;
4483;Population: 12 years or older;Sex unknown;Age: 25 to 34 years;Value;2019;;
4484;Population: 12 years or older;Sex unknown;Age: 25 to 34 years;Value;2020;;
4485;Population: 12 years or older;Sex unknown;Age: 25 to 34 years;Value;2021;;
4486;Population: 12 years or older;Sex unknown;Age: 25 to 34 years;Value;2022;;
4487;Population: 12 years or older;Sex unknown;Age: 25 to 34 years;Value;2023;;
4488;Population: 12 years or older;Sex unknown;Age: 25 to 34 years;Lower bound 95% confidence interval;2018;;
4489;Population: 12 years or older;Sex unknown;Age: 25 to 34 years;Lower bound 95% confidence interval;2019;;
4490;Population: 12 years or older;Sex unknown;Age: 25 to 34 years;Lower bound 95% confidence interval;2020;;
4491;Population: 12 years or older;Sex unknown;Age: 25 to 34 years;Lower bound 95% confidence interval;2021;;
4492;Population: 12 years or older;Sex unknown;Age: 25 to 34 years;Lower bound 95% confidence interval;2022;;
4493;Population: 12 years or older;Sex unknown;Age: 25 to 34 years;Lower bound 95% confidence interval;2023;;
4494;Population: 12 years or older;Sex unknown;Age: 25 to 34 years;Upper bound 95% confidence interval;2018;;
4495;Population: 12 years or older;Sex unknown;Age: 25 to 34 years;Upper bound 95% confidence interval;2019;;
4496;Population: 12 years or older;Sex unknown;Age: 25 to 34 years;Upper bound 95% confidence interval;2020;;
4497;Population: 12 years or older;Sex unknown;Age: 25 to 34 years;Upper bound 95% confidence interval;2021;;
4498;Population: 12 years or older;Sex unknown;Age: 25 to 34 years;Upper bound 95% confidence interval;2022;;
4499;Population: 12 years or older;Sex unknown;Age: 25 to 34 years;Upper bound 95% confidence interval;2023;;
4500;Population: 12 years or older;Sex unknown;Age: 35 to 49 years;Value;2018;;
4501;Population: 12 years or older;Sex unknown;Age: 35 to 49 years;Value;2019;;
4502;Population: 12 years or older;Sex unknown;Age: 35 to 49 years;Value;2020;;
4503;Population: 12 years or older;Sex unknown;Age: 35 to 49 years;Value;2021;;
4504;Population: 12 years or older;Sex unknown;Age: 35 to 49 years;Value;2022;;
4505;Population: 12 years or older;Sex unknown;Age: 35 to 49 years;Value;2023;;
4506;Population: 12 years or older;Sex unknown;Age: 35 to 49 years;Lower bound 95% confidence interval;2018;;
4507;Population: 12 years or older;Sex unknown;Age: 35 to 49 years;Lower bound 95% confidence interval;2019;;
4508;Population: 12 years or older;Sex unknown;Age: 35 to 49 years;Lower bound 95% confidence interval;2020;;
4509;Population: 12 years or older;Sex unknown;Age: 35 to 49 years;Lower bound 95% confidence interval;2021;;
4510;Population: 12 years or older;Sex unknown;Age: 35 to 49 years;Lower bound 95% confidence interval;2022;;
4511;Population: 12 years or older;Sex unknown;Age: 35 to 49 years;Lower bound 95% confidence interval;2023;;
4512;Population: 12 years or older;Sex unknown;Age: 35 to 49 years;Upper bound 95% confidence interval;2018;;
4513;Population: 12 years or older;Sex unknown;Age: 35 to 49 years;Upper bound 95% confidence interval;2019;;
4514;Population: 12 years or older;Sex unknown;Age: 35 to 49 years;Upper bound 95% confidence interval;2020;;
4515;Population: 12 years or older;Sex unknown;Age: 35 to 49 years;Upper bound 95% confidence interval;2021;;
4516;Population: 12 years or older;Sex unknown;Age: 35 to 49 years;Upper bound 95% confidence interval;2022;;
4517;Population: 12 years or older;Sex unknown;Age: 35 to 49 years;Upper bound 95% confidence interval;2023;;
4518;Population: 12 years or older;Sex unknown;Age: 50 to 64 years;Value;2018;;
4519;Population: 12 years or older;Sex unknown;Age: 50 to 64 years;Value;2019;;
4520;Population: 12 years or older;Sex unknown;Age: 50 to 64 years;Value;2020;;
4521;Population: 12 years or older;Sex unknown;Age: 50 to 64 years;Value;2021;;
4522;Population: 12 years or older;Sex unknown;Age: 50 to 64 years;Value;2022;;
4523;Population: 12 years or older;Sex unknown;Age: 50 to 64 years;Value;2023;;
4524;Population: 12 years or older;Sex unknown;Age: 50 to 64 years;Lower bound 95% confidence interval;2018;;
4525;Population: 12 years or older;Sex unknown;Age: 50 to 64 years;Lower bound 95% confidence interval;2019;;
4526;Population: 12 years or older;Sex unknown;Age: 50 to 64 years;Lower bound 95% confidence interval;2020;;
4527;Population: 12 years or older;Sex unknown;Age: 50 to 64 years;Lower bound 95% confidence interval;2021;;
4528;Population: 12 years or older;Sex unknown;Age: 50 to 64 years;Lower bound 95% confidence interval;2022;;
4529;Population: 12 years or older;Sex unknown;Age: 50 to 64 years;Lower bound 95% confidence interval;2023;;
4530;Population: 12 years or older;Sex unknown;Age: 50 to 64 years;Upper bound 95% confidence interval;2018;;
4531;Population: 12 years or older;Sex unknown;Age: 50 to 64 years;Upper bound 95% confidence interval;2019;;
4532;Population: 12 years or older;Sex unknown;Age: 50 to 64 years;Upper bound 95% confidence interval;2020;;
4533;Population: 12 years or older;Sex unknown;Age: 50 to 64 years;Upper bound 95% confidence interval;2021;;
4534;Population: 12 years or older;Sex unknown;Age: 50 to 64 years;Upper bound 95% confidence interval;2022;;
4535;Population: 12 years or older;Sex unknown;Age: 50 to 64 years;Upper bound 95% confidence interval;2023;;
4536;Population: 12 years or older;Sex unknown;Age: 65 to 74 years;Value;2018;;
4537;Population: 12 years or older;Sex unknown;Age: 65 to 74 years;Value;2019;;
4538;Population: 12 years or older;Sex unknown;Age: 65 to 74 years;Value;2020;;
4539;Population: 12 years or older;Sex unknown;Age: 65 to 74 years;Value;2021;;
4540;Population: 12 years or older;Sex unknown;Age: 65 to 74 years;Value;2022;;
4541;Population: 12 years or older;Sex unknown;Age: 65 to 74 years;Value;2023;;
4542;Population: 12 years or older;Sex unknown;Age: 65 to 74 years;Lower bound 95% confidence interval;2018;;
4543;Population: 12 years or older;Sex unknown;Age: 65 to 74 years;Lower bound 95% confidence interval;2019;;
4544;Population: 12 years or older;Sex unknown;Age: 65 to 74 years;Lower bound 95% confidence interval;2020;;
4545;Population: 12 years or older;Sex unknown;Age: 65 to 74 years;Lower bound 95% confidence interval;2021;;
4546;Population: 12 years or older;Sex unknown;Age: 65 to 74 years;Lower bound 95% confidence interval;2022;;
4547;Population: 12 years or older;Sex unknown;Age: 65 to 74 years;Lower bound 95% confidence interval;2023;;
4548;Population: 12 years or older;Sex unknown;Age: 65 to 74 years;Upper bound 95% confidence interval;2018;;
4549;Population: 12 years or older;Sex unknown;Age: 65 to 74 years;Upper bound 95% confidence interval;2019;;
4550;Population: 12 years or older;Sex unknown;Age: 65 to 74 years;Upper bound 95% confidence interval;2020;;
4551;Population: 12 years or older;Sex unknown;Age: 65 to 74 years;Upper bound 95% confidence interval;2021;;
4552;Population: 12 years or older;Sex unknown;Age: 65 to 74 years;Upper bound 95% confidence interval;2022;;
4553;Population: 12 years or older;Sex unknown;Age: 65 to 74 years;Upper bound 95% confidence interval;2023;;
4554;Population: 12 years or older;Sex unknown;Age: 75 years or older;Value;2018;;
4555;Population: 12 years or older;Sex unknown;Age: 75 years or older;Value;2019;;
4556;Population: 12 years or older;Sex unknown;Age: 75 years or older;Value;2020;;
4557;Population: 12 years or older;Sex unknown;Age: 75 years or older;Value;2021;;
4558;Population: 12 years or older;Sex unknown;Age: 75 years or older;Value;2022;;
4559;Population: 12 years or older;Sex unknown;Age: 75 years or older;Value;2023;;
4560;Population: 12 years or older;Sex unknown;Age: 75 years or older;Lower bound 95% confidence interval;2018;;
4561;Population: 12 years or older;Sex unknown;Age: 75 years or older;Lower bound 95% confidence interval;2019;;
4562;Population: 12 years or older;Sex unknown;Age: 75 years or older;Lower bound 95% confidence interval;2020;;
4563;Population: 12 years or older;Sex unknown;Age: 75 years or older;Lower bound 95% confidence interval;2021;;
4564;Population: 12 years or older;Sex unknown;Age: 75 years or older;Lower bound 95% confidence interval;2022;;
4565;Population: 12 years or older;Sex unknown;Age: 75 years or older;Lower bound 95% confidence interval;2023;;
4566;Population: 12 years or older;Sex unknown;Age: 75 years or older;Upper bound 95% confidence interval;2018;;
4567;Population: 12 years or older;Sex unknown;Age: 75 years or older;Upper bound 95% confidence interval;2019;;
4568;Population: 12 years or older;Sex unknown;Age: 75 years or older;Upper bound 95% confidence interval;2020;;
4569;Population: 12 years or older;Sex unknown;Age: 75 years or older;Upper bound 95% confidence interval;2021;;
4570;Population: 12 years or older;Sex unknown;Age: 75 years or older;Upper bound 95% confidence interval;2022;;
4571;Population: 12 years or older;Sex unknown;Age: 75 years or older;Upper bound 95% confidence interval;2023;;
4572;Population: 12 years or older;Sex unknown;Background: Dutch;Value;2018;;
4573;Population: 12 years or older;Sex unknown;Background: Dutch;Value;2019;;
4574;Population: 12 years or older;Sex unknown;Background: Dutch;Value;2020;;
4575;Population: 12 years or older;Sex unknown;Background: Dutch;Value;2021;;
4576;Population: 12 years or older;Sex unknown;Background: Dutch;Value;2022;;
4577;Population: 12 years or older;Sex unknown;Background: Dutch;Value;2023;;
4578;Population: 12 years or older;Sex unknown;Background: Dutch;Lower bound 95% confidence interval;2018;;
4579;Population: 12 years or older;Sex unknown;Background: Dutch;Lower bound 95% confidence interval;2019;;
4580;Population: 12 years or older;Sex unknown;Background: Dutch;Lower bound 95% confidence interval;2020;;
4581;Population: 12 years or older;Sex unknown;Background: Dutch;Lower bound 95% confidence interval;2021;;
4582;Population: 12 years or older;Sex unknown;Background: Dutch;Lower bound 95% confidence interval;2022;;
4583;Population: 12 years or older;Sex unknown;Background: Dutch;Lower bound 95% confidence interval;2023;;
4584;Population: 12 years or older;Sex unknown;Background: Dutch;Upper bound 95% confidence interval;2018;;
4585;Population: 12 years or older;Sex unknown;Background: Dutch;Upper bound 95% confidence interval;2019;;
4586;Population: 12 years or older;Sex unknown;Background: Dutch;Upper bound 95% confidence interval;2020;;
4587;Population: 12 years or older;Sex unknown;Background: Dutch;Upper bound 95% confidence interval;2021;;
4588;Population: 12 years or older;Sex unknown;Background: Dutch;Upper bound 95% confidence interval;2022;;
4589;Population: 12 years or older;Sex unknown;Background: Dutch;Upper bound 95% confidence interval;2023;;
4590;Population: 12 years or older;Sex unknown;Background: western;Value;2018;;
4591;Population: 12 years or older;Sex unknown;Background: western;Value;2019;;
4592;Population: 12 years or older;Sex unknown;Background: western;Value;2020;;
4593;Population: 12 years or older;Sex unknown;Background: western;Value;2021;;
4594;Population: 12 years or older;Sex unknown;Background: western;Value;2022;;
4595;Population: 12 years or older;Sex unknown;Background: western;Value;2023;;
4596;Population: 12 years or older;Sex unknown;Background: western;Lower bound 95% confidence interval;2018;;
4597;Population: 12 years or older;Sex unknown;Background: western;Lower bound 95% confidence interval;2019;;
4598;Population: 12 years or older;Sex unknown;Background: western;Lower bound 95% confidence interval;2020;;
4599;Population: 12 years or older;Sex unknown;Background: western;Lower bound 95% confidence interval;2021;;
4600;Population: 12 years or older;Sex unknown;Background: western;Lower bound 95% confidence interval;2022;;
4601;Population: 12 years or older;Sex unknown;Background: western;Lower bound 95% confidence interval;2023;;
4602;Population: 12 years or older;Sex unknown;Background: western;Upper bound 95% confidence interval;2018;;
4603;Population: 12 years or older;Sex unknown;Background: western;Upper bound 95% confidence interval;2019;;
4604;Population: 12 years or older;Sex unknown;Background: western;Upper bound 95% confidence interval;2020;;
4605;Population: 12 years or older;Sex unknown;Background: western;Upper bound 95% confidence interval;2021;;
4606;Population: 12 years or older;Sex unknown;Background: western;Upper bound 95% confidence interval;2022;;
4607;Population: 12 years or older;Sex unknown;Background: western;Upper bound 95% confidence interval;2023;;
4608;Population: 12 years or older;Sex unknown;Background: non-western;Value;2018;;
4609;Population: 12 years or older;Sex unknown;Background: non-western;Value;2019;;
4610;Population: 12 years or older;Sex unknown;Background: non-western;Value;2020;;
4611;Population: 12 years or older;Sex unknown;Background: non-western;Value;2021;;
4612;Population: 12 years or older;Sex unknown;Background: non-western;Value;2022;;
4613;Population: 12 years or older;Sex unknown;Background: non-western;Value;2023;;
4614;Population: 12 years or older;Sex unknown;Background: non-western;Lower bound 95% confidence interval;2018;;
4615;Population: 12 years or older;Sex unknown;Background: non-western;Lower bound 95% confidence interval;2019;;
4616;Population: 12 years or older;Sex unknown;Background: non-western;Lower bound 95% confidence interval;2020;;
4617;Population: 12 years or older;Sex unknown;Background: non-western;Lower bound 95% confidence interval;2021;;
4618;Population: 12 years or older;Sex unknown;Background: non-western;Lower bound 95% confidence interval;2022;;
4619;Population: 12 years or older;Sex unknown;Background: non-western;Lower bound 95% confidence interval;2023;;
4620;Population: 12 years or older;Sex unknown;Background: non-western;Upper bound 95% confidence interval;2018;;
4621;Population: 12 years or older;Sex unknown;Background: non-western;Upper bound 95% confidence interval;2019;;
4622;Population: 12 years or older;Sex unknown;Background: non-western;Upper bound 95% confidence interval;2020;;
4623;Population: 12 years or older;Sex unknown;Background: non-western;Upper bound 95% confidence interval;2021;;
4624;Population: 12 years or older;Sex unknown;Background: non-western;Upper bound 95% confidence interval;2022;;
4625;Population: 12 years or older;Sex unknown;Background: non-western;Upper bound 95% confidence interval;2023;;
4626;Population: 12 years or older;Sex unknown;Equivalised income: 1st 20%-group;Value;2018;;
4627;Population: 12 years or older;Sex unknown;Equivalised income: 1st 20%-group;Value;2019;;
4628;Population: 12 years or older;Sex unknown;Equivalised income: 1st 20%-group;Value;2020;;
4629;Population: 12 years or older;Sex unknown;Equivalised income: 1st 20%-group;Value;2021;;
4630;Population: 12 years or older;Sex unknown;Equivalised income: 1st 20%-group;Value;2022;;
4631;Population: 12 years or older;Sex unknown;Equivalised income: 1st 20%-group;Value;2023;;
4632;Population: 12 years or older;Sex unknown;Equivalised income: 1st 20%-group;Lower bound 95% confidence interval;2018;;
4633;Population: 12 years or older;Sex unknown;Equivalised income: 1st 20%-group;Lower bound 95% confidence interval;2019;;
4634;Population: 12 years or older;Sex unknown;Equivalised income: 1st 20%-group;Lower bound 95% confidence interval;2020;;
4635;Population: 12 years or older;Sex unknown;Equivalised income: 1st 20%-group;Lower bound 95% confidence interval;2021;;
4636;Population: 12 years or older;Sex unknown;Equivalised income: 1st 20%-group;Lower bound 95% confidence interval;2022;;
4637;Population: 12 years or older;Sex unknown;Equivalised income: 1st 20%-group;Lower bound 95% confidence interval;2023;;
4638;Population: 12 years or older;Sex unknown;Equivalised income: 1st 20%-group;Upper bound 95% confidence interval;2018;;
4639;Population: 12 years or older;Sex unknown;Equivalised income: 1st 20%-group;Upper bound 95% confidence interval;2019;;
4640;Population: 12 years or older;Sex unknown;Equivalised income: 1st 20%-group;Upper bound 95% confidence interval;2020;;
4641;Population: 12 years or older;Sex unknown;Equivalised income: 1st 20%-group;Upper bound 95% confidence interval;2021;;
4642;Population: 12 years or older;Sex unknown;Equivalised income: 1st 20%-group;Upper bound 95% confidence interval;2022;;
4643;Population: 12 years or older;Sex unknown;Equivalised income: 1st 20%-group;Upper bound 95% confidence interval;2023;;
4644;Population: 12 years or older;Sex unknown;Equivalised income: 2nd 20%-group;Value;2018;;
4645;Population: 12 years or older;Sex unknown;Equivalised income: 2nd 20%-group;Value;2019;;
4646;Population: 12 years or older;Sex unknown;Equivalised income: 2nd 20%-group;Value;2020;;
4647;Population: 12 years or older;Sex unknown;Equivalised income: 2nd 20%-group;Value;2021;;
4648;Population: 12 years or older;Sex unknown;Equivalised income: 2nd 20%-group;Value;2022;;
4649;Population: 12 years or older;Sex unknown;Equivalised income: 2nd 20%-group;Value;2023;;
4650;Population: 12 years or older;Sex unknown;Equivalised income: 2nd 20%-group;Lower bound 95% confidence interval;2018;;
4651;Population: 12 years or older;Sex unknown;Equivalised income: 2nd 20%-group;Lower bound 95% confidence interval;2019;;
4652;Population: 12 years or older;Sex unknown;Equivalised income: 2nd 20%-group;Lower bound 95% confidence interval;2020;;
4653;Population: 12 years or older;Sex unknown;Equivalised income: 2nd 20%-group;Lower bound 95% confidence interval;2021;;
4654;Population: 12 years or older;Sex unknown;Equivalised income: 2nd 20%-group;Lower bound 95% confidence interval;2022;;
4655;Population: 12 years or older;Sex unknown;Equivalised income: 2nd 20%-group;Lower bound 95% confidence interval;2023;;
4656;Population: 12 years or older;Sex unknown;Equivalised income: 2nd 20%-group;Upper bound 95% confidence interval;2018;;
4657;Population: 12 years or older;Sex unknown;Equivalised income: 2nd 20%-group;Upper bound 95% confidence interval;2019;;
4658;Population: 12 years or older;Sex unknown;Equivalised income: 2nd 20%-group;Upper bound 95% confidence interval;2020;;
4659;Population: 12 years or older;Sex unknown;Equivalised income: 2nd 20%-group;Upper bound 95% confidence interval;2021;;
4660;Population: 12 years or older;Sex unknown;Equivalised income: 2nd 20%-group;Upper bound 95% confidence interval;2022;;
4661;Population: 12 years or older;Sex unknown;Equivalised income: 2nd 20%-group;Upper bound 95% confidence interval;2023;;
4662;Population: 12 years or older;Sex unknown;Equivalised income: 3rd 20%-group;Value;2018;;
4663;Population: 12 years or older;Sex unknown;Equivalised income: 3rd 20%-group;Value;2019;;
4664;Population: 12 years or older;Sex unknown;Equivalised income: 3rd 20%-group;Value;2020;;
4665;Population: 12 years or older;Sex unknown;Equivalised income: 3rd 20%-group;Value;2021;;
4666;Population: 12 years or older;Sex unknown;Equivalised income: 3rd 20%-group;Value;2022;;
4667;Population: 12 years or older;Sex unknown;Equivalised income: 3rd 20%-group;Value;2023;;
4668;Population: 12 years or older;Sex unknown;Equivalised income: 3rd 20%-group;Lower bound 95% confidence interval;2018;;
4669;Population: 12 years or older;Sex unknown;Equivalised income: 3rd 20%-group;Lower bound 95% confidence interval;2019;;
4670;Population: 12 years or older;Sex unknown;Equivalised income: 3rd 20%-group;Lower bound 95% confidence interval;2020;;
4671;Population: 12 years or older;Sex unknown;Equivalised income: 3rd 20%-group;Lower bound 95% confidence interval;2021;;
4672;Population: 12 years or older;Sex unknown;Equivalised income: 3rd 20%-group;Lower bound 95% confidence interval;2022;;
4673;Population: 12 years or older;Sex unknown;Equivalised income: 3rd 20%-group;Lower bound 95% confidence interval;2023;;
4674;Population: 12 years or older;Sex unknown;Equivalised income: 3rd 20%-group;Upper bound 95% confidence interval;2018;;
4675;Population: 12 years or older;Sex unknown;Equivalised income: 3rd 20%-group;Upper bound 95% confidence interval;2019;;
4676;Population: 12 years or older;Sex unknown;Equivalised income: 3rd 20%-group;Upper bound 95% confidence interval;2020;;
4677;Population: 12 years or older;Sex unknown;Equivalised income: 3rd 20%-group;Upper bound 95% confidence interval;2021;;
4678;Population: 12 years or older;Sex unknown;Equivalised income: 3rd 20%-group;Upper bound 95% confidence interval;2022;;
4679;Population: 12 years or older;Sex unknown;Equivalised income: 3rd 20%-group;Upper bound 95% confidence interval;2023;;
4680;Population: 12 years or older;Sex unknown;Equivalised income: 4th 20%-group;Value;2018;;
4681;Population: 12 years or older;Sex unknown;Equivalised income: 4th 20%-group;Value;2019;;
4682;Population: 12 years or older;Sex unknown;Equivalised income: 4th 20%-group;Value;2020;;
4683;Population: 12 years or older;Sex unknown;Equivalised income: 4th 20%-group;Value;2021;;
4684;Population: 12 years or older;Sex unknown;Equivalised income: 4th 20%-group;Value;2022;;
