ID;TypeOfBankruptcy;Age;Periods;PronouncedBankrupcies_1
5874;Nat. person with sole proprietorship;35 to 39 years;2015;83
5875;Nat. person with sole proprietorship;35 to 39 years;2016 January;8
5876;Nat. person with sole proprietorship;35 to 39 years;2016 February;3
5877;Nat. person with sole proprietorship;35 to 39 years;2016 March;10
5878;Nat. person with sole proprietorship;35 to 39 years;2016 1st quarter;21
5879;Nat. person with sole proprietorship;35 to 39 years;2016 April;4
5880;Nat. person with sole proprietorship;35 to 39 years;2016 May;8
5881;Nat. person with sole proprietorship;35 to 39 years;2016 June;9
5882;Nat. person with sole proprietorship;35 to 39 years;2016 2nd quarter;21
5883;Nat. person with sole proprietorship;35 to 39 years;2016 July;9
5884;Nat. person with sole proprietorship;35 to 39 years;2016 August;5
5885;Nat. person with sole proprietorship;35 to 39 years;2016 September;6
5886;Nat. person with sole proprietorship;35 to 39 years;2016 3rd quarter;20
5887;Nat. person with sole proprietorship;35 to 39 years;2016 October;4
5888;Nat. person with sole proprietorship;35 to 39 years;2016 November;8
5889;Nat. person with sole proprietorship;35 to 39 years;2016 December;11
5890;Nat. person with sole proprietorship;35 to 39 years;2016 4th quarter;23
5891;Nat. person with sole proprietorship;35 to 39 years;2016;85
5892;Nat. person with sole proprietorship;35 to 39 years;2017 January;4
5893;Nat. person with sole proprietorship;35 to 39 years;2017 February;5
5894;Nat. person with sole proprietorship;35 to 39 years;2017 March;5
5895;Nat. person with sole proprietorship;35 to 39 years;2017 1st quarter;14
5896;Nat. person with sole proprietorship;35 to 39 years;2017 April;5
5897;Nat. person with sole proprietorship;35 to 39 years;2017 May;11
5898;Nat. person with sole proprietorship;35 to 39 years;2017 June;4
5899;Nat. person with sole proprietorship;35 to 39 years;2017 2nd quarter;20
5900;Nat. person with sole proprietorship;35 to 39 years;2017 July;6
5901;Nat. person with sole proprietorship;35 to 39 years;2017 August;15
5902;Nat. person with sole proprietorship;35 to 39 years;2017 September;8
5903;Nat. person with sole proprietorship;35 to 39 years;2017 3rd quarter;29
5904;Nat. person with sole proprietorship;35 to 39 years;2017 October;8
5905;Nat. person with sole proprietorship;35 to 39 years;2017 November;9
5906;Nat. person with sole proprietorship;35 to 39 years;2017 December;3
5907;Nat. person with sole proprietorship;35 to 39 years;2017 4th quarter;20
5908;Nat. person with sole proprietorship;35 to 39 years;2017;83
5909;Nat. person with sole proprietorship;35 to 39 years;2018 January;9
5910;Nat. person with sole proprietorship;35 to 39 years;2018 February;5
5911;Nat. person with sole proprietorship;35 to 39 years;2018 March;10
5912;Nat. person with sole proprietorship;35 to 39 years;2018 1st quarter;24
5913;Nat. person with sole proprietorship;35 to 39 years;2018 April;3
5914;Nat. person with sole proprietorship;35 to 39 years;2018 May;5
5915;Nat. person with sole proprietorship;35 to 39 years;2018 June;8
5916;Nat. person with sole proprietorship;35 to 39 years;2018 2nd quarter;16
5917;Nat. person with sole proprietorship;35 to 39 years;2018 July;3
5918;Nat. person with sole proprietorship;35 to 39 years;2018 August;4
5919;Nat. person with sole proprietorship;35 to 39 years;2018 September;8
5920;Nat. person with sole proprietorship;35 to 39 years;2018 3rd quarter;15
5921;Nat. person with sole proprietorship;35 to 39 years;2018 October;3
5922;Nat. person with sole proprietorship;35 to 39 years;2018 November;5
5923;Nat. person with sole proprietorship;35 to 39 years;2018 December;1
5924;Nat. person with sole proprietorship;35 to 39 years;2018 4th quarter;9
5925;Nat. person with sole proprietorship;35 to 39 years;2018;64
5926;Nat. person with sole proprietorship;35 to 39 years;2019 January;9
5927;Nat. person with sole proprietorship;35 to 39 years;2019 February;10
5928;Nat. person with sole proprietorship;35 to 39 years;2019 March;8
5929;Nat. person with sole proprietorship;35 to 39 years;2019 1st quarter;27
5930;Nat. person with sole proprietorship;35 to 39 years;2019 April;9
5931;Nat. person with sole proprietorship;35 to 39 years;2019 May;8
5932;Nat. person with sole proprietorship;35 to 39 years;2019 June;2
5933;Nat. person with sole proprietorship;35 to 39 years;2019 2nd quarter;19
5934;Nat. person with sole proprietorship;35 to 39 years;2019 July;11
5935;Nat. person with sole proprietorship;35 to 39 years;2019 August;9
5936;Nat. person with sole proprietorship;35 to 39 years;2019 September;14
5937;Nat. person with sole proprietorship;35 to 39 years;2019 3rd quarter;34
5938;Nat. person with sole proprietorship;35 to 39 years;2019 October;9
5939;Nat. person with sole proprietorship;35 to 39 years;2019 November;8
5940;Nat. person with sole proprietorship;35 to 39 years;2019 December;10
5941;Nat. person with sole proprietorship;35 to 39 years;2019 4th quarter;27
5942;Nat. person with sole proprietorship;35 to 39 years;2019;107
5943;Nat. person with sole proprietorship;35 to 39 years;2020 January;6
5944;Nat. person with sole proprietorship;35 to 39 years;2020 February;11
5945;Nat. person with sole proprietorship;35 to 39 years;2020 March;12
5946;Nat. person with sole proprietorship;35 to 39 years;2020 1st quarter;29
5947;Nat. person with sole proprietorship;35 to 39 years;2020 April;7
5948;Nat. person with sole proprietorship;35 to 39 years;2020 May;6
5949;Nat. person with sole proprietorship;35 to 39 years;2020 June;5
5950;Nat. person with sole proprietorship;35 to 39 years;2020 2nd quarter;18
5951;Nat. person with sole proprietorship;35 to 39 years;2020 July;5
5952;Nat. person with sole proprietorship;35 to 39 years;2020 August;3
5953;Nat. person with sole proprietorship;35 to 39 years;2020 September;7
5954;Nat. person with sole proprietorship;35 to 39 years;2020 3rd quarter;15
5955;Nat. person with sole proprietorship;35 to 39 years;2020 October;2
5956;Nat. person with sole proprietorship;35 to 39 years;2020 November;6
5957;Nat. person with sole proprietorship;35 to 39 years;2020 December;9
5958;Nat. person with sole proprietorship;35 to 39 years;2020 4th quarter;17
5959;Nat. person with sole proprietorship;35 to 39 years;2020;79
5960;Nat. person with sole proprietorship;35 to 39 years;2021 January;4
5961;Nat. person with sole proprietorship;35 to 39 years;2021 February;5
5962;Nat. person with sole proprietorship;35 to 39 years;2021 March;5
5963;Nat. person with sole proprietorship;35 to 39 years;2021 1st quarter;14
5964;Nat. person with sole proprietorship;35 to 39 years;2021 April;3
5965;Nat. person with sole proprietorship;35 to 39 years;2021 May;7
5966;Nat. person with sole proprietorship;35 to 39 years;2021 June;4
5967;Nat. person with sole proprietorship;35 to 39 years;2021 2nd quarter;14
5968;Nat. person with sole proprietorship;35 to 39 years;2021 July;2
5969;Nat. person with sole proprietorship;35 to 39 years;2021 August;1
5970;Nat. person with sole proprietorship;35 to 39 years;2021 September;6
5971;Nat. person with sole proprietorship;35 to 39 years;2021 3rd quarter;9
5972;Nat. person with sole proprietorship;35 to 39 years;2021 October;1
5973;Nat. person with sole proprietorship;35 to 39 years;2021 November;7
5974;Nat. person with sole proprietorship;35 to 39 years;2021 December;4
5975;Nat. person with sole proprietorship;35 to 39 years;2021 4th quarter;12
5976;Nat. person with sole proprietorship;35 to 39 years;2021;49
5977;Nat. person with sole proprietorship;35 to 39 years;2022 January;4
5978;Nat. person with sole proprietorship;35 to 39 years;2022 February;1
5979;Nat. person with sole proprietorship;35 to 39 years;2022 March;7
5980;Nat. person with sole proprietorship;35 to 39 years;2022 1st quarter;12
5981;Nat. person with sole proprietorship;35 to 39 years;2022 April;4
5982;Nat. person with sole proprietorship;35 to 39 years;2022 May;5
5983;Nat. person with sole proprietorship;35 to 39 years;2022 June;4
5984;Nat. person with sole proprietorship;35 to 39 years;2022 2nd quarter;13
5985;Nat. person with sole proprietorship;35 to 39 years;2022 July;4
5986;Nat. person with sole proprietorship;35 to 39 years;2022 August;2
5987;Nat. person with sole proprietorship;35 to 39 years;2022 September;3
5988;Nat. person with sole proprietorship;35 to 39 years;2022 3rd quarter;9
5989;Nat. person with sole proprietorship;35 to 39 years;2022 October;4
5990;Nat. person with sole proprietorship;35 to 39 years;2022 November;6
5991;Nat. person with sole proprietorship;35 to 39 years;2022 December;5
5992;Nat. person with sole proprietorship;35 to 39 years;2022 4th quarter;15
5993;Nat. person with sole proprietorship;35 to 39 years;2022;49
5994;Nat. person with sole proprietorship;35 to 39 years;2023 January;7
5995;Nat. person with sole proprietorship;35 to 39 years;2023 February;4
5996;Nat. person with sole proprietorship;35 to 39 years;2023 March;5
5997;Nat. person with sole proprietorship;35 to 39 years;2023 1st quarter;16
5998;Nat. person with sole proprietorship;35 to 39 years;2023 April;7
5999;Nat. person with sole proprietorship;35 to 39 years;2023 May;5
6000;Nat. person with sole proprietorship;35 to 39 years;2023 June;2
6001;Nat. person with sole proprietorship;35 to 39 years;2023 2nd quarter;14
6002;Nat. person with sole proprietorship;35 to 39 years;2023 July;4
6003;Nat. person with sole proprietorship;35 to 39 years;2023 August;5
6004;Nat. person with sole proprietorship;35 to 39 years;2023 September;2
6005;Nat. person with sole proprietorship;35 to 39 years;2023 3rd quarter;11
6006;Nat. person with sole proprietorship;35 to 39 years;2023 October;7
6007;Nat. person with sole proprietorship;35 to 39 years;2023 November;3
6008;Nat. person with sole proprietorship;35 to 39 years;2023 December;9
6009;Nat. person with sole proprietorship;35 to 39 years;2023 4th quarter;19
6010;Nat. person with sole proprietorship;35 to 39 years;2023;60
6011;Nat. person with sole proprietorship;35 to 39 years;2024 January;7
6012;Nat. person with sole proprietorship;35 to 39 years;2024 February;2
6013;Nat. person with sole proprietorship;35 to 39 years;2024 March;11
6014;Nat. person with sole proprietorship;35 to 39 years;2024 1st quarter;20
6015;Nat. person with sole proprietorship;35 to 39 years;2024 April;5
6016;Nat. person with sole proprietorship;35 to 39 years;2024 May;5
6017;Nat. person with sole proprietorship;35 to 39 years;2024 June;3
6018;Nat. person with sole proprietorship;35 to 39 years;2024 2nd quarter;13
6019;Nat. person with sole proprietorship;35 to 39 years;2024 July;5
6020;Nat. person with sole proprietorship;35 to 39 years;2024 August;5
6021;Nat. person with sole proprietorship;35 to 39 years;2024 September;9
6022;Nat. person with sole proprietorship;35 to 39 years;2024 3rd quarter;19
6023;Nat. person with sole proprietorship;35 to 39 years;2024 October;8
6024;Nat. person with sole proprietorship;35 to 39 years;2024 November;10
6025;Nat. person with sole proprietorship;35 to 39 years;2024 December;3
6026;Nat. person with sole proprietorship;35 to 39 years;2024 4th quarter;21
6027;Nat. person with sole proprietorship;35 to 39 years;2024;73
6028;Nat. person with sole proprietorship;35 to 39 years;2025 January;6
6029;Nat. person with sole proprietorship;35 to 39 years;2025 February;6
6030;Nat. person with sole proprietorship;35 to 39 years;2025 March;6
6031;Nat. person with sole proprietorship;35 to 39 years;2025 1st quarter;18
6032;Nat. person with sole proprietorship;40 to 44 years;2013 January;14
6033;Nat. person with sole proprietorship;40 to 44 years;2013 February;11
6034;Nat. person with sole proprietorship;40 to 44 years;2013 March;15
6035;Nat. person with sole proprietorship;40 to 44 years;2013 1st quarter;40
6036;Nat. person with sole proprietorship;40 to 44 years;2013 April;15
6037;Nat. person with sole proprietorship;40 to 44 years;2013 May;12
6038;Nat. person with sole proprietorship;40 to 44 years;2013 June;8
6039;Nat. person with sole proprietorship;40 to 44 years;2013 2nd quarter;35
6040;Nat. person with sole proprietorship;40 to 44 years;2013 July;22
6041;Nat. person with sole proprietorship;40 to 44 years;2013 August;10
6042;Nat. person with sole proprietorship;40 to 44 years;2013 September;16
6043;Nat. person with sole proprietorship;40 to 44 years;2013 3rd quarter;48
6044;Nat. person with sole proprietorship;40 to 44 years;2013 October;18
6045;Nat. person with sole proprietorship;40 to 44 years;2013 November;16
6046;Nat. person with sole proprietorship;40 to 44 years;2013 December;14
6047;Nat. person with sole proprietorship;40 to 44 years;2013 4th quarter;48
6048;Nat. person with sole proprietorship;40 to 44 years;2013;171
6049;Nat. person with sole proprietorship;40 to 44 years;2014 January;15
6050;Nat. person with sole proprietorship;40 to 44 years;2014 February;15
6051;Nat. person with sole proprietorship;40 to 44 years;2014 March;14
6052;Nat. person with sole proprietorship;40 to 44 years;2014 1st quarter;44
6053;Nat. person with sole proprietorship;40 to 44 years;2014 April;20
6054;Nat. person with sole proprietorship;40 to 44 years;2014 May;8
6055;Nat. person with sole proprietorship;40 to 44 years;2014 June;15
6056;Nat. person with sole proprietorship;40 to 44 years;2014 2nd quarter;43
6057;Nat. person with sole proprietorship;40 to 44 years;2014 July;12
6058;Nat. person with sole proprietorship;40 to 44 years;2014 August;11
6059;Nat. person with sole proprietorship;40 to 44 years;2014 September;19
6060;Nat. person with sole proprietorship;40 to 44 years;2014 3rd quarter;42
6061;Nat. person with sole proprietorship;40 to 44 years;2014 October;16
6062;Nat. person with sole proprietorship;40 to 44 years;2014 November;8
6063;Nat. person with sole proprietorship;40 to 44 years;2014 December;11
6064;Nat. person with sole proprietorship;40 to 44 years;2014 4th quarter;35
6065;Nat. person with sole proprietorship;40 to 44 years;2014;164
6066;Nat. person with sole proprietorship;40 to 44 years;2015 January;10
6067;Nat. person with sole proprietorship;40 to 44 years;2015 February;12
6068;Nat. person with sole proprietorship;40 to 44 years;2015 March;13
6069;Nat. person with sole proprietorship;40 to 44 years;2015 1st quarter;35
6070;Nat. person with sole proprietorship;40 to 44 years;2015 April;11
6071;Nat. person with sole proprietorship;40 to 44 years;2015 May;8
6072;Nat. person with sole proprietorship;40 to 44 years;2015 June;5
6073;Nat. person with sole proprietorship;40 to 44 years;2015 2nd quarter;24
6074;Nat. person with sole proprietorship;40 to 44 years;2015 July;14
6075;Nat. person with sole proprietorship;40 to 44 years;2015 August;6
6076;Nat. person with sole proprietorship;40 to 44 years;2015 September;23
6077;Nat. person with sole proprietorship;40 to 44 years;2015 3rd quarter;43
6078;Nat. person with sole proprietorship;40 to 44 years;2015 October;8
6079;Nat. person with sole proprietorship;40 to 44 years;2015 November;5
6080;Nat. person with sole proprietorship;40 to 44 years;2015 December;14
6081;Nat. person with sole proprietorship;40 to 44 years;2015 4th quarter;27
6082;Nat. person with sole proprietorship;40 to 44 years;2015;129
6083;Nat. person with sole proprietorship;40 to 44 years;2016 January;1
6084;Nat. person with sole proprietorship;40 to 44 years;2016 February;8
6085;Nat. person with sole proprietorship;40 to 44 years;2016 March;10
6086;Nat. person with sole proprietorship;40 to 44 years;2016 1st quarter;19
6087;Nat. person with sole proprietorship;40 to 44 years;2016 April;8
6088;Nat. person with sole proprietorship;40 to 44 years;2016 May;14
6089;Nat. person with sole proprietorship;40 to 44 years;2016 June;7
6090;Nat. person with sole proprietorship;40 to 44 years;2016 2nd quarter;29
6091;Nat. person with sole proprietorship;40 to 44 years;2016 July;10
6092;Nat. person with sole proprietorship;40 to 44 years;2016 August;10
6093;Nat. person with sole proprietorship;40 to 44 years;2016 September;10
6094;Nat. person with sole proprietorship;40 to 44 years;2016 3rd quarter;30
6095;Nat. person with sole proprietorship;40 to 44 years;2016 October;4
6096;Nat. person with sole proprietorship;40 to 44 years;2016 November;4
6097;Nat. person with sole proprietorship;40 to 44 years;2016 December;2
6098;Nat. person with sole proprietorship;40 to 44 years;2016 4th quarter;10
6099;Nat. person with sole proprietorship;40 to 44 years;2016;88
6100;Nat. person with sole proprietorship;40 to 44 years;2017 January;10
6101;Nat. person with sole proprietorship;40 to 44 years;2017 February;8
6102;Nat. person with sole proprietorship;40 to 44 years;2017 March;4
6103;Nat. person with sole proprietorship;40 to 44 years;2017 1st quarter;22
6104;Nat. person with sole proprietorship;40 to 44 years;2017 April;7
6105;Nat. person with sole proprietorship;40 to 44 years;2017 May;6
6106;Nat. person with sole proprietorship;40 to 44 years;2017 June;3
6107;Nat. person with sole proprietorship;40 to 44 years;2017 2nd quarter;16
6108;Nat. person with sole proprietorship;40 to 44 years;2017 July;6
6109;Nat. person with sole proprietorship;40 to 44 years;2017 August;3
6110;Nat. person with sole proprietorship;40 to 44 years;2017 September;5
6111;Nat. person with sole proprietorship;40 to 44 years;2017 3rd quarter;14
6112;Nat. person with sole proprietorship;40 to 44 years;2017 October;6
6113;Nat. person with sole proprietorship;40 to 44 years;2017 November;6
6114;Nat. person with sole proprietorship;40 to 44 years;2017 December;7
6115;Nat. person with sole proprietorship;40 to 44 years;2017 4th quarter;19
6116;Nat. person with sole proprietorship;40 to 44 years;2017;71
6117;Nat. person with sole proprietorship;40 to 44 years;2018 January;7
6118;Nat. person with sole proprietorship;40 to 44 years;2018 February;9
6119;Nat. person with sole proprietorship;40 to 44 years;2018 March;11
6120;Nat. person with sole proprietorship;40 to 44 years;2018 1st quarter;27
6121;Nat. person with sole proprietorship;40 to 44 years;2018 April;6
6122;Nat. person with sole proprietorship;40 to 44 years;2018 May;5
6123;Nat. person with sole proprietorship;40 to 44 years;2018 June;6
6124;Nat. person with sole proprietorship;40 to 44 years;2018 2nd quarter;17
6125;Nat. person with sole proprietorship;40 to 44 years;2018 July;7
6126;Nat. person with sole proprietorship;40 to 44 years;2018 August;8
6127;Nat. person with sole proprietorship;40 to 44 years;2018 September;5
6128;Nat. person with sole proprietorship;40 to 44 years;2018 3rd quarter;20
6129;Nat. person with sole proprietorship;40 to 44 years;2018 October;4
6130;Nat. person with sole proprietorship;40 to 44 years;2018 November;5
6131;Nat. person with sole proprietorship;40 to 44 years;2018 December;5
6132;Nat. person with sole proprietorship;40 to 44 years;2018 4th quarter;14
6133;Nat. person with sole proprietorship;40 to 44 years;2018;78
6134;Nat. person with sole proprietorship;40 to 44 years;2019 January;16
6135;Nat. person with sole proprietorship;40 to 44 years;2019 February;9
6136;Nat. person with sole proprietorship;40 to 44 years;2019 March;4
6137;Nat. person with sole proprietorship;40 to 44 years;2019 1st quarter;29
6138;Nat. person with sole proprietorship;40 to 44 years;2019 April;9
6139;Nat. person with sole proprietorship;40 to 44 years;2019 May;6
6140;Nat. person with sole proprietorship;40 to 44 years;2019 June;5
6141;Nat. person with sole proprietorship;40 to 44 years;2019 2nd quarter;20
6142;Nat. person with sole proprietorship;40 to 44 years;2019 July;8
6143;Nat. person with sole proprietorship;40 to 44 years;2019 August;4
6144;Nat. person with sole proprietorship;40 to 44 years;2019 September;7
6145;Nat. person with sole proprietorship;40 to 44 years;2019 3rd quarter;19
6146;Nat. person with sole proprietorship;40 to 44 years;2019 October;8
6147;Nat. person with sole proprietorship;40 to 44 years;2019 November;4
6148;Nat. person with sole proprietorship;40 to 44 years;2019 December;8
6149;Nat. person with sole proprietorship;40 to 44 years;2019 4th quarter;20
6150;Nat. person with sole proprietorship;40 to 44 years;2019;88
6151;Nat. person with sole proprietorship;40 to 44 years;2020 January;10
6152;Nat. person with sole proprietorship;40 to 44 years;2020 February;10
6153;Nat. person with sole proprietorship;40 to 44 years;2020 March;4
6154;Nat. person with sole proprietorship;40 to 44 years;2020 1st quarter;24
6155;Nat. person with sole proprietorship;40 to 44 years;2020 April;7
6156;Nat. person with sole proprietorship;40 to 44 years;2020 May;3
6157;Nat. person with sole proprietorship;40 to 44 years;2020 June;3
6158;Nat. person with sole proprietorship;40 to 44 years;2020 2nd quarter;13
6159;Nat. person with sole proprietorship;40 to 44 years;2020 July;4
6160;Nat. person with sole proprietorship;40 to 44 years;2020 August;5
6161;Nat. person with sole proprietorship;40 to 44 years;2020 September;10
6162;Nat. person with sole proprietorship;40 to 44 years;2020 3rd quarter;19
6163;Nat. person with sole proprietorship;40 to 44 years;2020 October;2
6164;Nat. person with sole proprietorship;40 to 44 years;2020 November;3
6165;Nat. person with sole proprietorship;40 to 44 years;2020 December;8
6166;Nat. person with sole proprietorship;40 to 44 years;2020 4th quarter;13
6167;Nat. person with sole proprietorship;40 to 44 years;2020;69
6168;Nat. person with sole proprietorship;40 to 44 years;2021 January;3
6169;Nat. person with sole proprietorship;40 to 44 years;2021 February;5
6170;Nat. person with sole proprietorship;40 to 44 years;2021 March;6
6171;Nat. person with sole proprietorship;40 to 44 years;2021 1st quarter;14
6172;Nat. person with sole proprietorship;40 to 44 years;2021 April;6
6173;Nat. person with sole proprietorship;40 to 44 years;2021 May;6
6174;Nat. person with sole proprietorship;40 to 44 years;2021 June;3
6175;Nat. person with sole proprietorship;40 to 44 years;2021 2nd quarter;15
6176;Nat. person with sole proprietorship;40 to 44 years;2021 July;2
6177;Nat. person with sole proprietorship;40 to 44 years;2021 August;5
6178;Nat. person with sole proprietorship;40 to 44 years;2021 September;7
6179;Nat. person with sole proprietorship;40 to 44 years;2021 3rd quarter;14
6180;Nat. person with sole proprietorship;40 to 44 years;2021 October;1
6181;Nat. person with sole proprietorship;40 to 44 years;2021 November;2
6182;Nat. person with sole proprietorship;40 to 44 years;2021 December;3
6183;Nat. person with sole proprietorship;40 to 44 years;2021 4th quarter;6
6184;Nat. person with sole proprietorship;40 to 44 years;2021;49
6185;Nat. person with sole proprietorship;40 to 44 years;2022 January;2
6186;Nat. person with sole proprietorship;40 to 44 years;2022 February;2
6187;Nat. person with sole proprietorship;40 to 44 years;2022 March;1
6188;Nat. person with sole proprietorship;40 to 44 years;2022 1st quarter;5
6189;Nat. person with sole proprietorship;40 to 44 years;2022 April;6
6190;Nat. person with sole proprietorship;40 to 44 years;2022 May;6
6191;Nat. person with sole proprietorship;40 to 44 years;2022 June;7
6192;Nat. person with sole proprietorship;40 to 44 years;2022 2nd quarter;19
6193;Nat. person with sole proprietorship;40 to 44 years;2022 July;6
6194;Nat. person with sole proprietorship;40 to 44 years;2022 August;3
6195;Nat. person with sole proprietorship;40 to 44 years;2022 September;4
6196;Nat. person with sole proprietorship;40 to 44 years;2022 3rd quarter;13
6197;Nat. person with sole proprietorship;40 to 44 years;2022 October;5
6198;Nat. person with sole proprietorship;40 to 44 years;2022 November;8
6199;Nat. person with sole proprietorship;40 to 44 years;2022 December;5
6200;Nat. person with sole proprietorship;40 to 44 years;2022 4th quarter;18
6201;Nat. person with sole proprietorship;40 to 44 years;2022;55
6202;Nat. person with sole proprietorship;40 to 44 years;2023 January;6
6203;Nat. person with sole proprietorship;40 to 44 years;2023 February;5
6204;Nat. person with sole proprietorship;40 to 44 years;2023 March;3
6205;Nat. person with sole proprietorship;40 to 44 years;2023 1st quarter;14
6206;Nat. person with sole proprietorship;40 to 44 years;2023 April;0
6207;Nat. person with sole proprietorship;40 to 44 years;2023 May;8
6208;Nat. person with sole proprietorship;40 to 44 years;2023 June;7
6209;Nat. person with sole proprietorship;40 to 44 years;2023 2nd quarter;15
6210;Nat. person with sole proprietorship;40 to 44 years;2023 July;9
6211;Nat. person with sole proprietorship;40 to 44 years;2023 August;7
6212;Nat. person with sole proprietorship;40 to 44 years;2023 September;8
6213;Nat. person with sole proprietorship;40 to 44 years;2023 3rd quarter;24
6214;Nat. person with sole proprietorship;40 to 44 years;2023 October;11
6215;Nat. person with sole proprietorship;40 to 44 years;2023 November;5
6216;Nat. person with sole proprietorship;40 to 44 years;2023 December;6
6217;Nat. person with sole proprietorship;40 to 44 years;2023 4th quarter;22
6218;Nat. person with sole proprietorship;40 to 44 years;2023;75
6219;Nat. person with sole proprietorship;40 to 44 years;2024 January;15
6220;Nat. person with sole proprietorship;40 to 44 years;2024 February;3
6221;Nat. person with sole proprietorship;40 to 44 years;2024 March;6
6222;Nat. person with sole proprietorship;40 to 44 years;2024 1st quarter;24
6223;Nat. person with sole proprietorship;40 to 44 years;2024 April;8
6224;Nat. person with sole proprietorship;40 to 44 years;2024 May;6
6225;Nat. person with sole proprietorship;40 to 44 years;2024 June;7
6226;Nat. person with sole proprietorship;40 to 44 years;2024 2nd quarter;21
6227;Nat. person with sole proprietorship;40 to 44 years;2024 July;6
6228;Nat. person with sole proprietorship;40 to 44 years;2024 August;7
6229;Nat. person with sole proprietorship;40 to 44 years;2024 September;7
6230;Nat. person with sole proprietorship;40 to 44 years;2024 3rd quarter;20
6231;Nat. person with sole proprietorship;40 to 44 years;2024 October;1
6232;Nat. person with sole proprietorship;40 to 44 years;2024 November;5
6233;Nat. person with sole proprietorship;40 to 44 years;2024 December;5
6234;Nat. person with sole proprietorship;40 to 44 years;2024 4th quarter;11
6235;Nat. person with sole proprietorship;40 to 44 years;2024;76
6236;Nat. person with sole proprietorship;40 to 44 years;2025 January;2
6237;Nat. person with sole proprietorship;40 to 44 years;2025 February;4
6238;Nat. person with sole proprietorship;40 to 44 years;2025 March;6
6239;Nat. person with sole proprietorship;40 to 44 years;2025 1st quarter;12
6240;Nat. person with sole proprietorship;45 to 49 years;2013 January;15
6241;Nat. person with sole proprietorship;45 to 49 years;2013 February;9
6242;Nat. person with sole proprietorship;45 to 49 years;2013 March;28
6243;Nat. person with sole proprietorship;45 to 49 years;2013 1st quarter;52
6244;Nat. person with sole proprietorship;45 to 49 years;2013 April;12
6245;Nat. person with sole proprietorship;45 to 49 years;2013 May;21
6246;Nat. person with sole proprietorship;45 to 49 years;2013 June;19
6247;Nat. person with sole proprietorship;45 to 49 years;2013 2nd quarter;52
6248;Nat. person with sole proprietorship;45 to 49 years;2013 July;13
6249;Nat. person with sole proprietorship;45 to 49 years;2013 August;10
6250;Nat. person with sole proprietorship;45 to 49 years;2013 September;13
6251;Nat. person with sole proprietorship;45 to 49 years;2013 3rd quarter;36
6252;Nat. person with sole proprietorship;45 to 49 years;2013 October;19
6253;Nat. person with sole proprietorship;45 to 49 years;2013 November;22
6254;Nat. person with sole proprietorship;45 to 49 years;2013 December;17
6255;Nat. person with sole proprietorship;45 to 49 years;2013 4th quarter;58
6256;Nat. person with sole proprietorship;45 to 49 years;2013;198
6257;Nat. person with sole proprietorship;45 to 49 years;2014 January;17
6258;Nat. person with sole proprietorship;45 to 49 years;2014 February;7
6259;Nat. person with sole proprietorship;45 to 49 years;2014 March;10
6260;Nat. person with sole proprietorship;45 to 49 years;2014 1st quarter;34
6261;Nat. person with sole proprietorship;45 to 49 years;2014 April;23
6262;Nat. person with sole proprietorship;45 to 49 years;2014 May;13
6263;Nat. person with sole proprietorship;45 to 49 years;2014 June;12
6264;Nat. person with sole proprietorship;45 to 49 years;2014 2nd quarter;48
6265;Nat. person with sole proprietorship;45 to 49 years;2014 July;13
6266;Nat. person with sole proprietorship;45 to 49 years;2014 August;17
6267;Nat. person with sole proprietorship;45 to 49 years;2014 September;13
6268;Nat. person with sole proprietorship;45 to 49 years;2014 3rd quarter;43
6269;Nat. person with sole proprietorship;45 to 49 years;2014 October;15
6270;Nat. person with sole proprietorship;45 to 49 years;2014 November;14
6271;Nat. person with sole proprietorship;45 to 49 years;2014 December;15
6272;Nat. person with sole proprietorship;45 to 49 years;2014 4th quarter;44
6273;Nat. person with sole proprietorship;45 to 49 years;2014;169
6274;Nat. person with sole proprietorship;45 to 49 years;2015 January;13
6275;Nat. person with sole proprietorship;45 to 49 years;2015 February;9
6276;Nat. person with sole proprietorship;45 to 49 years;2015 March;11
6277;Nat. person with sole proprietorship;45 to 49 years;2015 1st quarter;33
6278;Nat. person with sole proprietorship;45 to 49 years;2015 April;14
6279;Nat. person with sole proprietorship;45 to 49 years;2015 May;11
6280;Nat. person with sole proprietorship;45 to 49 years;2015 June;11
6281;Nat. person with sole proprietorship;45 to 49 years;2015 2nd quarter;36
6282;Nat. person with sole proprietorship;45 to 49 years;2015 July;10
6283;Nat. person with sole proprietorship;45 to 49 years;2015 August;9
6284;Nat. person with sole proprietorship;45 to 49 years;2015 September;13
6285;Nat. person with sole proprietorship;45 to 49 years;2015 3rd quarter;32
6286;Nat. person with sole proprietorship;45 to 49 years;2015 October;14
6287;Nat. person with sole proprietorship;45 to 49 years;2015 November;13
6288;Nat. person with sole proprietorship;45 to 49 years;2015 December;15
6289;Nat. person with sole proprietorship;45 to 49 years;2015 4th quarter;42
6290;Nat. person with sole proprietorship;45 to 49 years;2015;143
6291;Nat. person with sole proprietorship;45 to 49 years;2016 January;9
6292;Nat. person with sole proprietorship;45 to 49 years;2016 February;8
6293;Nat. person with sole proprietorship;45 to 49 years;2016 March;12
6294;Nat. person with sole proprietorship;45 to 49 years;2016 1st quarter;29
6295;Nat. person with sole proprietorship;45 to 49 years;2016 April;7
6296;Nat. person with sole proprietorship;45 to 49 years;2016 May;8
6297;Nat. person with sole proprietorship;45 to 49 years;2016 June;8
