ID;OwnerTenant;HouseholdCharacteristics;DwellingCharacteristics;Margins;Periods;SatisfactionWithCurrentDwelling_1;SatisfactionWithLivingEnvironment_2
9041;Total;Duration of residence: 5 to 9 years;Number of rooms: 3;Upper bound 95% confidence interval;2006;84.7;82.8
9042;Total;Duration of residence: 5 to 9 years;Number of rooms: 3;Upper bound 95% confidence interval;2009;86.4;80.9
9043;Total;Duration of residence: 5 to 9 years;Number of rooms: 3;Upper bound 95% confidence interval;2012;85.1;82.0
9044;Total;Duration of residence: 5 to 9 years;Number of rooms: 3;Upper bound 95% confidence interval;2015;82.5;79.3
9045;Total;Duration of residence: 5 to 9 years;Number of rooms: 3;Upper bound 95% confidence interval;2018;77.2;79.2
9046;Total;Duration of residence: 5 to 9 years;Number of rooms: 3;Upper bound 95% confidence interval;2021;81.1;81.7
9047;Total;Duration of residence: 5 to 9 years;Number of rooms: 3;Upper bound 95% confidence interval;2024;75.4;78.9
9048;Total;Duration of residence: 5 to 9 years;Number of rooms: 4;Value;2002;85.4;81.9
9049;Total;Duration of residence: 5 to 9 years;Number of rooms: 4;Value;2006;85.6;82.2
9050;Total;Duration of residence: 5 to 9 years;Number of rooms: 4;Value;2009;83.9;79.7
9051;Total;Duration of residence: 5 to 9 years;Number of rooms: 4;Value;2012;85.0;80.6
9052;Total;Duration of residence: 5 to 9 years;Number of rooms: 4;Value;2015;81.1;77.7
9053;Total;Duration of residence: 5 to 9 years;Number of rooms: 4;Value;2018;76.8;78.5
9054;Total;Duration of residence: 5 to 9 years;Number of rooms: 4;Value;2021;80.6;80.6
9055;Total;Duration of residence: 5 to 9 years;Number of rooms: 4;Value;2024;76.1;78.3
9056;Total;Duration of residence: 5 to 9 years;Number of rooms: 4;Lower bound 95% confidence interval;2002;84.1;80.5
9057;Total;Duration of residence: 5 to 9 years;Number of rooms: 4;Lower bound 95% confidence interval;2006;84.3;80.8
9058;Total;Duration of residence: 5 to 9 years;Number of rooms: 4;Lower bound 95% confidence interval;2009;82.4;78.1
9059;Total;Duration of residence: 5 to 9 years;Number of rooms: 4;Lower bound 95% confidence interval;2012;83.4;79.0
9060;Total;Duration of residence: 5 to 9 years;Number of rooms: 4;Lower bound 95% confidence interval;2015;79.3;75.9
9061;Total;Duration of residence: 5 to 9 years;Number of rooms: 4;Lower bound 95% confidence interval;2018;74.6;76.4
9062;Total;Duration of residence: 5 to 9 years;Number of rooms: 4;Lower bound 95% confidence interval;2021;78.2;78.4
9063;Total;Duration of residence: 5 to 9 years;Number of rooms: 4;Lower bound 95% confidence interval;2024;73.3;75.7
9064;Total;Duration of residence: 5 to 9 years;Number of rooms: 4;Upper bound 95% confidence interval;2002;86.6;83.2
9065;Total;Duration of residence: 5 to 9 years;Number of rooms: 4;Upper bound 95% confidence interval;2006;86.8;83.6
9066;Total;Duration of residence: 5 to 9 years;Number of rooms: 4;Upper bound 95% confidence interval;2009;85.3;81.2
9067;Total;Duration of residence: 5 to 9 years;Number of rooms: 4;Upper bound 95% confidence interval;2012;86.4;82.2
9068;Total;Duration of residence: 5 to 9 years;Number of rooms: 4;Upper bound 95% confidence interval;2015;82.8;79.4
9069;Total;Duration of residence: 5 to 9 years;Number of rooms: 4;Upper bound 95% confidence interval;2018;78.9;80.5
9070;Total;Duration of residence: 5 to 9 years;Number of rooms: 4;Upper bound 95% confidence interval;2021;82.7;82.7
9071;Total;Duration of residence: 5 to 9 years;Number of rooms: 4;Upper bound 95% confidence interval;2024;78.6;80.6
9072;Total;Duration of residence: 5 to 9 years;Number of rooms: 5;Value;2002;93.2;87.0
9073;Total;Duration of residence: 5 to 9 years;Number of rooms: 5;Value;2006;91.1;85.8
9074;Total;Duration of residence: 5 to 9 years;Number of rooms: 5;Value;2009;92.5;84.2
9075;Total;Duration of residence: 5 to 9 years;Number of rooms: 5;Value;2012;91.9;84.9
9076;Total;Duration of residence: 5 to 9 years;Number of rooms: 5;Value;2015;88.8;83.3
9077;Total;Duration of residence: 5 to 9 years;Number of rooms: 5;Value;2018;86.9;84.3
9078;Total;Duration of residence: 5 to 9 years;Number of rooms: 5;Value;2021;87.8;85.7
9079;Total;Duration of residence: 5 to 9 years;Number of rooms: 5;Value;2024;87.6;84.6
9080;Total;Duration of residence: 5 to 9 years;Number of rooms: 5;Lower bound 95% confidence interval;2002;92.1;85.6
9081;Total;Duration of residence: 5 to 9 years;Number of rooms: 5;Lower bound 95% confidence interval;2006;89.6;84.1
9082;Total;Duration of residence: 5 to 9 years;Number of rooms: 5;Lower bound 95% confidence interval;2009;91.2;82.6
9083;Total;Duration of residence: 5 to 9 years;Number of rooms: 5;Lower bound 95% confidence interval;2012;90.6;83.3
9084;Total;Duration of residence: 5 to 9 years;Number of rooms: 5;Lower bound 95% confidence interval;2015;87.1;81.4
9085;Total;Duration of residence: 5 to 9 years;Number of rooms: 5;Lower bound 95% confidence interval;2018;84.8;82.2
9086;Total;Duration of residence: 5 to 9 years;Number of rooms: 5;Lower bound 95% confidence interval;2021;85.6;83.5
9087;Total;Duration of residence: 5 to 9 years;Number of rooms: 5;Lower bound 95% confidence interval;2024;85.2;82.1
9088;Total;Duration of residence: 5 to 9 years;Number of rooms: 5;Upper bound 95% confidence interval;2002;94.1;88.3
9089;Total;Duration of residence: 5 to 9 years;Number of rooms: 5;Upper bound 95% confidence interval;2006;92.3;87.2
9090;Total;Duration of residence: 5 to 9 years;Number of rooms: 5;Upper bound 95% confidence interval;2009;93.6;85.7
9091;Total;Duration of residence: 5 to 9 years;Number of rooms: 5;Upper bound 95% confidence interval;2012;93.1;86.5
9092;Total;Duration of residence: 5 to 9 years;Number of rooms: 5;Upper bound 95% confidence interval;2015;90.3;85.1
9093;Total;Duration of residence: 5 to 9 years;Number of rooms: 5;Upper bound 95% confidence interval;2018;88.7;86.2
9094;Total;Duration of residence: 5 to 9 years;Number of rooms: 5;Upper bound 95% confidence interval;2021;89.7;87.7
9095;Total;Duration of residence: 5 to 9 years;Number of rooms: 5;Upper bound 95% confidence interval;2024;89.7;86.9
9096;Total;Duration of residence: 5 to 9 years;Number of rooms: 6;Value;2002;95.1;88.7
9097;Total;Duration of residence: 5 to 9 years;Number of rooms: 6;Value;2006;96.8;87.0
9098;Total;Duration of residence: 5 to 9 years;Number of rooms: 6;Value;2009;96.4;85.5
9099;Total;Duration of residence: 5 to 9 years;Number of rooms: 6;Value;2012;94.5;89.8
9100;Total;Duration of residence: 5 to 9 years;Number of rooms: 6;Value;2015;93.4;87.4
9101;Total;Duration of residence: 5 to 9 years;Number of rooms: 6;Value;2018;91.8;89.3
9102;Total;Duration of residence: 5 to 9 years;Number of rooms: 6;Value;2021;93.3;88.6
9103;Total;Duration of residence: 5 to 9 years;Number of rooms: 6;Value;2024;93.3;88.1
9104;Total;Duration of residence: 5 to 9 years;Number of rooms: 6;Lower bound 95% confidence interval;2002;93.3;86.5
9105;Total;Duration of residence: 5 to 9 years;Number of rooms: 6;Lower bound 95% confidence interval;2006;95.4;84.3
9106;Total;Duration of residence: 5 to 9 years;Number of rooms: 6;Lower bound 95% confidence interval;2009;94.8;82.7
9107;Total;Duration of residence: 5 to 9 years;Number of rooms: 6;Lower bound 95% confidence interval;2012;92.6;87.4
9108;Total;Duration of residence: 5 to 9 years;Number of rooms: 6;Lower bound 95% confidence interval;2015;91.4;84.9
9109;Total;Duration of residence: 5 to 9 years;Number of rooms: 6;Lower bound 95% confidence interval;2018;89.0;86.3
9110;Total;Duration of residence: 5 to 9 years;Number of rooms: 6;Lower bound 95% confidence interval;2021;90.7;85.6
9111;Total;Duration of residence: 5 to 9 years;Number of rooms: 6;Lower bound 95% confidence interval;2024;90.6;84.5
9112;Total;Duration of residence: 5 to 9 years;Number of rooms: 6;Upper bound 95% confidence interval;2002;96.4;90.6
9113;Total;Duration of residence: 5 to 9 years;Number of rooms: 6;Upper bound 95% confidence interval;2006;97.8;89.2
9114;Total;Duration of residence: 5 to 9 years;Number of rooms: 6;Upper bound 95% confidence interval;2009;97.5;87.8
9115;Total;Duration of residence: 5 to 9 years;Number of rooms: 6;Upper bound 95% confidence interval;2012;95.9;91.7
9116;Total;Duration of residence: 5 to 9 years;Number of rooms: 6;Upper bound 95% confidence interval;2015;94.9;89.5
9117;Total;Duration of residence: 5 to 9 years;Number of rooms: 6;Upper bound 95% confidence interval;2018;93.9;91.8
9118;Total;Duration of residence: 5 to 9 years;Number of rooms: 6;Upper bound 95% confidence interval;2021;95.2;91.0
9119;Total;Duration of residence: 5 to 9 years;Number of rooms: 6;Upper bound 95% confidence interval;2024;95.3;90.9
9120;Total;Duration of residence: 5 to 9 years;Number of rooms: 7 or more;Value;2002;96.6;92.1
9121;Total;Duration of residence: 5 to 9 years;Number of rooms: 7 or more;Value;2006;97.4;90.8
9122;Total;Duration of residence: 5 to 9 years;Number of rooms: 7 or more;Value;2009;96.5;90.5
9123;Total;Duration of residence: 5 to 9 years;Number of rooms: 7 or more;Value;2012;97.6;91.0
9124;Total;Duration of residence: 5 to 9 years;Number of rooms: 7 or more;Value;2015;94.4;89.5
9125;Total;Duration of residence: 5 to 9 years;Number of rooms: 7 or more;Value;2018;95.2;92.3
9126;Total;Duration of residence: 5 to 9 years;Number of rooms: 7 or more;Value;2021;94.1;95.4
9127;Total;Duration of residence: 5 to 9 years;Number of rooms: 7 or more;Value;2024;91.3;88.8
9128;Total;Duration of residence: 5 to 9 years;Number of rooms: 7 or more;Lower bound 95% confidence interval;2002;94.1;89.6
9129;Total;Duration of residence: 5 to 9 years;Number of rooms: 7 or more;Lower bound 95% confidence interval;2006;95.7;87.7
9130;Total;Duration of residence: 5 to 9 years;Number of rooms: 7 or more;Lower bound 95% confidence interval;2009;94.3;87.4
9131;Total;Duration of residence: 5 to 9 years;Number of rooms: 7 or more;Lower bound 95% confidence interval;2012;95.9;88.1
9132;Total;Duration of residence: 5 to 9 years;Number of rooms: 7 or more;Lower bound 95% confidence interval;2015;91.9;86.5
9133;Total;Duration of residence: 5 to 9 years;Number of rooms: 7 or more;Lower bound 95% confidence interval;2018;92.5;89.2
9134;Total;Duration of residence: 5 to 9 years;Number of rooms: 7 or more;Lower bound 95% confidence interval;2021;91.3;92.9
9135;Total;Duration of residence: 5 to 9 years;Number of rooms: 7 or more;Lower bound 95% confidence interval;2024;86.3;83.9
9136;Total;Duration of residence: 5 to 9 years;Number of rooms: 7 or more;Upper bound 95% confidence interval;2002;98.1;94.1
9137;Total;Duration of residence: 5 to 9 years;Number of rooms: 7 or more;Upper bound 95% confidence interval;2006;98.5;93.2
9138;Total;Duration of residence: 5 to 9 years;Number of rooms: 7 or more;Upper bound 95% confidence interval;2009;97.9;92.8
9139;Total;Duration of residence: 5 to 9 years;Number of rooms: 7 or more;Upper bound 95% confidence interval;2012;98.7;93.2
9140;Total;Duration of residence: 5 to 9 years;Number of rooms: 7 or more;Upper bound 95% confidence interval;2015;96.2;91.9
9141;Total;Duration of residence: 5 to 9 years;Number of rooms: 7 or more;Upper bound 95% confidence interval;2018;97.0;94.5
9142;Total;Duration of residence: 5 to 9 years;Number of rooms: 7 or more;Upper bound 95% confidence interval;2021;96.0;97.1
9143;Total;Duration of residence: 5 to 9 years;Number of rooms: 7 or more;Upper bound 95% confidence interval;2024;94.5;92.4
9144;Total;Duration of residence: 5 to 9 years;Year of construction: 1000 to 1945;Value;2002;82.5;81.5
9145;Total;Duration of residence: 5 to 9 years;Year of construction: 1000 to 1945;Value;2006;83.1;82.8
9146;Total;Duration of residence: 5 to 9 years;Year of construction: 1000 to 1945;Value;2009;86.0;81.9
9147;Total;Duration of residence: 5 to 9 years;Year of construction: 1000 to 1945;Value;2012;85.5;82.5
9148;Total;Duration of residence: 5 to 9 years;Year of construction: 1000 to 1945;Value;2015;82.4;82.6
9149;Total;Duration of residence: 5 to 9 years;Year of construction: 1000 to 1945;Value;2018;80.1;83.7
9150;Total;Duration of residence: 5 to 9 years;Year of construction: 1000 to 1945;Value;2021;79.9;83.7
9151;Total;Duration of residence: 5 to 9 years;Year of construction: 1000 to 1945;Value;2024;76.8;82.6
9152;Total;Duration of residence: 5 to 9 years;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2002;80.5;79.6
9153;Total;Duration of residence: 5 to 9 years;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2006;81.0;80.7
9154;Total;Duration of residence: 5 to 9 years;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2009;84.0;79.8
9155;Total;Duration of residence: 5 to 9 years;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2012;83.3;80.3
9156;Total;Duration of residence: 5 to 9 years;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2015;80.1;80.4
9157;Total;Duration of residence: 5 to 9 years;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2018;77.1;81.1
9158;Total;Duration of residence: 5 to 9 years;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2021;76.9;81.0
9159;Total;Duration of residence: 5 to 9 years;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2024;73.1;79.3
9160;Total;Duration of residence: 5 to 9 years;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2002;84.3;83.3
9161;Total;Duration of residence: 5 to 9 years;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2006;85.0;84.6
9162;Total;Duration of residence: 5 to 9 years;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2009;87.7;83.7
9163;Total;Duration of residence: 5 to 9 years;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2012;87.4;84.5
9164;Total;Duration of residence: 5 to 9 years;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2015;84.5;84.7
9165;Total;Duration of residence: 5 to 9 years;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2018;82.7;86.1
9166;Total;Duration of residence: 5 to 9 years;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2021;82.7;86.0
9167;Total;Duration of residence: 5 to 9 years;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2024;80.1;85.5
9168;Total;Duration of residence: 5 to 9 years;Year of construction: 1946 to 1970;Value;2002;80.0;79.0
9169;Total;Duration of residence: 5 to 9 years;Year of construction: 1946 to 1970;Value;2006;79.9;79.6
9170;Total;Duration of residence: 5 to 9 years;Year of construction: 1946 to 1970;Value;2009;78.6;76.5
9171;Total;Duration of residence: 5 to 9 years;Year of construction: 1946 to 1970;Value;2012;79.0;77.2
9172;Total;Duration of residence: 5 to 9 years;Year of construction: 1946 to 1970;Value;2015;74.3;74.7
9173;Total;Duration of residence: 5 to 9 years;Year of construction: 1946 to 1970;Value;2018;68.0;74.5
9174;Total;Duration of residence: 5 to 9 years;Year of construction: 1946 to 1970;Value;2021;72.5;75.8
9175;Total;Duration of residence: 5 to 9 years;Year of construction: 1946 to 1970;Value;2024;69.6;75.0
9176;Total;Duration of residence: 5 to 9 years;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2002;78.4;77.3
9177;Total;Duration of residence: 5 to 9 years;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2006;78.2;77.9
9178;Total;Duration of residence: 5 to 9 years;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2009;76.7;74.7
9179;Total;Duration of residence: 5 to 9 years;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2012;77.0;75.3
9180;Total;Duration of residence: 5 to 9 years;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2015;72.1;72.6
9181;Total;Duration of residence: 5 to 9 years;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2018;65.4;72.1
9182;Total;Duration of residence: 5 to 9 years;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2021;69.6;73.1
9183;Total;Duration of residence: 5 to 9 years;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2024;66.3;71.9
9184;Total;Duration of residence: 5 to 9 years;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2002;81.6;80.6
9185;Total;Duration of residence: 5 to 9 years;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2006;81.5;81.2
9186;Total;Duration of residence: 5 to 9 years;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2009;80.3;78.3
9187;Total;Duration of residence: 5 to 9 years;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2012;80.8;79.1
9188;Total;Duration of residence: 5 to 9 years;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2015;76.4;76.8
9189;Total;Duration of residence: 5 to 9 years;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2018;70.4;76.8
9190;Total;Duration of residence: 5 to 9 years;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2021;75.1;78.3
9191;Total;Duration of residence: 5 to 9 years;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2024;72.7;77.9
9192;Total;Duration of residence: 5 to 9 years;Year of construction: 1971 to 1985;Value;2002;87.6;82.6
9193;Total;Duration of residence: 5 to 9 years;Year of construction: 1971 to 1985;Value;2006;86.5;84.1
9194;Total;Duration of residence: 5 to 9 years;Year of construction: 1971 to 1985;Value;2009;86.2;79.4
9195;Total;Duration of residence: 5 to 9 years;Year of construction: 1971 to 1985;Value;2012;85.6;79.2
9196;Total;Duration of residence: 5 to 9 years;Year of construction: 1971 to 1985;Value;2015;80.9;78.5
9197;Total;Duration of residence: 5 to 9 years;Year of construction: 1971 to 1985;Value;2018;77.7;78.8
9198;Total;Duration of residence: 5 to 9 years;Year of construction: 1971 to 1985;Value;2021;81.3;81.7
9199;Total;Duration of residence: 5 to 9 years;Year of construction: 1971 to 1985;Value;2024;76.4;77.3
9200;Total;Duration of residence: 5 to 9 years;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2002;86.2;81.0
9201;Total;Duration of residence: 5 to 9 years;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2006;84.9;82.4
9202;Total;Duration of residence: 5 to 9 years;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2009;84.4;77.4
9203;Total;Duration of residence: 5 to 9 years;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2012;83.8;77.1
9204;Total;Duration of residence: 5 to 9 years;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2015;78.7;76.3
9205;Total;Duration of residence: 5 to 9 years;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2018;75.2;76.4
9206;Total;Duration of residence: 5 to 9 years;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2021;78.7;79.2
9207;Total;Duration of residence: 5 to 9 years;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2024;73.1;74.2
9208;Total;Duration of residence: 5 to 9 years;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2002;88.9;84.1
9209;Total;Duration of residence: 5 to 9 years;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2006;87.9;85.6
9210;Total;Duration of residence: 5 to 9 years;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2009;87.8;81.3
9211;Total;Duration of residence: 5 to 9 years;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2012;87.3;81.1
9212;Total;Duration of residence: 5 to 9 years;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2015;82.9;80.5
9213;Total;Duration of residence: 5 to 9 years;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2018;79.9;81.0
9214;Total;Duration of residence: 5 to 9 years;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2021;83.6;83.9
9215;Total;Duration of residence: 5 to 9 years;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2024;79.4;80.2
9216;Total;Duration of residence: 5 to 9 years;Year of construction: 1986 to 2000;Value;2002;94.6;88.2
9217;Total;Duration of residence: 5 to 9 years;Year of construction: 1986 to 2000;Value;2006;93.6;86.9
9218;Total;Duration of residence: 5 to 9 years;Year of construction: 1986 to 2000;Value;2009;93.3;85.6
9219;Total;Duration of residence: 5 to 9 years;Year of construction: 1986 to 2000;Value;2012;91.5;86.5
9220;Total;Duration of residence: 5 to 9 years;Year of construction: 1986 to 2000;Value;2015;89.1;84.3
9221;Total;Duration of residence: 5 to 9 years;Year of construction: 1986 to 2000;Value;2018;82.1;83.6
9222;Total;Duration of residence: 5 to 9 years;Year of construction: 1986 to 2000;Value;2021;88.0;86.6
9223;Total;Duration of residence: 5 to 9 years;Year of construction: 1986 to 2000;Value;2024;82.9;84.3
9224;Total;Duration of residence: 5 to 9 years;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2002;93.8;87.1
9225;Total;Duration of residence: 5 to 9 years;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2006;92.5;85.6
9226;Total;Duration of residence: 5 to 9 years;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2009;92.1;83.9
9227;Total;Duration of residence: 5 to 9 years;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2012;89.7;84.4
9228;Total;Duration of residence: 5 to 9 years;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2015;87.2;82.3
9229;Total;Duration of residence: 5 to 9 years;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2018;79.5;81.2
9230;Total;Duration of residence: 5 to 9 years;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2021;85.5;84.1
9231;Total;Duration of residence: 5 to 9 years;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2024;79.8;81.3
9232;Total;Duration of residence: 5 to 9 years;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2002;95.4;89.2
9233;Total;Duration of residence: 5 to 9 years;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2006;94.4;88.1
9234;Total;Duration of residence: 5 to 9 years;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2009;94.3;87.1
9235;Total;Duration of residence: 5 to 9 years;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2012;92.9;88.3
9236;Total;Duration of residence: 5 to 9 years;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2015;90.8;86.2
9237;Total;Duration of residence: 5 to 9 years;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2018;84.5;85.8
9238;Total;Duration of residence: 5 to 9 years;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2021;90.1;88.7
9239;Total;Duration of residence: 5 to 9 years;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2024;85.6;86.8
9240;Total;Duration of residence: 5 to 9 years;Year of construction: from 2001;Value;2002;;
9241;Total;Duration of residence: 5 to 9 years;Year of construction: from 2001;Value;2006;96.2;82.0
9242;Total;Duration of residence: 5 to 9 years;Year of construction: from 2001;Value;2009;93.5;85.0
9243;Total;Duration of residence: 5 to 9 years;Year of construction: from 2001;Value;2012;94.6;88.0
9244;Total;Duration of residence: 5 to 9 years;Year of construction: from 2001;Value;2015;91.5;82.6
9245;Total;Duration of residence: 5 to 9 years;Year of construction: from 2001;Value;2018;91.2;85.5
9246;Total;Duration of residence: 5 to 9 years;Year of construction: from 2001;Value;2021;91.1;88.0
9247;Total;Duration of residence: 5 to 9 years;Year of construction: from 2001;Value;2024;90.2;83.8
9248;Total;Duration of residence: 5 to 9 years;Year of construction: from 2001;Lower bound 95% confidence interval;2002;;
9249;Total;Duration of residence: 5 to 9 years;Year of construction: from 2001;Lower bound 95% confidence interval;2006;92.9;76.6
9250;Total;Duration of residence: 5 to 9 years;Year of construction: from 2001;Lower bound 95% confidence interval;2009;92.0;83.1
9251;Total;Duration of residence: 5 to 9 years;Year of construction: from 2001;Lower bound 95% confidence interval;2012;93.4;86.5
9252;Total;Duration of residence: 5 to 9 years;Year of construction: from 2001;Lower bound 95% confidence interval;2015;90.1;80.7
9253;Total;Duration of residence: 5 to 9 years;Year of construction: from 2001;Lower bound 95% confidence interval;2018;89.5;83.6
9254;Total;Duration of residence: 5 to 9 years;Year of construction: from 2001;Lower bound 95% confidence interval;2021;89.2;86.1
9255;Total;Duration of residence: 5 to 9 years;Year of construction: from 2001;Lower bound 95% confidence interval;2024;88.1;81.4
9256;Total;Duration of residence: 5 to 9 years;Year of construction: from 2001;Upper bound 95% confidence interval;2002;;
9257;Total;Duration of residence: 5 to 9 years;Year of construction: from 2001;Upper bound 95% confidence interval;2006;98.0;86.4
9258;Total;Duration of residence: 5 to 9 years;Year of construction: from 2001;Upper bound 95% confidence interval;2009;94.8;86.8
9259;Total;Duration of residence: 5 to 9 years;Year of construction: from 2001;Upper bound 95% confidence interval;2012;95.6;89.4
9260;Total;Duration of residence: 5 to 9 years;Year of construction: from 2001;Upper bound 95% confidence interval;2015;92.8;84.3
9261;Total;Duration of residence: 5 to 9 years;Year of construction: from 2001;Upper bound 95% confidence interval;2018;92.6;87.2
9262;Total;Duration of residence: 5 to 9 years;Year of construction: from 2001;Upper bound 95% confidence interval;2021;92.7;89.6
9263;Total;Duration of residence: 5 to 9 years;Year of construction: from 2001;Upper bound 95% confidence interval;2024;92.0;86.0
9264;Total;Duration of residence: 5 to 9 years;Dwelling: 1st 25%-group WOZ;Value;2002;;
9265;Total;Duration of residence: 5 to 9 years;Dwelling: 1st 25%-group WOZ;Value;2006;;
9266;Total;Duration of residence: 5 to 9 years;Dwelling: 1st 25%-group WOZ;Value;2009;;
9267;Total;Duration of residence: 5 to 9 years;Dwelling: 1st 25%-group WOZ;Value;2012;73.9;72.0
9268;Total;Duration of residence: 5 to 9 years;Dwelling: 1st 25%-group WOZ;Value;2015;68.8;68.7
9269;Total;Duration of residence: 5 to 9 years;Dwelling: 1st 25%-group WOZ;Value;2018;63.6;69.7
9270;Total;Duration of residence: 5 to 9 years;Dwelling: 1st 25%-group WOZ;Value;2021;68.1;73.2
9271;Total;Duration of residence: 5 to 9 years;Dwelling: 1st 25%-group WOZ;Value;2024;65.4;72.6
9272;Total;Duration of residence: 5 to 9 years;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2002;;
9273;Total;Duration of residence: 5 to 9 years;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2006;;
9274;Total;Duration of residence: 5 to 9 years;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2009;;
9275;Total;Duration of residence: 5 to 9 years;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2012;71.9;69.9
9276;Total;Duration of residence: 5 to 9 years;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2015;66.6;66.6
9277;Total;Duration of residence: 5 to 9 years;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2018;61.2;67.4
9278;Total;Duration of residence: 5 to 9 years;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2021;65.4;70.7
9279;Total;Duration of residence: 5 to 9 years;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2024;62.3;69.7
9280;Total;Duration of residence: 5 to 9 years;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2002;;
9281;Total;Duration of residence: 5 to 9 years;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2006;;
9282;Total;Duration of residence: 5 to 9 years;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2009;;
9283;Total;Duration of residence: 5 to 9 years;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2012;75.9;74.0
9284;Total;Duration of residence: 5 to 9 years;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2015;70.9;70.8
9285;Total;Duration of residence: 5 to 9 years;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2018;65.9;71.9
9286;Total;Duration of residence: 5 to 9 years;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2021;70.6;75.6
9287;Total;Duration of residence: 5 to 9 years;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2024;68.4;75.4
