ID;InstitutionalSectors;TransactionsAndBalancingItems;Periods;GovernmentProductionAndConsumption_1
5261;Public water boards;D29 Other taxes on production;2007;33
5262;Public water boards;D29 Other taxes on production;2008;37
5263;Public water boards;D29 Other taxes on production;2009;34
5264;Public water boards;D29 Other taxes on production;2010;13
5265;Public water boards;D29 Other taxes on production;2011;14
5266;Public water boards;D29 Other taxes on production;2012;16
5267;Public water boards;D29 Other taxes on production;2013;17
5268;Public water boards;D29 Other taxes on production;2014;20
5269;Public water boards;D29 Other taxes on production;2015;13
5270;Public water boards;D29 Other taxes on production;2016;15
5271;Public water boards;D29 Other taxes on production;2017;16
5272;Public water boards;D29 Other taxes on production;2018;16
5273;Public water boards;D29 Other taxes on production;2019;16
5274;Public water boards;D29 Other taxes on production;2020;17
5275;Public water boards;D29 Other taxes on production;2021;16
5276;Public water boards;D29 Other taxes on production;2022;17
5277;Public water boards;D29 Other taxes on production;2023;20
5278;Public water boards;D39 Other subsidies on production;1995;0
5279;Public water boards;D39 Other subsidies on production;1996;0
5280;Public water boards;D39 Other subsidies on production;1997;0
5281;Public water boards;D39 Other subsidies on production;1998;0
5282;Public water boards;D39 Other subsidies on production;1999;0
5283;Public water boards;D39 Other subsidies on production;2000;0
5284;Public water boards;D39 Other subsidies on production;2001;0
5285;Public water boards;D39 Other subsidies on production;2002;0
5286;Public water boards;D39 Other subsidies on production;2003;0
5287;Public water boards;D39 Other subsidies on production;2004;0
5288;Public water boards;D39 Other subsidies on production;2005;0
5289;Public water boards;D39 Other subsidies on production;2006;0
5290;Public water boards;D39 Other subsidies on production;2007;0
5291;Public water boards;D39 Other subsidies on production;2008;0
5292;Public water boards;D39 Other subsidies on production;2009;0
5293;Public water boards;D39 Other subsidies on production;2010;-1
5294;Public water boards;D39 Other subsidies on production;2011;0
5295;Public water boards;D39 Other subsidies on production;2012;0
5296;Public water boards;D39 Other subsidies on production;2013;0
5297;Public water boards;D39 Other subsidies on production;2014;0
5298;Public water boards;D39 Other subsidies on production;2015;0
5299;Public water boards;D39 Other subsidies on production;2016;0
5300;Public water boards;D39 Other subsidies on production;2017;0
5301;Public water boards;D39 Other subsidies on production;2018;0
5302;Public water boards;D39 Other subsidies on production;2019;0
5303;Public water boards;D39 Other subsidies on production;2020;0
5304;Public water boards;D39 Other subsidies on production;2021;0
5305;Public water boards;D39 Other subsidies on production;2022;0
5306;Public water boards;D39 Other subsidies on production;2023;0
5307;Public water boards;B2n Net operating surplus;1995;0
5308;Public water boards;B2n Net operating surplus;1996;0
5309;Public water boards;B2n Net operating surplus;1997;0
5310;Public water boards;B2n Net operating surplus;1998;0
5311;Public water boards;B2n Net operating surplus;1999;0
5312;Public water boards;B2n Net operating surplus;2000;0
5313;Public water boards;B2n Net operating surplus;2001;0
5314;Public water boards;B2n Net operating surplus;2002;0
5315;Public water boards;B2n Net operating surplus;2003;0
5316;Public water boards;B2n Net operating surplus;2004;0
5317;Public water boards;B2n Net operating surplus;2005;0
5318;Public water boards;B2n Net operating surplus;2006;0
5319;Public water boards;B2n Net operating surplus;2007;0
5320;Public water boards;B2n Net operating surplus;2008;0
5321;Public water boards;B2n Net operating surplus;2009;0
5322;Public water boards;B2n Net operating surplus;2010;0
5323;Public water boards;B2n Net operating surplus;2011;0
5324;Public water boards;B2n Net operating surplus;2012;0
5325;Public water boards;B2n Net operating surplus;2013;0
5326;Public water boards;B2n Net operating surplus;2014;0
5327;Public water boards;B2n Net operating surplus;2015;0
5328;Public water boards;B2n Net operating surplus;2016;0
5329;Public water boards;B2n Net operating surplus;2017;0
5330;Public water boards;B2n Net operating surplus;2018;0
5331;Public water boards;B2n Net operating surplus;2019;0
5332;Public water boards;B2n Net operating surplus;2020;0
5333;Public water boards;B2n Net operating surplus;2021;0
5334;Public water boards;B2n Net operating surplus;2022;0
5335;Public water boards;B2n Net operating surplus;2023;0
5336;Public water boards;P3 Final consumption expenditure;1995;1052
5337;Public water boards;P3 Final consumption expenditure;1996;1052
5338;Public water boards;P3 Final consumption expenditure;1997;1080
5339;Public water boards;P3 Final consumption expenditure;1998;1181
5340;Public water boards;P3 Final consumption expenditure;1999;1273
5341;Public water boards;P3 Final consumption expenditure;2000;1395
5342;Public water boards;P3 Final consumption expenditure;2001;1334
5343;Public water boards;P3 Final consumption expenditure;2002;1520
5344;Public water boards;P3 Final consumption expenditure;2003;1747
5345;Public water boards;P3 Final consumption expenditure;2004;1796
5346;Public water boards;P3 Final consumption expenditure;2005;1824
5347;Public water boards;P3 Final consumption expenditure;2006;1739
5348;Public water boards;P3 Final consumption expenditure;2007;1800
5349;Public water boards;P3 Final consumption expenditure;2008;1864
5350;Public water boards;P3 Final consumption expenditure;2009;2015
5351;Public water boards;P3 Final consumption expenditure;2010;2074
5352;Public water boards;P3 Final consumption expenditure;2011;2161
5353;Public water boards;P3 Final consumption expenditure;2012;2224
5354;Public water boards;P3 Final consumption expenditure;2013;2249
5355;Public water boards;P3 Final consumption expenditure;2014;2246
5356;Public water boards;P3 Final consumption expenditure;2015;2347
5357;Public water boards;P3 Final consumption expenditure;2016;2322
5358;Public water boards;P3 Final consumption expenditure;2017;2339
5359;Public water boards;P3 Final consumption expenditure;2018;2423
5360;Public water boards;P3 Final consumption expenditure;2019;2590
5361;Public water boards;P3 Final consumption expenditure;2020;2779
5362;Public water boards;P3 Final consumption expenditure;2021;2916
5363;Public water boards;P3 Final consumption expenditure;2022;3057
5364;Public water boards;P3 Final consumption expenditure;2023;3276
5365;Public water boards;P31 Individual final consumption expen..;1995;0
5366;Public water boards;P31 Individual final consumption expen..;1996;0
5367;Public water boards;P31 Individual final consumption expen..;1997;0
5368;Public water boards;P31 Individual final consumption expen..;1998;0
5369;Public water boards;P31 Individual final consumption expen..;1999;0
5370;Public water boards;P31 Individual final consumption expen..;2000;0
5371;Public water boards;P31 Individual final consumption expen..;2001;0
5372;Public water boards;P31 Individual final consumption expen..;2002;0
5373;Public water boards;P31 Individual final consumption expen..;2003;0
5374;Public water boards;P31 Individual final consumption expen..;2004;0
5375;Public water boards;P31 Individual final consumption expen..;2005;0
5376;Public water boards;P31 Individual final consumption expen..;2006;0
5377;Public water boards;P31 Individual final consumption expen..;2007;0
5378;Public water boards;P31 Individual final consumption expen..;2008;0
5379;Public water boards;P31 Individual final consumption expen..;2009;0
5380;Public water boards;P31 Individual final consumption expen..;2010;0
5381;Public water boards;P31 Individual final consumption expen..;2011;0
5382;Public water boards;P31 Individual final consumption expen..;2012;0
5383;Public water boards;P31 Individual final consumption expen..;2013;0
5384;Public water boards;P31 Individual final consumption expen..;2014;0
5385;Public water boards;P31 Individual final consumption expen..;2015;0
5386;Public water boards;P31 Individual final consumption expen..;2016;0
5387;Public water boards;P31 Individual final consumption expen..;2017;0
5388;Public water boards;P31 Individual final consumption expen..;2018;0
5389;Public water boards;P31 Individual final consumption expen..;2019;0
5390;Public water boards;P31 Individual final consumption expen..;2020;0
5391;Public water boards;P31 Individual final consumption expen..;2021;0
5392;Public water boards;P31 Individual final consumption expen..;2022;0
5393;Public water boards;P31 Individual final consumption expen..;2023;0
5394;Public water boards;D631 Transfers in kind non-market produc;1995;0
5395;Public water boards;D631 Transfers in kind non-market produc;1996;0
5396;Public water boards;D631 Transfers in kind non-market produc;1997;0
5397;Public water boards;D631 Transfers in kind non-market produc;1998;0
5398;Public water boards;D631 Transfers in kind non-market produc;1999;0
5399;Public water boards;D631 Transfers in kind non-market produc;2000;0
5400;Public water boards;D631 Transfers in kind non-market produc;2001;0
5401;Public water boards;D631 Transfers in kind non-market produc;2002;0
5402;Public water boards;D631 Transfers in kind non-market produc;2003;0
5403;Public water boards;D631 Transfers in kind non-market produc;2004;0
5404;Public water boards;D631 Transfers in kind non-market produc;2005;0
5405;Public water boards;D631 Transfers in kind non-market produc;2006;0
5406;Public water boards;D631 Transfers in kind non-market produc;2007;0
5407;Public water boards;D631 Transfers in kind non-market produc;2008;0
5408;Public water boards;D631 Transfers in kind non-market produc;2009;0
5409;Public water boards;D631 Transfers in kind non-market produc;2010;0
5410;Public water boards;D631 Transfers in kind non-market produc;2011;0
5411;Public water boards;D631 Transfers in kind non-market produc;2012;0
5412;Public water boards;D631 Transfers in kind non-market produc;2013;0
5413;Public water boards;D631 Transfers in kind non-market produc;2014;0
5414;Public water boards;D631 Transfers in kind non-market produc;2015;0
5415;Public water boards;D631 Transfers in kind non-market produc;2016;0
5416;Public water boards;D631 Transfers in kind non-market produc;2017;0
5417;Public water boards;D631 Transfers in kind non-market produc;2018;0
5418;Public water boards;D631 Transfers in kind non-market produc;2019;0
5419;Public water boards;D631 Transfers in kind non-market produc;2020;0
5420;Public water boards;D631 Transfers in kind non-market produc;2021;0
5421;Public water boards;D631 Transfers in kind non-market produc;2022;0
5422;Public water boards;D631 Transfers in kind non-market produc;2023;0
5423;Public water boards;D632 Social transfers in kind via mark..;1995;0
5424;Public water boards;D632 Social transfers in kind via mark..;1996;0
5425;Public water boards;D632 Social transfers in kind via mark..;1997;0
5426;Public water boards;D632 Social transfers in kind via mark..;1998;0
5427;Public water boards;D632 Social transfers in kind via mark..;1999;0
5428;Public water boards;D632 Social transfers in kind via mark..;2000;0
5429;Public water boards;D632 Social transfers in kind via mark..;2001;0
5430;Public water boards;D632 Social transfers in kind via mark..;2002;0
5431;Public water boards;D632 Social transfers in kind via mark..;2003;0
5432;Public water boards;D632 Social transfers in kind via mark..;2004;0
5433;Public water boards;D632 Social transfers in kind via mark..;2005;0
5434;Public water boards;D632 Social transfers in kind via mark..;2006;0
5435;Public water boards;D632 Social transfers in kind via mark..;2007;0
5436;Public water boards;D632 Social transfers in kind via mark..;2008;0
5437;Public water boards;D632 Social transfers in kind via mark..;2009;0
5438;Public water boards;D632 Social transfers in kind via mark..;2010;0
5439;Public water boards;D632 Social transfers in kind via mark..;2011;0
5440;Public water boards;D632 Social transfers in kind via mark..;2012;0
5441;Public water boards;D632 Social transfers in kind via mark..;2013;0
5442;Public water boards;D632 Social transfers in kind via mark..;2014;0
5443;Public water boards;D632 Social transfers in kind via mark..;2015;0
5444;Public water boards;D632 Social transfers in kind via mark..;2016;0
5445;Public water boards;D632 Social transfers in kind via mark..;2017;0
5446;Public water boards;D632 Social transfers in kind via mark..;2018;0
5447;Public water boards;D632 Social transfers in kind via mark..;2019;0
5448;Public water boards;D632 Social transfers in kind via mark..;2020;0
5449;Public water boards;D632 Social transfers in kind via mark..;2021;0
5450;Public water boards;D632 Social transfers in kind via mark..;2022;0
5451;Public water boards;D632 Social transfers in kind via mark..;2023;0
5452;Public water boards;P32 Collective final consumption expen..;1995;1052
5453;Public water boards;P32 Collective final consumption expen..;1996;1052
5454;Public water boards;P32 Collective final consumption expen..;1997;1080
5455;Public water boards;P32 Collective final consumption expen..;1998;1181
5456;Public water boards;P32 Collective final consumption expen..;1999;1273
5457;Public water boards;P32 Collective final consumption expen..;2000;1395
5458;Public water boards;P32 Collective final consumption expen..;2001;1334
5459;Public water boards;P32 Collective final consumption expen..;2002;1520
5460;Public water boards;P32 Collective final consumption expen..;2003;1747
5461;Public water boards;P32 Collective final consumption expen..;2004;1796
5462;Public water boards;P32 Collective final consumption expen..;2005;1824
5463;Public water boards;P32 Collective final consumption expen..;2006;1739
5464;Public water boards;P32 Collective final consumption expen..;2007;1800
5465;Public water boards;P32 Collective final consumption expen..;2008;1864
5466;Public water boards;P32 Collective final consumption expen..;2009;2015
5467;Public water boards;P32 Collective final consumption expen..;2010;2074
5468;Public water boards;P32 Collective final consumption expen..;2011;2161
5469;Public water boards;P32 Collective final consumption expen..;2012;2224
5470;Public water boards;P32 Collective final consumption expen..;2013;2249
5471;Public water boards;P32 Collective final consumption expen..;2014;2246
5472;Public water boards;P32 Collective final consumption expen..;2015;2347
5473;Public water boards;P32 Collective final consumption expen..;2016;2322
5474;Public water boards;P32 Collective final consumption expen..;2017;2339
5475;Public water boards;P32 Collective final consumption expen..;2018;2423
5476;Public water boards;P32 Collective final consumption expen..;2019;2590
5477;Public water boards;P32 Collective final consumption expen..;2020;2779
5478;Public water boards;P32 Collective final consumption expen..;2021;2916
5479;Public water boards;P32 Collective final consumption expen..;2022;3057
5480;Public water boards;P32 Collective final consumption expen..;2023;3276
5481;Other local government;P1 Output;1995;16392
5482;Other local government;P1 Output;1996;16635
5483;Other local government;P1 Output;1997;17842
5484;Other local government;P1 Output;1998;18672
5485;Other local government;P1 Output;1999;19711
5486;Other local government;P1 Output;2000;20801
5487;Other local government;P1 Output;2001;22274
5488;Other local government;P1 Output;2002;23738
5489;Other local government;P1 Output;2003;25387
5490;Other local government;P1 Output;2004;26604
5491;Other local government;P1 Output;2005;27702
5492;Other local government;P1 Output;2006;28827
5493;Other local government;P1 Output;2007;30950
5494;Other local government;P1 Output;2008;33301
5495;Other local government;P1 Output;2009;35083
5496;Other local government;P1 Output;2010;36020
5497;Other local government;P1 Output;2011;36000
5498;Other local government;P1 Output;2012;36168
5499;Other local government;P1 Output;2013;31598
5500;Other local government;P1 Output;2014;32338
5501;Other local government;P1 Output;2015;32806
5502;Other local government;P1 Output;2016;33871
5503;Other local government;P1 Output;2017;34403
5504;Other local government;P1 Output;2018;35528
5505;Other local government;P1 Output;2019;36734
5506;Other local government;P1 Output;2020;37891
5507;Other local government;P1 Output;2021;40375
5508;Other local government;P1 Output;2022;43693
5509;Other local government;P1 Output;2023;46812
5510;Other local government;P11 Market output;1995;1098
5511;Other local government;P11 Market output;1996;1145
5512;Other local government;P11 Market output;1997;1320
5513;Other local government;P11 Market output;1998;1344
5514;Other local government;P11 Market output;1999;1346
5515;Other local government;P11 Market output;2000;1334
5516;Other local government;P11 Market output;2001;1291
5517;Other local government;P11 Market output;2002;1415
5518;Other local government;P11 Market output;2003;1495
5519;Other local government;P11 Market output;2004;1591
5520;Other local government;P11 Market output;2005;1651
5521;Other local government;P11 Market output;2006;1742
5522;Other local government;P11 Market output;2007;1908
5523;Other local government;P11 Market output;2008;2049
5524;Other local government;P11 Market output;2009;1881
5525;Other local government;P11 Market output;2010;1907
5526;Other local government;P11 Market output;2011;1971
5527;Other local government;P11 Market output;2012;1883
5528;Other local government;P11 Market output;2013;1772
5529;Other local government;P11 Market output;2014;1820
5530;Other local government;P11 Market output;2015;1691
5531;Other local government;P11 Market output;2016;1670
5532;Other local government;P11 Market output;2017;1660
5533;Other local government;P11 Market output;2018;1783
5534;Other local government;P11 Market output;2019;1699
5535;Other local government;P11 Market output;2020;1502
5536;Other local government;P11 Market output;2021;1611
5537;Other local government;P11 Market output;2022;1938
5538;Other local government;P11 Market output;2023;1933
5539;Other local government;P12A Own-account capital formation;1995;5
5540;Other local government;P12A Own-account capital formation;1996;8
5541;Other local government;P12A Own-account capital formation;1997;16
5542;Other local government;P12A Own-account capital formation;1998;23
5543;Other local government;P12A Own-account capital formation;1999;24
5544;Other local government;P12A Own-account capital formation;2000;33
5545;Other local government;P12A Own-account capital formation;2001;59
5546;Other local government;P12A Own-account capital formation;2002;85
5547;Other local government;P12A Own-account capital formation;2003;110
5548;Other local government;P12A Own-account capital formation;2004;130
5549;Other local government;P12A Own-account capital formation;2005;114
5550;Other local government;P12A Own-account capital formation;2006;232
5551;Other local government;P12A Own-account capital formation;2007;150
5552;Other local government;P12A Own-account capital formation;2008;147
5553;Other local government;P12A Own-account capital formation;2009;158
5554;Other local government;P12A Own-account capital formation;2010;186
5555;Other local government;P12A Own-account capital formation;2011;168
5556;Other local government;P12A Own-account capital formation;2012;186
5557;Other local government;P12A Own-account capital formation;2013;142
5558;Other local government;P12A Own-account capital formation;2014;154
5559;Other local government;P12A Own-account capital formation;2015;168
5560;Other local government;P12A Own-account capital formation;2016;168
5561;Other local government;P12A Own-account capital formation;2017;189
5562;Other local government;P12A Own-account capital formation;2018;201
5563;Other local government;P12A Own-account capital formation;2019;216
5564;Other local government;P12A Own-account capital formation;2020;223
5565;Other local government;P12A Own-account capital formation;2021;262
5566;Other local government;P12A Own-account capital formation;2022;295
5567;Other local government;P12A Own-account capital formation;2023;310
5568;Other local government;P13 Non-marketoutput;1995;15289
5569;Other local government;P13 Non-marketoutput;1996;15482
5570;Other local government;P13 Non-marketoutput;1997;16506
5571;Other local government;P13 Non-marketoutput;1998;17305
5572;Other local government;P13 Non-marketoutput;1999;18341
5573;Other local government;P13 Non-marketoutput;2000;19434
5574;Other local government;P13 Non-marketoutput;2001;20924
5575;Other local government;P13 Non-marketoutput;2002;22238
5576;Other local government;P13 Non-marketoutput;2003;23782
5577;Other local government;P13 Non-marketoutput;2004;24883
5578;Other local government;P13 Non-marketoutput;2005;25937
5579;Other local government;P13 Non-marketoutput;2006;26853
5580;Other local government;P13 Non-marketoutput;2007;28892
5581;Other local government;P13 Non-marketoutput;2008;31105
5582;Other local government;P13 Non-marketoutput;2009;33044
5583;Other local government;P13 Non-marketoutput;2010;33927
5584;Other local government;P13 Non-marketoutput;2011;33861
5585;Other local government;P13 Non-marketoutput;2012;34099
5586;Other local government;P13 Non-marketoutput;2013;29684
5587;Other local government;P13 Non-marketoutput;2014;30364
5588;Other local government;P13 Non-marketoutput;2015;30947
5589;Other local government;P13 Non-marketoutput;2016;32033
5590;Other local government;P13 Non-marketoutput;2017;32554
5591;Other local government;P13 Non-marketoutput;2018;33544
5592;Other local government;P13 Non-marketoutput;2019;34819
5593;Other local government;P13 Non-marketoutput;2020;36166
5594;Other local government;P13 Non-marketoutput;2021;38502
5595;Other local government;P13 Non-marketoutput;2022;41460
5596;Other local government;P13 Non-marketoutput;2023;44569
5597;Other local government;P131 Payments for non-market output;1995;1048
5598;Other local government;P131 Payments for non-market output;1996;1071
5599;Other local government;P131 Payments for non-market output;1997;1138
5600;Other local government;P131 Payments for non-market output;1998;1165
5601;Other local government;P131 Payments for non-market output;1999;1208
5602;Other local government;P131 Payments for non-market output;2000;1275
5603;Other local government;P131 Payments for non-market output;2001;1315
5604;Other local government;P131 Payments for non-market output;2002;1362
5605;Other local government;P131 Payments for non-market output;2003;1422
5606;Other local government;P131 Payments for non-market output;2004;1448
5607;Other local government;P131 Payments for non-market output;2005;1372
5608;Other local government;P131 Payments for non-market output;2006;1349
5609;Other local government;P131 Payments for non-market output;2007;1393
5610;Other local government;P131 Payments for non-market output;2008;1405
5611;Other local government;P131 Payments for non-market output;2009;1454
5612;Other local government;P131 Payments for non-market output;2010;1544
5613;Other local government;P131 Payments for non-market output;2011;1622
5614;Other local government;P131 Payments for non-market output;2012;1673
5615;Other local government;P131 Payments for non-market output;2013;1735
5616;Other local government;P131 Payments for non-market output;2014;1826
5617;Other local government;P131 Payments for non-market output;2015;1906
5618;Other local government;P131 Payments for non-market output;2016;2028
5619;Other local government;P131 Payments for non-market output;2017;1997
5620;Other local government;P131 Payments for non-market output;2018;2049
5621;Other local government;P131 Payments for non-market output;2019;2073
5622;Other local government;P131 Payments for non-market output;2020;1876
5623;Other local government;P131 Payments for non-market output;2021;1723
5624;Other local government;P131 Payments for non-market output;2022;1665
5625;Other local government;P131 Payments for non-market output;2023;2001
5626;Other local government;P132 Other non-market output;1995;14241
5627;Other local government;P132 Other non-market output;1996;14411
5628;Other local government;P132 Other non-market output;1997;15368
5629;Other local government;P132 Other non-market output;1998;16140
5630;Other local government;P132 Other non-market output;1999;17133
5631;Other local government;P132 Other non-market output;2000;18159
5632;Other local government;P132 Other non-market output;2001;19609
5633;Other local government;P132 Other non-market output;2002;20876
5634;Other local government;P132 Other non-market output;2003;22360
5635;Other local government;P132 Other non-market output;2004;23435
5636;Other local government;P132 Other non-market output;2005;24565
5637;Other local government;P132 Other non-market output;2006;25504
5638;Other local government;P132 Other non-market output;2007;27499
5639;Other local government;P132 Other non-market output;2008;29700
5640;Other local government;P132 Other non-market output;2009;31590
5641;Other local government;P132 Other non-market output;2010;32383
5642;Other local government;P132 Other non-market output;2011;32239
5643;Other local government;P132 Other non-market output;2012;32426
5644;Other local government;P132 Other non-market output;2013;27949
5645;Other local government;P132 Other non-market output;2014;28538
5646;Other local government;P132 Other non-market output;2015;29041
5647;Other local government;P132 Other non-market output;2016;30005
5648;Other local government;P132 Other non-market output;2017;30557
5649;Other local government;P132 Other non-market output;2018;31495
5650;Other local government;P132 Other non-market output;2019;32746
5651;Other local government;P132 Other non-market output;2020;34290
5652;Other local government;P132 Other non-market output;2021;36779
5653;Other local government;P132 Other non-market output;2022;39795
5654;Other local government;P132 Other non-market output;2023;42568
5655;Other local government;P2 Intermediate consumption;1995;3856
5656;Other local government;P2 Intermediate consumption;1996;3744
5657;Other local government;P2 Intermediate consumption;1997;4462
5658;Other local government;P2 Intermediate consumption;1998;4579
5659;Other local government;P2 Intermediate consumption;1999;4745
5660;Other local government;P2 Intermediate consumption;2000;4874
5661;Other local government;P2 Intermediate consumption;2001;5259
5662;Other local government;P2 Intermediate consumption;2002;5669
5663;Other local government;P2 Intermediate consumption;2003;6117
5664;Other local government;P2 Intermediate consumption;2004;6774
5665;Other local government;P2 Intermediate consumption;2005;7270
5666;Other local government;P2 Intermediate consumption;2006;7468
5667;Other local government;P2 Intermediate consumption;2007;8250
5668;Other local government;P2 Intermediate consumption;2008;8237
5669;Other local government;P2 Intermediate consumption;2009;8495
5670;Other local government;P2 Intermediate consumption;2010;8614
5671;Other local government;P2 Intermediate consumption;2011;8494
5672;Other local government;P2 Intermediate consumption;2012;8496
5673;Other local government;P2 Intermediate consumption;2013;7560
5674;Other local government;P2 Intermediate consumption;2014;7988
5675;Other local government;P2 Intermediate consumption;2015;8266
5676;Other local government;P2 Intermediate consumption;2016;8762
5677;Other local government;P2 Intermediate consumption;2017;8717
5678;Other local government;P2 Intermediate consumption;2018;8972
5679;Other local government;P2 Intermediate consumption;2019;9280
5680;Other local government;P2 Intermediate consumption;2020;9133
5681;Other local government;P2 Intermediate consumption;2021;10595
5682;Other local government;P2 Intermediate consumption;2022;10841
5683;Other local government;P2 Intermediate consumption;2023;11281
5684;Other local government;B1g Gross value added;1995;12536
5685;Other local government;B1g Gross value added;1996;12891
5686;Other local government;B1g Gross value added;1997;13380
5687;Other local government;B1g Gross value added;1998;14093
5688;Other local government;B1g Gross value added;1999;14966
5689;Other local government;B1g Gross value added;2000;15927
5690;Other local government;B1g Gross value added;2001;17015
5691;Other local government;B1g Gross value added;2002;18069
5692;Other local government;B1g Gross value added;2003;19270
5693;Other local government;B1g Gross value added;2004;19830
5694;Other local government;B1g Gross value added;2005;20432
5695;Other local government;B1g Gross value added;2006;21359
5696;Other local government;B1g Gross value added;2007;22700
5697;Other local government;B1g Gross value added;2008;25064
5698;Other local government;B1g Gross value added;2009;26588
5699;Other local government;B1g Gross value added;2010;27406
5700;Other local government;B1g Gross value added;2011;27506
5701;Other local government;B1g Gross value added;2012;27672
5702;Other local government;B1g Gross value added;2013;24038
5703;Other local government;B1g Gross value added;2014;24350
5704;Other local government;B1g Gross value added;2015;24540
5705;Other local government;B1g Gross value added;2016;25109
5706;Other local government;B1g Gross value added;2017;25686
5707;Other local government;B1g Gross value added;2018;26556
5708;Other local government;B1g Gross value added;2019;27454
5709;Other local government;B1g Gross value added;2020;28758
5710;Other local government;B1g Gross value added;2021;29780
5711;Other local government;B1g Gross value added;2022;32852
5712;Other local government;B1g Gross value added;2023;35531
5713;Other local government;P51c Consumption of fixed capital;1995;1393
5714;Other local government;P51c Consumption of fixed capital;1996;1454
5715;Other local government;P51c Consumption of fixed capital;1997;1538
5716;Other local government;P51c Consumption of fixed capital;1998;1600
5717;Other local government;P51c Consumption of fixed capital;1999;1685
5718;Other local government;P51c Consumption of fixed capital;2000;1830
5719;Other local government;P51c Consumption of fixed capital;2001;1984
5720;Other local government;P51c Consumption of fixed capital;2002;2126
5721;Other local government;P51c Consumption of fixed capital;2003;2262
5722;Other local government;P51c Consumption of fixed capital;2004;2391
5723;Other local government;P51c Consumption of fixed capital;2005;2502
5724;Other local government;P51c Consumption of fixed capital;2006;2638
5725;Other local government;P51c Consumption of fixed capital;2007;2812
5726;Other local government;P51c Consumption of fixed capital;2008;2956
5727;Other local government;P51c Consumption of fixed capital;2009;3097
5728;Other local government;P51c Consumption of fixed capital;2010;3200
5729;Other local government;P51c Consumption of fixed capital;2011;3236
5730;Other local government;P51c Consumption of fixed capital;2012;3247
5731;Other local government;P51c Consumption of fixed capital;2013;3008
5732;Other local government;P51c Consumption of fixed capital;2014;2983
5733;Other local government;P51c Consumption of fixed capital;2015;2958
5734;Other local government;P51c Consumption of fixed capital;2016;2950
5735;Other local government;P51c Consumption of fixed capital;2017;2933
5736;Other local government;P51c Consumption of fixed capital;2018;2974
5737;Other local government;P51c Consumption of fixed capital;2019;3051
5738;Other local government;P51c Consumption of fixed capital;2020;3127
5739;Other local government;P51c Consumption of fixed capital;2021;3190
5740;Other local government;P51c Consumption of fixed capital;2022;3350
5741;Other local government;P51c Consumption of fixed capital;2023;3479
5742;Other local government;B1n Net value added;1995;11143
5743;Other local government;B1n Net value added;1996;11437
5744;Other local government;B1n Net value added;1997;11842
5745;Other local government;B1n Net value added;1998;12493
5746;Other local government;B1n Net value added;1999;13281
5747;Other local government;B1n Net value added;2000;14097
5748;Other local government;B1n Net value added;2001;15031
5749;Other local government;B1n Net value added;2002;15943
5750;Other local government;B1n Net value added;2003;17008
5751;Other local government;B1n Net value added;2004;17439
5752;Other local government;B1n Net value added;2005;17930
5753;Other local government;B1n Net value added;2006;18721
5754;Other local government;B1n Net value added;2007;19888
5755;Other local government;B1n Net value added;2008;22108
5756;Other local government;B1n Net value added;2009;23491
5757;Other local government;B1n Net value added;2010;24206
5758;Other local government;B1n Net value added;2011;24270
5759;Other local government;B1n Net value added;2012;24425
5760;Other local government;B1n Net value added;2013;21030
5761;Other local government;B1n Net value added;2014;21367
5762;Other local government;B1n Net value added;2015;21582
5763;Other local government;B1n Net value added;2016;22159
5764;Other local government;B1n Net value added;2017;22753
5765;Other local government;B1n Net value added;2018;23582
5766;Other local government;B1n Net value added;2019;24403
5767;Other local government;B1n Net value added;2020;25631
5768;Other local government;B1n Net value added;2021;26590
5769;Other local government;B1n Net value added;2022;29502
5770;Other local government;B1n Net value added;2023;32052
5771;Other local government;D1 Compensation of employees;1995;11086
5772;Other local government;D1 Compensation of employees;1996;11393
5773;Other local government;D1 Compensation of employees;1997;11796
5774;Other local government;D1 Compensation of employees;1998;12452
5775;Other local government;D1 Compensation of employees;1999;13249
5776;Other local government;D1 Compensation of employees;2000;14074
5777;Other local government;D1 Compensation of employees;2001;15035
5778;Other local government;D1 Compensation of employees;2002;15950
5779;Other local government;D1 Compensation of employees;2003;17009
5780;Other local government;D1 Compensation of employees;2004;17524
5781;Other local government;D1 Compensation of employees;2005;17958
5782;Other local government;D1 Compensation of employees;2006;18724
5783;Other local government;D1 Compensation of employees;2007;19874
5784;Other local government;D1 Compensation of employees;2008;22080
5785;Other local government;D1 Compensation of employees;2009;23476
5786;Other local government;D1 Compensation of employees;2010;24158
5787;Other local government;D1 Compensation of employees;2011;24203
5788;Other local government;D1 Compensation of employees;2012;24367
5789;Other local government;D1 Compensation of employees;2013;20923
5790;Other local government;D1 Compensation of employees;2014;21235
5791;Other local government;D1 Compensation of employees;2015;21376
5792;Other local government;D1 Compensation of employees;2016;21957
5793;Other local government;D1 Compensation of employees;2017;22577
5794;Other local government;D1 Compensation of employees;2018;23400
5795;Other local government;D1 Compensation of employees;2019;24236
5796;Other local government;D1 Compensation of employees;2020;25724
5797;Other local government;D1 Compensation of employees;2021;26610
5798;Other local government;D1 Compensation of employees;2022;29417
5799;Other local government;D1 Compensation of employees;2023;31905
5800;Other local government;D11 Wages and salaries;1995;8876
5801;Other local government;D11 Wages and salaries;1996;9003
5802;Other local government;D11 Wages and salaries;1997;9680
5803;Other local government;D11 Wages and salaries;1998;9707
5804;Other local government;D11 Wages and salaries;1999;10345
