ID;OwnerOrTenant;HouseholdCharacteristics;DwellingCharacteristics;Accuracy;Periods;TotalHousingCosts_1;NetRentOrMortgage_2;AdditionalHousingCosts_3;HousingCostRatio_4;NonSkewedRent_5;SkewedTowardsCheapRent_6;SkewedTowardsExpensiveRent_7
8906;Owner;Disposable income: 2nd 20%-group;Type of dwelling: terraced house;Value;2018;643.0;456.0;187.0;32.8;;;
8907;Owner;Disposable income: 2nd 20%-group;Type of dwelling: terraced house;Value;2021;602.0;420.0;182.0;28.0;;;
8908;Owner;Disposable income: 2nd 20%-group;Type of dwelling: terraced house;Lower bound 95% confidence interval;2012;689.0;486.0;199.0;36.7;;;
8909;Owner;Disposable income: 2nd 20%-group;Type of dwelling: terraced house;Lower bound 95% confidence interval;2015;617.0;429.0;185.0;33.0;;;
8910;Owner;Disposable income: 2nd 20%-group;Type of dwelling: terraced house;Lower bound 95% confidence interval;2018;625.0;438.0;185.0;31.9;;;
8911;Owner;Disposable income: 2nd 20%-group;Type of dwelling: terraced house;Lower bound 95% confidence interval;2021;581.0;399.0;179.0;27.0;;;
8912;Owner;Disposable income: 2nd 20%-group;Type of dwelling: terraced house;Upper bound 95% confidence interval;2012;754.0;550.0;207.0;39.2;;;
8913;Owner;Disposable income: 2nd 20%-group;Type of dwelling: terraced house;Upper bound 95% confidence interval;2015;655.0;466.0;192.0;34.9;;;
8914;Owner;Disposable income: 2nd 20%-group;Type of dwelling: terraced house;Upper bound 95% confidence interval;2018;662.0;475.0;190.0;33.7;;;
8915;Owner;Disposable income: 2nd 20%-group;Type of dwelling: terraced house;Upper bound 95% confidence interval;2021;622.0;440.0;185.0;28.9;;;
8916;Owner;Disposable income: 2nd 20%-group;Type of dwelling: multi-family;Value;2012;651.0;492.0;160.0;35.4;;;
8917;Owner;Disposable income: 2nd 20%-group;Type of dwelling: multi-family;Value;2015;607.0;451.0;156.0;32.2;;;
8918;Owner;Disposable income: 2nd 20%-group;Type of dwelling: multi-family;Value;2018;594.0;434.0;160.0;30.5;;;
8919;Owner;Disposable income: 2nd 20%-group;Type of dwelling: multi-family;Value;2021;572.0;418.0;154.0;26.4;;;
8920;Owner;Disposable income: 2nd 20%-group;Type of dwelling: multi-family;Lower bound 95% confidence interval;2012;633.0;473.0;156.0;34.3;;;
8921;Owner;Disposable income: 2nd 20%-group;Type of dwelling: multi-family;Lower bound 95% confidence interval;2015;583.0;427.0;153.0;31.1;;;
8922;Owner;Disposable income: 2nd 20%-group;Type of dwelling: multi-family;Lower bound 95% confidence interval;2018;575.0;415.0;157.0;29.5;;;
8923;Owner;Disposable income: 2nd 20%-group;Type of dwelling: multi-family;Lower bound 95% confidence interval;2021;551.0;397.0;151.0;25.4;;;
8924;Owner;Disposable income: 2nd 20%-group;Type of dwelling: multi-family;Upper bound 95% confidence interval;2012;670.0;510.0;163.0;36.4;;;
8925;Owner;Disposable income: 2nd 20%-group;Type of dwelling: multi-family;Upper bound 95% confidence interval;2015;630.0;474.0;159.0;33.2;;;
8926;Owner;Disposable income: 2nd 20%-group;Type of dwelling: multi-family;Upper bound 95% confidence interval;2018;613.0;452.0;163.0;31.5;;;
8927;Owner;Disposable income: 2nd 20%-group;Type of dwelling: multi-family;Upper bound 95% confidence interval;2021;594.0;439.0;157.0;27.4;;;
8928;Owner;Disposable income: 2nd 20%-group;Living surface: less than  75 m²;Value;2012;610.0;427.0;183.0;32.9;;;
8929;Owner;Disposable income: 2nd 20%-group;Living surface: less than  75 m²;Value;2015;606.0;452.0;154.0;32.3;;;
8930;Owner;Disposable income: 2nd 20%-group;Living surface: less than  75 m²;Value;2018;575.0;414.0;161.0;29.4;;;
8931;Owner;Disposable income: 2nd 20%-group;Living surface: less than  75 m²;Value;2021;545.0;394.0;151.0;25.2;;;
8932;Owner;Disposable income: 2nd 20%-group;Living surface: less than  75 m²;Lower bound 95% confidence interval;2012;590.0;407.0;179.0;31.9;;;
8933;Owner;Disposable income: 2nd 20%-group;Living surface: less than  75 m²;Lower bound 95% confidence interval;2015;575.0;420.0;150.0;31.0;;;
8934;Owner;Disposable income: 2nd 20%-group;Living surface: less than  75 m²;Lower bound 95% confidence interval;2018;551.0;390.0;157.0;28.1;;;
8935;Owner;Disposable income: 2nd 20%-group;Living surface: less than  75 m²;Lower bound 95% confidence interval;2021;517.0;366.0;147.0;23.9;;;
8936;Owner;Disposable income: 2nd 20%-group;Living surface: less than  75 m²;Upper bound 95% confidence interval;2012;630.0;447.0;187.0;34.0;;;
8937;Owner;Disposable income: 2nd 20%-group;Living surface: less than  75 m²;Upper bound 95% confidence interval;2015;637.0;483.0;158.0;33.5;;;
8938;Owner;Disposable income: 2nd 20%-group;Living surface: less than  75 m²;Upper bound 95% confidence interval;2018;598.0;437.0;165.0;30.6;;;
8939;Owner;Disposable income: 2nd 20%-group;Living surface: less than  75 m²;Upper bound 95% confidence interval;2021;573.0;421.0;156.0;26.5;;;
8940;Owner;Disposable income: 2nd 20%-group;Living surface: 75 to 99 m²;Value;2012;665.0;476.0;188.0;35.9;;;
8941;Owner;Disposable income: 2nd 20%-group;Living surface: 75 to 99 m²;Value;2015;603.0;426.0;177.0;32.4;;;
8942;Owner;Disposable income: 2nd 20%-group;Living surface: 75 to 99 m²;Value;2018;602.0;424.0;179.0;31.0;;;
8943;Owner;Disposable income: 2nd 20%-group;Living surface: 75 to 99 m²;Value;2021;550.0;377.0;174.0;25.5;;;
8944;Owner;Disposable income: 2nd 20%-group;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2012;641.0;452.0;184.0;34.7;;;
8945;Owner;Disposable income: 2nd 20%-group;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2015;585.0;409.0;173.0;31.5;;;
8946;Owner;Disposable income: 2nd 20%-group;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2018;585.0;407.0;175.0;30.1;;;
8947;Owner;Disposable income: 2nd 20%-group;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2021;530.0;357.0;170.0;24.6;;;
8948;Owner;Disposable income: 2nd 20%-group;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2012;689.0;500.0;193.0;37.2;;;
8949;Owner;Disposable income: 2nd 20%-group;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2015;620.0;444.0;180.0;33.4;;;
8950;Owner;Disposable income: 2nd 20%-group;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2018;619.0;441.0;182.0;31.9;;;
8951;Owner;Disposable income: 2nd 20%-group;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2021;570.0;397.0;177.0;26.5;;;
8952;Owner;Disposable income: 2nd 20%-group;Living surface: 100 to 149 m²;Value;2012;701.0;490.0;212.0;37.1;;;
8953;Owner;Disposable income: 2nd 20%-group;Living surface: 100 to 149 m²;Value;2015;612.0;408.0;204.0;32.5;;;
8954;Owner;Disposable income: 2nd 20%-group;Living surface: 100 to 149 m²;Value;2018;636.0;435.0;201.0;32.5;;;
8955;Owner;Disposable income: 2nd 20%-group;Living surface: 100 to 149 m²;Value;2021;603.0;411.0;192.0;27.9;;;
8956;Owner;Disposable income: 2nd 20%-group;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2012;675.0;464.0;208.0;35.9;;;
8957;Owner;Disposable income: 2nd 20%-group;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2015;596.0;393.0;201.0;31.7;;;
8958;Owner;Disposable income: 2nd 20%-group;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2018;621.0;420.0;198.0;31.7;;;
8959;Owner;Disposable income: 2nd 20%-group;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2021;586.0;394.0;190.0;27.2;;;
8960;Owner;Disposable income: 2nd 20%-group;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2012;728.0;515.0;215.0;38.3;;;
8961;Owner;Disposable income: 2nd 20%-group;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2015;628.0;424.0;206.0;33.2;;;
8962;Owner;Disposable income: 2nd 20%-group;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2018;651.0;450.0;203.0;33.2;;;
8963;Owner;Disposable income: 2nd 20%-group;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2021;619.0;427.0;195.0;28.7;;;
8964;Owner;Disposable income: 2nd 20%-group;Living surface: 150 m² or more;Value;2012;894.0;655.0;239.0;43.9;;;
8965;Owner;Disposable income: 2nd 20%-group;Living surface: 150 m² or more;Value;2015;769.0;521.0;248.0;40.1;;;
8966;Owner;Disposable income: 2nd 20%-group;Living surface: 150 m² or more;Value;2018;759.0;519.0;241.0;38.3;;;
8967;Owner;Disposable income: 2nd 20%-group;Living surface: 150 m² or more;Value;2021;739.0;496.0;243.0;34.3;;;
8968;Owner;Disposable income: 2nd 20%-group;Living surface: 150 m² or more;Lower bound 95% confidence interval;2012;826.0;588.0;233.0;42.2;;;
8969;Owner;Disposable income: 2nd 20%-group;Living surface: 150 m² or more;Lower bound 95% confidence interval;2015;730.0;483.0;242.0;38.2;;;
8970;Owner;Disposable income: 2nd 20%-group;Living surface: 150 m² or more;Lower bound 95% confidence interval;2018;723.0;484.0;235.0;36.7;;;
8971;Owner;Disposable income: 2nd 20%-group;Living surface: 150 m² or more;Lower bound 95% confidence interval;2021;706.0;464.0;237.0;32.8;;;
8972;Owner;Disposable income: 2nd 20%-group;Living surface: 150 m² or more;Upper bound 95% confidence interval;2012;962.0;722.0;244.0;45.6;;;
8973;Owner;Disposable income: 2nd 20%-group;Living surface: 150 m² or more;Upper bound 95% confidence interval;2015;809.0;560.0;253.0;41.9;;;
8974;Owner;Disposable income: 2nd 20%-group;Living surface: 150 m² or more;Upper bound 95% confidence interval;2018;795.0;554.0;246.0;39.9;;;
8975;Owner;Disposable income: 2nd 20%-group;Living surface: 150 m² or more;Upper bound 95% confidence interval;2021;772.0;528.0;248.0;35.9;;;
8976;Owner;Disposable income: 3rd 20%-group;Dwelling: 1st 25%-group WOZ;Value;2012;756.0;556.0;199.0;29.4;;;
8977;Owner;Disposable income: 3rd 20%-group;Dwelling: 1st 25%-group WOZ;Value;2015;665.0;471.0;194.0;25.7;;;
8978;Owner;Disposable income: 3rd 20%-group;Dwelling: 1st 25%-group WOZ;Value;2018;689.0;496.0;193.0;25.8;;;
8979;Owner;Disposable income: 3rd 20%-group;Dwelling: 1st 25%-group WOZ;Value;2021;671.0;477.0;193.0;22.4;;;
8980;Owner;Disposable income: 3rd 20%-group;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2012;732.0;533.0;195.0;28.6;;;
8981;Owner;Disposable income: 3rd 20%-group;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2015;643.0;450.0;190.0;24.9;;;
8982;Owner;Disposable income: 3rd 20%-group;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2018;672.0;479.0;190.0;25.1;;;
8983;Owner;Disposable income: 3rd 20%-group;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2021;648.0;455.0;189.0;21.6;;;
8984;Owner;Disposable income: 3rd 20%-group;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2012;779.0;579.0;204.0;30.3;;;
8985;Owner;Disposable income: 3rd 20%-group;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2015;686.0;492.0;198.0;26.5;;;
8986;Owner;Disposable income: 3rd 20%-group;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2018;707.0;513.0;197.0;26.4;;;
8987;Owner;Disposable income: 3rd 20%-group;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2021;694.0;500.0;198.0;23.1;;;
8988;Owner;Disposable income: 3rd 20%-group;Dwelling: 2nd 25%-group WOZ;Value;2012;782.0;571.0;211.0;30.2;;;
8989;Owner;Disposable income: 3rd 20%-group;Dwelling: 2nd 25%-group WOZ;Value;2015;730.0;532.0;198.0;27.9;;;
8990;Owner;Disposable income: 3rd 20%-group;Dwelling: 2nd 25%-group WOZ;Value;2018;747.0;549.0;198.0;27.4;;;
8991;Owner;Disposable income: 3rd 20%-group;Dwelling: 2nd 25%-group WOZ;Value;2021;716.0;524.0;192.0;23.4;;;
8992;Owner;Disposable income: 3rd 20%-group;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2012;765.0;554.0;208.0;29.6;;;
8993;Owner;Disposable income: 3rd 20%-group;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2015;712.0;514.0;195.0;27.4;;;
8994;Owner;Disposable income: 3rd 20%-group;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2018;733.0;535.0;196.0;26.9;;;
8995;Owner;Disposable income: 3rd 20%-group;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2021;700.0;508.0;189.0;22.9;;;
8996;Owner;Disposable income: 3rd 20%-group;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2012;798.0;587.0;214.0;30.8;;;
8997;Owner;Disposable income: 3rd 20%-group;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2015;748.0;550.0;200.0;28.4;;;
8998;Owner;Disposable income: 3rd 20%-group;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2018;762.0;563.0;201.0;27.9;;;
8999;Owner;Disposable income: 3rd 20%-group;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2021;733.0;541.0;195.0;23.9;;;
9000;Owner;Disposable income: 3rd 20%-group;Dwellings: 3rd 25%-group WOZ;Value;2012;796.0;573.0;223.0;30.3;;;
9001;Owner;Disposable income: 3rd 20%-group;Dwellings: 3rd 25%-group WOZ;Value;2015;763.0;553.0;210.0;28.9;;;
9002;Owner;Disposable income: 3rd 20%-group;Dwellings: 3rd 25%-group WOZ;Value;2018;752.0;544.0;208.0;27.3;;;
9003;Owner;Disposable income: 3rd 20%-group;Dwellings: 3rd 25%-group WOZ;Value;2021;730.0;530.0;201.0;23.8;;;
9004;Owner;Disposable income: 3rd 20%-group;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2012;775.0;552.0;220.0;29.7;;;
9005;Owner;Disposable income: 3rd 20%-group;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2015;748.0;538.0;207.0;28.4;;;
9006;Owner;Disposable income: 3rd 20%-group;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2018;738.0;530.0;206.0;26.8;;;
9007;Owner;Disposable income: 3rd 20%-group;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2021;714.0;513.0;198.0;23.2;;;
9008;Owner;Disposable income: 3rd 20%-group;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2012;818.0;595.0;226.0;31.0;;;
9009;Owner;Disposable income: 3rd 20%-group;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2015;778.0;568.0;212.0;29.4;;;
9010;Owner;Disposable income: 3rd 20%-group;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2018;767.0;559.0;211.0;27.8;;;
9011;Owner;Disposable income: 3rd 20%-group;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2021;747.0;546.0;203.0;24.3;;;
9012;Owner;Disposable income: 3rd 20%-group;Dwellings: 4th 25%-group WOZ;Value;2012;887.0;628.0;259.0;33.7;;;
9013;Owner;Disposable income: 3rd 20%-group;Dwellings: 4th 25%-group WOZ;Value;2015;854.0;608.0;246.0;32.0;;;
9014;Owner;Disposable income: 3rd 20%-group;Dwellings: 4th 25%-group WOZ;Value;2018;859.0;619.0;239.0;30.9;;;
9015;Owner;Disposable income: 3rd 20%-group;Dwellings: 4th 25%-group WOZ;Value;2021;850.0;615.0;235.0;27.2;;;
9016;Owner;Disposable income: 3rd 20%-group;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2012;860.0;602.0;255.0;32.7;;;
9017;Owner;Disposable income: 3rd 20%-group;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2015;827.0;582.0;242.0;31.0;;;
9018;Owner;Disposable income: 3rd 20%-group;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2018;830.0;591.0;235.0;30.0;;;
9019;Owner;Disposable income: 3rd 20%-group;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2021;817.0;583.0;230.0;26.3;;;
9020;Owner;Disposable income: 3rd 20%-group;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2012;914.0;655.0;263.0;34.7;;;
9021;Owner;Disposable income: 3rd 20%-group;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2015;880.0;634.0;250.0;32.9;;;
9022;Owner;Disposable income: 3rd 20%-group;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2018;887.0;648.0;243.0;31.9;;;
9023;Owner;Disposable income: 3rd 20%-group;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2021;882.0;647.0;239.0;28.1;;;
9024;Owner;Disposable income: 3rd 20%-group;Year of construction: 1000 to 1945;Value;2012;828.0;590.0;238.0;31.9;;;
9025;Owner;Disposable income: 3rd 20%-group;Year of construction: 1000 to 1945;Value;2015;778.0;556.0;223.0;29.5;;;
9026;Owner;Disposable income: 3rd 20%-group;Year of construction: 1000 to 1945;Value;2018;795.0;571.0;224.0;29.1;;;
9027;Owner;Disposable income: 3rd 20%-group;Year of construction: 1000 to 1945;Value;2021;816.0;596.0;220.0;26.5;;;
9028;Owner;Disposable income: 3rd 20%-group;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2012;801.0;564.0;234.0;30.9;;;
9029;Owner;Disposable income: 3rd 20%-group;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2015;755.0;533.0;219.0;28.7;;;
9030;Owner;Disposable income: 3rd 20%-group;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2018;769.0;547.0;219.0;28.2;;;
9031;Owner;Disposable income: 3rd 20%-group;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2021;781.0;562.0;215.0;25.5;;;
9032;Owner;Disposable income: 3rd 20%-group;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2012;855.0;616.0;243.0;32.9;;;
9033;Owner;Disposable income: 3rd 20%-group;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2015;801.0;578.0;227.0;30.4;;;
9034;Owner;Disposable income: 3rd 20%-group;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2018;820.0;596.0;228.0;29.9;;;
9035;Owner;Disposable income: 3rd 20%-group;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2021;850.0;629.0;224.0;27.4;;;
9036;Owner;Disposable income: 3rd 20%-group;Year of construction: 1946 to 1970;Value;2012;773.0;542.0;230.0;29.8;;;
9037;Owner;Disposable income: 3rd 20%-group;Year of construction: 1946 to 1970;Value;2015;710.0;490.0;221.0;27.2;;;
9038;Owner;Disposable income: 3rd 20%-group;Year of construction: 1946 to 1970;Value;2018;740.0;524.0;216.0;27.1;;;
9039;Owner;Disposable income: 3rd 20%-group;Year of construction: 1946 to 1970;Value;2021;717.0;505.0;212.0;23.5;;;
9040;Owner;Disposable income: 3rd 20%-group;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2012;753.0;523.0;227.0;29.0;;;
9041;Owner;Disposable income: 3rd 20%-group;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2015;691.0;471.0;217.0;26.5;;;
9042;Owner;Disposable income: 3rd 20%-group;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2018;719.0;503.0;213.0;26.4;;;
9043;Owner;Disposable income: 3rd 20%-group;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2021;698.0;486.0;209.0;22.8;;;
9044;Owner;Disposable income: 3rd 20%-group;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2012;793.0;562.0;234.0;30.5;;;
9045;Owner;Disposable income: 3rd 20%-group;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2015;729.0;508.0;224.0;27.9;;;
9046;Owner;Disposable income: 3rd 20%-group;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2018;761.0;545.0;219.0;27.8;;;
9047;Owner;Disposable income: 3rd 20%-group;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2021;737.0;524.0;216.0;24.1;;;
9048;Owner;Disposable income: 3rd 20%-group;Year of construction: 1971 to 1985;Value;2012;778.0;551.0;227.0;29.9;;;
9049;Owner;Disposable income: 3rd 20%-group;Year of construction: 1971 to 1985;Value;2015;734.0;517.0;216.0;27.7;;;
9050;Owner;Disposable income: 3rd 20%-group;Year of construction: 1971 to 1985;Value;2018;727.0;510.0;217.0;26.5;;;
9051;Owner;Disposable income: 3rd 20%-group;Year of construction: 1971 to 1985;Value;2021;706.0;496.0;211.0;22.9;;;
9052;Owner;Disposable income: 3rd 20%-group;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2012;760.0;534.0;224.0;29.3;;;
9053;Owner;Disposable income: 3rd 20%-group;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2015;713.0;497.0;213.0;27.1;;;
9054;Owner;Disposable income: 3rd 20%-group;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2018;711.0;495.0;214.0;26.0;;;
9055;Owner;Disposable income: 3rd 20%-group;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2021;688.0;478.0;207.0;22.4;;;
9056;Owner;Disposable income: 3rd 20%-group;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2012;795.0;567.0;230.0;30.6;;;
9057;Owner;Disposable income: 3rd 20%-group;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2015;754.0;537.0;219.0;28.3;;;
9058;Owner;Disposable income: 3rd 20%-group;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2018;742.0;525.0;219.0;27.1;;;
9059;Owner;Disposable income: 3rd 20%-group;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2021;724.0;513.0;214.0;23.5;;;
9060;Owner;Disposable income: 3rd 20%-group;Year of construction: 1986 to 2000;Value;2012;840.0;624.0;216.0;31.6;;;
9061;Owner;Disposable income: 3rd 20%-group;Year of construction: 1986 to 2000;Value;2015;769.0;565.0;204.0;29.1;;;
9062;Owner;Disposable income: 3rd 20%-group;Year of construction: 1986 to 2000;Value;2018;780.0;578.0;202.0;28.3;;;
9063;Owner;Disposable income: 3rd 20%-group;Year of construction: 1986 to 2000;Value;2021;708.0;514.0;195.0;23.0;;;
9064;Owner;Disposable income: 3rd 20%-group;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2012;806.0;590.0;212.0;30.7;;;
9065;Owner;Disposable income: 3rd 20%-group;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2015;748.0;545.0;201.0;28.3;;;
9066;Owner;Disposable income: 3rd 20%-group;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2018;757.0;555.0;199.0;27.5;;;
9067;Owner;Disposable income: 3rd 20%-group;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2021;688.0;493.0;191.0;22.3;;;
9068;Owner;Disposable income: 3rd 20%-group;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2012;875.0;658.0;220.0;32.6;;;
9069;Owner;Disposable income: 3rd 20%-group;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2015;790.0;585.0;207.0;29.9;;;
9070;Owner;Disposable income: 3rd 20%-group;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2018;804.0;602.0;205.0;29.1;;;
9071;Owner;Disposable income: 3rd 20%-group;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2021;729.0;534.0;198.0;23.7;;;
9072;Owner;Disposable income: 3rd 20%-group;Year of construction: from 2001;Value;2012;904.0;706.0;197.0;34.7;;;
9073;Owner;Disposable income: 3rd 20%-group;Year of construction: from 2001;Value;2015;904.0;719.0;184.0;34.2;;;
9074;Owner;Disposable income: 3rd 20%-group;Year of construction: from 2001;Value;2018;862.0;678.0;184.0;31.2;;;
9075;Owner;Disposable income: 3rd 20%-group;Year of construction: from 2001;Value;2021;825.0;649.0;177.0;26.9;;;
9076;Owner;Disposable income: 3rd 20%-group;Year of construction: from 2001;Lower bound 95% confidence interval;2012;872.0;676.0;192.0;33.5;;;
9077;Owner;Disposable income: 3rd 20%-group;Year of construction: from 2001;Lower bound 95% confidence interval;2015;868.0;685.0;180.0;33.0;;;
9078;Owner;Disposable income: 3rd 20%-group;Year of construction: from 2001;Lower bound 95% confidence interval;2018;831.0;648.0;179.0;30.1;;;
9079;Owner;Disposable income: 3rd 20%-group;Year of construction: from 2001;Lower bound 95% confidence interval;2021;790.0;614.0;173.0;25.8;;;
9080;Owner;Disposable income: 3rd 20%-group;Year of construction: from 2001;Upper bound 95% confidence interval;2012;935.0;737.0;203.0;36.0;;;
9081;Owner;Disposable income: 3rd 20%-group;Year of construction: from 2001;Upper bound 95% confidence interval;2015;939.0;753.0;189.0;35.4;;;
9082;Owner;Disposable income: 3rd 20%-group;Year of construction: from 2001;Upper bound 95% confidence interval;2018;893.0;708.0;188.0;32.3;;;
9083;Owner;Disposable income: 3rd 20%-group;Year of construction: from 2001;Upper bound 95% confidence interval;2021;861.0;684.0;181.0;28.1;;;
9084;Owner;Disposable income: 3rd 20%-group;Own garden, grounds etc. : included;Value;2012;826.0;590.0;235.0;31.5;;;
9085;Owner;Disposable income: 3rd 20%-group;Own garden, grounds etc. : included;Value;2015;771.0;549.0;222.0;29.2;;;
9086;Owner;Disposable income: 3rd 20%-group;Own garden, grounds etc. : included;Value;2018;781.0;562.0;219.0;28.4;;;
9087;Owner;Disposable income: 3rd 20%-group;Own garden, grounds etc. : included;Value;2021;754.0;541.0;213.0;24.4;;;
9088;Owner;Disposable income: 3rd 20%-group;Own garden, grounds etc. : included;Lower bound 95% confidence interval;2012;813.0;578.0;233.0;31.1;;;
9089;Owner;Disposable income: 3rd 20%-group;Own garden, grounds etc. : included;Lower bound 95% confidence interval;2015;760.0;538.0;220.0;28.8;;;
9090;Owner;Disposable income: 3rd 20%-group;Own garden, grounds etc. : included;Lower bound 95% confidence interval;2018;770.0;551.0;217.0;28.0;;;
9091;Owner;Disposable income: 3rd 20%-group;Own garden, grounds etc. : included;Lower bound 95% confidence interval;2021;742.0;529.0;211.0;24.1;;;
9092;Owner;Disposable income: 3rd 20%-group;Own garden, grounds etc. : included;Upper bound 95% confidence interval;2012;839.0;603.0;237.0;31.9;;;
9093;Owner;Disposable income: 3rd 20%-group;Own garden, grounds etc. : included;Upper bound 95% confidence interval;2015;782.0;559.0;224.0;29.6;;;
9094;Owner;Disposable income: 3rd 20%-group;Own garden, grounds etc. : included;Upper bound 95% confidence interval;2018;793.0;573.0;221.0;28.8;;;
9095;Owner;Disposable income: 3rd 20%-group;Own garden, grounds etc. : included;Upper bound 95% confidence interval;2021;766.0;553.0;215.0;24.8;;;
9096;Owner;Disposable income: 3rd 20%-group;Own garden, grounds etc. : not included;Value;2012;730.0;554.0;176.0;28.8;;;
9097;Owner;Disposable income: 3rd 20%-group;Own garden, grounds etc. : not included;Value;2015;715.0;548.0;168.0;27.3;;;
9098;Owner;Disposable income: 3rd 20%-group;Own garden, grounds etc. : not included;Value;2018;709.0;538.0;171.0;26.3;;;
9099;Owner;Disposable income: 3rd 20%-group;Own garden, grounds etc. : not included;Value;2021;701.0;535.0;166.0;23.2;;;
9100;Owner;Disposable income: 3rd 20%-group;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2012;710.0;535.0;173.0;28.0;;;
9101;Owner;Disposable income: 3rd 20%-group;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2015;688.0;521.0;164.0;26.6;;;
