ID;Sex;PersonCharacteristics;Periods;MedianDevelopmentPurchasingPower_1;PersonsWithPurchasingPowerDecrease_2;PersonsWithPurchasingPowerIncrease_3;k_20thPercentile_4;k_40thPercentile_5;k_60thPercentile_6;k_80thPercentile_7
834;Female;SEC: self-employed (total);2018;1.7;45.2;54.8;-13.4;-1.9;6.0;20.4
835;Female;SEC: self-employed (total);2019;2.2;44.0;56.0;-12.9;-1.5;6.3;21.0
836;Female;SEC: self-employed (total);2020;3.1;42.6;57.4;-14.6;-1.2;7.7;23.1
837;Female;SEC: self-employed (total);2021;2.4;44.0;56.0;-13.1;-1.6;7.0;23.1
838;Female;SEC: self-employed (total);2022;-1.1;52.7;47.3;-16.7;-5.0;3.3;18.2
839;Female;SEC: self-employed (total);2023;-1.2;54.5;45.5;-14.6;-4.3;1.6;11.5
840;Female;SEC: benefit recipient and pensioner;2012;-1.2;68.5;31.5;-5.4;-1.8;-0.7;2.3
841;Female;SEC: benefit recipient and pensioner;2013;-2.4;74.4;25.6;-7.6;-3.5;-1.6;1.2
842;Female;SEC: benefit recipient and pensioner;2014;1.0;36.5;63.5;-3.5;0.3;1.7;4.9
843;Female;SEC: benefit recipient and pensioner;2015;0.3;44.5;55.5;-3.7;-0.3;0.9;3.8
844;Female;SEC: benefit recipient and pensioner;2016;1.0;36.1;63.9;-3.1;0.4;1.5;4.4
845;Female;SEC: benefit recipient and pensioner;2017;0.0;49.4;50.6;-3.6;-0.5;0.5;3.3
846;Female;SEC: benefit recipient and pensioner;2018;-0.3;58.6;41.4;-3.2;-0.6;0.1;3.2
847;Female;SEC: benefit recipient and pensioner;2019;0.7;31.7;68.3;-2.0;0.3;1.1;4.1
848;Female;SEC: benefit recipient and pensioner;2020;1.3;27.5;72.5;-2.3;0.9;1.7;4.4
849;Female;SEC: benefit recipient and pensioner;2021;-0.2;55.5;44.5;-2.7;-0.5;0.2;4.6
850;Female;SEC: benefit recipient and pensioner;2022;-2.6;63.9;36.1;-5.3;-3.2;-1.2;4.6
851;Female;SEC: benefit recipient and pensioner;2023;-0.2;52.7;47.3;-4.2;-1.1;0.6;3.7
852;Female;SEC: benefit claimant;2012;-1.7;64.8;35.2;-9.7;-2.7;-0.8;5.1
853;Female;SEC: benefit claimant;2013;-1.7;64.4;35.6;-10.8;-2.9;-0.8;5.4
854;Female;SEC: benefit claimant;2014;1.6;37.6;62.4;-6.9;0.4;2.5;9.8
855;Female;SEC: benefit claimant;2015;0.8;41.1;58.9;-7.1;-0.1;1.8;8.9
856;Female;SEC: benefit claimant;2016;1.4;34.2;65.8;-5.9;0.8;2.6;9.5
857;Female;SEC: benefit claimant;2017;0.4;41.9;58.1;-6.1;-0.2;1.4;8.4
858;Female;SEC: benefit claimant;2018;-0.1;51.0;49.0;-6.0;-0.5;0.9;7.8
859;Female;SEC: benefit claimant;2019;0.7;36.3;63.7;-5.0;0.2;1.7;8.4
860;Female;SEC: benefit claimant;2020;1.7;30.5;69.5;-4.7;1.3;2.5;9.2
861;Female;SEC: benefit claimant;2021;0.2;47.5;52.5;-5.7;-0.3;1.5;9.0
862;Female;SEC: benefit claimant;2022;2.3;42.5;57.5;-6.5;-0.8;4.3;8.1
863;Female;SEC: benefit claimant;2023;1.4;37.4;62.6;-4.5;0.3;2.8;8.7
864;Female;SEC: claiming unemployment benefit;2012;-2.9;62.5;37.5;-14.7;-5.7;-0.6;6.3
865;Female;SEC: claiming unemployment benefit;2013;-2.7;60.9;39.1;-15.1;-5.7;-0.2;7.3
866;Female;SEC: claiming unemployment benefit;2014;-0.1;50.5;49.5;-13.0;-3.2;2.4;10.2
867;Female;SEC: claiming unemployment benefit;2015;0.1;49.7;50.3;-12.5;-2.7;2.3;10.2
868;Female;SEC: claiming unemployment benefit;2016;1.1;45.5;54.5;-11.1;-1.5;3.3;11.3
869;Female;SEC: claiming unemployment benefit;2017;-0.1;50.6;49.4;-11.3;-2.4;2.1;10.6
870;Female;SEC: claiming unemployment benefit;2018;-0.1;50.3;49.7;-11.3;-2.3;2.0;9.9
871;Female;SEC: claiming unemployment benefit;2019;0.4;48.1;51.9;-11.5;-2.0;2.5;10.5
872;Female;SEC: claiming unemployment benefit;2020;1.0;46.4;53.6;-13.1;-2.2;3.3;11.6
873;Female;SEC: claiming unemployment benefit;2021;0.4;48.5;51.5;-13.7;-2.9;3.3;13.2
874;Female;SEC: claiming unemployment benefit;2022;-2.6;58.3;41.7;-17.0;-6.3;0.6;9.8
875;Female;SEC: claiming unemployment benefit;2023;-1.5;54.6;45.4;-16.0;-5.0;1.7;9.6
876;Female;SEC: claiming social provision benefit;2012;-1.7;66.4;33.6;-8.7;-2.5;-1.0;5.0
877;Female;SEC: claiming social provision benefit;2013;-1.6;65.6;34.4;-9.9;-2.3;-0.9;5.3
878;Female;SEC: claiming social provision benefit;2014;2.0;31.1;68.9;-4.5;1.3;2.7;10.5
879;Female;SEC: claiming social provision benefit;2015;0.9;36.4;63.6;-5.4;0.3;1.8;8.5
880;Female;SEC: claiming social provision benefit;2016;1.3;30.9;69.1;-4.6;1.0;2.1;8.7
881;Female;SEC: claiming social provision benefit;2017;0.5;35.6;64.4;-4.0;0.2;1.3;7.8
882;Female;SEC: claiming social provision benefit;2018;-0.1;52.8;47.2;-4.5;-0.5;0.5;7.0
883;Female;SEC: claiming social provision benefit;2019;0.6;34.1;65.9;-3.3;0.2;1.3;7.5
884;Female;SEC: claiming social provision benefit;2020;1.7;26.1;73.9;-2.5;1.4;2.2;8.0
885;Female;SEC: claiming social provision benefit;2021;0.0;49.3;50.7;-3.3;-0.3;1.2;8.5
886;Female;SEC: claiming social provision benefit;2022;4.2;29.1;70.9;-3.3;2.7;5.2;8.6
887;Female;SEC: claiming social provision benefit;2023;1.6;32.7;67.3;-2.7;0.8;3.0;8.9
888;Female;SEC: claiming disability benefit;2012;-1.5;63.6;36.4;-9.1;-2.7;-0.5;4.7
889;Female;SEC: claiming disability benefit;2013;-1.8;63.7;36.3;-9.9;-3.2;-0.6;5.0
890;Female;SEC: claiming disability benefit;2014;1.1;40.8;59.2;-6.8;-0.1;2.3;8.5
891;Female;SEC: claiming disability benefit;2015;0.6;43.5;56.5;-6.6;-0.4;1.9;8.7
892;Female;SEC: claiming disability benefit;2016;1.5;34.4;65.6;-5.1;0.7;3.0;9.8
893;Female;SEC: claiming disability benefit;2017;0.2;47.2;52.8;-6.6;-0.7;1.3;8.1
894;Female;SEC: claiming disability benefit;2018;0.1;48.5;51.5;-6.5;-0.5;1.2;8.2
895;Female;SEC: claiming disability benefit;2019;0.9;36.7;63.3;-5.6;0.3;2.1;9.0
896;Female;SEC: claiming disability benefit;2020;1.8;32.9;67.1;-5.9;1.1;3.1;10.0
897;Female;SEC: claiming disability benefit;2021;0.3;44.9;55.1;-7.2;-0.3;1.7;9.1
898;Female;SEC: claiming disability benefit;2022;-1.5;56.4;43.6;-8.9;-2.8;1.1;7.0
899;Female;SEC: claiming disability benefit;2023;1.2;41.3;58.7;-6.0;-0.2;2.6;8.3
900;Female;SEC: pensioner;2012;-1.2;70.0;30.0;-4.3;-1.7;-0.7;1.6
901;Female;SEC: pensioner;2013;-2.7;78.1;21.9;-6.9;-3.6;-1.8;0.3
902;Female;SEC: pensioner;2014;0.9;36.1;63.9;-2.6;0.3;1.5;3.6
903;Female;SEC: pensioner;2015;0.2;45.6;54.4;-2.8;-0.3;0.8;2.6
904;Female;SEC: pensioner;2016;0.9;36.4;63.6;-2.4;0.3;1.4;3.0
905;Female;SEC: pensioner;2017;-0.1;52.0;48.0;-2.9;-0.6;0.4;2.0
906;Female;SEC: pensioner;2018;-0.3;61.3;38.7;-2.4;-0.7;0.0;1.9
907;Female;SEC: pensioner;2019;0.7;29.7;70.3;-1.1;0.4;1.0;3.1
908;Female;SEC: pensioner;2020;1.2;26.0;74.0;-1.5;0.9;1.5;3.0
909;Female;SEC: pensioner;2021;-0.3;58.4;41.6;-2.0;-0.5;0.1;3.0
910;Female;SEC: pensioner;2022;-2.9;71.0;29.0;-5.0;-3.4;-2.3;2.9
911;Female;SEC: pensioner;2023;-0.5;57.7;42.3;-4.0;-1.3;0.2;2.3
912;Female;SEC: (school) child or student;2012;-0.8;54.2;45.8;-10.5;-2.9;1.2;8.3
913;Female;SEC: (school) child or student;2013;0.0;49.8;50.2;-10.1;-2.0;2.2;9.7
914;Female;SEC: (school) child or student;2014;2.7;37.6;62.4;-7.4;0.6;4.9;13.3
915;Female;SEC: (school) child or student;2015;2.7;37.7;62.3;-7.8;0.5;5.0;13.5
916;Female;SEC: (school) child or student;2016;4.9;30.2;69.8;-4.9;2.6;7.3;16.2
917;Female;SEC: (school) child or student;2017;2.0;39.6;60.4;-6.8;0.1;4.4;13.7
918;Female;SEC: (school) child or student;2018;2.1;39.4;60.6;-6.7;0.1;4.6;13.6
919;Female;SEC: (school) child or student;2019;2.9;35.6;64.4;-5.9;0.9;5.3;14.2
920;Female;SEC: (school) child or student;2020;4.4;31.8;68.2;-5.7;2.1;6.8;15.3
921;Female;SEC: (school) child or student;2021;3.0;35.9;64.1;-6.0;0.9;5.4;14.6
922;Female;SEC: (school) child or student;2022;0.4;48.4;51.6;-8.4;-1.9;2.9;11.6
923;Female;SEC: (school) child or student;2023;1.6;42.6;57.4;-7.1;-0.6;3.8;11.1
924;Female;SEC: other (without income);2012;-1.8;61.8;38.2;-9.5;-3.3;-0.3;6.1
925;Female;SEC: other (without income);2013;-1.4;58.1;41.9;-9.8;-3.2;0.3;6.7
926;Female;SEC: other (without income);2014;1.3;40.6;59.4;-6.6;-0.1;3.0;10.3
927;Female;SEC: other (without income);2015;1.0;42.4;57.6;-6.8;-0.3;2.8;10.2
928;Female;SEC: other (without income);2016;2.4;34.6;65.4;-5.1;0.9;4.4;11.9
929;Female;SEC: other (without income);2017;0.2;47.9;52.1;-7.0;-1.0;1.8;10.0
930;Female;SEC: other (without income);2018;0.2;48.0;52.0;-6.9;-0.8;2.1;10.3
931;Female;SEC: other (without income);2019;1.7;36.8;63.2;-5.7;0.4;3.2;11.5
932;Female;SEC: other (without income);2020;2.5;33.3;66.7;-6.1;1.2;4.4;12.2
933;Female;SEC: other (without income);2021;1.0;43.3;56.7;-6.9;-0.4;3.0;12.1
934;Female;SEC: other (without income);2022;-1.8;57.9;42.1;-9.7;-3.3;0.5;8.3
935;Female;SEC: other (without income);2023;-0.6;53.4;46.6;-9.2;-2.6;1.3;8.2
