ID;OwnerTenant;HouseholdCharacteristics;Margins;Regions;Periods;SatisfactionWithCurrentDwelling_1;SatisfactionWithLivingEnvironment_2
7623;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Groningen (municipality);2024;68.6;67.3
7624;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Haarlem;2002;87.0;68.3
7625;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Haarlem;2006;74.1;74.0
7626;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Haarlem;2009;80.8;72.3
7627;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Haarlem;2012;79.4;63.3
7628;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Haarlem;2015;67.0;58.2
7629;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Haarlem;2018;67.8;74.1
7630;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Haarlem;2021;57.5;68.6
7631;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Haarlem;2024;83.6;71.1
7632;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Haarlemmermeer;2002;81.8;65.6
7633;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Haarlemmermeer;2006;82.0;79.1
7634;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Haarlemmermeer;2009;85.5;66.4
7635;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Haarlemmermeer;2012;71.9;64.7
7636;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Haarlemmermeer;2015;79.6;72.6
7637;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Haarlemmermeer;2018;71.9;75.1
7638;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Haarlemmermeer;2021;70.0;76.2
7639;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Haarlemmermeer;2024;64.6;63.7
7640;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;'s-Hertogenbosch;2002;76.6;67.4
7641;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;'s-Hertogenbosch;2006;77.9;61.6
7642;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;'s-Hertogenbosch;2009;72.0;68.3
7643;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;'s-Hertogenbosch;2012;68.1;63.2
7644;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;'s-Hertogenbosch;2015;73.5;62.1
7645;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;'s-Hertogenbosch;2018;74.5;87.0
7646;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;'s-Hertogenbosch;2021;62.4;65.3
7647;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;'s-Hertogenbosch;2024;67.0;72.2
7648;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Leeuwarden;2002;70.6;75.5
7649;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Leeuwarden;2006;86.4;44.6
7650;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Leeuwarden;2009;75.9;67.9
7651;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Leeuwarden;2012;76.5;69.0
7652;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Leeuwarden;2015;60.1;65.3
7653;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Leeuwarden;2018;76.2;61.4
7654;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Leeuwarden;2021;64.5;69.8
7655;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Leeuwarden;2024;49.2;55.3
7656;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Leiden;2002;86.6;81.7
7657;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Leiden;2006;78.7;65.7
7658;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Leiden;2009;80.9;67.7
7659;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Leiden;2012;72.0;66.7
7660;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Leiden;2015;75.6;75.1
7661;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Leiden;2018;61.9;62.3
7662;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Leiden;2021;72.6;74.3
7663;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Leiden;2024;61.7;59.7
7664;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Maastricht;2002;77.5;64.6
7665;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Maastricht;2006;73.9;68.0
7666;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Maastricht;2009;71.9;54.3
7667;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Maastricht;2012;75.9;64.9
7668;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Maastricht;2015;71.1;63.4
7669;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Maastricht;2018;62.7;64.6
7670;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Maastricht;2021;65.8;64.8
7671;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Maastricht;2024;71.2;59.8
7672;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Nijmegen;2002;80.0;77.3
7673;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Nijmegen;2006;76.0;60.0
7674;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Nijmegen;2009;78.4;71.9
7675;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Nijmegen;2012;73.5;73.7
7676;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Nijmegen;2015;70.1;67.8
7677;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Nijmegen;2018;63.1;69.4
7678;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Nijmegen;2021;59.4;64.5
7679;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Nijmegen;2024;70.4;59.5
7680;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Rotterdam;2002;78.4;64.4
7681;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Rotterdam;2006;69.2;64.9
7682;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Rotterdam;2009;77.9;71.4
7683;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Rotterdam;2012;74.0;66.5
7684;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Rotterdam;2015;64.8;59.8
7685;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Rotterdam;2018;67.3;62.4
7686;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Rotterdam;2021;63.8;63.2
7687;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Rotterdam;2024;62.1;64.8
7688;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Tilburg;2002;82.0;66.7
7689;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Tilburg;2006;80.1;75.2
7690;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Tilburg;2009;79.6;62.4
7691;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Tilburg;2012;84.8;66.2
7692;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Tilburg;2015;78.5;72.6
7693;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Tilburg;2018;66.3;66.4
7694;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Tilburg;2021;61.9;62.3
7695;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Tilburg;2024;75.1;73.7
7696;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Utrecht (municipality);2002;78.0;67.7
7697;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Utrecht (municipality);2006;73.8;71.1
7698;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Utrecht (municipality);2009;79.6;67.6
7699;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Utrecht (municipality);2012;78.8;74.8
7700;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Utrecht (municipality);2015;79.5;72.7
7701;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Utrecht (municipality);2018;78.5;70.7
7702;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Utrecht (municipality);2021;80.4;78.7
7703;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Utrecht (municipality);2024;73.0;77.0
7704;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Venlo;2002;86.1;74.2
7705;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Venlo;2006;0.0;76.4
7706;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Venlo;2009;64.7;60.2
7707;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Venlo;2012;66.5;50.9
7708;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Venlo;2015;68.8;61.1
7709;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Venlo;2018;64.2;65.6
7710;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Venlo;2021;78.3;62.2
7711;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Venlo;2024;;
7712;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Westland;2002;;
7713;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Westland;2006;91.9;79.0
7714;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Westland;2009;88.8;85.5
7715;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Westland;2012;85.5;77.2
7716;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Westland;2015;78.9;71.1
7717;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Westland;2018;75.3;80.0
7718;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Westland;2021;86.1;78.1
7719;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Westland;2024;;
7720;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Zaanstad;2002;77.4;72.1
7721;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Zaanstad;2006;77.0;72.8
7722;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Zaanstad;2009;69.9;65.1
7723;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Zaanstad;2012;82.6;59.7
7724;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Zaanstad;2015;67.1;55.2
7725;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Zaanstad;2018;71.4;51.5
7726;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Zaanstad;2021;69.7;75.5
7727;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Zaanstad;2024;64.5;47.2
7728;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Zoetermeer;2002;86.9;77.6
7729;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Zoetermeer;2006;89.9;78.3
7730;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Zoetermeer;2009;87.3;64.1
7731;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Zoetermeer;2012;83.5;78.7
7732;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Zoetermeer;2015;78.9;64.5
7733;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Zoetermeer;2018;70.8;73.5
7734;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Zoetermeer;2021;60.5;58.9
7735;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Zoetermeer;2024;63.5;54.3
7736;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Zwolle;2002;84.5;77.4
7737;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Zwolle;2006;89.1;81.1
7738;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Zwolle;2009;83.8;78.5
7739;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Zwolle;2012;89.0;79.0
7740;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Zwolle;2015;70.4;55.9
7741;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Zwolle;2018;82.5;79.8
7742;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Zwolle;2021;79.9;79.2
7743;Total;Age head of household: 45 to 54;Lower bound 95% confidence interval;Zwolle;2024;67.8;73.6
7744;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;The Netherlands;2002;91.1;85.4
7745;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;The Netherlands;2006;91.1;85.6
7746;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;The Netherlands;2009;90.4;83.5
7747;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;The Netherlands;2012;89.6;84.6
7748;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;The Netherlands;2015;87.1;82.5
7749;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;The Netherlands;2018;84.3;83.4
7750;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;The Netherlands;2021;85.4;84.1
7751;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;The Netherlands;2024;82.8;83.1
7752;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Nederland (LD);2002;92.3;91.0
7753;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Nederland (LD);2006;94.6;88.8
7754;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Nederland (LD);2009;94.4;89.1
7755;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Nederland (LD);2012;93.9;90.8
7756;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Nederland (LD);2015;89.2;87.0
7757;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Nederland (LD);2018;87.6;87.4
7758;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Nederland (LD);2021;91.4;88.9
7759;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Nederland (LD);2024;85.8;86.2
7760;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Oost-Nederland (LD);2002;93.7;88.6
7761;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Oost-Nederland (LD);2006;92.6;88.1
7762;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Oost-Nederland (LD);2009;91.9;86.4
7763;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Oost-Nederland (LD);2012;91.3;87.3
7764;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Oost-Nederland (LD);2015;89.7;84.7
7765;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Oost-Nederland (LD);2018;86.5;85.1
7766;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Oost-Nederland (LD);2021;88.4;85.9
7767;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Oost-Nederland (LD);2024;87.2;87.6
7768;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;West-Nederland (LD);2002;89.8;83.3
7769;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;West-Nederland (LD);2006;89.6;83.9
7770;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;West-Nederland (LD);2009;89.0;81.5
7771;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;West-Nederland (LD);2012;88.5;83.1
7772;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;West-Nederland (LD);2015;85.4;80.9
7773;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;West-Nederland (LD);2018;83.2;82.4
7774;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;West-Nederland (LD);2021;83.9;83.6
7775;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;West-Nederland (LD);2024;80.8;82.1
7776;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuid-Nederland (LD);2002;93.0;87.2
7777;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuid-Nederland (LD);2006;93.6;88.4
7778;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuid-Nederland (LD);2009;92.8;85.9
7779;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuid-Nederland (LD);2012;91.2;85.9
7780;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuid-Nederland (LD);2015;90.6;85.0
7781;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuid-Nederland (LD);2018;86.8;85.8
7782;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuid-Nederland (LD);2021;87.0;85.4
7783;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuid-Nederland (LD);2024;85.8;83.6
7784;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Groningen (PV);2002;92.4;89.9
7785;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Groningen (PV);2006;93.5;89.5
7786;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Groningen (PV);2009;94.1;89.3
7787;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Groningen (PV);2012;94.3;90.4
7788;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Groningen (PV);2015;91.0;85.1
7789;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Groningen (PV);2018;87.9;86.9
7790;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Groningen (PV);2021;91.4;86.8
7791;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Groningen (PV);2024;88.8;85.4
7792;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Friesland (PV);2002;94.6;94.9
7793;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Friesland (PV);2006;97.0;89.2
7794;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Friesland (PV);2009;94.6;89.3
7795;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Friesland (PV);2012;95.2;91.9
7796;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Friesland (PV);2015;88.4;91.4
7797;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Friesland (PV);2018;90.6;90.2
7798;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Friesland (PV);2021;93.4;93.2
7799;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Friesland (PV);2024;88.1;91.0
7800;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Drenthe (PV);2002;92.8;91.1
7801;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Drenthe (PV);2006;95.8;91.8
7802;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Drenthe (PV);2009;97.5;93.4
7803;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Drenthe (PV);2012;95.8;94.4
7804;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Drenthe (PV);2015;93.5;89.3
7805;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Drenthe (PV);2018;88.6;89.5
7806;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Drenthe (PV);2021;93.8;91.3
7807;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Drenthe (PV);2024;86.1;87.6
7808;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Overijssel (PV);2002;95.5;90.6
7809;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Overijssel (PV);2006;93.6;90.7
7810;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Overijssel (PV);2009;94.4;90.3
7811;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Overijssel (PV);2012;93.5;90.8
7812;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Overijssel (PV);2015;90.8;87.3
7813;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Overijssel (PV);2018;88.4;88.8
7814;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Overijssel (PV);2021;92.3;88.9
7815;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Overijssel (PV);2024;89.8;92.2
7816;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Flevoland (PV);2002;95.7;87.1
7817;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Flevoland (PV);2006;93.5;86.8
7818;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Flevoland (PV);2009;93.8;85.4
7819;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Flevoland (PV);2012;93.5;86.3
7820;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Flevoland (PV);2015;93.5;83.4
7821;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Flevoland (PV);2018;90.5;85.4
7822;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Flevoland (PV);2021;91.3;86.8
7823;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Flevoland (PV);2024;90.1;83.5
7824;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Gelderland (PV);2002;93.3;89.1
7825;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Gelderland (PV);2006;93.1;88.5
7826;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Gelderland (PV);2009;91.4;86.2
7827;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Gelderland (PV);2012;90.9;87.3
7828;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Gelderland (PV);2015;89.7;85.4
7829;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Gelderland (PV);2018;86.2;84.6
7830;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Gelderland (PV);2021;87.4;86.0
7831;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Gelderland (PV);2024;87.3;88.2
7832;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Utrecht (PV);2002;92.9;89.0
7833;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Utrecht (PV);2006;92.6;89.1
7834;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Utrecht (PV);2009;93.2;86.5
7835;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Utrecht (PV);2012;93.0;86.9
7836;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Utrecht (PV);2015;90.3;84.5
7837;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Utrecht (PV);2018;89.0;84.4
7838;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Utrecht (PV);2021;87.9;88.9
7839;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Utrecht (PV);2024;85.8;87.5
7840;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Holland (PV);2002;88.7;83.9
7841;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Holland (PV);2006;89.1;86.0
7842;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Holland (PV);2009;87.9;80.7
7843;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Holland (PV);2012;89.9;84.1
7844;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Holland (PV);2015;85.3;83.6
7845;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Holland (PV);2018;83.5;85.5
7846;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Holland (PV);2021;83.3;85.4
7847;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Holland (PV);2024;82.3;85.1
7848;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuid-Holland (PV);2002;90.5;81.6
7849;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuid-Holland (PV);2006;90.0;81.9
7850;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuid-Holland (PV);2009;89.4;81.6
7851;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuid-Holland (PV);2012;87.3;82.6
7852;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuid-Holland (PV);2015;85.3;79.1
7853;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuid-Holland (PV);2018;82.5;80.9
7854;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuid-Holland (PV);2021;84.3;81.8
7855;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuid-Holland (PV);2024;80.2;79.9
7856;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zeeland (PV);2002;95.8;93.4
7857;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zeeland (PV);2006;94.0;90.6
7858;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zeeland (PV);2009;93.9;89.1
7859;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zeeland (PV);2012;91.4;87.0
7860;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zeeland (PV);2015;91.3;86.6
7861;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zeeland (PV);2018;88.9;86.4
7862;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zeeland (PV);2021;94.0;91.5
7863;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zeeland (PV);2024;86.3;90.1
7864;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Brabant (PV);2002;93.8;87.9
7865;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Brabant (PV);2006;94.1;88.7
7866;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Brabant (PV);2009;93.7;87.1
7867;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Brabant (PV);2012;92.1;87.8
7868;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Brabant (PV);2015;92.5;86.7
7869;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Brabant (PV);2018;87.2;87.3
7870;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Brabant (PV);2021;88.2;86.3
7871;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Brabant (PV);2024;87.0;84.2
7872;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Limburg (PV);2002;92.6;87.3
7873;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Limburg (PV);2006;93.9;89.7
7874;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Limburg (PV);2009;92.4;85.5
7875;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Limburg (PV);2012;91.0;83.9
7876;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Limburg (PV);2015;87.9;83.3
7877;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Limburg (PV);2018;87.9;84.4
7878;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Limburg (PV);2021;86.7;85.9
7879;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Limburg (PV);2024;87.2;84.3
7880;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Oost-Groningen (CR);2002;94.4;91.0
7881;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Oost-Groningen (CR);2006;94.6;86.7
7882;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Oost-Groningen (CR);2009;96.6;92.9
7883;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Oost-Groningen (CR);2012;100.0;92.1
7884;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Oost-Groningen (CR);2015;98.4;92.4
7885;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Oost-Groningen (CR);2018;94.6;89.3
7886;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Oost-Groningen (CR);2021;96.8;94.9
