ID;ModesOfTravel;Population;TravelPurposes;Margins;RegionCharacteristics;Periods;AverageDistanceTravelledPerTrip_1;AverageTravelTimePerTrip_2
7886;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Limburg (PV);2020;12.32;18.9
7887;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Limburg (PV);2021;10.1;20.86
7888;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Limburg (PV);2022;10.2;20.12
7889;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Limburg (PV);2023;9.21;17.16
7890;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Extremely urbanised;2018;11.19;21.23
7891;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Extremely urbanised;2019;12.32;25.02
7892;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Extremely urbanised;2020;10.45;20.96
7893;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Extremely urbanised;2021;9.2;20.68
7894;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Extremely urbanised;2022;10.1;20.91
7895;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Extremely urbanised;2023;9.37;20.78
7896;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Strongly urbanised;2018;10.19;18.15
7897;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Strongly urbanised;2019;10.7;19.66
7898;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Strongly urbanised;2020;9.76;17.63
7899;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Strongly urbanised;2021;9.83;18.85
7900;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Strongly urbanised;2022;9.91;18.86
7901;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Strongly urbanised;2023;9.65;17.98
7902;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Moderately urbanised;2018;9.66;16.58
7903;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Moderately urbanised;2019;10.49;19.28
7904;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Moderately urbanised;2020;9.9;16.57
7905;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Moderately urbanised;2021;9.5;17.09
7906;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Moderately urbanised;2022;8.86;17.67
7907;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Moderately urbanised;2023;10.57;18.37
7908;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Hardly urbanised;2018;10.96;17.18
7909;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Hardly urbanised;2019;11.37;18.06
7910;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Hardly urbanised;2020;10.42;17.9
7911;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Hardly urbanised;2021;10.31;17.25
7912;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Hardly urbanised;2022;10.01;16.94
7913;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Hardly urbanised;2023;10.89;17.35
7914;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Not urbanised;2018;13.74;19.21
7915;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Not urbanised;2019;15.31;20.87
7916;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Not urbanised;2020;11.12;17.2
7917;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Not urbanised;2021;12.48;18.35
7918;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Not urbanised;2022;9.89;17.08
7919;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Not urbanised;2023;13.98;19.41
7920;Passenger car (driver);Population 6 years or older;Total;Value;The Netherlands;2018;18.96;25.61
7921;Passenger car (driver);Population 6 years or older;Total;Value;The Netherlands;2019;19.0;25.85
7922;Passenger car (driver);Population 6 years or older;Total;Value;The Netherlands;2020;16.33;23.14
7923;Passenger car (driver);Population 6 years or older;Total;Value;The Netherlands;2021;17.08;24.3
7924;Passenger car (driver);Population 6 years or older;Total;Value;The Netherlands;2022;17.44;24.71
7925;Passenger car (driver);Population 6 years or older;Total;Value;The Netherlands;2023;17.67;24.91
7926;Passenger car (driver);Population 6 years or older;Total;Value;Noord-Nederland (LD);2018;20.54;25.23
7927;Passenger car (driver);Population 6 years or older;Total;Value;Noord-Nederland (LD);2019;21.26;25.73
7928;Passenger car (driver);Population 6 years or older;Total;Value;Noord-Nederland (LD);2020;17.41;22.61
7929;Passenger car (driver);Population 6 years or older;Total;Value;Noord-Nederland (LD);2021;18.05;23.5
7930;Passenger car (driver);Population 6 years or older;Total;Value;Noord-Nederland (LD);2022;19.25;25.55
7931;Passenger car (driver);Population 6 years or older;Total;Value;Noord-Nederland (LD);2023;18.96;24.04
7932;Passenger car (driver);Population 6 years or older;Total;Value;Oost-Nederland (LD);2018;19.67;25.25
7933;Passenger car (driver);Population 6 years or older;Total;Value;Oost-Nederland (LD);2019;19.73;25.64
7934;Passenger car (driver);Population 6 years or older;Total;Value;Oost-Nederland (LD);2020;17.19;23.26
7935;Passenger car (driver);Population 6 years or older;Total;Value;Oost-Nederland (LD);2021;17.6;24.2
7936;Passenger car (driver);Population 6 years or older;Total;Value;Oost-Nederland (LD);2022;17.93;24.37
7937;Passenger car (driver);Population 6 years or older;Total;Value;Oost-Nederland (LD);2023;18.24;24.65
7938;Passenger car (driver);Population 6 years or older;Total;Value;West-Nederland (LD);2018;19.41;27.24
7939;Passenger car (driver);Population 6 years or older;Total;Value;West-Nederland (LD);2019;19.56;27.82
7940;Passenger car (driver);Population 6 years or older;Total;Value;West-Nederland (LD);2020;16.96;24.68
7941;Passenger car (driver);Population 6 years or older;Total;Value;West-Nederland (LD);2021;17.56;25.81
7942;Passenger car (driver);Population 6 years or older;Total;Value;West-Nederland (LD);2022;17.66;25.91
7943;Passenger car (driver);Population 6 years or older;Total;Value;West-Nederland (LD);2023;18.28;26.78
7944;Passenger car (driver);Population 6 years or older;Total;Value;Zuid-Nederland (LD);2018;16.79;23.19
7945;Passenger car (driver);Population 6 years or older;Total;Value;Zuid-Nederland (LD);2019;16.44;22.74
7946;Passenger car (driver);Population 6 years or older;Total;Value;Zuid-Nederland (LD);2020;14.05;20.75
7947;Passenger car (driver);Population 6 years or older;Total;Value;Zuid-Nederland (LD);2021;15.38;22.21
7948;Passenger car (driver);Population 6 years or older;Total;Value;Zuid-Nederland (LD);2022;15.83;22.62
7949;Passenger car (driver);Population 6 years or older;Total;Value;Zuid-Nederland (LD);2023;15.64;22.48
7950;Passenger car (driver);Population 6 years or older;Total;Value;Groningen (PV);2018;18.91;24.98
7951;Passenger car (driver);Population 6 years or older;Total;Value;Groningen (PV);2019;22.05;27.2
7952;Passenger car (driver);Population 6 years or older;Total;Value;Groningen (PV);2020;17.88;23.95
7953;Passenger car (driver);Population 6 years or older;Total;Value;Groningen (PV);2021;18.06;24.29
7954;Passenger car (driver);Population 6 years or older;Total;Value;Groningen (PV);2022;20.53;27.42
7955;Passenger car (driver);Population 6 years or older;Total;Value;Groningen (PV);2023;17.1;23.58
7956;Passenger car (driver);Population 6 years or older;Total;Value;Fryslân (PV);2018;21.7;25.34
7957;Passenger car (driver);Population 6 years or older;Total;Value;Fryslân (PV);2019;23.46;27.03
7958;Passenger car (driver);Population 6 years or older;Total;Value;Fryslân (PV);2020;18.64;22.91
7959;Passenger car (driver);Population 6 years or older;Total;Value;Fryslân (PV);2021;19.13;23.38
7960;Passenger car (driver);Population 6 years or older;Total;Value;Fryslân (PV);2022;19.82;25.95
7961;Passenger car (driver);Population 6 years or older;Total;Value;Fryslân (PV);2023;19.94;24.16
7962;Passenger car (driver);Population 6 years or older;Total;Value;Drenthe (PV);2018;20.68;25.31
7963;Passenger car (driver);Population 6 years or older;Total;Value;Drenthe (PV);2019;18.13;22.98
7964;Passenger car (driver);Population 6 years or older;Total;Value;Drenthe (PV);2020;15.33;20.89
7965;Passenger car (driver);Population 6 years or older;Total;Value;Drenthe (PV);2021;16.7;22.83
7966;Passenger car (driver);Population 6 years or older;Total;Value;Drenthe (PV);2022;17.37;23.34
7967;Passenger car (driver);Population 6 years or older;Total;Value;Drenthe (PV);2023;19.44;24.3
7968;Passenger car (driver);Population 6 years or older;Total;Value;Overijssel (PV);2018;18.85;24.22
7969;Passenger car (driver);Population 6 years or older;Total;Value;Overijssel (PV);2019;18.76;25.22
7970;Passenger car (driver);Population 6 years or older;Total;Value;Overijssel (PV);2020;16.16;22.91
7971;Passenger car (driver);Population 6 years or older;Total;Value;Overijssel (PV);2021;17.09;23.69
7972;Passenger car (driver);Population 6 years or older;Total;Value;Overijssel (PV);2022;18.02;24.15
7973;Passenger car (driver);Population 6 years or older;Total;Value;Overijssel (PV);2023;17.32;23.29
7974;Passenger car (driver);Population 6 years or older;Total;Value;Flevoland (PV);2018;23.07;27.36
7975;Passenger car (driver);Population 6 years or older;Total;Value;Flevoland (PV);2019;21.48;26.01
7976;Passenger car (driver);Population 6 years or older;Total;Value;Flevoland (PV);2020;20.09;23.66
7977;Passenger car (driver);Population 6 years or older;Total;Value;Flevoland (PV);2021;20.59;25.36
7978;Passenger car (driver);Population 6 years or older;Total;Value;Flevoland (PV);2022;21.23;26.37
7979;Passenger car (driver);Population 6 years or older;Total;Value;Flevoland (PV);2023;21.69;27.21
7980;Passenger car (driver);Population 6 years or older;Total;Value;Gelderland (PV);2018;19.49;25.44
7981;Passenger car (driver);Population 6 years or older;Total;Value;Gelderland (PV);2019;19.9;25.79
7982;Passenger car (driver);Population 6 years or older;Total;Value;Gelderland (PV);2020;17.19;23.38
7983;Passenger car (driver);Population 6 years or older;Total;Value;Gelderland (PV);2021;17.35;24.28
7984;Passenger car (driver);Population 6 years or older;Total;Value;Gelderland (PV);2022;17.26;24.12
7985;Passenger car (driver);Population 6 years or older;Total;Value;Gelderland (PV);2023;18.05;24.89
7986;Passenger car (driver);Population 6 years or older;Total;Value;Utrecht (PV);2018;20.62;26.49
7987;Passenger car (driver);Population 6 years or older;Total;Value;Utrecht (PV);2019;22.39;28.93
7988;Passenger car (driver);Population 6 years or older;Total;Value;Utrecht (PV);2020;18.75;25.27
7989;Passenger car (driver);Population 6 years or older;Total;Value;Utrecht (PV);2021;18.68;25.42
7990;Passenger car (driver);Population 6 years or older;Total;Value;Utrecht (PV);2022;18.73;25.82
7991;Passenger car (driver);Population 6 years or older;Total;Value;Utrecht (PV);2023;19.72;27.1
7992;Passenger car (driver);Population 6 years or older;Total;Value;Noord-Holland (PV);2018;20.37;28.25
7993;Passenger car (driver);Population 6 years or older;Total;Value;Noord-Holland (PV);2019;19.67;28.46
7994;Passenger car (driver);Population 6 years or older;Total;Value;Noord-Holland (PV);2020;16.01;23.84
7995;Passenger car (driver);Population 6 years or older;Total;Value;Noord-Holland (PV);2021;17.89;26.58
7996;Passenger car (driver);Population 6 years or older;Total;Value;Noord-Holland (PV);2022;18.42;26.41
7997;Passenger car (driver);Population 6 years or older;Total;Value;Noord-Holland (PV);2023;18.46;26.59
7998;Passenger car (driver);Population 6 years or older;Total;Value;Zuid-Holland (PV);2018;18.41;27.35
7999;Passenger car (driver);Population 6 years or older;Total;Value;Zuid-Holland (PV);2019;18.33;27.24
8000;Passenger car (driver);Population 6 years or older;Total;Value;Zuid-Holland (PV);2020;17.11;25.51
8001;Passenger car (driver);Population 6 years or older;Total;Value;Zuid-Holland (PV);2021;16.63;25.6
8002;Passenger car (driver);Population 6 years or older;Total;Value;Zuid-Holland (PV);2022;16.82;26.06
8003;Passenger car (driver);Population 6 years or older;Total;Value;Zuid-Holland (PV);2023;17.36;27.08
8004;Passenger car (driver);Population 6 years or older;Total;Value;Zeeland (PV);2018;18.42;22.68
8005;Passenger car (driver);Population 6 years or older;Total;Value;Zeeland (PV);2019;20.31;25.49
8006;Passenger car (driver);Population 6 years or older;Total;Value;Zeeland (PV);2020;15.99;21.47
8007;Passenger car (driver);Population 6 years or older;Total;Value;Zeeland (PV);2021;19.43;24.37
8008;Passenger car (driver);Population 6 years or older;Total;Value;Zeeland (PV);2022;16.83;22.3
8009;Passenger car (driver);Population 6 years or older;Total;Value;Zeeland (PV);2023;20.26;24.56
8010;Passenger car (driver);Population 6 years or older;Total;Value;Noord-Brabant (PV);2018;17.88;24.35
8011;Passenger car (driver);Population 6 years or older;Total;Value;Noord-Brabant (PV);2019;17.59;23.8
8012;Passenger car (driver);Population 6 years or older;Total;Value;Noord-Brabant (PV);2020;14.45;21.06
8013;Passenger car (driver);Population 6 years or older;Total;Value;Noord-Brabant (PV);2021;15.74;22.76
8014;Passenger car (driver);Population 6 years or older;Total;Value;Noord-Brabant (PV);2022;16.4;23.21
8015;Passenger car (driver);Population 6 years or older;Total;Value;Noord-Brabant (PV);2023;16.73;23.72
8016;Passenger car (driver);Population 6 years or older;Total;Value;Limburg (PV);2018;14.47;20.71
8017;Passenger car (driver);Population 6 years or older;Total;Value;Limburg (PV);2019;13.96;20.46
8018;Passenger car (driver);Population 6 years or older;Total;Value;Limburg (PV);2020;13.22;20.1
8019;Passenger car (driver);Population 6 years or older;Total;Value;Limburg (PV);2021;14.55;20.96
8020;Passenger car (driver);Population 6 years or older;Total;Value;Limburg (PV);2022;14.58;21.33
8021;Passenger car (driver);Population 6 years or older;Total;Value;Limburg (PV);2023;13.26;19.78
8022;Passenger car (driver);Population 6 years or older;Total;Value;Extremely urbanised;2018;20.49;29.54
8023;Passenger car (driver);Population 6 years or older;Total;Value;Extremely urbanised;2019;20.05;29.28
8024;Passenger car (driver);Population 6 years or older;Total;Value;Extremely urbanised;2020;17.84;26.83
8025;Passenger car (driver);Population 6 years or older;Total;Value;Extremely urbanised;2021;17.91;27.55
8026;Passenger car (driver);Population 6 years or older;Total;Value;Extremely urbanised;2022;17.92;27.36
8027;Passenger car (driver);Population 6 years or older;Total;Value;Extremely urbanised;2023;18.4;28.26
8028;Passenger car (driver);Population 6 years or older;Total;Value;Strongly urbanised;2018;19.17;25.86
8029;Passenger car (driver);Population 6 years or older;Total;Value;Strongly urbanised;2019;18.85;25.93
8030;Passenger car (driver);Population 6 years or older;Total;Value;Strongly urbanised;2020;16.5;23.55
8031;Passenger car (driver);Population 6 years or older;Total;Value;Strongly urbanised;2021;17.03;24.43
8032;Passenger car (driver);Population 6 years or older;Total;Value;Strongly urbanised;2022;17.64;25.15
8033;Passenger car (driver);Population 6 years or older;Total;Value;Strongly urbanised;2023;17.55;25.2
8034;Passenger car (driver);Population 6 years or older;Total;Value;Moderately urbanised;2018;17.56;23.97
8035;Passenger car (driver);Population 6 years or older;Total;Value;Moderately urbanised;2019;18.39;24.94
8036;Passenger car (driver);Population 6 years or older;Total;Value;Moderately urbanised;2020;15.26;21.64
8037;Passenger car (driver);Population 6 years or older;Total;Value;Moderately urbanised;2021;16.26;23.31
8038;Passenger car (driver);Population 6 years or older;Total;Value;Moderately urbanised;2022;16.64;23.69
8039;Passenger car (driver);Population 6 years or older;Total;Value;Moderately urbanised;2023;16.98;23.69
8040;Passenger car (driver);Population 6 years or older;Total;Value;Hardly urbanised;2018;18.76;24.48
8041;Passenger car (driver);Population 6 years or older;Total;Value;Hardly urbanised;2019;18.47;24.28
8042;Passenger car (driver);Population 6 years or older;Total;Value;Hardly urbanised;2020;15.74;21.76
8043;Passenger car (driver);Population 6 years or older;Total;Value;Hardly urbanised;2021;16.38;22.8
8044;Passenger car (driver);Population 6 years or older;Total;Value;Hardly urbanised;2022;17.3;23.43
8045;Passenger car (driver);Population 6 years or older;Total;Value;Hardly urbanised;2023;17.52;23.66
8046;Passenger car (driver);Population 6 years or older;Total;Value;Not urbanised;2018;18.79;24.04
8047;Passenger car (driver);Population 6 years or older;Total;Value;Not urbanised;2019;20.22;25.66
8048;Passenger car (driver);Population 6 years or older;Total;Value;Not urbanised;2020;16.82;22.25
8049;Passenger car (driver);Population 6 years or older;Total;Value;Not urbanised;2021;19.36;24.19
8050;Passenger car (driver);Population 6 years or older;Total;Value;Not urbanised;2022;17.89;23.6
8051;Passenger car (driver);Population 6 years or older;Total;Value;Not urbanised;2023;18.59;23.77
8052;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;The Netherlands;2018;18.6;25.26
8053;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;The Netherlands;2019;18.6;25.46
8054;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;The Netherlands;2020;15.99;22.8
8055;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;The Netherlands;2021;16.73;23.94
8056;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;The Netherlands;2022;17.1;24.35
8057;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;The Netherlands;2023;17.34;24.57
8058;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Nederland (LD);2018;19.31;24.1
8059;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Nederland (LD);2019;19.71;24.35
8060;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Nederland (LD);2020;16.18;21.44
8061;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Nederland (LD);2021;16.84;22.36
8062;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Nederland (LD);2022;17.87;24.16
8063;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Nederland (LD);2023;17.72;22.91
8064;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Oost-Nederland (LD);2018;18.92;24.58
8065;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Oost-Nederland (LD);2019;18.81;24.79
8066;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Oost-Nederland (LD);2020;16.44;22.52
8067;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Oost-Nederland (LD);2021;16.84;23.38
8068;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Oost-Nederland (LD);2022;17.21;23.65
8069;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Oost-Nederland (LD);2023;17.52;23.95
8070;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;West-Nederland (LD);2018;18.85;26.7
8071;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;West-Nederland (LD);2019;18.96;27.22
8072;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;West-Nederland (LD);2020;16.48;24.17
8073;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;West-Nederland (LD);2021;17.06;25.28
8074;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;West-Nederland (LD);2022;17.18;25.4
8075;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;West-Nederland (LD);2023;17.78;26.27
8076;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Nederland (LD);2018;16.13;22.52
8077;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Nederland (LD);2019;15.76;22.09
8078;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Nederland (LD);2020;13.43;20.08
8079;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Nederland (LD);2021;14.67;21.48
8080;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Nederland (LD);2022;15.13;21.88
8081;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Nederland (LD);2023;15.02;21.84
8082;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Groningen (PV);2018;16.78;22.92
8083;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Groningen (PV);2019;18.85;24.48
8084;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Groningen (PV);2020;15.56;21.49
8085;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Groningen (PV);2021;15.8;22.17
8086;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Groningen (PV);2022;17.36;24.34
8087;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Groningen (PV);2023;15.29;21.82
8088;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Fryslân (PV);2018;19.55;23.56
8089;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Fryslân (PV);2019;20.74;24.74
8090;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Fryslân (PV);2020;16.46;21.02
8091;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Fryslân (PV);2021;17.09;21.51
8092;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Fryslân (PV);2022;17.67;23.7
8093;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Fryslân (PV);2023;17.74;22.21
8094;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Drenthe (PV);2018;18.63;23.3
8095;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Drenthe (PV);2019;16.05;20.83
8096;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Drenthe (PV);2020;13.65;19.27
8097;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Drenthe (PV);2021;14.75;20.94
8098;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Drenthe (PV);2022;15.56;21.51
8099;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Drenthe (PV);2023;17.19;22.21
8100;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Overijssel (PV);2018;17.55;23.14
8101;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Overijssel (PV);2019;17.2;23.62
8102;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Overijssel (PV);2020;14.85;21.54
8103;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Overijssel (PV);2021;15.68;22.2
8104;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Overijssel (PV);2022;16.58;22.82
8105;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Overijssel (PV);2023;16.02;22.11
8106;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Flevoland (PV);2018;20.62;25.23
8107;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Flevoland (PV);2019;19.32;23.94
8108;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Flevoland (PV);2020;17.98;21.82
8109;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Flevoland (PV);2021;18.44;23.48
8110;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Flevoland (PV);2022;19.33;24.47
8111;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Flevoland (PV);2023;19.79;25.15
8112;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Gelderland (PV);2018;18.52;24.51
8113;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Gelderland (PV);2019;18.64;24.66
8114;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Gelderland (PV);2020;16.19;22.38
8115;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Gelderland (PV);2021;16.35;23.17
8116;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Gelderland (PV);2022;16.36;23.16
8117;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Gelderland (PV);2023;17.09;23.93
8118;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Utrecht (PV);2018;19.25;25.4
8119;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Utrecht (PV);2019;20.82;27.48
8120;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Utrecht (PV);2020;17.78;24.32
8121;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Utrecht (PV);2021;17.79;24.55
8122;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Utrecht (PV);2022;17.84;24.91
8123;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Utrecht (PV);2023;18.82;26.19
8124;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Holland (PV);2018;19.37;27.3
8125;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Holland (PV);2019;18.57;27.33
8126;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Holland (PV);2020;15.19;22.94
8127;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Holland (PV);2021;16.99;25.56
8128;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Holland (PV);2022;17.46;25.41
8129;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Holland (PV);2023;17.49;25.67
8130;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Holland (PV);2018;17.59;26.5
8131;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Holland (PV);2019;17.52;26.41
8132;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Holland (PV);2020;16.36;24.71
8133;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Holland (PV);2021;15.92;24.82
8134;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Holland (PV);2022;16.11;25.29
8135;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Holland (PV);2023;16.67;26.29
8136;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Zeeland (PV);2018;16.05;20.39
8137;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Zeeland (PV);2019;17.45;22.53
8138;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Zeeland (PV);2020;13.38;19.12
8139;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Zeeland (PV);2021;16.35;21.64
8140;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Zeeland (PV);2022;14.74;20.4
8141;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Zeeland (PV);2023;16.99;21.9
8142;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Brabant (PV);2018;17.04;23.49
8143;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Brabant (PV);2019;16.74;23.02
8144;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Brabant (PV);2020;13.69;20.25
8145;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Brabant (PV);2021;14.93;21.84
8146;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Brabant (PV);2022;15.54;22.29
8147;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Brabant (PV);2023;15.94;22.91
8148;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Limburg (PV);2018;13.44;19.73
8149;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Limburg (PV);2019;12.9;19.32
8150;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Limburg (PV);2020;12.12;18.89
