ID;EarningGroups;CharacteristicsEmployee;CaribbeanNetherlands;Periods;JobsOfEmployees_1;AverageAnnualWage_2
395;Total all earninggroups;Age: 25 to 34 years;St. Eustatius;2022;290.0;29860.0
396;Total all earninggroups;Age: 25 to 34 years;Saba;2011;140.0;24340.0
397;Total all earninggroups;Age: 25 to 34 years;Saba;2012;150.0;25470.0
398;Total all earninggroups;Age: 25 to 34 years;Saba;2013;140.0;25480.0
399;Total all earninggroups;Age: 25 to 34 years;Saba;2014;150.0;24210.0
400;Total all earninggroups;Age: 25 to 34 years;Saba;2015;150.0;24360.0
401;Total all earninggroups;Age: 25 to 34 years;Saba;2016;170.0;23660.0
402;Total all earninggroups;Age: 25 to 34 years;Saba;2017;190.0;23110.0
403;Total all earninggroups;Age: 25 to 34 years;Saba;2018;180.0;22640.0
404;Total all earninggroups;Age: 25 to 34 years;Saba;2019;180.0;24460.0
405;Total all earninggroups;Age: 25 to 34 years;Saba;2020;200.0;26550.0
406;Total all earninggroups;Age: 25 to 34 years;Saba;2021;190.0;27270.0
407;Total all earninggroups;Age: 25 to 34 years;Saba;2022;200.0;32000.0
408;Total all earninggroups;Age: 25 to 34 years;Unclassificable;2011;10.0;30790.0
409;Total all earninggroups;Age: 25 to 34 years;Unclassificable;2012;;
410;Total all earninggroups;Age: 25 to 34 years;Unclassificable;2013;;
411;Total all earninggroups;Age: 25 to 34 years;Unclassificable;2014;;
412;Total all earninggroups;Age: 25 to 34 years;Unclassificable;2015;;
413;Total all earninggroups;Age: 25 to 34 years;Unclassificable;2016;;
414;Total all earninggroups;Age: 25 to 34 years;Unclassificable;2017;;
415;Total all earninggroups;Age: 25 to 34 years;Unclassificable;2018;;
416;Total all earninggroups;Age: 25 to 34 years;Unclassificable;2019;;
417;Total all earninggroups;Age: 25 to 34 years;Unclassificable;2020;;
418;Total all earninggroups;Age: 25 to 34 years;Unclassificable;2021;;
419;Total all earninggroups;Age: 25 to 34 years;Unclassificable;2022;;
420;Total all earninggroups;Age: 35 to 44 years;Caribbean Netherlands;2011;2190.0;25240.0
421;Total all earninggroups;Age: 35 to 44 years;Caribbean Netherlands;2012;2180.0;26960.0
422;Total all earninggroups;Age: 35 to 44 years;Caribbean Netherlands;2013;2210.0;27510.0
423;Total all earninggroups;Age: 35 to 44 years;Caribbean Netherlands;2014;2300.0;28700.0
424;Total all earninggroups;Age: 35 to 44 years;Caribbean Netherlands;2015;2500.0;28310.0
425;Total all earninggroups;Age: 35 to 44 years;Caribbean Netherlands;2016;2570.0;28300.0
426;Total all earninggroups;Age: 35 to 44 years;Caribbean Netherlands;2017;2650.0;29200.0
427;Total all earninggroups;Age: 35 to 44 years;Caribbean Netherlands;2018;2780.0;28070.0
428;Total all earninggroups;Age: 35 to 44 years;Caribbean Netherlands;2019;2930.0;28990.0
429;Total all earninggroups;Age: 35 to 44 years;Caribbean Netherlands;2020;3030.0;28980.0
430;Total all earninggroups;Age: 35 to 44 years;Caribbean Netherlands;2021;3170.0;29750.0
431;Total all earninggroups;Age: 35 to 44 years;Caribbean Netherlands;2022;3240.0;30750.0
432;Total all earninggroups;Age: 35 to 44 years;Bonaire;2011;1700.0;23750.0
433;Total all earninggroups;Age: 35 to 44 years;Bonaire;2012;1730.0;25200.0
434;Total all earninggroups;Age: 35 to 44 years;Bonaire;2013;1730.0;26100.0
435;Total all earninggroups;Age: 35 to 44 years;Bonaire;2014;1800.0;26970.0
436;Total all earninggroups;Age: 35 to 44 years;Bonaire;2015;1980.0;26180.0
437;Total all earninggroups;Age: 35 to 44 years;Bonaire;2016;2040.0;26050.0
438;Total all earninggroups;Age: 35 to 44 years;Bonaire;2017;2090.0;27090.0
439;Total all earninggroups;Age: 35 to 44 years;Bonaire;2018;2190.0;26410.0
440;Total all earninggroups;Age: 35 to 44 years;Bonaire;2019;2370.0;27270.0
441;Total all earninggroups;Age: 35 to 44 years;Bonaire;2020;2480.0;27930.0
442;Total all earninggroups;Age: 35 to 44 years;Bonaire;2021;2630.0;28550.0
443;Total all earninggroups;Age: 35 to 44 years;Bonaire;2022;2680.0;29560.0
444;Total all earninggroups;Age: 35 to 44 years;St. Eustatius;2011;300.0;32590.0
445;Total all earninggroups;Age: 35 to 44 years;St. Eustatius;2012;290.0;37010.0
446;Total all earninggroups;Age: 35 to 44 years;St. Eustatius;2013;300.0;35300.0
447;Total all earninggroups;Age: 35 to 44 years;St. Eustatius;2014;310.0;38170.0
448;Total all earninggroups;Age: 35 to 44 years;St. Eustatius;2015;320.0;39090.0
449;Total all earninggroups;Age: 35 to 44 years;St. Eustatius;2016;320.0;40030.0
450;Total all earninggroups;Age: 35 to 44 years;St. Eustatius;2017;340.0;41690.0
451;Total all earninggroups;Age: 35 to 44 years;St. Eustatius;2018;360.0;36350.0
452;Total all earninggroups;Age: 35 to 44 years;St. Eustatius;2019;350.0;38300.0
453;Total all earninggroups;Age: 35 to 44 years;St. Eustatius;2020;360.0;34510.0
454;Total all earninggroups;Age: 35 to 44 years;St. Eustatius;2021;350.0;36140.0
455;Total all earninggroups;Age: 35 to 44 years;St. Eustatius;2022;370.0;35060.0
456;Total all earninggroups;Age: 35 to 44 years;Saba;2011;180.0;26580.0
457;Total all earninggroups;Age: 35 to 44 years;Saba;2012;160.0;27950.0
458;Total all earninggroups;Age: 35 to 44 years;Saba;2013;170.0;27910.0
459;Total all earninggroups;Age: 35 to 44 years;Saba;2014;190.0;29590.0
460;Total all earninggroups;Age: 35 to 44 years;Saba;2015;210.0;31940.0
461;Total all earninggroups;Age: 35 to 44 years;Saba;2016;200.0;32630.0
462;Total all earninggroups;Age: 35 to 44 years;Saba;2017;220.0;29920.0
463;Total all earninggroups;Age: 35 to 44 years;Saba;2018;220.0;30940.0
464;Total all earninggroups;Age: 35 to 44 years;Saba;2019;220.0;32920.0
465;Total all earninggroups;Age: 35 to 44 years;Saba;2020;190.0;32130.0
466;Total all earninggroups;Age: 35 to 44 years;Saba;2021;180.0;34570.0
467;Total all earninggroups;Age: 35 to 44 years;Saba;2022;190.0;38980.0
468;Total all earninggroups;Age: 35 to 44 years;Unclassificable;2011;;
469;Total all earninggroups;Age: 35 to 44 years;Unclassificable;2012;;
470;Total all earninggroups;Age: 35 to 44 years;Unclassificable;2013;;
471;Total all earninggroups;Age: 35 to 44 years;Unclassificable;2014;;
472;Total all earninggroups;Age: 35 to 44 years;Unclassificable;2015;;
473;Total all earninggroups;Age: 35 to 44 years;Unclassificable;2016;;
474;Total all earninggroups;Age: 35 to 44 years;Unclassificable;2017;;
475;Total all earninggroups;Age: 35 to 44 years;Unclassificable;2018;;
476;Total all earninggroups;Age: 35 to 44 years;Unclassificable;2019;;
477;Total all earninggroups;Age: 35 to 44 years;Unclassificable;2020;;
478;Total all earninggroups;Age: 35 to 44 years;Unclassificable;2021;;
479;Total all earninggroups;Age: 35 to 44 years;Unclassificable;2022;;
480;Total all earninggroups;Age: 45 to 54 years;Caribbean Netherlands;2011;2460.0;25180.0
481;Total all earninggroups;Age: 45 to 54 years;Caribbean Netherlands;2012;2510.0;26770.0
482;Total all earninggroups;Age: 45 to 54 years;Caribbean Netherlands;2013;2600.0;26540.0
483;Total all earninggroups;Age: 45 to 54 years;Caribbean Netherlands;2014;2730.0;27400.0
484;Total all earninggroups;Age: 45 to 54 years;Caribbean Netherlands;2015;2860.0;28400.0
485;Total all earninggroups;Age: 45 to 54 years;Caribbean Netherlands;2016;2940.0;28870.0
486;Total all earninggroups;Age: 45 to 54 years;Caribbean Netherlands;2017;2940.0;29370.0
487;Total all earninggroups;Age: 45 to 54 years;Caribbean Netherlands;2018;2960.0;29370.0
488;Total all earninggroups;Age: 45 to 54 years;Caribbean Netherlands;2019;2930.0;30460.0
489;Total all earninggroups;Age: 45 to 54 years;Caribbean Netherlands;2020;2880.0;30760.0
490;Total all earninggroups;Age: 45 to 54 years;Caribbean Netherlands;2021;2940.0;31280.0
491;Total all earninggroups;Age: 45 to 54 years;Caribbean Netherlands;2022;2970.0;33520.0
492;Total all earninggroups;Age: 45 to 54 years;Bonaire;2011;1980.0;23900.0
493;Total all earninggroups;Age: 45 to 54 years;Bonaire;2012;2040.0;25260.0
494;Total all earninggroups;Age: 45 to 54 years;Bonaire;2013;2090.0;24990.0
495;Total all earninggroups;Age: 45 to 54 years;Bonaire;2014;2210.0;25710.0
496;Total all earninggroups;Age: 45 to 54 years;Bonaire;2015;2300.0;26440.0
497;Total all earninggroups;Age: 45 to 54 years;Bonaire;2016;2380.0;27060.0
498;Total all earninggroups;Age: 45 to 54 years;Bonaire;2017;2360.0;27320.0
499;Total all earninggroups;Age: 45 to 54 years;Bonaire;2018;2390.0;27640.0
500;Total all earninggroups;Age: 45 to 54 years;Bonaire;2019;2370.0;28590.0
501;Total all earninggroups;Age: 45 to 54 years;Bonaire;2020;2290.0;29030.0
502;Total all earninggroups;Age: 45 to 54 years;Bonaire;2021;2350.0;29240.0
503;Total all earninggroups;Age: 45 to 54 years;Bonaire;2022;2410.0;31730.0
504;Total all earninggroups;Age: 45 to 54 years;St. Eustatius;2011;310.0;32280.0
505;Total all earninggroups;Age: 45 to 54 years;St. Eustatius;2012;320.0;35270.0
506;Total all earninggroups;Age: 45 to 54 years;St. Eustatius;2013;350.0;34360.0
507;Total all earninggroups;Age: 45 to 54 years;St. Eustatius;2014;350.0;36810.0
508;Total all earninggroups;Age: 45 to 54 years;St. Eustatius;2015;360.0;39800.0
509;Total all earninggroups;Age: 45 to 54 years;St. Eustatius;2016;370.0;38740.0
510;Total all earninggroups;Age: 45 to 54 years;St. Eustatius;2017;380.0;40250.0
511;Total all earninggroups;Age: 45 to 54 years;St. Eustatius;2018;350.0;39890.0
512;Total all earninggroups;Age: 45 to 54 years;St. Eustatius;2019;350.0;42200.0
513;Total all earninggroups;Age: 45 to 54 years;St. Eustatius;2020;370.0;38700.0
514;Total all earninggroups;Age: 45 to 54 years;St. Eustatius;2021;370.0;41290.0
515;Total all earninggroups;Age: 45 to 54 years;St. Eustatius;2022;350.0;41810.0
516;Total all earninggroups;Age: 45 to 54 years;Saba;2011;160.0;27210.0
517;Total all earninggroups;Age: 45 to 54 years;Saba;2012;160.0;28980.0
518;Total all earninggroups;Age: 45 to 54 years;Saba;2013;160.0;29600.0
519;Total all earninggroups;Age: 45 to 54 years;Saba;2014;170.0;30210.0
520;Total all earninggroups;Age: 45 to 54 years;Saba;2015;190.0;30350.0
521;Total all earninggroups;Age: 45 to 54 years;Saba;2016;200.0;32470.0
522;Total all earninggroups;Age: 45 to 54 years;Saba;2017;190.0;32880.0
523;Total all earninggroups;Age: 45 to 54 years;Saba;2018;220.0;31350.0
524;Total all earninggroups;Age: 45 to 54 years;Saba;2019;210.0;32220.0
525;Total all earninggroups;Age: 45 to 54 years;Saba;2020;220.0;35450.0
526;Total all earninggroups;Age: 45 to 54 years;Saba;2021;220.0;36290.0
527;Total all earninggroups;Age: 45 to 54 years;Saba;2022;210.0;40450.0
528;Total all earninggroups;Age: 45 to 54 years;Unclassificable;2011;10.0;19290.0
529;Total all earninggroups;Age: 45 to 54 years;Unclassificable;2012;;
530;Total all earninggroups;Age: 45 to 54 years;Unclassificable;2013;;
531;Total all earninggroups;Age: 45 to 54 years;Unclassificable;2014;;
532;Total all earninggroups;Age: 45 to 54 years;Unclassificable;2015;;
533;Total all earninggroups;Age: 45 to 54 years;Unclassificable;2016;;
534;Total all earninggroups;Age: 45 to 54 years;Unclassificable;2017;;
535;Total all earninggroups;Age: 45 to 54 years;Unclassificable;2018;;
536;Total all earninggroups;Age: 45 to 54 years;Unclassificable;2019;;
537;Total all earninggroups;Age: 45 to 54 years;Unclassificable;2020;;
538;Total all earninggroups;Age: 45 to 54 years;Unclassificable;2021;;
539;Total all earninggroups;Age: 45 to 54 years;Unclassificable;2022;;
540;Total all earninggroups;Age: 55 to 64 years;Caribbean Netherlands;2011;1070.0;25830.0
541;Total all earninggroups;Age: 55 to 64 years;Caribbean Netherlands;2012;1170.0;27260.0
542;Total all earninggroups;Age: 55 to 64 years;Caribbean Netherlands;2013;1290.0;28150.0
543;Total all earninggroups;Age: 55 to 64 years;Caribbean Netherlands;2014;1450.0;27980.0
544;Total all earninggroups;Age: 55 to 64 years;Caribbean Netherlands;2015;1610.0;28660.0
545;Total all earninggroups;Age: 55 to 64 years;Caribbean Netherlands;2016;1780.0;28390.0
546;Total all earninggroups;Age: 55 to 64 years;Caribbean Netherlands;2017;1930.0;29990.0
547;Total all earninggroups;Age: 55 to 64 years;Caribbean Netherlands;2018;2090.0;29510.0
548;Total all earninggroups;Age: 55 to 64 years;Caribbean Netherlands;2019;2240.0;30720.0
549;Total all earninggroups;Age: 55 to 64 years;Caribbean Netherlands;2020;2440.0;30570.0
550;Total all earninggroups;Age: 55 to 64 years;Caribbean Netherlands;2021;2630.0;30970.0
551;Total all earninggroups;Age: 55 to 64 years;Caribbean Netherlands;2022;2620.0;32310.0
552;Total all earninggroups;Age: 55 to 64 years;Bonaire;2011;850.0;24460.0
553;Total all earninggroups;Age: 55 to 64 years;Bonaire;2012;930.0;26040.0
554;Total all earninggroups;Age: 55 to 64 years;Bonaire;2013;1010.0;27170.0
555;Total all earninggroups;Age: 55 to 64 years;Bonaire;2014;1140.0;26620.0
556;Total all earninggroups;Age: 55 to 64 years;Bonaire;2015;1300.0;27320.0
557;Total all earninggroups;Age: 55 to 64 years;Bonaire;2016;1460.0;26920.0
558;Total all earninggroups;Age: 55 to 64 years;Bonaire;2017;1590.0;28110.0
559;Total all earninggroups;Age: 55 to 64 years;Bonaire;2018;1720.0;27810.0
560;Total all earninggroups;Age: 55 to 64 years;Bonaire;2019;1870.0;28750.0
561;Total all earninggroups;Age: 55 to 64 years;Bonaire;2020;2030.0;28720.0
562;Total all earninggroups;Age: 55 to 64 years;Bonaire;2021;2180.0;29440.0
563;Total all earninggroups;Age: 55 to 64 years;Bonaire;2022;2150.0;30790.0
564;Total all earninggroups;Age: 55 to 64 years;St. Eustatius;2011;130.0;29540.0
565;Total all earninggroups;Age: 55 to 64 years;St. Eustatius;2012;150.0;31950.0
566;Total all earninggroups;Age: 55 to 64 years;St. Eustatius;2013;180.0;31570.0
567;Total all earninggroups;Age: 55 to 64 years;St. Eustatius;2014;200.0;33940.0
568;Total all earninggroups;Age: 55 to 64 years;St. Eustatius;2015;190.0;36040.0
569;Total all earninggroups;Age: 55 to 64 years;St. Eustatius;2016;200.0;36520.0
570;Total all earninggroups;Age: 55 to 64 years;St. Eustatius;2017;210.0;40940.0
571;Total all earninggroups;Age: 55 to 64 years;St. Eustatius;2018;230.0;36750.0
572;Total all earninggroups;Age: 55 to 64 years;St. Eustatius;2019;230.0;42340.0
573;Total all earninggroups;Age: 55 to 64 years;St. Eustatius;2020;260.0;40530.0
574;Total all earninggroups;Age: 55 to 64 years;St. Eustatius;2021;300.0;38720.0
575;Total all earninggroups;Age: 55 to 64 years;St. Eustatius;2022;320.0;39670.0
576;Total all earninggroups;Age: 55 to 64 years;Saba;2011;90.0;33450.0
577;Total all earninggroups;Age: 55 to 64 years;Saba;2012;90.0;31730.0
578;Total all earninggroups;Age: 55 to 64 years;Saba;2013;100.0;31710.0
579;Total all earninggroups;Age: 55 to 64 years;Saba;2014;110.0;31130.0
580;Total all earninggroups;Age: 55 to 64 years;Saba;2015;110.0;31810.0
581;Total all earninggroups;Age: 55 to 64 years;Saba;2016;130.0;32650.0
582;Total all earninggroups;Age: 55 to 64 years;Saba;2017;130.0;35120.0
583;Total all earninggroups;Age: 55 to 64 years;Saba;2018;140.0;38570.0
584;Total all earninggroups;Age: 55 to 64 years;Saba;2019;140.0;38090.0
585;Total all earninggroups;Age: 55 to 64 years;Saba;2020;150.0;38370.0
586;Total all earninggroups;Age: 55 to 64 years;Saba;2021;150.0;37590.0
587;Total all earninggroups;Age: 55 to 64 years;Saba;2022;150.0;38280.0
588;Total all earninggroups;Age: 55 to 64 years;Unclassificable;2011;;
589;Total all earninggroups;Age: 55 to 64 years;Unclassificable;2012;;
590;Total all earninggroups;Age: 55 to 64 years;Unclassificable;2013;;
591;Total all earninggroups;Age: 55 to 64 years;Unclassificable;2014;;
592;Total all earninggroups;Age: 55 to 64 years;Unclassificable;2015;;
593;Total all earninggroups;Age: 55 to 64 years;Unclassificable;2016;;
594;Total all earninggroups;Age: 55 to 64 years;Unclassificable;2017;;
595;Total all earninggroups;Age: 55 to 64 years;Unclassificable;2018;;
596;Total all earninggroups;Age: 55 to 64 years;Unclassificable;2019;;
597;Total all earninggroups;Age: 55 to 64 years;Unclassificable;2020;;
598;Total all earninggroups;Age: 55 to 64 years;Unclassificable;2021;;
599;Total all earninggroups;Age: 55 to 64 years;Unclassificable;2022;;
600;Total all earninggroups;Age: 65 to 74 years;Caribbean Netherlands;2011;250.0;12710.0
601;Total all earninggroups;Age: 65 to 74 years;Caribbean Netherlands;2012;290.0;13800.0
602;Total all earninggroups;Age: 65 to 74 years;Caribbean Netherlands;2013;330.0;16870.0
603;Total all earninggroups;Age: 65 to 74 years;Caribbean Netherlands;2014;270.0;20060.0
604;Total all earninggroups;Age: 65 to 74 years;Caribbean Netherlands;2015;290.0;21220.0
605;Total all earninggroups;Age: 65 to 74 years;Caribbean Netherlands;2016;330.0;20100.0
606;Total all earninggroups;Age: 65 to 74 years;Caribbean Netherlands;2017;360.0;20940.0
607;Total all earninggroups;Age: 65 to 74 years;Caribbean Netherlands;2018;380.0;21390.0
608;Total all earninggroups;Age: 65 to 74 years;Caribbean Netherlands;2019;400.0;22470.0
609;Total all earninggroups;Age: 65 to 74 years;Caribbean Netherlands;2020;410.0;21590.0
610;Total all earninggroups;Age: 65 to 74 years;Caribbean Netherlands;2021;470.0;22640.0
611;Total all earninggroups;Age: 65 to 74 years;Caribbean Netherlands;2022;480.0;24630.0
612;Total all earninggroups;Age: 65 to 74 years;Bonaire;2011;210.0;9900.0
613;Total all earninggroups;Age: 65 to 74 years;Bonaire;2012;230.0;10940.0
614;Total all earninggroups;Age: 65 to 74 years;Bonaire;2013;260.0;14020.0
615;Total all earninggroups;Age: 65 to 74 years;Bonaire;2014;190.0;17910.0
616;Total all earninggroups;Age: 65 to 74 years;Bonaire;2015;210.0;18030.0
617;Total all earninggroups;Age: 65 to 74 years;Bonaire;2016;260.0;17920.0
618;Total all earninggroups;Age: 65 to 74 years;Bonaire;2017;280.0;18220.0
619;Total all earninggroups;Age: 65 to 74 years;Bonaire;2018;290.0;19270.0
620;Total all earninggroups;Age: 65 to 74 years;Bonaire;2019;310.0;20150.0
621;Total all earninggroups;Age: 65 to 74 years;Bonaire;2020;320.0;18790.0
622;Total all earninggroups;Age: 65 to 74 years;Bonaire;2021;370.0;19270.0
