ID;Population;Sex;PersonalCharacteristics;ModesOfTravel;Margins;RegionCharacteristics;Periods;Trips_1;DistanceTravelled_2;TimeTravelled_3;Trips_4;DistanceTravelled_5;TimeTravelled_6
7849;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Gelderland (PV);2019;;;;;;
7850;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Gelderland (PV);2020;;;;;;
7851;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Gelderland (PV);2021;;;;;;
7852;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Gelderland (PV);2022;;;;;;
7853;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Gelderland (PV);2023;;;;;;
7854;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Utrecht (PV);2018;;;;;;
7855;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Utrecht (PV);2019;;;;;;
7856;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Utrecht (PV);2020;;;;;;
7857;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Utrecht (PV);2021;;;;;;
7858;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Utrecht (PV);2022;;;;;;
7859;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Utrecht (PV);2023;;;;;;
7860;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Noord-Holland (PV);2018;;;;;;
7861;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Noord-Holland (PV);2019;;;;;;
7862;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Noord-Holland (PV);2020;;;;;;
7863;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Noord-Holland (PV);2021;;;;;;
7864;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Noord-Holland (PV);2022;;;;;;
7865;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Noord-Holland (PV);2023;;;;;;
7866;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Zuid-Holland (PV);2018;;;;;;
7867;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Zuid-Holland (PV);2019;;;;;;
7868;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Zuid-Holland (PV);2020;;;;;;
7869;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Zuid-Holland (PV);2021;;;;;;
7870;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Zuid-Holland (PV);2022;;;;;;
7871;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Zuid-Holland (PV);2023;;;;;;
7872;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Zeeland (PV);2018;;;;;;
7873;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Zeeland (PV);2019;;;;;;
7874;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Zeeland (PV);2020;;;;;;
7875;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Zeeland (PV);2021;;;;;;
7876;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Zeeland (PV);2022;;;;;;
7877;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Zeeland (PV);2023;;;;;;
7878;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Noord-Brabant (PV);2018;;;;;;
7879;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Noord-Brabant (PV);2019;;;;;;
7880;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Noord-Brabant (PV);2020;;;;;;
7881;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Noord-Brabant (PV);2021;;;;;;
7882;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Noord-Brabant (PV);2022;;;;;;
7883;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Noord-Brabant (PV);2023;;;;;;
7884;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Limburg (PV);2018;;;;;;
7885;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Limburg (PV);2019;;;;;;
7886;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Limburg (PV);2020;;;;;;
7887;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Limburg (PV);2021;;;;;;
7888;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Limburg (PV);2022;;;;;;
7889;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Limburg (PV);2023;;;;;;
7890;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Extremely urbanised;2018;;;;;;
7891;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Extremely urbanised;2019;;;;;;
7892;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Extremely urbanised;2020;;;;;;
7893;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Extremely urbanised;2021;;;;;;
7894;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Extremely urbanised;2022;;;;;;
7895;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Extremely urbanised;2023;;;;;;
7896;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Strongly urbanised;2018;0.08;2.98;5.61;30.0;1089.0;34.1
7897;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Strongly urbanised;2019;;;;;;
7898;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Strongly urbanised;2020;;;;;;
7899;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Strongly urbanised;2021;;;;;;
7900;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Strongly urbanised;2022;0.09;3.36;5.94;33.0;1227.0;36.1
7901;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Strongly urbanised;2023;0.09;3.3;6.06;32.0;1205.0;36.9
7902;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Moderately urbanised;2018;0.13;5.72;8.95;48.0;2087.0;54.5
7903;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Moderately urbanised;2019;;;;;;
7904;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Moderately urbanised;2020;;;;;;
7905;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Moderately urbanised;2021;;;;;;
7906;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Moderately urbanised;2022;;;;;;
7907;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Moderately urbanised;2023;;;;;;
7908;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Hardly urbanised;2018;0.11;5.64;8.02;38.0;2060.0;48.8
7909;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Hardly urbanised;2019;;;;;;
7910;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Hardly urbanised;2020;;;;;;
7911;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Hardly urbanised;2021;;;;;;
7912;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Hardly urbanised;2022;;;;;;
7913;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Hardly urbanised;2023;;;;;;
7914;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Not urbanised;2018;;;;;;
7915;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Not urbanised;2019;;;;;;
7916;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Not urbanised;2020;;;;;;
7917;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Not urbanised;2021;;;;;;
7918;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Not urbanised;2022;;;;;;
7919;Population 6 years or older;Total male and female;Age: 12 to 17 years;Train;Upper bound 95% confidence interval;Not urbanised;2023;;;;;;
7920;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;The Netherlands;2018;0.14;2.13;6.22;52.0;778.0;37.8
7921;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;The Netherlands;2019;0.13;2.03;6.25;48.0;741.0;38.0
7922;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;The Netherlands;2020;0.08;1.33;4.02;30.0;487.0;24.5
7923;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;The Netherlands;2021;0.08;1.11;3.68;28.0;405.0;22.4
7924;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;The Netherlands;2022;0.12;1.59;5.52;42.0;580.0;33.6
7925;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;The Netherlands;2023;0.12;1.51;5.28;43.0;552.0;32.1
7926;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Noord-Nederland (LD);2018;;;;;;
7927;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Noord-Nederland (LD);2019;;;;;;
7928;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Noord-Nederland (LD);2020;;;;;;
7929;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Noord-Nederland (LD);2021;;;;;;
7930;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Noord-Nederland (LD);2022;;;;;;
7931;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Noord-Nederland (LD);2023;;;;;;
7932;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Oost-Nederland (LD);2018;0.08;1.39;3.23;28.0;507.0;19.6
7933;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Oost-Nederland (LD);2019;;;;;;
7934;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Oost-Nederland (LD);2020;;;;;;
7935;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Oost-Nederland (LD);2021;;;;;;
7936;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Oost-Nederland (LD);2022;;;;;;
7937;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Oost-Nederland (LD);2023;;;;;;
7938;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;West-Nederland (LD);2018;0.19;2.26;7.5;69.0;823.0;45.6
7939;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;West-Nederland (LD);2019;0.18;2.23;7.72;65.0;813.0;47.0
7940;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;West-Nederland (LD);2020;0.11;1.42;5.19;41.0;521.0;31.6
7941;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;West-Nederland (LD);2021;0.11;1.5;5.64;42.0;546.0;34.3
7942;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;West-Nederland (LD);2022;0.17;1.96;7.68;60.0;716.0;46.7
7943;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;West-Nederland (LD);2023;0.17;1.9;7.64;62.0;694.0;46.5
7944;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Zuid-Nederland (LD);2018;0.11;1.81;5.36;40.0;661.0;32.6
7945;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Zuid-Nederland (LD);2019;;;;;;
7946;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Zuid-Nederland (LD);2020;;;;;;
7947;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Zuid-Nederland (LD);2021;;;;;;
7948;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Zuid-Nederland (LD);2022;;;;;;
7949;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Zuid-Nederland (LD);2023;;;;;;
7950;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Groningen (PV);2018;;;;;;
7951;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Groningen (PV);2019;;;;;;
7952;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Groningen (PV);2020;;;;;;
7953;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Groningen (PV);2021;;;;;;
7954;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Groningen (PV);2022;;;;;;
7955;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Groningen (PV);2023;;;;;;
7956;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Fryslân (PV);2018;;;;;;
7957;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Fryslân (PV);2019;;;;;;
7958;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Fryslân (PV);2020;;;;;;
7959;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Fryslân (PV);2021;;;;;;
7960;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Fryslân (PV);2022;;;;;;
7961;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Fryslân (PV);2023;;;;;;
7962;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Drenthe (PV);2018;;;;;;
7963;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Drenthe (PV);2019;;;;;;
7964;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Drenthe (PV);2020;;;;;;
7965;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Drenthe (PV);2021;;;;;;
7966;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Drenthe (PV);2022;;;;;;
7967;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Drenthe (PV);2023;;;;;;
7968;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Overijssel (PV);2018;;;;;;
7969;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Overijssel (PV);2019;;;;;;
7970;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Overijssel (PV);2020;;;;;;
7971;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Overijssel (PV);2021;;;;;;
7972;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Overijssel (PV);2022;;;;;;
7973;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Overijssel (PV);2023;;;;;;
7974;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Flevoland (PV);2018;;;;;;
7975;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Flevoland (PV);2019;;;;;;
7976;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Flevoland (PV);2020;;;;;;
7977;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Flevoland (PV);2021;;;;;;
7978;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Flevoland (PV);2022;;;;;;
7979;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Flevoland (PV);2023;;;;;;
7980;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Gelderland (PV);2018;;;;;;
7981;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Gelderland (PV);2019;;;;;;
7982;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Gelderland (PV);2020;;;;;;
7983;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Gelderland (PV);2021;;;;;;
7984;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Gelderland (PV);2022;;;;;;
7985;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Gelderland (PV);2023;;;;;;
7986;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Utrecht (PV);2018;;;;;;
7987;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Utrecht (PV);2019;;;;;;
7988;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Utrecht (PV);2020;;;;;;
7989;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Utrecht (PV);2021;;;;;;
7990;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Utrecht (PV);2022;;;;;;
7991;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Utrecht (PV);2023;;;;;;
7992;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Noord-Holland (PV);2018;0.21;2.2;8.45;77.0;803.0;51.4
7993;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Noord-Holland (PV);2019;0.16;1.86;7.23;57.0;678.0;44.0
7994;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Noord-Holland (PV);2020;;;;;;
7995;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Noord-Holland (PV);2021;;;;;;
7996;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Noord-Holland (PV);2022;0.16;1.9;8.42;59.0;692.0;51.2
7997;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Noord-Holland (PV);2023;0.17;1.54;7.07;64.0;562.0;43.0
7998;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Zuid-Holland (PV);2018;0.19;2.29;7.65;70.0;834.0;46.6
7999;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Zuid-Holland (PV);2019;0.23;2.8;9.46;84.0;1023.0;57.6
8000;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Zuid-Holland (PV);2020;0.11;1.25;4.94;41.0;456.0;30.2
8001;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Zuid-Holland (PV);2021;0.12;1.61;6.51;43.0;588.0;39.6
8002;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Zuid-Holland (PV);2022;0.2;2.12;8.04;74.0;776.0;48.9
8003;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Zuid-Holland (PV);2023;0.19;2.14;8.43;70.0;781.0;51.3
8004;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Zeeland (PV);2018;;;;;;
8005;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Zeeland (PV);2019;;;;;;
8006;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Zeeland (PV);2020;;;;;;
8007;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Zeeland (PV);2021;;;;;;
8008;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Zeeland (PV);2022;;;;;;
8009;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Zeeland (PV);2023;;;;;;
8010;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Noord-Brabant (PV);2018;;;;;;
8011;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Noord-Brabant (PV);2019;;;;;;
8012;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Noord-Brabant (PV);2020;;;;;;
8013;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Noord-Brabant (PV);2021;;;;;;
8014;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Noord-Brabant (PV);2022;;;;;;
8015;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Noord-Brabant (PV);2023;;;;;;
8016;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Limburg (PV);2018;;;;;;
8017;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Limburg (PV);2019;;;;;;
8018;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Limburg (PV);2020;;;;;;
8019;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Limburg (PV);2021;;;;;;
8020;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Limburg (PV);2022;;;;;;
8021;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Limburg (PV);2023;;;;;;
8022;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Extremely urbanised;2018;0.27;2.69;10.62;100.0;983.0;64.6
8023;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Extremely urbanised;2019;0.24;2.7;10.02;88.0;985.0;60.9
8024;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Extremely urbanised;2020;0.15;1.46;6.62;54.0;533.0;40.4
8025;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Extremely urbanised;2021;0.16;1.43;7.17;57.0;521.0;43.6
8026;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Extremely urbanised;2022;0.24;1.76;8.76;89.0;642.0;53.3
8027;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Extremely urbanised;2023;0.24;1.89;10.41;86.0;688.0;63.3
8028;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Strongly urbanised;2018;0.1;1.27;4.02;38.0;464.0;24.4
8029;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Strongly urbanised;2019;0.09;1.2;3.9;34.0;438.0;23.7
8030;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Strongly urbanised;2020;;;;;;
8031;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Strongly urbanised;2021;;;;;;
8032;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Strongly urbanised;2022;0.08;1.47;5.0;28.0;536.0;30.4
8033;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Strongly urbanised;2023;0.08;1.06;3.29;30.0;388.0;20.0
8034;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Moderately urbanised;2018;0.09;1.77;4.23;34.0;647.0;25.8
8035;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Moderately urbanised;2019;;;;;;
8036;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Moderately urbanised;2020;;;;;;
8037;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Moderately urbanised;2021;;;;;;
8038;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Moderately urbanised;2022;;;;;;
8039;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Moderately urbanised;2023;;;;;;
8040;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Hardly urbanised;2018;0.12;2.57;5.9;44.0;939.0;35.9
8041;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Hardly urbanised;2019;0.1;2.11;5.06;38.0;771.0;30.8
8042;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Hardly urbanised;2020;;;;;;
8043;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Hardly urbanised;2021;;;;;;
8044;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Hardly urbanised;2022;;;;;;
8045;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Hardly urbanised;2023;0.09;1.88;4.6;32.0;684.0;28.0
8046;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Not urbanised;2018;;;;;;
8047;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Not urbanised;2019;;;;;;
8048;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Not urbanised;2020;;;;;;
8049;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Not urbanised;2021;;;;;;
8050;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Not urbanised;2022;;;;;;
8051;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Value;Not urbanised;2023;;;;;;
8052;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;The Netherlands;2018;0.13;1.84;5.42;46.0;672.0;32.9
8053;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;The Netherlands;2019;0.11;1.68;5.2;42.0;614.0;31.6
8054;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;The Netherlands;2020;0.07;0.94;3.18;25.0;344.0;19.4
