ID;Sex;Age;DegreeOfDisablement;Periods;TotalInflow_1;Employers_2;PersonnelPublicSector_3;SelfEmployed_4;YoungHandicapped_5;OtherInflow_6;WAO_7;Wajong_8;WAZ_9;TotalOutflow_10;ReasonRecoveredFromIllness_11;Retirement_12;OtherOutflow_13;WAO_14;Wajong_15;WAZ_16
7632;Women;45 to 55 years;Total, degree of disablement;2009 February;100;70;0;10;20;0;70;20;10;130;50;;90;100;20;10
7633;Women;45 to 55 years;Total, degree of disablement;2009 March;80;50;10;0;10;0;60;10;0;140;70;;70;120;20;0
7634;Women;45 to 55 years;Total, degree of disablement;2009 April;70;50;0;0;10;0;60;10;0;130;60;;70;110;10;10
7635;Women;45 to 55 years;Total, degree of disablement;2009 May;80;70;0;0;10;0;70;10;0;130;70;;60;110;10;10
7636;Women;45 to 55 years;Total, degree of disablement;2009 June;60;50;0;0;10;0;50;10;0;100;40;;50;80;10;10
7637;Women;45 to 55 years;Total, degree of disablement;2009 July;80;70;0;0;20;0;70;20;0;60;10;;50;40;10;0
7638;Women;45 to 55 years;Total, degree of disablement;2009 August;60;40;0;0;20;0;50;20;0;60;10;;50;40;20;0
7639;Women;45 to 55 years;Total, degree of disablement;2009 September;90;70;10;0;10;0;80;10;0;50;10;;30;30;20;0
7640;Women;45 to 55 years;Total, degree of disablement;2009 October;100;70;10;0;20;0;80;20;0;40;10;;40;30;10;0
7641;Women;45 to 55 years;Total, degree of disablement;2009 November;90;60;10;0;20;10;70;20;0;60;0;;60;20;30;10
7642;Women;45 to 55 years;Total, degree of disablement;2009 December;60;40;10;0;10;10;50;10;0;30;0;;30;10;10;0
7643;Women;45 to 55 years;Total, degree of disablement;2009 annual total;970;700;50;20;170;30;770;180;30;1100;410;;690;850;200;50
7644;Women;45 to 55 years;Complete disablement (>= 80%);1998 January;960;790;100;20;10;50;890;20;50;490;130;;360;430;40;20
7645;Women;45 to 55 years;Complete disablement (>= 80%);1998 February;840;710;50;10;10;50;780;10;50;460;110;;360;400;40;20
7646;Women;45 to 55 years;Complete disablement (>= 80%);1998 March;910;750;100;10;10;50;860;10;40;300;110;;190;280;10;10
7647;Women;45 to 55 years;Complete disablement (>= 80%);1998 April;970;800;80;30;10;50;890;20;70;430;130;;300;390;30;20
7648;Women;45 to 55 years;Complete disablement (>= 80%);1998 May;740;600;60;20;20;40;670;20;50;340;120;;220;290;30;20
7649;Women;45 to 55 years;Complete disablement (>= 80%);1998 June;840;700;60;30;10;40;760;20;60;360;110;;250;320;30;20
7650;Women;45 to 55 years;Complete disablement (>= 80%);1998 July;750;610;70;20;20;30;690;20;40;360;90;;270;310;40;10
7651;Women;45 to 55 years;Complete disablement (>= 80%);1998 August;760;640;60;10;20;30;700;20;40;420;110;;310;300;100;20
7652;Women;45 to 55 years;Complete disablement (>= 80%);1998 September;830;710;70;20;0;30;790;10;40;420;80;;330;290;100;30
7653;Women;45 to 55 years;Complete disablement (>= 80%);1998 October;880;700;130;10;0;30;840;10;40;320;80;;240;260;40;10
7654;Women;45 to 55 years;Complete disablement (>= 80%);1998 November;970;790;120;10;0;50;930;10;30;340;100;;240;300;20;20
7655;Women;45 to 55 years;Complete disablement (>= 80%);1998 December;1120;720;130;120;10;150;860;120;140;320;90;;230;290;20;10
7656;Women;45 to 55 years;Complete disablement (>= 80%);1998 annual total;10560;8500;1040;300;120;590;9650;260;650;4540;1260;;3280;3850;490;200
7657;Women;45 to 55 years;Complete disablement (>= 80%);1999 January;950;730;180;10;0;20;920;10;30;480;140;;340;450;10;20
7658;Women;45 to 55 years;Complete disablement (>= 80%);1999 February;890;740;90;30;10;30;840;10;50;340;100;;240;300;20;10
7659;Women;45 to 55 years;Complete disablement (>= 80%);1999 March;960;790;120;20;0;30;910;10;40;610;80;;530;440;160;10
7660;Women;45 to 55 years;Complete disablement (>= 80%);1999 April;890;750;90;30;10;20;840;10;50;350;90;;260;320;20;20
7661;Women;45 to 55 years;Complete disablement (>= 80%);1999 May;830;720;80;20;0;10;800;0;30;280;80;;190;260;10;10
7662;Women;45 to 55 years;Complete disablement (>= 80%);1999 June;790;660;90;20;0;20;750;0;30;290;90;;210;260;20;10
7663;Women;45 to 55 years;Complete disablement (>= 80%);1999 July;760;670;50;20;10;20;720;10;40;290;100;;190;270;10;10
7664;Women;45 to 55 years;Complete disablement (>= 80%);1999 August;750;630;80;10;0;30;710;0;40;340;80;;250;300;10;30
7665;Women;45 to 55 years;Complete disablement (>= 80%);1999 September;730;630;80;10;0;10;710;0;20;270;80;;190;240;10;20
7666;Women;45 to 55 years;Complete disablement (>= 80%);1999 October;830;730;60;20;10;20;790;10;30;260;80;;180;230;20;10
7667;Women;45 to 55 years;Complete disablement (>= 80%);1999 November;1040;820;180;10;0;30;1010;0;30;310;90;;220;280;10;20
7668;Women;45 to 55 years;Complete disablement (>= 80%);1999 December;900;760;90;10;10;30;860;10;40;720;80;;640;700;10;10
7669;Women;45 to 55 years;Complete disablement (>= 80%);1999 annual total;10340;8630;1190;200;60;260;9850;60;430;4530;1100;;3440;4030;320;180
7670;Women;45 to 55 years;Complete disablement (>= 80%);2000 January;870;740;80;20;0;20;820;0;40;290;90;;210;270;10;10
7671;Women;45 to 55 years;Complete disablement (>= 80%);2000 February;1050;880;110;10;10;40;1000;10;50;320;90;;230;300;10;10
7672;Women;45 to 55 years;Complete disablement (>= 80%);2000 March;1000;840;110;20;0;30;950;0;40;450;100;;350;430;0;10
7673;Women;45 to 55 years;Complete disablement (>= 80%);2000 April;940;770;110;20;10;40;880;10;50;370;100;;270;330;20;30
7674;Women;45 to 55 years;Complete disablement (>= 80%);2000 May;840;710;80;20;0;20;790;0;40;310;90;;210;270;10;20
7675;Women;45 to 55 years;Complete disablement (>= 80%);2000 June;810;650;100;20;10;20;760;10;40;410;120;;290;370;30;20
7676;Women;45 to 55 years;Complete disablement (>= 80%);2000 July;690;600;60;20;10;10;660;10;30;380;90;;300;350;20;20
7677;Women;45 to 55 years;Complete disablement (>= 80%);2000 August;780;710;40;10;10;30;740;10;30;370;100;;270;340;10;20
7678;Women;45 to 55 years;Complete disablement (>= 80%);2000 September;850;690;120;20;10;20;800;10;40;350;100;;240;310;20;20
7679;Women;45 to 55 years;Complete disablement (>= 80%);2000 October;840;690;100;20;10;30;790;10;50;320;80;;240;300;10;20
7680;Women;45 to 55 years;Complete disablement (>= 80%);2000 November;1150;970;120;20;0;30;1100;0;40;330;90;;230;300;20;10
7681;Women;45 to 55 years;Complete disablement (>= 80%);2000 December;1000;830;110;30;0;30;950;0;50;330;100;;230;300;10;20
7682;Women;45 to 55 years;Complete disablement (>= 80%);2000 annual total;10810;9060;1150;220;50;320;10240;60;510;4230;1150;;3080;3870;170;200
7683;Women;45 to 55 years;Complete disablement (>= 80%);2001 January;900;680;170;20;0;20;860;0;40;310;100;;210;280;10;20
7684;Women;45 to 55 years;Complete disablement (>= 80%);2001 February;960;780;130;20;0;30;910;0;50;360;110;;250;310;20;30
7685;Women;45 to 55 years;Complete disablement (>= 80%);2001 March;890;720;130;20;0;30;840;0;40;330;100;;230;290;10;30
7686;Women;45 to 55 years;Complete disablement (>= 80%);2001 April;890;770;90;20;0;20;850;0;30;310;100;;220;280;20;10
7687;Women;45 to 55 years;Complete disablement (>= 80%);2001 May;1230;710;470;10;10;30;1190;10;40;330;120;;210;310;10;10
7688;Women;45 to 55 years;Complete disablement (>= 80%);2001 June;940;730;140;20;10;30;880;10;50;310;110;;200;290;10;20
7689;Women;45 to 55 years;Complete disablement (>= 80%);2001 July;670;560;70;20;10;20;630;10;30;550;110;;440;510;20;20
7690;Women;45 to 55 years;Complete disablement (>= 80%);2001 August;780;670;70;20;0;20;740;10;40;380;100;;280;340;20;20
7691;Women;45 to 55 years;Complete disablement (>= 80%);2001 September;650;560;50;20;10;20;610;10;40;320;130;;200;290;10;20
7692;Women;45 to 55 years;Complete disablement (>= 80%);2001 October;780;670;60;10;0;30;730;10;40;330;130;;200;300;20;10
7693;Women;45 to 55 years;Complete disablement (>= 80%);2001 November;810;710;60;20;0;20;770;0;40;300;110;;190;270;10;20
7694;Women;45 to 55 years;Complete disablement (>= 80%);2001 December;790;680;80;10;0;20;760;0;30;300;130;;170;280;10;10
7695;Women;45 to 55 years;Complete disablement (>= 80%);2001 annual total;10270;8240;1510;200;40;280;9760;50;470;4110;1340;;2770;3730;160;220
7696;Women;45 to 55 years;Complete disablement (>= 80%);2002 January;780;660;70;20;0;30;720;10;50;280;130;;150;260;10;20
7697;Women;45 to 55 years;Complete disablement (>= 80%);2002 February;880;790;60;20;10;20;850;10;30;340;110;;240;310;20;20
7698;Women;45 to 55 years;Complete disablement (>= 80%);2002 March;810;700;70;20;0;20;770;0;40;320;110;;210;290;10;20
7699;Women;45 to 55 years;Complete disablement (>= 80%);2002 April;910;800;70;10;0;30;870;0;40;370;140;;240;330;20;20
7700;Women;45 to 55 years;Complete disablement (>= 80%);2002 May;720;620;50;20;0;20;680;0;40;330;140;;200;310;20;10
7701;Women;45 to 55 years;Complete disablement (>= 80%);2002 June;690;580;70;30;0;10;650;0;40;310;140;;170;290;10;10
7702;Women;45 to 55 years;Complete disablement (>= 80%);2002 July;710;600;70;40;0;10;670;0;50;320;130;;180;290;20;10
7703;Women;45 to 55 years;Complete disablement (>= 80%);2002 August;690;580;50;40;0;10;640;0;50;380;150;;220;350;10;20
7704;Women;45 to 55 years;Complete disablement (>= 80%);2002 September;650;530;80;30;0;10;610;0;40;330;120;;210;300;20;20
7705;Women;45 to 55 years;Complete disablement (>= 80%);2002 October;860;710;90;40;10;10;800;10;50;350;120;;230;320;20;10
7706;Women;45 to 55 years;Complete disablement (>= 80%);2002 November;710;610;50;30;0;10;670;0;40;330;130;;200;310;10;20
7707;Women;45 to 55 years;Complete disablement (>= 80%);2002 December;680;550;90;30;10;10;640;10;30;370;140;;230;340;20;20
7708;Women;45 to 55 years;Complete disablement (>= 80%);2002 annual total;9090;7710;820;330;40;190;8550;50;490;4030;1550;;2480;3680;170;180
7709;Women;45 to 55 years;Complete disablement (>= 80%);2003 January;720;620;50;30;0;10;680;0;40;300;120;;180;270;20;20
7710;Women;45 to 55 years;Complete disablement (>= 80%);2003 February;690;580;60;30;10;10;650;10;40;400;140;;260;360;20;20
7711;Women;45 to 55 years;Complete disablement (>= 80%);2003 March;570;480;50;30;0;10;530;0;40;340;140;;200;310;20;20
7712;Women;45 to 55 years;Complete disablement (>= 80%);2003 April;530;450;50;20;10;10;500;10;30;370;140;;230;330;20;20
7713;Women;45 to 55 years;Complete disablement (>= 80%);2003 May;710;600;50;30;0;40;650;0;60;400;140;;260;350;30;20
7714;Women;45 to 55 years;Complete disablement (>= 80%);2003 June;500;420;40;30;0;10;460;0;40;350;130;;220;310;20;10
7715;Women;45 to 55 years;Complete disablement (>= 80%);2003 July;530;440;50;20;10;10;490;10;40;380;140;;240;360;10;20
7716;Women;45 to 55 years;Complete disablement (>= 80%);2003 August;480;400;40;30;0;10;440;0;30;350;160;;190;310;10;30
7717;Women;45 to 55 years;Complete disablement (>= 80%);2003 September;450;370;50;20;0;10;420;0;30;360;110;;260;310;20;30
7718;Women;45 to 55 years;Complete disablement (>= 80%);2003 October;490;410;50;30;10;10;450;10;30;350;100;;240;290;20;30
7719;Women;45 to 55 years;Complete disablement (>= 80%);2003 November;550;480;50;10;0;10;530;0;20;370;110;;260;330;20;20
7720;Women;45 to 55 years;Complete disablement (>= 80%);2003 December;490;370;70;20;0;20;450;0;40;380;140;;250;350;20;20
7721;Women;45 to 55 years;Complete disablement (>= 80%);2003 annual total;6700;5610;600;290;40;160;6240;40;420;4350;1560;;2790;3890;220;240
7722;Women;45 to 55 years;Complete disablement (>= 80%);2004 January;430;360;40;20;0;10;400;0;30;400;140;;260;380;10;20
7723;Women;45 to 55 years;Complete disablement (>= 80%);2004 February;500;400;70;10;0;10;470;0;20;420;130;;300;380;20;20
7724;Women;45 to 55 years;Complete disablement (>= 80%);2004 March;510;420;50;40;0;10;460;0;40;340;110;;230;310;10;30
7725;Women;45 to 55 years;Complete disablement (>= 80%);2004 April;530;430;60;20;0;20;490;0;40;310;110;;210;280;20;10
7726;Women;45 to 55 years;Complete disablement (>= 80%);2004 May;410;340;50;20;0;0;390;0;20;290;110;;180;260;10;20
7727;Women;45 to 55 years;Complete disablement (>= 80%);2004 June;510;420;50;30;0;10;470;0;30;300;90;;210;260;20;20
7728;Women;45 to 55 years;Complete disablement (>= 80%);2004 July;450;370;40;20;0;10;410;0;30;280;110;;180;270;10;10
7729;Women;45 to 55 years;Complete disablement (>= 80%);2004 August;430;350;40;20;0;10;390;10;30;320;110;;200;290;10;10
7730;Women;45 to 55 years;Complete disablement (>= 80%);2004 September;450;360;60;20;10;10;420;10;30;300;110;;200;270;20;10
7731;Women;45 to 55 years;Complete disablement (>= 80%);2004 October;400;330;30;30;0;10;360;0;30;300;90;;210;280;20;10
7732;Women;45 to 55 years;Complete disablement (>= 80%);2004 November;600;460;40;80;10;10;510;10;90;380;100;;280;350;20;20
7733;Women;45 to 55 years;Complete disablement (>= 80%);2004 December;450;360;50;30;10;10;410;10;40;280;60;;220;250;10;20
7734;Women;45 to 55 years;Complete disablement (>= 80%);2004 annual total;5660;4600;570;330;40;120;5190;40;430;3920;1250;;2670;3580;170;170
7735;Women;45 to 55 years;Complete disablement (>= 80%);2005 January;330;250;30;20;0;10;290;0;40;270;50;;220;220;40;10
7736;Women;45 to 55 years;Complete disablement (>= 80%);2005 February;290;200;50;30;0;10;260;0;30;230;60;;180;190;20;20
7737;Women;45 to 55 years;Complete disablement (>= 80%);2005 March;190;120;20;30;0;10;150;0;40;230;60;;170;200;20;10
7738;Women;45 to 55 years;Complete disablement (>= 80%);2005 April;150;90;30;10;0;10;120;0;30;220;60;;160;190;20;10
7739;Women;45 to 55 years;Complete disablement (>= 80%);2005 May;120;60;30;10;10;10;100;10;20;220;80;;140;190;10;10
7740;Women;45 to 55 years;Complete disablement (>= 80%);2005 June;230;130;30;30;10;30;160;10;70;240;100;;140;210;10;20
7741;Women;45 to 55 years;Complete disablement (>= 80%);2005 July;100;60;10;20;10;10;70;10;30;130;40;;100;120;10;10
7742;Women;45 to 55 years;Complete disablement (>= 80%);2005 August;70;50;10;0;0;10;60;0;10;200;70;;130;170;20;10
7743;Women;45 to 55 years;Complete disablement (>= 80%);2005 September;170;60;90;0;0;10;150;0;10;190;60;;130;160;10;10
7744;Women;45 to 55 years;Complete disablement (>= 80%);2005 October;80;50;0;10;10;10;50;10;20;130;50;;80;120;0;10
7745;Women;45 to 55 years;Complete disablement (>= 80%);2005 November;100;50;30;10;0;0;80;0;20;180;70;;110;160;10;10
7746;Women;45 to 55 years;Complete disablement (>= 80%);2005 December;50;30;0;10;0;10;40;0;10;130;50;;80;110;20;10
7747;Women;45 to 55 years;Complete disablement (>= 80%);2005 annual total;1870;1160;350;180;50;130;1510;50;310;2370;720;;1640;2050;180;140
7748;Women;45 to 55 years;Complete disablement (>= 80%);2006 January;100;70;10;10;10;10;80;10;10;160;70;;90;140;10;10
7749;Women;45 to 55 years;Complete disablement (>= 80%);2006 February;80;40;30;0;0;10;70;0;10;120;40;;90;110;10;10
7750;Women;45 to 55 years;Complete disablement (>= 80%);2006 March;60;50;0;10;0;0;50;0;10;160;50;;110;130;20;10
7751;Women;45 to 55 years;Complete disablement (>= 80%);2006 April;70;60;0;10;10;0;60;10;10;170;40;;140;140;20;10
7752;Women;45 to 55 years;Complete disablement (>= 80%);2006 May;60;40;0;10;10;0;50;10;10;160;50;;110;140;10;10
7753;Women;45 to 55 years;Complete disablement (>= 80%);2006 June;50;40;0;0;10;0;40;10;10;150;50;;110;120;20;10
7754;Women;45 to 55 years;Complete disablement (>= 80%);2006 July;70;50;10;0;10;0;60;10;10;160;50;;110;140;20;10
7755;Women;45 to 55 years;Complete disablement (>= 80%);2006 August;50;40;0;0;0;0;40;0;10;150;60;;90;130;10;10
7756;Women;45 to 55 years;Complete disablement (>= 80%);2006 September;90;60;10;0;10;10;70;10;10;150;50;;110;130;10;10
7757;Women;45 to 55 years;Complete disablement (>= 80%);2006 October;70;60;0;0;0;10;60;0;10;220;60;;160;180;20;20
7758;Women;45 to 55 years;Complete disablement (>= 80%);2006 November;70;60;10;0;10;0;60;10;0;150;70;;80;130;10;10
7759;Women;45 to 55 years;Complete disablement (>= 80%);2006 December;60;40;0;0;10;0;50;10;0;160;90;;80;150;10;10
7760;Women;45 to 55 years;Complete disablement (>= 80%);2006 annual total;840;600;80;50;70;50;680;80;90;1920;650;;1270;1640;160;120
7761;Women;45 to 55 years;Complete disablement (>= 80%);2007 January;80;50;0;0;10;0;60;20;0;210;90;;120;180;20;10
7762;Women;45 to 55 years;Complete disablement (>= 80%);2007 February;70;50;0;0;10;0;50;10;0;180;80;;100;160;10;10
7763;Women;45 to 55 years;Complete disablement (>= 80%);2007 March;80;60;0;0;10;0;60;10;10;170;70;;100;150;10;10
7764;Women;45 to 55 years;Complete disablement (>= 80%);2007 April;80;60;10;0;10;0;70;10;0;150;50;;100;130;10;10
7765;Women;45 to 55 years;Complete disablement (>= 80%);2007 May;70;50;0;0;10;0;50;10;10;140;60;;80;130;10;0
7766;Women;45 to 55 years;Complete disablement (>= 80%);2007 June;80;50;10;0;10;0;60;10;10;140;50;;90;120;10;10
7767;Women;45 to 55 years;Complete disablement (>= 80%);2007 July;120;100;0;0;10;0;110;10;0;160;50;;110;140;10;10
7768;Women;45 to 55 years;Complete disablement (>= 80%);2007 August;80;60;0;0;10;0;60;20;0;110;50;;60;90;10;10
7769;Women;45 to 55 years;Complete disablement (>= 80%);2007 September;80;60;10;0;10;0;60;10;0;110;50;;60;90;20;10
7770;Women;45 to 55 years;Complete disablement (>= 80%);2007 October;100;80;10;0;10;10;90;10;10;110;30;;80;100;10;0
7771;Women;45 to 55 years;Complete disablement (>= 80%);2007 November;140;110;10;10;20;0;120;20;10;120;40;;80;90;20;10
7772;Women;45 to 55 years;Complete disablement (>= 80%);2007 December;60;40;0;0;10;0;40;10;0;80;40;;50;70;10;0
7773;Women;45 to 55 years;Complete disablement (>= 80%);2007 annual total;1020;760;50;30;150;30;820;160;50;1690;660;;1030;1450;160;80
7774;Women;45 to 55 years;Complete disablement (>= 80%);2008 January;90;70;0;0;20;0;70;20;0;70;20;;50;50;20;0
7775;Women;45 to 55 years;Complete disablement (>= 80%);2008 February;90;50;10;0;20;0;60;20;0;90;20;;70;70;10;0
7776;Women;45 to 55 years;Complete disablement (>= 80%);2008 March;110;80;0;0;20;0;80;20;0;60;20;;40;50;10;0
7777;Women;45 to 55 years;Complete disablement (>= 80%);2008 April;90;70;0;0;20;0;70;20;0;60;30;;40;50;10;0
7778;Women;45 to 55 years;Complete disablement (>= 80%);2008 May;60;40;0;0;20;0;40;20;0;80;20;;50;60;20;0
7779;Women;45 to 55 years;Complete disablement (>= 80%);2008 June;80;50;0;0;20;10;60;20;0;70;30;;50;70;10;0
7780;Women;45 to 55 years;Complete disablement (>= 80%);2008 July;80;70;10;0;10;0;70;10;0;70;30;;40;60;10;0
7781;Women;45 to 55 years;Complete disablement (>= 80%);2008 August;70;60;0;0;10;0;60;10;0;70;20;;50;60;20;0
7782;Women;45 to 55 years;Complete disablement (>= 80%);2008 September;80;60;0;0;20;0;60;20;0;80;30;;50;60;10;0
7783;Women;45 to 55 years;Complete disablement (>= 80%);2008 October;70;40;0;0;20;0;50;20;0;80;30;;50;60;20;0
7784;Women;45 to 55 years;Complete disablement (>= 80%);2008 November;80;60;0;0;20;0;60;20;0;70;30;;40;60;10;0
7785;Women;45 to 55 years;Complete disablement (>= 80%);2008 December;60;40;0;0;10;0;50;10;0;90;50;;40;70;10;10
7786;Women;45 to 55 years;Complete disablement (>= 80%);2008 annual total;950;680;30;20;190;30;720;200;40;890;320;;570;710;150;30
7787;Women;45 to 55 years;Complete disablement (>= 80%);2009 January;80;50;0;0;30;0;50;30;0;120;40;;80;80;30;10
7788;Women;45 to 55 years;Complete disablement (>= 80%);2009 February;80;60;0;10;20;0;60;20;10;90;20;;70;60;20;0
7789;Women;45 to 55 years;Complete disablement (>= 80%);2009 March;70;50;10;0;10;0;50;10;0;90;50;;40;80;20;0
7790;Women;45 to 55 years;Complete disablement (>= 80%);2009 April;60;50;0;0;10;0;50;10;0;80;40;;50;70;10;0
7791;Women;45 to 55 years;Complete disablement (>= 80%);2009 May;60;40;0;0;10;0;50;10;0;90;40;;50;70;10;0
7792;Women;45 to 55 years;Complete disablement (>= 80%);2009 June;50;40;0;0;10;0;40;10;0;70;40;;40;60;10;0
7793;Women;45 to 55 years;Complete disablement (>= 80%);2009 July;70;50;0;0;20;0;50;20;0;50;10;;40;30;10;0
7794;Women;45 to 55 years;Complete disablement (>= 80%);2009 August;60;40;0;0;20;0;40;20;0;50;10;;40;30;20;0
7795;Women;45 to 55 years;Complete disablement (>= 80%);2009 September;60;40;0;0;10;0;50;10;0;40;10;;30;20;10;0
7796;Women;45 to 55 years;Complete disablement (>= 80%);2009 October;80;60;10;0;20;0;60;20;0;40;10;;30;30;10;0
7797;Women;45 to 55 years;Complete disablement (>= 80%);2009 November;80;60;0;0;20;0;60;20;0;60;0;;60;20;30;10
7798;Women;45 to 55 years;Complete disablement (>= 80%);2009 December;60;30;10;0;10;10;40;10;0;30;0;;30;10;10;0
7799;Women;45 to 55 years;Complete disablement (>= 80%);2009 annual total;810;550;40;20;170;30;610;180;20;790;250;;540;570;200;30
7800;Women;45 to 55 years;Partial disablement (< 80%);1998 January;350;240;80;0;0;30;320;0;20;190;100;;90;180;0;10
7801;Women;45 to 55 years;Partial disablement (< 80%);1998 February;320;210;70;10;0;30;300;0;30;170;80;;90;160;0;10
7802;Women;45 to 55 years;Partial disablement (< 80%);1998 March;320;210;80;10;0;20;300;0;30;150;100;;50;150;0;10
7803;Women;45 to 55 years;Partial disablement (< 80%);1998 April;330;230;70;10;0;20;310;0;20;180;100;;80;170;0;10
7804;Women;45 to 55 years;Partial disablement (< 80%);1998 May;300;200;70;10;10;20;270;10;20;120;60;;60;110;10;10
7805;Women;45 to 55 years;Partial disablement (< 80%);1998 June;280;190;60;10;0;10;260;0;20;150;90;;60;140;0;10
7806;Women;45 to 55 years;Partial disablement (< 80%);1998 July;270;170;80;10;0;10;250;0;20;180;100;;80;160;10;10
7807;Women;45 to 55 years;Partial disablement (< 80%);1998 August;290;200;70;10;0;10;270;0;20;120;70;;60;110;10;10
7808;Women;45 to 55 years;Partial disablement (< 80%);1998 September;310;230;60;10;0;20;290;0;20;160;70;;90;140;10;10
7809;Women;45 to 55 years;Partial disablement (< 80%);1998 October;320;230;60;20;0;10;300;0;20;150;100;;60;140;10;10
7810;Women;45 to 55 years;Partial disablement (< 80%);1998 November;380;250;110;10;0;10;370;0;10;130;80;;50;120;0;10
7811;Women;45 to 55 years;Partial disablement (< 80%);1998 December;440;260;120;20;0;40;380;30;30;150;80;;70;140;0;10
7812;Women;45 to 55 years;Partial disablement (< 80%);1998 annual total;3910;2630;930;110;20;230;3590;50;260;1870;1030;;840;1720;50;100
7813;Women;45 to 55 years;Partial disablement (< 80%);1999 January;450;230;220;0;0;0;450;0;10;170;80;;80;160;0;10
7814;Women;45 to 55 years;Partial disablement (< 80%);1999 February;370;260;100;0;0;10;360;0;10;170;110;;60;160;0;0
7815;Women;45 to 55 years;Partial disablement (< 80%);1999 March;430;280;120;10;0;10;410;0;20;200;80;;120;160;30;10
7816;Women;45 to 55 years;Partial disablement (< 80%);1999 April;350;250;90;10;0;10;330;0;20;190;110;;80;180;0;10
7817;Women;45 to 55 years;Partial disablement (< 80%);1999 May;320;240;70;0;0;0;310;0;10;130;90;;40;120;0;0
7818;Women;45 to 55 years;Partial disablement (< 80%);1999 June;370;270;90;10;0;10;350;0;20;150;110;;50;150;0;0
7819;Women;45 to 55 years;Partial disablement (< 80%);1999 July;310;240;60;10;0;10;300;0;10;140;90;;50;140;0;0
7820;Women;45 to 55 years;Partial disablement (< 80%);1999 August;290;220;60;0;0;10;280;0;10;150;90;;60;140;0;10
7821;Women;45 to 55 years;Partial disablement (< 80%);1999 September;320;250;60;0;0;0;310;0;10;150;90;;50;150;0;0
7822;Women;45 to 55 years;Partial disablement (< 80%);1999 October;410;310;90;10;0;10;400;0;20;140;90;;50;140;0;0
7823;Women;45 to 55 years;Partial disablement (< 80%);1999 November;470;320;140;10;0;10;450;0;20;170;100;;70;170;0;0
7824;Women;45 to 55 years;Partial disablement (< 80%);1999 December;440;320;100;10;0;10;420;0;10;250;100;;150;250;0;0
7825;Women;45 to 55 years;Partial disablement (< 80%);1999 annual total;4530;3170;1200;70;0;90;4380;0;150;2000;1140;;860;1900;50;50
7826;Women;45 to 55 years;Partial disablement (< 80%);2000 January;410;320;70;10;0;10;390;0;20;160;110;;50;160;0;10
7827;Women;45 to 55 years;Partial disablement (< 80%);2000 February;490;370;110;10;0;10;470;0;20;180;130;;50;180;0;10
7828;Women;45 to 55 years;Partial disablement (< 80%);2000 March;470;310;140;10;0;10;450;0;20;170;100;;60;160;0;10
7829;Women;45 to 55 years;Partial disablement (< 80%);2000 April;430;320;90;10;0;10;420;0;10;200;110;;90;190;0;10
7830;Women;45 to 55 years;Partial disablement (< 80%);2000 May;380;290;70;10;0;10;360;0;20;170;100;;70;160;0;10
7831;Women;45 to 55 years;Partial disablement (< 80%);2000 June;370;270;90;10;0;10;360;0;10;170;90;;90;170;0;10
7832;Women;45 to 55 years;Partial disablement (< 80%);2000 July;360;270;80;10;0;10;350;0;10;170;100;;70;170;0;10
7833;Women;45 to 55 years;Partial disablement (< 80%);2000 August;350;290;50;10;0;10;340;0;20;200;120;;70;190;0;0
7834;Women;45 to 55 years;Partial disablement (< 80%);2000 September;420;270;140;10;0;10;410;0;10;180;120;;60;170;0;10
7835;Women;45 to 55 years;Partial disablement (< 80%);2000 October;470;330;130;0;0;10;460;0;10;170;100;;70;160;0;10
7836;Women;45 to 55 years;Partial disablement (< 80%);2000 November;590;420;150;10;0;10;570;0;20;200;130;;70;190;0;10
7837;Women;45 to 55 years;Partial disablement (< 80%);2000 December;600;400;170;10;0;10;570;0;20;200;130;;70;190;0;0
7838;Women;45 to 55 years;Partial disablement (< 80%);2000 annual total;5340;3860;1280;80;0;120;5150;0;180;2160;1360;;800;2080;10;70
7839;Women;45 to 55 years;Partial disablement (< 80%);2001 January;600;330;250;0;0;10;580;0;10;170;110;;60;170;0;10
7840;Women;45 to 55 years;Partial disablement (< 80%);2001 February;610;400;190;10;0;10;590;0;10;230;160;;70;220;0;10
7841;Women;45 to 55 years;Partial disablement (< 80%);2001 March;600;370;210;10;0;10;580;0;20;190;140;;50;190;0;10
7842;Women;45 to 55 years;Partial disablement (< 80%);2001 April;600;400;190;10;0;10;580;0;20;210;170;;40;210;0;10
7843;Women;45 to 55 years;Partial disablement (< 80%);2001 May;690;440;230;0;0;10;670;0;20;210;150;;60;210;0;10
7844;Women;45 to 55 years;Partial disablement (< 80%);2001 June;700;420;260;10;0;10;680;0;20;200;140;;60;190;0;10
7845;Women;45 to 55 years;Partial disablement (< 80%);2001 July;450;330;100;10;0;10;430;0;20;260;130;;130;260;0;0
7846;Women;45 to 55 years;Partial disablement (< 80%);2001 August;540;430;90;10;0;10;520;0;20;230;150;;80;220;0;0
7847;Women;45 to 55 years;Partial disablement (< 80%);2001 September;450;340;100;10;0;10;440;0;10;210;150;;60;210;0;10
7848;Women;45 to 55 years;Partial disablement (< 80%);2001 October;540;420;100;10;0;10;520;0;20;240;180;;60;230;0;10
7849;Women;45 to 55 years;Partial disablement (< 80%);2001 November;600;440;140;10;0;10;580;0;20;220;170;;50;210;0;10
