ID;HouseholdExpenditure;CPISeries;Periods;PriceIndexFigures_1;MonthOnMonthChange_2;YearOnYearChange_3;WeightingCoefficient_4
3224;11  Hotels, cafes and restaurants;CPI high income households;1999 January;107.7;0.4;2.0;6062
3225;11  Hotels, cafes and restaurants;CPI high income households;1999 February;108.2;0.5;2.0;6062
3226;11  Hotels, cafes and restaurants;CPI high income households;1999 March;108.1;-0.1;1.8;6062
3227;11  Hotels, cafes and restaurants;CPI high income households;1999 April;109.3;1.1;2.9;6062
3228;11  Hotels, cafes and restaurants;CPI high income households;1999 May;109.4;0.1;3.0;6062
3229;11  Hotels, cafes and restaurants;CPI high income households;1999 June;109.8;0.4;3.4;6062
3230;11  Hotels, cafes and restaurants;CPI high income households;1999 July;110.9;1.0;3.2;6062
3231;11  Hotels, cafes and restaurants;CPI high income households;1999 August;111.1;0.2;3.3;6062
3232;11  Hotels, cafes and restaurants;CPI high income households;1999 September;110.9;-0.2;3.8;6062
3233;11  Hotels, cafes and restaurants;CPI high income households;1999 October;111.5;0.5;3.6;6062
3234;11  Hotels, cafes and restaurants;CPI high income households;1999 November;110.0;-1.3;3.1;6062
3235;11  Hotels, cafes and restaurants;CPI high income households;1999 December;110.2;0.2;2.7;6062
3236;11  Hotels, cafes and restaurants;CPI high income households;1999;109.8;;2.9;6062
3237;11  Hotels, cafes and restaurants;CPI high income households;2000 January;110.2;0.0;2.3;6062
3238;11  Hotels, cafes and restaurants;CPI high income households;2000 February;111.0;0.7;2.6;6062
3239;11  Hotels, cafes and restaurants;CPI high income households;2000 March;111.6;0.5;3.2;6062
3240;11  Hotels, cafes and restaurants;CPI high income households;2000 April;112.5;0.8;2.9;6062
3241;11  Hotels, cafes and restaurants;CPI high income households;2000 May;112.6;0.1;2.9;6062
3242;11  Hotels, cafes and restaurants;CPI high income households;2000 June;113.0;0.4;2.9;6062
3243;11  Hotels, cafes and restaurants;CPI high income households;2000 July;114.4;1.2;3.2;6062
3244;11  Hotels, cafes and restaurants;CPI high income households;2000 August;114.6;0.2;3.2;6062
3245;11  Hotels, cafes and restaurants;CPI high income households;2000 September;114.7;0.1;3.4;6062
3246;11  Hotels, cafes and restaurants;CPI high income households;2000 October;115.1;0.3;3.2;6062
3247;11  Hotels, cafes and restaurants;CPI high income households;2000 November;113.6;-1.3;3.3;6062
3248;11  Hotels, cafes and restaurants;CPI high income households;2000 December;113.8;0.2;3.3;6062
3249;11  Hotels, cafes and restaurants;CPI high income households;2000;113.1;;3.0;6062
3250;11  Hotels, cafes and restaurants;CPI high income households;2001 January;115.5;1.5;4.8;6062
3251;11  Hotels, cafes and restaurants;CPI high income households;2001 February;116.2;0.6;4.7;6062
3252;11  Hotels, cafes and restaurants;CPI high income households;2001 March;116.8;0.5;4.7;6062
3253;11  Hotels, cafes and restaurants;CPI high income households;2001 April;117.9;0.9;4.8;6062
3254;11  Hotels, cafes and restaurants;CPI high income households;2001 May;118.7;0.7;5.4;6062
3255;11  Hotels, cafes and restaurants;CPI high income households;2001 June;118.9;0.2;5.2;6062
3256;11  Hotels, cafes and restaurants;CPI high income households;2001 July;120.6;1.4;5.4;6062
3257;11  Hotels, cafes and restaurants;CPI high income households;2001 August;121.4;0.7;5.9;6062
3258;11  Hotels, cafes and restaurants;CPI high income households;2001 September;121.4;0.0;5.8;6062
3259;11  Hotels, cafes and restaurants;CPI high income households;2001 October;120.4;-0.8;4.6;6062
3260;11  Hotels, cafes and restaurants;CPI high income households;2001 November;119.5;-0.7;5.2;6062
3261;11  Hotels, cafes and restaurants;CPI high income households;2001 December;119.7;0.2;5.2;6062
3262;11  Hotels, cafes and restaurants;CPI high income households;2001;118.9;;5.1;6062
3263;11  Hotels, cafes and restaurants;CPI high income households;2002 January;122.3;2.2;5.9;6062
3264;11  Hotels, cafes and restaurants;CPI high income households;2002 February;123.7;1.1;6.5;6062
3265;11  Hotels, cafes and restaurants;CPI high income households;2002 March;124.3;0.5;6.4;6062
3266;11  Hotels, cafes and restaurants;CPI high income households;2002 April;125.2;0.7;6.2;6062
3267;11  Hotels, cafes and restaurants;CPI high income households;2002 May;125.8;0.5;6.0;6062
3268;11  Hotels, cafes and restaurants;CPI high income households;2002 June;126.2;0.3;6.1;6062
3269;11  Hotels, cafes and restaurants;CPI high income households;2002 July;127.6;1.1;5.8;6062
3270;11  Hotels, cafes and restaurants;CPI high income households;2002 August;128.5;0.7;5.8;6062
3271;11  Hotels, cafes and restaurants;CPI high income households;2002 September;128.3;-0.2;5.7;6062
3272;11  Hotels, cafes and restaurants;CPI high income households;2002 October;126.9;-1.1;5.4;6062
3273;11  Hotels, cafes and restaurants;CPI high income households;2002 November;125.8;-0.9;5.3;6062
3274;11  Hotels, cafes and restaurants;CPI high income households;2002 December;126.1;0.2;5.3;6062
3275;11  Hotels, cafes and restaurants;CPI high income households;2002;125.9;;5.9;6062
3276;12  Miscellaneous goods and services;CPI all households;1996 January;100.8;;;6293
3277;12  Miscellaneous goods and services;CPI all households;1996 February;100.8;0.0;;6293
3278;12  Miscellaneous goods and services;CPI all households;1996 March;100.3;-0.5;;6293
3279;12  Miscellaneous goods and services;CPI all households;1996 April;100.6;0.3;;6293
3280;12  Miscellaneous goods and services;CPI all households;1996 May;100.5;-0.1;;6293
3281;12  Miscellaneous goods and services;CPI all households;1996 June;100.6;0.1;;6293
3282;12  Miscellaneous goods and services;CPI all households;1996 July;100.4;-0.2;;6293
3283;12  Miscellaneous goods and services;CPI all households;1996 August;100.3;-0.1;;6293
3284;12  Miscellaneous goods and services;CPI all households;1996 September;100.3;0.0;;6293
3285;12  Miscellaneous goods and services;CPI all households;1996 October;100.3;0.0;;6293
3286;12  Miscellaneous goods and services;CPI all households;1996 November;100.2;-0.1;;6293
3287;12  Miscellaneous goods and services;CPI all households;1996 December;100.3;0.1;;6293
3288;12  Miscellaneous goods and services;CPI all households;1996;100.5;;;6293
3289;12  Miscellaneous goods and services;CPI all households;1997 January;100.8;0.5;0.0;6293
3290;12  Miscellaneous goods and services;CPI all households;1997 February;101.0;0.2;0.2;6293
3291;12  Miscellaneous goods and services;CPI all households;1997 March;101.1;0.1;0.8;6293
3292;12  Miscellaneous goods and services;CPI all households;1997 April;101.2;0.1;0.6;6293
3293;12  Miscellaneous goods and services;CPI all households;1997 May;101.2;0.0;0.7;6293
3294;12  Miscellaneous goods and services;CPI all households;1997 June;101.1;-0.1;0.5;6293
3295;12  Miscellaneous goods and services;CPI all households;1997 July;101.1;0.0;0.7;6293
3296;12  Miscellaneous goods and services;CPI all households;1997 August;101.3;0.2;1.0;6293
3297;12  Miscellaneous goods and services;CPI all households;1997 September;101.3;0.0;1.0;6293
3298;12  Miscellaneous goods and services;CPI all households;1997 October;101.4;0.1;1.1;6293
3299;12  Miscellaneous goods and services;CPI all households;1997 November;101.5;0.1;1.3;6293
3300;12  Miscellaneous goods and services;CPI all households;1997 December;101.5;0.0;1.2;6293
3301;12  Miscellaneous goods and services;CPI all households;1997;101.2;;0.7;6293
3302;12  Miscellaneous goods and services;CPI all households;1998 January;101.8;0.3;1.0;6293
3303;12  Miscellaneous goods and services;CPI all households;1998 February;101.9;0.1;0.9;6293
3304;12  Miscellaneous goods and services;CPI all households;1998 March;101.9;0.0;0.8;6293
3305;12  Miscellaneous goods and services;CPI all households;1998 April;102.0;0.1;0.8;6293
3306;12  Miscellaneous goods and services;CPI all households;1998 May;102.1;0.1;0.9;6293
3307;12  Miscellaneous goods and services;CPI all households;1998 June;102.3;0.2;1.2;6293
3308;12  Miscellaneous goods and services;CPI all households;1998 July;102.5;0.2;1.4;6293
3309;12  Miscellaneous goods and services;CPI all households;1998 August;102.5;0.0;1.2;6293
3310;12  Miscellaneous goods and services;CPI all households;1998 September;102.7;0.2;1.4;6293
3311;12  Miscellaneous goods and services;CPI all households;1998 October;102.8;0.1;1.4;6293
3312;12  Miscellaneous goods and services;CPI all households;1998 November;102.8;0.0;1.3;6293
3313;12  Miscellaneous goods and services;CPI all households;1998 December;103.0;0.2;1.5;6293
3314;12  Miscellaneous goods and services;CPI all households;1998;102.4;;1.2;6293
3315;12  Miscellaneous goods and services;CPI all households;1999 January;103.6;0.6;1.8;6293
3316;12  Miscellaneous goods and services;CPI all households;1999 February;103.7;0.1;1.8;6293
3317;12  Miscellaneous goods and services;CPI all households;1999 March;103.8;0.1;1.9;6293
3318;12  Miscellaneous goods and services;CPI all households;1999 April;104.1;0.3;2.1;6293
3319;12  Miscellaneous goods and services;CPI all households;1999 May;104.1;0.0;2.0;6293
3320;12  Miscellaneous goods and services;CPI all households;1999 June;104.2;0.1;1.9;6293
3321;12  Miscellaneous goods and services;CPI all households;1999 July;104.3;0.1;1.8;6293
3322;12  Miscellaneous goods and services;CPI all households;1999 August;104.4;0.1;1.9;6293
3323;12  Miscellaneous goods and services;CPI all households;1999 September;104.4;0.0;1.7;6293
3324;12  Miscellaneous goods and services;CPI all households;1999 October;104.8;0.4;1.9;6293
3325;12  Miscellaneous goods and services;CPI all households;1999 November;105.3;0.5;2.4;6293
3326;12  Miscellaneous goods and services;CPI all households;1999 December;105.2;-0.1;2.1;6293
3327;12  Miscellaneous goods and services;CPI all households;1999;104.3;;1.9;6293
3328;12  Miscellaneous goods and services;CPI all households;2000 January;105.8;0.6;2.1;6293
3329;12  Miscellaneous goods and services;CPI all households;2000 February;105.6;-0.2;1.8;6293
3330;12  Miscellaneous goods and services;CPI all households;2000 March;105.7;0.1;1.8;6293
3331;12  Miscellaneous goods and services;CPI all households;2000 April;106.1;0.4;1.9;6293
3332;12  Miscellaneous goods and services;CPI all households;2000 May;106.2;0.1;2.0;6293
3333;12  Miscellaneous goods and services;CPI all households;2000 June;106.2;0.0;1.9;6293
3334;12  Miscellaneous goods and services;CPI all households;2000 July;106.4;0.2;2.0;6293
3335;12  Miscellaneous goods and services;CPI all households;2000 August;106.5;0.1;2.0;6293
3336;12  Miscellaneous goods and services;CPI all households;2000 September;106.6;0.1;2.1;6293
3337;12  Miscellaneous goods and services;CPI all households;2000 October;107.0;0.4;2.1;6293
3338;12  Miscellaneous goods and services;CPI all households;2000 November;107.1;0.1;1.7;6293
3339;12  Miscellaneous goods and services;CPI all households;2000 December;107.4;0.3;2.1;6293
3340;12  Miscellaneous goods and services;CPI all households;2000;106.4;;2.0;6293
3341;12  Miscellaneous goods and services;CPI all households;2001 January;109.3;1.8;3.3;6293
3342;12  Miscellaneous goods and services;CPI all households;2001 February;109.6;0.3;3.8;6293
3343;12  Miscellaneous goods and services;CPI all households;2001 March;110.0;0.4;4.1;6293
3344;12  Miscellaneous goods and services;CPI all households;2001 April;110.4;0.4;4.1;6293
3345;12  Miscellaneous goods and services;CPI all households;2001 May;110.8;0.4;4.3;6293
3346;12  Miscellaneous goods and services;CPI all households;2001 June;110.7;-0.1;4.2;6293
3347;12  Miscellaneous goods and services;CPI all households;2001 July;111.3;0.5;4.6;6293
3348;12  Miscellaneous goods and services;CPI all households;2001 August;111.4;0.1;4.6;6293
3349;12  Miscellaneous goods and services;CPI all households;2001 September;111.6;0.2;4.7;6293
3350;12  Miscellaneous goods and services;CPI all households;2001 October;112.0;0.4;4.7;6293
3351;12  Miscellaneous goods and services;CPI all households;2001 November;112.5;0.4;5.0;6293
3352;12  Miscellaneous goods and services;CPI all households;2001 December;112.5;0.0;4.7;6293
3353;12  Miscellaneous goods and services;CPI all households;2001;111.0;;4.3;6293
3354;12  Miscellaneous goods and services;CPI all households;2002 January;114.7;2.0;4.9;6293
3355;12  Miscellaneous goods and services;CPI all households;2002 February;114.8;0.1;4.7;6293
3356;12  Miscellaneous goods and services;CPI all households;2002 March;114.8;0.0;4.4;6293
3357;12  Miscellaneous goods and services;CPI all households;2002 April;115.4;0.5;4.5;6293
3358;12  Miscellaneous goods and services;CPI all households;2002 May;115.8;0.3;4.5;6293
3359;12  Miscellaneous goods and services;CPI all households;2002 June;116.0;0.2;4.8;6293
3360;12  Miscellaneous goods and services;CPI all households;2002 July;116.1;0.1;4.3;6293
3361;12  Miscellaneous goods and services;CPI all households;2002 August;116.1;0.0;4.2;6293
3362;12  Miscellaneous goods and services;CPI all households;2002 September;116.2;0.1;4.1;6293
3363;12  Miscellaneous goods and services;CPI all households;2002 October;116.0;-0.2;3.6;6293
3364;12  Miscellaneous goods and services;CPI all households;2002 November;116.2;0.2;3.3;6293
3365;12  Miscellaneous goods and services;CPI all households;2002 December;116.2;0.0;3.3;6293
3366;12  Miscellaneous goods and services;CPI all households;2002;115.7;;4.2;6293
3367;12  Miscellaneous goods and services;CPI low income households;1996 January;100.6;;;6253
3368;12  Miscellaneous goods and services;CPI low income households;1996 February;100.6;0.0;;6253
3369;12  Miscellaneous goods and services;CPI low income households;1996 March;100.2;-0.4;;6253
3370;12  Miscellaneous goods and services;CPI low income households;1996 April;100.5;0.3;;6253
3371;12  Miscellaneous goods and services;CPI low income households;1996 May;100.4;-0.1;;6253
3372;12  Miscellaneous goods and services;CPI low income households;1996 June;100.4;0.0;;6253
3373;12  Miscellaneous goods and services;CPI low income households;1996 July;100.3;-0.1;;6253
3374;12  Miscellaneous goods and services;CPI low income households;1996 August;100.0;-0.3;;6253
3375;12  Miscellaneous goods and services;CPI low income households;1996 September;100.0;0.0;;6253
3376;12  Miscellaneous goods and services;CPI low income households;1996 October;100.0;0.0;;6253
3377;12  Miscellaneous goods and services;CPI low income households;1996 November;99.8;-0.2;;6253
3378;12  Miscellaneous goods and services;CPI low income households;1996 December;99.9;0.1;;6253
3379;12  Miscellaneous goods and services;CPI low income households;1996;100.2;;;6253
3380;12  Miscellaneous goods and services;CPI low income households;1997 January;100.3;0.4;-0.3;6253
3381;12  Miscellaneous goods and services;CPI low income households;1997 February;100.6;0.3;0.0;6253
3382;12  Miscellaneous goods and services;CPI low income households;1997 March;100.7;0.1;0.5;6253
3383;12  Miscellaneous goods and services;CPI low income households;1997 April;100.8;0.1;0.3;6253
3384;12  Miscellaneous goods and services;CPI low income households;1997 May;100.8;0.0;0.4;6253
3385;12  Miscellaneous goods and services;CPI low income households;1997 June;100.8;0.0;0.4;6253
3386;12  Miscellaneous goods and services;CPI low income households;1997 July;100.8;0.0;0.5;6253
3387;12  Miscellaneous goods and services;CPI low income households;1997 August;100.9;0.1;0.9;6253
3388;12  Miscellaneous goods and services;CPI low income households;1997 September;101.0;0.1;1.0;6253
3389;12  Miscellaneous goods and services;CPI low income households;1997 October;101.1;0.1;1.1;6253
3390;12  Miscellaneous goods and services;CPI low income households;1997 November;101.2;0.1;1.4;6253
3391;12  Miscellaneous goods and services;CPI low income households;1997 December;101.2;0.0;1.3;6253
3392;12  Miscellaneous goods and services;CPI low income households;1997;100.8;;0.6;6253
3393;12  Miscellaneous goods and services;CPI low income households;1998 January;101.5;0.3;1.2;6253
3394;12  Miscellaneous goods and services;CPI low income households;1998 February;101.7;0.2;1.1;6253
3395;12  Miscellaneous goods and services;CPI low income households;1998 March;101.7;0.0;1.0;6253
3396;12  Miscellaneous goods and services;CPI low income households;1998 April;101.7;0.0;0.9;6253
3397;12  Miscellaneous goods and services;CPI low income households;1998 May;101.9;0.2;1.1;6253
3398;12  Miscellaneous goods and services;CPI low income households;1998 June;102.2;0.3;1.4;6253
3399;12  Miscellaneous goods and services;CPI low income households;1998 July;102.4;0.2;1.6;6253
3400;12  Miscellaneous goods and services;CPI low income households;1998 August;102.5;0.1;1.6;6253
3401;12  Miscellaneous goods and services;CPI low income households;1998 September;102.7;0.2;1.7;6253
3402;12  Miscellaneous goods and services;CPI low income households;1998 October;102.8;0.1;1.7;6253
3403;12  Miscellaneous goods and services;CPI low income households;1998 November;102.8;0.0;1.6;6253
3404;12  Miscellaneous goods and services;CPI low income households;1998 December;103.0;0.2;1.8;6253
3405;12  Miscellaneous goods and services;CPI low income households;1998;102.2;;1.4;6253
3406;12  Miscellaneous goods and services;CPI low income households;1999 January;103.5;0.5;2.0;6253
3407;12  Miscellaneous goods and services;CPI low income households;1999 February;103.5;0.0;1.8;6253
3408;12  Miscellaneous goods and services;CPI low income households;1999 March;103.6;0.1;1.9;6253
3409;12  Miscellaneous goods and services;CPI low income households;1999 April;103.8;0.2;2.1;6253
3410;12  Miscellaneous goods and services;CPI low income households;1999 May;103.8;0.0;1.9;6253
3411;12  Miscellaneous goods and services;CPI low income households;1999 June;104.0;0.2;1.8;6253
3412;12  Miscellaneous goods and services;CPI low income households;1999 July;104.1;0.1;1.7;6253
3413;12  Miscellaneous goods and services;CPI low income households;1999 August;104.2;0.1;1.7;6253
3414;12  Miscellaneous goods and services;CPI low income households;1999 September;104.2;0.0;1.5;6253
3415;12  Miscellaneous goods and services;CPI low income households;1999 October;104.5;0.3;1.7;6253
3416;12  Miscellaneous goods and services;CPI low income households;1999 November;105.0;0.5;2.1;6253
3417;12  Miscellaneous goods and services;CPI low income households;1999 December;105.0;0.0;1.9;6253
3418;12  Miscellaneous goods and services;CPI low income households;1999;104.1;;1.9;6253
3419;12  Miscellaneous goods and services;CPI low income households;2000 January;105.4;0.4;1.8;6253
3420;12  Miscellaneous goods and services;CPI low income households;2000 February;105.2;-0.2;1.6;6253
3421;12  Miscellaneous goods and services;CPI low income households;2000 March;105.3;0.1;1.6;6253
3422;12  Miscellaneous goods and services;CPI low income households;2000 April;105.7;0.4;1.8;6253
3423;12  Miscellaneous goods and services;CPI low income households;2000 May;105.7;0.0;1.8;6253
3424;12  Miscellaneous goods and services;CPI low income households;2000 June;105.7;0.0;1.6;6253
3425;12  Miscellaneous goods and services;CPI low income households;2000 July;105.9;0.2;1.7;6253
3426;12  Miscellaneous goods and services;CPI low income households;2000 August;106.1;0.2;1.8;6253
3427;12  Miscellaneous goods and services;CPI low income households;2000 September;106.1;0.0;1.8;6253
3428;12  Miscellaneous goods and services;CPI low income households;2000 October;106.5;0.4;1.9;6253
3429;12  Miscellaneous goods and services;CPI low income households;2000 November;106.6;0.1;1.5;6253
3430;12  Miscellaneous goods and services;CPI low income households;2000 December;106.8;0.2;1.7;6253
3431;12  Miscellaneous goods and services;CPI low income households;2000;105.9;;1.7;6253
3432;12  Miscellaneous goods and services;CPI low income households;2001 January;108.6;1.7;3.0;6253
3433;12  Miscellaneous goods and services;CPI low income households;2001 February;109.0;0.4;3.6;6253
3434;12  Miscellaneous goods and services;CPI low income households;2001 March;109.4;0.4;3.9;6253
3435;12  Miscellaneous goods and services;CPI low income households;2001 April;109.8;0.4;3.9;6253
3436;12  Miscellaneous goods and services;CPI low income households;2001 May;110.2;0.4;4.3;6253
3437;12  Miscellaneous goods and services;CPI low income households;2001 June;110.1;-0.1;4.2;6253
3438;12  Miscellaneous goods and services;CPI low income households;2001 July;110.8;0.6;4.6;6253
3439;12  Miscellaneous goods and services;CPI low income households;2001 August;110.8;0.0;4.4;6253
3440;12  Miscellaneous goods and services;CPI low income households;2001 September;111.0;0.2;4.6;6253
3441;12  Miscellaneous goods and services;CPI low income households;2001 October;111.4;0.4;4.6;6253
3442;12  Miscellaneous goods and services;CPI low income households;2001 November;111.8;0.4;4.9;6253
3443;12  Miscellaneous goods and services;CPI low income households;2001 December;111.9;0.1;4.8;6253
3444;12  Miscellaneous goods and services;CPI low income households;2001;110.4;;4.2;6253
3445;12  Miscellaneous goods and services;CPI low income households;2002 January;113.6;1.5;4.6;6253
3446;12  Miscellaneous goods and services;CPI low income households;2002 February;113.8;0.2;4.4;6253
3447;12  Miscellaneous goods and services;CPI low income households;2002 March;113.8;0.0;4.0;6253
3448;12  Miscellaneous goods and services;CPI low income households;2002 April;114.4;0.5;4.2;6253
3449;12  Miscellaneous goods and services;CPI low income households;2002 May;114.8;0.3;4.2;6253
3450;12  Miscellaneous goods and services;CPI low income households;2002 June;114.9;0.1;4.4;6253
3451;12  Miscellaneous goods and services;CPI low income households;2002 July;115.1;0.2;3.9;6253
3452;12  Miscellaneous goods and services;CPI low income households;2002 August;115.1;0.0;3.9;6253
3453;12  Miscellaneous goods and services;CPI low income households;2002 September;115.2;0.1;3.8;6253
3454;12  Miscellaneous goods and services;CPI low income households;2002 October;115.0;-0.2;3.2;6253
3455;12  Miscellaneous goods and services;CPI low income households;2002 November;115.2;0.2;3.0;6253
3456;12  Miscellaneous goods and services;CPI low income households;2002 December;115.2;0.0;2.9;6253
3457;12  Miscellaneous goods and services;CPI low income households;2002;114.7;;3.9;6253
3458;12  Miscellaneous goods and services;CPI high income households;1996 January;100.9;;;7043
3459;12  Miscellaneous goods and services;CPI high income households;1996 February;100.9;0.0;;7043
3460;12  Miscellaneous goods and services;CPI high income households;1996 March;100.2;-0.7;;7043
3461;12  Miscellaneous goods and services;CPI high income households;1996 April;100.5;0.3;;7043
3462;12  Miscellaneous goods and services;CPI high income households;1996 May;100.4;-0.1;;7043
3463;12  Miscellaneous goods and services;CPI high income households;1996 June;100.5;0.1;;7043
3464;12  Miscellaneous goods and services;CPI high income households;1996 July;100.3;-0.2;;7043
3465;12  Miscellaneous goods and services;CPI high income households;1996 August;100.2;-0.1;;7043
3466;12  Miscellaneous goods and services;CPI high income households;1996 September;100.2;0.0;;7043
3467;12  Miscellaneous goods and services;CPI high income households;1996 October;100.2;0.0;;7043
3468;12  Miscellaneous goods and services;CPI high income households;1996 November;100.1;-0.1;;7043
3469;12  Miscellaneous goods and services;CPI high income households;1996 December;100.2;0.1;;7043
3470;12  Miscellaneous goods and services;CPI high income households;1996;100.4;;;7043
3471;12  Miscellaneous goods and services;CPI high income households;1997 January;100.6;0.4;-0.3;7043
3472;12  Miscellaneous goods and services;CPI high income households;1997 February;100.8;0.2;-0.1;7043
3473;12  Miscellaneous goods and services;CPI high income households;1997 March;100.9;0.1;0.7;7043
3474;12  Miscellaneous goods and services;CPI high income households;1997 April;101.0;0.1;0.5;7043
3475;12  Miscellaneous goods and services;CPI high income households;1997 May;101.0;0.0;0.6;7043
3476;12  Miscellaneous goods and services;CPI high income households;1997 June;101.0;0.0;0.5;7043
3477;12  Miscellaneous goods and services;CPI high income households;1997 July;101.0;0.0;0.7;7043
3478;12  Miscellaneous goods and services;CPI high income households;1997 August;101.1;0.1;0.9;7043
3479;12  Miscellaneous goods and services;CPI high income households;1997 September;101.2;0.1;1.0;7043
3480;12  Miscellaneous goods and services;CPI high income households;1997 October;101.3;0.1;1.1;7043
3481;12  Miscellaneous goods and services;CPI high income households;1997 November;101.4;0.1;1.3;7043
3482;12  Miscellaneous goods and services;CPI high income households;1997 December;101.3;-0.1;1.1;7043
3483;12  Miscellaneous goods and services;CPI high income households;1997;101.1;;0.7;7043
3484;12  Miscellaneous goods and services;CPI high income households;1998 January;101.6;0.3;1.0;7043
3485;12  Miscellaneous goods and services;CPI high income households;1998 February;101.7;0.1;0.9;7043
3486;12  Miscellaneous goods and services;CPI high income households;1998 March;101.7;0.0;0.8;7043
3487;12  Miscellaneous goods and services;CPI high income households;1998 April;101.8;0.1;0.8;7043
3488;12  Miscellaneous goods and services;CPI high income households;1998 May;101.9;0.1;0.9;7043
3489;12  Miscellaneous goods and services;CPI high income households;1998 June;102.1;0.2;1.1;7043
3490;12  Miscellaneous goods and services;CPI high income households;1998 July;102.2;0.1;1.2;7043
3491;12  Miscellaneous goods and services;CPI high income households;1998 August;102.2;0.0;1.1;7043
3492;12  Miscellaneous goods and services;CPI high income households;1998 September;102.4;0.2;1.2;7043
3493;12  Miscellaneous goods and services;CPI high income households;1998 October;102.5;0.1;1.2;7043
3494;12  Miscellaneous goods and services;CPI high income households;1998 November;102.5;0.0;1.1;7043
3495;12  Miscellaneous goods and services;CPI high income households;1998 December;102.7;0.2;1.4;7043
3496;12  Miscellaneous goods and services;CPI high income households;1998;102.1;;1.0;7043
3497;12  Miscellaneous goods and services;CPI high income households;1999 January;103.3;0.6;1.7;7043
3498;12  Miscellaneous goods and services;CPI high income households;1999 February;103.4;0.1;1.7;7043
3499;12  Miscellaneous goods and services;CPI high income households;1999 March;103.4;0.0;1.7;7043
3500;12  Miscellaneous goods and services;CPI high income households;1999 April;103.7;0.3;1.9;7043
3501;12  Miscellaneous goods and services;CPI high income households;1999 May;103.7;0.0;1.8;7043
3502;12  Miscellaneous goods and services;CPI high income households;1999 June;103.8;0.1;1.7;7043
3503;12  Miscellaneous goods and services;CPI high income households;1999 July;103.8;0.0;1.6;7043
3504;12  Miscellaneous goods and services;CPI high income households;1999 August;103.9;0.1;1.7;7043
3505;12  Miscellaneous goods and services;CPI high income households;1999 September;103.9;0.0;1.5;7043
3506;12  Miscellaneous goods and services;CPI high income households;1999 October;104.4;0.5;1.9;7043
3507;12  Miscellaneous goods and services;CPI high income households;1999 November;104.9;0.5;2.3;7043
3508;12  Miscellaneous goods and services;CPI high income households;1999 December;104.8;-0.1;2.0;7043
3509;12  Miscellaneous goods and services;CPI high income households;1999;103.9;;1.8;7043
3510;12  Miscellaneous goods and services;CPI high income households;2000 January;105.3;0.5;1.9;7043
3511;12  Miscellaneous goods and services;CPI high income households;2000 February;105.2;-0.1;1.7;7043
3512;12  Miscellaneous goods and services;CPI high income households;2000 March;105.3;0.1;1.8;7043
3513;12  Miscellaneous goods and services;CPI high income households;2000 April;105.7;0.4;1.9;7043
3514;12  Miscellaneous goods and services;CPI high income households;2000 May;105.8;0.1;2.0;7043
3515;12  Miscellaneous goods and services;CPI high income households;2000 June;105.8;0.0;1.9;7043
3516;12  Miscellaneous goods and services;CPI high income households;2000 July;106.0;0.2;2.1;7043
3517;12  Miscellaneous goods and services;CPI high income households;2000 August;106.1;0.1;2.1;7043
3518;12  Miscellaneous goods and services;CPI high income households;2000 September;106.2;0.1;2.2;7043
3519;12  Miscellaneous goods and services;CPI high income households;2000 October;106.5;0.3;2.0;7043
3520;12  Miscellaneous goods and services;CPI high income households;2000 November;106.6;0.1;1.6;7043
3521;12  Miscellaneous goods and services;CPI high income households;2000 December;106.9;0.3;2.0;7043
3522;12  Miscellaneous goods and services;CPI high income households;2000;105.9;;1.9;7043
3523;12  Miscellaneous goods and services;CPI high income households;2001 January;108.7;1.7;3.2;7043
3524;12  Miscellaneous goods and services;CPI high income households;2001 February;109.1;0.4;3.7;7043
3525;12  Miscellaneous goods and services;CPI high income households;2001 March;109.4;0.3;3.9;7043
3526;12  Miscellaneous goods and services;CPI high income households;2001 April;109.8;0.4;3.9;7043
3527;12  Miscellaneous goods and services;CPI high income households;2001 May;110.2;0.4;4.2;7043
3528;12  Miscellaneous goods and services;CPI high income households;2001 June;110.1;-0.1;4.1;7043
3529;12  Miscellaneous goods and services;CPI high income households;2001 July;110.8;0.6;4.5;7043
3530;12  Miscellaneous goods and services;CPI high income households;2001 August;110.8;0.0;4.4;7043
3531;12  Miscellaneous goods and services;CPI high income households;2001 September;111.0;0.2;4.5;7043
3532;12  Miscellaneous goods and services;CPI high income households;2001 October;111.3;0.3;4.5;7043
3533;12  Miscellaneous goods and services;CPI high income households;2001 November;111.8;0.4;4.9;7043
3534;12  Miscellaneous goods and services;CPI high income households;2001 December;111.9;0.1;4.7;7043
3535;12  Miscellaneous goods and services;CPI high income households;2001;110.4;;4.2;7043
3536;12  Miscellaneous goods and services;CPI high income households;2002 January;114.1;2.0;5.0;7043
3537;12  Miscellaneous goods and services;CPI high income households;2002 February;114.2;0.1;4.7;7043
3538;12  Miscellaneous goods and services;CPI high income households;2002 March;114.2;0.0;4.4;7043
3539;12  Miscellaneous goods and services;CPI high income households;2002 April;114.8;0.5;4.6;7043
3540;12  Miscellaneous goods and services;CPI high income households;2002 May;115.2;0.3;4.5;7043
3541;12  Miscellaneous goods and services;CPI high income households;2002 June;115.3;0.1;4.7;7043
3542;12  Miscellaneous goods and services;CPI high income households;2002 July;115.4;0.1;4.2;7043
3543;12  Miscellaneous goods and services;CPI high income households;2002 August;115.4;0.0;4.2;7043
