ID;SexOfEmployee;TypeOfEmploymentContract;JobCharacterics;IndustryClassBranchSIC2008;Periods;Jobs_1;LabourVolume_2;HourlyWage_3;MonthlyWageIncludingOvertime_4;MonthlyWageExcludingOvertime_5;YearlyWageIncludingBonuses_6;YearlyWageExcludingSpecialPayments_7;BonusesAndAllowances_8;AdditionalTaxLiabilityForCompanyCar_9;PerJobPerWeekIncludingOvertime_10;PerJobPerWeekExcludingOvertime_11;PerJobPerYear_12;PerWorkingYear_13
8358;Total;Total;Car of the company: yes;A-U All economic activities;2014;548.0;524.0;32.73;4773.0;4743.0;68260.0;57270.0;10990.0;6060.0;38.2;38.0;1739.0;1818.0
8359;Total;Total;Car of the company: yes;A-U All economic activities;2015;541.0;516.0;33.75;4874.0;4847.0;69680.0;58490.0;11190.0;5640.0;38.0;37.8;1724.0;1809.0
8360;Total;Total;Car of the company: yes;A-U All economic activities;2016;560.0;533.0;33.93;4916.0;4890.0;70300.0;58990.0;11310.0;5460.0;37.9;37.7;1729.0;1817.0
8361;Total;Total;Car of the company: yes;A-U All economic activities;2017;568.0;541.0;34.54;5001.0;4974.0;71500.0;60010.0;11490.0;5720.0;37.9;37.7;1728.0;1814.0
8362;Total;Total;Car of the company: yes;A-U All economic activities;2018;581.0;554.0;35.2;5085.0;5058.0;72640.0;61020.0;11620.0;6040.0;38.0;37.8;1724.0;1807.0
8363;Total;Total;Car of the company: yes;A-U All economic activities;2019;596.0;568.0;35.62;5160.0;5134.0;73450.0;61920.0;11540.0;6340.0;37.9;37.7;1730.0;1815.0
8364;Total;Total;Car of the company: yes;A-U All economic activities;2020;599.0;569.0;36.43;5249.0;5226.0;74400.0;62990.0;11420.0;6540.0;37.9;37.7;1722.0;1811.0
8365;Total;Total;Car of the company: yes;A-U All economic activities;2021;592.0;563.0;36.9;5352.0;5328.0;76590.0;64230.0;12360.0;6790.0;37.8;37.6;1733.0;1824.0
8366;Total;Total;Car of the company: yes;A-U All economic activities;2022;615.0;584.0;37.83;5473.0;5450.0;79190.0;65680.0;13510.0;6960.0;37.7;37.6;1729.0;1823.0
8367;Total;Total;Car of the company: yes;A-U All economic activities;2023;640.0;606.0;39.59;5689.0;5665.0;81340.0;68260.0;13070.0;7340.0;37.7;37.5;1717.0;1813.0
8368;Total;Total;Car of the company: yes;A-F Agriculture and industry;2009;129.0;125.0;30.35;4491.0;4443.0;62860.0;53890.0;8970.0;7360.0;38.8;38.4;1757.0;1809.0
8369;Total;Total;Car of the company: yes;A-F Agriculture and industry;2010 before change of method;128.0;124.0;30.72;4538.0;4491.0;63630.0;54460.0;9170.0;7360.0;38.8;38.4;1754.0;1805.0
8370;Total;Total;Car of the company: yes;A-F Agriculture and industry;2010 after change of method;131.0;127.0;30.65;4518.0;4472.0;63290.0;54210.0;9080.0;7410.0;38.7;38.3;1751.0;1806.0
8371;Total;Total;Car of the company: yes;A-F Agriculture and industry;2011;129.0;125.0;31.18;4622.0;4570.0;64880.0;55460.0;9420.0;7200.0;38.7;38.2;1759.0;1818.0
8372;Total;Total;Car of the company: yes;A-F Agriculture and industry;2012;135.0;131.0;31.45;4636.0;4580.0;65010.0;55630.0;9380.0;6970.0;38.8;38.3;1748.0;1806.0
8373;Total;Total;Car of the company: yes;A-F Agriculture and industry;2013;132.0;128.0;31.1;4657.0;4598.0;66380.0;55890.0;10490.0;6770.0;39.5;39.0;1775.0;1830.0
8374;Total;Total;Car of the company: yes;A-F Agriculture and industry;2014;130.0;126.0;31.82;4780.0;4721.0;67750.0;57360.0;10390.0;6430.0;39.4;38.9;1780.0;1836.0
8375;Total;Total;Car of the company: yes;A-F Agriculture and industry;2015;120.0;117.0;33.6;4996.0;4941.0;71150.0;59950.0;11200.0;5950.0;39.2;38.7;1765.0;1818.0
8376;Total;Total;Car of the company: yes;A-F Agriculture and industry;2016;122.0;118.0;34.6;5145.0;5090.0;73180.0;61740.0;11440.0;5800.0;39.0;38.6;1765.0;1819.0
8377;Total;Total;Car of the company: yes;A-F Agriculture and industry;2017;125.0;121.0;34.92;5202.0;5145.0;73900.0;62430.0;11470.0;6000.0;38.9;38.5;1768.0;1821.0
8378;Total;Total;Car of the company: yes;A-F Agriculture and industry;2018;128.0;125.0;35.85;5318.0;5263.0;75650.0;63820.0;11830.0;6290.0;39.0;38.5;1762.0;1815.0
8379;Total;Total;Car of the company: yes;A-F Agriculture and industry;2019;133.0;129.0;36.41;5420.0;5367.0;76710.0;65040.0;11660.0;6590.0;38.9;38.5;1769.0;1823.0
8380;Total;Total;Car of the company: yes;A-F Agriculture and industry;2020;136.0;131.0;37.2;5504.0;5459.0;77360.0;66050.0;11300.0;6740.0;38.8;38.5;1761.0;1817.0
8381;Total;Total;Car of the company: yes;A-F Agriculture and industry;2021;137.0;132.0;37.69;5616.0;5568.0;79840.0;67390.0;12450.0;7010.0;38.8;38.4;1773.0;1831.0
8382;Total;Total;Car of the company: yes;A-F Agriculture and industry;2022;141.0;137.0;38.7;5754.0;5710.0;82550.0;69050.0;13500.0;7160.0;38.7;38.4;1770.0;1830.0
8383;Total;Total;Car of the company: yes;A-F Agriculture and industry;2023;147.0;142.0;40.61;5998.0;5950.0;84960.0;71970.0;12990.0;7510.0;38.6;38.3;1758.0;1819.0
8384;Total;Total;Car of the company: yes;A Agriculture, forestry and fishing;2009;4.0;4.0;26.76;3807.0;3779.0;50740.0;45680.0;5060.0;7660.0;37.2;36.9;1694.0;1801.0
8385;Total;Total;Car of the company: yes;A Agriculture, forestry and fishing;2010 before change of method;4.0;4.0;27.22;3878.0;3849.0;51790.0;46540.0;5250.0;7710.0;37.3;37.0;1697.0;1799.0
8386;Total;Total;Car of the company: yes;A Agriculture, forestry and fishing;2010 after change of method;4.0;4.0;26.83;3783.0;3755.0;50490.0;45400.0;5100.0;7710.0;36.9;36.6;1679.0;1800.0
8387;Total;Total;Car of the company: yes;A Agriculture, forestry and fishing;2011;4.0;4.0;28.13;3950.0;3926.0;53600.0;47400.0;6200.0;7650.0;36.5;36.3;1675.0;1811.0
8388;Total;Total;Car of the company: yes;A Agriculture, forestry and fishing;2012;4.0;4.0;28.21;3936.0;3913.0;53200.0;47230.0;5970.0;7510.0;36.6;36.4;1665.0;1803.0
8389;Total;Total;Car of the company: yes;A Agriculture, forestry and fishing;2013;4.0;4.0;29.29;4100.0;4077.0;57000.0;49200.0;7800.0;7260.0;36.9;36.7;1671.0;1797.0
8390;Total;Total;Car of the company: yes;A Agriculture, forestry and fishing;2014;4.0;4.0;29.74;4188.0;4163.0;57350.0;50250.0;7100.0;6910.0;36.9;36.6;1679.0;1809.0
8391;Total;Total;Car of the company: yes;A Agriculture, forestry and fishing;2015;4.0;4.0;30.98;4338.0;4307.0;60900.0;52050.0;8850.0;6430.0;36.9;36.6;1668.0;1800.0
8392;Total;Total;Car of the company: yes;A Agriculture, forestry and fishing;2016;4.0;4.0;31.45;4416.0;4380.0;61010.0;52990.0;8020.0;6280.0;36.8;36.5;1671.0;1806.0
8393;Total;Total;Car of the company: yes;A Agriculture, forestry and fishing;2017;4.0;4.0;31.97;4478.0;4441.0;62080.0;53730.0;8350.0;6480.0;36.8;36.4;1667.0;1801.0
8394;Total;Total;Car of the company: yes;A Agriculture, forestry and fishing;2018;4.0;4.0;32.66;4544.0;4510.0;62780.0;54530.0;8250.0;6730.0;36.7;36.3;1657.0;1797.0
8395;Total;Total;Car of the company: yes;A Agriculture, forestry and fishing;2019;4.0;4.0;33.28;4674.0;4639.0;63430.0;56090.0;7340.0;6990.0;36.8;36.5;1672.0;1807.0
8396;Total;Total;Car of the company: yes;A Agriculture, forestry and fishing;2020;5.0;4.0;34.68;4851.0;4813.0;66160.0;58210.0;7960.0;7060.0;36.8;36.4;1665.0;1806.0
8397;Total;Total;Car of the company: yes;A Agriculture, forestry and fishing;2021;5.0;4.0;34.21;4827.0;4791.0;66360.0;57930.0;8440.0;7230.0;36.8;36.5;1681.0;1823.0
8398;Total;Total;Car of the company: yes;A Agriculture, forestry and fishing;2022;5.0;4.0;35.25;4963.0;4928.0;68640.0;59560.0;9080.0;7390.0;36.8;36.4;1677.0;1820.0
8399;Total;Total;Car of the company: yes;A Agriculture, forestry and fishing;2023;5.0;5.0;37.32;5205.0;5168.0;71670.0;62460.0;9210.0;7620.0;36.6;36.2;1662.0;1811.0
8400;Total;Total;Car of the company: yes;B-F Industry and energy;2009;125.0;121.0;30.45;4512.0;4463.0;63220.0;54140.0;9080.0;7350.0;38.9;38.5;1759.0;1809.0
8401;Total;Total;Car of the company: yes;B-F Industry and energy;2010 before change of method;124.0;121.0;30.83;4559.0;4511.0;64000.0;54700.0;9300.0;7350.0;38.9;38.5;1756.0;1805.0
8402;Total;Total;Car of the company: yes;B-F Industry and energy;2010 after change of method;126.0;123.0;30.77;4542.0;4495.0;63710.0;54500.0;9210.0;7400.0;38.8;38.4;1753.0;1806.0
8403;Total;Total;Car of the company: yes;B-F Industry and energy;2011;125.0;121.0;31.27;4643.0;4591.0;65250.0;55720.0;9530.0;7190.0;38.7;38.3;1762.0;1818.0
8404;Total;Total;Car of the company: yes;B-F Industry and energy;2012;131.0;127.0;31.55;4659.0;4602.0;65390.0;55900.0;9490.0;6950.0;38.9;38.4;1750.0;1806.0
8405;Total;Total;Car of the company: yes;B-F Industry and energy;2013;128.0;124.0;31.15;4676.0;4616.0;66700.0;56120.0;10580.0;6750.0;39.6;39.0;1778.0;1831.0
8406;Total;Total;Car of the company: yes;B-F Industry and energy;2014;126.0;122.0;31.89;4801.0;4741.0;68120.0;57610.0;10510.0;6410.0;39.5;39.0;1784.0;1837.0
8407;Total;Total;Car of the company: yes;B-F Industry and energy;2015;116.0;113.0;33.68;5018.0;4962.0;71490.0;60210.0;11280.0;5930.0;39.3;38.8;1768.0;1818.0
8408;Total;Total;Car of the company: yes;B-F Industry and energy;2016;118.0;115.0;34.7;5170.0;5114.0;73590.0;62040.0;11560.0;5790.0;39.1;38.7;1768.0;1819.0
8409;Total;Total;Car of the company: yes;B-F Industry and energy;2017;121.0;117.0;35.01;5226.0;5169.0;74290.0;62720.0;11580.0;5990.0;39.0;38.6;1771.0;1821.0
8410;Total;Total;Car of the company: yes;B-F Industry and energy;2018;124.0;121.0;35.95;5344.0;5288.0;76080.0;64130.0;11950.0;6270.0;39.0;38.6;1765.0;1815.0
8411;Total;Total;Car of the company: yes;B-F Industry and energy;2019;129.0;125.0;36.51;5446.0;5392.0;77160.0;65350.0;11810.0;6580.0;39.0;38.6;1772.0;1824.0
8412;Total;Total;Car of the company: yes;B-F Industry and energy;2020;131.0;127.0;37.29;5527.0;5481.0;77750.0;66330.0;11420.0;6730.0;38.9;38.6;1764.0;1818.0
8413;Total;Total;Car of the company: yes;B-F Industry and energy;2021;132.0;128.0;37.81;5644.0;5596.0;80320.0;67720.0;12590.0;7000.0;38.8;38.5;1776.0;1831.0
8414;Total;Total;Car of the company: yes;B-F Industry and energy;2022;136.0;132.0;38.82;5782.0;5737.0;83040.0;69380.0;13660.0;7150.0;38.8;38.5;1773.0;1830.0
8415;Total;Total;Car of the company: yes;B-F Industry and energy;2023;142.0;137.0;40.72;6025.0;5977.0;85430.0;72300.0;13120.0;7500.0;38.7;38.4;1761.0;1819.0
8416;Total;Total;Car of the company: yes;B-E Industry (no construction), energy;2009;57.0;55.0;34.42;5090.0;5044.0;73550.0;61080.0;12470.0;7920.0;38.8;38.4;1759.0;1802.0
8417;Total;Total;Car of the company: yes;B-E Industry (no construction), energy;2010 before change of method;57.0;56.0;34.88;5139.0;5094.0;74570.0;61660.0;12910.0;7890.0;38.7;38.4;1753.0;1796.0
8418;Total;Total;Car of the company: yes;B-E Industry (no construction), energy;2010 after change of method;58.0;56.0;34.77;5115.0;5072.0;74150.0;61380.0;12760.0;7930.0;38.7;38.3;1750.0;1798.0
8419;Total;Total;Car of the company: yes;B-E Industry (no construction), energy;2011;58.0;57.0;35.6;5247.0;5199.0;76550.0;62960.0;13580.0;7670.0;38.4;38.0;1752.0;1806.0
8420;Total;Total;Car of the company: yes;B-E Industry (no construction), energy;2012;61.0;59.0;36.27;5314.0;5263.0;76890.0;63760.0;13120.0;7480.0;38.5;38.1;1741.0;1795.0
8421;Total;Total;Car of the company: yes;B-E Industry (no construction), energy;2013;61.0;59.0;36.27;5335.0;5281.0;78950.0;64020.0;14930.0;7300.0;38.9;38.4;1747.0;1797.0
8422;Total;Total;Car of the company: yes;B-E Industry (no construction), energy;2014;61.0;59.0;36.85;5447.0;5394.0;80180.0;65360.0;14820.0;6920.0;38.9;38.4;1757.0;1808.0
8423;Total;Total;Car of the company: yes;B-E Industry (no construction), energy;2015;58.0;57.0;38.84;5700.0;5652.0;84330.0;68400.0;15920.0;6440.0;38.7;38.4;1746.0;1796.0
8424;Total;Total;Car of the company: yes;B-E Industry (no construction), energy;2016;60.0;58.0;39.08;5765.0;5717.0;85770.0;69180.0;16600.0;6240.0;38.8;38.4;1756.0;1806.0
8425;Total;Total;Car of the company: yes;B-E Industry (no construction), energy;2017;61.0;59.0;39.26;5788.0;5739.0;86480.0;69460.0;17020.0;6440.0;38.7;38.3;1754.0;1805.0
8426;Total;Total;Car of the company: yes;B-E Industry (no construction), energy;2018;62.0;60.0;40.22;5914.0;5864.0;88610.0;70970.0;17640.0;6740.0;38.7;38.4;1749.0;1800.0
8427;Total;Total;Car of the company: yes;B-E Industry (no construction), energy;2019;63.0;61.0;40.99;6038.0;5988.0;89770.0;72460.0;17320.0;7060.0;38.7;38.3;1753.0;1805.0
8428;Total;Total;Car of the company: yes;B-E Industry (no construction), energy;2020;63.0;61.0;41.8;6120.0;6076.0;89800.0;73440.0;16360.0;7240.0;38.6;38.3;1744.0;1800.0
8429;Total;Total;Car of the company: yes;B-E Industry (no construction), energy;2021;63.0;61.0;42.45;6268.0;6220.0;93310.0;75210.0;18100.0;7510.0;38.6;38.3;1758.0;1814.0
8430;Total;Total;Car of the company: yes;B-E Industry (no construction), energy;2022;63.0;61.0;43.45;6420.0;6374.0;97420.0;77040.0;20380.0;7670.0;38.6;38.3;1760.0;1818.0
8431;Total;Total;Car of the company: yes;B-E Industry (no construction), energy;2023;65.0;63.0;45.84;6717.0;6665.0;99630.0;80600.0;19030.0;8030.0;38.5;38.1;1745.0;1804.0
8432;Total;Total;Car of the company: yes;B Mining and quarrying ;2009;1.0;1.0;42.35;6320.0;6289.0;99020.0;75840.0;23180.0;7040.0;39.3;39.1;1782.0;1824.0
8433;Total;Total;Car of the company: yes;B Mining and quarrying ;2010 before change of method;1.0;1.0;43.53;6462.0;6433.0;102240.0;77540.0;24690.0;6940.0;39.1;38.9;1773.0;1818.0
8434;Total;Total;Car of the company: yes;B Mining and quarrying ;2010 after change of method;1.0;1.0;43.68;6488.0;6459.0;102450.0;77850.0;24590.0;6960.0;39.1;38.9;1775.0;1821.0
8435;Total;Total;Car of the company: yes;B Mining and quarrying ;2011;1.0;1.0;48.54;7183.0;7160.0;114350.0;86190.0;28160.0;7030.0;38.9;38.8;1770.0;1814.0
8436;Total;Total;Car of the company: yes;B Mining and quarrying ;2012;1.0;1.0;44.66;6602.0;6575.0;104220.0;79230.0;24990.0;6940.0;38.9;38.7;1767.0;1814.0
8437;Total;Total;Car of the company: yes;B Mining and quarrying ;2013;1.0;1.0;45.91;6787.0;6764.0;114700.0;81440.0;33260.0;6880.0;39.0;38.8;1768.0;1817.0
8438;Total;Total;Car of the company: yes;B Mining and quarrying ;2014;1.0;1.0;46.03;6831.0;6802.0;110030.0;81970.0;28060.0;6530.0;39.0;38.8;1773.0;1827.0
8439;Total;Total;Car of the company: yes;B Mining and quarrying ;2015;1.0;1.0;48.97;7246.0;7223.0;117090.0;86950.0;30140.0;6030.0;39.0;38.8;1770.0;1821.0
8440;Total;Total;Car of the company: yes;B Mining and quarrying ;2016;1.0;1.0;48.93;7303.0;7274.0;122840.0;87630.0;35200.0;5950.0;39.1;39.0;1784.0;1828.0
8441;Total;Total;Car of the company: yes;B Mining and quarrying ;2017;1.0;1.0;48.25;7204.0;7168.0;111120.0;86450.0;24670.0;6120.0;39.2;39.0;1783.0;1821.0
8442;Total;Total;Car of the company: yes;B Mining and quarrying ;2018;1.0;1.0;48.29;7205.0;7168.0;112490.0;86460.0;26030.0;6440.0;39.3;39.1;1781.0;1817.0
8443;Total;Total;Car of the company: yes;B Mining and quarrying ;2019;1.0;1.0;48.64;7300.0;7262.0;111260.0;87600.0;23660.0;6800.0;39.4;39.1;1792.0;1830.0
8444;Total;Total;Car of the company: yes;B Mining and quarrying ;2020;1.0;1.0;48.9;7302.0;7268.0;111860.0;87620.0;24240.0;7000.0;39.3;39.1;1784.0;1823.0
8445;Total;Total;Car of the company: yes;B Mining and quarrying ;2021;1.0;1.0;49.29;7381.0;7351.0;114120.0;88580.0;25540.0;7490.0;39.1;38.9;1790.0;1838.0
8446;Total;Total;Car of the company: yes;B Mining and quarrying ;2022;1.0;1.0;50.47;7535.0;7504.0;119550.0;90410.0;29140.0;7640.0;39.0;38.9;1784.0;1832.0
8447;Total;Total;Car of the company: yes;B Mining and quarrying ;2023;1.0;1.0;54.59;8066.0;8041.0;128650.0;96790.0;31860.0;8100.0;38.8;38.7;1768.0;1822.0
8448;Total;Total;Car of the company: yes;C Manufacturing;2009;50.0;49.0;34.18;5056.0;5011.0;73050.0;60670.0;12390.0;8040.0;38.8;38.4;1759.0;1803.0
8449;Total;Total;Car of the company: yes;C Manufacturing;2010 before change of method;50.0;49.0;34.66;5107.0;5063.0;74160.0;61280.0;12870.0;8020.0;38.7;38.3;1753.0;1797.0
8450;Total;Total;Car of the company: yes;C Manufacturing;2010 after change of method;51.0;50.0;34.54;5080.0;5038.0;73680.0;60960.0;12710.0;8050.0;38.6;38.3;1750.0;1799.0
8451;Total;Total;Car of the company: yes;C Manufacturing;2011;51.0;49.0;35.23;5188.0;5139.0;75830.0;62260.0;13580.0;7800.0;38.4;38.0;1751.0;1806.0
8452;Total;Total;Car of the company: yes;C Manufacturing;2012;52.0;51.0;35.83;5248.0;5195.0;76190.0;62970.0;13210.0;7640.0;38.5;38.1;1740.0;1796.0
8453;Total;Total;Car of the company: yes;C Manufacturing;2013;52.0;51.0;36.01;5294.0;5238.0;78050.0;63530.0;14520.0;7470.0;38.8;38.3;1746.0;1797.0
8454;Total;Total;Car of the company: yes;C Manufacturing;2014;52.0;51.0;36.63;5414.0;5359.0;79690.0;64970.0;14720.0;7090.0;38.8;38.4;1756.0;1808.0
8455;Total;Total;Car of the company: yes;C Manufacturing;2015;50.0;48.0;38.73;5686.0;5636.0;84170.0;68230.0;15940.0;6590.0;38.7;38.4;1746.0;1797.0
8456;Total;Total;Car of the company: yes;C Manufacturing;2016;51.0;50.0;39.02;5756.0;5706.0;85630.0;69070.0;16550.0;6380.0;38.7;38.4;1755.0;1807.0
8457;Total;Total;Car of the company: yes;C Manufacturing;2017;52.0;50.0;39.34;5783.0;5731.0;86660.0;69390.0;17270.0;6580.0;38.6;38.2;1748.0;1800.0
8458;Total;Total;Car of the company: yes;C Manufacturing;2018;53.0;52.0;40.4;5919.0;5867.0;88990.0;71030.0;17960.0;6890.0;38.6;38.3;1742.0;1795.0
8459;Total;Total;Car of the company: yes;C Manufacturing;2019;54.0;53.0;41.21;6054.0;6002.0;90120.0;72650.0;17470.0;7260.0;38.6;38.2;1748.0;1802.0
8460;Total;Total;Car of the company: yes;C Manufacturing;2020;54.0;52.0;42.04;6138.0;6092.0;90040.0;73650.0;16390.0;7500.0;38.5;38.2;1739.0;1796.0
8461;Total;Total;Car of the company: yes;C Manufacturing;2021;53.0;52.0;42.74;6292.0;6244.0;93940.0;75500.0;18440.0;7800.0;38.5;38.2;1753.0;1810.0
8462;Total;Total;Car of the company: yes;C Manufacturing;2022;54.0;52.0;43.82;6463.0;6415.0;98250.0;77550.0;20700.0;7970.0;38.6;38.3;1757.0;1816.0
8463;Total;Total;Car of the company: yes;C Manufacturing;2023;55.0;53.0;46.16;6748.0;6695.0;100340.0;80980.0;19360.0;8320.0;38.4;38.1;1741.0;1801.0
8464;Total;Total;Car of the company: yes;D Electricity and gas supply;2009;3.0;3.0;39.22;5763.0;5725.0;83520.0;69160.0;14360.0;7070.0;38.6;38.3;1752.0;1785.0
8465;Total;Total;Car of the company: yes;D Electricity and gas supply;2010 before change of method;3.0;3.0;38.64;5698.0;5658.0;81730.0;68370.0;13360.0;7000.0;38.9;38.6;1757.0;1787.0
8466;Total;Total;Car of the company: yes;D Electricity and gas supply;2010 after change of method;3.0;3.0;38.64;5697.0;5658.0;81730.0;68360.0;13360.0;7000.0;38.9;38.6;1757.0;1787.0
8467;Total;Total;Car of the company: yes;D Electricity and gas supply;2011;4.0;3.0;40.61;6002.0;5966.0;85210.0;72020.0;13190.0;6770.0;38.7;38.4;1763.0;1797.0
8468;Total;Total;Car of the company: yes;D Electricity and gas supply;2012;4.0;4.0;42.25;6199.0;6170.0;86340.0;74390.0;11950.0;6470.0;38.7;38.5;1752.0;1789.0
8469;Total;Total;Car of the company: yes;D Electricity and gas supply;2013;4.0;4.0;39.99;5883.0;5851.0;88850.0;70590.0;18260.0;6170.0;38.9;38.7;1756.0;1789.0
8470;Total;Total;Car of the company: yes;D Electricity and gas supply;2014;5.0;4.0;39.78;5890.0;5857.0;86720.0;70680.0;16030.0;5750.0;39.0;38.8;1767.0;1802.0
8471;Total;Total;Car of the company: yes;D Electricity and gas supply;2015;5.0;5.0;40.65;5939.0;5908.0;87630.0;71270.0;16360.0;5420.0;38.7;38.5;1744.0;1779.0
8472;Total;Total;Car of the company: yes;D Electricity and gas supply;2016;5.0;5.0;40.59;5985.0;5958.0;88750.0;71820.0;16930.0;5220.0;38.9;38.7;1761.0;1795.0
8473;Total;Total;Car of the company: yes;D Electricity and gas supply;2017;5.0;5.0;39.75;6045.0;6020.0;89220.0;72540.0;16680.0;5400.0;39.2;39.0;1817.0;1853.0
8474;Total;Total;Car of the company: yes;D Electricity and gas supply;2018;5.0;5.0;40.02;6102.0;6074.0;89970.0;73220.0;16750.0;5570.0;39.4;39.2;1821.0;1854.0
8475;Total;Total;Car of the company: yes;D Electricity and gas supply;2019;5.0;5.0;40.55;6116.0;6089.0;91840.0;73390.0;18450.0;5300.0;39.0;38.8;1802.0;1839.0
8476;Total;Total;Car of the company: yes;D Electricity and gas supply;2020;5.0;5.0;41.21;6154.0;6137.0;91410.0;73850.0;17560.0;5030.0;38.8;38.5;1787.0;1833.0
8477;Total;Total;Car of the company: yes;D Electricity and gas supply;2021;5.0;5.0;42.11;6345.0;6304.0;93340.0;76140.0;17200.0;5160.0;38.7;38.5;1796.0;1839.0
8478;Total;Total;Car of the company: yes;D Electricity and gas supply;2022;6.0;5.0;42.4;6345.0;6317.0;95670.0;76140.0;19540.0;5410.0;38.5;38.3;1788.0;1836.0
8479;Total;Total;Car of the company: yes;D Electricity and gas supply;2023;6.0;6.0;45.59;6776.0;6741.0;99060.0;81310.0;17750.0;6060.0;38.4;38.2;1774.0;1824.0
8480;Total;Total;Car of the company: yes;E Water supply and waste management;2009;3.0;3.0;30.86;4558.0;4488.0;63010.0;54700.0;8320.0;6980.0;39.3;38.7;1745.0;1787.0
8481;Total;Total;Car of the company: yes;E Water supply and waste management;2010 before change of method;3.0;3.0;31.64;4645.0;4577.0;64870.0;55740.0;9130.0;7010.0;39.2;38.6;1736.0;1775.0
8482;Total;Total;Car of the company: yes;E Water supply and waste management;2010 after change of method;3.0;3.0;31.67;4644.0;4576.0;64810.0;55730.0;9090.0;7040.0;39.2;38.5;1734.0;1776.0
8483;Total;Total;Car of the company: yes;E Water supply and waste management;2011;3.0;3.0;31.87;4728.0;4673.0;66310.0;56740.0;9570.0;6730.0;39.0;38.5;1760.0;1806.0
8484;Total;Total;Car of the company: yes;E Water supply and waste management;2012;3.0;3.0;32.72;4807.0;4749.0;67300.0;57680.0;9620.0;6410.0;38.9;38.4;1742.0;1795.0
8485;Total;Total;Car of the company: yes;E Water supply and waste management;2013;3.0;3.0;32.23;4777.0;4716.0;68240.0;57330.0;10910.0;6170.0;39.4;38.9;1756.0;1802.0
8486;Total;Total;Car of the company: yes;E Water supply and waste management;2014;3.0;3.0;32.93;4857.0;4801.0;68150.0;58280.0;9870.0;5910.0;39.1;38.6;1749.0;1801.0
8487;Total;Total;Car of the company: yes;E Water supply and waste management;2015;3.0;3.0;34.1;4990.0;4942.0;69600.0;59890.0;9710.0;5630.0;38.9;38.5;1739.0;1792.0
8488;Total;Total;Car of the company: yes;E Water supply and waste management;2016;3.0;3.0;34.26;5040.0;4994.0;70850.0;60480.0;10370.0;5520.0;39.0;38.6;1749.0;1803.0
8489;Total;Total;Car of the company: yes;E Water supply and waste management;2017;3.0;3.0;34.38;5074.0;5022.0;71950.0;60890.0;11050.0;5750.0;39.0;38.6;1753.0;1807.0
8490;Total;Total;Car of the company: yes;E Water supply and waste management;2018;3.0;3.0;35.22;5179.0;5128.0;73380.0;62150.0;11230.0;5980.0;39.1;38.6;1747.0;1801.0
8491;Total;Total;Car of the company: yes;E Water supply and waste management;2019;3.0;3.0;35.83;5293.0;5243.0;74510.0;63520.0;10990.0;6280.0;39.1;38.7;1756.0;1809.0
8492;Total;Total;Car of the company: yes;E Water supply and waste management;2020;3.0;3.0;36.65;5422.0;5376.0;76740.0;65060.0;11680.0;6400.0;39.2;38.9;1760.0;1809.0
8493;Total;Total;Car of the company: yes;E Water supply and waste management;2021;3.0;3.0;36.64;5469.0;5416.0;77640.0;65630.0;12000.0;6520.0;39.3;38.9;1774.0;1825.0
8494;Total;Total;Car of the company: yes;E Water supply and waste management;2022;3.0;3.0;37.78;5609.0;5556.0;81960.0;67310.0;14650.0;6530.0;39.1;38.7;1765.0;1818.0
8495;Total;Total;Car of the company: yes;E Water supply and waste management;2023;3.0;3.0;39.51;5835.0;5779.0;83380.0;70020.0;13360.0;6870.0;39.0;38.6;1755.0;1813.0
8496;Total;Total;Car of the company: yes;F Construction;2009;68.0;66.0;27.16;4031.0;3981.0;54640.0;48370.0;6270.0;6870.0;39.0;38.5;1759.0;1816.0
8497;Total;Total;Car of the company: yes;F Construction;2010 before change of method;67.0;65.0;27.42;4068.0;4018.0;55060.0;48820.0;6240.0;6890.0;39.0;38.6;1759.0;1812.0
8498;Total;Total;Car of the company: yes;F Construction;2010 after change of method;68.0;66.0;27.39;4056.0;4006.0;54860.0;48670.0;6190.0;6950.0;38.9;38.5;1755.0;1813.0
8499;Total;Total;Car of the company: yes;F Construction;2011;67.0;65.0;27.54;4119.0;4063.0;55430.0;49420.0;6000.0;6770.0;39.0;38.5;1770.0;1828.0
8500;Total;Total;Car of the company: yes;F Construction;2012;70.0;68.0;27.5;4091.0;4028.0;55430.0;49090.0;6340.0;6490.0;39.1;38.6;1758.0;1815.0
8501;Total;Total;Car of the company: yes;F Construction;2013;67.0;65.0;26.65;4076.0;4011.0;55540.0;48920.0;6620.0;6260.0;40.2;39.6;1806.0;1861.0
8502;Total;Total;Car of the company: yes;F Construction;2014;65.0;63.0;27.34;4190.0;4124.0;56720.0;50280.0;6440.0;5930.0;40.2;39.5;1810.0;1865.0
8503;Total;Total;Car of the company: yes;F Construction;2015;58.0;56.0;28.62;4332.0;4269.0;58590.0;51980.0;6600.0;5430.0;39.8;39.2;1790.0;1841.0
8504;Total;Total;Car of the company: yes;F Construction;2016;59.0;57.0;30.3;4564.0;4499.0;61200.0;54770.0;6430.0;5320.0;39.5;38.9;1782.0;1833.0
8505;Total;Total;Car of the company: yes;F Construction;2017;60.0;58.0;30.81;4660.0;4594.0;62010.0;55920.0;6080.0;5530.0;39.4;38.8;1789.0;1837.0
