ID;SectorBranchesSIC2008;Periods;LabourPriceIndex_1;YearOnYearChangePriceOfLabour_2;WageCostsPerHourWorked2010100_3;YearOnYearChangeWageCostsPerHour_4;StructuralEffect_5
1006;M Other specialised business services;2015;101.0;-3.3;104.6;-3.2;0.1
1007;M Other specialised business services;2016;99.9;-1.1;103.6;-1.0;0.1
1008;M Other specialised business services;2017;101.8;1.9;105.5;1.8;-0.1
1009;M Other specialised business services;2006 January - 2006 December;93.7;-0.1;89.9;2.1;2.3
1010;M Other specialised business services;2006 April - 2007 March;94.0;;90.3;;
1011;M Other specialised business services;2006 July - 2007 June;94.3;;90.9;;
1012;M Other specialised business services;2006 October - 2007 September;94.9;;91.6;;
1013;M Other specialised business services;2007 January - 2007 December;96.0;2.5;92.9;3.4;0.9
1014;M Other specialised business services;2007 April - 2008 March;96.9;3.2;93.9;4.0;0.8
1015;M Other specialised business services;2007 July - 2008 June;97.8;3.7;94.9;4.4;0.6
1016;M Other specialised business services;2007 October - 2008 September;98.5;3.9;95.5;4.3;0.5
1017;M Other specialised business services;2008 January - 2008 December;99.3;3.4;96.3;3.7;0.3
1018;M Other specialised business services;2008 April - 2009 March;99.1;2.2;96.2;2.4;0.2
1019;M Other specialised business services;2008 July - 2009 June;99.8;2.0;97.2;2.4;0.4
1020;M Other specialised business services;2008 October - 2009 September;99.8;1.4;97.5;2.1;0.7
1021;M Other specialised business services;2009 January - 2009 December;98.9;-0.4;97.0;0.7;1.1
1022;M Other specialised business services;2009 April - 2010 March;100.0;0.9;98.6;2.5;1.6
1023;M Other specialised business services;2009 July - 2010 June;100.1;0.3;99.2;2.1;1.8
1024;M Other specialised business services;2009 October - 2010 September;99.6;-0.2;99.2;1.7;1.9
1025;M Other specialised business services;2010 January - 2010 December;100.0;1.1;100.0;3.1;2.0
1026;M Other specialised business services;2010 April - 2011 March;100.2;0.2;100.5;1.9;1.7
1027;M Other specialised business services;2010 July - 2011 June;100.2;0.1;100.7;1.6;1.5
1028;M Other specialised business services;2010 October - 2011 September;100.4;0.8;101.1;2.0;1.2
1029;M Other specialised business services;2011 January - 2011 December;101.4;1.4;102.3;2.3;1.0
1030;M Other specialised business services;2011 April - 2012 March;101.0;0.8;102.2;1.7;0.9
1031;M Other specialised business services;2011 July - 2012 June;101.1;0.9;102.5;1.8;0.9
1032;M Other specialised business services;2011 October - 2012 September;102.0;1.7;103.7;2.6;0.9
1033;M Other specialised business services;2012 January - 2012 December;102.5;1.1;104.5;2.1;0.9
1034;M Other specialised business services;2012 April - 2013 March;104.2;3.2;106.4;4.1;0.9
1035;M Other specialised business services;2012 July - 2013 June;104.3;3.1;106.7;4.1;0.9
1036;M Other specialised business services;2012 October - 2013 September;104.2;2.1;106.9;3.1;0.9
1037;M Other specialised business services;2013 January - 2013 December;104.1;1.5;107.0;2.5;1.0
1038;M Other specialised business services;2013 April - 2014 March;104.0;-0.3;107.2;0.7;0.9
1039;M Other specialised business services;2013 July - 2014 June;104.3;0.0;107.6;0.8;0.9
1040;M Other specialised business services;2013 October - 2014 September;104.1;-0.1;107.6;0.7;0.7
1041;M Other specialised business services;2014 January - 2014 December;104.5;0.4;108.1;1.0;0.6
1042;M Other specialised business services;2014 April - 2015 March ;103.7;-0.3;107.3;0.1;0.4
1043;M Other specialised business services;2014 July - 2015 June;103.3;-0.9;106.9;-0.7;0.2
1044;M Other specialised business services;2014 October - 2015 September;102.7;-1.4;106.2;-1.3;0.1
1045;M Other specialised business services;2015 January - 2015 December;101.0;-3.3;104.6;-3.2;0.1
1046;M Other specialised business services;2015 April - 2016 March;100.9;-2.7;104.5;-2.6;0.1
1047;M Other specialised business services;2015 July - 2016 June;99.9;-3.2;103.5;-3.1;0.1
1048;M Other specialised business services;2015 October - 2016 September;99.8;-2.8;103.5;-2.6;0.1
1049;M Other specialised business services;2016 January - 2016 December;99.9;-1.1;103.6;-1.0;0.1
1050;M Other specialised business services;2016 April - 2017 March;99.3;-1.6;102.9;-1.5;0.1
1051;M Other specialised business services;2016 July - 2017 June;100.5;0.5;104.1;0.6;0.0
1052;M Other specialised business services;2016 October - 2017 September;101.2;1.4;104.8;1.3;0.0
1053;M Other specialised business services;2017 January - 2017 December;101.8;1.9;105.5;1.8;-0.1
1054;N Renting and other business support;2001;89.3;;84.8;;
1055;N Renting and other business support;2002;90.1;0.8;86.7;2.2;1.4
1056;N Renting and other business support;2003;91.4;1.5;88.1;1.6;0.1
1057;N Renting and other business support;2004;92.2;0.8;89.4;1.5;0.6
1058;N Renting and other business support;2005;92.5;0.3;89.6;0.2;-0.1
1059;N Renting and other business support;2006;93.7;1.3;90.9;1.5;0.2
1060;N Renting and other business support;2007;97.9;4.6;95.4;4.9;0.3
1061;N Renting and other business support;2008;99.7;1.8;97.7;2.5;0.7
1062;N Renting and other business support;2009;100.6;0.9;100.3;2.6;1.7
1063;N Renting and other business support;2010;100.0;-0.6;100.0;-0.3;0.3
1064;N Renting and other business support;2011;102.3;2.3;102.5;2.5;0.1
1065;N Renting and other business support;2012;103.8;1.5;104.9;2.4;0.9
1066;N Renting and other business support;2013;104.4;0.6;105.9;0.9;0.4
1067;N Renting and other business support;2014;105.2;0.7;106.3;0.4;-0.3
1068;N Renting and other business support;2015;106.5;1.2;107.3;0.9;-0.3
1069;N Renting and other business support;2016;107.5;0.9;107.7;0.4;-0.6
1070;N Renting and other business support;2017;108.3;0.7;108.0;0.3;-0.5
1071;N Renting and other business support;2006 January - 2006 December;93.7;1.3;90.9;1.5;0.2
1072;N Renting and other business support;2006 April - 2007 March;95.1;;92.3;;
1073;N Renting and other business support;2006 July - 2007 June;96.3;;93.6;;
1074;N Renting and other business support;2006 October - 2007 September;97.5;;94.8;;
1075;N Renting and other business support;2007 January - 2007 December;97.9;4.6;95.4;4.9;0.3
1076;N Renting and other business support;2007 April - 2008 March;99.0;4.2;96.6;4.7;0.5
1077;N Renting and other business support;2007 July - 2008 June;99.8;3.6;97.5;4.1;0.5
1078;N Renting and other business support;2007 October - 2008 September;99.9;2.5;97.7;3.0;0.5
1079;N Renting and other business support;2008 January - 2008 December;99.7;1.8;97.7;2.5;0.7
1080;N Renting and other business support;2008 April - 2009 March;100.4;1.4;98.8;2.3;0.9
1081;N Renting and other business support;2008 July - 2009 June;100.8;1.0;99.7;2.3;1.3
1082;N Renting and other business support;2008 October - 2009 September;100.6;0.7;100.0;2.3;1.6
1083;N Renting and other business support;2009 January - 2009 December;100.6;0.9;100.3;2.6;1.7
1084;N Renting and other business support;2009 April - 2010 March;101.6;1.2;101.6;2.9;1.6
1085;N Renting and other business support;2009 July - 2010 June;101.6;0.8;101.7;1.9;1.2
1086;N Renting and other business support;2009 October - 2010 September;100.1;-0.5;100.1;0.1;0.7
1087;N Renting and other business support;2010 January - 2010 December;100.0;-0.6;100.0;-0.3;0.3
1088;N Renting and other business support;2010 April - 2011 March;100.6;-1.0;100.6;-1.0;-0.1
1089;N Renting and other business support;2010 July - 2011 June;100.8;-0.7;100.8;-0.8;-0.1
1090;N Renting and other business support;2010 October - 2011 September;101.3;1.2;101.4;1.2;0.0
1091;N Renting and other business support;2011 January - 2011 December;102.3;2.3;102.5;2.5;0.1
1092;N Renting and other business support;2011 April - 2012 March;102.1;1.4;102.4;1.8;0.4
1093;N Renting and other business support;2011 July - 2012 June;102.4;1.5;103.0;2.1;0.6
1094;N Renting and other business support;2011 October - 2012 September;102.8;1.5;103.6;2.2;0.7
1095;N Renting and other business support;2012 January - 2012 December;103.8;1.5;104.9;2.4;0.9
1096;N Renting and other business support;2012 April - 2013 March;104.8;2.7;105.9;3.4;0.7
1097;N Renting and other business support;2012 July - 2013 June;104.8;2.4;106.1;3.0;0.6
1098;N Renting and other business support;2012 October - 2013 September;105.1;2.2;106.5;2.8;0.6
1099;N Renting and other business support;2013 January - 2013 December;104.4;0.6;105.9;0.9;0.4
1100;N Renting and other business support;2013 April - 2014 March;104.5;-0.3;105.9;0.0;0.3
1101;N Renting and other business support;2013 July - 2014 June;104.8;-0.1;106.1;0.0;0.1
1102;N Renting and other business support;2013 October - 2014 September;104.6;-0.5;105.8;-0.7;-0.2
1103;N Renting and other business support;2014 January - 2014 December;105.2;0.7;106.3;0.4;-0.3
1104;N Renting and other business support;2014 April - 2015 March ;105.0;0.5;106.1;0.2;-0.3
1105;N Renting and other business support;2014 July - 2015 June;105.8;1.0;106.8;0.7;-0.3
1106;N Renting and other business support;2014 October - 2015 September;106.6;1.9;107.5;1.6;-0.3
1107;N Renting and other business support;2015 January - 2015 December;106.5;1.2;107.3;0.9;-0.3
1108;N Renting and other business support;2015 April - 2016 March;107.2;2.1;107.9;1.7;-0.4
1109;N Renting and other business support;2015 July - 2016 June;107.2;1.4;107.8;0.9;-0.5
1110;N Renting and other business support;2015 October - 2016 September;107.4;0.8;107.8;0.2;-0.5
1111;N Renting and other business support;2016 January - 2016 December;107.5;0.9;107.7;0.4;-0.6
1112;N Renting and other business support;2016 April - 2017 March;106.5;-0.7;106.6;-1.2;-0.5
1113;N Renting and other business support;2016 July - 2017 June;107.1;-0.1;107.2;-0.6;-0.5
1114;N Renting and other business support;2016 October - 2017 September;107.6;0.2;107.4;-0.3;-0.5
1115;N Renting and other business support;2017 January - 2017 December;108.3;0.7;108.0;0.3;-0.5
1116;O-U Noncommercial services;2001;76.4;;75.7;;
1117;O-U Noncommercial services;2002;79.6;4.3;78.8;4.0;-0.2
1118;O-U Noncommercial services;2003;82.2;3.2;81.6;3.5;0.3
1119;O-U Noncommercial services;2004;84.2;2.4;83.8;2.7;0.3
1120;O-U Noncommercial services;2005;86.9;3.1;86.8;3.6;0.4
1121;O-U Noncommercial services;2006;89.3;2.8;89.5;3.1;0.3
1122;O-U Noncommercial services;2007;92.4;3.6;92.6;3.5;-0.1
1123;O-U Noncommercial services;2008;95.7;3.6;95.7;3.3;-0.2
1124;O-U Noncommercial services;2009;98.3;2.7;98.4;2.8;0.1
1125;O-U Noncommercial services;2010;100.0;1.7;100.0;1.6;-0.1
1126;O-U Noncommercial services;2011;101.5;1.5;101.7;1.7;0.2
1127;O-U Noncommercial services;2012;103.9;2.3;104.4;2.7;0.4
1128;O-U Noncommercial services;2013;105.5;1.6;106.9;2.4;0.8
1129;O-U Noncommercial services;2014;106.3;0.8;108.5;1.5;0.7
1130;O-U Noncommercial services;2015;107.5;1.1;110.2;1.6;0.5
1131;O-U Noncommercial services;2016;109.1;1.5;112.0;1.6;0.1
1132;O-U Noncommercial services;2017;111.6;2.3;114.3;2.1;-0.2
1133;O-U Noncommercial services;2006 January - 2006 December;89.3;2.8;89.5;3.1;0.3
1134;O-U Noncommercial services;2006 April - 2007 March;90.2;;90.4;;
1135;O-U Noncommercial services;2006 July - 2007 June;90.9;;91.2;;
1136;O-U Noncommercial services;2006 October - 2007 September;91.6;;91.8;;
1137;O-U Noncommercial services;2007 January - 2007 December;92.4;3.6;92.6;3.5;-0.1
1138;O-U Noncommercial services;2007 April - 2008 March;93.3;3.4;93.4;3.3;-0.2
1139;O-U Noncommercial services;2007 July - 2008 June;94.0;3.3;94.0;3.1;-0.2
1140;O-U Noncommercial services;2007 October - 2008 September;94.3;3.0;94.3;2.7;-0.3
1141;O-U Noncommercial services;2008 January - 2008 December;95.7;3.6;95.7;3.3;-0.2
1142;O-U Noncommercial services;2008 April - 2009 March;96.3;3.2;96.3;3.1;-0.1
1143;O-U Noncommercial services;2008 July - 2009 June;97.5;3.8;97.5;3.7;-0.1
1144;O-U Noncommercial services;2008 October - 2009 September;97.8;3.7;97.9;3.8;0.1
1145;O-U Noncommercial services;2009 January - 2009 December;98.3;2.7;98.4;2.8;0.1
1146;O-U Noncommercial services;2009 April - 2010 March;98.4;2.2;98.5;2.3;0.1
1147;O-U Noncommercial services;2009 July - 2010 June;99.4;1.9;99.5;2.0;0.1
1148;O-U Noncommercial services;2009 October - 2010 September;99.8;2.0;99.9;2.0;0.0
1149;O-U Noncommercial services;2010 January - 2010 December;100.0;1.7;100.0;1.6;-0.1
1150;O-U Noncommercial services;2010 April - 2011 March;99.9;1.5;99.9;1.5;-0.1
1151;O-U Noncommercial services;2010 July - 2011 June;99.8;0.4;99.9;0.4;0.0
1152;O-U Noncommercial services;2010 October - 2011 September;100.1;0.3;100.2;0.4;0.1
1153;O-U Noncommercial services;2011 January - 2011 December;101.5;1.5;101.7;1.7;0.2
1154;O-U Noncommercial services;2011 April - 2012 March;101.4;1.5;101.6;1.7;0.2
1155;O-U Noncommercial services;2011 July - 2012 June;101.8;2.0;102.1;2.2;0.2
1156;O-U Noncommercial services;2011 October - 2012 September;102.8;2.7;103.2;3.0;0.3
1157;O-U Noncommercial services;2012 January - 2012 December;103.9;2.3;104.4;2.7;0.4
1158;O-U Noncommercial services;2012 April - 2013 March;105.4;3.9;106.1;4.4;0.5
1159;O-U Noncommercial services;2012 July - 2013 June;105.6;3.7;106.5;4.3;0.6
1160;O-U Noncommercial services;2012 October - 2013 September;105.7;2.8;106.8;3.5;0.7
1161;O-U Noncommercial services;2013 January - 2013 December;105.5;1.6;106.9;2.4;0.8
1162;O-U Noncommercial services;2013 April - 2014 March;105.4;0.0;107.0;0.9;0.8
1163;O-U Noncommercial services;2013 July - 2014 June;105.8;0.2;107.6;1.0;0.8
1164;O-U Noncommercial services;2013 October - 2014 September;105.6;0.0;107.6;0.7;0.8
1165;O-U Noncommercial services;2014 January - 2014 December;106.3;0.8;108.5;1.5;0.7
1166;O-U Noncommercial services;2014 April - 2015 March ;106.6;1.1;108.9;1.7;0.6
1167;O-U Noncommercial services;2014 July - 2015 June;107.0;1.1;109.5;1.7;0.6
1168;O-U Noncommercial services;2014 October - 2015 September;107.8;2.1;110.4;2.6;0.5
1169;O-U Noncommercial services;2015 January - 2015 December;107.5;1.1;110.2;1.6;0.5
1170;O-U Noncommercial services;2015 April - 2016 March;108.2;1.5;111.0;1.9;0.4
1171;O-U Noncommercial services;2015 July - 2016 June;107.8;0.8;110.7;1.1;0.3
1172;O-U Noncommercial services;2015 October - 2016 September;108.0;0.2;110.9;0.4;0.2
1173;O-U Noncommercial services;2016 January - 2016 December;109.1;1.5;112.0;1.6;0.1
1174;O-U Noncommercial services;2016 April - 2017 March;108.5;0.3;111.3;0.3;0.0
1175;O-U Noncommercial services;2016 July - 2017 June;109.7;1.7;112.5;1.6;-0.1
1176;O-U Noncommercial services;2016 October - 2017 September;110.3;2.1;113.0;1.9;-0.2
1177;O-U Noncommercial services;2017 January - 2017 December;111.6;2.3;114.3;2.1;-0.2
1178;O-Q Government and care;2001;76.0;;75.6;;
1179;O-Q Government and care;2002;79.2;4.2;78.5;3.8;-0.4
1180;O-Q Government and care;2003;81.7;3.1;81.0;3.2;0.2
1181;O-Q Government and care;2004;83.7;2.5;83.3;2.8;0.3
1182;O-Q Government and care;2005;86.5;3.3;86.5;3.8;0.5
1183;O-Q Government and care;2006;89.0;2.9;89.2;3.2;0.3
1184;O-Q Government and care;2007;92.2;3.7;92.5;3.7;0.0
1185;O-Q Government and care;2008;95.6;3.7;95.7;3.5;-0.2
1186;O-Q Government and care;2009;98.3;2.7;98.4;2.8;0.1
1187;O-Q Government and care;2010;100.0;1.8;100.0;1.6;-0.2
1188;O-Q Government and care;2011;101.5;1.5;101.7;1.7;0.2
1189;O-Q Government and care;2012;103.8;2.3;104.3;2.6;0.3
1190;O-Q Government and care;2013;105.5;1.6;106.8;2.4;0.8
1191;O-Q Government and care;2014;106.3;0.7;108.4;1.5;0.7
1192;O-Q Government and care;2015;107.5;1.1;110.1;1.6;0.5
1193;O-Q Government and care;2016;109.1;1.5;112.0;1.7;0.2
1194;O-Q Government and care;2017;111.7;2.4;114.4;2.2;-0.2
1195;O-Q Government and care;2006 January - 2006 December;89.0;2.9;89.2;3.2;0.3
1196;O-Q Government and care;2006 April - 2007 March;89.9;;90.2;;
1197;O-Q Government and care;2006 July - 2007 June;90.7;;90.9;;
1198;O-Q Government and care;2006 October - 2007 September;91.3;;91.6;;
1199;O-Q Government and care;2007 January - 2007 December;92.2;3.7;92.5;3.7;0.0
1200;O-Q Government and care;2007 April - 2008 March;93.1;3.6;93.3;3.5;-0.1
1201;O-Q Government and care;2007 July - 2008 June;93.8;3.5;94.0;3.3;-0.1
1202;O-Q Government and care;2007 October - 2008 September;94.2;3.1;94.3;2.9;-0.2
1203;O-Q Government and care;2008 January - 2008 December;95.6;3.7;95.7;3.5;-0.2
1204;O-Q Government and care;2008 April - 2009 March;96.2;3.3;96.3;3.2;-0.1
1205;O-Q Government and care;2008 July - 2009 June;97.4;3.8;97.5;3.8;-0.1
1206;O-Q Government and care;2008 October - 2009 September;97.8;3.8;97.9;3.8;0.0
1207;O-Q Government and care;2009 January - 2009 December;98.3;2.7;98.4;2.8;0.1
1208;O-Q Government and care;2009 April - 2010 March;98.3;2.2;98.4;2.2;0.0
1209;O-Q Government and care;2009 July - 2010 June;99.3;2.0;99.4;1.9;0.0
1210;O-Q Government and care;2009 October - 2010 September;99.8;2.1;99.9;2.0;-0.1
1211;O-Q Government and care;2010 January - 2010 December;100.0;1.8;100.0;1.6;-0.2
1212;O-Q Government and care;2010 April - 2011 March;99.9;1.6;99.9;1.5;-0.1
1213;O-Q Government and care;2010 July - 2011 June;99.8;0.4;99.8;0.4;0.0
1214;O-Q Government and care;2010 October - 2011 September;100.0;0.3;100.2;0.3;0.0
1215;O-Q Government and care;2011 January - 2011 December;101.5;1.5;101.7;1.7;0.2
1216;O-Q Government and care;2011 April - 2012 March;101.3;1.4;101.6;1.7;0.2
1217;O-Q Government and care;2011 July - 2012 June;101.8;2.0;102.1;2.2;0.2
1218;O-Q Government and care;2011 October - 2012 September;102.7;2.7;103.1;3.0;0.2
1219;O-Q Government and care;2012 January - 2012 December;103.8;2.3;104.3;2.6;0.3
1220;O-Q Government and care;2012 April - 2013 March;105.3;3.9;106.0;4.4;0.4
1221;O-Q Government and care;2012 July - 2013 June;105.5;3.7;106.4;4.2;0.5
1222;O-Q Government and care;2012 October - 2013 September;105.6;2.8;106.7;3.5;0.7
1223;O-Q Government and care;2013 January - 2013 December;105.5;1.6;106.8;2.4;0.8
1224;O-Q Government and care;2013 April - 2014 March;105.4;0.1;106.9;0.9;0.8
1225;O-Q Government and care;2013 July - 2014 June;105.8;0.2;107.5;1.1;0.8
1226;O-Q Government and care;2013 October - 2014 September;105.6;0.0;107.5;0.7;0.8
1227;O-Q Government and care;2014 January - 2014 December;106.3;0.7;108.4;1.5;0.7
1228;O-Q Government and care;2014 April - 2015 March ;106.6;1.1;108.8;1.7;0.6
1229;O-Q Government and care;2014 July - 2015 June;107.0;1.2;109.4;1.7;0.6
1230;O-Q Government and care;2014 October - 2015 September;107.8;2.1;110.4;2.6;0.5
1231;O-Q Government and care;2015 January - 2015 December;107.5;1.1;110.1;1.6;0.5
1232;O-Q Government and care;2015 April - 2016 March;108.2;1.5;111.0;2.0;0.4
1233;O-Q Government and care;2015 July - 2016 June;107.8;0.8;110.7;1.2;0.4
1234;O-Q Government and care;2015 October - 2016 September;108.0;0.2;110.9;0.4;0.3
1235;O-Q Government and care;2016 January - 2016 December;109.1;1.5;112.0;1.7;0.2
1236;O-Q Government and care;2016 April - 2017 March;108.5;0.3;111.4;0.4;0.1
1237;O-Q Government and care;2016 July - 2017 June;109.7;1.8;112.6;1.7;0.0
1238;O-Q Government and care;2016 October - 2017 September;110.3;2.2;113.1;2.0;-0.1
1239;O-Q Government and care;2017 January - 2017 December;111.7;2.4;114.4;2.2;-0.2
1240;O Public administration and services;2001;77.3;;74.5;;
1241;O Public administration and services;2002;80.7;4.4;77.7;4.3;-0.1
1242;O Public administration and services;2003;82.8;2.6;80.3;3.3;0.7
1243;O Public administration and services;2004;85.7;3.5;83.9;4.5;1.0
1244;O Public administration and services;2005;88.1;2.8;86.9;3.6;0.8
1245;O Public administration and services;2006;91.1;3.4;90.1;3.6;0.2
1246;O Public administration and services;2007;94.8;4.0;94.0;4.4;0.3
1247;O Public administration and services;2008;98.2;3.6;97.7;3.9;0.2
1248;O Public administration and services;2009;100.5;2.4;100.4;2.7;0.4
1249;O Public administration and services;2010;100.0;-0.5;100.0;-0.4;0.2
1250;O Public administration and services;2011;101.1;1.1;102.2;2.2;1.0
1251;O Public administration and services;2012;103.6;2.4;105.3;3.1;0.6
1252;O Public administration and services;2013;103.7;0.1;106.1;0.8;0.6
1253;O Public administration and services;2014;103.6;-0.2;106.5;0.3;0.5
1254;O Public administration and services;2015;105.8;2.1;109.3;2.7;0.5
1255;O Public administration and services;2016;106.8;1.0;110.7;1.3;0.3
1256;O Public administration and services;2017;110.1;3.1;114.5;3.4;0.3
1257;O Public administration and services;2006 January - 2006 December;91.1;3.4;90.1;3.6;0.2
1258;O Public administration and services;2006 April - 2007 March;92.2;;91.3;;
1259;O Public administration and services;2006 July - 2007 June;93.1;;92.2;;
1260;O Public administration and services;2006 October - 2007 September;93.8;;93.1;;
1261;O Public administration and services;2007 January - 2007 December;94.8;4.0;94.0;4.4;0.3
1262;O Public administration and services;2007 April - 2008 March;95.6;3.6;94.9;3.9;0.2
1263;O Public administration and services;2007 July - 2008 June;96.1;3.2;95.5;3.5;0.3
1264;O Public administration and services;2007 October - 2008 September;96.3;2.6;95.7;2.8;0.2
1265;O Public administration and services;2008 January - 2008 December;98.2;3.6;97.7;3.9;0.2
1266;O Public administration and services;2008 April - 2009 March;98.7;3.3;98.3;3.6;0.3
1267;O Public administration and services;2008 July - 2009 June;100.1;4.2;99.8;4.5;0.3
1268;O Public administration and services;2008 October - 2009 September;100.3;4.2;100.1;4.6;0.4
1269;O Public administration and services;2009 January - 2009 December;100.5;2.4;100.4;2.7;0.4
1270;O Public administration and services;2009 April - 2010 March;100.1;1.4;99.9;1.6;0.2
1271;O Public administration and services;2009 July - 2010 June;100.5;0.5;100.4;0.6;0.1
1272;O Public administration and services;2009 October - 2010 September;99.6;-0.7;99.5;-0.6;0.1
1273;O Public administration and services;2010 January - 2010 December;100.0;-0.5;100.0;-0.4;0.2
1274;O Public administration and services;2010 April - 2011 March;100.0;-0.1;100.2;0.3;0.3
1275;O Public administration and services;2010 July - 2011 June;99.6;-0.9;100.0;-0.3;0.6
1276;O Public administration and services;2010 October - 2011 September;99.6;0.1;100.4;0.9;0.8
1277;O Public administration and services;2011 January - 2011 December;101.1;1.1;102.2;2.2;1.0
1278;O Public administration and services;2011 April - 2012 March;101.0;1.0;102.2;2.0;1.0
1279;O Public administration and services;2011 July - 2012 June;101.5;1.9;103.0;2.9;1.0
1280;O Public administration and services;2011 October - 2012 September;102.6;3.0;104.2;3.9;0.8
1281;O Public administration and services;2012 January - 2012 December;103.6;2.4;105.3;3.1;0.6
1282;O Public administration and services;2012 April - 2013 March;104.8;3.7;106.7;4.4;0.6
1283;O Public administration and services;2012 July - 2013 June;104.6;3.1;106.7;3.6;0.5
1284;O Public administration and services;2012 October - 2013 September;104.4;1.7;106.6;2.3;0.6
1285;O Public administration and services;2013 January - 2013 December;103.7;0.1;106.1;0.8;0.6
1286;O Public administration and services;2013 April - 2014 March;103.4;-1.3;105.9;-0.7;0.6
1287;O Public administration and services;2013 July - 2014 June;103.4;-1.2;106.0;-0.7;0.6
1288;O Public administration and services;2013 October - 2014 September;103.0;-1.3;105.8;-0.8;0.5
1289;O Public administration and services;2014 January - 2014 December;103.6;-0.2;106.5;0.3;0.5
1290;O Public administration and services;2014 April - 2015 March ;104.1;0.6;107.1;1.1;0.5
1291;O Public administration and services;2014 July - 2015 June;104.8;1.4;108.0;1.9;0.5
1292;O Public administration and services;2014 October - 2015 September;106.0;2.9;109.4;3.4;0.5
1293;O Public administration and services;2015 January - 2015 December;105.8;2.1;109.3;2.7;0.5
1294;O Public administration and services;2015 April - 2016 March;106.5;2.4;110.2;2.8;0.5
1295;O Public administration and services;2015 July - 2016 June;106.2;1.4;109.9;1.8;0.4
1296;O Public administration and services;2015 October - 2016 September;106.0;0.0;109.8;0.4;0.4
1297;O Public administration and services;2016 January - 2016 December;106.8;1.0;110.7;1.3;0.3
1298;O Public administration and services;2016 April - 2017 March;106.3;-0.2;110.4;0.2;0.4
1299;O Public administration and services;2016 July - 2017 June;107.1;0.9;111.3;1.2;0.3
1300;O Public administration and services;2016 October - 2017 September;108.1;2.0;112.3;2.3;0.3
1301;O Public administration and services;2017 January - 2017 December;110.1;3.1;114.5;3.4;0.3
1302;P Education;2001;73.3;;74.3;;
1303;P Education;2002;75.9;3.4;76.5;3.0;-0.4
1304;P Education;2003;76.8;1.3;77.4;1.1;-0.2
1305;P Education;2004;79.7;3.7;80.2;3.6;-0.1
1306;P Education;2005;83.2;4.4;84.0;4.8;0.4
1307;P Education;2006;86.5;4.0;87.4;4.0;0.0
1308;P Education;2007;89.6;3.6;90.1;3.2;-0.4
1309;P Education;2008;92.3;3.1;92.6;2.7;-0.4
1310;P Education;2009;96.4;4.4;96.7;4.5;0.1
1311;P Education;2010;100.0;3.7;100.0;3.4;-0.3
1312;P Education;2011;102.1;2.1;102.2;2.2;0.1
1313;P Education;2012;104.4;2.3;104.8;2.5;0.3
1314;P Education;2013;106.9;2.4;107.9;2.9;0.5
1315;P Education;2014;107.6;0.6;108.9;1.0;0.3
1316;P Education;2015;109.5;1.8;110.8;1.7;-0.1
1317;P Education;2016;111.5;1.8;112.4;1.5;-0.3
1318;P Education;2017;114.4;2.6;114.8;2.1;-0.4
1319;P Education;2006 January - 2006 December;86.5;4.0;87.4;4.0;0.0
1320;P Education;2006 April - 2007 March;87.2;;88.0;;
1321;P Education;2006 July - 2007 June;87.9;;88.6;;
1322;P Education;2006 October - 2007 September;88.5;;89.1;;
1323;P Education;2007 January - 2007 December;89.6;3.6;90.1;3.2;-0.4
1324;P Education;2007 April - 2008 March;90.5;3.8;90.9;3.3;-0.4
1325;P Education;2007 July - 2008 June;91.1;3.6;91.4;3.2;-0.4
1326;P Education;2007 October - 2008 September;91.2;3.1;91.5;2.6;-0.4
1327;P Education;2008 January - 2008 December;92.3;3.1;92.6;2.7;-0.4
1328;P Education;2008 April - 2009 March;93.4;3.3;93.6;3.0;-0.2
1329;P Education;2008 July - 2009 June;94.7;4.0;95.0;3.8;-0.2
1330;P Education;2008 October - 2009 September;95.5;4.7;95.7;4.7;0.0
1331;P Education;2009 January - 2009 December;96.4;4.4;96.7;4.5;0.1
1332;P Education;2009 April - 2010 March;96.5;3.4;96.8;3.3;0.0
1333;P Education;2009 July - 2010 June;98.0;3.5;98.2;3.4;-0.1
1334;P Education;2009 October - 2010 September;99.6;4.4;99.7;4.1;-0.2
1335;P Education;2010 January - 2010 December;100.0;3.7;100.0;3.4;-0.3
1336;P Education;2010 April - 2011 March;100.1;3.7;100.2;3.5;-0.2
1337;P Education;2010 July - 2011 June;100.2;2.3;100.3;2.2;-0.1
1338;P Education;2010 October - 2011 September;100.8;1.1;100.9;1.2;0.0
1339;P Education;2011 January - 2011 December;102.1;2.1;102.2;2.2;0.1
1340;P Education;2011 April - 2012 March;102.1;1.9;102.3;2.1;0.2
1341;P Education;2011 July - 2012 June;102.5;2.3;102.7;2.4;0.1
1342;P Education;2011 October - 2012 September;103.5;2.7;103.8;2.9;0.2
1343;P Education;2012 January - 2012 December;104.4;2.3;104.8;2.5;0.3
1344;P Education;2012 April - 2013 March;106.2;4.1;106.8;4.4;0.4
1345;P Education;2012 July - 2013 June;106.5;4.0;107.3;4.4;0.5
1346;P Education;2012 October - 2013 September;106.9;3.2;107.7;3.7;0.5
1347;P Education;2013 January - 2013 December;106.9;2.4;107.9;2.9;0.5
1348;P Education;2013 April - 2014 March;106.8;0.6;107.9;1.1;0.5
1349;P Education;2013 July - 2014 June;107.0;0.4;108.3;0.9;0.5
1350;P Education;2013 October - 2014 September;106.9;0.0;108.2;0.5;0.5
