ID;TripCharacteristics;Population;ModesOfTravel;Margins;RegionCharacteristics;Periods;AverageDistanceTravelledPerTrip_1;AverageTravelTimePerTrip_2
7378;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Lower bound 95% confidence interval;Moderately urbanised;2022;0.6;4.0
7379;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Lower bound 95% confidence interval;Moderately urbanised;2023;;
7380;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Lower bound 95% confidence interval;Hardly urbanised;2018;0.59;4.11
7381;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Lower bound 95% confidence interval;Hardly urbanised;2019;0.52;3.72
7382;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Lower bound 95% confidence interval;Hardly urbanised;2020;0.55;3.9
7383;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Lower bound 95% confidence interval;Hardly urbanised;2021;0.58;4.1
7384;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Lower bound 95% confidence interval;Hardly urbanised;2022;0.57;4.05
7385;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Lower bound 95% confidence interval;Hardly urbanised;2023;0.6;4.23
7386;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Lower bound 95% confidence interval;Not urbanised;2018;;
7387;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Lower bound 95% confidence interval;Not urbanised;2019;;
7388;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Lower bound 95% confidence interval;Not urbanised;2020;;
7389;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Lower bound 95% confidence interval;Not urbanised;2021;;
7390;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Lower bound 95% confidence interval;Not urbanised;2022;;
7391;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Lower bound 95% confidence interval;Not urbanised;2023;;
7392;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;The Netherlands;2018;0.65;4.97
7393;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;The Netherlands;2019;0.64;5.05
7394;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;The Netherlands;2020;0.65;5.83
7395;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;The Netherlands;2021;0.65;4.93
7396;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;The Netherlands;2022;0.65;4.87
7397;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;The Netherlands;2023;0.67;6.93
7398;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Noord-Nederland (LD);2018;;
7399;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Noord-Nederland (LD);2019;;
7400;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Noord-Nederland (LD);2020;;
7401;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Noord-Nederland (LD);2021;;
7402;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Noord-Nederland (LD);2022;;
7403;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Noord-Nederland (LD);2023;;
7404;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Oost-Nederland (LD);2018;0.66;5.22
7405;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Oost-Nederland (LD);2019;0.62;4.94
7406;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Oost-Nederland (LD);2020;0.67;4.7
7407;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Oost-Nederland (LD);2021;0.72;5.0
7408;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Oost-Nederland (LD);2022;0.68;5.25
7409;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Oost-Nederland (LD);2023;0.68;4.67
7410;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;West-Nederland (LD);2018;0.68;5.56
7411;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;West-Nederland (LD);2019;0.67;5.7
7412;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;West-Nederland (LD);2020;0.67;7.95
7413;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;West-Nederland (LD);2021;0.66;5.22
7414;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;West-Nederland (LD);2022;0.65;5.03
7415;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;West-Nederland (LD);2023;0.68;
7416;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Zuid-Nederland (LD);2018;0.67;4.56
7417;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Zuid-Nederland (LD);2019;0.65;4.95
7418;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Zuid-Nederland (LD);2020;0.68;5.01
7419;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Zuid-Nederland (LD);2021;0.66;5.03
7420;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Zuid-Nederland (LD);2022;0.68;5.37
7421;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Zuid-Nederland (LD);2023;0.69;4.8
7422;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Groningen (PV);2018;;
7423;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Groningen (PV);2019;;
7424;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Groningen (PV);2020;;
7425;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Groningen (PV);2021;;
7426;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Groningen (PV);2022;;
7427;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Groningen (PV);2023;;
7428;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Fryslân (PV);2018;;
7429;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Fryslân (PV);2019;;
7430;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Fryslân (PV);2020;;
7431;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Fryslân (PV);2021;;
7432;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Fryslân (PV);2022;;
7433;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Fryslân (PV);2023;;
7434;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Drenthe (PV);2018;;
7435;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Drenthe (PV);2019;;
7436;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Drenthe (PV);2020;;
7437;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Drenthe (PV);2021;;
7438;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Drenthe (PV);2022;;
7439;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Drenthe (PV);2023;;
7440;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Overijssel (PV);2018;;
7441;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Overijssel (PV);2019;;
7442;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Overijssel (PV);2020;;
7443;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Overijssel (PV);2021;;
7444;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Overijssel (PV);2022;;
7445;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Overijssel (PV);2023;;
7446;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Flevoland (PV);2018;;
7447;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Flevoland (PV);2019;;
7448;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Flevoland (PV);2020;;
7449;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Flevoland (PV);2021;;
7450;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Flevoland (PV);2022;;
7451;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Flevoland (PV);2023;;
7452;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Gelderland (PV);2018;;
7453;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Gelderland (PV);2019;;
7454;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Gelderland (PV);2020;;
7455;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Gelderland (PV);2021;;
7456;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Gelderland (PV);2022;;
7457;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Gelderland (PV);2023;;
7458;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Utrecht (PV);2018;;
7459;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Utrecht (PV);2019;;
7460;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Utrecht (PV);2020;;
7461;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Utrecht (PV);2021;;
7462;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Utrecht (PV);2022;;
7463;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Utrecht (PV);2023;;
7464;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Noord-Holland (PV);2018;0.67;5.74
7465;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Noord-Holland (PV);2019;;
7466;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Noord-Holland (PV);2020;;
7467;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Noord-Holland (PV);2021;;
7468;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Noord-Holland (PV);2022;;
7469;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Noord-Holland (PV);2023;0.72;5.68
7470;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Zuid-Holland (PV);2018;0.74;6.16
7471;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Zuid-Holland (PV);2019;0.66;6.02
7472;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Zuid-Holland (PV);2020;0.66;5.71
7473;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Zuid-Holland (PV);2021;0.71;5.52
7474;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Zuid-Holland (PV);2022;;
7475;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Zuid-Holland (PV);2023;0.68;
7476;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Zeeland (PV);2018;;
7477;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Zeeland (PV);2019;;
7478;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Zeeland (PV);2020;;
7479;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Zeeland (PV);2021;;
7480;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Zeeland (PV);2022;;
7481;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Zeeland (PV);2023;;
7482;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Noord-Brabant (PV);2018;0.67;4.79
7483;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Noord-Brabant (PV);2019;;
7484;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Noord-Brabant (PV);2020;;
7485;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Noord-Brabant (PV);2021;;
7486;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Noord-Brabant (PV);2022;0.7;5.4
7487;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Noord-Brabant (PV);2023;;
7488;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Limburg (PV);2018;;
7489;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Limburg (PV);2019;;
7490;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Limburg (PV);2020;;
7491;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Limburg (PV);2021;;
7492;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Limburg (PV);2022;;
7493;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Limburg (PV);2023;;
7494;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Extremely urbanised;2018;;
7495;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Extremely urbanised;2019;0.68;6.99
7496;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Extremely urbanised;2020;0.73;5.33
7497;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Extremely urbanised;2021;0.68;5.5
7498;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Extremely urbanised;2022;;
7499;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Extremely urbanised;2023;0.72;5.91
7500;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Strongly urbanised;2018;0.7;5.41
7501;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Strongly urbanised;2019;0.68;5.31
7502;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Strongly urbanised;2020;0.66;4.94
7503;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Strongly urbanised;2021;0.67;5.1
7504;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Strongly urbanised;2022;0.65;4.95
7505;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Strongly urbanised;2023;0.7;5.05
7506;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Moderately urbanised;2018;0.69;4.96
7507;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Moderately urbanised;2019;0.68;5.57
7508;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Moderately urbanised;2020;0.68;
7509;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Moderately urbanised;2021;;
7510;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Moderately urbanised;2022;0.69;4.92
7511;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Moderately urbanised;2023;;
7512;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Hardly urbanised;2018;0.65;4.89
7513;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Hardly urbanised;2019;0.63;4.58
7514;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Hardly urbanised;2020;0.66;4.92
7515;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Hardly urbanised;2021;0.67;5.0
7516;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Hardly urbanised;2022;0.67;5.41
7517;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Hardly urbanised;2023;0.67;5.03
7518;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Not urbanised;2018;;
7519;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Not urbanised;2019;;
7520;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Not urbanised;2020;;
7521;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Not urbanised;2021;;
7522;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Not urbanised;2022;;
7523;Distance: 0 to <1 km;Population 6 years or older;Passenger car (passenger);Upper bound 95% confidence interval;Not urbanised;2023;;
7524;Distance: 0 to <1 km;Population 6 years or older;Train;Value;The Netherlands;2018;;
7525;Distance: 0 to <1 km;Population 6 years or older;Train;Value;The Netherlands;2019;;
7526;Distance: 0 to <1 km;Population 6 years or older;Train;Value;The Netherlands;2020;;
7527;Distance: 0 to <1 km;Population 6 years or older;Train;Value;The Netherlands;2021;;
7528;Distance: 0 to <1 km;Population 6 years or older;Train;Value;The Netherlands;2022;;
7529;Distance: 0 to <1 km;Population 6 years or older;Train;Value;The Netherlands;2023;;
7530;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Noord-Nederland (LD);2018;;
7531;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Noord-Nederland (LD);2019;;
7532;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Noord-Nederland (LD);2020;;
7533;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Noord-Nederland (LD);2021;;
7534;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Noord-Nederland (LD);2022;;
7535;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Noord-Nederland (LD);2023;;
7536;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Oost-Nederland (LD);2018;;
7537;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Oost-Nederland (LD);2019;;
7538;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Oost-Nederland (LD);2020;;
7539;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Oost-Nederland (LD);2021;;
7540;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Oost-Nederland (LD);2022;;
7541;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Oost-Nederland (LD);2023;;
7542;Distance: 0 to <1 km;Population 6 years or older;Train;Value;West-Nederland (LD);2018;;
7543;Distance: 0 to <1 km;Population 6 years or older;Train;Value;West-Nederland (LD);2019;;
7544;Distance: 0 to <1 km;Population 6 years or older;Train;Value;West-Nederland (LD);2020;;
7545;Distance: 0 to <1 km;Population 6 years or older;Train;Value;West-Nederland (LD);2021;;
7546;Distance: 0 to <1 km;Population 6 years or older;Train;Value;West-Nederland (LD);2022;;
7547;Distance: 0 to <1 km;Population 6 years or older;Train;Value;West-Nederland (LD);2023;;
7548;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Zuid-Nederland (LD);2018;;
7549;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Zuid-Nederland (LD);2019;;
7550;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Zuid-Nederland (LD);2020;;
7551;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Zuid-Nederland (LD);2021;;
7552;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Zuid-Nederland (LD);2022;;
7553;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Zuid-Nederland (LD);2023;;
7554;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Groningen (PV);2018;;
7555;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Groningen (PV);2019;;
7556;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Groningen (PV);2020;;
7557;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Groningen (PV);2021;;
7558;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Groningen (PV);2022;;
7559;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Groningen (PV);2023;;
7560;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Fryslân (PV);2018;;
7561;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Fryslân (PV);2019;;
7562;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Fryslân (PV);2020;;
7563;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Fryslân (PV);2021;;
7564;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Fryslân (PV);2022;;
7565;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Fryslân (PV);2023;;
7566;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Drenthe (PV);2018;;
7567;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Drenthe (PV);2019;;
7568;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Drenthe (PV);2020;;
7569;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Drenthe (PV);2021;;
7570;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Drenthe (PV);2022;;
7571;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Drenthe (PV);2023;;
7572;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Overijssel (PV);2018;;
7573;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Overijssel (PV);2019;;
7574;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Overijssel (PV);2020;;
7575;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Overijssel (PV);2021;;
7576;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Overijssel (PV);2022;;
7577;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Overijssel (PV);2023;;
7578;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Flevoland (PV);2018;;
7579;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Flevoland (PV);2019;;
7580;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Flevoland (PV);2020;;
7581;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Flevoland (PV);2021;;
7582;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Flevoland (PV);2022;;
7583;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Flevoland (PV);2023;;
7584;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Gelderland (PV);2018;;
7585;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Gelderland (PV);2019;;
7586;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Gelderland (PV);2020;;
7587;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Gelderland (PV);2021;;
7588;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Gelderland (PV);2022;;
7589;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Gelderland (PV);2023;;
7590;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Utrecht (PV);2018;;
7591;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Utrecht (PV);2019;;
7592;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Utrecht (PV);2020;;
7593;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Utrecht (PV);2021;;
7594;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Utrecht (PV);2022;;
7595;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Utrecht (PV);2023;;
7596;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Noord-Holland (PV);2018;;
7597;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Noord-Holland (PV);2019;;
7598;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Noord-Holland (PV);2020;;
7599;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Noord-Holland (PV);2021;;
7600;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Noord-Holland (PV);2022;;
7601;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Noord-Holland (PV);2023;;
7602;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Zuid-Holland (PV);2018;;
7603;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Zuid-Holland (PV);2019;;
7604;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Zuid-Holland (PV);2020;;
7605;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Zuid-Holland (PV);2021;;
7606;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Zuid-Holland (PV);2022;;
7607;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Zuid-Holland (PV);2023;;
7608;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Zeeland (PV);2018;;
7609;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Zeeland (PV);2019;;
7610;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Zeeland (PV);2020;;
7611;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Zeeland (PV);2021;;
7612;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Zeeland (PV);2022;;
7613;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Zeeland (PV);2023;;
7614;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Noord-Brabant (PV);2018;;
7615;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Noord-Brabant (PV);2019;;
7616;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Noord-Brabant (PV);2020;;
