ID;Sex;Age;BackgroundAndGeneration;MedicineGroupATC;Periods;PersonsWithDispensedMedicines_1;PersonsWithMedicinesRelative_2
7141;Total male and female;10000;Dutch background;C03E Diuretics/potassium-sparing agents;2007;114800;0.86
7142;Total male and female;10000;Dutch background;C03E Diuretics/potassium-sparing agents;2008;105865;0.79
7143;Total male and female;10000;Dutch background;C03E Diuretics/potassium-sparing agents;2009;96710;0.72
7144;Total male and female;10000;Dutch background;C03E Diuretics/potassium-sparing agents;2010;87975;0.66
7145;Total male and female;10000;Dutch background;C03E Diuretics/potassium-sparing agents;2011;79910;0.6
7146;Total male and female;10000;Dutch background;C03E Diuretics/potassium-sparing agents;2012;72880;0.54
7147;Total male and female;10000;Dutch background;C03E Diuretics/potassium-sparing agents;2013;65785;0.49
7148;Total male and female;10000;Dutch background;C03E Diuretics/potassium-sparing agents;2014;58785;0.44
7149;Total male and female;10000;Dutch background;C03E Diuretics/potassium-sparing agents;2015;51570;0.39
7150;Total male and female;10000;Dutch background;C03E Diuretics/potassium-sparing agents;2016;46625;0.35
7151;Total male and female;10000;Dutch background;C03E Diuretics/potassium-sparing agents;2017;40990;0.31
7152;Total male and female;10000;Dutch background;C03E Diuretics/potassium-sparing agents;2018;35555;0.27
7153;Total male and female;10000;Dutch background;C03E Diuretics/potassium-sparing agents;2019;31350;0.23
7154;Total male and female;10000;Dutch background;C03E Diuretics/potassium-sparing agents;2020;27855;0.21
7155;Total male and female;10000;Dutch background;C03X Other diuretics;2006;0;0.0
7156;Total male and female;10000;Dutch background;C03X Other diuretics;2007;0;0.0
7157;Total male and female;10000;Dutch background;C03X Other diuretics;2008;0;0.0
7158;Total male and female;10000;Dutch background;C03X Other diuretics;2009;0;0.0
7159;Total male and female;10000;Dutch background;C03X Other diuretics;2010;0;0.0
7160;Total male and female;10000;Dutch background;C03X Other diuretics;2011;0;0.0
7161;Total male and female;10000;Dutch background;C03X Other diuretics;2012;0;0.0
7162;Total male and female;10000;Dutch background;C03X Other diuretics;2013;0;0.0
7163;Total male and female;10000;Dutch background;C03X Other diuretics;2014;0;0.0
7164;Total male and female;10000;Dutch background;C03X Other diuretics;2015;0;0.0
7165;Total male and female;10000;Dutch background;C03X Other diuretics;2016;0;0.0
7166;Total male and female;10000;Dutch background;C03X Other diuretics;2017;0;0.0
7167;Total male and female;10000;Dutch background;C03X Other diuretics;2018;0;0.0
7168;Total male and female;10000;Dutch background;C03X Other diuretics;2019;145;0.0
7169;Total male and female;10000;Dutch background;C03X Other diuretics;2020;145;0.0
7170;Total male and female;10000;Dutch background;C04 Peripheral vasodilators;2006;4735;0.04
7171;Total male and female;10000;Dutch background;C04 Peripheral vasodilators;2007;4055;0.03
7172;Total male and female;10000;Dutch background;C04 Peripheral vasodilators;2008;3570;0.03
7173;Total male and female;10000;Dutch background;C04 Peripheral vasodilators;2009;3090;0.02
7174;Total male and female;10000;Dutch background;C04 Peripheral vasodilators;2010;2840;0.02
7175;Total male and female;10000;Dutch background;C04 Peripheral vasodilators;2011;2515;0.02
7176;Total male and female;10000;Dutch background;C04 Peripheral vasodilators;2012;1785;0.01
7177;Total male and female;10000;Dutch background;C04 Peripheral vasodilators;2013;1535;0.01
7178;Total male and female;10000;Dutch background;C04 Peripheral vasodilators;2014;1315;0.01
7179;Total male and female;10000;Dutch background;C04 Peripheral vasodilators;2015;1125;0.01
7180;Total male and female;10000;Dutch background;C04 Peripheral vasodilators;2016;1330;0.01
7181;Total male and female;10000;Dutch background;C04 Peripheral vasodilators;2017;1370;0.01
7182;Total male and female;10000;Dutch background;C04 Peripheral vasodilators;2018;1160;0.01
7183;Total male and female;10000;Dutch background;C04 Peripheral vasodilators;2019;1120;0.01
7184;Total male and female;10000;Dutch background;C04 Peripheral vasodilators;2020;990;0.01
7185;Total male and female;10000;Dutch background;C04A Peripheral vasodilators;2006;4735;0.04
7186;Total male and female;10000;Dutch background;C04A Peripheral vasodilators;2007;4055;0.03
7187;Total male and female;10000;Dutch background;C04A Peripheral vasodilators;2008;3570;0.03
7188;Total male and female;10000;Dutch background;C04A Peripheral vasodilators;2009;3090;0.02
7189;Total male and female;10000;Dutch background;C04A Peripheral vasodilators;2010;2840;0.02
7190;Total male and female;10000;Dutch background;C04A Peripheral vasodilators;2011;2515;0.02
7191;Total male and female;10000;Dutch background;C04A Peripheral vasodilators;2012;1785;0.01
7192;Total male and female;10000;Dutch background;C04A Peripheral vasodilators;2013;1535;0.01
7193;Total male and female;10000;Dutch background;C04A Peripheral vasodilators;2014;1315;0.01
7194;Total male and female;10000;Dutch background;C04A Peripheral vasodilators;2015;1125;0.01
7195;Total male and female;10000;Dutch background;C04A Peripheral vasodilators;2016;1330;0.01
7196;Total male and female;10000;Dutch background;C04A Peripheral vasodilators;2017;1370;0.01
7197;Total male and female;10000;Dutch background;C04A Peripheral vasodilators;2018;1160;0.01
7198;Total male and female;10000;Dutch background;C04A Peripheral vasodilators;2019;1120;0.01
7199;Total male and female;10000;Dutch background;C04A Peripheral vasodilators;2020;990;0.01
7200;Total male and female;10000;Dutch background;C05 Vasoprotectives;2006;103470;0.77
7201;Total male and female;10000;Dutch background;C05 Vasoprotectives;2007;111685;0.84
7202;Total male and female;10000;Dutch background;C05 Vasoprotectives;2008;130825;0.98
7203;Total male and female;10000;Dutch background;C05 Vasoprotectives;2009;134920;1.01
7204;Total male and female;10000;Dutch background;C05 Vasoprotectives;2010;137225;1.03
7205;Total male and female;10000;Dutch background;C05 Vasoprotectives;2011;142010;1.06
7206;Total male and female;10000;Dutch background;C05 Vasoprotectives;2012;138675;1.04
7207;Total male and female;10000;Dutch background;C05 Vasoprotectives;2013;131205;0.98
7208;Total male and female;10000;Dutch background;C05 Vasoprotectives;2014;56120;0.42
7209;Total male and female;10000;Dutch background;C05 Vasoprotectives;2015;39640;0.3
7210;Total male and female;10000;Dutch background;C05 Vasoprotectives;2016;37060;0.28
7211;Total male and female;10000;Dutch background;C05 Vasoprotectives;2017;36115;0.27
7212;Total male and female;10000;Dutch background;C05 Vasoprotectives;2018;34695;0.26
7213;Total male and female;10000;Dutch background;C05 Vasoprotectives;2019;36030;0.27
7214;Total male and female;10000;Dutch background;C05 Vasoprotectives;2020;32565;0.24
7215;Total male and female;10000;Dutch background;C05A Topic agents hemorrh./anal fissures;2006;102995;0.77
7216;Total male and female;10000;Dutch background;C05A Topic agents hemorrh./anal fissures;2007;111405;0.83
7217;Total male and female;10000;Dutch background;C05A Topic agents hemorrh./anal fissures;2008;130775;0.98
7218;Total male and female;10000;Dutch background;C05A Topic agents hemorrh./anal fissures;2009;134885;1.01
7219;Total male and female;10000;Dutch background;C05A Topic agents hemorrh./anal fissures;2010;137195;1.02
7220;Total male and female;10000;Dutch background;C05A Topic agents hemorrh./anal fissures;2011;141960;1.06
7221;Total male and female;10000;Dutch background;C05A Topic agents hemorrh./anal fissures;2012;138670;1.04
7222;Total male and female;10000;Dutch background;C05A Topic agents hemorrh./anal fissures;2013;131185;0.98
7223;Total male and female;10000;Dutch background;C05A Topic agents hemorrh./anal fissures;2014;56110;0.42
7224;Total male and female;10000;Dutch background;C05A Topic agents hemorrh./anal fissures;2015;39640;0.3
7225;Total male and female;10000;Dutch background;C05A Topic agents hemorrh./anal fissures;2016;37060;0.28
7226;Total male and female;10000;Dutch background;C05A Topic agents hemorrh./anal fissures;2017;36115;0.27
7227;Total male and female;10000;Dutch background;C05A Topic agents hemorrh./anal fissures;2018;34695;0.26
7228;Total male and female;10000;Dutch background;C05A Topic agents hemorrh./anal fissures;2019;36030;0.27
7229;Total male and female;10000;Dutch background;C05A Topic agents hemorrh./anal fissures;2020;32565;0.24
7230;Total male and female;10000;Dutch background;C05B Antivaricose therapy;2006;355;0.0
7231;Total male and female;10000;Dutch background;C05B Antivaricose therapy;2007;200;0.0
7232;Total male and female;10000;Dutch background;C05B Antivaricose therapy;2008;35;0.0
7233;Total male and female;10000;Dutch background;C05B Antivaricose therapy;2009;25;0.0
7234;Total male and female;10000;Dutch background;C05B Antivaricose therapy;2010;30;0.0
7235;Total male and female;10000;Dutch background;C05B Antivaricose therapy;2011;40;0.0
7236;Total male and female;10000;Dutch background;C05B Antivaricose therapy;2012;5;0.0
7237;Total male and female;10000;Dutch background;C05B Antivaricose therapy;2013;15;0.0
7238;Total male and female;10000;Dutch background;C05B Antivaricose therapy;2014;5;0.0
7239;Total male and female;10000;Dutch background;C05B Antivaricose therapy;2015;0;0.0
7240;Total male and female;10000;Dutch background;C05B Antivaricose therapy;2016;0;0.0
7241;Total male and female;10000;Dutch background;C05B Antivaricose therapy;2017;0;0.0
7242;Total male and female;10000;Dutch background;C05B Antivaricose therapy;2018;0;0.0
7243;Total male and female;10000;Dutch background;C05B Antivaricose therapy;2019;0;0.0
7244;Total male and female;10000;Dutch background;C05B Antivaricose therapy;2020;0;0.0
7245;Total male and female;10000;Dutch background;C05C Capillary stabilizing agents;2006;155;0.0
7246;Total male and female;10000;Dutch background;C05C Capillary stabilizing agents;2007;100;0.0
7247;Total male and female;10000;Dutch background;C05C Capillary stabilizing agents;2008;15;0.0
7248;Total male and female;10000;Dutch background;C05C Capillary stabilizing agents;2009;15;0.0
7249;Total male and female;10000;Dutch background;C05C Capillary stabilizing agents;2010;5;0.0
7250;Total male and female;10000;Dutch background;C05C Capillary stabilizing agents;2011;10;0.0
7251;Total male and female;10000;Dutch background;C05C Capillary stabilizing agents;2012;5;0.0
7252;Total male and female;10000;Dutch background;C05C Capillary stabilizing agents;2013;10;0.0
7253;Total male and female;10000;Dutch background;C05C Capillary stabilizing agents;2014;5;0.0
7254;Total male and female;10000;Dutch background;C05C Capillary stabilizing agents;2015;0;0.0
7255;Total male and female;10000;Dutch background;C05C Capillary stabilizing agents;2016;0;0.0
7256;Total male and female;10000;Dutch background;C05C Capillary stabilizing agents;2017;0;0.0
7257;Total male and female;10000;Dutch background;C05C Capillary stabilizing agents;2018;0;0.0
7258;Total male and female;10000;Dutch background;C05C Capillary stabilizing agents;2019;0;0.0
7259;Total male and female;10000;Dutch background;C05C Capillary stabilizing agents;2020;0;0.0
7260;Total male and female;10000;Dutch background;C07 Beta blocking agents;2006;1239255;9.28
7261;Total male and female;10000;Dutch background;C07 Beta blocking agents;2007;1287535;9.64
7262;Total male and female;10000;Dutch background;C07 Beta blocking agents;2008;1330185;9.96
7263;Total male and female;10000;Dutch background;C07 Beta blocking agents;2009;1369705;10.25
7264;Total male and female;10000;Dutch background;C07 Beta blocking agents;2010;1403040;10.48
7265;Total male and female;10000;Dutch background;C07 Beta blocking agents;2011;1429125;10.67
7266;Total male and female;10000;Dutch background;C07 Beta blocking agents;2012;1431075;10.68
7267;Total male and female;10000;Dutch background;C07 Beta blocking agents;2013;1413395;10.55
7268;Total male and female;10000;Dutch background;C07 Beta blocking agents;2014;1400510;10.46
7269;Total male and female;10000;Dutch background;C07 Beta blocking agents;2015;1386060;10.35
7270;Total male and female;10000;Dutch background;C07 Beta blocking agents;2016;1374135;10.27
7271;Total male and female;10000;Dutch background;C07 Beta blocking agents;2017;1361325;10.18
7272;Total male and female;10000;Dutch background;C07 Beta blocking agents;2018;1342525;10.05
7273;Total male and female;10000;Dutch background;C07 Beta blocking agents;2019;1328050;9.95
7274;Total male and female;10000;Dutch background;C07 Beta blocking agents;2020;1297030;9.73
7275;Total male and female;10000;Dutch background;C07A Beta blocking agents;2006;1185315;8.87
7276;Total male and female;10000;Dutch background;C07A Beta blocking agents;2007;1234580;9.24
7277;Total male and female;10000;Dutch background;C07A Beta blocking agents;2008;1277625;9.56
7278;Total male and female;10000;Dutch background;C07A Beta blocking agents;2009;1317600;9.86
7279;Total male and female;10000;Dutch background;C07A Beta blocking agents;2010;1352315;10.1
7280;Total male and female;10000;Dutch background;C07A Beta blocking agents;2011;1380205;10.3
7281;Total male and female;10000;Dutch background;C07A Beta blocking agents;2012;1384575;10.34
7282;Total male and female;10000;Dutch background;C07A Beta blocking agents;2013;1370115;10.23
7283;Total male and female;10000;Dutch background;C07A Beta blocking agents;2014;1360515;10.16
7284;Total male and female;10000;Dutch background;C07A Beta blocking agents;2015;1349280;10.08
7285;Total male and female;10000;Dutch background;C07A Beta blocking agents;2016;1340405;10.02
7286;Total male and female;10000;Dutch background;C07A Beta blocking agents;2017;1330345;9.95
7287;Total male and female;10000;Dutch background;C07A Beta blocking agents;2018;1314335;9.84
7288;Total male and female;10000;Dutch background;C07A Beta blocking agents;2019;1303285;9.76
7289;Total male and female;10000;Dutch background;C07A Beta blocking agents;2020;1276370;9.57
7290;Total male and female;10000;Dutch background;C07B Beta blocking agents and thiazides;2006;33655;0.25
7291;Total male and female;10000;Dutch background;C07B Beta blocking agents and thiazides;2007;36150;0.27
7292;Total male and female;10000;Dutch background;C07B Beta blocking agents and thiazides;2008;35970;0.27
7293;Total male and female;10000;Dutch background;C07B Beta blocking agents and thiazides;2009;37035;0.28
7294;Total male and female;10000;Dutch background;C07B Beta blocking agents and thiazides;2010;37390;0.28
7295;Total male and female;10000;Dutch background;C07B Beta blocking agents and thiazides;2011;37195;0.28
7296;Total male and female;10000;Dutch background;C07B Beta blocking agents and thiazides;2012;35795;0.27
7297;Total male and female;10000;Dutch background;C07B Beta blocking agents and thiazides;2013;33515;0.25
7298;Total male and female;10000;Dutch background;C07B Beta blocking agents and thiazides;2014;31445;0.23
7299;Total male and female;10000;Dutch background;C07B Beta blocking agents and thiazides;2015;29500;0.22
7300;Total male and female;10000;Dutch background;C07B Beta blocking agents and thiazides;2016;27680;0.21
7301;Total male and female;10000;Dutch background;C07B Beta blocking agents and thiazides;2017;25820;0.19
7302;Total male and female;10000;Dutch background;C07B Beta blocking agents and thiazides;2018;23860;0.18
7303;Total male and female;10000;Dutch background;C07B Beta blocking agents and thiazides;2019;21735;0.16
7304;Total male and female;10000;Dutch background;C07B Beta blocking agents and thiazides;2020;19395;0.15
7305;Total male and female;10000;Dutch background;C07C Beta block.agents / other diuretics;2006;33655;0.25
7306;Total male and female;10000;Dutch background;C07C Beta block.agents / other diuretics;2007;30550;0.23
7307;Total male and female;10000;Dutch background;C07C Beta block.agents / other diuretics;2008;27685;0.21
7308;Total male and female;10000;Dutch background;C07C Beta block.agents / other diuretics;2009;24960;0.19
7309;Total male and female;10000;Dutch background;C07C Beta block.agents / other diuretics;2010;22490;0.17
7310;Total male and female;10000;Dutch background;C07C Beta block.agents / other diuretics;2011;20090;0.15
7311;Total male and female;10000;Dutch background;C07C Beta block.agents / other diuretics;2012;17845;0.13
7312;Total male and female;10000;Dutch background;C07C Beta block.agents / other diuretics;2013;15945;0.12
7313;Total male and female;10000;Dutch background;C07C Beta block.agents / other diuretics;2014;14005;0.1
7314;Total male and female;10000;Dutch background;C07C Beta block.agents / other diuretics;2015;12425;0.09
7315;Total male and female;10000;Dutch background;C07C Beta block.agents / other diuretics;2016;11055;0.08
7316;Total male and female;10000;Dutch background;C07C Beta block.agents / other diuretics;2017;9705;0.07
7317;Total male and female;10000;Dutch background;C07C Beta block.agents / other diuretics;2018;8490;0.06
7318;Total male and female;10000;Dutch background;C07C Beta block.agents / other diuretics;2019;7445;0.06
7319;Total male and female;10000;Dutch background;C07C Beta block.agents / other diuretics;2020;6425;0.05
7320;Total male and female;10000;Dutch background;C07D Beta block./thiazides/other diuret.;2006;0;0.0
7321;Total male and female;10000;Dutch background;C07D Beta block./thiazides/other diuret.;2007;0;0.0
7322;Total male and female;10000;Dutch background;C07D Beta block./thiazides/other diuret.;2008;0;0.0
7323;Total male and female;10000;Dutch background;C07D Beta block./thiazides/other diuret.;2009;0;0.0
7324;Total male and female;10000;Dutch background;C07D Beta block./thiazides/other diuret.;2010;0;0.0
7325;Total male and female;10000;Dutch background;C07D Beta block./thiazides/other diuret.;2011;0;0.0
7326;Total male and female;10000;Dutch background;C07D Beta block./thiazides/other diuret.;2012;0;0.0
7327;Total male and female;10000;Dutch background;C07D Beta block./thiazides/other diuret.;2013;0;0.0
7328;Total male and female;10000;Dutch background;C07D Beta block./thiazides/other diuret.;2014;0;0.0
7329;Total male and female;10000;Dutch background;C07D Beta block./thiazides/other diuret.;2015;0;0.0
7330;Total male and female;10000;Dutch background;C07D Beta block./thiazides/other diuret.;2016;0;0.0
7331;Total male and female;10000;Dutch background;C07D Beta block./thiazides/other diuret.;2017;0;0.0
7332;Total male and female;10000;Dutch background;C07D Beta block./thiazides/other diuret.;2018;0;0.0
7333;Total male and female;10000;Dutch background;C07D Beta block./thiazides/other diuret.;2019;0;0.0
7334;Total male and female;10000;Dutch background;C07D Beta block./thiazides/other diuret.;2020;0;0.0
7335;Total male and female;10000;Dutch background;C07E Beta blocking agents / vasodilators;2006;0;0.0
7336;Total male and female;10000;Dutch background;C07E Beta blocking agents / vasodilators;2007;0;0.0
7337;Total male and female;10000;Dutch background;C07E Beta blocking agents / vasodilators;2008;0;0.0
7338;Total male and female;10000;Dutch background;C07E Beta blocking agents / vasodilators;2009;0;0.0
7339;Total male and female;10000;Dutch background;C07E Beta blocking agents / vasodilators;2010;0;0.0
7340;Total male and female;10000;Dutch background;C07E Beta blocking agents / vasodilators;2011;0;0.0
7341;Total male and female;10000;Dutch background;C07E Beta blocking agents / vasodilators;2012;0;0.0
7342;Total male and female;10000;Dutch background;C07E Beta blocking agents / vasodilators;2013;0;0.0
7343;Total male and female;10000;Dutch background;C07E Beta blocking agents / vasodilators;2014;0;0.0
7344;Total male and female;10000;Dutch background;C07E Beta blocking agents / vasodilators;2015;0;0.0
7345;Total male and female;10000;Dutch background;C07E Beta blocking agents / vasodilators;2016;0;0.0
7346;Total male and female;10000;Dutch background;C07E Beta blocking agents / vasodilators;2017;0;0.0
7347;Total male and female;10000;Dutch background;C07E Beta blocking agents / vasodilators;2018;0;0.0
7348;Total male and female;10000;Dutch background;C07E Beta blocking agents / vasodilators;2019;0;0.0
7349;Total male and female;10000;Dutch background;C07E Beta blocking agents / vasodilators;2020;0;0.0
7350;Total male and female;10000;Dutch background;C07F Beta block./other antihypertensives;2006;0;0.0
7351;Total male and female;10000;Dutch background;C07F Beta block./other antihypertensives;2007;0;0.0
7352;Total male and female;10000;Dutch background;C07F Beta block./other antihypertensives;2008;0;0.0
7353;Total male and female;10000;Dutch background;C07F Beta block./other antihypertensives;2009;0;0.0
7354;Total male and female;10000;Dutch background;C07F Beta block./other antihypertensives;2010;0;0.0
7355;Total male and female;10000;Dutch background;C07F Beta block./other antihypertensives;2011;0;0.0
7356;Total male and female;10000;Dutch background;C07F Beta block./other antihypertensives;2012;0;0.0
7357;Total male and female;10000;Dutch background;C07F Beta block./other antihypertensives;2013;0;0.0
7358;Total male and female;10000;Dutch background;C07F Beta block./other antihypertensives;2014;0;0.0
7359;Total male and female;10000;Dutch background;C07F Beta block./other antihypertensives;2015;0;0.0
7360;Total male and female;10000;Dutch background;C07F Beta block./other antihypertensives;2016;0;0.0
7361;Total male and female;10000;Dutch background;C07F Beta block./other antihypertensives;2017;0;0.0
7362;Total male and female;10000;Dutch background;C07F Beta block./other antihypertensives;2018;0;0.0
7363;Total male and female;10000;Dutch background;C07F Beta block./other antihypertensives;2019;0;0.0
7364;Total male and female;10000;Dutch background;C07F Beta block./other antihypertensives;2020;0;0.0
7365;Total male and female;10000;Dutch background;C08 Calcium channel blockers;2006;519005;3.89
7366;Total male and female;10000;Dutch background;C08 Calcium channel blockers;2007;537930;4.03
7367;Total male and female;10000;Dutch background;C08 Calcium channel blockers;2008;558045;4.18
7368;Total male and female;10000;Dutch background;C08 Calcium channel blockers;2009;579415;4.33
7369;Total male and female;10000;Dutch background;C08 Calcium channel blockers;2010;600340;4.49
7370;Total male and female;10000;Dutch background;C08 Calcium channel blockers;2011;621385;4.64
7371;Total male and female;10000;Dutch background;C08 Calcium channel blockers;2012;650760;4.86
7372;Total male and female;10000;Dutch background;C08 Calcium channel blockers;2013;669095;5.0
7373;Total male and female;10000;Dutch background;C08 Calcium channel blockers;2014;688295;5.14
7374;Total male and female;10000;Dutch background;C08 Calcium channel blockers;2015;711535;5.31
7375;Total male and female;10000;Dutch background;C08 Calcium channel blockers;2016;737000;5.51
7376;Total male and female;10000;Dutch background;C08 Calcium channel blockers;2017;759395;5.68
7377;Total male and female;10000;Dutch background;C08 Calcium channel blockers;2018;781760;5.85
7378;Total male and female;10000;Dutch background;C08 Calcium channel blockers;2019;817070;6.12
7379;Total male and female;10000;Dutch background;C08 Calcium channel blockers;2020;834365;6.26
7380;Total male and female;10000;Dutch background;C08C Sel.calcium ch.block.mnly.vascular;2006;407825;3.05
7381;Total male and female;10000;Dutch background;C08C Sel.calcium ch.block.mnly.vascular;2007;430685;3.22
7382;Total male and female;10000;Dutch background;C08C Sel.calcium ch.block.mnly.vascular;2008;454460;3.4
7383;Total male and female;10000;Dutch background;C08C Sel.calcium ch.block.mnly.vascular;2009;478870;3.58
7384;Total male and female;10000;Dutch background;C08C Sel.calcium ch.block.mnly.vascular;2010;501930;3.75
7385;Total male and female;10000;Dutch background;C08C Sel.calcium ch.block.mnly.vascular;2011;525860;3.93
7386;Total male and female;10000;Dutch background;C08C Sel.calcium ch.block.mnly.vascular;2012;557540;4.16
7387;Total male and female;10000;Dutch background;C08C Sel.calcium ch.block.mnly.vascular;2013;578755;4.32
7388;Total male and female;10000;Dutch background;C08C Sel.calcium ch.block.mnly.vascular;2014;599285;4.47
7389;Total male and female;10000;Dutch background;C08C Sel.calcium ch.block.mnly.vascular;2015;623185;4.65
7390;Total male and female;10000;Dutch background;C08C Sel.calcium ch.block.mnly.vascular;2016;649165;4.85
7391;Total male and female;10000;Dutch background;C08C Sel.calcium ch.block.mnly.vascular;2017;672190;5.03
7392;Total male and female;10000;Dutch background;C08C Sel.calcium ch.block.mnly.vascular;2018;694570;5.2
7393;Total male and female;10000;Dutch background;C08C Sel.calcium ch.block.mnly.vascular;2019;729175;5.46
7394;Total male and female;10000;Dutch background;C08C Sel.calcium ch.block.mnly.vascular;2020;746660;5.6
7395;Total male and female;10000;Dutch background;C08D Sel.calcium ch.block.direct cardiac;2006;117350;0.88
7396;Total male and female;10000;Dutch background;C08D Sel.calcium ch.block.direct cardiac;2007;113065;0.85
7397;Total male and female;10000;Dutch background;C08D Sel.calcium ch.block.direct cardiac;2008;109415;0.82
7398;Total male and female;10000;Dutch background;C08D Sel.calcium ch.block.direct cardiac;2009;106330;0.8
7399;Total male and female;10000;Dutch background;C08D Sel.calcium ch.block.direct cardiac;2010;103995;0.78
7400;Total male and female;10000;Dutch background;C08D Sel.calcium ch.block.direct cardiac;2011;101185;0.76
7401;Total male and female;10000;Dutch background;C08D Sel.calcium ch.block.direct cardiac;2012;98775;0.74
7402;Total male and female;10000;Dutch background;C08D Sel.calcium ch.block.direct cardiac;2013;95890;0.72
7403;Total male and female;10000;Dutch background;C08D Sel.calcium ch.block.direct cardiac;2014;94520;0.71
7404;Total male and female;10000;Dutch background;C08D Sel.calcium ch.block.direct cardiac;2015;93860;0.7
7405;Total male and female;10000;Dutch background;C08D Sel.calcium ch.block.direct cardiac;2016;93450;0.7
7406;Total male and female;10000;Dutch background;C08D Sel.calcium ch.block.direct cardiac;2017;92740;0.69
7407;Total male and female;10000;Dutch background;C08D Sel.calcium ch.block.direct cardiac;2018;93130;0.7
7408;Total male and female;10000;Dutch background;C08D Sel.calcium ch.block.direct cardiac;2019;94315;0.71
7409;Total male and female;10000;Dutch background;C08D Sel.calcium ch.block.direct cardiac;2020;94550;0.71
7410;Total male and female;10000;Dutch background;C08E Non-sel. calcium channel blockers;2006;0;0.0
7411;Total male and female;10000;Dutch background;C08E Non-sel. calcium channel blockers;2007;0;0.0
7412;Total male and female;10000;Dutch background;C08E Non-sel. calcium channel blockers;2008;0;0.0
7413;Total male and female;10000;Dutch background;C08E Non-sel. calcium channel blockers;2009;0;0.0
7414;Total male and female;10000;Dutch background;C08E Non-sel. calcium channel blockers;2010;0;0.0
7415;Total male and female;10000;Dutch background;C08E Non-sel. calcium channel blockers;2011;0;0.0
7416;Total male and female;10000;Dutch background;C08E Non-sel. calcium channel blockers;2012;0;0.0
7417;Total male and female;10000;Dutch background;C08E Non-sel. calcium channel blockers;2013;0;0.0
7418;Total male and female;10000;Dutch background;C08E Non-sel. calcium channel blockers;2014;0;0.0
7419;Total male and female;10000;Dutch background;C08E Non-sel. calcium channel blockers;2015;0;0.0
7420;Total male and female;10000;Dutch background;C08E Non-sel. calcium channel blockers;2016;0;0.0
7421;Total male and female;10000;Dutch background;C08E Non-sel. calcium channel blockers;2017;0;0.0
7422;Total male and female;10000;Dutch background;C08E Non-sel. calcium channel blockers;2018;0;0.0
7423;Total male and female;10000;Dutch background;C08E Non-sel. calcium channel blockers;2019;0;0.0
7424;Total male and female;10000;Dutch background;C08E Non-sel. calcium channel blockers;2020;0;0.0
7425;Total male and female;10000;Dutch background;C08G Calcium channel blockers/diuretics;2006;0;0.0
7426;Total male and female;10000;Dutch background;C08G Calcium channel blockers/diuretics;2007;0;0.0
7427;Total male and female;10000;Dutch background;C08G Calcium channel blockers/diuretics;2008;0;0.0
7428;Total male and female;10000;Dutch background;C08G Calcium channel blockers/diuretics;2009;0;0.0
7429;Total male and female;10000;Dutch background;C08G Calcium channel blockers/diuretics;2010;0;0.0
7430;Total male and female;10000;Dutch background;C08G Calcium channel blockers/diuretics;2011;0;0.0
7431;Total male and female;10000;Dutch background;C08G Calcium channel blockers/diuretics;2012;0;0.0
7432;Total male and female;10000;Dutch background;C08G Calcium channel blockers/diuretics;2013;0;0.0
7433;Total male and female;10000;Dutch background;C08G Calcium channel blockers/diuretics;2014;65;0.0
7434;Total male and female;10000;Dutch background;C08G Calcium channel blockers/diuretics;2015;170;0.0
7435;Total male and female;10000;Dutch background;C08G Calcium channel blockers/diuretics;2016;250;0.0
7436;Total male and female;10000;Dutch background;C08G Calcium channel blockers/diuretics;2017;300;0.0
7437;Total male and female;10000;Dutch background;C08G Calcium channel blockers/diuretics;2018;335;0.0
7438;Total male and female;10000;Dutch background;C08G Calcium channel blockers/diuretics;2019;400;0.0
7439;Total male and female;10000;Dutch background;C08G Calcium channel blockers/diuretics;2020;380;0.0
7440;Total male and female;10000;Dutch background;C09 Agents on renin-angiotensin system;2006;1227550;9.19
7441;Total male and female;10000;Dutch background;C09 Agents on renin-angiotensin system;2007;1316520;9.86
7442;Total male and female;10000;Dutch background;C09 Agents on renin-angiotensin system;2008;1393995;10.43
7443;Total male and female;10000;Dutch background;C09 Agents on renin-angiotensin system;2009;1462175;10.94
7444;Total male and female;10000;Dutch background;C09 Agents on renin-angiotensin system;2010;1522295;11.37
7445;Total male and female;10000;Dutch background;C09 Agents on renin-angiotensin system;2011;1578510;11.78
7446;Total male and female;10000;Dutch background;C09 Agents on renin-angiotensin system;2012;1622340;12.11
7447;Total male and female;10000;Dutch background;C09 Agents on renin-angiotensin system;2013;1636060;12.22
7448;Total male and female;10000;Dutch background;C09 Agents on renin-angiotensin system;2014;1649535;12.32
7449;Total male and female;10000;Dutch background;C09 Agents on renin-angiotensin system;2015;1661095;12.41
7450;Total male and female;10000;Dutch background;C09 Agents on renin-angiotensin system;2016;1671990;12.49
7451;Total male and female;10000;Dutch background;C09 Agents on renin-angiotensin system;2017;1677970;12.55
7452;Total male and female;10000;Dutch background;C09 Agents on renin-angiotensin system;2018;1678340;12.56
7453;Total male and female;10000;Dutch background;C09 Agents on renin-angiotensin system;2019;1682235;12.6
7454;Total male and female;10000;Dutch background;C09 Agents on renin-angiotensin system;2020;1671070;12.53
7455;Total male and female;10000;Dutch background;C09A Ace inhibitors, plain;2006;659060;4.93
7456;Total male and female;10000;Dutch background;C09A Ace inhibitors, plain;2007;687460;5.15
7457;Total male and female;10000;Dutch background;C09A Ace inhibitors, plain;2008;713815;5.34
