ID;Financing;RevenuesOfHealthCareFinancingScheme;FunctionsOfHealthAndSocialCare;Periods;HealthAndSocialCareExpenditure_1
9365;HF11: Government schemes;FS.1.1  Internal transfers and grants;Total health related expenditure;2013;1580
9366;HF11: Government schemes;FS.1.1  Internal transfers and grants;Total health related expenditure;2014;1492
9367;HF11: Government schemes;FS.1.1  Internal transfers and grants;Total health related expenditure;2015;4869
9368;HF11: Government schemes;FS.1.1  Internal transfers and grants;Total health related expenditure;2016;4664
9369;HF11: Government schemes;FS.1.1  Internal transfers and grants;Total health related expenditure;2017;4885
9370;HF11: Government schemes;FS.1.1  Internal transfers and grants;Total health related expenditure;2018;5267
9371;HF11: Government schemes;FS.1.1  Internal transfers and grants;Total health related expenditure;2019;5543
9372;HF11: Government schemes;FS.1.1  Internal transfers and grants;Total health related expenditure;2020;6056
9373;HF11: Government schemes;FS.1.1  Internal transfers and grants;Total health related expenditure;2021;5452
9374;HF11: Government schemes;FS.1.1  Internal transfers and grants;Total health related expenditure;2022;5314
9375;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;1998;3913
9376;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;1999;4433
9377;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;2000;4804
9378;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;2001;5450
9379;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;2002;5672
9380;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;2003;5920
9381;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;2004;5715
9382;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;2005;6158
9383;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;2006;6238
9384;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;2007;8203
9385;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;2008;9196
9386;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;2009;10250
9387;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;2010;10460
9388;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;2011;10213
9389;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;2012;9596
9390;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;2013;8018
9391;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;2014;7888
9392;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;2015;7853
9393;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;2016;8672
9394;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;2017;8993
9395;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;2018;9437
9396;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;2019;10145
9397;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;2020;11463
9398;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;2021;12009
9399;HF11: Government schemes;FS.1.1  Internal transfers and grants;Other goods and services;2022;13472
9400;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;1998;0
9401;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;1999;0
9402;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;2000;0
9403;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;2001;0
9404;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;2002;0
9405;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;2003;0
9406;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;2004;0
9407;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;2005;0
9408;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;2006;0
9409;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;2007;0
9410;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;2008;0
9411;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;2009;0
9412;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;2010;0
9413;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;2011;0
9414;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;2012;0
9415;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;2013;0
9416;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;2014;0
9417;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;2015;0
9418;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;2016;0
9419;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;2017;0
9420;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;2018;0
9421;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;2019;0
9422;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;2020;0
9423;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;2021;0
9424;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health, social care and welfare;2022;0
9425;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;1998;0
9426;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;1999;0
9427;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;2000;0
9428;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;2001;0
9429;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;2002;0
9430;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;2003;0
9431;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;2004;0
9432;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;2005;0
9433;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;2006;0
9434;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;2007;0
9435;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;2008;0
9436;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;2009;0
9437;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;2010;0
9438;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;2011;0
9439;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;2012;0
9440;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;2013;0
9441;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;2014;0
9442;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;2015;0
9443;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;2016;0
9444;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;2017;0
9445;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;2018;0
9446;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;2019;0
9447;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;2020;0
9448;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;2021;0
9449;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total current expenditure on healthcare;2022;0
9450;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;1998;0
9451;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;1999;0
9452;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;2000;0
9453;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;2001;0
9454;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;2002;0
9455;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;2003;0
9456;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;2004;0
9457;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;2005;0
9458;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;2006;0
9459;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;2007;0
9460;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;2008;0
9461;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;2009;0
9462;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;2010;0
9463;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;2011;0
9464;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;2012;0
9465;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;2013;0
9466;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;2014;0
9467;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;2015;0
9468;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;2016;0
9469;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;2017;0
9470;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;2018;0
9471;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;2019;0
9472;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;2020;0
9473;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;2021;0
9474;HF11: Government schemes;FS.1.2  Transfers by government on be...;Total health related expenditure;2022;0
9475;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;1998;0
9476;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;1999;0
9477;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;2000;0
9478;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;2001;0
9479;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;2002;0
9480;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;2003;0
9481;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;2004;0
9482;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;2005;0
9483;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;2006;0
9484;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;2007;0
9485;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;2008;0
9486;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;2009;0
9487;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;2010;0
9488;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;2011;0
9489;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;2012;0
9490;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;2013;0
9491;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;2014;0
9492;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;2015;0
9493;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;2016;0
9494;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;2017;0
9495;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;2018;0
9496;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;2019;0
9497;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;2020;0
9498;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;2021;0
9499;HF11: Government schemes;FS.1.2  Transfers by government on be...;Other goods and services;2022;0
9500;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;1998;0
9501;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;1999;0
9502;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;2000;0
9503;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;2001;0
9504;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;2002;0
9505;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;2003;0
9506;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;2004;0
9507;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;2005;0
9508;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;2006;0
9509;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;2007;0
9510;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;2008;0
9511;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;2009;0
9512;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;2010;0
9513;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;2011;0
9514;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;2012;0
9515;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;2013;0
9516;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;2014;0
9517;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;2015;0
9518;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;2016;0
9519;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;2017;0
9520;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;2018;0
9521;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;2019;0
9522;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;2020;0
9523;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;2021;0
9524;HF11: Government schemes;FS.1.3  Subsidies;Total health, social care and welfare;2022;0
9525;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;1998;0
9526;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;1999;0
9527;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;2000;0
9528;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;2001;0
9529;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;2002;0
9530;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;2003;0
9531;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;2004;0
9532;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;2005;0
9533;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;2006;0
9534;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;2007;0
9535;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;2008;0
9536;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;2009;0
9537;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;2010;0
9538;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;2011;0
9539;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;2012;0
9540;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;2013;0
9541;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;2014;0
9542;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;2015;0
9543;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;2016;0
9544;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;2017;0
9545;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;2018;0
9546;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;2019;0
9547;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;2020;0
9548;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;2021;0
9549;HF11: Government schemes;FS.1.3  Subsidies;Total current expenditure on healthcare;2022;0
9550;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;1998;0
9551;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;1999;0
9552;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;2000;0
9553;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;2001;0
9554;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;2002;0
9555;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;2003;0
9556;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;2004;0
9557;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;2005;0
9558;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;2006;0
9559;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;2007;0
9560;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;2008;0
9561;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;2009;0
9562;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;2010;0
9563;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;2011;0
9564;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;2012;0
9565;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;2013;0
9566;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;2014;0
9567;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;2015;0
9568;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;2016;0
9569;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;2017;0
9570;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;2018;0
9571;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;2019;0
9572;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;2020;0
9573;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;2021;0
9574;HF11: Government schemes;FS.1.3  Subsidies;Total health related expenditure;2022;0
9575;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;1998;0
9576;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;1999;0
9577;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;2000;0
9578;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;2001;0
9579;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;2002;0
9580;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;2003;0
9581;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;2004;0
9582;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;2005;0
9583;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;2006;0
9584;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;2007;0
9585;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;2008;0
9586;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;2009;0
9587;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;2010;0
9588;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;2011;0
9589;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;2012;0
9590;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;2013;0
9591;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;2014;0
9592;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;2015;0
9593;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;2016;0
9594;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;2017;0
9595;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;2018;0
9596;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;2019;0
9597;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;2020;0
9598;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;2021;0
9599;HF11: Government schemes;FS.1.3  Subsidies;Other goods and services;2022;0
9600;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;1998;0
9601;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;1999;0
9602;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;2000;0
9603;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;2001;0
9604;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;2002;0
9605;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;2003;0
9606;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;2004;0
9607;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;2005;0
9608;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;2006;0
9609;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;2007;0
9610;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;2008;0
9611;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;2009;0
9612;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;2010;0
9613;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;2011;0
9614;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;2012;0
9615;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;2013;0
9616;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;2014;0
9617;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;2015;0
9618;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;2016;0
9619;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;2017;0
9620;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;2018;0
9621;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;2019;0
9622;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;2020;0
9623;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;2021;0
9624;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health, social care and welfare;2022;0
9625;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;1998;0
9626;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;1999;0
9627;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;2000;0
9628;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;2001;0
9629;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;2002;0
9630;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;2003;0
9631;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;2004;0
9632;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;2005;0
9633;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;2006;0
9634;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;2007;0
9635;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;2008;0
9636;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;2009;0
9637;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;2010;0
9638;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;2011;0
9639;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;2012;0
9640;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;2013;0
9641;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;2014;0
9642;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;2015;0
9643;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;2016;0
9644;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;2017;0
9645;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;2018;0
9646;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;2019;0
9647;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;2020;0
9648;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;2021;0
9649;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total current expenditure on healthcare;2022;0
9650;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;1998;0
9651;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;1999;0
9652;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;2000;0
9653;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;2001;0
9654;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;2002;0
9655;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;2003;0
9656;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;2004;0
9657;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;2005;0
9658;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;2006;0
9659;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;2007;0
9660;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;2008;0
9661;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;2009;0
9662;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;2010;0
9663;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;2011;0
9664;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;2012;0
9665;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;2013;0
9666;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;2014;0
9667;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;2015;0
9668;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;2016;0
9669;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;2017;0
9670;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;2018;0
9671;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;2019;0
9672;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;2020;0
9673;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;2021;0
9674;HF11: Government schemes;FS.1.4  Other transfers from governm...;Total health related expenditure;2022;0
9675;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;1998;0
9676;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;1999;0
9677;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;2000;0
9678;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;2001;0
9679;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;2002;0
9680;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;2003;0
9681;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;2004;0
9682;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;2005;0
