ID;InstitutionalSectors;DebtInstruments;CounterpartSectors;FaceValueAndMarketValue;Periods;TotalGovernmentDebt_1;GovernmentDebtInForeignCurrency_2
8024;General government;AF31 Short-term debt securities;The non-financial corporations sector;Market value;2021;0.0;
8025;General government;AF31 Short-term debt securities;The non-financial corporations sector;Market value;2022 1st quarter;0.0;
8026;General government;AF31 Short-term debt securities;The non-financial corporations sector;Market value;2022 2nd quarter;0.0;
8027;General government;AF31 Short-term debt securities;The non-financial corporations sector;Market value;2022 3rd quarter;0.0;
8028;General government;AF31 Short-term debt securities;The non-financial corporations sector;Market value;2022 4th quarter;0.0;
8029;General government;AF31 Short-term debt securities;The non-financial corporations sector;Market value;2022;0.0;
8030;General government;AF31 Short-term debt securities;The non-financial corporations sector;Market value;2023 1st quarter;0.0;
8031;General government;AF31 Short-term debt securities;The non-financial corporations sector;Market value;2023 2nd quarter;0.0;
8032;General government;AF31 Short-term debt securities;The non-financial corporations sector;Market value;2023 3rd quarter;0.0;
8033;General government;AF31 Short-term debt securities;The non-financial corporations sector;Market value;2023 4th quarter;0.0;
8034;General government;AF31 Short-term debt securities;The non-financial corporations sector;Market value;2023;0.0;
8035;General government;AF31 Short-term debt securities;The non-financial corporations sector;Market value;2024 1st quarter;0.0;
8036;General government;AF31 Short-term debt securities;The non-financial corporations sector;Market value;2024 2nd quarter;0.0;
8037;General government;AF31 Short-term debt securities;The non-financial corporations sector;Market value;2024 3rd quarter;0.0;
8038;General government;AF31 Short-term debt securities;The non-financial corporations sector;Market value;2024 4th quarter;0.0;
8039;General government;AF31 Short-term debt securities;The non-financial corporations sector;Market value;2024;0.0;
8040;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;1995;4934.0;
8041;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;1996;6118.0;
8042;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;1997;5058.0;
8043;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;1998;5809.0;
8044;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;1999 1st quarter;;
8045;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;1999 2nd quarter;;
8046;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;1999 3rd quarter;;
8047;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;1999 4th quarter;1583.0;
8048;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;1999;1583.0;
8049;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2000 1st quarter;;
8050;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2000 2nd quarter;;
8051;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2000 3rd quarter;;
8052;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2000 4th quarter;1819.0;
8053;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2000;1819.0;
8054;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2001 1st quarter;;
8055;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2001 2nd quarter;;
8056;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2001 3rd quarter;;
8057;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2001 4th quarter;1742.0;
8058;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2001;1742.0;
8059;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2002 1st quarter;;
8060;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2002 2nd quarter;;
8061;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2002 3rd quarter;;
8062;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2002 4th quarter;1616.0;
8063;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2002;1616.0;
8064;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2003 1st quarter;;
8065;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2003 2nd quarter;;
8066;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2003 3rd quarter;;
8067;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2003 4th quarter;2705.0;
8068;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2003;2705.0;
8069;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2004 1st quarter;;
8070;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2004 2nd quarter;;
8071;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2004 3rd quarter;;
8072;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2004 4th quarter;1851.0;
8073;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2004;1851.0;
8074;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2005 1st quarter;;
8075;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2005 2nd quarter;;
8076;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2005 3rd quarter;;
8077;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2005 4th quarter;1839.0;
8078;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2005;1839.0;
8079;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2006 1st quarter;;
8080;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2006 2nd quarter;;
8081;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2006 3rd quarter;;
8082;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2006 4th quarter;1460.0;
8083;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2006;1460.0;
8084;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2007 1st quarter;;
8085;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2007 2nd quarter;;
8086;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2007 3rd quarter;;
8087;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2007 4th quarter;422.0;
8088;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2007;422.0;
8089;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2008 1st quarter;679.0;
8090;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2008 2nd quarter;1286.0;
8091;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2008 3rd quarter;797.0;
8092;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2008 4th quarter;4520.0;
8093;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2008;4520.0;
8094;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2009 1st quarter;2496.0;
8095;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2009 2nd quarter;2418.0;
8096;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2009 3rd quarter;2908.0;
8097;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2009 4th quarter;1163.0;
8098;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2009;1163.0;
8099;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2010 1st quarter;3772.0;
8100;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2010 2nd quarter;2207.0;
8101;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2010 3rd quarter;1875.0;
8102;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2010 4th quarter;1884.0;
8103;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2010;1884.0;
8104;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2011 1st quarter;1680.0;
8105;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2011 2nd quarter;2439.0;
8106;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2011 3rd quarter;1155.0;
8107;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2011 4th quarter;550.0;
8108;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2011;550.0;
8109;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2012 1st quarter;52.0;
8110;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2012 2nd quarter;189.0;
8111;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2012 3rd quarter;517.0;
8112;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2012 4th quarter;311.0;
8113;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2012;311.0;
8114;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2013 1st quarter;611.0;
8115;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2013 2nd quarter;1304.0;
8116;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2013 3rd quarter;394.0;
8117;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2013 4th quarter;883.0;
8118;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2013;883.0;
8119;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2014 1st quarter;1174.0;
8120;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2014 2nd quarter;1143.0;
8121;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2014 3rd quarter;3004.0;
8122;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2014 4th quarter;2321.0;
8123;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2014;2321.0;
8124;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2015 1st quarter;1911.0;
8125;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2015 2nd quarter;1754.0;
8126;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2015 3rd quarter;2103.0;
8127;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2015 4th quarter;449.0;
8128;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2015;449.0;
8129;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2016 1st quarter;1318.0;
8130;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2016 2nd quarter;1164.0;
8131;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2016 3rd quarter;1141.0;
8132;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2016 4th quarter;560.0;
8133;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2016;560.0;
8134;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2017 1st quarter;761.0;
8135;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2017 2nd quarter;759.0;
8136;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2017 3rd quarter;1207.0;
8137;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2017 4th quarter;511.0;
8138;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2017;511.0;
8139;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2018 1st quarter;298.0;
8140;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2018 2nd quarter;685.0;
8141;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2018 3rd quarter;818.0;
8142;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2018 4th quarter;562.0;
8143;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2018;562.0;
8144;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2019 1st quarter;851.0;
8145;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2019 2nd quarter;409.0;
8146;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2019 3rd quarter;303.0;
8147;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2019 4th quarter;1159.0;
8148;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2019;1159.0;
8149;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2020 1st quarter;636.0;
8150;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2020 2nd quarter;10272.0;
8151;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2020 3rd quarter;15131.0;
8152;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2020 4th quarter;14559.0;
8153;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2020;14559.0;
8154;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2021 1st quarter;11957.0;
8155;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2021 2nd quarter;8345.0;
8156;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2021 3rd quarter;9565.0;
8157;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2021 4th quarter;9383.0;
8158;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2021;9383.0;
8159;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2022 1st quarter;7782.0;
8160;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2022 2nd quarter;6720.0;
8161;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2022 3rd quarter;4676.0;
8162;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2022 4th quarter;8603.0;
8163;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2022;8603.0;
8164;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2023 1st quarter;3636.0;
8165;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2023 2nd quarter;5849.0;
8166;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2023 3rd quarter;6250.0;
8167;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2023 4th quarter;9723.0;
8168;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2023;9723.0;
8169;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2024 1st quarter;6198.0;
8170;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2024 2nd quarter;8967.0;
8171;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2024 3rd quarter;5434.0;
8172;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2024 4th quarter;5311.0;
8173;General government;AF31 Short-term debt securities;Monetary financial institutions;Face value;2024;5311.0;
8174;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;1995;4759.0;
8175;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;1996;5947.0;
8176;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;1997;5042.0;
8177;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;1998;5874.0;
8178;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;1999 1st quarter;;
8179;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;1999 2nd quarter;;
8180;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;1999 3rd quarter;;
8181;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;1999 4th quarter;1621.0;
8182;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;1999;1621.0;
8183;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2000 1st quarter;;
8184;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2000 2nd quarter;;
8185;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2000 3rd quarter;;
8186;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2000 4th quarter;1836.0;
8187;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2000;1836.0;
8188;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2001 1st quarter;;
8189;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2001 2nd quarter;;
8190;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2001 3rd quarter;;
8191;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2001 4th quarter;1754.0;
8192;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2001;1754.0;
8193;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2002 1st quarter;;
8194;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2002 2nd quarter;;
8195;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2002 3rd quarter;;
8196;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2002 4th quarter;1643.0;
8197;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2002;1643.0;
8198;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2003 1st quarter;;
8199;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2003 2nd quarter;;
8200;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2003 3rd quarter;;
8201;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2003 4th quarter;2732.0;
8202;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2003;2732.0;
8203;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2004 1st quarter;;
8204;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2004 2nd quarter;;
8205;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2004 3rd quarter;;
8206;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2004 4th quarter;1884.0;
8207;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2004;1884.0;
8208;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2005 1st quarter;;
8209;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2005 2nd quarter;;
8210;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2005 3rd quarter;;
8211;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2005 4th quarter;1870.0;
8212;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2005;1870.0;
8213;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2006 1st quarter;;
8214;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2006 2nd quarter;;
8215;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2006 3rd quarter;;
8216;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2006 4th quarter;1489.0;
8217;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2006;1489.0;
8218;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2007 1st quarter;;
8219;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2007 2nd quarter;;
8220;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2007 3rd quarter;;
8221;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2007 4th quarter;408.0;
8222;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2007;408.0;
8223;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2008 1st quarter;659.0;
8224;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2008 2nd quarter;1260.0;
8225;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2008 3rd quarter;765.0;
8226;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2008 4th quarter;4480.0;
8227;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2008;4480.0;
8228;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2009 1st quarter;2465.0;
8229;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2009 2nd quarter;2397.0;
8230;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2009 3rd quarter;2897.0;
8231;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2009 4th quarter;1161.0;
8232;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2009;1161.0;
8233;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2010 1st quarter;3767.0;
8234;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2010 2nd quarter;2201.0;
8235;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2010 3rd quarter;1870.0;
8236;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2010 4th quarter;1881.0;
8237;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2010;1881.0;
8238;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2011 1st quarter;1676.0;
8239;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2011 2nd quarter;2429.0;
8240;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2011 3rd quarter;1155.0;
8241;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2011 4th quarter;552.0;
8242;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2011;552.0;
8243;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2012 1st quarter;52.0;
8244;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2012 2nd quarter;190.0;
8245;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2012 3rd quarter;515.0;
8246;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2012 4th quarter;308.0;
8247;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2012;308.0;
8248;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2013 1st quarter;614.0;
8249;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2013 2nd quarter;1304.0;
8250;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2013 3rd quarter;392.0;
8251;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2013 4th quarter;883.0;
8252;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2013;883.0;
8253;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2014 1st quarter;1174.0;
8254;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2014 2nd quarter;1141.0;
8255;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2014 3rd quarter;3024.0;
8256;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2014 4th quarter;2321.0;
8257;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2014;2321.0;
8258;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2015 1st quarter;1858.0;
8259;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2015 2nd quarter;1757.0;
8260;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2015 3rd quarter;2103.0;
8261;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2015 4th quarter;449.0;
8262;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2015;449.0;
8263;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2016 1st quarter;1320.0;
8264;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2016 2nd quarter;1165.0;
8265;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2016 3rd quarter;1143.0;
8266;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2016 4th quarter;561.0;
8267;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2016;561.0;
8268;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2017 1st quarter;763.0;
8269;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2017 2nd quarter;756.0;
8270;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2017 3rd quarter;1213.0;
8271;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2017 4th quarter;512.0;
8272;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2017;512.0;
8273;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2018 1st quarter;298.0;
8274;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2018 2nd quarter;688.0;
8275;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2018 3rd quarter;824.0;
8276;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2018 4th quarter;562.0;
8277;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2018;562.0;
8278;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2019 1st quarter;854.0;
8279;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2019 2nd quarter;409.0;
8280;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2019 3rd quarter;305.0;
8281;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2019 4th quarter;1160.0;
8282;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2019;1160.0;
8283;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2020 1st quarter;638.0;
8284;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2020 2nd quarter;10308.0;
8285;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2020 3rd quarter;15158.0;
8286;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2020 4th quarter;14597.0;
8287;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2020;14597.0;
8288;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2021 1st quarter;11965.0;
8289;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2021 2nd quarter;8352.0;
8290;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2021 3rd quarter;9585.0;
8291;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2021 4th quarter;9395.0;
8292;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2021;9395.0;
8293;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2022 1st quarter;7795.0;
8294;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2022 2nd quarter;6733.0;
8295;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2022 3rd quarter;4673.0;
8296;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2022 4th quarter;8525.0;
8297;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2022;8525.0;
8298;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2023 1st quarter;3617.0;
8299;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2023 2nd quarter;5821.0;
8300;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2023 3rd quarter;6217.0;
8301;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2023 4th quarter;9644.0;
8302;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2023;9644.0;
8303;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2024 1st quarter;6163.0;
8304;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2024 2nd quarter;8897.0;
8305;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2024 3rd quarter;5408.0;
8306;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2024 4th quarter;5305.0;
8307;General government;AF31 Short-term debt securities;Monetary financial institutions;Market value;2024;5305.0;
8308;General government;AF31 Short-term debt securities;Other financial institutions;Face value;1995;331.0;
8309;General government;AF31 Short-term debt securities;Other financial institutions;Face value;1996;223.0;
8310;General government;AF31 Short-term debt securities;Other financial institutions;Face value;1997;161.0;
8311;General government;AF31 Short-term debt securities;Other financial institutions;Face value;1998;171.0;
8312;General government;AF31 Short-term debt securities;Other financial institutions;Face value;1999 1st quarter;;
8313;General government;AF31 Short-term debt securities;Other financial institutions;Face value;1999 2nd quarter;;
8314;General government;AF31 Short-term debt securities;Other financial institutions;Face value;1999 3rd quarter;;
8315;General government;AF31 Short-term debt securities;Other financial institutions;Face value;1999 4th quarter;77.0;
8316;General government;AF31 Short-term debt securities;Other financial institutions;Face value;1999;77.0;
8317;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2000 1st quarter;;
8318;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2000 2nd quarter;;
8319;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2000 3rd quarter;;
8320;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2000 4th quarter;54.0;
8321;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2000;54.0;
8322;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2001 1st quarter;;
8323;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2001 2nd quarter;;
8324;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2001 3rd quarter;;
8325;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2001 4th quarter;23.0;
8326;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2001;23.0;
8327;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2002 1st quarter;;
