ID;SexOfEmployee;TypeOfEmploymentContract;CaoSector;SizeOfCompany;Periods;Jobs_1;LabourVolume_2;HourlyWage_3;MonthlyWageIncludingOvertime_4;MonthlyWageExcludingOvertime_5;YearlyWageIncludingBonuses_6;YearlyWageExcludingSpecialPayments_7;BonusesAndAllowances_8;AdditionalTaxLiabilityForCompanyCar_9;PerJobPerWeekIncludingOvertime_10;PerJobPerWeekExcludingOvertime_11;PerJobPerYear_12;PerWorkingYear_13
2022;Sex: Female;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2014;33;18;22.33;1749;1746;24350;20990;3360;0;20.7;20.6;938;1654
2023;Sex: Female;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2015;31;18;23.17;1813;1811;25270;21760;3510;0;20.8;20.8;938;1646
2024;Sex: Female;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2016;30;17;23.29;1847;1845;26040;22160;3870;0;21.0;20.9;951;1654
2025;Sex: Female;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2017;28;16;23.76;1873;1872;26440;22480;3960;0;20.9;20.8;945;1665
2026;Sex: Female;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2018;27;15;24.43;1932;1931;27600;23180;4420;0;21.0;21.0;948;1654
2027;Sex: Female;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2019;24;14;25.25;2001;2000;27740;24010;3730;0;21.0;21.0;950;1664
2028;Sex: Female;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2020;23;13;26.49;2091;2089;29930;25090;4840;0;21.0;21.0;946;1659
2029;Sex: Female;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2021;22;13;26.89;2145;2143;29860;25740;4120;0;21.1;21.0;956;1671
2030;Sex: Female;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2022;22;12;28.47;2260;2259;32240;27120;5110;0;21.0;21.0;952;1671
2031;Sex: Female;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2023;22;13;30.99;2541;2540;35970;30500;5480;0;21.7;21.7;984;1679
2032;Sex: Female;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2009;334;212;22.08;1922;1917;27040;23070;3970;0;23.0;22.9;1042;1642
2033;Sex: Female;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2010 before change of method;336;215;22.6;1969;1964;27860;23630;4230;0;23.1;23.1;1043;1633
2034;Sex: Female;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2010 after change of method;339;216;22.56;1962;1958;27770;23550;4220;0;23.1;23.0;1041;1633
2035;Sex: Female;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2011;351;224;22.77;1990;1986;28180;23880;4300;0;23.0;23.0;1047;1644
2036;Sex: Female;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2012;351;225;23.55;2047;2042;28840;24560;4280;0;23.1;23.1;1041;1628
2037;Sex: Female;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2013;348;223;24.12;2096;2093;29520;25160;4360;0;23.2;23.2;1041;1625
2038;Sex: Female;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2014;343;221;24.15;2121;2117;29750;25450;4300;0;23.4;23.3;1052;1631
2039;Sex: Female;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2015;346;225;24.94;2191;2188;30770;26290;4480;0;23.5;23.5;1053;1620
2040;Sex: Female;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2016;351;230;25.39;2261;2258;31920;27130;4790;0;23.8;23.7;1067;1626
2041;Sex: Female;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2017;362;238;25.5;2332;2329;33000;27980;5010;0;24.1;24.0;1096;1667
2042;Sex: Female;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2018;372;246;26.08;2388;2385;33760;28650;5110;0;24.2;24.2;1097;1660
2043;Sex: Female;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2019;386;256;26.7;2461;2459;34510;29540;4970;0;24.3;24.2;1105;1667
2044;Sex: Female;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2020;390;259;27.76;2558;2555;36320;30700;5630;0;24.4;24.3;1105;1661
2045;Sex: Female;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2021;403;269;28.13;2622;2620;36790;31470;5320;0;24.4;24.4;1117;1674
2046;Sex: Female;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2022;417;279;29.28;2737;2734;38950;32840;6100;0;24.5;24.5;1120;1674
2047;Sex: Female;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2023;435;293;31.68;2962;2959;41850;35540;6310;0;24.8;24.8;1121;1666
2048;Sex: Female;Type of employment contract: full-time;Total;Total employed persons;2009;931;931;18.03;2601;2589;35700;31210;4490;360;37.8;37.6;1724;1724
2049;Sex: Female;Type of employment contract: full-time;Total;Total employed persons;2010 before change of method;915;915;18.52;2652;2641;36510;31830;4680;340;37.7;37.5;1711;1711
2050;Sex: Female;Type of employment contract: full-time;Total;Total employed persons;2010 after change of method;922;922;18.51;2653;2641;36580;31840;4750;350;37.7;37.5;1712;1712
2051;Sex: Female;Type of employment contract: full-time;Total;Total employed persons;2011;887;887;18.89;2732;2721;37670;32780;4880;350;37.7;37.6;1729;1729
2052;Sex: Female;Type of employment contract: full-time;Total;Total employed persons;2012;864;864;19.64;2825;2814;38880;33900;4980;350;37.9;37.7;1719;1719
2053;Sex: Female;Type of employment contract: full-time;Total;Total employed persons;2013;839;839;20.2;2905;2892;40200;34860;5340;340;38.0;37.8;1718;1718
2054;Sex: Female;Type of employment contract: full-time;Total;Total employed persons;2014;832;832;20.51;2969;2956;41030;35620;5410;330;38.1;37.9;1729;1729
2055;Sex: Female;Type of employment contract: full-time;Total;Total employed persons;2015;829;829;21.22;3059;3046;42270;36710;5560;320;38.1;37.9;1722;1722
2056;Sex: Female;Type of employment contract: full-time;Total;Total employed persons;2016;846;846;21.4;3111;3097;43150;37330;5820;330;38.2;38.0;1736;1736
2057;Sex: Female;Type of employment contract: full-time;Total;Total employed persons;2017;825;825;21.66;3196;3179;44340;38350;6000;360;38.7;38.5;1761;1761
2058;Sex: Female;Type of employment contract: full-time;Total;Total employed persons;2018;864;864;22.2;3261;3244;45230;39130;6100;380;38.7;38.5;1754;1754
2059;Sex: Female;Type of employment contract: full-time;Total;Total employed persons;2019;890;890;22.81;3367;3350;46740;40410;6340;400;38.7;38.5;1762;1762
2060;Sex: Female;Type of employment contract: full-time;Total;Total employed persons;2020;890;890;23.99;3530;3512;49180;42360;6820;420;38.7;38.5;1757;1757
2061;Sex: Female;Type of employment contract: full-time;Total;Total employed persons;2021;945;945;24.47;3633;3614;50650;43600;7050;420;38.8;38.5;1772;1772
2062;Sex: Female;Type of employment contract: full-time;Total;Total employed persons;2022;1003;1003;25.52;3790;3772;53420;45480;7940;430;38.8;38.6;1774;1774
2063;Sex: Female;Type of employment contract: full-time;Total;Total employed persons;2023;1031;1031;27.55;4066;4048;57050;48790;8260;470;38.8;38.6;1763;1763
2064;Sex: Female;Type of employment contract: full-time;Total;0 to 9 employed persons;2009;122;122;16.26;2330;2324;30520;27960;2570;720;37.5;37.5;1716;1716
2065;Sex: Female;Type of employment contract: full-time;Total;0 to 9 employed persons;2010 before change of method;118;118;16.73;2383;2377;31270;28600;2670;660;37.4;37.3;1706;1706
2066;Sex: Female;Type of employment contract: full-time;Total;0 to 9 employed persons;2010 after change of method;123;123;16.71;2393;2387;31380;28710;2670;710;37.6;37.5;1714;1714
2067;Sex: Female;Type of employment contract: full-time;Total;0 to 9 employed persons;2011;111;111;17.27;2503;2499;32720;30030;2690;750;37.7;37.6;1736;1736
2068;Sex: Female;Type of employment contract: full-time;Total;0 to 9 employed persons;2012;105;105;17.84;2574;2570;33570;30890;2680;760;37.9;37.8;1729;1728
2069;Sex: Female;Type of employment contract: full-time;Total;0 to 9 employed persons;2013;98;98;18.14;2631;2625;34560;31570;2990;750;38.2;38.1;1736;1736
2070;Sex: Female;Type of employment contract: full-time;Total;0 to 9 employed persons;2014;94;94;18.32;2688;2683;35230;32260;2970;720;38.4;38.4;1757;1757
2071;Sex: Female;Type of employment contract: full-time;Total;0 to 9 employed persons;2015;92;92;19.07;2796;2790;36570;33550;3020;710;38.6;38.5;1756;1756
2072;Sex: Female;Type of employment contract: full-time;Total;0 to 9 employed persons;2016;92;92;19.29;2857;2851;37380;34280;3090;730;38.8;38.7;1773;1773
2073;Sex: Female;Type of employment contract: full-time;Total;0 to 9 employed persons;2017;91;91;19.95;2977;2968;38990;35720;3260;790;39.1;38.9;1786;1786
2074;Sex: Female;Type of employment contract: full-time;Total;0 to 9 employed persons;2018;91;91;20.54;3056;3048;39850;36680;3180;840;39.1;39.0;1781;1781
2075;Sex: Female;Type of employment contract: full-time;Total;0 to 9 employed persons;2019;90;90;21.27;3189;3181;41590;38260;3330;900;39.3;39.2;1795;1795
2076;Sex: Female;Type of employment contract: full-time;Total;0 to 9 employed persons;2020;86;86;21.99;3294;3286;43060;39530;3530;960;39.4;39.3;1793;1793
2077;Sex: Female;Type of employment contract: full-time;Total;0 to 9 employed persons;2021;93;93;22.43;3385;3376;44370;40620;3740;940;39.4;39.2;1806;1806
2078;Sex: Female;Type of employment contract: full-time;Total;0 to 9 employed persons;2022;97;97;23.9;3606;3598;47280;43280;4010;1030;39.4;39.3;1806;1806
2079;Sex: Female;Type of employment contract: full-time;Total;0 to 9 employed persons;2023;96;96;25.79;3876;3868;50680;46510;4170;1140;39.4;39.3;1800;1800
2080;Sex: Female;Type of employment contract: full-time;Total;10 to 99 employed persons;2009;198;198;16.43;2416;2402;32630;28990;3640;460;38.4;38.2;1754;1754
2081;Sex: Female;Type of employment contract: full-time;Total;10 to 99 employed persons;2010 before change of method;191;191;16.84;2460;2446;33300;29520;3780;450;38.3;38.1;1743;1743
2082;Sex: Female;Type of employment contract: full-time;Total;10 to 99 employed persons;2010 after change of method;193;193;16.84;2462;2448;33370;29540;3830;460;38.3;38.1;1744;1744
2083;Sex: Female;Type of employment contract: full-time;Total;10 to 99 employed persons;2011;189;189;17.11;2524;2511;34190;30280;3910;450;38.4;38.2;1761;1761
2084;Sex: Female;Type of employment contract: full-time;Total;10 to 99 employed persons;2012;181;181;17.76;2607;2594;35220;31280;3940;460;38.5;38.3;1753;1752
2085;Sex: Female;Type of employment contract: full-time;Total;10 to 99 employed persons;2013;174;174;18.07;2658;2642;36000;31890;4100;450;38.7;38.5;1754;1754
2086;Sex: Female;Type of employment contract: full-time;Total;10 to 99 employed persons;2014;174;174;18.18;2694;2680;36570;32330;4240;420;38.8;38.6;1769;1769
2087;Sex: Female;Type of employment contract: full-time;Total;10 to 99 employed persons;2015;173;173;18.68;2753;2739;37340;33040;4300;410;38.8;38.6;1759;1759
2088;Sex: Female;Type of employment contract: full-time;Total;10 to 99 employed persons;2016;177;177;18.81;2790;2775;37900;33480;4420;420;38.8;38.6;1770;1770
2089;Sex: Female;Type of employment contract: full-time;Total;10 to 99 employed persons;2017;178;178;19.16;2861;2844;38930;34330;4600;440;39.1;38.9;1781;1781
2090;Sex: Female;Type of employment contract: full-time;Total;10 to 99 employed persons;2018;187;187;19.55;2910;2892;39660;34920;4740;470;39.1;38.9;1775;1775
2091;Sex: Female;Type of employment contract: full-time;Total;10 to 99 employed persons;2019;191;191;20.11;3010;2992;41000;36120;4880;500;39.2;39.0;1786;1786
2092;Sex: Female;Type of employment contract: full-time;Total;10 to 99 employed persons;2020;188;188;20.95;3125;3109;42710;37500;5210;520;39.2;39.0;1780;1780
2093;Sex: Female;Type of employment contract: full-time;Total;10 to 99 employed persons;2021;199;199;21.38;3220;3202;44270;38640;5630;520;39.3;39.1;1797;1797
2094;Sex: Female;Type of employment contract: full-time;Total;10 to 99 employed persons;2022;211;211;22.48;3385;3367;46760;40620;6140;520;39.3;39.1;1797;1797
2095;Sex: Female;Type of employment contract: full-time;Total;10 to 99 employed persons;2023;208;208;24.16;3625;3607;49870;43500;6360;590;39.3;39.1;1791;1791
2096;Sex: Female;Type of employment contract: full-time;Total;100 or more employed persons;2009;611;611;18.91;2715;2703;37730;32580;5150;260;37.6;37.5;1715;1715
2097;Sex: Female;Type of employment contract: full-time;Total;100 or more employed persons;2010 before change of method;605;605;19.42;2766;2754;38550;33190;5360;240;37.5;37.3;1701;1701
2098;Sex: Female;Type of employment contract: full-time;Total;100 or more employed persons;2010 after change of method;606;606;19.42;2766;2754;38660;33200;5460;240;37.5;37.4;1702;1702
2099;Sex: Female;Type of employment contract: full-time;Total;100 or more employed persons;2011;586;586;19.79;2843;2831;39730;34110;5620;240;37.6;37.4;1717;1716
2100;Sex: Female;Type of employment contract: full-time;Total;100 or more employed persons;2012;578;578;20.57;2939;2927;40990;35270;5730;240;37.6;37.5;1707;1707
2101;Sex: Female;Type of employment contract: full-time;Total;100 or more employed persons;2013;567;567;21.23;3028;3014;42460;36340;6130;240;37.8;37.6;1704;1704
2102;Sex: Female;Type of employment contract: full-time;Total;100 or more employed persons;2014;565;565;21.62;3100;3086;43370;37200;6170;230;37.8;37.6;1713;1713
2103;Sex: Female;Type of employment contract: full-time;Total;100 or more employed persons;2015;564;564;22.39;3196;3182;44710;38360;6350;230;37.8;37.6;1706;1706
2104;Sex: Female;Type of employment contract: full-time;Total;100 or more employed persons;2016;577;577;22.57;3250;3235;45680;39000;6680;240;38.0;37.7;1720;1720
2105;Sex: Female;Type of employment contract: full-time;Total;100 or more employed persons;2017;556;556;22.76;3338;3321;46950;40060;6890;270;38.5;38.2;1751;1751
2106;Sex: Female;Type of employment contract: full-time;Total;100 or more employed persons;2018;586;586;23.31;3405;3386;47830;40860;6980;290;38.5;38.2;1743;1743
2107;Sex: Female;Type of employment contract: full-time;Total;100 or more employed persons;2019;609;609;23.9;3506;3487;49300;42070;7230;300;38.5;38.3;1750;1750
2108;Sex: Female;Type of employment contract: full-time;Total;100 or more employed persons;2020;616;616;25.22;3686;3667;52010;44240;7770;310;38.5;38.3;1745;1745
2109;Sex: Female;Type of employment contract: full-time;Total;100 or more employed persons;2021;653;653;25.73;3794;3774;53490;45530;7960;310;38.5;38.3;1760;1760
2110;Sex: Female;Type of employment contract: full-time;Total;100 or more employed persons;2022;695;695;26.7;3939;3919;56310;47270;9040;320;38.6;38.3;1762;1762
2111;Sex: Female;Type of employment contract: full-time;Total;100 or more employed persons;2023;727;727;28.78;4217;4198;59940;50600;9340;350;38.6;38.4;1750;1750
2112;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2009;552;552;17.14;2532;2518;34630;30380;4250;580;38.7;38.4;1764;1764
2113;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2010 before change of method;537;537;17.48;2573;2558;35230;30870;4360;550;38.6;38.3;1756;1756
2114;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2010 after change of method;542;542;17.46;2574;2559;35330;30880;4450;570;38.6;38.4;1758;1758
2115;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2011;524;524;17.87;2659;2645;36500;31900;4590;560;38.7;38.4;1776;1776
2116;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2012;513;514;18.53;2745;2731;37550;32940;4610;560;38.8;38.6;1768;1767
2117;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2013;501;501;18.89;2809;2792;38720;33700;5010;550;39.1;38.8;1774;1774
2118;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2014;497;497;19.18;2871;2854;39470;34450;5020;520;39.2;38.9;1785;1785
2119;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2015;501;501;19.76;2943;2926;40450;35320;5140;510;39.2;38.9;1777;1777
2120;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2016;521;521;19.84;2973;2954;40990;35670;5320;510;39.2;39.0;1786;1786
2121;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2017;526;526;20.14;3041;3020;41940;36500;5440;540;39.5;39.2;1799;1799
2122;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2018;558;558;20.66;3106;3083;42820;37270;5550;560;39.5;39.2;1791;1791
2123;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2019;574;574;21.27;3214;3191;44380;38560;5820;590;39.6;39.3;1801;1801
2124;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2020;568;568;22.35;3368;3346;46480;40420;6060;620;39.6;39.3;1796;1796
2125;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2021;604;604;22.84;3470;3445;48180;41640;6540;610;39.6;39.3;1810;1810
2126;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2022;646;646;23.92;3632;3608;50940;43580;7360;620;39.6;39.3;1810;1810
2127;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2023;666;666;25.86;3904;3881;54560;46840;7720;680;39.6;39.3;1801;1801
2128;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2009;114;114;16.13;2319;2313;30340;27830;2520;750;37.6;37.6;1721;1721
2129;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2010 before change of method;110;110;16.5;2357;2352;30900;28290;2610;690;37.5;37.4;1711;1711
2130;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2010 after change of method;114;114;16.49;2368;2363;31030;28420;2600;730;37.7;37.6;1719;1719
2131;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2011;104;104;17.05;2477;2472;32360;29720;2640;770;37.8;37.7;1740;1740
2132;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2012;99;99;17.63;2549;2545;33230;30590;2630;780;38.0;37.9;1733;1732
2133;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2013;93;93;17.92;2604;2597;34180;31240;2930;770;38.2;38.2;1740;1740
2134;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2014;88;88;18.09;2660;2655;34840;31920;2920;740;38.5;38.4;1761;1761
2135;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2015;86;86;18.45;2709;2703;35500;32510;2990;730;38.6;38.5;1758;1758
2136;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2016;86;86;18.68;2769;2763;36280;33220;3060;740;38.8;38.7;1775;1775
2137;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2017;84;84;19.31;2887;2878;37870;34640;3230;810;39.1;39.0;1788;1788
2138;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2018;84;84;19.86;2960;2952;38630;35520;3110;860;39.2;39.1;1784;1784
2139;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2019;83;83;20.57;3089;3082;40360;37070;3280;920;39.3;39.2;1798;1798
2140;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2020;80;80;21.26;3189;3181;41750;38270;3480;970;39.4;39.3;1796;1796
2141;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2021;87;87;21.74;3287;3278;43150;39440;3710;960;39.4;39.3;1809;1809
2142;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2022;90;90;23.24;3512;3504;46080;42140;3940;1040;39.4;39.3;1809;1809
2143;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2023;89;89;25.15;3787;3779;49540;45440;4110;1160;39.4;39.3;1803;1803
2144;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2009;166;166;16.1;2396;2381;32310;28750;3560;530;38.9;38.6;1775;1775
2145;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2010 before change of method;157;157;16.41;2430;2414;32810;29160;3640;530;38.7;38.5;1765;1765
2146;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2010 after change of method;159;159;16.41;2432;2416;32880;29180;3700;540;38.8;38.5;1766;1766
2147;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2011;158;158;16.71;2498;2484;33750;29970;3780;520;38.8;38.6;1784;1784
2148;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2012;152;152;17.32;2575;2562;34700;30900;3800;520;38.9;38.7;1774;1774
2149;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2013;147;147;17.62;2623;2606;35440;31480;3960;510;39.1;38.9;1775;1775
2150;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2014;147;147;17.69;2651;2636;35910;31810;4100;480;39.2;39.0;1788;1788
2151;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2015;148;148;18.16;2708;2692;36660;32490;4160;460;39.2;38.9;1779;1779
2152;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2016;151;151;18.29;2743;2727;37160;32910;4250;470;39.2;39.0;1788;1788
2153;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2017;152;152;18.63;2810;2792;38150;33720;4420;490;39.5;39.2;1799;1799
2154;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2018;161;161;19.01;2859;2841;38860;34310;4550;520;39.5;39.2;1793;1793
2155;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2019;164;164;19.59;2963;2944;40290;35550;4740;540;39.6;39.3;1803;1803
2156;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2020;163;163;20.4;3074;3057;41870;36890;4980;570;39.6;39.3;1798;1798
2157;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2021;172;172;20.83;3170;3150;43500;38040;5460;570;39.7;39.4;1814;1814
2158;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2022;182;182;21.97;3341;3322;46040;40100;5940;570;39.6;39.4;1815;1815
2159;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2023;182;182;23.67;3580;3560;49120;42960;6170;630;39.6;39.4;1805;1805
2160;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2009;273;273;18.17;2703;2687;37830;32440;5390;550;39.0;38.7;1775;1775
2161;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2010 before change of method;270;270;18.49;2744;2726;38410;32920;5480;520;38.9;38.6;1769;1769
2162;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2010 after change of method;269;269;18.48;2744;2726;38610;32930;5680;520;38.9;38.6;1770;1770
2163;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2011;262;262;18.9;2828;2811;39790;33930;5860;500;38.9;38.6;1785;1785
2164;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2012;263;263;19.56;2917;2899;40820;35000;5820;510;39.1;38.8;1778;1777
2165;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2013;261;261;19.93;2986;2965;42170;35830;6340;490;39.4;39.1;1785;1785
2166;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2014;262;262;20.38;3065;3043;43020;36770;6240;480;39.4;39.1;1792;1792
2167;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2015;267;267;21.05;3148;3126;44150;37780;6370;460;39.4;39.0;1782;1782
2168;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2016;284;284;21.01;3157;3133;44460;37880;6580;460;39.4;39.0;1789;1789
2169;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2017;289;289;21.18;3208;3182;45120;38500;6620;490;39.7;39.3;1803;1803
2170;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2018;313;313;21.71;3271;3242;45970;39250;6720;510;39.7;39.2;1792;1792
2171;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2019;327;327;22.29;3372;3343;47470;40460;7010;530;39.7;39.2;1800;1800
2172;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2020;325;325;23.59;3559;3531;49940;42700;7240;550;39.6;39.3;1796;1796
2173;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2021;346;346;24.12;3664;3634;51760;43970;7800;540;39.6;39.2;1808;1808
2174;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2022;374;374;25.03;3802;3773;54500;45620;8880;550;39.6;39.3;1809;1809
2175;Sex: Female;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2023;396;396;27.02;4079;4051;58180;48940;9240;600;39.6;39.2;1799;1799
2176;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2009;207;207;17.76;2450;2440;33420;29410;4010;60;36.2;36.1;1648;1648
2177;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2010 before change of method;207;207;18.58;2518;2509;34410;30220;4190;60;36.0;35.9;1620;1620
2178;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2010 after change of method;207;207;18.58;2519;2509;34440;30220;4220;60;36.0;35.9;1621;1621
2179;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2011;201;201;18.93;2596;2587;35560;31150;4410;60;36.2;36.1;1640;1640
2180;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2012;192;192;19.89;2711;2702;37130;32530;4600;60;36.2;36.1;1630;1629
2181;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2013;181;181;21.01;2842;2832;39100;34110;5000;70;36.1;36.0;1617;1617
2182;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2014;176;176;21.28;2906;2897;40130;34870;5260;60;36.2;36.1;1634;1634
2183;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2015;168;168;22.33;3035;3026;41780;36420;5360;70;36.2;36.1;1626;1626
2184;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2016;161;161;22.63;3112;3102;43160;37350;5810;80;36.4;36.3;1645;1645
2185;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2017;133;133;23.25;3311;3297;46040;39730;6310;100;37.6;37.5;1702;1702
2186;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2018;136;136;23.93;3384;3371;47050;40610;6440;120;37.5;37.4;1691;1691
2187;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2019;139;139;24.46;3479;3466;48580;41750;6830;130;37.6;37.5;1700;1700
2188;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2020;139;139;25.67;3647;3631;51250;43760;7480;140;37.6;37.5;1697;1697
