ID;PersonalCharacteristics;Periods;VeryContented_1;Contented_2;NotContentedNotDiscontented_3;Discontented_4;VeryDiscontented_5;DutchLabourParty_6;ChristianDemocraticAppeal_7;PeopleSPartyForFreedomAndDemocracy_8;Democrats1966_9;GreenLeftParty_10;PoliticalReformedPartyChristianUnion_11;SocialistParty_12;LiveableNetherlands_13;ListPimFortuyn_14;OtherPoliticalParties_15;NonVotersAbstentions_16;DoNotKnow_17;CastHisHerVote_18;DutchLabourParty_19;ChristianDemocraticAppeal_20;PeopleSPartyForFreedomAndDemocracy_21;Democrats1966_22;GreenLeftParty_23;PoliticalReformedPartyChristianUnion_24;SocialistParty_25;LiveableNetherlands_26;ListPimFortuyn_27;OtherPoliticalParties_28;Abstentions_29;DoNotKnow_30;VeryMuchInterested_31;RatherInterested_32;NotMuchInterested_33;NotInterestedAtAll_34;ActiveDebater_35;Listens_36;DoesNotListen_37;MemberOfAPoliticalParty_38;AttendsMeetingsPolParty1529Yrs_39;BondWithPolitcalParty_40;VeryStrongBond_41;RatherStrongBond_42;ModeratelyStrongBond_43;WeakVeryWeakBond_44;IsMemberOfAStudentsTradeUnion_45;EmployersOrgTradeUnion_46;NoRestrictions_47;MustBeRestricted_48;MustBeStoppedAltogether_49;NoRestrictions_50;MustBeRestricted_51;MustBeStoppedAltogether_52;NoRestrictions_53;MustBeRestricted_54;MustBeStoppedAltogether_55;MakeMuchMoreDifficult_56;MakeMoreDifficult_57;PreferCurrentSituation_58;MakeEasier_59;MakeMuchEasier_60;RetainOwnCultureCompletely_61;LargelyRetainOwnCulture_62;NotRetainOwnCultureNotConform_63;LargelyConformToDutchCulture_64;ConformCompletelyToDutchCulture_65;AgreeCompletely_66;Agree_67;DoNotAgreeDoNotDisagree_68;Disagree_69;DisagreeCompletely_70;AgreeCompletely_71;Agree_72;DoNotAgreeDoNotDisagree_73;Disagree_74;DisagreeCompletely_75;FamilyEthnicMinority_76;DutchFamily_77;ShouldNotMakeAnyDifference_78;EmployeeWithFamily_79;EmployeeWithoutFamily_80;ShouldNotMakeAnyDifference_81;AForeigner_82;ADutchman_83;ShouldNotMakeAnyDifference_84;AMan_85;AWoman_86;ShouldNotMakeAnyDifference_87;AYoungEmployee_88;AnOlderEmployee_89;ShouldNotMakeAnyDifference_90;AWhiteEmployee_91;AColouredEmployee_92;ShouldNotMakeAnyDifference_93;Annoying_94;NotAnnoying_95;DoNotKnow_96;Annoying_97;NotAnnoying_98;DoNotKnow_99;ExtremelyImportant_100;VeryImportant_101;Important_102;NotSure_103;Unimportant_104;ExtremelyImportant_105;VeryImportant_106;Important_107;NotSure_108;Unimportant_109;ExtremelyImportant_110;VeryImportant_111;Important_112;NotSure_113;Unimportant_114;ExtremelyImportant_115;VeryImportant_116;Important_117;NotSure_118;Unimportant_119;ExtremelyImportant_120;VeryImportant_121;Important_122;NotSure_123;Unimportant_124;ExtremelyImportant_125;VeryImportant_126;Important_127;NotSure_128;Unimportant_129;ExtremelyImportant_130;VeryImportant_131;Important_132;NotSure_133;Unimportant_134;ExtremelyImportant_135;VeryImportant_136;Important_137;NotSure_138;Unimportant_139;ExtremelyImportant_140;VeryImportant_141;Important_142;NotSure_143;Unimportant_144;ExtremelyImportant_145;VeryImportant_146;Important_147;NotSure_148;Unimportant_149;ExtremelyImportant_150;VeryImportant_151;Important_152;NotSure_153;Unimportant_154;ExtremelyImportant_155;VeryImportant_156;Important_157;NotSure_158;Unimportant_159;ExtremelyImportant_160;VeryImportant_161;Important_162;NotSure_163;Unimportant_164;ExtremelyImportant_165;VeryImportant_166;Important_167;NotSure_168;Unimportant_169;LargelyAgree_170;DoNotAgreeDoNotDisagree_171;DoNotAgreeAtAll_172;LargelyAgree_173;DoNotAgreeDoNotDisagree_174;DoNotAgreeAtAll_175;LargelyAgree_176;DoNotAgreeDoNotDisagree_177;DoNotAgreeAtAll_178;LargelyAgree_179;DoNotAgreeDoNotDisagree_180;DoNotAgreeAtAll_181;LargelyAgree_182;DoNotAgreeDoNotDisagree_183;DoNotAgreeAtAll_184;LargelyAgree_185;DoNotAgreeDoNotDisagree_186;DoNotAgreeAtAll_187;AdulteryEndsARelationship_188;AdulteryIsWrongButNotTheEnd_189;AdulteryShouldBePossible_190;NoOpinionDoesNotKnowRefuses_191
116;45-64 yrs;2001;1.0;36.0;43.0;17.0;3.0;23.0;15.0;18.0;4.0;7.0;3.0;3.0;;;3.0;11.0;13.0;;;;;;;;;;;;;;15.0;44.0;26.0;16.0;51.0;37.0;12.0;6.0;;64.0;13.0;44.0;37.0;6.0;;;8.0;74.0;18.0;32.0;59.0;10.0;11.0;67.0;23.0;25.0;23.0;33.0;13.0;6.0;4.0;5.0;35.0;28.0;28.0;3.0;25.0;21.0;34.0;17.0;16.0;59.0;10.0;10.0;4.0;0.0;21.0;79.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;45-64 yrs;2002;1.0;23.0;42.0;28.0;6.0;17.0;23.0;14.0;4.0;6.0;3.0;6.0;2.0;4.0;1.0;7.0;13.0;90.0;17.0;28.0;16.0;7.0;7.0;3.0;6.0;2.0;13.0;0.0;0.0;1.0;19.0;48.0;22.0;12.0;56.0;34.0;10.0;5.0;;65.0;16.0;45.0;35.0;5.0;;;7.0;75.0;17.0;31.0;59.0;10.0;9.0;67.0;25.0;22.0;25.0;35.0;11.0;7.0;1.0;5.0;33.0;31.0;29.0;2.0;22.0;20.0;38.0;18.0;15.0;57.0;13.0;11.0;5.0;0.0;19.0;81.0;;;;;;;;;;;;;;;;;;;;;;16.0;14.0;37.0;4.0;28.0;39.0;30.0;26.0;2.0;3.0;57.0;23.0;15.0;1.0;4.0;48.0;30.0;19.0;1.0;2.0;14.0;23.0;52.0;4.0;7.0;17.0;23.0;57.0;2.0;1.0;14.0;29.0;48.0;4.0;5.0;15.0;30.0;50.0;3.0;1.0;6.0;13.0;49.0;17.0;15.0;12.0;22.0;48.0;11.0;7.0;11.0;18.0;42.0;19.0;10.0;12.0;24.0;45.0;13.0;6.0;46.0;30.0;23.0;1.0;0.0;32.0;31.0;34.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;
118;45-64 yrs;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;45-64 yrs;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;65 yrs and older;1997;1.0;36.0;43.0;17.0;3.0;22.0;27.0;14.0;2.0;2.0;4.0;2.0;;;3.0;14.0;10.0;;;;;;;;;;;;;;16.0;38.0;23.0;23.0;34.0;42.0;23.0;8.0;;65.0;22.0;39.0;33.0;5.0;;;4.0;70.0;25.0;16.0;64.0;20.0;5.0;61.0;34.0;31.0;22.0;35.0;8.0;4.0;5.0;5.0;31.0;21.0;39.0;1.0;10.0;22.0;37.0;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;65 yrs and older;1998;2.0;38.0;41.0;15.0;4.0;26.0;27.0;15.0;3.0;3.0;4.0;2.0;;;2.0;12.0;7.0;84.0;31.0;32.0;18.0;5.0;2.0;4.0;3.0;;;3.0;1.0;0.0;16.0;39.0;23.0;22.0;39.0;39.0;23.0;10.0;;67.0;20.0;46.0;30.0;5.0;;;5.0;75.0;20.0;19.0;63.0;18.0;6.0;62.0;33.0;30.0;24.0;37.0;4.0;5.0;5.0;4.0;28.0;20.0;44.0;1.0;11.0;25.0;31.0;32.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;65 yrs and older;1999;1.0;31.0;43.0;20.0;5.0;22.0;27.0;15.0;2.0;4.0;4.0;2.0;;;2.0;16.0;8.0;;;;;;;;;;;;;;16.0;38.0;24.0;23.0;39.0;40.0;21.0;9.0;;67.0;23.0;39.0;33.0;5.0;;;6.0;71.0;24.0;22.0;61.0;17.0;6.0;60.0;34.0;29.0;24.0;34.0;7.0;6.0;4.0;4.0;29.0;19.0;43.0;1.0;15.0;24.0;34.0;26.0;13.0;52.0;14.0;13.0;8.0;1.0;37.0;63.0;8.0;51.0;41.0;20.0;8.0;73.0;3.0;16.0;81.0;22.0;24.0;54.0;5.0;8.0;88.0;14.0;74.0;12.0;10.0;78.0;12.0;22.0;18.0;35.0;5.0;21.0;39.0;28.0;27.0;1.0;5.0;50.0;26.0;18.0;2.0;4.0;47.0;27.0;22.0;1.0;3.0;16.0;24.0;43.0;4.0;12.0;14.0;26.0;55.0;2.0;2.0;16.0;27.0;45.0;6.0;7.0;17.0;28.0;50.0;3.0;2.0;9.0;13.0;42.0;20.0;16.0;12.0;18.0;44.0;16.0;10.0;8.0;14.0;35.0;30.0;13.0;11.0;20.0;45.0;13.0;11.0;34.0;27.0;36.0;2.0;1.0;19.0;25.0;47.0;4.0;6.0;;;;;;;;;;;;;;;;;;;;;;
123;65 yrs and older;2000;1.0;37.0;41.0;17.0;3.0;21.0;26.0;15.0;1.0;3.0;4.0;2.0;;;1.0;15.0;11.0;;;;;;;;;;;;;;14.0;36.0;26.0;24.0;38.0;40.0;22.0;6.0;;66.0;18.0;41.0;36.0;5.0;;;5.0;73.0;23.0;21.0;63.0;16.0;7.0;65.0;28.0;30.0;18.0;39.0;8.0;5.0;3.0;3.0;29.0;21.0;43.0;2.0;18.0;23.0;39.0;18.0;13.0;55.0;12.0;14.0;5.0;1.0;33.0;66.0;8.0;48.0;45.0;18.0;6.0;76.0;2.0;14.0;84.0;19.0;20.0;61.0;3.0;7.0;91.0;13.0;75.0;13.0;10.0;77.0;13.0;19.0;15.0;39.0;5.0;22.0;38.0;28.0;28.0;2.0;3.0;53.0;22.0;19.0;2.0;4.0;49.0;26.0;21.0;2.0;3.0;15.0;25.0;46.0;3.0;11.0;17.0;24.0;55.0;2.0;2.0;14.0;27.0;47.0;7.0;5.0;16.0;28.0;52.0;3.0;1.0;8.0;16.0;42.0;20.0;14.0;9.0;16.0;49.0;17.0;9.0;8.0;11.0;40.0;29.0;12.0;11.0;17.0;50.0;15.0;8.0;33.0;29.0;35.0;2.0;0.0;19.0;27.0;46.0;5.0;3.0;;;;;;;;;;;;;;;;;;;;;;
124;65 yrs and older;2001;1.0;36.0;40.0;20.0;3.0;21.0;24.0;15.0;2.0;3.0;4.0;2.0;;;3.0;15.0;11.0;;;;;;;;;;;;;;17.0;38.0;24.0;21.0;41.0;41.0;18.0;6.0;;65.0;20.0;41.0;35.0;5.0;;;4.0;73.0;23.0;23.0;62.0;15.0;6.0;63.0;30.0;26.0;24.0;38.0;5.0;6.0;3.0;5.0;29.0;23.0;41.0;2.0;20.0;19.0;40.0;19.0;13.0;57.0;10.0;15.0;5.0;1.0;33.0;67.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;65 yrs and older;2002;1.0;27.0;40.0;27.0;6.0;18.0;34.0;11.0;2.0;2.0;4.0;3.0;2.0;3.0;1.0;10.0;11.0;86.0;20.0;49.0;14.0;3.0;2.0;2.0;2.0;0.0;7.0;1.0;0.0;0.0;21.0;38.0;23.0;19.0;46.0;36.0;18.0;8.0;;65.0;23.0;44.0;29.0;4.0;;;5.0;76.0;20.0;20.0;64.0;16.0;4.0;65.0;31.0;26.0;18.0;41.0;8.0;7.0;3.0;3.0;31.0;22.0;41.0;2.0;19.0;23.0;40.0;17.0;10.0;56.0;15.0;12.0;6.0;1.0;32.0;67.0;;;;;;;;;;;;;;;;;;;;;;17.0;17.0;37.0;5.0;23.0;37.0;33.0;26.0;1.0;3.0;52.0;27.0;16.0;2.0;2.0;49.0;29.0;19.0;1.0;2.0;12.0;23.0;49.0;3.0;13.0;15.0;25.0;56.0;1.0;2.0;14.0;27.0;51.0;5.0;3.0;14.0;31.0;49.0;4.0;2.0;6.0;12.0;49.0;18.0;14.0;9.0;16.0;50.0;17.0;8.0;6.0;11.0;40.0;30.0;13.0;10.0;19.0;47.0;16.0;8.0;33.0;31.0;35.0;1.0;0.0;21.0;28.0;44.0;4.0;3.0;;;;;;;;;;;;;;;;;;;;;;
126;65 yrs and older;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;65 yrs and older;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;0-14 yrs;1997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.0;10.0;2.0;45.0
129;0-14 yrs;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;0-14 yrs;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;0-14 yrs;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;0-14 yrs;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.0;11.0;2.0;37.0
133;0-14 yrs;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;0-14 yrs;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.0;10.0;3.0;38.0
135;0-14 yrs;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;15-19 yrs;1997;1.0;36.0;55.0;7.0;1.0;15.0;8.0;15.0;8.0;7.0;3.0;2.0;;;1.0;20.0;21.0;;;;;;;;;;;;;;3.0;25.0;38.0;35.0;23.0;45.0;33.0;0.0;0.0;30.0;9.0;45.0;39.0;7.0;2.0;2.0;8.0;74.0;18.0;20.0;67.0;13.0;11.0;68.0;22.0;20.0;27.0;35.0;15.0;4.0;4.0;10.0;26.0;36.0;24.0;3.0;12.0;27.0;33.0;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69.0;15.0;3.0;13.0
137;15-19 yrs;1998;1.0;45.0;48.0;5.0;1.0;21.0;8.0;16.0;7.0;10.0;4.0;3.0;;;2.0;16.0;12.0;73.0;19.0;13.0;25.0;13.0;16.0;6.0;4.0;;;1.0;1.0;1.0;4.0;27.0;36.0;33.0;25.0;44.0;31.0;0.0;;33.0;9.0;56.0;30.0;5.0;;;11.0;76.0;12.0;17.0;71.0;12.0;10.0;73.0;17.0;17.0;28.0;30.0;16.0;9.0;3.0;6.0;35.0;39.0;17.0;5.0;19.0;23.0;33.0;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
138;15-19 yrs;1999;1.0;39.0;53.0;7.0;1.0;18.0;7.0;16.0;5.0;12.0;4.0;2.0;;;1.0;19.0;15.0;;;;;;;;;;;;;;3.0;27.0;34.0;36.0;27.0;43.0;30.0;0.0;;42.0;8.0;50.0;31.0;11.0;;;7.0;75.0;18.0;22.0;70.0;8.0;16.0;68.0;16.0;19.0;27.0;34.0;15.0;5.0;5.0;12.0;29.0;36.0;18.0;2.0;17.0;27.0;35.0;20.0;11.0;56.0;21.0;7.0;5.0;0.0;24.0;76.0;2.0;36.0;62.0;7.0;0.0;93.0;0.0;2.0;98.0;17.0;13.0;70.0;0.0;4.0;96.0;21.0;70.0;9.0;12.0;82.0;7.0;4.0;12.0;29.0;6.0;49.0;26.0;23.0;30.0;8.0;13.0;40.0;21.0;15.0;7.0;16.0;42.0;26.0;26.0;1.0;4.0;39.0;29.0;30.0;1.0;1.0;24.0;26.0;48.0;1.0;2.0;37.0;30.0;31.0;1.0;0.0;16.0;38.0;41.0;4.0;2.0;5.0;15.0;36.0;27.0;16.0;10.0;28.0;42.0;12.0;8.0;8.0;17.0;35.0;26.0;15.0;13.0;31.0;44.0;8.0;5.0;54.0;29.0;15.0;0.0;1.0;44.0;35.0;20.0;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;
139;15-19 yrs;2000;1.0;45.0;49.0;5.0;0.0;17.0;8.0;14.0;3.0;11.0;5.0;2.0;;;1.0;20.0;19.0;;;;;;;;;;;;;;2.0;24.0;35.0;38.0;25.0;44.0;32.0;1.0;;27.0;12.0;51.0;27.0;9.0;;;8.0;82.0;9.0;25.0;69.0;6.0;9.0;77.0;13.0;14.0;36.0;27.0;19.0;4.0;7.0;4.0;33.0;40.0;16.0;3.0;15.0;31.0;37.0;14.0;17.0;56.0;20.0;7.0;1.0;2.0;22.0;76.0;2.0;39.0;59.0;5.0;0.0;95.0;2.0;2.0;96.0;13.0;15.0;71.0;0.0;2.0;98.0;22.0;65.0;13.0;8.0;83.0;9.0;5.0;8.0;23.0;10.0;55.0;24.0;25.0;32.0;5.0;13.0;47.0;19.0;14.0;8.0;12.0;45.0;28.0;23.0;1.0;3.0;32.0;38.0;28.0;1.0;2.0;18.0;30.0;45.0;4.0;2.0;35.0;34.0;29.0;1.0;1.0;12.0;38.0;45.0;4.0;1.0;6.0;9.0;37.0;31.0;18.0;8.0;28.0;43.0;15.0;6.0;5.0;12.0;38.0;29.0;17.0;10.0;21.0;53.0;10.0;6.0;60.0;27.0;12.0;0.0;0.0;45.0;38.0;16.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;
140;15-19 yrs;2001;1.0;46.0;45.0;7.0;1.0;19.0;5.0;11.0;3.0;8.0;4.0;2.0;;;3.0;21.0;24.0;;;;;;;;;;;;;;3.0;25.0;36.0;36.0;28.0;44.0;27.0;0.0;1.0;28.0;9.0;43.0;43.0;5.0;3.0;2.0;8.0;77.0;15.0;21.0;72.0;7.0;12.0;75.0;13.0;22.0;36.0;21.0;17.0;3.0;2.0;7.0;30.0;40.0;20.0;3.0;19.0;27.0;32.0;19.0;17.0;57.0;15.0;8.0;3.0;1.0;19.0;79.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.0;25.0;18.0;37.0;27.0;35.0;61.0;21.0;17.0;38.0;31.0;30.0;70.0;14.0;15.0;15.0;21.0;63.0;75.0;13.0;2.0;9.0
141;15-19 yrs;2002;0.0;28.0;53.0;16.0;3.0;12.0;16.0;11.0;4.0;8.0;4.0;6.0;3.0;6.0;1.0;10.0;19.0;;;;;;;;;;;;;;7.0;33.0;35.0;26.0;35.0;44.0;21.0;1.0;;35.0;14.0;54.0;28.0;4.0;;;8.0;74.0;18.0;25.0;70.0;5.0;15.0;71.0;14.0;13.0;30.0;39.0;13.0;5.0;4.0;8.0;26.0;45.0;17.0;5.0;18.0;36.0;28.0;13.0;14.0;62.0;9.0;12.0;3.0;1.0;18.0;81.0;;;;;;;;;;;;;;;;;;;;;;3.0;9.0;21.0;15.0;53.0;26.0;31.0;23.0;6.0;14.0;42.0;15.0;14.0;10.0;18.0;35.0;35.0;23.0;1.0;7.0;35.0;39.0;24.0;2.0;0.0;23.0;33.0;43.0;1.0;0.0;36.0;38.0;26.0;1.0;0.0;12.0;34.0;46.0;3.0;4.0;3.0;14.0;39.0;27.0;18.0;12.0;19.0;46.0;15.0;7.0;3.0;21.0;34.0;24.0;18.0;12.0;29.0;38.0;15.0;6.0;61.0;28.0;10.0;1.0;0.0;48.0;34.0;17.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;
142;15-19 yrs;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.0;25.0;18.0;36.0;26.0;37.0;61.0;21.0;17.0;36.0;33.0;29.0;69.0;14.0;15.0;13.0;22.0;63.0;74.0;14.0;3.0;9.0
143;15-19 yrs;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;20-24 yrs;1997;1.0;34.0;55.0;9.0;1.0;16.0;10.0;18.0;11.0;6.0;4.0;1.0;;;1.0;18.0;15.0;;;;;;;;;;;;;;5.0;37.0;36.0;21.0;36.0;46.0;18.0;1.0;2.0;45.0;11.0;46.0;38.0;6.0;11.0;5.0;8.0;77.0;15.0;21.0;70.0;9.0;10.0;73.0;17.0;19.0;32.0;30.0;15.0;4.0;4.0;9.0;34.0;36.0;17.0;1.0;13.0;25.0;34.0;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70.0;21.0;1.0;8.0
145;20-24 yrs;1998;1.0;41.0;49.0;7.0;1.0;21.0;8.0;20.0;7.0;10.0;5.0;2.0;;;1.0;15.0;9.0;73.0;32.0;10.0;22.0;12.0;10.0;6.0;4.0;;;3.0;1.0;0.0;7.0;38.0;33.0;21.0;39.0;42.0;19.0;1.0;;50.0;15.0;44.0;37.0;4.0;;;6.0;82.0;12.0;21.0;73.0;5.0;11.0;80.0;9.0;15.0;33.0;33.0;13.0;6.0;3.0;10.0;34.0;37.0;17.0;1.0;15.0;29.0;37.0;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;20-24 yrs;1999;1.0;33.0;56.0;10.0;1.0;20.0;9.0;18.0;5.0;12.0;5.0;3.0;;;1.0;17.0;10.0;;;;;;;;;;;;;;6.0;37.0;34.0;23.0;39.0;42.0;19.0;1.0;;48.0;13.0;49.0;33.0;5.0;;;10.0;76.0;14.0;24.0;68.0;7.0;16.0;71.0;13.0;14.0;30.0;35.0;17.0;5.0;4.0;8.0;37.0;35.0;16.0;2.0;18.0;30.0;33.0;17.0;15.0;52.0;20.0;9.0;5.0;0.0;18.0;82.0;3.0;34.0;64.0;4.0;1.0;95.0;1.0;1.0;98.0;18.0;7.0;75.0;0.0;1.0;99.0;14.0;77.0;9.0;7.0;89.0;4.0;5.0;8.0;25.0;7.0;55.0;29.0;27.0;24.0;3.0;17.0;45.0;18.0;13.0;8.0;16.0;44.0;28.0;20.0;3.0;5.0;35.0;33.0;30.0;2.0;1.0;23.0;28.0;45.0;3.0;1.0;31.0;36.0;29.0;1.0;2.0;16.0;34.0;48.0;2.0;1.0;5.0;13.0;43.0;22.0;18.0;14.0;25.0;43.0;10.0;8.0;10.0;20.0;41.0;16.0;13.0;14.0;32.0;42.0;7.0;5.0;60.0;26.0;13.0;0.0;0.0;46.0;32.0;21.0;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;
