ID;Sex;Age;EthnicBackground;LevelOfEducation;FieldOfEducation;Periods;TotalPopulationAged15To65Years_1;LabourForce_2;EmployedLabourForceAged15To65Year_3;UnemployedLabourForce_4;PersonsNotIncludedInTheLabourForce_5;GrossLabourParticipation_6;NetLabourParticipation_7;PercentageUnemployed_8
7346;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;1;2003;137.0;72.0;63.0;9.0;65.0;52.3;46.1;11.9
7347;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;1;2004;173.0;94.0;80.0;14.0;79.0;54.4;46.1;15.2
7348;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;1;2005;193.0;111.0;93.0;19.0;82.0;57.5;47.9;16.7
7349;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;1;2006;183.0;101.0;85.0;16.0;82.0;55.2;46.5;15.9
7350;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;1;2007;178.0;102.0;90.0;12.0;76.0;57.4;50.7;11.6
7351;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;1;2008;141.0;85.0;77.0;8.0;56.0;60.3;54.7;9.2
7352;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;1;2009;131.0;75.0;67.0;8.0;56.0;57.4;50.9;11.2
7353;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;1;2010;140.0;77.0;67.0;10.0;63.0;54.8;48.0;12.5
7354;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;1;2011;147.0;81.0;69.0;12.0;67.0;54.8;46.6;14.9
7355;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;1;2012;149.0;86.0;73.0;13.0;63.0;57.5;48.8;15.1
7356;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;2;2001;114.0;67.0;60.0;7.0;47.0;58.8;52.9;10.1
7357;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;2;2002;126.0;69.0;60.0;8.0;57.0;54.6;48.1;12.0
7358;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;2;2003;137.0;71.0;63.0;9.0;65.0;52.2;46.0;11.9
7359;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;2;2004;173.0;94.0;80.0;14.0;79.0;54.4;46.1;15.3
7360;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;2;2005;193.0;111.0;93.0;19.0;82.0;57.5;47.9;16.7
7361;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;2;2006;183.0;101.0;85.0;16.0;82.0;55.2;46.5;15.9
7362;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;2;2007;178.0;102.0;90.0;12.0;76.0;57.4;50.7;11.6
7363;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;2;2008;141.0;85.0;77.0;8.0;56.0;60.3;54.7;9.2
7364;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;2;2009;131.0;75.0;67.0;8.0;56.0;57.4;50.9;11.2
7365;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;2;2010;140.0;77.0;67.0;10.0;63.0;54.8;48.0;12.5
7366;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;2;2011;147.0;81.0;69.0;12.0;67.0;54.8;46.6;14.9
7367;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;2;2012;;;;;;;;
7368;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;3;2001;;;;;;;;
7369;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;3;2002;;;;;;;;
7370;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;3;2003;;;;;;;;
7371;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;3;2004;;;;;;;;
7372;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;3;2005;;;;;;;;
7373;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;3;2006;;;;;;;;
7374;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;3;2007;;;;;;;;
7375;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;3;2008;;;;;;;;
7376;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;3;2009;;;;;;;;
7377;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;3;2010;;;;;;;;
7378;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;3;2011;;;;;;;;
7379;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;3;2012;;;;;;;;
7380;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;4;2001;;;;;;;;
7381;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;4;2002;;;;;;;;
7382;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;4;2003;;;;;;;;
7383;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;4;2004;;;;;;;;
7384;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;4;2005;;;;;;;;
7385;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;4;2006;;;;;;;;
7386;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;4;2007;;;;;;;;
7387;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;4;2008;;;;;;;;
7388;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;4;2009;;;;;;;;
7389;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;4;2010;;;;;;;;
7390;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;4;2011;;;;;;;;
7391;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;4;2012;;;;;;;;
7392;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;5;2001;;;;;;;;
7393;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;5;2002;;;;;;;;
7394;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;5;2003;;;;;;;;
7395;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;5;2004;;;;;;;;
7396;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;5;2005;;;;;;;;
7397;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;5;2006;;;;;;;;
7398;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;5;2007;;;;;;;;
7399;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;5;2008;;;;;;;;
7400;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;5;2009;;;;;;;;
7401;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;5;2010;;;;;;;;
7402;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;5;2011;;;;;;;;
7403;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;5;2012;;;;;;;;
7404;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;6;2001;;;;;;;;
7405;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;6;2002;;;;;;;;
7406;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;6;2003;;;;;;;;
7407;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;6;2004;;;;;;;;
7408;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;6;2005;;;;;;;;
7409;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;6;2006;;;;;;;;
7410;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;6;2007;;;;;;;;
7411;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;6;2008;;;;;;;;
7412;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;6;2009;;;;;;;;
7413;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;6;2010;;;;;;;;
7414;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;6;2011;;;;;;;;
7415;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;6;2012;;;;;;;;
7416;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;7;2001;;;;;;;;
7417;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;7;2002;;;;;;;;
7418;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;7;2003;;;;;;;;
7419;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;7;2004;;;;;;;;
7420;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;7;2005;;;;;;;;
7421;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;7;2006;;;;;;;;
7422;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;7;2007;;;;;;;;
7423;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;7;2008;;;;;;;;
7424;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;7;2009;;;;;;;;
7425;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;7;2010;;;;;;;;
7426;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;7;2011;;;;;;;;
7427;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;7;2012;;;;;;;;
7428;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;8;2001;;;;;;;;
7429;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;8;2002;;;;;;;;
7430;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;8;2003;;;;;;;;
7431;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;8;2004;;;;;;;;
7432;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;8;2005;;;;;;;;
7433;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;8;2006;;;;;;;;
7434;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;8;2007;;;;;;;;
7435;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;8;2008;;;;;;;;
7436;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;8;2009;;;;;;;;
7437;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;8;2010;;;;;;;;
7438;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;8;2011;;;;;;;;
7439;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;8;2012;;;;;;;;
7440;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;9;2001;;;;;;;;
7441;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;9;2002;;;;;;;;
7442;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;9;2003;;;;;;;;
7443;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;9;2004;;;;;;;;
7444;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;9;2005;;;;;;;;
7445;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;9;2006;;;;;;;;
7446;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;9;2007;;;;;;;;
7447;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;9;2008;;;;;;;;
7448;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;9;2009;;;;;;;;
7449;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;9;2010;;;;;;;;
7450;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;9;2011;;;;;;;;
7451;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;9;2012;;;;;;;;
7452;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Health and welfare;2001;;;;;;;;
7453;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Health and welfare;2002;;;;;;;;
7454;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Health and welfare;2003;;;;;;;;
7455;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Health and welfare;2004;;;;;;;;
7456;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Health and welfare;2005;;;;;;;;
7457;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Health and welfare;2006;;;;;;;;
7458;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Health and welfare;2007;;;;;;;;
7459;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Health and welfare;2008;;;;;;;;
7460;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Health and welfare;2009;;;;;;;;
7461;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Health and welfare;2010;;;;;;;;
7462;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Health and welfare;2011;;;;;;;;
7463;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Health and welfare;2012;;;;;;;;
7464;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Personal, transport services, logistics;2001;;;;;;;;
7465;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Personal, transport services, logistics;2002;;;;;;;;
7466;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Personal, transport services, logistics;2003;;;;;;;;
7467;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Personal, transport services, logistics;2004;;;;;;;;
7468;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Personal, transport services, logistics;2005;;;;;;;;
7469;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Personal, transport services, logistics;2006;;;;;;;;
7470;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Personal, transport services, logistics;2007;;;;;;;;
7471;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Personal, transport services, logistics;2008;;;;;;;;
7472;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Personal, transport services, logistics;2009;;;;;;;;
7473;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Personal, transport services, logistics;2010;;;;;;;;
7474;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Personal, transport services, logistics;2011;;;;;;;;
7475;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Personal, transport services, logistics;2012;;;;;;;;
7476;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Unknown field of education;2001;;;;;;;;
7477;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Unknown field of education;2002;;;;;;;;
7478;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Unknown field of education;2003;;;;;;;;
7479;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Unknown field of education;2004;;;;;;;;
7480;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Unknown field of education;2005;;;;;;;;
7481;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Unknown field of education;2006;;;;;;;;
7482;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Unknown field of education;2007;;;;;;;;
7483;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Unknown field of education;2008;;;;;;;;
7484;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Unknown field of education;2009;;;;;;;;
7485;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Unknown field of education;2010;;;;;;;;
7486;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Unknown field of education;2011;;;;;;;;
7487;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Havo, vwo;Unknown field of education;2012;;;;;;;;
7488;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;1;2001;92.0;73.0;69.0;5.0;19.0;79.7;74.7;6.3
7489;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;1;2002;96.0;72.0;68.0;5.0;23.0;75.8;70.6;6.7
7490;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;1;2003;100.0;73.0;64.0;9.0;27.0;73.2;64.3;12.2
7491;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;1;2004;93.0;72.0;65.0;7.0;21.0;77.2;69.4;10.2
7492;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;1;2005;83.0;70.0;65.0;4.0;14.0;83.5;78.4;6.2
7493;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;1;2006;76.0;64.0;61.0;3.0;12.0;84.3;80.1;5.0
7494;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;1;2007;87.0;70.0;66.0;4.0;17.0;80.8;76.3;5.6
7495;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;1;2008;112.0;89.0;85.0;4.0;23.0;79.1;75.7;4.3
7496;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;1;2009;130.0;103.0;96.0;8.0;26.0;79.9;73.9;7.5
7497;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;1;2010;141.0;114.0;104.0;9.0;28.0;80.4;73.7;8.3
7498;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;1;2011;158.0;126.0;116.0;10.0;33.0;79.3;73.1;7.9
7499;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;1;2012;160.0;129.0;115.0;14.0;31.0;80.8;71.8;11.2
7500;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;2;2001;;;;;;;;
7501;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;2;2002;;;;;;;;
7502;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;2;2003;;;;;;;;
7503;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;2;2004;;;;;;;;
7504;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;2;2005;;;;;;;;
7505;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;2;2006;;;;;;;;
7506;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;2;2007;;;;;;;;
7507;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;2;2008;;;;;;;;
7508;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;2;2009;;;;;;;;
7509;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;2;2010;;;;;;;;
7510;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;2;2011;;;;;;;;
7511;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;2;2012;;;;;;;;
7512;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;3;2001;17.0;11.0;11.0;;6.0;64.8;63.0;
7513;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;3;2002;22.0;14.0;14.0;;7.0;66.4;62.7;
7514;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;3;2003;23.0;15.0;14.0;;8.0;66.0;61.7;
7515;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;3;2004;22.0;17.0;16.0;;5.0;76.7;71.4;
7516;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;3;2005;15.0;12.0;11.0;;4.0;75.4;69.9;
7517;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;3;2006;;;;;;;;
7518;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;3;2007;17.0;13.0;13.0;;3.0;80.2;78.0;
7519;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;3;2008;23.0;17.0;16.0;;6.0;73.9;69.9;
7520;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;3;2009;26.0;18.0;16.0;;8.0;69.3;63.7;
7521;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;3;2010;25.0;18.0;16.0;2.0;8.0;70.4;63.2;10.2
7522;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;3;2011;28.0;21.0;18.0;2.0;8.0;72.8;65.0;10.7
7523;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;3;2012;;;;;;;;
7524;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;4;2001;;;;;;;;
7525;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;4;2002;;;;;;;;
7526;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;4;2003;;;;;;;;
7527;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;4;2004;;;;;;;;
7528;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;4;2005;;;;;;;;
7529;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;4;2006;;;;;;;;
7530;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;4;2007;;;;;;;;
7531;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;4;2008;;;;;;;;
7532;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;4;2009;16.0;13.0;11.0;2.0;4.0;77.2;65.8;14.8
7533;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;4;2010;18.0;13.0;12.0;;5.0;72.7;65.1;
7534;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;4;2011;23.0;17.0;15.0;2.0;6.0;75.5;67.6;10.6
7535;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;4;2012;;;;;;;;
7536;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;5;2001;21.0;19.0;18.0;;2.0;89.5;86.4;
7537;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;5;2002;20.0;16.0;15.0;;4.0;78.7;72.6;
7538;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;5;2003;18.0;14.0;11.0;3.0;4.0;76.2;60.1;21.1
7539;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;5;2004;21.0;15.0;13.0;2.0;5.0;74.1;64.0;13.6
7540;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;5;2005;21.0;18.0;17.0;;3.0;86.7;80.6;
7541;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;5;2006;22.0;19.0;18.0;;3.0;87.3;83.1;
7542;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;5;2007;24.0;20.0;19.0;;4.0;82.0;78.6;
7543;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;5;2008;29.0;23.0;22.0;;6.0;79.5;76.5;
7544;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;5;2009;30.0;26.0;24.0;;4.0;85.7;80.9;
7545;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;5;2010;35.0;31.0;28.0;3.0;5.0;86.5;78.6;9.2
7546;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;5;2011;39.0;34.0;32.0;2.0;6.0;85.0;79.8;6.1
7547;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;5;2012;;;;;;;;
7548;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;6;2001;;;;;;;;
7549;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;6;2002;;;;;;;;
7550;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;6;2003;;;;;;;;
7551;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;6;2004;;;;;;;;
7552;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;6;2005;;;;;;;;
7553;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;6;2006;;;;;;;;
7554;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;6;2007;;;;;;;;
7555;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;6;2008;;;;;;;;
7556;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;6;2009;;;;;;;;
7557;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;6;2010;;;;;;;;
7558;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;6;2011;;;;;;;;
7559;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;6;2012;;;;;;;;
7560;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;7;2001;;;;;;;;
7561;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;7;2002;;;;;;;;
7562;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;7;2003;;;;;;;;
7563;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;7;2004;;;;;;;;
7564;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;7;2005;;;;;;;;
7565;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;7;2006;;;;;;;;
7566;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;7;2007;;;;;;;;
7567;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;7;2008;;;;;;;;
7568;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;7;2009;;;;;;;;
7569;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;7;2010;;;;;;;;
7570;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;7;2011;;;;;;;;
7571;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;7;2012;;;;;;;;
7572;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;8;2001;;;;;;;;
7573;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;8;2002;;;;;;;;
7574;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;8;2003;;;;;;;;
7575;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;8;2004;;;;;;;;
