ID;Functions;Financing;Periods;HealthAndSocialCareExpenditure_1
3118;HCR12: Long-term soc. care cash benefits;HF121a: Long-term care insurance;2016;1038.0
3119;HCR12: Long-term soc. care cash benefits;HF121a: Long-term care insurance;2017;1254.0
3120;HCR12: Long-term soc. care cash benefits;HF121a: Long-term care insurance;2018;1342.0
3121;HCR12: Long-term soc. care cash benefits;HF121a: Long-term care insurance;2019;1498.0
3122;HCR12: Long-term soc. care cash benefits;HF121a: Long-term care insurance;2020;1683.0
3123;HCR12: Long-term soc. care cash benefits;HF121a: Long-term care insurance;2021;1886.0
3124;HCR12: Long-term soc. care cash benefits;HF121a: Long-term care insurance;2022;2021.0
3125;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;1998;0.0
3126;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;1999;0.0
3127;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;2000;0.0
3128;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;2001;0.0
3129;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;2002;0.0
3130;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;2003;0.0
3131;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;2004;0.0
3132;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;2005;0.0
3133;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;2006;
3134;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;2007;
3135;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;2008;
3136;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;2009;
3137;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;2010;
3138;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;2011;
3139;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;2012;
3140;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;2013;
3141;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;2014;
3142;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;2015;
3143;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;2016;
3144;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;2017;
3145;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;2018;
3146;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;2019;
3147;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;2020;
3148;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;2021;
3149;HCR12: Long-term soc. care cash benefits;HF121b: Health Insurance Fund;2022;
3150;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;1998;
3151;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;1999;
3152;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;2000;
3153;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;2001;
3154;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;2002;
3155;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;2003;
3156;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;2004;
3157;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;2005;
3158;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;2006;0.0
3159;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;2007;0.0
3160;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;2008;0.0
3161;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;2009;0.0
3162;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;2010;0.0
3163;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;2011;0.0
3164;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;2012;0.0
3165;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;2013;0.0
3166;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;2014;0.0
3167;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;2015;145.0
3168;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;2016;165.0
3169;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;2017;183.0
3170;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;2018;195.0
3171;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;2019;201.0
3172;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;2020;182.0
3173;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;2021;158.0
3174;HCR12: Long-term soc. care cash benefits;HF122: Compulsory private insurance;2022;139.0
3175;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);1998;0.0
3176;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);1999;0.0
3177;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);2000;0.0
3178;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);2001;0.0
3179;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);2002;0.0
3180;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);2003;0.0
3181;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);2004;0.0
3182;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);2005;0.0
3183;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);2006;0.0
3184;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);2007;0.0
3185;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);2008;0.0
3186;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);2009;0.0
3187;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);2010;0.0
3188;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);2011;0.0
3189;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);2012;0.0
3190;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);2013;0.0
3191;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);2014;0.0
3192;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);2015;60.0
3193;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);2016;56.0
3194;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);2017;47.0
3195;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);2018;24.0
3196;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);2019;10.0
3197;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);2020;17.0
3198;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);2021;19.0
3199;HCR12: Long-term soc. care cash benefits;Voluntary schemes (incl. OOP);2022;20.0
3200;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;1998;0.0
3201;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;1999;0.0
3202;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;2000;0.0
3203;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;2001;0.0
3204;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;2002;0.0
3205;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;2003;0.0
3206;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;2004;0.0
3207;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;2005;0.0
3208;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;2006;0.0
3209;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;2007;0.0
3210;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;2008;0.0
3211;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;2009;0.0
3212;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;2010;0.0
3213;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;2011;0.0
3214;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;2012;0.0
3215;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;2013;0.0
3216;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;2014;0.0
3217;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;2015;0.0
3218;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;2016;0.0
3219;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;2017;0.0
3220;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;2018;0.0
3221;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;2019;0.0
3222;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;2020;0.0
3223;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;2021;0.0
3224;HCR12: Long-term soc. care cash benefits;HF2: Voluntary schemes;2022;0.0
3225;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;1998;0.0
3226;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;1999;0.0
3227;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;2000;0.0
3228;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;2001;0.0
3229;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;2002;0.0
3230;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;2003;0.0
3231;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;2004;0.0
3232;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;2005;0.0
3233;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;2006;0.0
3234;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;2007;0.0
3235;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;2008;0.0
3236;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;2009;0.0
3237;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;2010;0.0
3238;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;2011;0.0
3239;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;2012;0.0
3240;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;2013;0.0
3241;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;2014;0.0
3242;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;2015;0.0
3243;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;2016;0.0
3244;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;2017;0.0
3245;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;2018;0.0
3246;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;2019;0.0
3247;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;2020;0.0
3248;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;2021;0.0
3249;HCR12: Long-term soc. care cash benefits;HF21: Voluntary health insurance schemes;2022;0.0
3250;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;1998;0.0
3251;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;1999;0.0
3252;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;2000;0.0
3253;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;2001;0.0
3254;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;2002;0.0
3255;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;2003;0.0
3256;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;2004;0.0
3257;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;2005;0.0
3258;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;2006;0.0
3259;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;2007;0.0
3260;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;2008;0.0
3261;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;2009;0.0
3262;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;2010;0.0
3263;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;2011;0.0
3264;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;2012;0.0
3265;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;2013;0.0
3266;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;2014;0.0
3267;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;2015;0.0
3268;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;2016;0.0
3269;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;2017;0.0
3270;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;2018;0.0
3271;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;2019;0.0
3272;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;2020;0.0
3273;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;2021;0.0
3274;HCR12: Long-term soc. care cash benefits;HF22: Financing schemes NPISH;2022;0.0
3275;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;1998;0.0
3276;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;1999;0.0
3277;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;2000;0.0
3278;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;2001;0.0
3279;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;2002;0.0
3280;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;2003;0.0
3281;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;2004;0.0
3282;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;2005;0.0
3283;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;2006;0.0
3284;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;2007;0.0
3285;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;2008;0.0
3286;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;2009;0.0
3287;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;2010;0.0
3288;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;2011;0.0
3289;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;2012;0.0
3290;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;2013;0.0
3291;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;2014;0.0
3292;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;2015;0.0
3293;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;2016;0.0
3294;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;2017;0.0
3295;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;2018;0.0
3296;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;2019;0.0
3297;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;2020;0.0
3298;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;2021;0.0
3299;HCR12: Long-term soc. care cash benefits;HF23: Enterprise financing schemes;2022;0.0
3300;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;1998;0.0
3301;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;1999;0.0
3302;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;2000;0.0
3303;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;2001;0.0
3304;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;2002;0.0
3305;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;2003;0.0
3306;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;2004;0.0
3307;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;2005;0.0
3308;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;2006;0.0
3309;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;2007;0.0
3310;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;2008;0.0
3311;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;2009;0.0
3312;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;2010;0.0
3313;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;2011;0.0
3314;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;2012;0.0
3315;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;2013;0.0
3316;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;2014;0.0
3317;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;2015;60.0
3318;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;2016;56.0
3319;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;2017;47.0
3320;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;2018;24.0
3321;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;2019;10.0
3322;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;2020;17.0
3323;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;2021;19.0
3324;HCR12: Long-term soc. care cash benefits;HF3: Household out-of-pocket payments;2022;20.0
3325;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;1998;0.0
3326;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;1999;0.0
3327;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2000;0.0
3328;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2001;0.0
3329;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2002;0.0
3330;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2003;0.0
3331;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2004;0.0
3332;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2005;0.0
3333;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2006;0.0
3334;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2007;0.0
3335;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2008;0.0
3336;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2009;0.0
3337;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2010;0.0
3338;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2011;0.0
3339;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2012;0.0
3340;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2013;0.0
3341;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2014;0.0
3342;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2015;0.0
3343;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2016;0.0
3344;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2017;0.0
3345;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2018;0.0
3346;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2019;0.0
3347;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2020;0.0
3348;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2021;0.0
3349;HCR12: Long-term soc. care cash benefits;HF31: Out-of-pocket excl cost sharing;2022;0.0
3350;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;1998;0.0
3351;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;1999;0.0
3352;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2000;0.0
3353;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2001;0.0
3354;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2002;0.0
3355;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2003;0.0
3356;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2004;0.0
3357;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2005;0.0
3358;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2006;0.0
3359;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2007;0.0
3360;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2008;0.0
3361;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2009;0.0
3362;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2010;0.0
3363;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2011;0.0
3364;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2012;0.0
3365;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2013;0.0
3366;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2014;0.0
3367;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2015;60.0
3368;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2016;56.0
3369;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2017;47.0
3370;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2018;24.0
3371;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2019;10.0
3372;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2020;17.0
3373;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2021;19.0
3374;HCR12: Long-term soc. care cash benefits;HF32: Cost sharing;2022;20.0
3375;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";1998;0.0
3376;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";1999;0.0
3377;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2000;0.0
3378;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2001;0.0
3379;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2002;0.0
3380;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2003;0.0
3381;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2004;0.0
3382;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2005;0.0
3383;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2006;0.0
3384;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2007;0.0
3385;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2008;0.0
3386;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2009;0.0
3387;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2010;0.0
3388;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2011;0.0
3389;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2012;0.0
3390;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2013;0.0
3391;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2014;0.0
3392;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2015;0.0
3393;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2016;0.0
3394;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2017;0.0
3395;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2018;0.0
3396;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2019;0.0
3397;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2020;0.0
3398;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2021;0.0
3399;HCR12: Long-term soc. care cash benefits;"Rest of the world; exports";2022;0.0
3400;HCR2: Health promotion multi-sector;Total financ schemes health,social care;1998;109.0
3401;HCR2: Health promotion multi-sector;Total financ schemes health,social care;1999;129.0
3402;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2000;142.0
3403;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2001;185.0
3404;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2002;244.0
3405;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2003;207.0
3406;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2004;192.0
3407;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2005;194.0
3408;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2006;169.0
3409;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2007;170.0
3410;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2008;177.0
3411;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2009;186.0
3412;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2010;285.0
3413;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2011;268.0
3414;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2012;256.0
3415;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2013;261.0
3416;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2014;307.0
3417;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2015;314.0
3418;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2016;333.0
3419;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2017;340.0
3420;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2018;352.0
3421;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2019;342.0
3422;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2020;370.0
3423;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2021;448.0
3424;HCR2: Health promotion multi-sector;Total financ schemes health,social care;2022;469.0
3425;HCR2: Health promotion multi-sector;Total financing of residents;1998;109.0
3426;HCR2: Health promotion multi-sector;Total financing of residents;1999;129.0
3427;HCR2: Health promotion multi-sector;Total financing of residents;2000;142.0
3428;HCR2: Health promotion multi-sector;Total financing of residents;2001;185.0
3429;HCR2: Health promotion multi-sector;Total financing of residents;2002;244.0
3430;HCR2: Health promotion multi-sector;Total financing of residents;2003;207.0
3431;HCR2: Health promotion multi-sector;Total financing of residents;2004;192.0
3432;HCR2: Health promotion multi-sector;Total financing of residents;2005;194.0
3433;HCR2: Health promotion multi-sector;Total financing of residents;2006;169.0
3434;HCR2: Health promotion multi-sector;Total financing of residents;2007;170.0
3435;HCR2: Health promotion multi-sector;Total financing of residents;2008;177.0
3436;HCR2: Health promotion multi-sector;Total financing of residents;2009;186.0
3437;HCR2: Health promotion multi-sector;Total financing of residents;2010;285.0
3438;HCR2: Health promotion multi-sector;Total financing of residents;2011;268.0
3439;HCR2: Health promotion multi-sector;Total financing of residents;2012;256.0
3440;HCR2: Health promotion multi-sector;Total financing of residents;2013;261.0
3441;HCR2: Health promotion multi-sector;Total financing of residents;2014;307.0
3442;HCR2: Health promotion multi-sector;Total financing of residents;2015;314.0
3443;HCR2: Health promotion multi-sector;Total financing of residents;2016;333.0
3444;HCR2: Health promotion multi-sector;Total financing of residents;2017;340.0
3445;HCR2: Health promotion multi-sector;Total financing of residents;2018;352.0
