ID;Transactions;FunctionsOfGeneralGovernment;InstitutionalSectors;Periods;GovernmentExpenditureAndConsumption_1
7754;Total government expenditure;6.4 Street lighting;Other central government;2006;0.0
7755;Total government expenditure;6.4 Street lighting;Other central government;2007;0.0
7756;Total government expenditure;6.4 Street lighting;Other central government;2008;0.0
7757;Total government expenditure;6.4 Street lighting;Other central government;2009;0.0
7758;Total government expenditure;6.4 Street lighting;Other central government;2010;0.0
7759;Total government expenditure;6.4 Street lighting;Other central government;2011;0.0
7760;Total government expenditure;6.4 Street lighting;Other central government;2012;0.0
7761;Total government expenditure;6.4 Street lighting;Other central government;2013;0.0
7762;Total government expenditure;6.4 Street lighting;Other central government;2014;0.0
7763;Total government expenditure;6.4 Street lighting;Other central government;2015;0.0
7764;Total government expenditure;6.4 Street lighting;Other central government;2016;0.0
7765;Total government expenditure;6.4 Street lighting;Other central government;2017;0.0
7766;Total government expenditure;6.4 Street lighting;Other central government;2018;0.0
7767;Total government expenditure;6.4 Street lighting;Other central government;2019;0.0
7768;Total government expenditure;6.4 Street lighting;Other central government;2020;0.0
7769;Total government expenditure;6.4 Street lighting;Other central government;2021;0.0
7770;Total government expenditure;6.4 Street lighting;Other central government;2022;0.0
7771;Total government expenditure;6.4 Street lighting;Other central government;2023;0.0
7772;Total government expenditure;6.4 Street lighting;Local government;1995;56.0
7773;Total government expenditure;6.4 Street lighting;Local government;1996;55.0
7774;Total government expenditure;6.4 Street lighting;Local government;1997;56.0
7775;Total government expenditure;6.4 Street lighting;Local government;1998;59.0
7776;Total government expenditure;6.4 Street lighting;Local government;1999;62.0
7777;Total government expenditure;6.4 Street lighting;Local government;2000;67.0
7778;Total government expenditure;6.4 Street lighting;Local government;2001;70.0
7779;Total government expenditure;6.4 Street lighting;Local government;2002;72.0
7780;Total government expenditure;6.4 Street lighting;Local government;2003;80.0
7781;Total government expenditure;6.4 Street lighting;Local government;2004;78.0
7782;Total government expenditure;6.4 Street lighting;Local government;2005;75.0
7783;Total government expenditure;6.4 Street lighting;Local government;2006;86.0
7784;Total government expenditure;6.4 Street lighting;Local government;2007;90.0
7785;Total government expenditure;6.4 Street lighting;Local government;2008;101.0
7786;Total government expenditure;6.4 Street lighting;Local government;2009;112.0
7787;Total government expenditure;6.4 Street lighting;Local government;2010;115.0
7788;Total government expenditure;6.4 Street lighting;Local government;2011;114.0
7789;Total government expenditure;6.4 Street lighting;Local government;2012;106.0
7790;Total government expenditure;6.4 Street lighting;Local government;2013;108.0
7791;Total government expenditure;6.4 Street lighting;Local government;2014;122.0
7792;Total government expenditure;6.4 Street lighting;Local government;2015;131.0
7793;Total government expenditure;6.4 Street lighting;Local government;2016;149.0
7794;Total government expenditure;6.4 Street lighting;Local government;2017;149.0
7795;Total government expenditure;6.4 Street lighting;Local government;2018;155.0
7796;Total government expenditure;6.4 Street lighting;Local government;2019;159.0
7797;Total government expenditure;6.4 Street lighting;Local government;2020;170.0
7798;Total government expenditure;6.4 Street lighting;Local government;2021;187.0
7799;Total government expenditure;6.4 Street lighting;Local government;2022;208.0
7800;Total government expenditure;6.4 Street lighting;Local government;2023;237.0
7801;Total government expenditure;6.4 Street lighting;Social security funds;1995;0.0
7802;Total government expenditure;6.4 Street lighting;Social security funds;1996;0.0
7803;Total government expenditure;6.4 Street lighting;Social security funds;1997;0.0
7804;Total government expenditure;6.4 Street lighting;Social security funds;1998;0.0
7805;Total government expenditure;6.4 Street lighting;Social security funds;1999;0.0
7806;Total government expenditure;6.4 Street lighting;Social security funds;2000;0.0
7807;Total government expenditure;6.4 Street lighting;Social security funds;2001;0.0
7808;Total government expenditure;6.4 Street lighting;Social security funds;2002;0.0
7809;Total government expenditure;6.4 Street lighting;Social security funds;2003;0.0
7810;Total government expenditure;6.4 Street lighting;Social security funds;2004;0.0
7811;Total government expenditure;6.4 Street lighting;Social security funds;2005;0.0
7812;Total government expenditure;6.4 Street lighting;Social security funds;2006;0.0
7813;Total government expenditure;6.4 Street lighting;Social security funds;2007;0.0
7814;Total government expenditure;6.4 Street lighting;Social security funds;2008;0.0
7815;Total government expenditure;6.4 Street lighting;Social security funds;2009;0.0
7816;Total government expenditure;6.4 Street lighting;Social security funds;2010;0.0
7817;Total government expenditure;6.4 Street lighting;Social security funds;2011;0.0
7818;Total government expenditure;6.4 Street lighting;Social security funds;2012;0.0
7819;Total government expenditure;6.4 Street lighting;Social security funds;2013;0.0
7820;Total government expenditure;6.4 Street lighting;Social security funds;2014;0.0
7821;Total government expenditure;6.4 Street lighting;Social security funds;2015;0.0
7822;Total government expenditure;6.4 Street lighting;Social security funds;2016;0.0
7823;Total government expenditure;6.4 Street lighting;Social security funds;2017;0.0
7824;Total government expenditure;6.4 Street lighting;Social security funds;2018;0.0
7825;Total government expenditure;6.4 Street lighting;Social security funds;2019;0.0
7826;Total government expenditure;6.4 Street lighting;Social security funds;2020;0.0
7827;Total government expenditure;6.4 Street lighting;Social security funds;2021;0.0
7828;Total government expenditure;6.4 Street lighting;Social security funds;2022;0.0
7829;Total government expenditure;6.4 Street lighting;Social security funds;2023;0.0
7830;Total government expenditure;6.5 R&D Housing and community amenities;General government;1995;120.0
7831;Total government expenditure;6.5 R&D Housing and community amenities;General government;1996;120.0
7832;Total government expenditure;6.5 R&D Housing and community amenities;General government;1997;133.0
7833;Total government expenditure;6.5 R&D Housing and community amenities;General government;1998;162.0
7834;Total government expenditure;6.5 R&D Housing and community amenities;General government;1999;169.0
7835;Total government expenditure;6.5 R&D Housing and community amenities;General government;2000;187.0
7836;Total government expenditure;6.5 R&D Housing and community amenities;General government;2001;225.0
7837;Total government expenditure;6.5 R&D Housing and community amenities;General government;2002;213.0
7838;Total government expenditure;6.5 R&D Housing and community amenities;General government;2003;201.0
7839;Total government expenditure;6.5 R&D Housing and community amenities;General government;2004;222.0
7840;Total government expenditure;6.5 R&D Housing and community amenities;General government;2005;163.0
7841;Total government expenditure;6.5 R&D Housing and community amenities;General government;2006;230.0
7842;Total government expenditure;6.5 R&D Housing and community amenities;General government;2007;227.0
7843;Total government expenditure;6.5 R&D Housing and community amenities;General government;2008;221.0
7844;Total government expenditure;6.5 R&D Housing and community amenities;General government;2009;229.0
7845;Total government expenditure;6.5 R&D Housing and community amenities;General government;2010;198.0
7846;Total government expenditure;6.5 R&D Housing and community amenities;General government;2011;236.0
7847;Total government expenditure;6.5 R&D Housing and community amenities;General government;2012;191.0
7848;Total government expenditure;6.5 R&D Housing and community amenities;General government;2013;201.0
7849;Total government expenditure;6.5 R&D Housing and community amenities;General government;2014;197.0
7850;Total government expenditure;6.5 R&D Housing and community amenities;General government;2015;209.0
7851;Total government expenditure;6.5 R&D Housing and community amenities;General government;2016;211.0
7852;Total government expenditure;6.5 R&D Housing and community amenities;General government;2017;215.0
7853;Total government expenditure;6.5 R&D Housing and community amenities;General government;2018;233.0
7854;Total government expenditure;6.5 R&D Housing and community amenities;General government;2019;253.0
7855;Total government expenditure;6.5 R&D Housing and community amenities;General government;2020;274.0
7856;Total government expenditure;6.5 R&D Housing and community amenities;General government;2021;295.0
7857;Total government expenditure;6.5 R&D Housing and community amenities;General government;2022;298.0
7858;Total government expenditure;6.5 R&D Housing and community amenities;General government;2023;315.0
7859;Total government expenditure;6.5 R&D Housing and community amenities;Central government;1995;119.0
7860;Total government expenditure;6.5 R&D Housing and community amenities;Central government;1996;119.0
7861;Total government expenditure;6.5 R&D Housing and community amenities;Central government;1997;132.0
7862;Total government expenditure;6.5 R&D Housing and community amenities;Central government;1998;160.0
7863;Total government expenditure;6.5 R&D Housing and community amenities;Central government;1999;167.0
7864;Total government expenditure;6.5 R&D Housing and community amenities;Central government;2000;185.0
7865;Total government expenditure;6.5 R&D Housing and community amenities;Central government;2001;222.0
7866;Total government expenditure;6.5 R&D Housing and community amenities;Central government;2002;210.0
7867;Total government expenditure;6.5 R&D Housing and community amenities;Central government;2003;198.0
7868;Total government expenditure;6.5 R&D Housing and community amenities;Central government;2004;219.0
7869;Total government expenditure;6.5 R&D Housing and community amenities;Central government;2005;160.0
7870;Total government expenditure;6.5 R&D Housing and community amenities;Central government;2006;227.0
7871;Total government expenditure;6.5 R&D Housing and community amenities;Central government;2007;224.0
7872;Total government expenditure;6.5 R&D Housing and community amenities;Central government;2008;218.0
7873;Total government expenditure;6.5 R&D Housing and community amenities;Central government;2009;226.0
7874;Total government expenditure;6.5 R&D Housing and community amenities;Central government;2010;194.0
7875;Total government expenditure;6.5 R&D Housing and community amenities;Central government;2011;233.0
7876;Total government expenditure;6.5 R&D Housing and community amenities;Central government;2012;186.0
7877;Total government expenditure;6.5 R&D Housing and community amenities;Central government;2013;197.0
7878;Total government expenditure;6.5 R&D Housing and community amenities;Central government;2014;193.0
7879;Total government expenditure;6.5 R&D Housing and community amenities;Central government;2015;197.0
7880;Total government expenditure;6.5 R&D Housing and community amenities;Central government;2016;193.0
7881;Total government expenditure;6.5 R&D Housing and community amenities;Central government;2017;195.0
7882;Total government expenditure;6.5 R&D Housing and community amenities;Central government;2018;213.0
7883;Total government expenditure;6.5 R&D Housing and community amenities;Central government;2019;235.0
7884;Total government expenditure;6.5 R&D Housing and community amenities;Central government;2020;255.0
7885;Total government expenditure;6.5 R&D Housing and community amenities;Central government;2021;267.0
7886;Total government expenditure;6.5 R&D Housing and community amenities;Central government;2022;270.0
7887;Total government expenditure;6.5 R&D Housing and community amenities;Central government;2023;284.0
7888;Total government expenditure;6.5 R&D Housing and community amenities;The State;1995;48.0
7889;Total government expenditure;6.5 R&D Housing and community amenities;The State;1996;48.0
7890;Total government expenditure;6.5 R&D Housing and community amenities;The State;1997;49.0
7891;Total government expenditure;6.5 R&D Housing and community amenities;The State;1998;58.0
7892;Total government expenditure;6.5 R&D Housing and community amenities;The State;1999;64.0
7893;Total government expenditure;6.5 R&D Housing and community amenities;The State;2000;66.0
7894;Total government expenditure;6.5 R&D Housing and community amenities;The State;2001;84.0
7895;Total government expenditure;6.5 R&D Housing and community amenities;The State;2002;35.0
7896;Total government expenditure;6.5 R&D Housing and community amenities;The State;2003;24.0
7897;Total government expenditure;6.5 R&D Housing and community amenities;The State;2004;21.0
7898;Total government expenditure;6.5 R&D Housing and community amenities;The State;2005;23.0
7899;Total government expenditure;6.5 R&D Housing and community amenities;The State;2006;24.0
7900;Total government expenditure;6.5 R&D Housing and community amenities;The State;2007;25.0
7901;Total government expenditure;6.5 R&D Housing and community amenities;The State;2008;25.0
7902;Total government expenditure;6.5 R&D Housing and community amenities;The State;2009;22.0
7903;Total government expenditure;6.5 R&D Housing and community amenities;The State;2010;27.0
7904;Total government expenditure;6.5 R&D Housing and community amenities;The State;2011;35.0
7905;Total government expenditure;6.5 R&D Housing and community amenities;The State;2012;13.0
7906;Total government expenditure;6.5 R&D Housing and community amenities;The State;2013;15.0
7907;Total government expenditure;6.5 R&D Housing and community amenities;The State;2014;2.0
7908;Total government expenditure;6.5 R&D Housing and community amenities;The State;2015;1.0
7909;Total government expenditure;6.5 R&D Housing and community amenities;The State;2016;1.0
7910;Total government expenditure;6.5 R&D Housing and community amenities;The State;2017;1.0
7911;Total government expenditure;6.5 R&D Housing and community amenities;The State;2018;2.0
7912;Total government expenditure;6.5 R&D Housing and community amenities;The State;2019;0.0
7913;Total government expenditure;6.5 R&D Housing and community amenities;The State;2020;0.0
7914;Total government expenditure;6.5 R&D Housing and community amenities;The State;2021;0.0
7915;Total government expenditure;6.5 R&D Housing and community amenities;The State;2022;0.0
7916;Total government expenditure;6.5 R&D Housing and community amenities;The State;2023;0.0
7917;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;1995;71.0
7918;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;1996;71.0
7919;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;1997;83.0
7920;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;1998;102.0
7921;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;1999;103.0
7922;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;2000;119.0
7923;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;2001;138.0
7924;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;2002;175.0
7925;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;2003;174.0
7926;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;2004;203.0
7927;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;2005;141.0
7928;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;2006;207.0
7929;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;2007;202.0
7930;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;2008;196.0
7931;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;2009;206.0
7932;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;2010;170.0
7933;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;2011;202.0
7934;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;2012;177.0
7935;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;2013;186.0
7936;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;2014;191.0
7937;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;2015;196.0
7938;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;2016;192.0
7939;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;2017;194.0
7940;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;2018;211.0
7941;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;2019;235.0
7942;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;2020;255.0
7943;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;2021;267.0
7944;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;2022;270.0
7945;Total government expenditure;6.5 R&D Housing and community amenities;Other central government;2023;284.0
7946;Total government expenditure;6.5 R&D Housing and community amenities;Local government;1995;1.0
7947;Total government expenditure;6.5 R&D Housing and community amenities;Local government;1996;1.0
7948;Total government expenditure;6.5 R&D Housing and community amenities;Local government;1997;1.0
7949;Total government expenditure;6.5 R&D Housing and community amenities;Local government;1998;2.0
7950;Total government expenditure;6.5 R&D Housing and community amenities;Local government;1999;2.0
7951;Total government expenditure;6.5 R&D Housing and community amenities;Local government;2000;2.0
7952;Total government expenditure;6.5 R&D Housing and community amenities;Local government;2001;3.0
7953;Total government expenditure;6.5 R&D Housing and community amenities;Local government;2002;3.0
7954;Total government expenditure;6.5 R&D Housing and community amenities;Local government;2003;3.0
7955;Total government expenditure;6.5 R&D Housing and community amenities;Local government;2004;3.0
7956;Total government expenditure;6.5 R&D Housing and community amenities;Local government;2005;4.0
7957;Total government expenditure;6.5 R&D Housing and community amenities;Local government;2006;3.0
7958;Total government expenditure;6.5 R&D Housing and community amenities;Local government;2007;3.0
7959;Total government expenditure;6.5 R&D Housing and community amenities;Local government;2008;4.0
7960;Total government expenditure;6.5 R&D Housing and community amenities;Local government;2009;4.0
7961;Total government expenditure;6.5 R&D Housing and community amenities;Local government;2010;6.0
7962;Total government expenditure;6.5 R&D Housing and community amenities;Local government;2011;3.0
7963;Total government expenditure;6.5 R&D Housing and community amenities;Local government;2012;5.0
7964;Total government expenditure;6.5 R&D Housing and community amenities;Local government;2013;4.0
7965;Total government expenditure;6.5 R&D Housing and community amenities;Local government;2014;4.0
7966;Total government expenditure;6.5 R&D Housing and community amenities;Local government;2015;12.0
7967;Total government expenditure;6.5 R&D Housing and community amenities;Local government;2016;18.0
7968;Total government expenditure;6.5 R&D Housing and community amenities;Local government;2017;20.0
7969;Total government expenditure;6.5 R&D Housing and community amenities;Local government;2018;20.0
7970;Total government expenditure;6.5 R&D Housing and community amenities;Local government;2019;18.0
7971;Total government expenditure;6.5 R&D Housing and community amenities;Local government;2020;19.0
7972;Total government expenditure;6.5 R&D Housing and community amenities;Local government;2021;28.0
7973;Total government expenditure;6.5 R&D Housing and community amenities;Local government;2022;28.0
7974;Total government expenditure;6.5 R&D Housing and community amenities;Local government;2023;31.0
7975;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;1995;0.0
7976;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;1996;0.0
7977;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;1997;0.0
7978;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;1998;0.0
7979;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;1999;0.0
7980;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;2000;0.0
7981;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;2001;0.0
7982;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;2002;0.0
7983;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;2003;0.0
7984;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;2004;0.0
7985;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;2005;0.0
7986;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;2006;0.0
7987;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;2007;0.0
7988;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;2008;0.0
7989;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;2009;0.0
7990;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;2010;0.0
7991;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;2011;0.0
7992;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;2012;0.0
7993;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;2013;0.0
7994;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;2014;0.0
7995;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;2015;0.0
7996;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;2016;0.0
7997;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;2017;0.0
7998;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;2018;0.0
7999;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;2019;0.0
8000;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;2020;0.0
8001;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;2021;0.0
8002;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;2022;0.0
8003;Total government expenditure;6.5 R&D Housing and community amenities;Social security funds;2023;0.0
8004;Total government expenditure;6.6 Housing and community amenities n...;General government;1995;379.0
8005;Total government expenditure;6.6 Housing and community amenities n...;General government;1996;296.0
8006;Total government expenditure;6.6 Housing and community amenities n...;General government;1997;314.0
8007;Total government expenditure;6.6 Housing and community amenities n...;General government;1998;353.0
8008;Total government expenditure;6.6 Housing and community amenities n...;General government;1999;288.0
8009;Total government expenditure;6.6 Housing and community amenities n...;General government;2000;291.0
8010;Total government expenditure;6.6 Housing and community amenities n...;General government;2001;290.0
8011;Total government expenditure;6.6 Housing and community amenities n...;General government;2002;211.0
8012;Total government expenditure;6.6 Housing and community amenities n...;General government;2003;187.0
8013;Total government expenditure;6.6 Housing and community amenities n...;General government;2004;166.0
8014;Total government expenditure;6.6 Housing and community amenities n...;General government;2005;181.0
8015;Total government expenditure;6.6 Housing and community amenities n...;General government;2006;211.0
8016;Total government expenditure;6.6 Housing and community amenities n...;General government;2007;203.0
8017;Total government expenditure;6.6 Housing and community amenities n...;General government;2008;230.0
8018;Total government expenditure;6.6 Housing and community amenities n...;General government;2009;238.0
8019;Total government expenditure;6.6 Housing and community amenities n...;General government;2010;206.0
8020;Total government expenditure;6.6 Housing and community amenities n...;General government;2011;135.0
8021;Total government expenditure;6.6 Housing and community amenities n...;General government;2012;143.0
8022;Total government expenditure;6.6 Housing and community amenities n...;General government;2013;108.0
8023;Total government expenditure;6.6 Housing and community amenities n...;General government;2014;78.0
8024;Total government expenditure;6.6 Housing and community amenities n...;General government;2015;79.0
8025;Total government expenditure;6.6 Housing and community amenities n...;General government;2016;86.0
8026;Total government expenditure;6.6 Housing and community amenities n...;General government;2017;87.0
8027;Total government expenditure;6.6 Housing and community amenities n...;General government;2018;63.0
8028;Total government expenditure;6.6 Housing and community amenities n...;General government;2019;77.0
8029;Total government expenditure;6.6 Housing and community amenities n...;General government;2020;70.0
8030;Total government expenditure;6.6 Housing and community amenities n...;General government;2021;72.0
8031;Total government expenditure;6.6 Housing and community amenities n...;General government;2022;63.0
8032;Total government expenditure;6.6 Housing and community amenities n...;General government;2023;70.0
8033;Total government expenditure;6.6 Housing and community amenities n...;Central government;1995;73.0
8034;Total government expenditure;6.6 Housing and community amenities n...;Central government;1996;78.0
8035;Total government expenditure;6.6 Housing and community amenities n...;Central government;1997;82.0
8036;Total government expenditure;6.6 Housing and community amenities n...;Central government;1998;112.0
8037;Total government expenditure;6.6 Housing and community amenities n...;Central government;1999;110.0
8038;Total government expenditure;6.6 Housing and community amenities n...;Central government;2000;121.0
8039;Total government expenditure;6.6 Housing and community amenities n...;Central government;2001;158.0
8040;Total government expenditure;6.6 Housing and community amenities n...;Central government;2002;137.0
8041;Total government expenditure;6.6 Housing and community amenities n...;Central government;2003;142.0
8042;Total government expenditure;6.6 Housing and community amenities n...;Central government;2004;146.0
8043;Total government expenditure;6.6 Housing and community amenities n...;Central government;2005;175.0
8044;Total government expenditure;6.6 Housing and community amenities n...;Central government;2006;211.0
8045;Total government expenditure;6.6 Housing and community amenities n...;Central government;2007;202.0
8046;Total government expenditure;6.6 Housing and community amenities n...;Central government;2008;229.0
8047;Total government expenditure;6.6 Housing and community amenities n...;Central government;2009;234.0
8048;Total government expenditure;6.6 Housing and community amenities n...;Central government;2010;203.0
8049;Total government expenditure;6.6 Housing and community amenities n...;Central government;2011;134.0
8050;Total government expenditure;6.6 Housing and community amenities n...;Central government;2012;140.0
8051;Total government expenditure;6.6 Housing and community amenities n...;Central government;2013;106.0
8052;Total government expenditure;6.6 Housing and community amenities n...;Central government;2014;73.0
8053;Total government expenditure;6.6 Housing and community amenities n...;Central government;2015;79.0
8054;Total government expenditure;6.6 Housing and community amenities n...;Central government;2016;86.0
8055;Total government expenditure;6.6 Housing and community amenities n...;Central government;2017;88.0
8056;Total government expenditure;6.6 Housing and community amenities n...;Central government;2018;63.0
8057;Total government expenditure;6.6 Housing and community amenities n...;Central government;2019;77.0
8058;Total government expenditure;6.6 Housing and community amenities n...;Central government;2020;70.0
8059;Total government expenditure;6.6 Housing and community amenities n...;Central government;2021;72.0
8060;Total government expenditure;6.6 Housing and community amenities n...;Central government;2022;63.0
8061;Total government expenditure;6.6 Housing and community amenities n...;Central government;2023;70.0
8062;Total government expenditure;6.6 Housing and community amenities n...;The State;1995;73.0
8063;Total government expenditure;6.6 Housing and community amenities n...;The State;1996;78.0
8064;Total government expenditure;6.6 Housing and community amenities n...;The State;1997;82.0
8065;Total government expenditure;6.6 Housing and community amenities n...;The State;1998;112.0
8066;Total government expenditure;6.6 Housing and community amenities n...;The State;1999;110.0
8067;Total government expenditure;6.6 Housing and community amenities n...;The State;2000;121.0
8068;Total government expenditure;6.6 Housing and community amenities n...;The State;2001;158.0
8069;Total government expenditure;6.6 Housing and community amenities n...;The State;2002;137.0
8070;Total government expenditure;6.6 Housing and community amenities n...;The State;2003;142.0
8071;Total government expenditure;6.6 Housing and community amenities n...;The State;2004;151.0
8072;Total government expenditure;6.6 Housing and community amenities n...;The State;2005;175.0
8073;Total government expenditure;6.6 Housing and community amenities n...;The State;2006;211.0
8074;Total government expenditure;6.6 Housing and community amenities n...;The State;2007;202.0
8075;Total government expenditure;6.6 Housing and community amenities n...;The State;2008;229.0
8076;Total government expenditure;6.6 Housing and community amenities n...;The State;2009;234.0
8077;Total government expenditure;6.6 Housing and community amenities n...;The State;2010;203.0
8078;Total government expenditure;6.6 Housing and community amenities n...;The State;2011;134.0
8079;Total government expenditure;6.6 Housing and community amenities n...;The State;2012;140.0
8080;Total government expenditure;6.6 Housing and community amenities n...;The State;2013;106.0
8081;Total government expenditure;6.6 Housing and community amenities n...;The State;2014;73.0
8082;Total government expenditure;6.6 Housing and community amenities n...;The State;2015;79.0
8083;Total government expenditure;6.6 Housing and community amenities n...;The State;2016;86.0
8084;Total government expenditure;6.6 Housing and community amenities n...;The State;2017;88.0
8085;Total government expenditure;6.6 Housing and community amenities n...;The State;2018;63.0
8086;Total government expenditure;6.6 Housing and community amenities n...;The State;2019;77.0
8087;Total government expenditure;6.6 Housing and community amenities n...;The State;2020;70.0
8088;Total government expenditure;6.6 Housing and community amenities n...;The State;2021;58.0
8089;Total government expenditure;6.6 Housing and community amenities n...;The State;2022;66.0
8090;Total government expenditure;6.6 Housing and community amenities n...;The State;2023;74.0
8091;Total government expenditure;6.6 Housing and community amenities n...;Other central government;1995;0.0
8092;Total government expenditure;6.6 Housing and community amenities n...;Other central government;1996;0.0
8093;Total government expenditure;6.6 Housing and community amenities n...;Other central government;1997;0.0
8094;Total government expenditure;6.6 Housing and community amenities n...;Other central government;1998;0.0
8095;Total government expenditure;6.6 Housing and community amenities n...;Other central government;1999;0.0
8096;Total government expenditure;6.6 Housing and community amenities n...;Other central government;2000;0.0
8097;Total government expenditure;6.6 Housing and community amenities n...;Other central government;2001;0.0
8098;Total government expenditure;6.6 Housing and community amenities n...;Other central government;2002;0.0
8099;Total government expenditure;6.6 Housing and community amenities n...;Other central government;2003;0.0
8100;Total government expenditure;6.6 Housing and community amenities n...;Other central government;2004;0.0
8101;Total government expenditure;6.6 Housing and community amenities n...;Other central government;2005;0.0
8102;Total government expenditure;6.6 Housing and community amenities n...;Other central government;2006;0.0
8103;Total government expenditure;6.6 Housing and community amenities n...;Other central government;2007;0.0
8104;Total government expenditure;6.6 Housing and community amenities n...;Other central government;2008;0.0
8105;Total government expenditure;6.6 Housing and community amenities n...;Other central government;2009;0.0
8106;Total government expenditure;6.6 Housing and community amenities n...;Other central government;2010;0.0
8107;Total government expenditure;6.6 Housing and community amenities n...;Other central government;2011;0.0
8108;Total government expenditure;6.6 Housing and community amenities n...;Other central government;2012;0.0
8109;Total government expenditure;6.6 Housing and community amenities n...;Other central government;2013;0.0
8110;Total government expenditure;6.6 Housing and community amenities n...;Other central government;2014;0.0
8111;Total government expenditure;6.6 Housing and community amenities n...;Other central government;2015;0.0
8112;Total government expenditure;6.6 Housing and community amenities n...;Other central government;2016;0.0
8113;Total government expenditure;6.6 Housing and community amenities n...;Other central government;2017;0.0
8114;Total government expenditure;6.6 Housing and community amenities n...;Other central government;2018;0.0
8115;Total government expenditure;6.6 Housing and community amenities n...;Other central government;2019;0.0
8116;Total government expenditure;6.6 Housing and community amenities n...;Other central government;2020;0.0
8117;Total government expenditure;6.6 Housing and community amenities n...;Other central government;2021;14.0
8118;Total government expenditure;6.6 Housing and community amenities n...;Other central government;2022;-3.0
8119;Total government expenditure;6.6 Housing and community amenities n...;Other central government;2023;-4.0
8120;Total government expenditure;6.6 Housing and community amenities n...;Local government;1995;306.0
8121;Total government expenditure;6.6 Housing and community amenities n...;Local government;1996;218.0
8122;Total government expenditure;6.6 Housing and community amenities n...;Local government;1997;232.0
8123;Total government expenditure;6.6 Housing and community amenities n...;Local government;1998;241.0
8124;Total government expenditure;6.6 Housing and community amenities n...;Local government;1999;178.0
8125;Total government expenditure;6.6 Housing and community amenities n...;Local government;2000;170.0
8126;Total government expenditure;6.6 Housing and community amenities n...;Local government;2001;132.0
8127;Total government expenditure;6.6 Housing and community amenities n...;Local government;2002;74.0
8128;Total government expenditure;6.6 Housing and community amenities n...;Local government;2003;50.0
8129;Total government expenditure;6.6 Housing and community amenities n...;Local government;2004;21.0
8130;Total government expenditure;6.6 Housing and community amenities n...;Local government;2005;8.0
8131;Total government expenditure;6.6 Housing and community amenities n...;Local government;2006;4.0
8132;Total government expenditure;6.6 Housing and community amenities n...;Local government;2007;4.0
8133;Total government expenditure;6.6 Housing and community amenities n...;Local government;2008;5.0
