ID;CountryOfUltimateControllingInstance;CharacteristicsOfCompanies;EducationLevelOfEducation;CharacteristicsOfJobsAndEmployees;Periods;EmployeeJobs_1
8189;Total domestic and foreign;O-Q Government and care;100 Lower education;Nationality: Polish;2013;0.0
8190;Total domestic and foreign;O-Q Government and care;100 Lower education;Nationality: Polish;2014;0.0
8191;Total domestic and foreign;O-Q Government and care;100 Lower education;Nationality: Polish;2015;
8192;Total domestic and foreign;O-Q Government and care;100 Lower education;Nationality: Indian;2008;
8193;Total domestic and foreign;O-Q Government and care;100 Lower education;Nationality: Indian;2009;
8194;Total domestic and foreign;O-Q Government and care;100 Lower education;Nationality: Indian;2010;
8195;Total domestic and foreign;O-Q Government and care;100 Lower education;Nationality: Indian;2011;
8196;Total domestic and foreign;O-Q Government and care;100 Lower education;Nationality: Indian;2012;
8197;Total domestic and foreign;O-Q Government and care;100 Lower education;Nationality: Indian;2013;
8198;Total domestic and foreign;O-Q Government and care;100 Lower education;Nationality: Indian;2014;
8199;Total domestic and foreign;O-Q Government and care;100 Lower education;Nationality: Indian;2015;
8200;Total domestic and foreign;O-Q Government and care;100 Lower education;Nationality: other;2008;6.0
8201;Total domestic and foreign;O-Q Government and care;100 Lower education;Nationality: other;2009;6.0
8202;Total domestic and foreign;O-Q Government and care;100 Lower education;Nationality: other;2010;7.0
8203;Total domestic and foreign;O-Q Government and care;100 Lower education;Nationality: other;2011;6.0
8204;Total domestic and foreign;O-Q Government and care;100 Lower education;Nationality: other;2012;6.0
8205;Total domestic and foreign;O-Q Government and care;100 Lower education;Nationality: other;2013;5.0
8206;Total domestic and foreign;O-Q Government and care;100 Lower education;Nationality: other;2014;5.0
8207;Total domestic and foreign;O-Q Government and care;100 Lower education;Nationality: other;2015;
8208;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Total ;2008;961.0
8209;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Total ;2009;994.0
8210;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Total ;2010;1032.0
8211;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Total ;2011;1051.0
8212;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Total ;2012;1043.0
8213;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Total ;2013;1029.0
8214;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Total ;2014;1013.0
8215;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Total ;2015;
8216;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Type of contract: specified time;2008;198.0
8217;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Type of contract: specified time;2009;221.0
8218;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Type of contract: specified time;2010;236.0
8219;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Type of contract: specified time;2011;239.0
8220;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Type of contract: specified time;2012;239.0
8221;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Type of contract: specified time;2013;234.0
8222;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Type of contract: specified time;2014;235.0
8223;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Type of contract: specified time;2015;
8224;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Type of contract: unspecified time;2008;762.0
8225;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Type of contract: unspecified time;2009;769.0
8226;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Type of contract: unspecified time;2010;793.0
8227;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Type of contract: unspecified time;2011;809.0
8228;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Type of contract: unspecified time;2012;801.0
8229;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Type of contract: unspecified time;2013;793.0
8230;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Type of contract: unspecified time;2014;776.0
8231;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Type of contract: unspecified time;2015;
8232;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Type of contract: other;2008;2.0
8233;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Type of contract: other;2009;2.0
8234;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Type of contract: other;2010;2.0
8235;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Type of contract: other;2011;2.0
8236;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Type of contract: other;2012;2.0
8237;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Type of contract: other;2013;2.0
8238;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Type of contract: other;2014;2.0
8239;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Type of contract: other;2015;
8240;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Sex: Male;2008;267.0
8241;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Sex: Male;2009;273.0
8242;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Sex: Male;2010;279.0
8243;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Sex: Male;2011;281.0
8244;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Sex: Male;2012;275.0
8245;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Sex: Male;2013;273.0
8246;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Sex: Male;2014;273.0
8247;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Sex: Male;2015;
8248;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Sex: Female;2008;695.0
8249;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Sex: Female;2009;721.0
8250;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Sex: Female;2010;753.0
8251;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Sex: Female;2011;770.0
8252;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Sex: Female;2012;768.0
8253;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Sex: Female;2013;756.0
8254;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Sex: Female;2014;740.0
8255;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Sex: Female;2015;
8256;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Age: 15 to 34 years;2008;302.0
8257;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Age: 15 to 34 years;2009;317.0
8258;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Age: 15 to 34 years;2010;331.0
8259;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Age: 15 to 34 years;2011;338.0
8260;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Age: 15 to 34 years;2012;332.0
8261;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Age: 15 to 34 years;2013;321.0
8262;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Age: 15 to 34 years;2014;313.0
8263;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Age: 15 to 34 years;2015;
8264;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Age: 35 to 54 years;2008;537.0
8265;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Age: 35 to 54 years;2009;541.0
8266;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Age: 35 to 54 years;2010;548.0
8267;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Age: 35 to 54 years;2011;546.0
8268;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Age: 35 to 54 years;2012;530.0
8269;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Age: 35 to 54 years;2013;512.0
8270;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Age: 35 to 54 years;2014;492.0
8271;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Age: 35 to 54 years;2015;
8272;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Age: 55 years or older;2008;121.0
8273;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Age: 55 years or older;2009;136.0
8274;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Age: 55 years or older;2010;153.0
8275;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Age: 55 years or older;2011;167.0
8276;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Age: 55 years or older;2012;181.0
8277;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Age: 55 years or older;2013;196.0
8278;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Age: 55 years or older;2014;208.0
8279;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Age: 55 years or older;2015;
8280;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Wage: low (among lowest 30 percent);2008;206.0
8281;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Wage: low (among lowest 30 percent);2009;217.0
8282;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Wage: low (among lowest 30 percent);2010;224.0
8283;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Wage: low (among lowest 30 percent);2011;230.0
8284;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Wage: low (among lowest 30 percent);2012;228.0
8285;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Wage: low (among lowest 30 percent);2013;216.0
8286;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Wage: low (among lowest 30 percent);2014;202.0
8287;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Wage: low (among lowest 30 percent);2015;
8288;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Wage: middle;2008;670.0
8289;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Wage: middle;2009;692.0
8290;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Wage: middle;2010;719.0
8291;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Wage: middle;2011;737.0
8292;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Wage: middle;2012;736.0
8293;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Wage: middle;2013;738.0
8294;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Wage: middle;2014;733.0
8295;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Wage: middle;2015;
8296;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Wage: high (among highest 20 percent);2008;85.0
8297;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Wage: high (among highest 20 percent);2009;85.0
8298;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Wage: high (among highest 20 percent);2010;90.0
8299;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Wage: high (among highest 20 percent);2011;83.0
8300;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Wage: high (among highest 20 percent);2012;78.0
8301;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Wage: high (among highest 20 percent);2013;75.0
8302;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Wage: high (among highest 20 percent);2014;78.0
8303;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Wage: high (among highest 20 percent);2015;
8304;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Dutch;2008;946.0
8305;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Dutch;2009;978.0
8306;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Dutch;2010;1015.0
8307;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Dutch;2011;1033.0
8308;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Dutch;2012;1025.0
8309;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Dutch;2013;1011.0
8310;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Dutch;2014;996.0
8311;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Dutch;2015;
8312;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Belgian;2008;2.0
8313;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Belgian;2009;2.0
8314;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Belgian;2010;2.0
8315;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Belgian;2011;2.0
8316;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Belgian;2012;2.0
8317;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Belgian;2013;2.0
8318;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Belgian;2014;2.0
8319;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Belgian;2015;
8320;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: British;2008;
8321;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: British;2009;1.0
8322;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: British;2010;1.0
8323;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: British;2011;1.0
8324;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: British;2012;1.0
8325;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: British;2013;1.0
8326;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: British;2014;1.0
8327;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: British;2015;
8328;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: German;2008;3.0
8329;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: German;2009;3.0
8330;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: German;2010;3.0
8331;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: German;2011;3.0
8332;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: German;2012;3.0
8333;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: German;2013;3.0
8334;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: German;2014;3.0
8335;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: German;2015;
8336;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Polish;2008;
8337;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Polish;2009;
8338;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Polish;2010;
8339;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Polish;2011;
8340;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Polish;2012;
8341;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Polish;2013;1.0
8342;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Polish;2014;1.0
8343;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Polish;2015;
8344;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Indian;2008;
8345;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Indian;2009;
8346;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Indian;2010;
8347;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Indian;2011;
8348;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Indian;2012;
8349;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Indian;2013;
8350;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Indian;2014;
8351;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: Indian;2015;
8352;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: other;2008;8.0
8353;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: other;2009;9.0
8354;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: other;2010;9.0
8355;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: other;2011;9.0
8356;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: other;2012;9.0
8357;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: other;2013;9.0
8358;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: other;2014;9.0
8359;Total domestic and foreign;O-Q Government and care;200 Intermediate education;Nationality: other;2015;
8360;Total domestic and foreign;O-Q Government and care;300 Higher education;Total ;2008;930.0
8361;Total domestic and foreign;O-Q Government and care;300 Higher education;Total ;2009;959.0
8362;Total domestic and foreign;O-Q Government and care;300 Higher education;Total ;2010;982.0
8363;Total domestic and foreign;O-Q Government and care;300 Higher education;Total ;2011;1002.0
8364;Total domestic and foreign;O-Q Government and care;300 Higher education;Total ;2012;1009.0
8365;Total domestic and foreign;O-Q Government and care;300 Higher education;Total ;2013;1013.0
8366;Total domestic and foreign;O-Q Government and care;300 Higher education;Total ;2014;1019.0
8367;Total domestic and foreign;O-Q Government and care;300 Higher education;Total ;2015;
8368;Total domestic and foreign;O-Q Government and care;300 Higher education;Type of contract: specified time;2008;173.0
8369;Total domestic and foreign;O-Q Government and care;300 Higher education;Type of contract: specified time;2009;186.0
8370;Total domestic and foreign;O-Q Government and care;300 Higher education;Type of contract: specified time;2010;190.0
8371;Total domestic and foreign;O-Q Government and care;300 Higher education;Type of contract: specified time;2011;193.0
8372;Total domestic and foreign;O-Q Government and care;300 Higher education;Type of contract: specified time;2012;198.0
8373;Total domestic and foreign;O-Q Government and care;300 Higher education;Type of contract: specified time;2013;205.0
8374;Total domestic and foreign;O-Q Government and care;300 Higher education;Type of contract: specified time;2014;217.0
8375;Total domestic and foreign;O-Q Government and care;300 Higher education;Type of contract: specified time;2015;
8376;Total domestic and foreign;O-Q Government and care;300 Higher education;Type of contract: unspecified time;2008;751.0
8377;Total domestic and foreign;O-Q Government and care;300 Higher education;Type of contract: unspecified time;2009;765.0
8378;Total domestic and foreign;O-Q Government and care;300 Higher education;Type of contract: unspecified time;2010;785.0
8379;Total domestic and foreign;O-Q Government and care;300 Higher education;Type of contract: unspecified time;2011;802.0
8380;Total domestic and foreign;O-Q Government and care;300 Higher education;Type of contract: unspecified time;2012;803.0
8381;Total domestic and foreign;O-Q Government and care;300 Higher education;Type of contract: unspecified time;2013;800.0
8382;Total domestic and foreign;O-Q Government and care;300 Higher education;Type of contract: unspecified time;2014;794.0
8383;Total domestic and foreign;O-Q Government and care;300 Higher education;Type of contract: unspecified time;2015;
8384;Total domestic and foreign;O-Q Government and care;300 Higher education;Type of contract: other;2008;7.0
8385;Total domestic and foreign;O-Q Government and care;300 Higher education;Type of contract: other;2009;7.0
8386;Total domestic and foreign;O-Q Government and care;300 Higher education;Type of contract: other;2010;7.0
8387;Total domestic and foreign;O-Q Government and care;300 Higher education;Type of contract: other;2011;8.0
8388;Total domestic and foreign;O-Q Government and care;300 Higher education;Type of contract: other;2012;8.0
8389;Total domestic and foreign;O-Q Government and care;300 Higher education;Type of contract: other;2013;8.0
8390;Total domestic and foreign;O-Q Government and care;300 Higher education;Type of contract: other;2014;8.0
8391;Total domestic and foreign;O-Q Government and care;300 Higher education;Type of contract: other;2015;
8392;Total domestic and foreign;O-Q Government and care;300 Higher education;Sex: Male;2008;351.0
8393;Total domestic and foreign;O-Q Government and care;300 Higher education;Sex: Male;2009;357.0
8394;Total domestic and foreign;O-Q Government and care;300 Higher education;Sex: Male;2010;358.0
8395;Total domestic and foreign;O-Q Government and care;300 Higher education;Sex: Male;2011;360.0
8396;Total domestic and foreign;O-Q Government and care;300 Higher education;Sex: Male;2012;355.0
8397;Total domestic and foreign;O-Q Government and care;300 Higher education;Sex: Male;2013;352.0
8398;Total domestic and foreign;O-Q Government and care;300 Higher education;Sex: Male;2014;350.0
8399;Total domestic and foreign;O-Q Government and care;300 Higher education;Sex: Male;2015;
8400;Total domestic and foreign;O-Q Government and care;300 Higher education;Sex: Female;2008;579.0
8401;Total domestic and foreign;O-Q Government and care;300 Higher education;Sex: Female;2009;603.0
8402;Total domestic and foreign;O-Q Government and care;300 Higher education;Sex: Female;2010;624.0
8403;Total domestic and foreign;O-Q Government and care;300 Higher education;Sex: Female;2011;643.0
8404;Total domestic and foreign;O-Q Government and care;300 Higher education;Sex: Female;2012;654.0
8405;Total domestic and foreign;O-Q Government and care;300 Higher education;Sex: Female;2013;661.0
8406;Total domestic and foreign;O-Q Government and care;300 Higher education;Sex: Female;2014;669.0
8407;Total domestic and foreign;O-Q Government and care;300 Higher education;Sex: Female;2015;
8408;Total domestic and foreign;O-Q Government and care;300 Higher education;Age: 15 to 34 years;2008;278.0
8409;Total domestic and foreign;O-Q Government and care;300 Higher education;Age: 15 to 34 years;2009;289.0
8410;Total domestic and foreign;O-Q Government and care;300 Higher education;Age: 15 to 34 years;2010;299.0
8411;Total domestic and foreign;O-Q Government and care;300 Higher education;Age: 15 to 34 years;2011;304.0
8412;Total domestic and foreign;O-Q Government and care;300 Higher education;Age: 15 to 34 years;2012;304.0
8413;Total domestic and foreign;O-Q Government and care;300 Higher education;Age: 15 to 34 years;2013;300.0
8414;Total domestic and foreign;O-Q Government and care;300 Higher education;Age: 15 to 34 years;2014;298.0
8415;Total domestic and foreign;O-Q Government and care;300 Higher education;Age: 15 to 34 years;2015;
8416;Total domestic and foreign;O-Q Government and care;300 Higher education;Age: 35 to 54 years;2008;493.0
8417;Total domestic and foreign;O-Q Government and care;300 Higher education;Age: 35 to 54 years;2009;497.0
8418;Total domestic and foreign;O-Q Government and care;300 Higher education;Age: 35 to 54 years;2010;499.0
8419;Total domestic and foreign;O-Q Government and care;300 Higher education;Age: 35 to 54 years;2011;501.0
8420;Total domestic and foreign;O-Q Government and care;300 Higher education;Age: 35 to 54 years;2012;500.0
8421;Total domestic and foreign;O-Q Government and care;300 Higher education;Age: 35 to 54 years;2013;498.0
8422;Total domestic and foreign;O-Q Government and care;300 Higher education;Age: 35 to 54 years;2014;498.0
8423;Total domestic and foreign;O-Q Government and care;300 Higher education;Age: 35 to 54 years;2015;
8424;Total domestic and foreign;O-Q Government and care;300 Higher education;Age: 55 years or older;2008;159.0
8425;Total domestic and foreign;O-Q Government and care;300 Higher education;Age: 55 years or older;2009;173.0
8426;Total domestic and foreign;O-Q Government and care;300 Higher education;Age: 55 years or older;2010;185.0
8427;Total domestic and foreign;O-Q Government and care;300 Higher education;Age: 55 years or older;2011;198.0
8428;Total domestic and foreign;O-Q Government and care;300 Higher education;Age: 55 years or older;2012;205.0
8429;Total domestic and foreign;O-Q Government and care;300 Higher education;Age: 55 years or older;2013;215.0
8430;Total domestic and foreign;O-Q Government and care;300 Higher education;Age: 55 years or older;2014;223.0
8431;Total domestic and foreign;O-Q Government and care;300 Higher education;Age: 55 years or older;2015;
8432;Total domestic and foreign;O-Q Government and care;300 Higher education;Wage: low (among lowest 30 percent);2008;44.0
8433;Total domestic and foreign;O-Q Government and care;300 Higher education;Wage: low (among lowest 30 percent);2009;47.0
8434;Total domestic and foreign;O-Q Government and care;300 Higher education;Wage: low (among lowest 30 percent);2010;47.0
8435;Total domestic and foreign;O-Q Government and care;300 Higher education;Wage: low (among lowest 30 percent);2011;45.0
8436;Total domestic and foreign;O-Q Government and care;300 Higher education;Wage: low (among lowest 30 percent);2012;46.0
8437;Total domestic and foreign;O-Q Government and care;300 Higher education;Wage: low (among lowest 30 percent);2013;47.0
8438;Total domestic and foreign;O-Q Government and care;300 Higher education;Wage: low (among lowest 30 percent);2014;44.0
8439;Total domestic and foreign;O-Q Government and care;300 Higher education;Wage: low (among lowest 30 percent);2015;
8440;Total domestic and foreign;O-Q Government and care;300 Higher education;Wage: middle;2008;565.0
8441;Total domestic and foreign;O-Q Government and care;300 Higher education;Wage: middle;2009;571.0
8442;Total domestic and foreign;O-Q Government and care;300 Higher education;Wage: middle;2010;580.0
8443;Total domestic and foreign;O-Q Government and care;300 Higher education;Wage: middle;2011;601.0
8444;Total domestic and foreign;O-Q Government and care;300 Higher education;Wage: middle;2012;612.0
8445;Total domestic and foreign;O-Q Government and care;300 Higher education;Wage: middle;2013;620.0
8446;Total domestic and foreign;O-Q Government and care;300 Higher education;Wage: middle;2014;620.0
8447;Total domestic and foreign;O-Q Government and care;300 Higher education;Wage: middle;2015;
8448;Total domestic and foreign;O-Q Government and care;300 Higher education;Wage: high (among highest 20 percent);2008;321.0
8449;Total domestic and foreign;O-Q Government and care;300 Higher education;Wage: high (among highest 20 percent);2009;341.0
8450;Total domestic and foreign;O-Q Government and care;300 Higher education;Wage: high (among highest 20 percent);2010;355.0
8451;Total domestic and foreign;O-Q Government and care;300 Higher education;Wage: high (among highest 20 percent);2011;356.0
8452;Total domestic and foreign;O-Q Government and care;300 Higher education;Wage: high (among highest 20 percent);2012;351.0
8453;Total domestic and foreign;O-Q Government and care;300 Higher education;Wage: high (among highest 20 percent);2013;346.0
8454;Total domestic and foreign;O-Q Government and care;300 Higher education;Wage: high (among highest 20 percent);2014;355.0
8455;Total domestic and foreign;O-Q Government and care;300 Higher education;Wage: high (among highest 20 percent);2015;
8456;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Dutch;2008;911.0
8457;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Dutch;2009;938.0
8458;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Dutch;2010;960.0
8459;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Dutch;2011;979.0
8460;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Dutch;2012;986.0
8461;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Dutch;2013;990.0
8462;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Dutch;2014;996.0
8463;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Dutch;2015;
8464;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Belgian;2008;4.0
8465;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Belgian;2009;5.0
8466;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Belgian;2010;5.0
8467;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Belgian;2011;5.0
8468;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Belgian;2012;5.0
8469;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Belgian;2013;4.0
8470;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Belgian;2014;4.0
8471;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Belgian;2015;
8472;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: British;2008;
8473;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: British;2009;2.0
8474;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: British;2010;2.0
8475;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: British;2011;2.0
8476;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: British;2012;2.0
8477;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: British;2013;2.0
8478;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: British;2014;2.0
8479;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: British;2015;
8480;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: German;2008;4.0
8481;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: German;2009;4.0
8482;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: German;2010;5.0
8483;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: German;2011;5.0
8484;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: German;2012;5.0
8485;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: German;2013;5.0
8486;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: German;2014;5.0
8487;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: German;2015;
8488;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Polish;2008;
8489;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Polish;2009;
8490;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Polish;2010;
8491;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Polish;2011;
