ID;Functions;Financing;Periods;ExpenditureOnHealthAndSocialCare_1
7028;HC31: In-patient long-term nursing care;HF2: Voluntary schemes;2001;0.0
7029;HC31: In-patient long-term nursing care;HF2: Voluntary schemes;2002;0.0
7030;HC31: In-patient long-term nursing care;HF2: Voluntary schemes;2003;0.0
7031;HC31: In-patient long-term nursing care;HF2: Voluntary schemes;2004;0.0
7032;HC31: In-patient long-term nursing care;HF2: Voluntary schemes;2005;0.0
7033;HC31: In-patient long-term nursing care;HF2: Voluntary schemes;2006;0.0
7034;HC31: In-patient long-term nursing care;HF2: Voluntary schemes;2007;0.0
7035;HC31: In-patient long-term nursing care;HF2: Voluntary schemes;2008;0.0
7036;HC31: In-patient long-term nursing care;HF2: Voluntary schemes;2009;0.0
7037;HC31: In-patient long-term nursing care;HF2: Voluntary schemes;2010;0.0
7038;HC31: In-patient long-term nursing care;HF2: Voluntary schemes;2011;0.0
7039;HC31: In-patient long-term nursing care;HF2: Voluntary schemes;2012;0.0
7040;HC31: In-patient long-term nursing care;HF2: Voluntary schemes;2013;0.0
7041;HC31: In-patient long-term nursing care;HF2: Voluntary schemes;2014;0.0
7042;HC31: In-patient long-term nursing care;HF2: Voluntary schemes;2015;0.0
7043;HC31: In-patient long-term nursing care;HF2: Voluntary schemes;2016;0.0
7044;HC31: In-patient long-term nursing care;HF2: Voluntary schemes;2017;0.0
7045;HC31: In-patient long-term nursing care;HF2: Voluntary schemes;2018;0.0
7046;HC31: In-patient long-term nursing care;HF2: Voluntary schemes;2019;0.0
7047;HC31: In-patient long-term nursing care;HF2: Voluntary schemes;2020;0.0
7048;HC31: In-patient long-term nursing care;HF2: Voluntary schemes;2021;0.0
7049;HC31: In-patient long-term nursing care;HF2: Voluntary schemes;2022;0.0
7050;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;1998;0.0
7051;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;1999;0.0
7052;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;2000;0.0
7053;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;2001;0.0
7054;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;2002;0.0
7055;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;2003;0.0
7056;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;2004;0.0
7057;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;2005;0.0
7058;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;2006;0.0
7059;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;2007;0.0
7060;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;2008;0.0
7061;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;2009;0.0
7062;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;2010;0.0
7063;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;2011;0.0
7064;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;2012;0.0
7065;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;2013;0.0
7066;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;2014;0.0
7067;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;2015;0.0
7068;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;2016;0.0
7069;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;2017;0.0
7070;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;2018;0.0
7071;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;2019;0.0
7072;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;2020;0.0
7073;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;2021;0.0
7074;HC31: In-patient long-term nursing care;HF21: Voluntary health insurance schemes;2022;0.0
7075;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;1998;0.0
7076;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;1999;0.0
7077;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;2000;0.0
7078;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;2001;0.0
7079;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;2002;0.0
7080;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;2003;0.0
7081;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;2004;0.0
7082;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;2005;0.0
7083;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;2006;0.0
7084;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;2007;0.0
7085;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;2008;0.0
7086;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;2009;0.0
7087;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;2010;0.0
7088;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;2011;0.0
7089;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;2012;0.0
7090;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;2013;0.0
7091;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;2014;0.0
7092;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;2015;0.0
7093;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;2016;0.0
7094;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;2017;0.0
7095;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;2018;0.0
7096;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;2019;0.0
7097;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;2020;0.0
7098;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;2021;0.0
7099;HC31: In-patient long-term nursing care;HF22: Financing schemes NPI;2022;0.0
7100;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;1998;0.0
7101;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;1999;0.0
7102;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;2000;0.0
7103;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;2001;0.0
7104;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;2002;0.0
7105;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;2003;0.0
7106;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;2004;0.0
7107;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;2005;0.0
7108;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;2006;0.0
7109;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;2007;0.0
7110;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;2008;0.0
7111;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;2009;0.0
7112;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;2010;0.0
7113;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;2011;0.0
7114;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;2012;0.0
7115;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;2013;0.0
7116;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;2014;0.0
7117;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;2015;0.0
7118;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;2016;0.0
7119;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;2017;0.0
7120;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;2018;0.0
7121;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;2019;0.0
7122;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;2020;0.0
7123;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;2021;0.0
7124;HC31: In-patient long-term nursing care;HF23: Enterprise financing schemes;2022;0.0
7125;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;1998;997.0
7126;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;1999;1032.0
7127;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;2000;1042.0
7128;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;2001;1063.0
7129;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;2002;1084.0
7130;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;2003;1058.0
7131;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;2004;1094.0
7132;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;2005;1103.0
7133;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;2006;1262.0
7134;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;2007;1202.0
7135;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;2008;1279.0
7136;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;2009;1372.0
7137;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;2010;1369.0
7138;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;2011;1419.0
7139;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;2012;1464.0
7140;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;2013;1624.0
7141;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;2014;1673.0
7142;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;2015;1430.0
7143;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;2016;1448.0
7144;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;2017;1436.0
7145;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;2018;1372.0
7146;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;2019;1420.0
7147;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;2020;1459.0
7148;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;2021;1521.0
7149;HC31: In-patient long-term nursing care;HF3: Household out-of-pocket payments;2022;1633.0
7150;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;1998;0.0
7151;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;1999;0.0
7152;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;2000;0.0
7153;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;2001;0.0
7154;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;2002;0.0
7155;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;2003;0.0
7156;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;2004;0.0
7157;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;2005;0.0
7158;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;2006;0.0
7159;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;2007;0.0
7160;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;2008;0.0
7161;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;2009;0.0
7162;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;2010;0.0
7163;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;2011;0.0
7164;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;2012;0.0
7165;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;2013;0.0
7166;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;2014;0.0
7167;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;2015;0.0
7168;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;2016;0.0
7169;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;2017;0.0
7170;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;2018;0.0
7171;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;2019;0.0
7172;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;2020;0.0
7173;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;2021;0.0
7174;HC31: In-patient long-term nursing care;HF31: Out-of-pocket excl cost sharing;2022;0.0
7175;HC31: In-patient long-term nursing care;HF32: Cost sharing;1998;997.0
7176;HC31: In-patient long-term nursing care;HF32: Cost sharing;1999;1032.0
7177;HC31: In-patient long-term nursing care;HF32: Cost sharing;2000;1042.0
7178;HC31: In-patient long-term nursing care;HF32: Cost sharing;2001;1063.0
7179;HC31: In-patient long-term nursing care;HF32: Cost sharing;2002;1084.0
7180;HC31: In-patient long-term nursing care;HF32: Cost sharing;2003;1058.0
7181;HC31: In-patient long-term nursing care;HF32: Cost sharing;2004;1094.0
7182;HC31: In-patient long-term nursing care;HF32: Cost sharing;2005;1103.0
7183;HC31: In-patient long-term nursing care;HF32: Cost sharing;2006;1262.0
7184;HC31: In-patient long-term nursing care;HF32: Cost sharing;2007;1202.0
7185;HC31: In-patient long-term nursing care;HF32: Cost sharing;2008;1279.0
7186;HC31: In-patient long-term nursing care;HF32: Cost sharing;2009;1372.0
7187;HC31: In-patient long-term nursing care;HF32: Cost sharing;2010;1369.0
7188;HC31: In-patient long-term nursing care;HF32: Cost sharing;2011;1419.0
7189;HC31: In-patient long-term nursing care;HF32: Cost sharing;2012;1464.0
7190;HC31: In-patient long-term nursing care;HF32: Cost sharing;2013;1624.0
7191;HC31: In-patient long-term nursing care;HF32: Cost sharing;2014;1673.0
7192;HC31: In-patient long-term nursing care;HF32: Cost sharing;2015;1430.0
7193;HC31: In-patient long-term nursing care;HF32: Cost sharing;2016;1448.0
7194;HC31: In-patient long-term nursing care;HF32: Cost sharing;2017;1436.0
7195;HC31: In-patient long-term nursing care;HF32: Cost sharing;2018;1372.0
7196;HC31: In-patient long-term nursing care;HF32: Cost sharing;2019;1420.0
7197;HC31: In-patient long-term nursing care;HF32: Cost sharing;2020;1459.0
7198;HC31: In-patient long-term nursing care;HF32: Cost sharing;2021;1521.0
7199;HC31: In-patient long-term nursing care;HF32: Cost sharing;2022;1633.0
7200;HC31: In-patient long-term nursing care;"Rest of the world; exports";1998;14.0
7201;HC31: In-patient long-term nursing care;"Rest of the world; exports";1999;13.0
7202;HC31: In-patient long-term nursing care;"Rest of the world; exports";2000;16.0
7203;HC31: In-patient long-term nursing care;"Rest of the world; exports";2001;14.0
7204;HC31: In-patient long-term nursing care;"Rest of the world; exports";2002;30.0
7205;HC31: In-patient long-term nursing care;"Rest of the world; exports";2003;22.0
7206;HC31: In-patient long-term nursing care;"Rest of the world; exports";2004;21.0
7207;HC31: In-patient long-term nursing care;"Rest of the world; exports";2005;21.0
7208;HC31: In-patient long-term nursing care;"Rest of the world; exports";2006;0.0
7209;HC31: In-patient long-term nursing care;"Rest of the world; exports";2007;0.0
7210;HC31: In-patient long-term nursing care;"Rest of the world; exports";2008;0.0
7211;HC31: In-patient long-term nursing care;"Rest of the world; exports";2009;0.0
7212;HC31: In-patient long-term nursing care;"Rest of the world; exports";2010;0.0
7213;HC31: In-patient long-term nursing care;"Rest of the world; exports";2011;0.0
7214;HC31: In-patient long-term nursing care;"Rest of the world; exports";2012;0.0
7215;HC31: In-patient long-term nursing care;"Rest of the world; exports";2013;0.0
7216;HC31: In-patient long-term nursing care;"Rest of the world; exports";2014;0.0
7217;HC31: In-patient long-term nursing care;"Rest of the world; exports";2015;9.0
7218;HC31: In-patient long-term nursing care;"Rest of the world; exports";2016;11.0
7219;HC31: In-patient long-term nursing care;"Rest of the world; exports";2017;11.0
7220;HC31: In-patient long-term nursing care;"Rest of the world; exports";2018;10.0
7221;HC31: In-patient long-term nursing care;"Rest of the world; exports";2019;11.0
7222;HC31: In-patient long-term nursing care;"Rest of the world; exports";2020;11.0
7223;HC31: In-patient long-term nursing care;"Rest of the world; exports";2021;11.0
7224;HC31: In-patient long-term nursing care;"Rest of the world; exports";2022;11.0
7225;HC32: Day cases long-term nursing care;Total financ schemes health,social care;1998;91.0
7226;HC32: Day cases long-term nursing care;Total financ schemes health,social care;1999;97.0
7227;HC32: Day cases long-term nursing care;Total financ schemes health,social care;2000;105.0
7228;HC32: Day cases long-term nursing care;Total financ schemes health,social care;2001;113.0
7229;HC32: Day cases long-term nursing care;Total financ schemes health,social care;2002;128.0
7230;HC32: Day cases long-term nursing care;Total financ schemes health,social care;2003;140.0
7231;HC32: Day cases long-term nursing care;Total financ schemes health,social care;2004;145.0
7232;HC32: Day cases long-term nursing care;Total financ schemes health,social care;2005;150.0
7233;HC32: Day cases long-term nursing care;Total financ schemes health,social care;2006;161.0
7234;HC32: Day cases long-term nursing care;Total financ schemes health,social care;2007;162.0
7235;HC32: Day cases long-term nursing care;Total financ schemes health,social care;2008;175.0
7236;HC32: Day cases long-term nursing care;Total financ schemes health,social care;2009;188.0
7237;HC32: Day cases long-term nursing care;Total financ schemes health,social care;2010;190.0
7238;HC32: Day cases long-term nursing care;Total financ schemes health,social care;2011;200.0
7239;HC32: Day cases long-term nursing care;Total financ schemes health,social care;2012;218.0
7240;HC32: Day cases long-term nursing care;Total financ schemes health,social care;2013;219.0
7241;HC32: Day cases long-term nursing care;Total financ schemes health,social care;2014;227.0
7242;HC32: Day cases long-term nursing care;Total financ schemes health,social care;2015;144.0
7243;HC32: Day cases long-term nursing care;Total financ schemes health,social care;2016;148.0
7244;HC32: Day cases long-term nursing care;Total financ schemes health,social care;2017;141.0
7245;HC32: Day cases long-term nursing care;Total financ schemes health,social care;2018;140.0
7246;HC32: Day cases long-term nursing care;Total financ schemes health,social care;2019;149.0
7247;HC32: Day cases long-term nursing care;Total financ schemes health,social care;2020;159.0
7248;HC32: Day cases long-term nursing care;Total financ schemes health,social care;2021;177.0
7249;HC32: Day cases long-term nursing care;Total financ schemes health,social care;2022;200.0
7250;HC32: Day cases long-term nursing care;Total financing of residents;1998;91.0
7251;HC32: Day cases long-term nursing care;Total financing of residents;1999;97.0
7252;HC32: Day cases long-term nursing care;Total financing of residents;2000;105.0
7253;HC32: Day cases long-term nursing care;Total financing of residents;2001;113.0
7254;HC32: Day cases long-term nursing care;Total financing of residents;2002;128.0
7255;HC32: Day cases long-term nursing care;Total financing of residents;2003;140.0
7256;HC32: Day cases long-term nursing care;Total financing of residents;2004;145.0
7257;HC32: Day cases long-term nursing care;Total financing of residents;2005;150.0
7258;HC32: Day cases long-term nursing care;Total financing of residents;2006;161.0
7259;HC32: Day cases long-term nursing care;Total financing of residents;2007;162.0
7260;HC32: Day cases long-term nursing care;Total financing of residents;2008;175.0
7261;HC32: Day cases long-term nursing care;Total financing of residents;2009;188.0
7262;HC32: Day cases long-term nursing care;Total financing of residents;2010;190.0
7263;HC32: Day cases long-term nursing care;Total financing of residents;2011;200.0
7264;HC32: Day cases long-term nursing care;Total financing of residents;2012;218.0
7265;HC32: Day cases long-term nursing care;Total financing of residents;2013;219.0
7266;HC32: Day cases long-term nursing care;Total financing of residents;2014;227.0
7267;HC32: Day cases long-term nursing care;Total financing of residents;2015;144.0
7268;HC32: Day cases long-term nursing care;Total financing of residents;2016;148.0
7269;HC32: Day cases long-term nursing care;Total financing of residents;2017;141.0
7270;HC32: Day cases long-term nursing care;Total financing of residents;2018;140.0
7271;HC32: Day cases long-term nursing care;Total financing of residents;2019;149.0
7272;HC32: Day cases long-term nursing care;Total financing of residents;2020;159.0
7273;HC32: Day cases long-term nursing care;Total financing of residents;2021;177.0
7274;HC32: Day cases long-term nursing care;Total financing of residents;2022;200.0
7275;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;1998;84.0
7276;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;1999;90.0
7277;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;2000;98.0
7278;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;2001;107.0
7279;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;2002;121.0
7280;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;2003;132.0
7281;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;2004;136.0
7282;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;2005;141.0
7283;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;2006;152.0
7284;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;2007;153.0
7285;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;2008;167.0
7286;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;2009;179.0
7287;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;2010;181.0
7288;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;2011;188.0
7289;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;2012;207.0
7290;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;2013;206.0
7291;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;2014;214.0
7292;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;2015;144.0
7293;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;2016;148.0
7294;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;2017;141.0
7295;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;2018;140.0
7296;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;2019;149.0
7297;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;2020;159.0
7298;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;2021;177.0
7299;HC32: Day cases long-term nursing care;HF1: Government, comp. contr. schemes;2022;200.0
7300;HC32: Day cases long-term nursing care;HF11: Government schemes;1998;0.0
7301;HC32: Day cases long-term nursing care;HF11: Government schemes;1999;0.0
7302;HC32: Day cases long-term nursing care;HF11: Government schemes;2000;0.0
7303;HC32: Day cases long-term nursing care;HF11: Government schemes;2001;0.0
7304;HC32: Day cases long-term nursing care;HF11: Government schemes;2002;2.0
7305;HC32: Day cases long-term nursing care;HF11: Government schemes;2003;2.0
7306;HC32: Day cases long-term nursing care;HF11: Government schemes;2004;1.0
7307;HC32: Day cases long-term nursing care;HF11: Government schemes;2005;3.0
7308;HC32: Day cases long-term nursing care;HF11: Government schemes;2006;6.0
7309;HC32: Day cases long-term nursing care;HF11: Government schemes;2007;0.0
7310;HC32: Day cases long-term nursing care;HF11: Government schemes;2008;0.0
7311;HC32: Day cases long-term nursing care;HF11: Government schemes;2009;0.0
7312;HC32: Day cases long-term nursing care;HF11: Government schemes;2010;0.0
7313;HC32: Day cases long-term nursing care;HF11: Government schemes;2011;0.0
7314;HC32: Day cases long-term nursing care;HF11: Government schemes;2012;0.0
7315;HC32: Day cases long-term nursing care;HF11: Government schemes;2013;0.0
7316;HC32: Day cases long-term nursing care;HF11: Government schemes;2014;0.0
7317;HC32: Day cases long-term nursing care;HF11: Government schemes;2015;0.0
7318;HC32: Day cases long-term nursing care;HF11: Government schemes;2016;0.0
7319;HC32: Day cases long-term nursing care;HF11: Government schemes;2017;0.0
7320;HC32: Day cases long-term nursing care;HF11: Government schemes;2018;0.0
7321;HC32: Day cases long-term nursing care;HF11: Government schemes;2019;0.0
7322;HC32: Day cases long-term nursing care;HF11: Government schemes;2020;0.0
7323;HC32: Day cases long-term nursing care;HF11: Government schemes;2021;0.0
7324;HC32: Day cases long-term nursing care;HF11: Government schemes;2022;0.0
7325;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;1998;84.0
7326;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;1999;90.0
7327;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;2000;98.0
7328;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;2001;107.0
7329;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;2002;119.0
7330;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;2003;130.0
7331;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;2004;135.0
7332;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;2005;138.0
7333;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;2006;146.0
7334;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;2007;153.0
7335;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;2008;167.0
7336;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;2009;179.0
7337;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;2010;181.0
7338;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;2011;188.0
7339;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;2012;207.0
7340;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;2013;206.0
7341;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;2014;214.0
7342;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;2015;144.0
7343;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;2016;148.0
7344;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;2017;141.0
7345;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;2018;140.0
7346;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;2019;149.0
7347;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;2020;158.0
7348;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;2021;177.0
7349;HC32: Day cases long-term nursing care;HF12: Compulsory contributory schemes;2022;200.0
7350;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;1998;84.0
7351;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;1999;90.0
7352;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;2000;98.0
7353;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;2001;107.0
7354;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;2002;119.0
7355;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;2003;130.0
7356;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;2004;135.0
7357;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;2005;138.0
7358;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;2006;146.0
7359;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;2007;153.0
7360;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;2008;167.0
7361;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;2009;179.0
7362;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;2010;181.0
7363;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;2011;188.0
7364;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;2012;207.0
7365;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;2013;206.0
7366;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;2014;214.0
7367;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;2015;143.0
7368;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;2016;148.0
7369;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;2017;141.0
7370;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;2018;140.0
7371;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;2019;149.0
7372;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;2020;158.0
7373;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;2021;177.0
7374;HC32: Day cases long-term nursing care;HF121a: Long-term care insurance;2022;200.0
7375;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;1998;0.0
7376;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;1999;0.0
