ID;Geslacht;Leeftijd;Geboortegeneratie;NettoArbeidsparticipatie_1;Deeltijd0Tot12Uur_2;Deeltijd12Tot35Uur_3;Voltijders_4;GemiddeldeArbeidsduur_5;Baan12UurPerWeek_6;Baan12UurPerWeek_7;Baan1UurPerWeek_8;TotaalWerknemers_9;VasteArbeidsrelatie_10;FlexibeleArbeidsrelatie_11;VasteArbeidsrelatie_12;FlexibeleArbeidsrelatie_13;TotaalZelfstandigen_14;MetPersoneel_15;ZonderPersoneel_16;MetPersoneel_17;ZonderPersoneel_18;PersonenMetVoortdurendEenBaan_19;PersonenMetMeerDanEenBaan_20;PersonenMetUitkering_21
2577;Vrouwen;30 jaar;1970 tot 1975;76.8;7.7;52.7;39.5;28.6;4.6;;;93.3;79.5;13.8;85.2;14.8;6.7;2.3;4.5;33.7;66.3;48.0;52.0;12.0
2578;Vrouwen;30 jaar;1975 tot 1980;81.0;4.0;55.3;40.6;29.8;4.8;;;93.3;77.4;15.9;83.0;17.0;6.7;1.7;5.0;;;50.0;52.0;9.0
2579;Vrouwen;30 jaar;1980 tot 1985;80.6;3.5;56.3;40.2;30.3;5.2;;5.1;92.4;74.3;18.2;80.3;19.7;7.6;1.4;6.1;;;;;
2580;Vrouwen;30 jaar;1985 tot 1990;82.0;4.4;55.6;40.0;30.5;4.7;;4.7;90.9;73.3;23.9;75.4;24.6;9.1;1.3;7.8;14.1;85.9;;;
2581;Vrouwen;30 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
2582;Vrouwen;30 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
2583;Vrouwen;30 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
2584;Vrouwen;31 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
2585;Vrouwen;31 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
2586;Vrouwen;31 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
2587;Vrouwen;31 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
2588;Vrouwen;31 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
2589;Vrouwen;31 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
2590;Vrouwen;31 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
2591;Vrouwen;31 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
2592;Vrouwen;31 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
2593;Vrouwen;31 jaar;1955 tot 1960;51.6;16.0;45.3;38.7;26.6;;;;89.8;;;;;10.2;;;;;;;
2594;Vrouwen;31 jaar;1960 tot 1965;63.3;13.8;49.1;37.1;27.3;6.1;;;91.9;75.0;16.9;81.6;18.4;8.1;3.3;4.8;40.5;59.5;;;
2595;Vrouwen;31 jaar;1965 tot 1970;73.0;9.0;52.6;38.4;28.1;5.7;;;92.7;77.8;14.9;83.9;16.1;7.3;2.8;4.5;37.9;62.1;;;
2596;Vrouwen;31 jaar;1970 tot 1975;76.2;7.8;57.4;34.9;27.8;5.2;;;93.2;81.1;12.1;87.1;12.9;6.8;2.3;4.5;33.9;66.1;50.0;48.0;12.0
2597;Vrouwen;31 jaar;1975 tot 1980;81.2;3.6;59.7;36.7;29.3;5.2;;5.2;93.0;78.2;14.8;84.1;15.9;7.0;1.7;5.3;;;50.0;51.0;9.0
2598;Vrouwen;31 jaar;1980 tot 1985;80.2;3.5;58.7;37.7;29.9;5.5;;5.5;90.8;72.6;18.3;79.9;20.1;9.2;1.6;7.6;17.6;82.4;;;
2599;Vrouwen;31 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
2600;Vrouwen;31 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
2601;Vrouwen;31 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
2602;Vrouwen;31 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
2603;Vrouwen;32 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
2604;Vrouwen;32 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
2605;Vrouwen;32 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
2606;Vrouwen;32 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
2607;Vrouwen;32 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
2608;Vrouwen;32 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
2609;Vrouwen;32 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
2610;Vrouwen;32 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
2611;Vrouwen;32 jaar;1950 tot 1955;45.9;19.9;45.8;34.3;25.8;;;;85.0;;;;;15.0;;;;;;;
2612;Vrouwen;32 jaar;1955 tot 1960;53.5;17.3;47.3;35.4;25.9;6.2;;;88.9;75.4;17.0;81.6;18.4;11.1;3.6;4.0;;;;;
2613;Vrouwen;32 jaar;1960 tot 1965;62.5;13.8;51.2;35.0;26.5;6.5;;;90.8;74.1;16.7;81.7;18.3;9.2;3.4;5.8;36.9;63.1;;;
2614;Vrouwen;32 jaar;1965 tot 1970;73.0;10.4;56.9;32.7;26.7;6.0;;;92.8;78.1;14.7;84.1;15.9;7.2;3.6;3.6;50.1;49.9;;;12.0
2615;Vrouwen;32 jaar;1970 tot 1975;77.1;7.8;61.0;31.2;27.2;5.7;;;91.6;80.2;11.4;87.6;12.4;8.4;2.7;5.7;32.2;67.8;50.0;45.0;12.0
2616;Vrouwen;32 jaar;1975 tot 1980;81.7;4.7;63.1;32.3;28.5;5.7;;5.7;91.8;77.7;14.0;84.7;15.3;8.2;2.0;6.2;24.8;75.2;50.0;50.0;10.0
2617;Vrouwen;32 jaar;1980 tot 1985;77.7;4.3;62.2;33.5;29.2;6.0;;5.9;91.0;72.9;19.1;79.2;20.8;9.0;2.0;7.0;22.0;78.0;;;
2618;Vrouwen;32 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
2619;Vrouwen;32 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
2620;Vrouwen;32 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
2621;Vrouwen;32 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
2622;Vrouwen;33 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
2623;Vrouwen;33 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
2624;Vrouwen;33 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
2625;Vrouwen;33 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
2626;Vrouwen;33 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
2627;Vrouwen;33 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
2628;Vrouwen;33 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
2629;Vrouwen;33 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
2630;Vrouwen;33 jaar;1950 tot 1955;48.8;22.5;46.5;31.0;23.9;;;;84.2;;;;;15.8;;;;;;;
2631;Vrouwen;33 jaar;1955 tot 1960;56.8;17.8;50.9;31.3;25.0;6.4;;;88.3;71.7;17.6;80.3;19.7;11.7;4.2;6.5;;;;;
2632;Vrouwen;33 jaar;1960 tot 1965;63.9;14.3;54.0;31.7;25.8;7.0;;;90.1;74.5;15.7;82.6;17.4;9.9;4.4;5.5;44.2;55.8;;;
2633;Vrouwen;33 jaar;1965 tot 1970;74.2;11.1;60.0;28.9;26.2;6.3;;;90.0;75.6;14.5;83.9;16.1;10.0;4.9;5.0;49.4;50.6;46.0;47.0;12.0
2634;Vrouwen;33 jaar;1970 tot 1975;76.6;7.7;63.6;28.7;26.8;6.1;;;90.6;78.2;12.4;86.3;13.7;9.4;3.1;6.3;33.4;66.6;50.0;42.0;12.0
2635;Vrouwen;33 jaar;1975 tot 1980;80.8;4.4;64.6;30.9;28.3;6.2;;6.4;90.8;77.4;13.4;85.2;14.8;9.2;2.5;6.7;27.5;72.5;;;
2636;Vrouwen;33 jaar;1980 tot 1985;77.7;4.8;63.8;31.4;28.9;6.6;;6.5;88.8;74.7;17.5;81.0;19.0;11.2;2.8;8.4;25.0;75.0;;;
2637;Vrouwen;33 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
2638;Vrouwen;33 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
2639;Vrouwen;33 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
2640;Vrouwen;33 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
2641;Vrouwen;34 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
2642;Vrouwen;34 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
2643;Vrouwen;34 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
2644;Vrouwen;34 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
2645;Vrouwen;34 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
2646;Vrouwen;34 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
2647;Vrouwen;34 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
2648;Vrouwen;34 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
2649;Vrouwen;34 jaar;1950 tot 1955;49.0;21.1;48.6;30.3;24.3;;;;85.6;;;;;14.4;;;;;;;
2650;Vrouwen;34 jaar;1955 tot 1960;57.8;19.1;50.7;30.3;24.8;7.3;;;88.3;72.1;17.2;80.8;19.2;11.7;4.3;6.4;;;;;
2651;Vrouwen;34 jaar;1960 tot 1965;65.7;15.5;57.5;27.0;24.8;7.2;;;89.8;71.8;18.1;79.9;20.1;10.2;4.7;5.5;45.8;54.2;;;
2652;Vrouwen;34 jaar;1965 tot 1970;72.7;11.4;63.7;24.9;25.1;6.6;;;89.8;76.8;13.1;85.4;14.6;10.2;4.4;5.7;43.7;56.3;46.0;45.0;13.0
2653;Vrouwen;34 jaar;1970 tot 1975;77.9;7.5;65.7;26.7;26.5;6.6;;;89.7;77.7;12.0;86.6;13.4;10.3;3.2;7.1;31.3;68.7;50.0;41.0;11.0
2654;Vrouwen;34 jaar;1975 tot 1980;79.8;4.4;67.7;27.9;28.0;6.8;;6.8;90.2;77.3;12.9;85.7;14.3;9.8;2.6;7.2;26.3;73.7;;;
2655;Vrouwen;34 jaar;1980 tot 1985;79.5;4.6;64.8;30.6;28.8;7.0;;6.9;88.7;75.3;18.4;80.4;19.6;11.3;3.0;8.3;26.4;73.6;;;
2656;Vrouwen;34 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
2657;Vrouwen;34 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
2658;Vrouwen;34 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
2659;Vrouwen;34 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
2660;Vrouwen;35 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
2661;Vrouwen;35 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
2662;Vrouwen;35 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
2663;Vrouwen;35 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
2664;Vrouwen;35 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
2665;Vrouwen;35 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
2666;Vrouwen;35 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
2667;Vrouwen;35 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
2668;Vrouwen;35 jaar;1950 tot 1955;51.2;21.9;48.6;29.4;24.0;;;;85.7;;;;;14.3;;;;;;;
2669;Vrouwen;35 jaar;1955 tot 1960;59.2;19.4;53.2;27.4;24.2;7.6;;;88.4;70.5;17.9;79.8;20.2;11.6;5.2;6.4;44.8;55.2;;;
2670;Vrouwen;35 jaar;1960 tot 1965;68.1;14.7;57.7;27.5;24.9;7.6;;;89.4;72.8;16.6;81.4;18.6;10.6;4.3;6.3;40.2;59.8;;;
2671;Vrouwen;35 jaar;1965 tot 1970;72.5;11.5;65.8;22.6;24.7;6.9;;;88.4;76.7;11.7;86.8;13.2;11.6;4.3;7.4;36.7;63.3;46.0;42.0;13.0
2672;Vrouwen;35 jaar;1970 tot 1975;78.1;7.3;67.2;25.5;26.4;6.8;;;89.4;77.4;12.0;86.5;13.5;10.6;3.5;7.1;33.0;67.0;49.0;42.0;11.0
2673;Vrouwen;35 jaar;1975 tot 1980;79.8;5.1;68.5;26.4;27.7;7.4;;7.2;89.0;75.6;13.4;84.9;15.1;11.0;2.9;8.1;26.4;73.6;;;
2674;Vrouwen;35 jaar;1980 tot 1985;79.3;4.0;67.5;28.4;28.8;7.2;;7.1;89.2;79.7;16.4;82.9;17.1;10.8;2.4;8.4;22.1;77.9;;;
2675;Vrouwen;35 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
2676;Vrouwen;35 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
2677;Vrouwen;35 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
2678;Vrouwen;35 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
2679;Vrouwen;36 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
2680;Vrouwen;36 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
2681;Vrouwen;36 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
2682;Vrouwen;36 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
2683;Vrouwen;36 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
2684;Vrouwen;36 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
2685;Vrouwen;36 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
2686;Vrouwen;36 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
2687;Vrouwen;36 jaar;1950 tot 1955;51.4;20.4;50.3;29.3;24.4;;;;84.6;;;;;15.4;;;;;;;
2688;Vrouwen;36 jaar;1955 tot 1960;59.8;18.9;54.9;26.2;24.1;7.9;;;89.2;70.5;18.7;79.0;21.0;10.8;4.9;5.8;45.9;54.1;;;
2689;Vrouwen;36 jaar;1960 tot 1965;68.7;15.2;60.7;24.0;24.5;7.7;;;88.7;70.1;18.6;79.0;21.0;11.3;4.4;6.9;38.6;61.4;;;
2690;Vrouwen;36 jaar;1965 tot 1970;73.1;11.6;66.4;22.0;24.7;7.4;;;88.2;77.0;11.3;87.2;12.8;11.8;4.5;7.3;38.0;62.0;46.0;39.0;13.0
2691;Vrouwen;36 jaar;1970 tot 1975;79.0;7.3;68.9;23.8;26.2;7.2;;7.2;88.3;75.9;12.4;86.0;14.0;11.7;3.6;8.1;30.8;69.2;49.0;42.0;11.0
2692;Vrouwen;36 jaar;1975 tot 1980;79.1;5.4;69.6;25.0;27.5;7.8;;7.7;87.8;74.7;13.1;85.1;14.9;12.2;2.6;9.6;21.3;78.7;;;
2693;Vrouwen;36 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
2694;Vrouwen;36 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
2695;Vrouwen;36 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
2696;Vrouwen;36 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
2697;Vrouwen;36 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
2698;Vrouwen;37 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
2699;Vrouwen;37 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
2700;Vrouwen;37 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
2701;Vrouwen;37 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
2702;Vrouwen;37 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
2703;Vrouwen;37 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
2704;Vrouwen;37 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
2705;Vrouwen;37 jaar;1945 tot 1950;47.6;22.8;47.9;29.3;23.7;;;;76.6;;;;;23.4;;;;;;;
2706;Vrouwen;37 jaar;1950 tot 1955;53.6;18.4;53.5;28.0;24.3;7.5;;;85.2;67.7;20.7;76.6;23.4;14.8;4.9;6.7;;;;;
2707;Vrouwen;37 jaar;1955 tot 1960;62.3;18.6;57.4;23.9;23.8;8.3;;;88.6;70.3;18.4;79.3;20.7;11.4;4.4;6.9;39.0;61.0;;;
2708;Vrouwen;37 jaar;1960 tot 1965;69.6;15.4;62.1;22.5;24.0;7.9;;;88.9;72.6;16.3;81.7;18.3;11.1;4.0;7.0;36.3;63.7;;;12.0
2709;Vrouwen;37 jaar;1965 tot 1970;73.2;10.5;68.1;21.4;24.7;7.7;;;88.4;77.1;11.3;87.2;12.8;11.6;4.1;7.5;35.0;65.0;46.0;38.0;13.0
2710;Vrouwen;37 jaar;1970 tot 1975;78.7;6.6;70.3;23.1;26.3;7.5;;7.3;88.1;75.4;12.7;85.6;14.4;11.9;3.4;8.5;28.6;71.4;48.0;43.0;11.0
2711;Vrouwen;37 jaar;1975 tot 1980;78.1;5.0;68.9;26.1;27.8;8.3;;8.1;87.4;75.2;13.2;85.0;15.0;12.6;3.5;9.1;28.0;72.0;;;
2712;Vrouwen;37 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
2713;Vrouwen;37 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
2714;Vrouwen;37 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
2715;Vrouwen;37 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
2716;Vrouwen;37 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
2717;Vrouwen;38 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
2718;Vrouwen;38 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
2719;Vrouwen;38 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
2720;Vrouwen;38 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
2721;Vrouwen;38 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
2722;Vrouwen;38 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
2723;Vrouwen;38 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
2724;Vrouwen;38 jaar;1945 tot 1950;49.1;21.2;51.3;27.6;23.8;;;;83.3;;;;;16.7;;;;;;;
2725;Vrouwen;38 jaar;1950 tot 1955;56.2;18.6;54.7;26.6;24.3;7.9;;;84.9;67.8;18.0;79.0;21.0;15.1;5.6;8.5;;;;;
2726;Vrouwen;38 jaar;1955 tot 1960;62.4;18.5;57.2;24.3;23.9;8.2;;;88.1;70.8;17.3;80.3;19.7;11.9;4.9;7.0;41.4;58.6;;;
2727;Vrouwen;38 jaar;1960 tot 1965;70.5;14.1;63.3;22.6;24.2;7.7;;;88.6;73.2;15.4;82.6;17.4;11.4;3.8;7.6;33.3;66.7;41.0;42.0;13.0
2728;Vrouwen;38 jaar;1965 tot 1970;74.5;9.8;67.5;22.7;25.2;8.1;;;88.0;76.8;11.2;87.3;12.7;12.0;3.9;8.1;32.2;67.8;47.0;37.0;12.0
2729;Vrouwen;38 jaar;1970 tot 1975;79.0;6.2;70.7;23.1;26.5;8.0;;7.8;87.1;74.7;12.5;85.7;14.3;12.9;4.0;8.9;31.0;69.0;;;
2730;Vrouwen;38 jaar;1975 tot 1980;77.7;5.1;68.6;26.3;27.8;8.7;;8.5;86.8;76.2;14.0;84.5;15.5;13.2;3.0;10.2;22.8;77.2;;;
2731;Vrouwen;38 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
2732;Vrouwen;38 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
2733;Vrouwen;38 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
2734;Vrouwen;38 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
2735;Vrouwen;38 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
2736;Vrouwen;39 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
2737;Vrouwen;39 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
2738;Vrouwen;39 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
2739;Vrouwen;39 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
2740;Vrouwen;39 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
2741;Vrouwen;39 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
2742;Vrouwen;39 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
2743;Vrouwen;39 jaar;1945 tot 1950;49.3;22.7;51.8;25.5;22.9;;;;82.7;;;;;17.3;;;;;;;
2744;Vrouwen;39 jaar;1950 tot 1955;58.3;18.2;57.0;24.7;24.0;8.1;;;86.6;68.6;18.9;78.4;21.6;13.4;5.2;7.3;;;;;
2745;Vrouwen;39 jaar;1955 tot 1960;64.6;17.0;58.3;24.7;24.2;8.5;;;88.2;68.9;19.3;78.1;21.9;11.8;4.0;7.8;34.0;66.0;;;
2746;Vrouwen;39 jaar;1960 tot 1965;72.3;14.2;63.6;22.2;24.2;8.2;;;88.2;74.1;14.1;84.1;15.9;11.8;4.5;7.3;38.3;61.7;42.0;40.0;13.0
2747;Vrouwen;39 jaar;1965 tot 1970;75.9;9.6;69.2;21.2;25.0;8.4;;;87.4;75.5;11.9;86.3;13.7;12.6;4.0;8.6;31.5;68.5;47.0;38.0;12.0
2748;Vrouwen;39 jaar;1970 tot 1975;77.7;5.7;71.4;22.9;26.6;8.7;;8.5;86.8;74.9;11.9;86.3;13.7;13.2;3.8;9.5;28.5;71.5;;;
2749;Vrouwen;39 jaar;1975 tot 1980;77.8;5.2;69.5;25.3;27.7;9.0;;8.8;85.8;77.5;15.2;83.6;16.4;14.2;3.7;10.4;26.4;73.6;;;
2750;Vrouwen;39 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
2751;Vrouwen;39 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
2752;Vrouwen;39 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
2753;Vrouwen;39 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
2754;Vrouwen;39 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
2755;Vrouwen;40 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
2756;Vrouwen;40 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
2757;Vrouwen;40 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
2758;Vrouwen;40 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
2759;Vrouwen;40 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
2760;Vrouwen;40 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
2761;Vrouwen;40 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
2762;Vrouwen;40 jaar;1945 tot 1950;49.5;21.8;52.9;25.3;23.5;;;;83.0;;;;;17.0;;;;;;;
2763;Vrouwen;40 jaar;1950 tot 1955;59.4;19.1;55.0;25.9;23.9;8.1;;;86.1;68.6;17.8;79.3;20.7;13.9;5.5;8.1;40.1;59.9;;;
2764;Vrouwen;40 jaar;1955 tot 1960;66.7;16.4;58.5;25.1;24.6;8.7;;;88.2;71.0;17.3;80.4;19.6;11.8;4.9;6.8;41.9;58.1;;;
2765;Vrouwen;40 jaar;1960 tot 1965;72.1;12.6;66.0;21.5;24.2;8.4;;;88.0;74.3;13.7;84.4;15.6;12.0;4.4;7.6;36.8;63.2;43.0;39.0;13.0
2766;Vrouwen;40 jaar;1965 tot 1970;77.7;9.1;70.1;20.8;25.2;8.8;;;86.7;74.2;12.5;85.5;14.5;13.3;4.5;8.8;33.5;66.5;47.0;38.0;12.0
2767;Vrouwen;40 jaar;1970 tot 1975;76.1;5.9;71.3;22.8;26.6;9.1;5.9;9.0;85.3;72.8;12.5;85.4;14.6;14.7;3.8;10.9;26.0;74.0;;;
2768;Vrouwen;40 jaar;1975 tot 1980;78.2;5.0;69.6;25.4;27.8;9.5;;9.3;85.8;80.7;14.8;84.5;15.5;14.2;3.4;10.8;24.2;75.8;;;
2769;Vrouwen;40 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
2770;Vrouwen;40 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
2771;Vrouwen;40 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
2772;Vrouwen;40 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
2773;Vrouwen;40 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
2774;Vrouwen;41 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
2775;Vrouwen;41 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
2776;Vrouwen;41 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
2777;Vrouwen;41 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
2778;Vrouwen;41 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
2779;Vrouwen;41 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
2780;Vrouwen;41 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
2781;Vrouwen;41 jaar;1945 tot 1950;51.9;20.4;53.2;26.4;23.9;;;;82.0;;;;;18.0;;;;;;;
2782;Vrouwen;41 jaar;1950 tot 1955;60.1;19.6;54.3;26.1;24.0;8.6;;;85.6;67.8;17.8;79.2;20.8;14.4;6.2;8.2;43.0;57.0;;;
2783;Vrouwen;41 jaar;1955 tot 1960;67.7;15.9;59.4;24.7;24.5;8.7;;;87.0;70.3;16.8;80.7;19.3;13.0;4.4;8.6;33.7;66.3;;;
2784;Vrouwen;41 jaar;1960 tot 1965;72.5;11.7;66.3;22.0;24.7;8.8;;;88.5;76.5;11.9;86.5;13.5;11.5;4.2;7.3;36.5;63.5;45.0;37.0;13.0
2785;Vrouwen;41 jaar;1965 tot 1970;78.2;8.3;70.4;21.3;25.5;9.0;;9.0;87.3;74.7;12.5;85.7;14.3;12.7;3.8;8.9;30.2;69.8;47.0;39.0;12.0
2786;Vrouwen;41 jaar;1970 tot 1975;77.3;6.9;70.4;22.7;26.6;9.7;6.5;9.5;84.9;73.8;11.2;86.8;13.2;15.1;3.9;11.1;26.0;74.0;;;
2787;Vrouwen;41 jaar;1975 tot 1980;;;;;;;;;;;;;;;;;;;;;
2788;Vrouwen;41 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
2789;Vrouwen;41 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
2790;Vrouwen;41 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
2791;Vrouwen;41 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
2792;Vrouwen;41 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
