ID;Countries;Periods;TotalMenAndWomen_1;Men_2;Women_3;Unknown_4;AllAges_5;YoungerThan15Years_6;k_15To17Years_7;k_18YearsOrOlder_8
1231;Poland;1999 3rd quarter;10.0;0.0;0.0;;10.0;0.0;0.0;0.0
1232;Poland;1999 4th quarter;0.0;0.0;;;0.0;;;0.0
1233;Poland;1999;10.0;10.0;0.0;;10.0;0.0;0.0;10.0
1234;Poland;2000 1st quarter;10.0;0.0;0.0;;10.0;0.0;0.0;0.0
1235;Poland;2000 2nd quarter;20.0;10.0;10.0;0.0;20.0;10.0;0.0;10.0
1236;Poland;2000 3rd quarter;0.0;0.0;0.0;;0.0;;;0.0
1237;Poland;2000 4th quarter;30.0;20.0;20.0;;30.0;10.0;0.0;20.0
1238;Poland;2000;60.0;30.0;30.0;0.0;60.0;20.0;10.0;30.0
1239;Poland;2001 1st quarter;20.0;10.0;10.0;;20.0;10.0;0.0;10.0
1240;Poland;2001 2nd quarter;0.0;0.0;;;0.0;;;0.0
1241;Poland;2001 3rd quarter;10.0;0.0;0.0;0.0;10.0;0.0;;0.0
1242;Poland;2001 4th quarter;0.0;0.0;;0.0;0.0;0.0;;0.0
1243;Poland;2001;30.0;20.0;10.0;0.0;30.0;10.0;0.0;20.0
1244;Poland;2002 1st quarter;0.0;0.0;0.0;0.0;0.0;;;0.0
1245;Poland;2002 2nd quarter;10.0;0.0;0.0;;10.0;0.0;;0.0
1246;Poland;2002 3rd quarter;10.0;10.0;10.0;;10.0;0.0;0.0;10.0
1247;Poland;2002 4th quarter;;;;;;;;
1248;Poland;2002;20.0;10.0;10.0;0.0;20.0;0.0;0.0;10.0
1249;Poland;2003 1st quarter;10.0;10.0;0.0;;10.0;10.0;;0.0
1250;Poland;2003 2nd quarter;0.0;0.0;0.0;;0.0;0.0;;0.0
1251;Poland;2003 3rd quarter;10.0;0.0;0.0;;10.0;0.0;0.0;0.0
1252;Poland;2003 4th quarter;;;;;;;;
1253;Poland;2003;20.0;10.0;10.0;;20.0;10.0;0.0;10.0
1254;Poland;2004 1st quarter;10.0;0.0;;0.0;10.0;0.0;;0.0
1255;Poland;2004 2nd quarter;;;;;;;;
1256;Poland;2004 3rd quarter;;;;;;;;
1257;Poland;2004 4th quarter;;;;;;;;
1258;Poland;2004;10.0;0.0;;0.0;10.0;0.0;;0.0
1259;Poland;2005 1st quarter;;;;;;;;
1260;Poland;2005 2nd quarter;;;;;;;;
1261;Poland;2005 3rd quarter;;;;;;;;
1262;Poland;2005 4th quarter;;;;;;;;
1263;Poland;2005;;;;;;;;
1264;Poland;2006 1st quarter;;;;;;;;
1265;Poland;2006 2nd quarter;;;;;;;;
1266;Poland;2006 3rd quarter;0.0;0.0;;;0.0;;;0.0
1267;Poland;2006 4th quarter;0.0;0.0;;;0.0;;;0.0
1268;Poland;2006;0.0;0.0;;;0.0;;;0.0
1269;Poland;2007 1st quarter;0.0;0.0;;;0.0;;;0.0
1270;Poland;2007 2nd quarter;;;;;;;;
1271;Poland;2007 3rd quarter;;;;;;;;
1272;Poland;2007 4th quarter;;;;;;;;
1273;Poland;2007;0.0;0.0;;;0.0;;;0.0
1274;Poland;2008 1st quarter;;;;;;;;
1275;Romenia;1998 1st quarter;10.0;10.0;0.0;0.0;10.0;;0.0;10.0
1276;Romenia;1998 2nd quarter;10.0;10.0;;;10.0;;;10.0
1277;Romenia;1998 3rd quarter;20.0;10.0;10.0;;20.0;0.0;;20.0
1278;Romenia;1998 4th quarter;30.0;20.0;10.0;;30.0;0.0;0.0;20.0
1279;Romenia;1998;60.0;40.0;20.0;0.0;60.0;0.0;0.0;50.0
1280;Romenia;1999 1st quarter;30.0;20.0;10.0;;30.0;10.0;0.0;20.0
1281;Romenia;1999 2nd quarter;10.0;10.0;;;10.0;;;10.0
1282;Romenia;1999 3rd quarter;20.0;10.0;10.0;;20.0;0.0;0.0;20.0
1283;Romenia;1999 4th quarter;20.0;10.0;10.0;0.0;20.0;0.0;0.0;20.0
1284;Romenia;1999;80.0;50.0;30.0;0.0;80.0;10.0;10.0;60.0
1285;Romenia;2000 1st quarter;10.0;10.0;0.0;;10.0;;;10.0
1286;Romenia;2000 2nd quarter;10.0;10.0;0.0;;10.0;;;10.0
1287;Romenia;2000 3rd quarter;20.0;10.0;10.0;0.0;20.0;0.0;;20.0
1288;Romenia;2000 4th quarter;20.0;20.0;0.0;;20.0;0.0;0.0;20.0
1289;Romenia;2000;60.0;50.0;10.0;0.0;60.0;0.0;0.0;60.0
1290;Romenia;2001 1st quarter;10.0;0.0;0.0;;10.0;0.0;;10.0
1291;Romenia;2001 2nd quarter;10.0;0.0;0.0;0.0;10.0;;;10.0
1292;Romenia;2001 3rd quarter;20.0;10.0;0.0;0.0;20.0;;0.0;10.0
1293;Romenia;2001 4th quarter;10.0;10.0;0.0;;10.0;0.0;;0.0
1294;Romenia;2001;30.0;20.0;10.0;0.0;30.0;10.0;0.0;30.0
1295;Romenia;2002 1st quarter;0.0;0.0;0.0;;0.0;;;0.0
1296;Romenia;2002 2nd quarter;20.0;10.0;10.0;;20.0;0.0;0.0;10.0
1297;Romenia;2002 3rd quarter;30.0;20.0;10.0;0.0;30.0;10.0;;20.0
1298;Romenia;2002 4th quarter;10.0;10.0;0.0;;10.0;0.0;;10.0
1299;Romenia;2002;60.0;40.0;20.0;0.0;60.0;10.0;0.0;50.0
1300;Romenia;2003 1st quarter;10.0;0.0;0.0;0.0;10.0;;;10.0
1301;Romenia;2003 2nd quarter;10.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0
1302;Romenia;2003 3rd quarter;10.0;10.0;0.0;;10.0;0.0;0.0;10.0
1303;Romenia;2003 4th quarter;10.0;10.0;10.0;;10.0;0.0;;10.0
1304;Romenia;2003;30.0;20.0;10.0;0.0;30.0;10.0;0.0;30.0
1305;Romenia;2004 1st quarter;0.0;0.0;;;0.0;;;0.0
1306;Romenia;2004 2nd quarter;10.0;10.0;0.0;0.0;10.0;0.0;0.0;10.0
1307;Romenia;2004 3rd quarter;10.0;0.0;0.0;;10.0;0.0;0.0;0.0
1308;Romenia;2004 4th quarter;0.0;0.0;0.0;;0.0;;;0.0
1309;Romenia;2004;20.0;10.0;10.0;0.0;20.0;0.0;0.0;20.0
1310;Romenia;2005 1st quarter;0.0;0.0;;;0.0;;;0.0
1311;Romenia;2005 2nd quarter;0.0;0.0;;;0.0;;;0.0
1312;Romenia;2005 3rd quarter;10.0;0.0;0.0;;10.0;0.0;;0.0
1313;Romenia;2005 4th quarter;0.0;;0.0;;0.0;;;0.0
1314;Romenia;2005;10.0;10.0;10.0;;10.0;0.0;;10.0
1315;Romenia;2006 1st quarter;10.0;0.0;10.0;;10.0;0.0;0.0;10.0
1316;Romenia;2006 2nd quarter;0.0;0.0;0.0;;0.0;0.0;;0.0
1317;Romenia;2006 3rd quarter;0.0;0.0;0.0;;0.0;0.0;;
1318;Romenia;2006 4th quarter;0.0;0.0;;;0.0;;;0.0
1319;Romenia;2006;20.0;10.0;10.0;;20.0;10.0;0.0;10.0
1320;Romenia;2007 1st quarter;;;;;;;;
1321;Romenia;2007 2nd quarter;;;;;;;;
1322;Romenia;2007 3rd quarter;;;;;;;;
1323;Romenia;2007 4th quarter;0.0;;0.0;;0.0;;;0.0
1324;Romenia;2007;0.0;;0.0;;0.0;;;0.0
1325;Romenia;2008 1st quarter;;;;;;;;
1326;Serbia and Montenegro;1998 1st quarter;640.0;420.0;220.0;0.0;640.0;190.0;40.0;400.0
1327;Serbia and Montenegro;1998 2nd quarter;1030.0;670.0;350.0;0.0;1030.0;320.0;50.0;660.0
1328;Serbia and Montenegro;1998 3rd quarter;1270.0;830.0;450.0;0.0;1270.0;370.0;60.0;850.0
1329;Serbia and Montenegro;1998 4th quarter;1350.0;840.0;510.0;;1350.0;400.0;80.0;880.0
1330;Serbia and Montenegro;1998;4290.0;2760.0;1530.0;10.0;4290.0;1270.0;220.0;2800.0
1331;Serbia and Montenegro;1999 1st quarter;810.0;490.0;320.0;0.0;810.0;250.0;30.0;530.0
1332;Serbia and Montenegro;1999 2nd quarter;1350.0;770.0;550.0;30.0;1350.0;370.0;60.0;920.0
1333;Serbia and Montenegro;1999 3rd quarter;940.0;540.0;400.0;0.0;940.0;280.0;50.0;610.0
1334;Serbia and Montenegro;1999 4th quarter;590.0;350.0;240.0;0.0;590.0;170.0;40.0;380.0
1335;Serbia and Montenegro;1999;3690.0;2150.0;1510.0;40.0;3690.0;1070.0;190.0;2440.0
1336;Serbia and Montenegro;2000 1st quarter;790.0;470.0;310.0;10.0;790.0;240.0;40.0;520.0
1337;Serbia and Montenegro;2000 2nd quarter;1310.0;720.0;520.0;70.0;1310.0;440.0;50.0;820.0
1338;Serbia and Montenegro;2000 3rd quarter;1150.0;650.0;460.0;40.0;1150.0;350.0;70.0;730.0
1339;Serbia and Montenegro;2000 4th quarter;560.0;360.0;200.0;10.0;560.0;170.0;30.0;350.0
1340;Serbia and Montenegro;2000;3810.0;2190.0;1500.0;130.0;3810.0;1200.0;190.0;2420.0
1341;Serbia and Montenegro;2001 1st quarter;270.0;180.0;90.0;10.0;270.0;70.0;10.0;190.0
1342;Serbia and Montenegro;2001 2nd quarter;240.0;160.0;80.0;0.0;240.0;50.0;10.0;180.0
1343;Serbia and Montenegro;2001 3rd quarter;230.0;140.0;90.0;0.0;230.0;80.0;10.0;140.0
1344;Serbia and Montenegro;2001 4th quarter;180.0;130.0;50.0;0.0;180.0;30.0;10.0;130.0
1345;Serbia and Montenegro;2001;910.0;600.0;300.0;10.0;910.0;220.0;50.0;640.0
1346;Serbia and Montenegro;2002 1st quarter;160.0;110.0;50.0;;160.0;30.0;10.0;110.0
1347;Serbia and Montenegro;2002 2nd quarter;120.0;80.0;40.0;0.0;120.0;40.0;10.0;70.0
1348;Serbia and Montenegro;2002 3rd quarter;120.0;80.0;50.0;;120.0;40.0;10.0;80.0
1349;Serbia and Montenegro;2002 4th quarter;120.0;70.0;50.0;0.0;120.0;30.0;0.0;90.0
1350;Serbia and Montenegro;2002;520.0;330.0;180.0;0.0;520.0;140.0;30.0;350.0
1351;Serbia and Montenegro;2003 1st quarter;70.0;40.0;30.0;0.0;70.0;20.0;0.0;50.0
1352;Serbia and Montenegro;2003 2nd quarter;80.0;50.0;30.0;;80.0;20.0;0.0;60.0
1353;Serbia and Montenegro;2003 3rd quarter;130.0;80.0;50.0;0.0;130.0;40.0;10.0;80.0
1354;Serbia and Montenegro;2003 4th quarter;110.0;70.0;40.0;0.0;110.0;40.0;10.0;70.0
1355;Serbia and Montenegro;2003;400.0;240.0;150.0;10.0;400.0;120.0;30.0;260.0
1356;Serbia and Montenegro;2004 1st quarter;120.0;70.0;50.0;0.0;120.0;40.0;0.0;70.0
1357;Serbia and Montenegro;2004 2nd quarter;80.0;40.0;30.0;10.0;80.0;30.0;0.0;50.0
1358;Serbia and Montenegro;2004 3rd quarter;90.0;50.0;40.0;0.0;90.0;30.0;0.0;60.0
1359;Serbia and Montenegro;2004 4th quarter;100.0;60.0;40.0;0.0;100.0;20.0;10.0;70.0
1360;Serbia and Montenegro;2004;400.0;220.0;160.0;10.0;400.0;120.0;20.0;260.0
1361;Serbia and Montenegro;2005 1st quarter;60.0;30.0;30.0;;60.0;20.0;0.0;50.0
1362;Serbia and Montenegro;2005 2nd quarter;70.0;40.0;30.0;;70.0;20.0;0.0;50.0
1363;Serbia and Montenegro;2005 3rd quarter;60.0;30.0;30.0;;60.0;10.0;0.0;40.0
1364;Serbia and Montenegro;2005 4th quarter;150.0;90.0;60.0;;150.0;40.0;10.0;100.0
1365;Serbia and Montenegro;2005;340.0;190.0;150.0;;340.0;80.0;20.0;230.0
1366;Serbia and Montenegro;2006 1st quarter;290.0;150.0;140.0;;290.0;90.0;20.0;190.0
1367;Serbia and Montenegro;2006 2nd quarter;170.0;80.0;80.0;;170.0;40.0;20.0;110.0
1368;Serbia and Montenegro;2006 3rd quarter;110.0;60.0;60.0;;110.0;40.0;10.0;70.0
1369;Serbia and Montenegro;2006 4th quarter;40.0;20.0;20.0;;40.0;10.0;0.0;30.0
1370;Serbia and Montenegro;2006;610.0;310.0;300.0;;610.0;180.0;40.0;390.0
1371;Serbia and Montenegro;2007 1st quarter;40.0;30.0;20.0;;40.0;10.0;0.0;30.0
1372;Serbia and Montenegro;2007 2nd quarter;10.0;10.0;0.0;;10.0;0.0;;10.0
1373;Serbia and Montenegro;2007 3rd quarter;10.0;0.0;0.0;;10.0;0.0;;10.0
1374;Serbia and Montenegro;2007 4th quarter;10.0;10.0;0.0;;10.0;0.0;;10.0
1375;Serbia and Montenegro;2007;70.0;40.0;20.0;;70.0;20.0;0.0;50.0
1376;Serbia and Montenegro;2008 1st quarter;;;;;;;;
1377;Sierra Leone;1998 1st quarter;130.0;110.0;30.0;;130.0;10.0;60.0;60.0
1378;Sierra Leone;1998 2nd quarter;110.0;80.0;40.0;0.0;110.0;0.0;60.0;50.0
1379;Sierra Leone;1998 3rd quarter;100.0;80.0;20.0;;100.0;10.0;70.0;20.0
1380;Sierra Leone;1998 4th quarter;140.0;110.0;20.0;0.0;140.0;10.0;80.0;40.0
1381;Sierra Leone;1998;480.0;380.0;110.0;0.0;480.0;30.0;280.0;170.0
1382;Sierra Leone;1999 1st quarter;270.0;210.0;70.0;;270.0;40.0;130.0;110.0
1383;Sierra Leone;1999 2nd quarter;360.0;280.0;70.0;0.0;360.0;50.0;140.0;170.0
1384;Sierra Leone;1999 3rd quarter;270.0;220.0;50.0;0.0;270.0;40.0;120.0;120.0
1385;Sierra Leone;1999 4th quarter;380.0;290.0;90.0;0.0;380.0;40.0;190.0;150.0
1386;Sierra Leone;1999;1280.0;1000.0;280.0;10.0;1280.0;160.0;570.0;540.0
1387;Sierra Leone;2000 1st quarter;490.0;400.0;90.0;10.0;490.0;50.0;260.0;190.0
1388;Sierra Leone;2000 2nd quarter;420.0;330.0;90.0;10.0;420.0;40.0;160.0;220.0
1389;Sierra Leone;2000 3rd quarter;510.0;410.0;100.0;10.0;510.0;30.0;150.0;330.0
1390;Sierra Leone;2000 4th quarter;580.0;480.0;100.0;0.0;580.0;30.0;220.0;340.0
1391;Sierra Leone;2000;2000.0;1600.0;380.0;20.0;2000.0;140.0;790.0;1070.0
1392;Sierra Leone;2001 1st quarter;630.0;520.0;90.0;20.0;630.0;40.0;220.0;370.0
1393;Sierra Leone;2001 2nd quarter;520.0;430.0;80.0;10.0;520.0;20.0;180.0;330.0
1394;Sierra Leone;2001 3rd quarter;530.0;430.0;90.0;10.0;530.0;20.0;160.0;350.0
1395;Sierra Leone;2001 4th quarter;730.0;580.0;130.0;10.0;730.0;30.0;210.0;490.0
1396;Sierra Leone;2001;2410.0;1960.0;400.0;50.0;2410.0;100.0;770.0;1540.0
1397;Sierra Leone;2002 1st quarter;660.0;520.0;130.0;10.0;660.0;40.0;180.0;440.0
1398;Sierra Leone;2002 2nd quarter;420.0;320.0;90.0;10.0;420.0;30.0;90.0;300.0
1399;Sierra Leone;2002 3rd quarter;280.0;210.0;70.0;10.0;280.0;20.0;70.0;200.0
1400;Sierra Leone;2002 4th quarter;250.0;170.0;70.0;10.0;250.0;20.0;50.0;180.0
1401;Sierra Leone;2002;1610.0;1220.0;360.0;40.0;1610.0;100.0;400.0;1120.0
1402;Sierra Leone;2003 1st quarter;150.0;110.0;30.0;10.0;150.0;10.0;40.0;100.0
1403;Sierra Leone;2003 2nd quarter;80.0;50.0;30.0;10.0;80.0;0.0;20.0;60.0
1404;Sierra Leone;2003 3rd quarter;50.0;30.0;20.0;;50.0;0.0;10.0;40.0
1405;Sierra Leone;2003 4th quarter;40.0;20.0;20.0;;40.0;10.0;10.0;20.0
1406;Sierra Leone;2003;310.0;210.0;90.0;10.0;310.0;20.0;70.0;220.0
1407;Sierra Leone;2004 1st quarter;50.0;30.0;20.0;;50.0;10.0;10.0;40.0
1408;Sierra Leone;2004 2nd quarter;30.0;20.0;10.0;;30.0;10.0;0.0;20.0
1409;Sierra Leone;2004 3rd quarter;30.0;10.0;20.0;;30.0;0.0;0.0;20.0
1410;Sierra Leone;2004 4th quarter;30.0;20.0;10.0;;30.0;10.0;0.0;20.0
1411;Sierra Leone;2004;140.0;70.0;60.0;;140.0;20.0;20.0;100.0
1412;Sierra Leone;2005 1st quarter;50.0;30.0;20.0;;50.0;10.0;10.0;30.0
1413;Sierra Leone;2005 2nd quarter;30.0;10.0;20.0;;30.0;10.0;0.0;20.0
1414;Sierra Leone;2005 3rd quarter;60.0;30.0;30.0;;60.0;10.0;10.0;40.0
1415;Sierra Leone;2005 4th quarter;50.0;30.0;20.0;;50.0;10.0;0.0;40.0
1416;Sierra Leone;2005;190.0;100.0;90.0;;190.0;50.0;20.0;120.0
1417;Sierra Leone;2006 1st quarter;60.0;30.0;30.0;;60.0;20.0;0.0;40.0
1418;Sierra Leone;2006 2nd quarter;60.0;30.0;30.0;;60.0;10.0;10.0;40.0
1419;Sierra Leone;2006 3rd quarter;40.0;20.0;20.0;;40.0;10.0;0.0;30.0
1420;Sierra Leone;2006 4th quarter;40.0;20.0;20.0;;40.0;10.0;0.0;30.0
1421;Sierra Leone;2006;200.0;100.0;100.0;;200.0;40.0;20.0;140.0
1422;Sierra Leone;2007 1st quarter;60.0;30.0;30.0;;60.0;20.0;0.0;40.0
1423;Sierra Leone;2007 2nd quarter;70.0;40.0;40.0;;70.0;20.0;0.0;50.0
1424;Sierra Leone;2007 3rd quarter;60.0;30.0;30.0;;60.0;10.0;10.0;40.0
1425;Sierra Leone;2007 4th quarter;40.0;20.0;20.0;;40.0;10.0;0.0;30.0
1426;Sierra Leone;2007;230.0;120.0;110.0;;230.0;60.0;20.0;150.0
1427;Sierra Leone;2008 1st quarter;;;;;;;;
1428;Slovenia;1998 1st quarter;;;;;;;;
1429;Slovenia;1998 2nd quarter;;;;;;;;
1430;Slovenia;1998 3rd quarter;10.0;0.0;0.0;;10.0;0.0;;0.0
1431;Slovenia;1998 4th quarter;;;;;;;;
1432;Slovenia;1998;10.0;0.0;0.0;;10.0;0.0;;0.0
1433;Slovenia;1999 1st quarter;;;;;;;;
1434;Slovenia;1999 2nd quarter;0.0;;0.0;;0.0;;;0.0
1435;Slovenia;1999 3rd quarter;0.0;0.0;0.0;;0.0;;;0.0
1436;Slovenia;1999 4th quarter;;;;;;;;
1437;Slovenia;1999;10.0;0.0;0.0;;10.0;;;10.0
1438;Slovenia;2000 1st quarter;0.0;0.0;0.0;;0.0;;;0.0
1439;Slovenia;2000 2nd quarter;;;;;;;;
1440;Slovenia;2000 3rd quarter;;;;;;;;
1441;Slovenia;2000 4th quarter;;;;;;;;
1442;Slovenia;2000;0.0;0.0;0.0;;0.0;;;0.0
1443;Slovenia;2001 1st quarter;;;;;;;;
1444;Slovenia;2001 2nd quarter;0.0;;0.0;;0.0;;;0.0
1445;Slovenia;2001 3rd quarter;10.0;0.0;0.0;;10.0;10.0;;
1446;Slovenia;2001 4th quarter;10.0;;0.0;0.0;10.0;10.0;;
1447;Slovenia;2001;10.0;0.0;10.0;0.0;10.0;10.0;;0.0
1448;Slovenia;2002 1st quarter;;;;;;;;
1449;Slovenia;2002 2nd quarter;0.0;;0.0;;0.0;0.0;;
1450;Slovenia;2002 3rd quarter;;;;;;;;
1451;Slovenia;2002 4th quarter;;;;;;;;
1452;Slovenia;2002;0.0;;0.0;;0.0;0.0;;
1453;Slovenia;2003 1st quarter;;;;;;;;
1454;Slovenia;2003 2nd quarter;;;;;;;;
1455;Slovenia;2003 3rd quarter;;;;;;;;
1456;Slovenia;2003 4th quarter;;;;;;;;
1457;Slovenia;2003;;;;;;;;
1458;Slovenia;2004 1st quarter;0.0;;0.0;;0.0;0.0;;0.0
1459;Slovenia;2004 2nd quarter;;;;;;;;
1460;Slovenia;2004 3rd quarter;;;;;;;;
1461;Slovenia;2004 4th quarter;;;;;;;;
1462;Slovenia;2004;0.0;;0.0;;0.0;0.0;;0.0
1463;Slovenia;2005 1st quarter;;;;;;;;
1464;Slovenia;2005 2nd quarter;;;;;;;;
1465;Slovenia;2005 3rd quarter;;;;;;;;
1466;Slovenia;2005 4th quarter;;;;;;;;
1467;Slovenia;2005;;;;;;;;
1468;Slovenia;2006 1st quarter;;;;;;;;
1469;Slovenia;2006 2nd quarter;;;;;;;;
1470;Slovenia;2006 3rd quarter;;;;;;;;
1471;Slovenia;2006 4th quarter;;;;;;;;
1472;Slovenia;2006;;;;;;;;
1473;Slovenia;2007 1st quarter;;;;;;;;
1474;Slovenia;2007 2nd quarter;;;;;;;;
1475;Slovenia;2007 3rd quarter;;;;;;;;
1476;Slovenia;2007 4th quarter;;;;;;;;
1477;Slovenia;2007;;;;;;;;
1478;Slovenia;2008 1st quarter;;;;;;;;
1479;Slovakia;1998 1st quarter;40.0;20.0;30.0;;40.0;20.0;0.0;20.0
1480;Slovakia;1998 2nd quarter;80.0;40.0;40.0;0.0;80.0;40.0;0.0;40.0
1481;Slovakia;1998 3rd quarter;160.0;80.0;70.0;;160.0;70.0;10.0;80.0
1482;Slovakia;1998 4th quarter;30.0;20.0;20.0;;30.0;10.0;0.0;20.0
1483;Slovakia;1998;320.0;160.0;150.0;0.0;320.0;140.0;10.0;170.0
1484;Slovakia;1999 1st quarter;50.0;30.0;30.0;;50.0;30.0;0.0;30.0
1485;Slovakia;1999 2nd quarter;100.0;60.0;50.0;;100.0;50.0;0.0;50.0
1486;Slovakia;1999 3rd quarter;200.0;100.0;90.0;;200.0;90.0;10.0;90.0
1487;Slovakia;1999 4th quarter;120.0;50.0;60.0;;120.0;50.0;0.0;60.0
1488;Slovakia;1999;470.0;240.0;230.0;;470.0;220.0;20.0;230.0
1489;Slovakia;2000 1st quarter;570.0;310.0;260.0;;570.0;210.0;40.0;320.0
1490;Slovakia;2000 2nd quarter;160.0;80.0;80.0;;160.0;70.0;10.0;90.0
1491;Slovakia;2000 3rd quarter;130.0;70.0;60.0;;130.0;50.0;10.0;70.0
1492;Slovakia;2000 4th quarter;140.0;70.0;70.0;;140.0;70.0;0.0;70.0
1493;Slovakia;2000;1000.0;530.0;460.0;;1000.0;400.0;60.0;540.0
1494;Slovakia;2001 1st quarter;30.0;20.0;10.0;;30.0;10.0;0.0;20.0
1495;Slovakia;2001 2nd quarter;40.0;20.0;20.0;0.0;40.0;20.0;;20.0
1496;Slovakia;2001 3rd quarter;70.0;40.0;30.0;;70.0;30.0;10.0;30.0
1497;Slovakia;2001 4th quarter;100.0;50.0;50.0;;100.0;40.0;10.0;50.0
1498;Slovakia;2001;230.0;120.0;110.0;0.0;230.0;90.0;20.0;120.0
1499;Slovakia;2002 1st quarter;40.0;20.0;20.0;;40.0;20.0;10.0;20.0
1500;Slovakia;2002 2nd quarter;80.0;30.0;40.0;;80.0;30.0;10.0;50.0
1501;Slovakia;2002 3rd quarter;60.0;40.0;30.0;0.0;60.0;30.0;0.0;30.0
1502;Slovakia;2002 4th quarter;20.0;10.0;10.0;;20.0;10.0;0.0;10.0
1503;Slovakia;2002;200.0;100.0;100.0;0.0;200.0;80.0;10.0;110.0
1504;Slovakia;2003 1st quarter;20.0;10.0;10.0;;20.0;10.0;0.0;10.0
1505;Slovakia;2003 2nd quarter;60.0;30.0;30.0;0.0;60.0;30.0;10.0;20.0
1506;Slovakia;2003 3rd quarter;40.0;20.0;20.0;0.0;40.0;20.0;0.0;20.0
1507;Slovakia;2003 4th quarter;50.0;20.0;20.0;;50.0;20.0;0.0;20.0
1508;Slovakia;2003;160.0;80.0;80.0;10.0;160.0;80.0;10.0;80.0
1509;Slovakia;2004 1st quarter;30.0;20.0;10.0;;30.0;20.0;0.0;10.0
1510;Slovakia;2004 2nd quarter;10.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0
1511;Slovakia;2004 3rd quarter;;;;;;;;
1512;Slovakia;2004 4th quarter;0.0;0.0;0.0;;0.0;;;0.0
1513;Slovakia;2004;40.0;20.0;10.0;0.0;40.0;20.0;0.0;10.0
1514;Slovakia;2005 1st quarter;;;;;;;;
1515;Slovakia;2005 2nd quarter;0.0;0.0;0.0;;0.0;0.0;;0.0
1516;Slovakia;2005 3rd quarter;0.0;0.0;;;0.0;0.0;;
1517;Slovakia;2005 4th quarter;;;;;;;;
1518;Slovakia;2005;10.0;0.0;0.0;;10.0;0.0;;0.0
1519;Slovakia;2006 1st quarter;0.0;0.0;0.0;;0.0;0.0;;0.0
1520;Slovakia;2006 2nd quarter;;;;;;;;
1521;Slovakia;2006 3rd quarter;;;;;;;;
1522;Slovakia;2006 4th quarter;;;;;;;;
1523;Slovakia;2006;0.0;0.0;0.0;;0.0;0.0;;0.0
1524;Slovakia;2007 1st quarter;;;;;;;;
1525;Slovakia;2007 2nd quarter;;;;;;;;
1526;Slovakia;2007 3rd quarter;;;;;;;;
1527;Slovakia;2007 4th quarter;;;;;;;;
1528;Slovakia;2007;;;;;;;;
1529;Slovakia;2008 1st quarter;;;;;;;;
1530;Somalia;1998 1st quarter;450.0;250.0;200.0;;450.0;100.0;110.0;240.0
1531;Somalia;1998 2nd quarter;620.0;350.0;270.0;0.0;620.0;160.0;110.0;350.0
1532;Somalia;1998 3rd quarter;860.0;450.0;410.0;;860.0;250.0;170.0;440.0
1533;Somalia;1998 4th quarter;850.0;470.0;370.0;0.0;850.0;240.0;180.0;430.0
1534;Somalia;1998;2780.0;1520.0;1250.0;0.0;2780.0;760.0;560.0;1460.0
1535;Somalia;1999 1st quarter;670.0;340.0;330.0;0.0;670.0;240.0;120.0;310.0
1536;Somalia;1999 2nd quarter;550.0;290.0;270.0;0.0;550.0;160.0;80.0;310.0
1537;Somalia;1999 3rd quarter;690.0;390.0;300.0;0.0;690.0;220.0;120.0;350.0
1538;Somalia;1999 4th quarter;820.0;440.0;380.0;0.0;820.0;230.0;140.0;460.0
1539;Somalia;1999;2730.0;1450.0;1270.0;10.0;2730.0;850.0;450.0;1430.0
1540;Somalia;2000 1st quarter;680.0;380.0;300.0;0.0;680.0;190.0;100.0;390.0
1541;Somalia;2000 2nd quarter;470.0;250.0;210.0;0.0;470.0;120.0;80.0;270.0
1542;Somalia;2000 3rd quarter;560.0;310.0;250.0;0.0;560.0;160.0;90.0;310.0
1543;Somalia;2000 4th quarter;390.0;220.0;160.0;10.0;390.0;90.0;70.0;230.0
1544;Somalia;2000;2100.0;1150.0;930.0;20.0;2100.0;550.0;350.0;1200.0
1545;Somalia;2001 1st quarter;320.0;180.0;140.0;10.0;320.0;80.0;60.0;180.0
1546;Somalia;2001 2nd quarter;260.0;150.0;110.0;10.0;260.0;60.0;40.0;160.0
1547;Somalia;2001 3rd quarter;270.0;160.0;110.0;10.0;270.0;50.0;70.0;150.0
1548;Somalia;2001 4th quarter;250.0;130.0;110.0;0.0;250.0;50.0;50.0;150.0
1549;Somalia;2001;1100.0;620.0;470.0;20.0;1100.0;240.0;230.0;630.0
1550;Somalia;2002 1st quarter;140.0;80.0;60.0;0.0;140.0;40.0;30.0;80.0
1551;Somalia;2002 2nd quarter;150.0;80.0;60.0;0.0;150.0;50.0;20.0;80.0
1552;Somalia;2002 3rd quarter;150.0;80.0;60.0;10.0;150.0;50.0;20.0;70.0
1553;Somalia;2002 4th quarter;100.0;50.0;40.0;10.0;100.0;30.0;10.0;60.0
1554;Somalia;2002;540.0;290.0;230.0;20.0;540.0;170.0;80.0;290.0
1555;Somalia;2003 1st quarter;80.0;60.0;20.0;0.0;80.0;20.0;10.0;50.0
1556;Somalia;2003 2nd quarter;90.0;50.0;40.0;0.0;90.0;20.0;20.0;50.0
1557;Somalia;2003 3rd quarter;180.0;120.0;50.0;10.0;180.0;40.0;30.0;110.0
1558;Somalia;2003 4th quarter;90.0;60.0;30.0;0.0;90.0;30.0;20.0;50.0
