ID;EmployeeWithWithoutRegistration;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;MigrationBackgroundNationality;Periods;JobsEmployeesFromAbroad_1
8499;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Greece;2013;0.0
8500;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Greece;2014 1st quarter;0.0
8501;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Greece;2014 2nd quarter;0.0
8502;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Greece;2014 3rd quarter;0.0
8503;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Greece;2014 4th quarter;0.0
8504;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Greece;2014;0.0
8505;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Greece;2015 1st quarter;0.0
8506;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Greece;2015 2nd quarter;0.0
8507;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Greece;2015 3rd quarter;0.1
8508;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Greece;2015 4th quarter;0.1
8509;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Greece;2015;0.0
8510;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Greece;2016 1st quarter;0.1
8511;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Greece;2016 2nd quarter;0.1
8512;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Greece;2016 3rd quarter;0.1
8513;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Greece;2016 4th quarter;0.1
8514;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Greece;2016;0.1
8515;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Greece;2017 1st quarter;0.1
8516;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Greece;2017 2nd quarter;0.1
8517;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Greece;2017 3rd quarter;0.1
8518;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Greece;2017 4th quarter;0.1
8519;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Greece;2017;0.1
8520;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2010 1st quarter;0.1
8521;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2010 2nd quarter;0.1
8522;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2010 3rd quarter;0.1
8523;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2010 4th quarter;0.1
8524;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2010;0.1
8525;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2011 1st quarter;0.1
8526;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2011 2nd quarter;0.1
8527;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2011 3rd quarter;0.1
8528;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2011 4th quarter;0.1
8529;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2011;0.1
8530;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2012 1st quarter;0.1
8531;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2012 2nd quarter;0.1
8532;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2012 3rd quarter;0.1
8533;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2012 4th quarter;0.1
8534;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2012;0.1
8535;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2013 1st quarter;0.1
8536;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2013 2nd quarter;0.1
8537;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2013 3rd quarter;0.1
8538;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2013 4th quarter;0.1
8539;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2013;0.1
8540;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2014 1st quarter;0.2
8541;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2014 2nd quarter;0.2
8542;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2014 3rd quarter;0.2
8543;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2014 4th quarter;0.2
8544;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2014;0.2
8545;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2015 1st quarter;0.2
8546;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2015 2nd quarter;0.2
8547;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2015 3rd quarter;0.2
8548;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2015 4th quarter;0.2
8549;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2015;0.2
8550;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2016 1st quarter;0.2
8551;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2016 2nd quarter;0.2
8552;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2016 3rd quarter;0.2
8553;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2016 4th quarter;0.2
8554;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2016;0.2
8555;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2017 1st quarter;0.2
8556;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2017 2nd quarter;0.2
8557;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2017 3rd quarter;0.3
8558;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2017 4th quarter;0.3
8559;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Italy;2017;0.2
8560;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2010 1st quarter;0.1
8561;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2010 2nd quarter;0.1
8562;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2010 3rd quarter;0.1
8563;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2010 4th quarter;0.1
8564;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2010;0.1
8565;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2011 1st quarter;0.1
8566;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2011 2nd quarter;0.1
8567;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2011 3rd quarter;0.1
8568;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2011 4th quarter;0.1
8569;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2011;0.1
8570;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2012 1st quarter;0.1
8571;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2012 2nd quarter;0.1
8572;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2012 3rd quarter;0.1
8573;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2012 4th quarter;0.1
8574;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2012;0.1
8575;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2013 1st quarter;0.1
8576;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2013 2nd quarter;0.1
8577;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2013 3rd quarter;0.1
8578;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2013 4th quarter;0.1
8579;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2013;0.1
8580;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2014 1st quarter;0.1
8581;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2014 2nd quarter;0.1
8582;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2014 3rd quarter;0.1
8583;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2014 4th quarter;0.1
8584;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2014;0.1
8585;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2015 1st quarter;0.1
8586;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2015 2nd quarter;0.1
8587;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2015 3rd quarter;0.1
8588;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2015 4th quarter;0.1
8589;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2015;0.1
8590;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2016 1st quarter;0.1
8591;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2016 2nd quarter;0.2
8592;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2016 3rd quarter;0.2
8593;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2016 4th quarter;0.2
8594;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2016;0.2
8595;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2017 1st quarter;0.2
8596;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2017 2nd quarter;0.2
8597;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2017 3rd quarter;0.2
8598;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2017 4th quarter;0.2
8599;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Poland;2017;0.2
8600;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2010 1st quarter;0.0
8601;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2010 2nd quarter;0.0
8602;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2010 3rd quarter;0.0
8603;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2010 4th quarter;0.0
8604;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2010;0.0
8605;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2011 1st quarter;0.0
8606;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2011 2nd quarter;0.0
8607;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2011 3rd quarter;0.0
8608;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2011 4th quarter;0.0
8609;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2011;0.0
8610;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2012 1st quarter;0.0
8611;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2012 2nd quarter;0.0
8612;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2012 3rd quarter;0.0
8613;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2012 4th quarter;0.0
8614;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2012;0.0
8615;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2013 1st quarter;0.0
8616;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2013 2nd quarter;0.0
8617;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2013 3rd quarter;0.0
8618;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2013 4th quarter;0.0
8619;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2013;0.0
8620;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2014 1st quarter;0.0
8621;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2014 2nd quarter;0.0
8622;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2014 3rd quarter;0.0
8623;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2014 4th quarter;0.1
8624;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2014;0.0
8625;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2015 1st quarter;0.1
8626;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2015 2nd quarter;0.1
8627;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2015 3rd quarter;0.1
8628;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2015 4th quarter;0.1
8629;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2015;0.1
8630;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2016 1st quarter;0.1
8631;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2016 2nd quarter;0.1
8632;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2016 3rd quarter;0.1
8633;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2016 4th quarter;0.1
8634;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2016;0.1
8635;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2017 1st quarter;0.1
8636;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2017 2nd quarter;0.1
8637;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2017 3rd quarter;0.1
8638;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2017 4th quarter;0.1
8639;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Portugal;2017;0.1
8640;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2010 1st quarter;0.0
8641;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2010 2nd quarter;0.0
8642;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2010 3rd quarter;0.0
8643;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2010 4th quarter;0.0
8644;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2010;0.0
8645;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2011 1st quarter;0.0
8646;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2011 2nd quarter;0.0
8647;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2011 3rd quarter;0.1
8648;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2011 4th quarter;0.1
8649;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2011;0.1
8650;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2012 1st quarter;0.1
8651;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2012 2nd quarter;0.1
8652;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2012 3rd quarter;0.1
8653;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2012 4th quarter;0.0
8654;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2012;0.1
8655;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2013 1st quarter;0.1
8656;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2013 2nd quarter;0.1
8657;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2013 3rd quarter;0.1
8658;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2013 4th quarter;0.1
8659;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2013;0.1
8660;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2014 1st quarter;0.1
8661;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2014 2nd quarter;0.1
8662;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2014 3rd quarter;0.1
8663;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2014 4th quarter;0.1
8664;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2014;0.1
8665;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2015 1st quarter;0.1
8666;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2015 2nd quarter;0.1
8667;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2015 3rd quarter;0.1
8668;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2015 4th quarter;0.1
8669;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2015;0.1
8670;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2016 1st quarter;0.1
8671;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2016 2nd quarter;0.1
8672;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2016 3rd quarter;0.1
8673;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2016 4th quarter;0.1
8674;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2016;0.1
8675;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2017 1st quarter;0.1
8676;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2017 2nd quarter;0.1
8677;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2017 3rd quarter;0.1
8678;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2017 4th quarter;0.1
8679;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Romania;2017;0.1
8680;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2010 1st quarter;0.1
8681;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2010 2nd quarter;0.1
8682;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2010 3rd quarter;0.1
8683;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2010 4th quarter;0.1
8684;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2010;0.1
8685;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2011 1st quarter;0.1
8686;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2011 2nd quarter;0.1
8687;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2011 3rd quarter;0.1
8688;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2011 4th quarter;0.1
8689;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2011;0.1
8690;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2012 1st quarter;0.1
8691;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2012 2nd quarter;0.1
8692;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2012 3rd quarter;0.1
8693;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2012 4th quarter;0.1
8694;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2012;0.1
8695;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2013 1st quarter;0.1
8696;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2013 2nd quarter;0.1
8697;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2013 3rd quarter;0.1
8698;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2013 4th quarter;0.1
8699;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2013;0.1
8700;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2014 1st quarter;0.1
8701;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2014 2nd quarter;0.1
8702;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2014 3rd quarter;0.1
8703;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2014 4th quarter;0.1
8704;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2014;0.1
8705;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2015 1st quarter;0.1
8706;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2015 2nd quarter;0.1
8707;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2015 3rd quarter;0.1
8708;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2015 4th quarter;0.1
8709;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2015;0.1
8710;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2016 1st quarter;0.2
8711;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2016 2nd quarter;0.2
8712;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2016 3rd quarter;0.2
8713;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2016 4th quarter;0.2
8714;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2016;0.2
8715;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2017 1st quarter;0.1
8716;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2017 2nd quarter;0.2
8717;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2017 3rd quarter;0.2
8718;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2017 4th quarter;0.2
8719;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Spain;2017;0.2
8720;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2010 1st quarter;0.5
8721;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2010 2nd quarter;0.5
8722;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2010 3rd quarter;0.5
8723;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2010 4th quarter;0.5
8724;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2010;0.5
8725;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2011 1st quarter;0.6
8726;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2011 2nd quarter;0.6
8727;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2011 3rd quarter;0.6
8728;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2011 4th quarter;0.6
8729;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2011;0.6
8730;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2012 1st quarter;0.6
8731;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2012 2nd quarter;0.6
8732;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2012 3rd quarter;0.6
8733;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2012 4th quarter;0.6
8734;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2012;0.6
8735;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2013 1st quarter;0.6
