ID;EmployeeResidentNonResident;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;MigrationBackground;Periods;JobsForeignBornEmployees_1
7430;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2011 1st quarter;2.1
7431;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2011 2nd quarter;2.1
7432;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2011 3rd quarter;2.1
7433;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2011 4th quarter;2.1
7434;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2011;2.1
7435;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2012 1st quarter;2.1
7436;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2012 2nd quarter;2.2
7437;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2012 3rd quarter;2.3
7438;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2012 4th quarter;2.2
7439;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2012;2.2
7440;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2013 1st quarter;2.4
7441;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2013 2nd quarter;2.5
7442;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2013 3rd quarter;2.4
7443;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2013 4th quarter;2.5
7444;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2013;2.5
7445;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2014 1st quarter;2.7
7446;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2014 2nd quarter;2.7
7447;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2014 3rd quarter;2.7
7448;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2014 4th quarter;2.8
7449;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2014;2.7
7450;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2015 1st quarter;3.0
7451;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2015 2nd quarter;3.0
7452;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2015 3rd quarter;3.1
7453;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2015 4th quarter;3.1
7454;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2015;3.1
7455;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2016 1st quarter;3.1
7456;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2016 2nd quarter;3.2
7457;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2016 3rd quarter;3.3
7458;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2016 4th quarter;3.4
7459;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2016;3.3
7460;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2017 1st quarter;3.8
7461;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2017 2nd quarter;3.9
7462;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2017 3rd quarter;4.1
7463;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2017 4th quarter;4.3
7464;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2017;4.0
7465;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2018 1st quarter;4.5
7466;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2018 2nd quarter;4.9
7467;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2018 3rd quarter;5.2
7468;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2018 4th quarter;5.4
7469;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2018;5.0
7470;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2019 1st quarter;5.7
7471;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2019 2nd quarter;6.1
7472;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2019 3rd quarter;6.4
7473;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2019 4th quarter;6.7
7474;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2019;6.2
7475;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2020 1st quarter;7.6
7476;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2020 2nd quarter;7.7
7477;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2020 3rd quarter;7.9
7478;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2020 4th quarter;8.1
7479;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Asia;2020;7.8
7480;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2010 1st quarter;9.4
7481;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2010 2nd quarter;9.2
7482;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2010 3rd quarter;9.3
7483;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2010 4th quarter;9.5
7484;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2010;9.4
7485;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2011 1st quarter;9.9
7486;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2011 2nd quarter;10.0
7487;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2011 3rd quarter;10.3
7488;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2011 4th quarter;10.4
7489;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2011;10.2
7490;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2012 1st quarter;10.9
7491;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2012 2nd quarter;11.0
7492;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2012 3rd quarter;11.3
7493;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2012 4th quarter;11.1
7494;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2012;11.1
7495;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2013 1st quarter;11.6
7496;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2013 2nd quarter;11.7
7497;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2013 3rd quarter;11.6
7498;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2013 4th quarter;11.7
7499;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2013;11.6
7500;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2014 1st quarter;12.1
7501;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2014 2nd quarter;12.1
7502;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2014 3rd quarter;12.1
7503;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2014 4th quarter;12.2
7504;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2014;12.1
7505;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2015 1st quarter;13.1
7506;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2015 2nd quarter;13.1
7507;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2015 3rd quarter;13.2
7508;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2015 4th quarter;13.2
7509;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2015;13.1
7510;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2016 1st quarter;13.7
7511;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2016 2nd quarter;13.9
7512;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2016 3rd quarter;14.0
7513;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2016 4th quarter;14.3
7514;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2016;14.0
7515;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2017 1st quarter;15.1
7516;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2017 2nd quarter;15.6
7517;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2017 3rd quarter;15.7
7518;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2017 4th quarter;16.1
7519;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2017;15.6
7520;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2018 1st quarter;17.0
7521;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2018 2nd quarter;17.7
7522;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2018 3rd quarter;18.0
7523;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2018 4th quarter;18.7
7524;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2018;17.8
7525;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2019 1st quarter;19.1
7526;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2019 2nd quarter;19.8
7527;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2019 3rd quarter;20.4
7528;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2019 4th quarter;20.9
7529;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2019;20.1
7530;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2020 1st quarter;22.8
7531;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2020 2nd quarter;22.9
7532;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2020 3rd quarter;23.5
7533;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2020 4th quarter;23.8
7534;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Europe (excluding Dutch background);2020;23.2
7535;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2010 1st quarter;0.8
7536;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2010 2nd quarter;0.8
7537;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2010 3rd quarter;0.8
7538;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2010 4th quarter;0.8
7539;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2010;0.8
7540;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2011 1st quarter;0.9
7541;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2011 2nd quarter;0.9
7542;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2011 3rd quarter;1.0
7543;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2011 4th quarter;1.0
7544;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2011;0.9
7545;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2012 1st quarter;1.1
7546;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2012 2nd quarter;1.1
7547;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2012 3rd quarter;1.1
7548;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2012 4th quarter;1.1
7549;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2012;1.1
7550;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2013 1st quarter;1.1
7551;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2013 2nd quarter;1.2
7552;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2013 3rd quarter;1.2
7553;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2013 4th quarter;1.2
7554;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2013;1.2
7555;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2014 1st quarter;1.3
7556;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2014 2nd quarter;1.3
7557;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2014 3rd quarter;1.3
7558;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2014 4th quarter;1.4
7559;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2014;1.3
7560;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2015 1st quarter;1.5
7561;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2015 2nd quarter;1.5
7562;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2015 3rd quarter;1.5
7563;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2015 4th quarter;1.5
7564;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2015;1.5
7565;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2016 1st quarter;1.5
7566;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2016 2nd quarter;1.6
7567;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2016 3rd quarter;1.6
7568;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2016 4th quarter;1.6
7569;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2016;1.6
7570;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2017 1st quarter;1.8
7571;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2017 2nd quarter;1.9
7572;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2017 3rd quarter;2.0
7573;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2017 4th quarter;2.1
7574;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2017;1.9
7575;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2018 1st quarter;2.2
7576;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2018 2nd quarter;2.4
7577;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2018 3rd quarter;2.4
7578;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2018 4th quarter;2.5
7579;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2018;2.4
7580;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2019 1st quarter;2.6
7581;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2019 2nd quarter;2.7
7582;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2019 3rd quarter;2.8
7583;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2019 4th quarter;2.9
7584;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2019;2.8
7585;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2020 1st quarter;3.2
7586;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2020 2nd quarter;3.2
7587;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2020 3rd quarter;3.3
7588;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2020 4th quarter;3.4
7589;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;GIPS countries (European Union);2020;3.2
7590;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2010 1st quarter;0.9
7591;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2010 2nd quarter;0.9
7592;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2010 3rd quarter;1.0
7593;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2010 4th quarter;1.0
7594;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2010;0.9
7595;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2011 1st quarter;1.0
7596;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2011 2nd quarter;1.1
7597;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2011 3rd quarter;1.2
7598;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2011 4th quarter;1.2
7599;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2011;1.1
7600;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2012 1st quarter;1.2
7601;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2012 2nd quarter;1.2
7602;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2012 3rd quarter;1.3
7603;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2012 4th quarter;1.3
7604;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2012;1.3
7605;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2013 1st quarter;1.3
7606;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2013 2nd quarter;1.3
7607;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2013 3rd quarter;1.4
7608;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2013 4th quarter;1.4
7609;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2013;1.4
7610;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2014 1st quarter;1.4
7611;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2014 2nd quarter;1.4
7612;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2014 3rd quarter;1.4
7613;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2014 4th quarter;1.5
7614;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2014;1.4
7615;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2015 1st quarter;1.6
7616;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2015 2nd quarter;1.7
7617;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2015 3rd quarter;1.7
7618;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2015 4th quarter;1.7
7619;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2015;1.7
7620;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2016 1st quarter;1.8
7621;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2016 2nd quarter;1.9
7622;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2016 3rd quarter;2.0
7623;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2016 4th quarter;2.0
7624;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2016;1.9
7625;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2017 1st quarter;2.0
7626;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2017 2nd quarter;2.1
7627;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2017 3rd quarter;2.1
7628;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2017 4th quarter;2.1
7629;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2017;2.1
7630;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2018 1st quarter;2.4
7631;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2018 2nd quarter;2.4
7632;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2018 3rd quarter;2.5
7633;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2018 4th quarter;2.7
7634;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2018;2.5
7635;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2019 1st quarter;2.8
7636;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2019 2nd quarter;2.9
7637;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2019 3rd quarter;3.0
7638;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2019 4th quarter;3.1
7639;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2019;2.9
7640;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2020 1st quarter;3.6
7641;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2020 2nd quarter;3.6
7642;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2020 3rd quarter;3.7
7643;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2020 4th quarter;3.7
