ID;CharacteristicsHouseholdsAndPersons;CaribbeanNetherlands;Periods;MedianDevelopmentPurchasingPower_1;PersonsWithPurchasingPowerDecrease_2
1257;Pos. in hh.: Partner of main earner;St. Eustatius;2015;4.9;35.0
1258;Pos. in hh.: Partner of main earner;St. Eustatius;2016;0.3;49.0
1259;Pos. in hh.: Partner of main earner;St. Eustatius;2017;2.9;43.0
1260;Pos. in hh.: Partner of main earner;St. Eustatius;2018;3.3;38.0
1261;Pos. in hh.: Partner of main earner;St. Eustatius;2019;6.7;35.0
1262;Pos. in hh.: Partner of main earner;St. Eustatius;2020;0.9;50.0
1263;Pos. in hh.: Partner of main earner;St. Eustatius;2021;1.2;43.0
1264;Pos. in hh.: Partner of main earner;St. Eustatius;2022;-3.7;60.0
1265;Pos. in hh.: Partner of main earner;Saba;2012;3.9;41.0
1266;Pos. in hh.: Partner of main earner;Saba;2013;2.8;38.0
1267;Pos. in hh.: Partner of main earner;Saba;2014;2.3;40.0
1268;Pos. in hh.: Partner of main earner;Saba;2015;2.2;37.0
1269;Pos. in hh.: Partner of main earner;Saba;2016;5.0;34.0
1270;Pos. in hh.: Partner of main earner;Saba;2017;1.0;44.0
1271;Pos. in hh.: Partner of main earner;Saba;2018;-0.7;52.0
1272;Pos. in hh.: Partner of main earner;Saba;2019;3.9;34.0
1273;Pos. in hh.: Partner of main earner;Saba;2020;3.8;36.0
1274;Pos. in hh.: Partner of main earner;Saba;2021;0.9;48.0
1275;Pos. in hh.: Partner of main earner;Saba;2022;-2.3;58.0
1276;Pos. in hh.: Child underage;Caribbean Netherlands;2012;4.9;41.0
1277;Pos. in hh.: Child underage;Caribbean Netherlands;2013;3.4;41.0
1278;Pos. in hh.: Child underage;Caribbean Netherlands;2014;4.0;40.0
1279;Pos. in hh.: Child underage;Caribbean Netherlands;2015;6.8;33.0
1280;Pos. in hh.: Child underage;Caribbean Netherlands;2016;5.3;36.0
1281;Pos. in hh.: Child underage;Caribbean Netherlands;2017;3.7;39.0
1282;Pos. in hh.: Child underage;Caribbean Netherlands;2018;1.6;45.0
1283;Pos. in hh.: Child underage;Caribbean Netherlands;2019;7.4;31.0
1284;Pos. in hh.: Child underage;Caribbean Netherlands;2020;6.3;33.0
1285;Pos. in hh.: Child underage;Caribbean Netherlands;2021;3.9;38.0
1286;Pos. in hh.: Child underage;Caribbean Netherlands;2022;-3.5;58.0
1287;Pos. in hh.: Child underage;Bonaire;2012;4.5;42.0
1288;Pos. in hh.: Child underage;Bonaire;2013;3.3;42.0
1289;Pos. in hh.: Child underage;Bonaire;2014;4.6;40.0
1290;Pos. in hh.: Child underage;Bonaire;2015;7.0;32.0
1291;Pos. in hh.: Child underage;Bonaire;2016;5.2;37.0
1292;Pos. in hh.: Child underage;Bonaire;2017;3.8;39.0
1293;Pos. in hh.: Child underage;Bonaire;2018;1.2;46.0
1294;Pos. in hh.: Child underage;Bonaire;2019;7.1;32.0
1295;Pos. in hh.: Child underage;Bonaire;2020;6.9;32.0
1296;Pos. in hh.: Child underage;Bonaire;2021;4.1;38.0
1297;Pos. in hh.: Child underage;Bonaire;2022;-3.9;60.0
1298;Pos. in hh.: Child underage;St. Eustatius;2012;5.4;41.0
1299;Pos. in hh.: Child underage;St. Eustatius;2013;3.2;40.0
1300;Pos. in hh.: Child underage;St. Eustatius;2014;1.6;45.0
1301;Pos. in hh.: Child underage;St. Eustatius;2015;7.7;33.0
1302;Pos. in hh.: Child underage;St. Eustatius;2016;3.9;37.0
1303;Pos. in hh.: Child underage;St. Eustatius;2017;4.1;37.0
1304;Pos. in hh.: Child underage;St. Eustatius;2018;5.0;36.0
1305;Pos. in hh.: Child underage;St. Eustatius;2019;8.8;29.0
1306;Pos. in hh.: Child underage;St. Eustatius;2020;4.0;41.0
1307;Pos. in hh.: Child underage;St. Eustatius;2021;2.9;38.0
1308;Pos. in hh.: Child underage;St. Eustatius;2022;-3.3;56.0
1309;Pos. in hh.: Child underage;Saba;2012;7.8;29.0
1310;Pos. in hh.: Child underage;Saba;2013;5.0;35.0
1311;Pos. in hh.: Child underage;Saba;2014;3.8;37.0
1312;Pos. in hh.: Child underage;Saba;2015;5.0;35.0
1313;Pos. in hh.: Child underage;Saba;2016;9.1;23.0
1314;Pos. in hh.: Child underage;Saba;2017;1.8;42.0
1315;Pos. in hh.: Child underage;Saba;2018;1.7;44.0
1316;Pos. in hh.: Child underage;Saba;2019;8.7;25.0
1317;Pos. in hh.: Child underage;Saba;2020;5.1;34.0
1318;Pos. in hh.: Child underage;Saba;2021;3.2;36.0
1319;Pos. in hh.: Child underage;Saba;2022;1.5;48.0
1320;Pos. in hh.: Child of age;Caribbean Netherlands;2012;4.8;41.0
1321;Pos. in hh.: Child of age;Caribbean Netherlands;2013;2.6;43.0
1322;Pos. in hh.: Child of age;Caribbean Netherlands;2014;3.2;42.0
1323;Pos. in hh.: Child of age;Caribbean Netherlands;2015;5.7;36.0
1324;Pos. in hh.: Child of age;Caribbean Netherlands;2016;3.2;40.0
1325;Pos. in hh.: Child of age;Caribbean Netherlands;2017;2.4;41.0
1326;Pos. in hh.: Child of age;Caribbean Netherlands;2018;1.4;47.0
1327;Pos. in hh.: Child of age;Caribbean Netherlands;2019;5.3;38.0
1328;Pos. in hh.: Child of age;Caribbean Netherlands;2020;5.0;39.0
1329;Pos. in hh.: Child of age;Caribbean Netherlands;2021;1.6;44.0
1330;Pos. in hh.: Child of age;Caribbean Netherlands;2022;-2.7;56.0
1331;Pos. in hh.: Child of age;Bonaire;2012;4.3;43.0
1332;Pos. in hh.: Child of age;Bonaire;2013;2.3;45.0
1333;Pos. in hh.: Child of age;Bonaire;2014;3.6;41.0
1334;Pos. in hh.: Child of age;Bonaire;2015;5.7;37.0
1335;Pos. in hh.: Child of age;Bonaire;2016;3.3;40.0
1336;Pos. in hh.: Child of age;Bonaire;2017;2.4;41.0
1337;Pos. in hh.: Child of age;Bonaire;2018;0.6;49.0
1338;Pos. in hh.: Child of age;Bonaire;2019;4.9;39.0
1339;Pos. in hh.: Child of age;Bonaire;2020;5.8;37.0
1340;Pos. in hh.: Child of age;Bonaire;2021;1.7;44.0
1341;Pos. in hh.: Child of age;Bonaire;2022;-2.9;56.0
1342;Pos. in hh.: Child of age;St. Eustatius;2012;5.7;38.0
1343;Pos. in hh.: Child of age;St. Eustatius;2013;4.0;38.0
1344;Pos. in hh.: Child of age;St. Eustatius;2014;0.9;48.0
1345;Pos. in hh.: Child of age;St. Eustatius;2015;4.3;41.0
1346;Pos. in hh.: Child of age;St. Eustatius;2016;0.5;46.0
1347;Pos. in hh.: Child of age;St. Eustatius;2017;4.1;43.0
1348;Pos. in hh.: Child of age;St. Eustatius;2018;6.4;33.0
1349;Pos. in hh.: Child of age;St. Eustatius;2019;9.2;35.0
1350;Pos. in hh.: Child of age;St. Eustatius;2020;-1.3;51.0
1351;Pos. in hh.: Child of age;St. Eustatius;2021;0.9;43.0
1352;Pos. in hh.: Child of age;St. Eustatius;2022;-2.3;54.0
1353;Pos. in hh.: Child of age;Saba;2012;;
1354;Pos. in hh.: Child of age;Saba;2013;;
1355;Pos. in hh.: Child of age;Saba;2014;;
1356;Pos. in hh.: Child of age;Saba;2015;6.8;21.0
1357;Pos. in hh.: Child of age;Saba;2016;6.8;32.0
1358;Pos. in hh.: Child of age;Saba;2017;1.7;40.0
1359;Pos. in hh.: Child of age;Saba;2018;1.2;47.0
1360;Pos. in hh.: Child of age;Saba;2019;6.4;31.0
1361;Pos. in hh.: Child of age;Saba;2020;3.8;42.0
1362;Pos. in hh.: Child of age;Saba;2021;0.1;49.0
1363;Pos. in hh.: Child of age;Saba;2022;-2.0;56.0
1364;Pos. in hh.: Other member;Caribbean Netherlands;2012;2.1;45.0
1365;Pos. in hh.: Other member;Caribbean Netherlands;2013;0.5;49.0
1366;Pos. in hh.: Other member;Caribbean Netherlands;2014;-0.4;51.0
1367;Pos. in hh.: Other member;Caribbean Netherlands;2015;4.3;41.0
1368;Pos. in hh.: Other member;Caribbean Netherlands;2016;1.5;47.0
1369;Pos. in hh.: Other member;Caribbean Netherlands;2017;-0.5;51.0
1370;Pos. in hh.: Other member;Caribbean Netherlands;2018;-1.1;53.0
1371;Pos. in hh.: Other member;Caribbean Netherlands;2019;1.9;44.0
1372;Pos. in hh.: Other member;Caribbean Netherlands;2020;3.2;43.0
1373;Pos. in hh.: Other member;Caribbean Netherlands;2021;-1.0;52.0
1374;Pos. in hh.: Other member;Caribbean Netherlands;2022;-5.8;64.0
1375;Pos. in hh.: Other member;Bonaire;2012;2.3;45.0
1376;Pos. in hh.: Other member;Bonaire;2013;0.0;50.0
1377;Pos. in hh.: Other member;Bonaire;2014;-1.0;52.0
1378;Pos. in hh.: Other member;Bonaire;2015;4.8;39.0
1379;Pos. in hh.: Other member;Bonaire;2016;1.2;48.0
1380;Pos. in hh.: Other member;Bonaire;2017;-0.6;52.0
1381;Pos. in hh.: Other member;Bonaire;2018;-1.6;55.0
1382;Pos. in hh.: Other member;Bonaire;2019;1.8;45.0
1383;Pos. in hh.: Other member;Bonaire;2020;3.7;44.0
1384;Pos. in hh.: Other member;Bonaire;2021;-1.3;54.0
1385;Pos. in hh.: Other member;Bonaire;2022;-6.0;64.0
1386;Pos. in hh.: Other member;St. Eustatius;2012;1.2;45.0
1387;Pos. in hh.: Other member;St. Eustatius;2013;2.1;45.0
1388;Pos. in hh.: Other member;St. Eustatius;2014;2.1;47.0
1389;Pos. in hh.: Other member;St. Eustatius;2015;-3.0;54.0
1390;Pos. in hh.: Other member;St. Eustatius;2016;1.8;48.0
1391;Pos. in hh.: Other member;St. Eustatius;2017;2.6;47.0
1392;Pos. in hh.: Other member;St. Eustatius;2018;1.9;43.0
1393;Pos. in hh.: Other member;St. Eustatius;2019;5.1;41.0
1394;Pos. in hh.: Other member;St. Eustatius;2020;-0.6;50.0
1395;Pos. in hh.: Other member;St. Eustatius;2021;1.3;41.0
1396;Pos. in hh.: Other member;St. Eustatius;2022;-5.5;66.0
1397;Pos. in hh.: Other member;Saba;2012;1.0;50.0
1398;Pos. in hh.: Other member;Saba;2013;2.5;48.0
1399;Pos. in hh.: Other member;Saba;2014;4.4;38.0
1400;Pos. in hh.: Other member;Saba;2015;3.8;34.0
1401;Pos. in hh.: Other member;Saba;2016;5.0;30.0
1402;Pos. in hh.: Other member;Saba;2017;0.3;50.0
1403;Pos. in hh.: Other member;Saba;2018;0.4;48.0
1404;Pos. in hh.: Other member;Saba;2019;;
1405;Pos. in hh.: Other member;Saba;2020;6.1;25.0
1406;Pos. in hh.: Other member;Saba;2021;-1.7;55.0
1407;Pos. in hh.: Other member;Saba;2022;-1.3;56.0
1408;Equivalised income: 1st 25%-group;Caribbean Netherlands;2012;;
1409;Equivalised income: 1st 25%-group;Caribbean Netherlands;2013;;
1410;Equivalised income: 1st 25%-group;Caribbean Netherlands;2014;;
1411;Equivalised income: 1st 25%-group;Caribbean Netherlands;2015;;
1412;Equivalised income: 1st 25%-group;Caribbean Netherlands;2016;4.8;42.0
1413;Equivalised income: 1st 25%-group;Caribbean Netherlands;2017;0.3;44.0
1414;Equivalised income: 1st 25%-group;Caribbean Netherlands;2018;-1.1;52.0
1415;Equivalised income: 1st 25%-group;Caribbean Netherlands;2019;1.7;46.0
1416;Equivalised income: 1st 25%-group;Caribbean Netherlands;2020;8.3;36.0
1417;Equivalised income: 1st 25%-group;Caribbean Netherlands;2021;-0.9;52.0
1418;Equivalised income: 1st 25%-group;Caribbean Netherlands;2022;-1.3;54.0
1419;Equivalised income: 1st 25%-group;Bonaire;2012;2.9;43.0
1420;Equivalised income: 1st 25%-group;Bonaire;2013;0.4;46.0
1421;Equivalised income: 1st 25%-group;Bonaire;2014;0.4;44.0
1422;Equivalised income: 1st 25%-group;Bonaire;2015;4.0;35.0
1423;Equivalised income: 1st 25%-group;Bonaire;2016;2.9;46.0
1424;Equivalised income: 1st 25%-group;Bonaire;2017;0.1;46.0
1425;Equivalised income: 1st 25%-group;Bonaire;2018;-2.1;54.0
1426;Equivalised income: 1st 25%-group;Bonaire;2019;1.6;46.0
1427;Equivalised income: 1st 25%-group;Bonaire;2020;8.7;37.0
1428;Equivalised income: 1st 25%-group;Bonaire;2021;-0.9;54.0
1429;Equivalised income: 1st 25%-group;Bonaire;2022;-1.3;55.0
1430;Equivalised income: 1st 25%-group;St. Eustatius;2012;5.6;40.0
1431;Equivalised income: 1st 25%-group;St. Eustatius;2013;2.0;45.0
1432;Equivalised income: 1st 25%-group;St. Eustatius;2014;-0.8;51.0
1433;Equivalised income: 1st 25%-group;St. Eustatius;2015;4.4;38.0
1434;Equivalised income: 1st 25%-group;St. Eustatius;2016;8.5;28.0
1435;Equivalised income: 1st 25%-group;St. Eustatius;2017;6.5;31.0
1436;Equivalised income: 1st 25%-group;St. Eustatius;2018;3.6;36.0
1437;Equivalised income: 1st 25%-group;St. Eustatius;2019;2.3;45.0
1438;Equivalised income: 1st 25%-group;St. Eustatius;2020;10.9;34.0
1439;Equivalised income: 1st 25%-group;St. Eustatius;2021;1.2;31.0
1440;Equivalised income: 1st 25%-group;St. Eustatius;2022;0.4;47.0
1441;Equivalised income: 1st 25%-group;Saba;2012;5.4;30.0
1442;Equivalised income: 1st 25%-group;Saba;2013;1.8;38.0
1443;Equivalised income: 1st 25%-group;Saba;2014;5.3;38.0
1444;Equivalised income: 1st 25%-group;Saba;2015;2.2;35.0
1445;Equivalised income: 1st 25%-group;Saba;2016;11.8;28.0
1446;Equivalised income: 1st 25%-group;Saba;2017;1.5;42.0
1447;Equivalised income: 1st 25%-group;Saba;2018;-0.6;53.0
1448;Equivalised income: 1st 25%-group;Saba;2019;3.0;42.0
1449;Equivalised income: 1st 25%-group;Saba;2020;4.6;37.0
1450;Equivalised income: 1st 25%-group;Saba;2021;-0.9;60.0
1451;Equivalised income: 1st 25%-group;Saba;2022;-0.2;52.0
1452;Equivalised income: 2nd 25%-group;Caribbean Netherlands;2012;;
1453;Equivalised income: 2nd 25%-group;Caribbean Netherlands;2013;;
1454;Equivalised income: 2nd 25%-group;Caribbean Netherlands;2014;;
1455;Equivalised income: 2nd 25%-group;Caribbean Netherlands;2015;;
1456;Equivalised income: 2nd 25%-group;Caribbean Netherlands;2016;2.8;43.0
1457;Equivalised income: 2nd 25%-group;Caribbean Netherlands;2017;2.3;42.0
1458;Equivalised income: 2nd 25%-group;Caribbean Netherlands;2018;0.0;50.0
1459;Equivalised income: 2nd 25%-group;Caribbean Netherlands;2019;4.3;37.0
1460;Equivalised income: 2nd 25%-group;Caribbean Netherlands;2020;5.0;37.0
1461;Equivalised income: 2nd 25%-group;Caribbean Netherlands;2021;1.3;45.0
1462;Equivalised income: 2nd 25%-group;Caribbean Netherlands;2022;-4.2;59.0
1463;Equivalised income: 2nd 25%-group;Bonaire;2012;4.5;42.0
1464;Equivalised income: 2nd 25%-group;Bonaire;2013;2.4;44.0
1465;Equivalised income: 2nd 25%-group;Bonaire;2014;1.7;46.0
1466;Equivalised income: 2nd 25%-group;Bonaire;2015;3.2;39.0
1467;Equivalised income: 2nd 25%-group;Bonaire;2016;2.9;43.0
1468;Equivalised income: 2nd 25%-group;Bonaire;2017;1.9;44.0
1469;Equivalised income: 2nd 25%-group;Bonaire;2018;-0.6;52.0
1470;Equivalised income: 2nd 25%-group;Bonaire;2019;3.5;39.0
1471;Equivalised income: 2nd 25%-group;Bonaire;2020;5.2;37.0
1472;Equivalised income: 2nd 25%-group;Bonaire;2021;1.5;46.0
1473;Equivalised income: 2nd 25%-group;Bonaire;2022;-4.7;59.0
1474;Equivalised income: 2nd 25%-group;St. Eustatius;2012;7.1;38.0
1475;Equivalised income: 2nd 25%-group;St. Eustatius;2013;4.4;39.0
1476;Equivalised income: 2nd 25%-group;St. Eustatius;2014;0.9;48.0
1477;Equivalised income: 2nd 25%-group;St. Eustatius;2015;1.5;44.0
1478;Equivalised income: 2nd 25%-group;St. Eustatius;2016;0.2;47.0
1479;Equivalised income: 2nd 25%-group;St. Eustatius;2017;5.3;36.0
1480;Equivalised income: 2nd 25%-group;St. Eustatius;2018;3.5;38.0
1481;Equivalised income: 2nd 25%-group;St. Eustatius;2019;6.9;35.0
1482;Equivalised income: 2nd 25%-group;St. Eustatius;2020;3.2;40.0
1483;Equivalised income: 2nd 25%-group;St. Eustatius;2021;0.6;44.0
1484;Equivalised income: 2nd 25%-group;St. Eustatius;2022;-2.9;56.0
1485;Equivalised income: 2nd 25%-group;Saba;2012;5.8;39.0
1486;Equivalised income: 2nd 25%-group;Saba;2013;3.2;38.0
1487;Equivalised income: 2nd 25%-group;Saba;2014;2.8;33.0
1488;Equivalised income: 2nd 25%-group;Saba;2015;1.1;41.0
1489;Equivalised income: 2nd 25%-group;Saba;2016;5.1;35.0
1490;Equivalised income: 2nd 25%-group;Saba;2017;3.3;35.0
1491;Equivalised income: 2nd 25%-group;Saba;2018;-1.8;54.0
1492;Equivalised income: 2nd 25%-group;Saba;2019;8.4;20.0
1493;Equivalised income: 2nd 25%-group;Saba;2020;3.5;36.0
1494;Equivalised income: 2nd 25%-group;Saba;2021;1.6;45.0
1495;Equivalised income: 2nd 25%-group;Saba;2022;-1.7;54.0
1496;Equivalised income: 3rd 25%-group;Caribbean Netherlands;2012;;
1497;Equivalised income: 3rd 25%-group;Caribbean Netherlands;2013;;
1498;Equivalised income: 3rd 25%-group;Caribbean Netherlands;2014;;
1499;Equivalised income: 3rd 25%-group;Caribbean Netherlands;2015;;
1500;Equivalised income: 3rd 25%-group;Caribbean Netherlands;2016;2.6;41.0
1501;Equivalised income: 3rd 25%-group;Caribbean Netherlands;2017;2.4;42.0
1502;Equivalised income: 3rd 25%-group;Caribbean Netherlands;2018;0.5;48.0
1503;Equivalised income: 3rd 25%-group;Caribbean Netherlands;2019;4.5;37.0
1504;Equivalised income: 3rd 25%-group;Caribbean Netherlands;2020;4.9;36.0
1505;Equivalised income: 3rd 25%-group;Caribbean Netherlands;2021;2.3;41.0
1506;Equivalised income: 3rd 25%-group;Caribbean Netherlands;2022;-3.7;60.0
1507;Equivalised income: 3rd 25%-group;Bonaire;2012;3.3;42.0
1508;Equivalised income: 3rd 25%-group;Bonaire;2013;1.5;45.0
1509;Equivalised income: 3rd 25%-group;Bonaire;2014;2.1;43.0
1510;Equivalised income: 3rd 25%-group;Bonaire;2015;5.7;35.0
1511;Equivalised income: 3rd 25%-group;Bonaire;2016;2.5;42.0
1512;Equivalised income: 3rd 25%-group;Bonaire;2017;2.2;42.0
1513;Equivalised income: 3rd 25%-group;Bonaire;2018;0.0;50.0
1514;Equivalised income: 3rd 25%-group;Bonaire;2019;4.2;37.0
1515;Equivalised income: 3rd 25%-group;Bonaire;2020;5.2;35.0
1516;Equivalised income: 3rd 25%-group;Bonaire;2021;2.4;41.0
1517;Equivalised income: 3rd 25%-group;Bonaire;2022;-4.0;60.0
1518;Equivalised income: 3rd 25%-group;St. Eustatius;2012;6.4;39.0
1519;Equivalised income: 3rd 25%-group;St. Eustatius;2013;3.1;39.0
1520;Equivalised income: 3rd 25%-group;St. Eustatius;2014;0.1;50.0
1521;Equivalised income: 3rd 25%-group;St. Eustatius;2015;4.8;37.0
1522;Equivalised income: 3rd 25%-group;St. Eustatius;2016;1.3;44.0
1523;Equivalised income: 3rd 25%-group;St. Eustatius;2017;4.5;39.0
1524;Equivalised income: 3rd 25%-group;St. Eustatius;2018;2.6;40.0
1525;Equivalised income: 3rd 25%-group;St. Eustatius;2019;8.6;33.0
1526;Equivalised income: 3rd 25%-group;St. Eustatius;2020;1.8;45.0
1527;Equivalised income: 3rd 25%-group;St. Eustatius;2021;0.8;44.0
1528;Equivalised income: 3rd 25%-group;St. Eustatius;2022;-3.7;62.0
1529;Equivalised income: 3rd 25%-group;Saba;2012;4.5;35.0
1530;Equivalised income: 3rd 25%-group;Saba;2013;4.2;38.0
1531;Equivalised income: 3rd 25%-group;Saba;2014;4.0;34.0
1532;Equivalised income: 3rd 25%-group;Saba;2015;4.6;35.0
1533;Equivalised income: 3rd 25%-group;Saba;2016;6.6;30.0
1534;Equivalised income: 3rd 25%-group;Saba;2017;0.3;48.0
1535;Equivalised income: 3rd 25%-group;Saba;2018;2.9;42.0
1536;Equivalised income: 3rd 25%-group;Saba;2019;3.6;36.0
1537;Equivalised income: 3rd 25%-group;Saba;2020;5.8;30.0
1538;Equivalised income: 3rd 25%-group;Saba;2021;4.9;33.0
1539;Equivalised income: 3rd 25%-group;Saba;2022;-0.4;52.0
1540;Equivalised income: 4th 25%-group;Caribbean Netherlands;2012;;
1541;Equivalised income: 4th 25%-group;Caribbean Netherlands;2013;;
1542;Equivalised income: 4th 25%-group;Caribbean Netherlands;2014;;
1543;Equivalised income: 4th 25%-group;Caribbean Netherlands;2015;;
1544;Equivalised income: 4th 25%-group;Caribbean Netherlands;2016;2.5;40.0
1545;Equivalised income: 4th 25%-group;Caribbean Netherlands;2017;2.4;40.0
1546;Equivalised income: 4th 25%-group;Caribbean Netherlands;2018;0.4;48.0
1547;Equivalised income: 4th 25%-group;Caribbean Netherlands;2019;5.0;35.0
1548;Equivalised income: 4th 25%-group;Caribbean Netherlands;2020;4.7;34.0
1549;Equivalised income: 4th 25%-group;Caribbean Netherlands;2021;3.1;39.0
1550;Equivalised income: 4th 25%-group;Caribbean Netherlands;2022;-5.2;66.0
1551;Equivalised income: 4th 25%-group;Bonaire;2012;3.2;42.0
1552;Equivalised income: 4th 25%-group;Bonaire;2013;2.3;43.0
1553;Equivalised income: 4th 25%-group;Bonaire;2014;3.3;41.0
1554;Equivalised income: 4th 25%-group;Bonaire;2015;4.9;34.0
1555;Equivalised income: 4th 25%-group;Bonaire;2016;2.5;40.0
1556;Equivalised income: 4th 25%-group;Bonaire;2017;2.6;39.0
1557;Equivalised income: 4th 25%-group;Bonaire;2018;0.1;50.0
1558;Equivalised income: 4th 25%-group;Bonaire;2019;4.5;36.0
1559;Equivalised income: 4th 25%-group;Bonaire;2020;5.2;32.0
1560;Equivalised income: 4th 25%-group;Bonaire;2021;3.4;38.0
1561;Equivalised income: 4th 25%-group;Bonaire;2022;-5.4;66.0
1562;Equivalised income: 4th 25%-group;St. Eustatius;2012;1.0;47.0
1563;Equivalised income: 4th 25%-group;St. Eustatius;2013;3.7;41.0
1564;Equivalised income: 4th 25%-group;St. Eustatius;2014;2.1;43.0
1565;Equivalised income: 4th 25%-group;St. Eustatius;2015;9.2;28.0
1566;Equivalised income: 4th 25%-group;St. Eustatius;2016;0.6;49.0
1567;Equivalised income: 4th 25%-group;St. Eustatius;2017;0.3;49.0
1568;Equivalised income: 4th 25%-group;St. Eustatius;2018;2.9;37.0
1569;Equivalised income: 4th 25%-group;St. Eustatius;2019;7.7;29.0
1570;Equivalised income: 4th 25%-group;St. Eustatius;2020;-3.7;56.0
1571;Equivalised income: 4th 25%-group;St. Eustatius;2021;2.2;39.0
1572;Equivalised income: 4th 25%-group;St. Eustatius;2022;-4.6;64.0
1573;Equivalised income: 4th 25%-group;Saba;2012;4.4;39.0
1574;Equivalised income: 4th 25%-group;Saba;2013;4.5;36.0
1575;Equivalised income: 4th 25%-group;Saba;2014;0.3;48.0
1576;Equivalised income: 4th 25%-group;Saba;2015;5.9;23.0
1577;Equivalised income: 4th 25%-group;Saba;2016;4.3;27.0
1578;Equivalised income: 4th 25%-group;Saba;2017;1.9;38.0
1579;Equivalised income: 4th 25%-group;Saba;2018;0.1;48.0
1580;Equivalised income: 4th 25%-group;Saba;2019;6.7;24.0
1581;Equivalised income: 4th 25%-group;Saba;2020;5.4;26.0
1582;Equivalised income: 4th 25%-group;Saba;2021;1.1;45.0
1583;Equivalised income: 4th 25%-group;Saba;2022;-4.2;66.0
